,index,title,dates,article,apply_date,ratio,up/down
0,0,GS그룹  굿바이 LG ,2005.01.10 17:46,[ 올해 본격 출범할 GS그룹 계열사들의  사명 교체  작업이 사실상 일단락됐다   LG유통은 사명을  GS리테일 GS RETAIL 로 바꾸기로 결정  오는  월 주주총회를 거쳐  월부터 신규 사명을 사용할 방침이라고  일 밝혔다   LG유통은 향후 백화점  할인점  슈퍼마켓  편의점 등의 사업부문 브랜드에도  GS 를 포함할 예정으로 기업이미지 통합 CI  작업을 진행 중이다   앞서 LG유통은 지난해  월 일 홍콩의 허치슨 왐포아 그룹과 손잡고 헬스 뷰티 사업에 진출키로 하면서 합작법인명도  주 GS왓슨스로 정했다  지난해  월 일 LG칼텍스정유가 계열사 가운데 처음으로 오는  월 일을 기해 회사 이름을  GS칼텍스 로 교체키로 결정한 이후 계열사들이 속속 사명 변경을 통한  홀로서기  수순을 밟고 있는 것   LG홈쇼핑은 주주총회를 거쳐 오는  월부터 사명을 GS홈쇼핑으로 변경하겠다고 지난  일 밝혔으며  LG건설도 주총을 거쳐  GS건설 로 바꿀 방침이다   이에 따라 LG칼텍스정유  LG유통  LG홈쇼핑  LG건설 등 GS그룹의 주력 계열사 및 자회사들의 사명 변경이 사실상 마무리 단계에 접어들게 됐다   LG칼텍스정유는 직영  개  자영  개 등 전국에  개 가까운 주유소를 직 간접 운영하고 있어 GS가 LG 이미지를 벗고 소비자들에게 독자 브랜드로 다가가는 데 첨병역할을 할 것으로 예상된다   GS홀딩스는 LG유통  LG칼텍스정유  LG홈쇼핑 등  개사를 관할하면서 LG건설과 한무개발을 계열사로 두고 있다   GS는 계열사들의 신규 사명 사용 시기가  월말 주총 직후라는 점 등을 감안할 때 GS그룹의 출범시기는  월초가 될 것으로 관측된다  그룹 CI 작업도 현재  개 후보작을 놓고 막바지 선정 작업을 벌이고 있다   GS는 LG칼텍스정유와 LG건설 등 지난해 말 실시한 주요 계열사 인사에서  년 없어진 전무직을 다시 부활시키는 등 독자 행보를 보이고 있다   문주영기자 ],2005-01-11,-0.9,0.0
1,1, GS 에너지 유통이 성장축 ,2005.02.15 17:49,[ 허창수 GS그룹 회장은  일  경영 투명성과 모범적인 지배구조를 정착시켜 GS그룹을 세계 최고의 선진 기업 반열에 올려놓겠다 고 밝혔다   허회장은 이날 서울 인터콘티넨탈 호텔에서 새 기업이미지 CI 를 선포한 뒤 기자들과 만나 이같이 말했다   그는  필요한 사업분야라고 판단되면 인수 합병 M A 이나 새로운 사업에 적극 진출할 계획 이라며  은둔의 경영자 라는 예전의 이미지와는 달리 공격경영에 나설 뜻을 분명히 했다  부채비율이  대인 GS그룹은 공정거래법의 관련 규정을 감안해도  조원 이상의 투자여력을 갖고 있다   허회장은 새 CI 선포와 관련   고객의 마음 속에 GS의 고유한 정체성이 뿌리내리는 데 사업의 역점을 둘 것 이라며 당분간 그룹 이미지 강화와 인지도 제고에 주력할 것을 시사했다   그는  오는  월말쯤 GS그룹의 중장기 비전과 성장전략을 완성해 발표할 계획 이라며  계열사가 각자의 사업영역에서 내실을 다지고 핵심역량을 강화해  년   년 뒤에도 지속적인 성장을 할 수 있는 경쟁력을 갖추겠다 고 강조했다   그는 특히  자회사와 계열사의 유통관련 사업에서 시너지 효과를 내겠다 면서  LG칼텍스정유의 유통 네트워크를 강화하고 기존 유통사업 구조를 더욱 튼튼히 해 고부가가치 서비스로 차별화할 것 이라고 덧붙였다   그룹 운영 방안에 대해서는  자회사와 계열사가 이사회 중심의 독립경영을 하면서 스스로 가치를 키워갈 것 이라며  중앙집권적 경영보다는 인력효율성과 주주가치를 극대화하는 시스템을 마련할 방침 이라고 소개했다   허회장은  LG그룹과의  년간 동업정신을 살려 긴밀히 협력하고 LG의 사업영역에는 진출하지 않겠다 면서 선을 그었다   이날 발표한 새 CI는 주황 초록 청색을 바탕으로 주황색은 정유의 에너지가 상징하는 역동성을  초록은 유통 서비스 사업을  청색은 투명경영 의지를 상징한다고 회사측은 설명했다   GS는  월 일부터 LG칼텍스정유와 LG건설  LG유통  LG홈쇼핑의 회사 이름을 각각 GS칼텍스  GS건설  GS리테일  GS홈쇼핑으로 바꾸고 새 심벌마크와 로고를 사용한다   GS그룹은 지난해  조원 매출에 이어 올해는  조원을 목표로 잡았다   김주현기자 amicus kyunghyang com ],2005-02-16,0.36,0.0
2,2,LG 슈퍼 등  GS 로 상호변경 고민되네 ,2005.02.22 17:46,[ 요즘처럼 장사가 안 될 때 상호까지 바꾸면 어떻게 합니까     서울 남가좌동에서 편의점  LG 를 운영중인 오기연 사장 은 상호변경에 반대하는 가맹점주들과 함께 LG유통을 상대로 소송을 준비하고 있다  LG브랜드의 인지도를 믿고  년 전  억 천만원을 투자해 편의점을 차렸는데  갑자기 상호를 바꾸라는 것은 영업권 침해에 해당하기 때문에 손해배상을 요구하겠다는 것   가맹점주  명의 소송을 맡고 있는 법무법인 비전의 박명환 변호사는  인당  억원가량을 배상하라는 소장을 이르면  일 서울지방법원에 제출할 것 이라고 밝혔다   LG그룹에서 정유  건설  유통계열사 등을 분리해 출범한 GS그룹이 기업 이미지 통합 CI  작업에 박차를 가하고 있지만 속으론 말 못할 고민에 빠져 있다   브랜드 교체비용은 어쩔 수 없는 일로 치더라도  문패를  LG 에서  GS 로 바꿔 다는 데 대한 유통업체 가맹점주 등의 반발이 만만치 않기 때문이다   LG유통의 경우 오는  월 초 주주총회를 거쳐 회사명을  GS리테일 Retail 로 바꾸면서 백화점  할인점  편의점  홈쇼핑 등 유통업체들이 쓰고 있는 LG 브랜드를 모두 GS 브랜드로 교체한다   회사측은  개에 이르는 편의점 LG 의 간판과 점포 내부 인테리어 등을 바꾸는 데 대략  백억원의 비용이 들 것으로 예상하고 있다  여기에 LG백화점 개  LG마트 개  LG슈퍼마켓 개  LG홈쇼핑 등까지 포함하면 교체비용은 대폭 늘어난다  LG유통 관계자는  일부 가맹점주들의 반발이 새로 출범하는 GS그룹의 이미지에 영향을 줄까봐 신경이 쓰인다 고 말했다   LG칼텍스정유는 회사명과 주유소 이름을  GS칼텍스 로 바꾸게 된다  전국  여개 주유소와 충전소의 간판 등을 바꾸는 데 대략  백억원이 들 것으로 추산하고 있다  추가비용을 들여 주유소에 딸린 편의점 조이마트와 경정비업체 오토오아시스의 도안 및 색상도 함께 바꿀 예정이다   LG건설은  년부터 아파트 브랜드  자이 를 이용하면서 LG건설보다는 단독브랜드  자이 를 알리는 데 주력해왔기 때문에 GS브랜드로 교체하더라도 아파트사업에 큰 영향이 없을 것으로 판단하고 있다  그러나 GS건설이란 이름으로 해외 플랜트입찰에 나설 경우 불이익을 받을 수 있다는 점을 우려하고 있다   회사 관계자는  중동 등에서는 전자제품 인기에 힘입어 LG 브랜드의 인지도가 상당히 높은 편 이라며  덕분에 입찰 등에서 혜택을 봤는데  앞으로 GS 브랜드로 바뀌면 당분간 고전해야 할 것 이라고 걱정했다   이에 대해 GS그룹 관계자는  일부에서 CI변경에 따른 인지도 하락을 우려하고 있는 것은 사실 이라면서도  GS 인지도를 높이기 위해 계열사별로 방송 신문광고 등의 마케팅비용을 책정하고 있기 때문에 크게 문제되지 않을 것 이라고 말했다   박경은 신현기기자 ],2005-02-23,2.17,1.0
3,3,LG건설 GS 건설로 사명변경,2005.03.18 17:28,[ LG건설은  일 주주총회를 열고 사명을 GS건설로 변경하기로 했다  GS건설은 오는  일 GS그룹 CI선포식 이후 전국의 공사현장의 외부 울타리 등에 새로운 CI를 넣는 등 본격적인 홍보 활동에 들어갈 예정이다  아파트 브랜드  자이 는 유지된다 ],2005-03-21,0.34,0.0
4,4,[경제비타민 아파트등 경품걸고  GS를 알려라 ,2005.03.29 17:32,[ 새출발을 알리는 데는 선물이 최고   GS칼텍스 GS리테일 GS홈쇼핑 GS건설 등 GS그룹 계열사가 출범을 기념해  월 한달동안 대대적인 경품행사를 연다고  일 밝혔다  상품도  자이  아파트  GS홀딩스 주식  결제금액 환불 할인 등 푸짐하다   우선 GS홀딩스 주식  만주와 GS건설 아파트  자이   평형  가구 서울 잠실  마이더스 복권  장바구니  꽃씨  티슈 등을  명에게 나눠준다  전국 GS칼텍스 주유소 충전소 조이마트 오토오아시스 GS슈퍼 GS마트를 방문하거나 GS홈쇼핑에 주문전화를 걸면 복권을 받아 행사에 참여할 수 있다  계열사 온라인사이트에서 복권 신청을 해도 된다  주식은  명에게  주씩   명에게  주씩   명에게  주씩 주고 아파트는 온라인 응모고객을 대상으로  월 일 추첨  결정한다   월 일에는 전국 GS칼텍스 주유 충전소에서 오전  시부터 오후  시까지 GS칼텍스 보너스카드로 기름을 넣는 고객 중  명에게 최고  만원까지 주유금액을 돌려준다  전국 GS 매장은 영수증 일련번호 끝자리가  인 당일 구매고객 중 최고  만원까지 돌려준다  조이마트는 끝자리가  이면 같은 금액을 환불해준다  GS리테일 슈퍼는 방문 번호표 끝자리가  인 보너스카드 고객에게 최고  만원을 상품권으로 환불해주고 GS리테일 마트와 스퀘어 백화점 도 같은 번호의 멤버십 고객에게 최고  만원까지 상품권으로 돌려준다   이밖에 GS홈쇼핑은 생방송 중 일부 명품과 가전 제품을   할인해주고 GS이숍은 만우절 고객  명을 추첨해 최대  만원까지 결제금액을 적립해준다   김주현기자 ],2005-03-30,0.0,0.0
5,5,초고층 주상복합 투자 신중히,2005.04.03 16:47,[ GS건설의  여의도 자이  삼성건설의  목동 트라팰리스  등 대형건설사들의 초고층 주상복합아파트가 쏟아지고 있다  그러나 분양가가 주변시세를 웃돌고 분양권 전매가 불가능하다는 점에서 투자에 신중해야 된다는 의견도 나오고 있다   실제로 지난 서울  차동시분양에서 선보인 파크타워의 경우  평형의 평당가는  천만원 안팎으로 인근 시티파크  평형대의 시세 프리미엄 포함  평당  천 백만원 안팎 를 웃돈다  여의도자이는 평당가가  월 입주하는  여의도 롯데캐슬엠파이어 의 시세와 비슷한  천 백만원 안팎으로 예상된다  트라팰리스도 분양가가 평당 최소  천만원에 이를 것으로 보이는데 이는  년  월 분양했던  목동 하이페리온 의  평형대 이상 대형평형의 시세 평당  천 백만원 와 비슷한 수준이다   이 때문에 전문가들은 투자 측면에서는 그다지 매력적이지 않다고 보고 있다  여기에 층과 향이 좋은 곳은 대부분 조합원에게 돌아간 데다 분양권 전매가 안된다는 것이 약점이다   박재현기자 ],2005-04-04,1.75,0.0
6,6,아파트 물량   늘어  분양 봄바람 ,2005.04.03 16:47,[ 봄 분양 성수기를 맞아 이번달에는 전국에서  만 천여 가구의 아파트가 공급된다  서울과 수도권에서는 고층 주상복합아파트가 실수요자들의 관심을 끌 전망이다  지방은 지역별 개발 호재가 있는데다 분양권 전매가 비교적 자유로워 분양시장 회복에 대한 기대감이 높다   만 천가구 일제 분양 일 관련 업계에 따르면 이번달 전국 분양물량은 모두  만 천 가구로 집계됐다  일반분양과 임대아파트가 각각  만 천 백 가구와  가구씩이다  이번달 공급물량은 지난  월 만 천 가구 보다   늘어난 것이다   지역별로는 수도권에서 전체의  에 해당하는  만 천 백 가구가 분양된다  수도권 물량은  월 만 천 가구 보다   증가했다  반면 지방은  월 만 천 백 가구 보다   줄었다  지방 중에서 행정도시 건설 호재가 있는 충남이 가장 많은  가구를 공급한다   이밖에  경남  가구  부산  가구  울산  가구  충북  가구  대전  가구  기타 지역  가구 등이다  이번달 공급물량은 전용면적  평 이하가 전체의  를 차지한다   주상복합아파트가 수도권의 관심사 서울 강남권 재건축단지들은 다음달  일 시행되는 재건축 개발이익환수제를 피하기 위해 한창 분양을 서두르고 있다  송파구 잠실시영  잠실  단지  강남구 대치동 도곡 차 등이 대표적이다  이들 재건축단지는  월 말 월 초 분양을 신청해  차 동시분양 때 나올 전망이다   강남 재건축단지 물량이 본격적으로 나올 때까지는 인기지역의 초고층 대단지 주상복합아파트 분양에 관심이 쏠릴 것으로 보인다  지난달  일 용산 파크타워가 청약을 시작한 데 이어 이번달에는 GS건설 옛 LG건설 이 여의도에서  여의도자이  삼성건설이 목동에서  목동 트라팰리스 를 공급한다   여의도 한성아파트를 재건축한 여의도자이는 GS건설 출범 이후 첫 사업이기 때문에 특히 심혈을 기울이고 있다   개동의  층은 기둥만 있는 필로티 공간으로 설계해 독서실  명상휴게실 등 각종 커뮤니티 시설이 들어선다   평형 총  가구 중  가구가 일반분양된다   개 동은  평형  실의 오피스텔로 채워진다   삼성건설의 목동 트라팰리스는 지하철  호선 오목교역과 가깝고  근처에 현대하이페리온이 있다   층  개동에  평형까지 있다  지상은 녹지공간으로 꾸미고  주차장을 모두 지하에 배치했다   층은 입주민 편의시설이 들어선다  이들 단지는 조망권 좋은 초고층을 선호하는 수요자들이 몰려 가격이 오를 가능성이 높다   이밖에 포스코건설이 인천 송도신도시에 짓는 최고  층짜리  더샵 퍼스트월드 도 관심거리다   지방 분양시장 기지개 지방은 지역별로 개발 호재가 있고  분양권 규제가 비교적 덜해 최근 분양시장이 살아나고 있다   부산 대구 등 지방 투기과열지구에서는 계약체결 후  년이 지나면 분양권 전매가 가능하다  지난달 대구에서는 월드건설의  시지유성 월드메르디앙 이 올해 처음으로  순위 마감됐고  이번달에는 대림건설이 달서구 상인동에  가구를 분양한다  부산에서는 한화건설이 해운대구 반여동에  가구를 내놓는다   분양권 전매가 무제한 가능한 비투기과열지구에 속하는 춘천에는 포스코건설이 후평동에 후평주공 단지를 재건축한  가구를 분양한다  그 밖에 행정도시 이전 호재가 있는 대전에는 우림건설  한화건설  금성백조주택 등  개 업체가 대덕테크노밸리에  여가구를 공급한다  호남지역도 지역특구 지정과 서남해안 관광레저형 기업도시 등 개발 호재가 겹쳐 분양물량이 대거 나온다   신현기기자 ],2005-04-04,1.75,0.0
7,7,GS 허회장 일가 주식재산  조 천억,2005.04.07 18:00,[ 지난달  일 출범한 GS그룹 허씨 가문은  조 천억원어치의 주식을 갖고 있는 것으로 파악됐다  그러나 LG그룹 구씨 가문에 비해서는 다소 적은 액수다   일 업계에 따르면 GS그룹은 허창수 회장과 특수관계인  명이 GS홀딩스 지분을   보유한 것으로 증권 당국에 신고했다  현재 시가로  조 천 백억원에 이른다   GS그룹은 허회장의 특수관계인이 운영하는 기업이 계열사로 편입되면서 기존  개 계열사에서  개로 늘어났지만 지분 증감이 없어 지분 정리가 거의 마무리된 상태다  GS그룹은 LG그룹처럼 계열사를 지주회사에 편입시켜 지주회사 지분을 대주주 가문이 소유하는 지배구조를 갖고 있다   GS홀딩스 소유주식 보고로 허씨 가문의 재산규모와 배분상태가 공개되는 셈이다  GS홀딩스는 GS그룹 지주회사로 GS칼텍스의 지분   GS홈쇼핑의   GS리테일의  를 갖고 있다  여기에 GS홀딩스에 편입되지 않은 상장계열사 GS건설의 지분  시가  천 백억원 를 포함하면 허씨 가문의 상장사 보유주식 평가액은  조 천 백억원 가량이 된다   이는 구본무 회장을 중심으로 한 LG그룹 구씨 가문의 상장사 주식 재산  조 천억원보다  천 백억원 가량 적다   허씨 가문도 구씨 가문처럼 친인척들이 지분을 조금씩 나눠갖고 있는 형태다   지주회사인 GS홀딩스 주식은 허회장 을 비롯한  형제가  로 가장 많은 지분을 갖고 있다  또 GS건설은 허회장  형제들이  를 보유하고 있지만 다른 가문 일원은 지분이 거의 없다   김주현기자 amicus kyunghyang com ],2005-04-08,0.0,0.0
8,8,지방 대단지  봇물  터진다,2005.04.10 16:53,[ 지방 대도시를 중심으로  가구 이상 대단지 아파트 분양이 잇따를 전망이다  부동산정보업체 닥터아파트에 따르면  월 중 지방에서 분양예정인  가구 이상 대단지 아파트는 모두  곳  만 백 가구다   올들어 분양이 부쩍 활발해진 울산에서  월까지 대단지  곳이 분양된다  대우건설이 울산 북구 매곡동에  평형  가구  롯데건설은 남구 야음동에 재건축아파트  가구 중  가구를 일반분양한다   현대산업개발은 천곡동에  평형  가구를 분양할 예정이다   대구에서는 대우건설이  월 월성동에서  평형  가구를 공급한다  구마고속도로 남대구IC가 차로  분 거리며 지하철 호선 월배역이 가깝다  이마트와 롯데백화점 등 편의시설이 잘 갖춰져 있다   대림산업도 다음달 달서구 상인동에서  평형  가구를 분양한다   대전 충남에서도 대단지  곳이 분양된다   대전 유성구 대덕테크노밸리에서 한화건설이  평형  가구를 이달 중 분양할 예정이다  호남고속도로 북대전IC와 경부고속도로 신탄진IC 등이 자동차로  분 거리다  벽산건설은 천안시 청당동에서  평형  가구를 선보이고 한라건설도 용곡동에  평형  가구를 각각 분양한다  아산시에서는 GS건설이  가구 규모의 단지를 내놓는다   부산에서는 롯데건설이 사하구 다대동에  평형  가구  한화건설이 해운대구 반여동에  가구를 각각 이달 중 분양한다   이밖에 벽산건설은 광주 북구 운암동 운암주공 단지를 재건축해  가구 중  평형  가구를 다음달 분양한다  호남고속도로 서광주IC가 차로  분 걸리며 롯데마트와 이마트 등 쇼핑시설이 풍부하다   박재현기자 ],2005-04-11,-2.93,-1.0
9,9,제 의 중동특수  열사의 땅으로 ,2005.04.13 17:21,[ 제 의  중동 특수 가 일고 있다  산유국들이 유가급등으로 넘쳐나는 오일달러를 사회간접자본 SOC  구축에 재투자하면서 향후  년간 중동특수가 최소  조달러에 육박할 것이라는 예상이다  국내 기업들도 사막의  노다지 를 캐기 위해 다시  열사의 땅 으로 몰려가고 있다   중동은 글로벌화의 전진기지 박용만 두산 부회장은 지난주 그룹 사장단을 이끌고 중동을 찾았다  그가 부회장 승진 이후 첫 사장단 방문지로 중동을 택한 것은  오일달러  때문이다   중동의 대형 담수프로젝트에서  의 시장점유율로 세계  위인 두산중공업은 현재 쿠웨이트 사비야 및 슈아이바  카타르 라스라판  오만 소하르  리비아 벵가지 등 중동지역  개국  개 프로젝트에서  억달러 규모의 공사를 수행중이다  이번달에만 사비야  단계 담수 플랜트 공급 프로젝트와 라스라판 담수 플랜트 공사를 각각  억 천만달러   억 천만달러에 수주했다   중동 시장은 아직도 무궁무진하다  아랍에미리트연합 UAE 을 비롯한 대부분의 중동국가들이 물부족 해소를 위해 담수설비 건설을 서두르고 있어  년까지 담수 시장 규모만  백억달러에 이를 것이라는 게 두산의 분석이다   두산중공업 담수BG 이윤영 부사장은  현재  개 국가가 물부족 사태를 겪고 있으며  년에는  개국으로 늘어날 전망이어서 그만큼 담수시장은 무궁무진하다 라고 말했다   건설업계도 총력전 중동 건설시장의 전통적인 강자인 현대건설은 지난해  억 천 백만달러의 해외수주를 기록한 데 이어 올해는  억달러로 목표치를 배로 늘렸다  올들어서만 UAE와 쿠웨이트 등  개국에서  억 천 백 만달러의 공사를 수주했다  수십억달러 규모의 이란 사우스파 가스플랜트 추가 공사 수주를 노리고 있고 UAE 타윌라 발전 담수 공장 확장 공사 억달러 규모  루와이스 석유화학단지 확장공사 억달러  수주도 추진중이다   현대건설 해외사업본부 권오식 부장은  유가상승으로 그동안 밀렸던 공사물량이 쏟아져 나옴에 따라 주로 예전에 공사경험이 있던 지역을 중심으로 수주를 추진하고 있다 고 말했다   대우건설도 이란  리비아  나이지리아 등에서 적극적인 수주활동을 벌이고 있다  석유생산 메이저 국가인 나이지리아에서는 매년  억 억달러 규모의 안정적 수주가 목표다  특히 정부 발주보다는 대금지불이나 착공 등에서 순조로운 민간 석유회사 발주 공사에 역량을 집중하고 있다   GS건설은 얼마전 중동 국영석유기업 위주의 발주자를 대상으로 대규모 광고이벤트와 IR 기업설명회 를 실시했다  향후 있을 수주에 대비하기 위한 포석이다  해외에서 경쟁력을 갖추고 있는 정유  가스 등 플랜트사업에서만 약  천 백억원 규모의 수주가 가능할 것으로 보고 있다   중동지역 수주건수 및 금액은  년  건  억 천만달러에서  년에는  건  억 천만달러로 증가했다   소비시장도 표적 오일달러가 풀리면서 급증하고 있는 신흥부자들도 놓칠 수 없는 표적이다   삼성전자와 LG전자  현대차 등은 올해 이 지역 매출을 지난해보다   이상 늘려잡았다  삼성전자가 지난  월 사우디아라비아에서 연  젯다 자선 마라톤 에 스폰서로 참여한 것도 젊은층의 인구확대가 예상되는 현지에서 브랜드를 알리려는 마케팅 전략이다  삼성전자는 사우디아라비아에서 냉장고 세탁기가  위  휴대폰은  위를 차지하고 있다   LG전자는 중동지역의 거부들을 겨냥해 개발한  천만원대 PDP TV  대우일렉트로닉스는  자물쇠 냉장고 를 각각 앞세워 중동지역 가전시장에서 마케팅 공세를 펴고 있다   사우디아라비아가 지난해 말 카메라폰 수입 판매를 허용한 것도 호재다  중동의 이슬람권 전체에서 카메라폰 특수가 발생할 경우 매출이 급성장할 것으로 업계는 기대하고 있다   유형렬 김주현 신현기기자 ],2005-04-14,-1.96,0.0
