index,dates,title,article,date,time,apply_date,up/down
0,2020-10-16 15:53,GS건설  경기 남양주 `별내자이 더 스타` 본격 분양, 아파트  세대 오피스텔 실 사이버 오프라인 모델하우스 동시 운영별내자이더스타 투시도 [자료   GS건설] GS건설이 경기도 남양주시 별내택지개발지구에서 선보이는 대규모복합단지  별내자이 더 스타  견본주택 문을 열고 본격적인 분양을 시작했다  GS건설은 지난  일 별내자이 더 스타의 사이버 모델하우스와 오프라인 모델하우스을 동시에 오픈하고 본격 분양에 나섰다고  일 밝혔다  오프라인 모델하우스 방문은 사회적 거리두기에 동참해 사전 예약제로 운영되며   차 방문기간은  월  일 일까지  일간이다   차 관람기간 종료 후  차 관람예약이 예정됐으며   차의 경우 오피스텔 관람만 가능하다  공식 홈페이지를 통해 방문 예약을 접수와 자세한 내용을 확인할 수 있다  사이버 모델하우스는 공식 홈페이지를 통해 공개한다  대규모 복합단지인 별내자이 더 스타는 트리플 역세권으로 탈바꿈 할 별내역 역세권 입지에 들어선다  지하철  호선 연장선인 별내선은 총 연장  km로 서울 강동구  호선 암사역을 출발해 중앙선 구리역과 농수산물도매시장  다산지구를 경유해 별내역 경춘선 까지 연결된다  별내선이 개통되면 환승없이 잠실역까지  정거장이면 도착할 수 있다    구리 세종 포천간 고속도로 및 수도권제 순환고속도로  북부간선도로 등의 광역교통망도 이용할 수 있다 별내자이 더 스타 대규모 판매시설이 조성되면  슬리퍼 생활권 으로 단지 안에서 다양한 상업 문화 시설을 이용할 수 있을 전망이다  또한 이마트 별내점  등 대형마트와 생활편의시설도 걸어서 이용할 수 있다  근거리에는 코스트코 상봉점  구리농수산물도매시장 등도 있다  오는  월  일 특별공급을 시작으로  월  일 일반공급  순위 청약이 진행된다  당첨자 발표는  월  일이며  당첨자 발표 이후  월  일  일간 사전 서류접수를 통한 청약 자격검증을 진행 후   월  일  일간 정당계약을 별내자이 더 스타 모델하우스에서 진행할 예정이다  오피스텔의 경우  월  일 이틀 간 청약 접수를 받은 뒤  월  일 당첨자 발표   월  일 정당계약이 계획됐다 별내자이 더 스타 아파트는 수도권 서울  경기  인천  전 지역에서  순위 청약이 가능하다  전용  의 경우 일반공급 물량의   전용   경우 일반공급 물량의  가 추첨제로 진행한다 분양가상한제가 적용되는 별내자이 더 스타의 아파트의 분양가는  당  만원으로 책정됐다  GS건설 분양관계자는  인프라가 완성돼 살기 좋고  GTX B 계획 와  호선 연장선 예정  등 호재도 풍부해 완벽한 만큼 기회를 놓치지 않겠다는 수요자들이 많다 며  대규모 복합단지에 들어서는 만큼 향후 랜드마크가 될 수 있도록 고객의 눈높이에 맞는 상품을 선보이겠다 고 말했다   한편  별내자이 더 스타 모델하우스는 경기도 남양주시 별내동  번지에 마련했다  입주는  년  월 예정이다  [이미연 기자 enero mkinternet com]  네이버 메인에서  매일경제 를 받아보세요  궁금한 제조과정 영상으로 보세요   이렇게 만들죠  매일매일 색다른 뉴스레터  매콤달콤  구독하세요[  매일경제   mk co kr  무단전재 및 재배포 금지] ,2020-10-16,15:53:00,2020-10-19,1
1,2020-10-18 17:14,GS건설  부산 문현  구역 수주, 공사비  조 지역 최대어 꼽혀 층 아파트 및 오피스텔 개발GS건설이  조원 규모 부산 문현 구역 재개발 사업을 수주했다 GS건설은  지난  일 열린 문현 구역 시공사 선정 조합원 총회에서 시공사로 선정됐다 고  일 밝혔다  수의계약 대상자로 투표에 참여한 조합원  명 가운데  명의 찬성 찬성률  을 얻었다  문현 구역 재개발 사업은 부산 남구 문현동   일대에 지하  층 지상  층 아파트  동 가구 과 오피스텔  개동 실  및 관련 시설을 조성하는 대규모 사업으로 공사비는  조 억원에 달한다  GS건설은 입찰에 단독으로 참여해  층에 달하는 초고층 랜드마크 주거 공간 건설과 대규모 근린생활시설 등을 반영한 특화설계를 제안했다  단독 입찰 참여임에도 추가 이주비 지급과 미분양 발생 시 대물변제  무이자 사업비  억원  사업촉진비  억원 등을 제안해 조합원들에게 좋은 반응을 얻었다  GS건설은 올해 부산 재개발 최대어를 수주하는 데 성공함으로써 올해 수주 실적이  조 억원으로 늘었다 한편 문현 구역은 당초  월에 시공사 선정 총회를 열 예정이었지만 코로나 가 확산돼 미뤄졌다 [김동은 기자]  네이버 메인에서  매일경제 를 받아보세요  궁금한 제조과정 영상으로 보세요   이렇게 만들죠  매일매일 색다른 뉴스레터  매콤달콤  구독하세요[  매일경제   mk co kr  무단전재 및 재배포 금지] ,2020-10-18,17:14:00,2020-10-19,1
2,2020-10-18 17:23,GS건설  문현 구역 품고 정비사업  조클럽  가나, 부산지역 조 넘은 대어 수주로 조클럽 이미 넘어선 조 억하반기 건 연달아 강자의 면모 실적 순위도 단숨에 위로 껑충  GS건설이 부산지역 대어로 손꼽히는 문현 구역 재개발 사업을 수주하며 올해 정비사업  조 클럽 에 가입했다    정비사업 강자로 꼽히던 GS건설은 올해 상반기에는  월에 단  건의 사업만 따내며 숨고르기를 했지만 하반기 들어  건을 연달아 수주하며 강자의 면모를 되찾았다    이번 문현 구역 수주로 대형건설사 정비사업 수주 실적  위에 머물렀던 GS건설은 단숨에  위로 올라섰고  향후 추가 수주를 통해 연내 정비사업 수주액  조원 달성 가능성도 열어두게 됐다      GS   조  문현 구역 품에 안다     일 정비업계에 따르면 부산 문현 구역 재개발 조합은 지난  일 시공사 선정 총회를 열고 GS건설을 최종 선정했다  조합 관계자는  GS건설의 제안이 조합원들의 기대치를 상당 부문 충족한 것으로 나타났다 라며  향후 계약과 시공에서도 서로 윈 윈 할 수 있는 관계를 이어가기를 바란다 고 말했다    문현 구역 재개발사업은 부산 남구 남동천로  일대  만 가 대상이다  GS건설에 따르면 지하  층 지상  층에 아파트  개동  오피스텔  개동으로 조성된다  아파트  가구  오피스텔  실 등 총  가구가 공급된다  총 공사비는  조 억원으로 추정된다    문현 구역 조합은 지난달 두 차례 입찰을 진행했지만 모두 GS건설만 단독 참여해 자동 유찰됐다  이후 조합이 수의계약으로 전환하며 GS건설이 입찰 참여 의향서 및 입찰제안서를 제출해 우선협상대상자로 선정됐다    이후 코로나 로 조합 총회가 세 차례 연기된 뒤  일 최종 시공사 선정을 마무리했다    GS건설은 사업 수주를 위해 조합원들에게 특별 혜택도 약속했다   층 초고층 랜드마크  스카이브릿지와 커뮤니티  커튼월과 커튼월룩이 결합된 화려한 외관  최고급 커뮤니티 시설 및 대규모 근린생활시설 등이 대표적이다  잦은 침수로 지난 여름 태풍이 왔을 때도 어려움을 겪은 조합원들을 위해 침수 방지 특화 설계도 적용했다    문현 구역 인근 공인중개사는  문현 구역은 문현 구역과 자주 비교가 되는데  문현 구역은 지하철 역세권과 평지라는 장점이 돋보인다 며  향후 부산 원도심의 대장이 될 수 있는 곳 이라고 말했다      정비사업  조 클럽  가능성 유력    문현 구역의 사업비는  조 억원으로 GS건설은 단숨에 올해 정비사업  조 클럽 가입과 더불어  조 억원의 수주고를 올렸다    문현 구역 수주 전까지 올해 GS건설 정비사업 수주고는 총  억원이었다  상반기 단  건의 정비사업만 수주하던 GS건설은 하반기들어 수주 레이스를 펼치며 고삐를 당겼다    GS건설은 올해  월 성동구 옥수동  한남하이츠  재건축 사업 억원 으로 정비사업 수주의 포문을 연뒤 숨고르기에 들어갔다  이후 하반기 들어  월  인천 십정 구역  재개발 컨소시엄 억원   월  대전 가양동 구역  재건축 억원   월  부산 수안 구역 억원 을 잇따라 수주했다    문현 구역을 수주한 GS건설의 정비사업 수주실적 순위도 크게 올랐다  당초  위에 머물러 있던 GS건설은 단숨에  위로 껑충 올라섰다  또 지난  일에는 인천 산곡 구역 재개발 사업 입찰에도 참가해 연말까지  조 클럽 가입 가능성도 점쳐지고 있다    업계 관계자는  연말까지 부산을 중심으로 서울 흑석  구역  대구 효목 동 구역 등 수 천억 원에 달하는 사업장들이 시공사 선정을 앞두고 있어 정비사업 수주실적 순위는 지각변동의 여지가 남아있다 고 말했다   hoya fnnews com 김동호 기자     헉  소리나는 스 토리 뉴스 [헉스]   아는 척 하고 싶은 당신을 위한 [두유노우]  날로먹고 구워먹는 금융이슈 [파인애플]    저작권자   파이낸셜뉴스  무단 전재 재배포 금지 ,2020-10-18,17:23:00,2020-10-19,1
3,2020-10-19 9:23,GS건설  부산  대어   문현 구역 재개발 수주, 공사비  조 억원 규모 조 클럽 가입부산 문현 구역 조감도[GS건설 제공][헤럴드경제 양영경 기자] GS건설이 총 공사비  조 억원 규모의 문현 구역 재개발 사업을 수주했다 일 정비업계에 따르면 부산 문현 구역 재개발 조합은 지난  일 시공사 선정 총회를 열고 GS건설을 최종 선정했다 문현 구역 재개발사업은 부산 남구 남동천로  일대  만 가 대상이다  GS건설에 따르면 지하  층 지상  층에 아파트  개동  오피스텔  개동으로 지어진다  아파트  가구  오피스텔  실 등 총  가구가 공급된다  총 공사비는  조 억원으로 추정된다 조합은 지난달 두 차례 입찰을 진행했지만 모두 GS건설만 단독 참여해 자동 유찰됐다  이후 조합이 수의계약으로 전환하며 GS건설이 입찰 참여 의향서 및 입찰제안서를 제출해 우선협상대상자로 선정됐다 GS건설은 조합에  층 초고층 랜드마크  스카이브릿지와 커뮤니티  커튼월과 커튼월룩이 결합된 화려한 외관  최고급 커뮤니티 시설 및 대규모 근린생활시설 등을 제안했다  이 지역은 잦은 침수로 지난 여름 태풍에도 피해를 입은 만큼 침수 방지 특화 설계도 적용하겠다고 밝혔다 문현  구역을 따낸 GS건설은 올해 정비사업  조 클럽 가입과 더불어  조 억원의 수주고를 올렸다  GS건설은 올해  월 성동구 옥수동  한남하이츠  재건축 사업 억원 을   월  인천 십정 구역  재개발 컨소시엄 억원   월  대전 가양동 구역  재건축 억원   월  부산 수안 구역 억원 을 수주한 바 있다 정비사업 수주실적 순위도 크게 올랐다  당초  위에 머물러 있던 GS건설은  위가 됐다  지난  일에 인천 산곡 구역 재개발 사업 입찰에도 참가해 연말까지  조 클럽 가입 가능성도 점쳐지고 있다 y k heraldcorp com 디자인의 미래  헤럴드 디자인포럼 밀리터리 전문 칼럼  헤밀 헤럴드경제 네이버 채널 구독  Copyrights   헤럴드경제   heraldbiz com  무단 전재 및 재배포 금지  ,2020-10-19,9:23:00,2020-10-19,1
4,2020-10-19 10:47,GS건설  별내자이 더 스타  인기몰이, 전용 가 추첨제 진행 주택자도 당첨 가능성 높아 이목 집중라이브 방송에 여 명 동시 접속 흥행 지난  일 GS건설이 분양에 돌입한  별내자이 더 스타  견본주택에 방문한 수요자들이 전용  B 타입 유니트를 둘러보고 있다   사진 GS건설 제공 [파이낸셜뉴스] GS건설이 분양에 돌입한  별내자이 더 스타 가 수요자들의 호평을 받으며 흥행을 예고했다  분양가상한제 적용으로 시세보다 분양가가 저렴하고 수도권 전역에서  순위 신청이 가능해서다  사이버 견본주택은  여명이 동시 접속하고 누적시청자 수는  만 명이 돌파하며 뜨거운 인기를 방증했다    GS건설은 지난  일 유튜브채널  자이TV 를 통해 진행한  별내자이 더 스타  견본주택 실시간 라이브 방송에는 누적시청자 수가  만 여명이 참석했다고  일 밝혔다  이날 라이브 방송은 견본주택을 방문하지 못하는 수요자들을 위해 모형도  위치도  유니트 내부 곳곳을 소개하며 실시간 댓글을 통해 시청자와 소통하는 방식으로 진행됐다    방송에 참여한 시청자들은  직장 때문에 직접 가지 못해 아쉬웠는데  이렇게 실제 모습을 실시간 방송으로 진행해 아쉬움을 달랠 수 있어 좋았다 며  청약에 사람들이 많이 몰릴 것 같은데  꼭 당첨되고 싶다 는 소망을 드러내기도 했다    실시간 방송이 종료된 뒤엔 견본주택 방문 예약을 한 방문자들의 발길이 이어졌다  사회적 거리두기로 인해 사전방문 예약제로 진행된 별내자이 더 스타는  월 일 일까지  일간 진행하는  차 관람예약이 방문 예약 시작 약  시간만에 마감 될 정도로 수요자들의 관심이 높았다    이처럼 뜨거운 반응은  분양가상한제 적용으로 주변 시세보다 합리적 분양가  별내역 역세권  일반상업지구의 풍부한 인프라  GTX B  지하철  호선 연장 등 대형 호재 등으로 풀이된다    견본주택을 방문한 박모씨 세 서울 거주 는  서울에 거주 중인데다 유주택자여서 서울이나 인근 수도권 지역에서 분양하는 신규 아파트 청약에 도전하기가 어려운 상황이었는데  서울거주자이면서  주택자도  순위에 청약할 수 있다고 해서 방문했다 며  설명을 들으ㅂ보니 입지도 훌륭하고  미래가치도 높아서 청약에 도전할 생각 이라고 말했다    오피스텔에 대한 반응도 긍정적이다  경기도 분당시에 거주하는 최모씨 세 는 공간이 분리돼 있어 독립적인 공간이 가능해 좋았고  오피스텔이 아닌 소형 아파트라고 생각할 수 있을 정도로 평면이 잘 나왔다 며  무엇보다 세탁기  마감재 등 대부분이 무상 옵션이라는 점에 너무 마음에 들었다 고 전했다    한편  별내자이 더 스타 는 오는  일 특별공급을 시작으로  일 일반공급  순위 청약이 진행된다  당첨자 발표는 오는  월  일이며   월  일 일  일간 정당 계약을 진행할 예정이다  분양가는  당  만원이다     hoya fnnews com 김동호 기자     헉  소리나는 스 토리 뉴스 [헉스]   아는 척 하고 싶은 당신을 위한 [두유노우]  날로먹고 구워먹는 금융이슈 [파인애플]    저작권자   파이낸셜뉴스  무단 전재 재배포 금지 ,2020-10-19,10:47:00,2020-10-19,1
5,2020-10-19 10:47,GS건설  별내자이 더 스타  인기몰이, 전용 가 추첨제 진행 주택자도 당첨 가능성 높아 이목 집중라이브 방송에 여 명 동시 접속 흥행 지난  일 GS건설이 분양에 돌입한  별내자이 더 스타  견본주택에 방문한 수요자들이 전용  B 타입 유니트를 둘러보고 있다   사진 GS건설 제공 [파이낸셜뉴스] GS건설이 분양에 돌입한  별내자이 더 스타 가 수요자들의 호평을 받으며 흥행을 예고했다  분양가상한제 적용으로 시세보다 분양가가 저렴하고 수도권 전역에서  순위 신청이 가능해서다  사이버 견본주택은  여명이 동시 접속하고 누적시청자 수는  만 명이 돌파하며 뜨거운 인기를 방증했다    GS건설은 지난  일 유튜브채널  자이TV 를 통해 진행한  별내자이 더 스타  견본주택 실시간 라이브 방송에는 누적시청자 수가  만 여명이 참석했다고  일 밝혔다  이날 라이브 방송은 견본주택을 방문하지 못하는 수요자들을 위해 모형도  위치도  유니트 내부 곳곳을 소개하며 실시간 댓글을 통해 시청자와 소통하는 방식으로 진행됐다    방송에 참여한 시청자들은  직장 때문에 직접 가지 못해 아쉬웠는데  이렇게 실제 모습을 실시간 방송으로 진행해 아쉬움을 달랠 수 있어 좋았다 며  청약에 사람들이 많이 몰릴 것 같은데  꼭 당첨되고 싶다 는 소망을 드러내기도 했다    실시간 방송이 종료된 뒤엔 견본주택 방문 예약을 한 방문자들의 발길이 이어졌다  사회적 거리두기로 인해 사전방문 예약제로 진행된 별내자이 더 스타는  월 일 일까지  일간 진행하는  차 관람예약이 방문 예약 시작 약  시간만에 마감 될 정도로 수요자들의 관심이 높았다    이처럼 뜨거운 반응은  분양가상한제 적용으로 주변 시세보다 합리적 분양가  별내역 역세권  일반상업지구의 풍부한 인프라  GTX B  지하철  호선 연장 등 대형 호재 등으로 풀이된다    견본주택을 방문한 박모씨 세 서울 거주 는  서울에 거주 중인데다 유주택자여서 서울이나 인근 수도권 지역에서 분양하는 신규 아파트 청약에 도전하기가 어려운 상황이었는데  서울거주자이면서  주택자도  순위에 청약할 수 있다고 해서 방문했다 며  설명을 들으ㅂ보니 입지도 훌륭하고  미래가치도 높아서 청약에 도전할 생각 이라고 말했다    오피스텔에 대한 반응도 긍정적이다  경기도 분당시에 거주하는 최모씨 세 는 공간이 분리돼 있어 독립적인 공간이 가능해 좋았고  오피스텔이 아닌 소형 아파트라고 생각할 수 있을 정도로 평면이 잘 나왔다 며  무엇보다 세탁기  마감재 등 대부분이 무상 옵션이라는 점에 너무 마음에 들었다 고 전했다    한편  별내자이 더 스타 는 오는  일 특별공급을 시작으로  일 일반공급  순위 청약이 진행된다  당첨자 발표는 오는  월  일이며   월  일 일  일간 정당 계약을 진행할 예정이다  분양가는  당  만원이다     hoya fnnews com 김동호 기자     헉  소리나는 스 토리 뉴스 [헉스]   아는 척 하고 싶은 당신을 위한 [두유노우]  날로먹고 구워먹는 금융이슈 [파인애플]    저작권자   파이낸셜뉴스  무단 전재 재배포 금지 ,2020-10-19,10:47:00,2020-10-19,1
6,2020-10-19 11:40,GS건설   조 억 문현 구역 재개발 수주, 아파트  가구 오피스텔  실GS건설이 총 공사비  조 억원 규모의 문현 구역 사진  재개발 사업 을 수주했다   일 정비업계에 따르면 부산 문현 구역 재개발 조합은 지난  일 시공사 선정 총회를 열고 GS건설을 최종 선정했다 문현 구역 재개발사업은 부산 남구 남동천로  일대  만 가 대상이다  GS건설에 따르면 지하  층 지상  층에 아파트  개동  오피스텔  개동으로 지어진다  아파트  가구  오피스텔  실 등 총  가구가 공급된다  총 공사비는  조 억원으로 추정된다 조합은 지난달 두 차례 입찰을 진행했지만 모두 GS건설만 단독 참여해 자동 유찰됐다  이후 조합이 수의계약으로 전환하며 GS건설이 우선협상대상자로 선정됐다  양영경 기자 디자인의 미래  헤럴드 디자인포럼 밀리터리 전문 칼럼  헤밀 헤럴드경제 네이버 채널 구독  Copyrights   헤럴드경제   heraldbiz com  무단 전재 및 재배포 금지  ,2020-10-19,11:40:00,2020-10-19,1
7,2020-10-19 13:06,포스코건설 부산 대연 구역 수주 문현 구역은 GS건설 품으로, 조 안팎 대규모 사업시공사에 포스코건설문현 구역은 GS건설 선정부산 대현 구역 조감도[아시아경제 유인호 기자  최동현 기자] 포스코건설와 GS건설이 부산에서 공사비  조원 안팎의 대규모 재개발 사업을 잇따라 따냈다 일 정비업계에 따르면 포스코건설은 전날 열린 부산 남구 대연 구역 조합원 총회에서 시공사로 선정됐다  이 사업 입찰에는 포스코건설 외에 HDC현대산업개발 롯데건설 사업단이 참여했었다 대연 구역 사업은 부산 남구 대연 동   일대 노후 주택가를  개동  가구의 아파트로 재개발하는 것으로  공사비만  억원에 달하는 매머드급 프로젝트다 구역은 UN조각공원 서쪽에 자리잡고 있다  북쪽으로 부산지하철 호선 대연역  못골역이 위치해 있다  주변에는  년 입주한  가구 규모의 대연롯데캐슬레전드를 비롯해 대규모 재개발 사업이 추진중이다 포스코건설 측은 가구당  만원을 민원처리비로 지급하고  당  만 원의 낮은 공사비를 제시해 조합원들의 지지를 얻어냈다고 설명했다 이번 수주로 포스코건설은 올들어 서울 서초구 신반포 차  송파 가락현대 차  대구 경남타운  경기 용인 수지 보원아파트 리모델링 등  조 억원의 정비사업 시공권을 확보했다 부산 문현 구역 조감도GS건설 역시 지난  일 열린 부산 문현 구역 재개발조합 총회에서 시공사로 선정됐다  이 사업에 단독 입찰한 GS건설은 수의계약 방식으로 이 사업을 따냈다 이에따라 남구 문현동   일대 문현 구역에는 지하  층 지상  층 아파트  개 동  가구와 오피스텔  개 동  실이 들어선다  공사비는  조 억원 규모다  구역은 부산 국제금융센터 BIFC 와 인접해 있으며 지하철 호선 국제금융센터 부산은행역  문현역이 가깝다  GS건설은 이번 수주로 올해 약  조 억원의 정비사업 수주고를 기록중이다 유인호 기자 sinryu asiae co kr최동현 기자 nell asiae co kr   년 신축년  신년운세와 토정비결은  발 빠른 최신 뉴스  네이버 메인에서 바로 보기  요즘 트렌드 모아보고 싶을 땐  드링킷 경제를 보는 눈  세계를 보는 창 아시아경제 무단전재 배포금지 ,2020-10-19,13:06:00,2020-10-19,1
8,2020-10-19 13:06,포스코건설 부산 대연 구역 수주 문현 구역은 GS건설 품으로, 조 안팎 대규모 사업시공사에 포스코건설문현 구역은 GS건설 선정부산 대현 구역 조감도[아시아경제 유인호 기자  최동현 기자] 포스코건설와 GS건설이 부산에서 공사비  조원 안팎의 대규모 재개발 사업을 잇따라 따냈다 일 정비업계에 따르면 포스코건설은 전날 열린 부산 남구 대연 구역 조합원 총회에서 시공사로 선정됐다  이 사업 입찰에는 포스코건설 외에 HDC현대산업개발 롯데건설 사업단이 참여했었다 대연 구역 사업은 부산 남구 대연 동   일대 노후 주택가를  개동  가구의 아파트로 재개발하는 것으로  공사비만  억원에 달하는 매머드급 프로젝트다 구역은 UN조각공원 서쪽에 자리잡고 있다  북쪽으로 부산지하철 호선 대연역  못골역이 위치해 있다  주변에는  년 입주한  가구 규모의 대연롯데캐슬레전드를 비롯해 대규모 재개발 사업이 추진중이다 포스코건설 측은 가구당  만원을 민원처리비로 지급하고  당  만 원의 낮은 공사비를 제시해 조합원들의 지지를 얻어냈다고 설명했다 이번 수주로 포스코건설은 올들어 서울 서초구 신반포 차  송파 가락현대 차  대구 경남타운  경기 용인 수지 보원아파트 리모델링 등  조 억원의 정비사업 시공권을 확보했다 부산 문현 구역 조감도GS건설 역시 지난  일 열린 부산 문현 구역 재개발조합 총회에서 시공사로 선정됐다  이 사업에 단독 입찰한 GS건설은 수의계약 방식으로 이 사업을 따냈다 이에따라 남구 문현동   일대 문현 구역에는 지하  층 지상  층 아파트  개 동  가구와 오피스텔  개 동  실이 들어선다  공사비는  조 억원 규모다  구역은 부산 국제금융센터 BIFC 와 인접해 있으며 지하철 호선 국제금융센터 부산은행역  문현역이 가깝다  GS건설은 이번 수주로 올해 약  조 억원의 정비사업 수주고를 기록중이다 유인호 기자 sinryu asiae co kr최동현 기자 nell asiae co kr   년 신축년  신년운세와 토정비결은  발 빠른 최신 뉴스  네이버 메인에서 바로 보기  요즘 트렌드 모아보고 싶을 땐  드링킷 경제를 보는 눈  세계를 보는 창 아시아경제 무단전재 배포금지 ,2020-10-19,13:06:00,2020-10-19,1
9,2020-10-19 15:45,[공시]GS건설   분기 영업익  억 전년   ,    [파이낸셜뉴스] GS건설은 연결 기준 올해  분기 영업이익이  억원으로 지난해 동기보다   증가한 것으로 잠정 집계됐다고  일 공시했다    매출은  조 억원으로 작년 동기 대비   감소했다  순이익은  억원으로   줄었다   ggg fnnews com 강구귀 기자     헉  소리나는 스 토리 뉴스 [헉스]   아는 척 하고 싶은 당신을 위한 [두유노우]  날로먹고 구워먹는 금융이슈 [파인애플]    저작권자   파이낸셜뉴스  무단 전재 재배포 금지 ,2020-10-19,15:45:00,2020-10-20,1
