title,date,article
"코스피, 외인·기관 매도에 약보합 출발…2990선 거래중
기사승인 2021. 11. 16. 09:19",2021. 11. 16. 09:19,"사진=게티이미지뱅크
코스피가 외국인과 기관의 매도세에 밀려 약보합 출발했다.

16일 한국거래소에 따르면 오전 9시05분 기준 코스피 지수는 전장보다 6.31포인트(0.21%) 내린 2993.89에 거래되고 있다. 지수는 전장보다 3.84포인트(0.13%) 내린 2995.68로 시작해 낙폭을 키우고 있다.

유가증권시장에서 외국인과 기관은 각각 241억원, 383억원을 순매도한 반면 개인은 622억원을 순매수 중이다.

코스피 시가총액 상위 종목 중 삼성전자(0.28%), NAVER(0.12%), LG화학(1.31%), 삼성SDI(1.06%) 등이 상승 중인 반면 SK하이닉스(-0.90%), 삼성바이오로직스(-1.27%), 삼성전자우(-0.15%) 등이 하락 중이다.

상승 업종은 섬유의복(1.03%), 의료정밀(0.33%), 전기전자(0.19%) 등이며 하락 업종은 은행(-1.59%), 통신장비(-1.09%) 등이다.

같은 시각 코스닥도 외국인과 기관의 매도에 약보합세다. 지수는 전장보다 0.41포인트(0.04%) 내린 1028.62에 거래되고 있다. 전장보다 0.32포인트(0.03%) 오른 1029.35로 출발한 지수는 혼조세를 보이고 있다.

코스닥 시장에서 외국인과 기관은 439억원, 69억원을 순매도 중인 반면 개인은 522억원을 순매수하고 있다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(-0.54%), 에코프로비엠(-1.06%), 씨젠(-1.28%) 등이 떨어지고 있고 펄어비스(5.99%), 엘앤에프(0.52%), 카카오게임즈(0.31%), 위메이드(0.16%) 등이 오르고 있다.

상승 업종은 디지털컨텐츠(0.95%), 소프트웨어(0.75%), 통신장비(0.36%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 1.20원(0.10%) 내린 1178.40원에 거래 중이다."
"용인시, 축구센터 보상비 900억으로 스포츠테마파크 조성
기사승인 2021. 11. 15. 17:05",2021. 11. 15. 17:05,"용인시축구센터/제공=용인시
용인 홍화표 기자 = SK하이닉스 반도체 클러스터의 내년 1월 착공으로 ‘용인시축구센터’ 이전 보상비 900여억원으로 경기 용인시 양지면에 스포츠테마파크가 조성된다.

15일 용인시 등에 따르면 처인구 원삼면 죽능리에 있는 용인시축구센터를 용인시 양지면 청소년수련원 일대 시유지로 이전하면서 청소년수련원과 연계한 스포츠테마파크를 조성할 계획이다.

시는 우선 350여원을 들여 시유지 등 9만6000여㎡ 부지에 현재 시설규모(천연잔디구장 2면 과 인조잔디구장 4면 등 6개 축구장, 210명 수용 규모의 기숙사, 체력단련실, 물리치료실 등)이상의 시설을 마련할 방침이다.

또 기존 17만5958㎡ 부지에 있는 노후된 청소년수련원 시설(217명 수용 규모의 생활관, 천연잔디구장 1면, 실내체육관, 다목적운동장, 썰매장, 강당, 세미나실, 식당)을 450여억원을 투입해 리모델링하고 X-sports 시설을 신설할 방침이다.

시 관계자는 “축구센터 이전은 내년 1월로 이전에 따라 기존 청소년수련원과 연계를 통해 스포츠테마파크를 조성할 계획”이라며 “내년에 용역을 실시해 2025년 까지 조성할 계획이다”고 말했다."
"코스피, 외인·기관 매수에 상승 마감…장중 3000선 회복
기사승인 2021. 11. 15. 16:17",2021. 11. 15. 16:17,"코스피는 15일 전거래일보다 30.72포인트(1.03%) 오른 2999.52에 거래를 마치며 이틀 연속 올랐다./연합뉴스
코스피가 15일 외국인과 기관의 매수세에 힘입어 1%포인트 상승 마감했다.

이날 한국거래소에 따르면 코스피 지수는 전장보다 30.72포인트(1.03%) 오른 2999.52로 장을 마감했다. 전장보다 20.88포인트(0.70%) 오른 2989.68로 시작한 지수는 상승세를 타며 장중 한때 3003.71까지 오르기도 했다.

유가증권시장에서 외국인과 기관은 각각 3995억원, 4169억원을 순매수한 반면 개인은 8150억원을 순매도했다.

코스피 시가총액 상위 종목들은 대부분 올랐다. 삼성전자(1.13%), SK하이닉스(4.23%), NAVER(0.49%), 카카오(1.57%), 삼성바이오로직스(3.72%), 삼성전자우(1.07%) 등이 강세 마감한 반면 LG화학(-1.16%), 기아(-0.35%) 등이 약세 마감했다.

상승 업종은 의약품(4.27%), 의료정밀(3.30%), 증권(2.33%), 전기전자(1.62%) 등이며 하락 업종은 전기가스업(-1.91%), 섬유의복(-1.16%), 통신업(-0.31%) 등이다.

코스닥도 외국인의 매수세에 힘입어 2%포인트 올랐다. 지수는 전장보다 19.96포인트(1.98%) 오른 1029.03로 장을 마감했다. 전장보다 7.28포인트(0.72%) 오른 1016.35로 시작한 지수는 상승폭을 키워가며 강세 마감했다.

코스닥 시장에서 외국인은 홀로 722억원을 순매수한 반면 개인과 기관은 각각 501억원, 33억원을 순매도했다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(8.42%), 에코프로비엠(0.27%), 펄어비스(2.92%), 엘앤에프(1.04%) 등이 올랐고 CJ ENM(-1.60%) 등이 내렸다.

상승 업종은 유통(4.82%), 제약(3.67%), 반도체(3.33%), 소프트웨어(2.90%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 1.20원(0.10%) 내린 1178.40원에 마감했다."
"코스피, 외인 ‘사자’에 강보합 출발…2990선 거래중
기사승인 2021. 11. 15. 09:30",2021. 11. 15. 09:30,"사진=게티이미지뱅크
코스피가 15일 외국인의 매수세에 힘입어 강보합 출발했다.

이날 한국거래소에 따르면 오전 9시27분 기준 코스피 지수는 전장보다 21.56포인트(0.73%) 오른 2990.36로 거래되고 있다. 전장보다 20.88포인트(0.70%) 오른 2989.68로 시작한 지수는 상승폭을 키우고 있다.

유가증권시장에서 외국인은 홀로 939억원을 순매수한 반면 개인과 기관은 각각 706억원, 168억원을 순매도 중이다.

코스피 시가총액 상위 종목 중 삼성전자(0.85%), SK하이닉스(3.76%), 카카오(1.57%), 삼성바이오로직스(3.12%), 삼성전자우(0.61%) 등이 강세인 반면 LG화학(-1.68%), 카카오뱅크(-0.97%) 등이 약세를 보이고 있다.

상승 업종은 의약품(3.39%), 의료정밀(1.61%), 전기전자(1.23%), 비금속광물(0.92%) 등이다.

코스닥도 개인의 매수세에 힘입어 오름세다. 코스닥 지수는 전장보다 13.41포인트(1.33%) 오른 1022.48로 거래되고 있다.

코스닥 시장에서 개인은 홀로 624억원을 순매수하고 있는 반면 외국인과 기관은 각각 285억원, 311억원을 순매도 중이다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(7.60%), 에코프로비엠(0.20%), 엘앤에프(2.70%), 펄어비스(2.25%), 카카오게임즈(0.83%), 위메이드(0.48%) 등이 강세를 보이고 있다.

상승 업종은 유통(3.82%), 제약(2.58%), 반도체(2.41%), 통신장비(2.45%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 2.70원(0.23%) 오른 1182.30원에 거래되고 있다."
"미중 반도체 전쟁 격화...미, 대중투자 규제·투자 확대...중, 투자확대·로비강화
기사승인 2021. 11. 13. 22:28",2021. 11. 13. 22:28,"조 바이든 미국 대통령이 지난 4월 12일(현지시간) 백악관 루스벨트룸에서 열린 ‘반도체 화상 회의’에서 반도체 웨이퍼를 들고 있다./사진=워싱턴 D.C. AP=연합뉴스
미국 행정부가 인텔의 중국 내 생산 확대 계획을 막은 것으로 알려져 한국 기업의 중국 내 생산에도 영향을 미칠지 주목된다.

미국 반도체 기업 인텔은 최근 중국 쓰촨(四川)성 청두(成都) 공장에서 반도체 재료인 실리콘 웨이퍼 생산 확대 계획을 세웠으나 조 바이든 미 행정부가 안전보장 이유를 들어 반대해 무산됐다고 블룸버그통신이 13일(현지시간) 소식통을 인용해 보도했다.

바이든 행정부의 결정은 미국 기술의 중국 이전을 막으려는 조치의 일환으로 해석된다. 바이든 행정부가 이 같은 조치를 동맹으로 확대할 경우 중국에 공장이 있는 삼성전자와 SK하이닉스, 그리고 세계 최대 반도체 파운드리(위탁생산) 업체인 대만 TSMC(臺灣積體電路製造) 등의 중국 내 공장 생산 계획에도 영향을 미칠 가능성을 배제할 수 없다.

미국은 최근 수년 동안 반도체를 만드는 데 사용되는 소프트웨어·장비·기술의 수출을 엄격히 통제하고, 반도체 제조와 설계에서 미국의 우위를 강화하기 위해 새로운 정책을 수립하면서 수십억 달러 투자 계획을 세우는 등 중국의 반도체 산업 발전을 좌절시키려고 노력해왔다고 미 일간 월스트리트저널(WSJ)이 전날 보도했다.

실제 미 상무부는 반도체 부족 사태에 대응한다는 명분으로 한국·대만·미국 등 반도체 기업에 반도체 재고와 주문·판매·리드 타임(발주에서 공급까지의 시간)·조달 관행·생산량 증산 계획·고객사 정보 등 민감한 정보에 이르기까지 26개 항목의 설문에 대한 답변을 지난 8일까지 제출하라고 요구했고, 대부분 기업은 이에 응했다.

미국 상무부가 반도체 공급망에 관한 의견을 제출하도록 한 의견 양식./사진=미 상무부 홈페이지 캡처
하지만 이번 조치에도 불구하고 인텔은 포함한 미 반도체 기업들이 반도체 공급 부족 문제를 해결하기 위해 중국에 대한 투자를 확대하고 있는 흐름을 막기는 쉽지 않아 보인다.

미 시장조사기관 로디움그룹에 따르면 2017년부터 지난해까지 미국 벤처캐피털과 반도체 대기업, 그리고 개인 투자자들의 중국 반도체 산업에 대한 투자 협약은 직전 4년보다 2배 이상 늘어난 58건이었다고 WSJ이 전했다.

지난해에만 미국의 중국 반도체 투자는 20건으로 역대 최다를 기록했다. 인텔은 반도체 설계 소프트웨어를 제작하는 중국 프리마리우스 테크놀로지를 지원하는 적극적인 투자자 중 하나라고 WSJ은 전했다.

WSJ은 이 같은 투자 협약과 별도로 미 실리콘밸리의 벤처캐피털인 세쿼이아캐피털(40건)과 라이트스피드 벤처파트너스·매트릭스 파트너스·레드포인트 벤처스의 중국 자회사들은 지난해 초부터 중국 반도체 기업들에 최소 67건을 투자했다고 밝혔다.

투자의 홍수에 놀란 일부 미 행정부 관리들과 의원들은 규제와 실제 투자의 격차를 줄이는 방안을 고려하고 있다.

제이크 설리번 백악관 국가안보회의(NSC) 보좌관은 7월 수출 통제를 회피하거나 국가안보를 해치는 방식으로 경쟁국들의 기술력 향상을 도울 수 있는 미국의 대외 투자 영향을 살펴보고 있다고 말했다.

실제 NSC 관리들은 중국과 러시아 등 ‘적성국’에 대한 중요 공급망과 기술산업 자원의 해외 이전과 투자를 감시하는 법안을 공동 발의한 밥 케이시(민주)·존 코닌(공화) 상원의원의 보좌관들과 회동해 대책을 논의했다고 WSJ은 전했다.

이에 중국은 자국 반도체 기업에 대한 투자 확대와 미 경제계에 대한 로비 활동을 강화하고 있는 것으로 전해졌다.

중국 최대 파운드리 업체인 SMIC(中芯國際·중신궈지)는 중국 정부 주도 반도체 육성 펀드인 국가집적회로(IC)산업투자펀드2기(대기금2기) 등의 지원을 받아 상하이(上海) 자유무역구에 자본금 55억달러(6조5000억원) 규모의 합자 회사를 설립했다고 전날 공고했다고 중국 경제매체 차이신(財新)이 보도했다.

아울러 미국주재 중국대사관이 최근 몇 주간 미국 기업·경제단체 등 관계자들에 서한을 보내 의회에서 미국 경쟁력을 강화하는 특정 법안이 수정 또는 폐기되는 데 힘써달라고 요구하고 있다고 로이터통신이 전했다.

서한에는 “부정적인 영향을 미치는 중국 관련 법안의 결과는 미국 기업 이익이 보호되고 중국 기업은 고통받는 것이 아니다”라며 “모든 이가 피해 볼 것”이라고 경고도 포함됐다고 로이터는 밝혔다."
"코스피, 개인 1조원 ‘팔자’에도 2960선 회복…코스닥은 다시 ‘천스닥’
기사승인 2021. 11. 12. 16:13",2021. 11. 12. 16:13,"12일 코스피는 전날보다 43.88포인트(1.50%) 오른 2968.80에 마감했다./연합
코스피가 개인의 1조원 매도에도 외국인과 기관의 매수세에 2960선을 회복했다.

12일 한국거래소에 따르면 코스피 지수는 전장보다 43.88포인트(1.50%) 오른 2968.80로 장을 마감했다. 지수는 전장보다 21.03포인트(0.72%) 오른 2945.95로 개장해 상승폭을 키웠다.

유가증권시장에서 외국인과 기관은 각각 4356억원, 5940억원을 순매수했다. 반면 개인은 1조455억원을 순매도했다.

코스피 시가총액 상위 종목 중 삼성전자(1.00%), NAVER(0.49%), 카카오(1.20%), 삼성바이오로직스(1.71%), LG화학(2.25%) 등이 올랐고 SK하이닉스(-0.93%), 삼성SDI(-0.27%) 등이 내렸다.

상승 업종은 의료정밀(9.24%), 은행(4.12%), 철강금속(4.11%), 증권(2.52%) 등이다.

코스닥도 외국인의 매수세에 힘입어 1000선을 회복했다. 지수는 전장보다 16.42포인트(1.65%) 오른 1009.07로 장을 마감했다. 전장보다 6.64포인트(0.67%) 오른 999.29로 시작한 지수는 오름세를 이어갔다.

코스닥시장에서 외국인이 홀로 2223억원을 순매수했고, 개인과 기관은 각각 1786억원, 492억원을 순매도했다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(-0.23%), 에코프로비엠(-0.14%) 등이 약세를 보인 반면 엘앤에프(6.15%), 카카오게임즈(4.19%), 위메이드(4.71%) 등이 올랐다.

상승 업종은 반도체(3.32%), 통신장비(3.27%), 화학(2.65%), 비금속(2.53%), 금속(2.46%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 1.20원(0.10%) 내린 1179.60원에 거래를 마쳤다."
"코스피, 외인·기관 매수에 장초반 오름세…2950선 회복
기사승인 2021. 11. 12. 09:39",2021. 11. 12. 09:39,"사진=게티이미지뱅크
코스피가 외국인과 기관의 매수세에 힘입어 장초반 오름세다.

12일 한국거래소에 따르면 오전 9시 28분 기준 코스피 지수는 전장보다 25.91포인트(0.89%) 오른 2950.83에 거래되고 있다. 지수는 전장보다 21.03포인트(0.72%) 오른 2945.95로 시작해 상승폭을 키워가고 있다.

외국인과 기관은 유가증권시장에서 각각 926억원, 344억원을 순매수 중인 반면 개인은 1316억원을 순매도 중이다.

코스피 시가총액 상위 종목 중 삼성전자(0.57%), SK하이닉스(0.47%), 삼성바이오로직스(0.37%), LG화학(1.06%), 삼성전자우(0.31%) 등이 오르고 있고 NAVER(-0.37%), 카카오(-0.40%) 등이 내리고 있다.

상승 업종은 의료정밀(7.86%), 철강금속(4.11%), 운수창고(3.03%), 의약품(1.61%), 은행(1.41%) 등이다.

같은 시각 코스닥은 개인 매수세에 힘입어 강보합 출발했다. 지수는 전장보다 6.65포인트(0.67%) 오른 999.16에 거래되고 있다. 전장보다 6.64포인트(0.67%) 오른 999.29로 출발한 지수는 장중한때 1002.12까지 오르기도 했다.

코스닥 시장에서 개인은 1205억원을 순매수한 반면 외국인과 기관은 각각 661억원, 534억원을 순매도하고 있다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(1.87%), 에코프로비엠(0.02%), 셀트리온제약(4.03%), 에이치엘비(0.77%) 등이 오르고 있고 펄어비스(-4.52%), 엘앤에프(-0.83%), 카카오게임즈(-0.97%) 등이 내리고 있다.

상승 업종은 반도체(2.08%), 화학(1.81%), 통신서비스(1.83%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 0.10원(0.01%) 내린 1180.70에 거래 중이다."
"코스피, 기관 매도에 약보합 마감…장중 2900선 붕괴 ‘위험’
기사승인 2021. 11. 11. 16:12",2021. 11. 11. 16:12,"11일 코스피는 전 거래일보다 5.25포인트(0.18%) 내린 2924.92로 장을 마쳤다. /연합뉴스
코스피가 11일 기관의 매도세에 밀려 약보합 마감했다.

이날 한국거래소에 따르면 코스피 지수는 전장보다 5.25포인트(0.18%) 내린 2929.92로 장을 마감했다. 지수는 전장보다 18.76포인트(0.64%) 내린 2911.41로 시작해 장중한때 2903.72까지 떨어졌지만 반등했다.

기관은 유가증권시장에서 2379억원을 순매도한 반면 개인과 기관은 1414억원, 883억원을 순매수했다.

코스피 시가총액 상위 종목 중 삼성전자(-0.43%), SK하이닉스(-0.92%), NAVER(-1.81%), 삼성바이오로직스(-0.12%), 현대차(-1.68%), 기아(-1.87%), 셀트리온(-0.70%) 등이 약세 마감한 반면 카카오(1.21%), LG화학(2.44%), 삼성SDI(0.67%) 등이 강세 마감했다.

상승 업종은 은행(0.55%), 화학(0.42%) 등이며 하락 업종은 운수창고(-0.15%), 철강금속(-0.31%), 전기전자(-0.37%) 등이다.

반면 코스닥은 외국인의 매수세에 힘입어 상승 마감했다. 지수는 전장보다 4.90포인트(0.50%) 오른 992.65로 거래를 마쳤다. 전장보다 6.33포인트(0.64%) 내린 981.42로 개장한 지수는 오름세를 이어갔다.

코스닥 시장에서 외국인은 홀로 1661억원을 순매수했다. 개인과 기관은 각각 998억원, 241억원을 팔아치웠다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(0.71%), 에코프로비엠(4.58%), 펄어비스(6.01%), 엘앤에프(4.14%), 카카오게임즈(1.75%) 등이 올랐고 위메이드(-0.33%), 셀트리온제약(-1.02%), 에이치엘비(-2.51%) 등이 내렸다.

상승업종은 디지털컨텐츠(3.65%), 화학(2.98%), IT부품(2.74%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 0.10원(0.01%) 내린 1180.80로 마감했다."
"방미 문승욱 산자, 미 상무·에너지 장관과 반도체·에너지 대등 협력 합의
기사승인 2021. 11. 11. 13:49",2021. 11. 11. 13:49,"문승욱 산업통상자원부 장관이 10일(현지시간) 미 워싱턴 D.C. 인근 버지니아주의 한 음식점에서 가진 특파원 간담회에서 방미 성과를 설명하고 있다./사진=하만주 특파원
문승욱 산업통상자원부 장관은 방미 기간 지나 러몬도 미 상무장관과 제니퍼 그랜홈 에너지부 장관 등을 만나 반도체·에너지 등 분야에서 한·미가 대등한 입장에서 협력을 강화하기로 합의한 것으로 전해졌다.

아울러 문 장관은 2015~2017년 완제품 평균 물량의 70%로 한국의 철강 대미 수출량을 제한하는 문제에 관해 향후 논의의 틀을 구축한 것으로 알려졌다.

문승욱 산업통상자원부 장관이 9일(현지시간) 미국 워싱턴 D.C. 상무부 회의실에서 지나 레이몬도 미국 상무부 장관과 면담한 후 기념사진을 찍고 있다./사진=산업통상자원부 제공
문 장관은 10일(현지시간) 워싱턴 D.C. 인근 버지니아주의 한 음식점에서 한 특파원 간담회에서 전날 러몬도 상무장관과의 회담에서 지금까지 국장급이었던 한·미 산업협력 대화를 장관급으로 확대 격상하는 안을 제안했고, 이에 러몬도 장관이 동의를 표하면서도 절차 문제 등 내부적인 검토 절차를 거치고 향후 논의해 공식화하자고 답했다고 밝혔다.

아울러 한·미 산업협력 대화 내에 반도체 파트너십 대화를 신설해 민간기업·연구소 등이 참여하는 민관 합동 파트너십 형태로 진행하기로 하고, 제1차 회의를 12월 8일 화상으로 열기로 했다고 설명했다.

한·미는 반도체 파트너십 대화에서 공급망과 산업협력 워킹그룹을 만들기로 합의했다고 ‘대화’ 한국측 수석대표를 맡게 되는 최우석 산자부 소재융합산업정책관이 전했다.

미국이 EU·일본 등과 다자 틀이 아니라 단일 국가와 반도체 대화를 진행하는 것은 이번이 처음인 것으로 알려졌다.

문 장관은 러몬도 장관과의 회담에서 미국과 유럽연합(EU) 간 철강 관세 완화 합의에 따른 한국산 철강에 적용된 70% 쿼터제 완화 문제와 관련, “국제 무역 질서와 좀 안 맞는 부분이 있다”며 “한국 정부도 상응하는 논의를 기대한다”고 말했다고 밝혔다.

이에 러몬도 장관은 “지금은 EU 등과 먼저 순서가 진행되고 있다”면서도 한국과의 논의 필요성에 공감하고 앞으로 ‘적정 시간’에 해 나가자고 화답했다고 문 장관이 전했다.

러몬도 장관은 삼성전자·SK하이닉스 등 전 세계 반도체 기업 등의 반도체 정보 제출과 관련, ‘이번이 굉장히 이례적인 상황에서 일회적 조치를 한 것이고, 그 부분에 한국 측 기업이 잘 협조해준 것에 대해 고맙다는 표현을 했다’고 한다.

조 바이든 행정부와 반도체 공급망 문제에 대응하기 위해 반도체 기업 등에 기초 자료를 요구한 것으로 향후 비슷한 요구를 하지 않을 것이라고 해석한 것이다.

문승욱 산업통상자원부 장관(왼쪽 두번째)이 10일(현지시간) 미국 워싱턴 D.C. 에너지부 회의실에서 제니퍼 그랜홈 미국 에너지부 장관(오른쪽)과 회담하고 있다./사진=산업통상자원부 제공
문 장관은 이날 오후 만난 그랜홈 에너지장관과의 면담에서 그동안 국장급으로 진행한 한·미 에너지정책대화(EPD)를 장관급으로 격상하는 방안을 확정했다.

문 장관은 “이르면 내년 초 제1차 장관급 대화를 진행하자는 쪽으로 의견을 모았다”며 해상풍력 및 2차 전지·수소 등 분야를 중심으로 논의가 이뤄질 것이라고 전망했다.

문 장관과 러몬도 상무·그랜홈 에너지장관의 회담은 대등하고, 양국 간 ‘윈윈’을 모색하는 방향으로 진행된 것으로 전해졌다. 기술력과 원천기술, 그리고 자본력 등에서 여전히 전 세계 최고의 경쟁력을 가진 미국이 이를 고품질로 대량 생산할 수 있는 제조기술을 가졌으면서 동맹인 한국과의 협력에 적극적이었다는 것이다."
"코스피, 기관 ‘팔자’에 약보합…2910선 거래중
기사승인 2021. 11. 11. 09:27",2021. 11. 11. 09:27,"사진=게티이미지뱅크
코스피가 기관의 매도세에 약보합 출발했다.

11일 한국거래소에 따르면 오전 9시11분 기준 코스피 지수는 전장보다 15.02포인트(0.51%) 내린 2915.15에 거래되고 있다. 전장보다 18.76포인트(0.64%) 내린 2911.41로 시작했던 지수는 개인·외인의 매수와 기관의 매도가 팽팽이 맞서면서 약보합 중이다.

기관은 유가증권시장에서 499억원을 순매도 중인 반면 개인과 외국인은 각각 249억원, 260억원을 순매수 중이다.

코스피 시가총액 상위 종목들은 대부분 하락세다. 삼성전자(-0.43%), SK하이닉스(-1.38%), NAVER(-1.81%), 카카오(-1.61%), 삼성바이오로직스(-0.73%), 삼성전자우(-0.61%) 등이다.

상승 업종은 화학(0.58%), 비금속광물(0.57%), 의료정밀(0.47%) 등이며 하락 업종은 유통업(-1.15%), 운수장비(-1.13%), 건설업(-1.06%) 등이다.

같은 시각 코스닥은 오름세다. 코스닥 지수는 전장보다 0.35포인트(0.04%) 오른 988.12에 거래되고 있다. 전장보다 6.33포인트(0.64%) 내린 981.42로 시작했던 지수는 하락폭을 줄이며 오르는 중이다.

코스닥 시장에서 개인은 361억원을 사들이고 있고 기관은 279억원을 팔고 있다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(-0.24%), 펄어비스(-0.87%), 위메이드(-1.49%), 에이치엘비(-1.26%), SK머티리얼즈(-1.18%) 등이 약세를 보이고 있고 에코프로비엠(3.23%), 엘앤에프(1.01%), 카카오게임즈(3.94%) 등은 강세를 보이고 있다.

상승 업종은 디지털컨텐츠(1.47%), 일반전기전자(1.50%), IT부품(1.08%), 화학(0.64%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 5.50원(0.47%) 오른 1186.40원에 거래되고 있다."
