title,date,article
"식품진흥원, ‘제2회 DLG국제식품품평회’ 개최
기사승인 2021. 11. 18. 11:29",2021. 11. 18. 11:29,"한국식품산업클러스터진흥원 전관
익산 박윤근 기자 = 한국식품산업클러스터진흥원은 오는 24일~27일 전북 익산 식품진흥원에서 ‘제2회 DLG국제식품품평회’를 개최한다고 18일 밝혔다.

이번 품평회에서 진흥원은 육가공제품 186개에 대한 품질평가를 진행한다. 행사에는 식품클러스터 입주기업인 하림, 더원푸드, 초심푸드를 포함, CJ제일제당, 선진FS, 동원F&B, 롯데푸드, 에쓰푸드 등 14개사 출품했다.

또 이번 DLG국제식품품평회를 위해 12명의 DLG 전문평가위원이 참석할 예정이다.

행사 마지막날인 26일에는 심사했던 제품에 대해 시상식(금상, 은상, 동상)과 대표제품의 품평, 독일농업협회, 한국육가공협회와 업무협약식을 진행할 예정이다.

식품진흥원 김영재 이사장은 “유럽에서 공신력을 인정받은 DLG국제식품품평회를 통해 우리나라의 우수한 제품들의 국제적 인지도를 향상시키는데 크게 기여할 수 있을 것으로 기대된다”며 “아울러 육가공 제품과 유가공품 등 품목 확대를 통해 국내 식품산업 제품 경쟁력을 향상시킬 수 있도록 아낌없는 지원을 하겠다”라고 전했다."
"CJ제일제당, ‘미래 먹거리’ 스타트업 투자 본격화
기사승인 2021. 11. 17. 14:11",2021. 11. 17. 14:11,"제공=CJ제일제당
관련종목
CJ제일제당(097950)
CJ제일제당이 미래 먹거리를 위한 전략적 투자를 확대하고 있다.

CJ제일제당은 올 들어 국내외 스타트업들과 미국 대체 단백 전문 펀드 등 10군데에 투자했다고 17일 밝혔다.

새롭게 투자한 글로벌 스타트업은 △미요코스 크리머리 △플렌터블 △시오크밋 등 미래 대체식품관련 기업이다. 또 글로벌 대체단백 전문펀드 중 최대 규모인 우노비스에도 투자해 시장 동향을 파악하고 유망 스타트업의 투자 및 협업을 추진하고 있다.

국내 스타트업의 경우 케어위드, 리하베스트 등 다양한 식품영역에 투자해 기존 사업과의 협업 기회를 모색한다. 지난 6월부터는 글로벌 엑셀러레이터 스파크랩과 협업한 스타트업 발굴 육성 프로그램 ‘프론티어 랩스’를 통해 선발된 잇그린, 엘로이랩, 베러먼데이의 경우 데모데이 이후 추가 후속 투자를 결정할 계획이다.

투자 전문성과 실행력을 높이기 위한 내부 전담 조직도 구성했다. 지난 4월 ‘뉴 프론티어팀’을 꾸려 반 년 만에 국내외 식품 분야의 다양한 투자 성과를 올린 데 이어 9월에는 바이오사업부문에 ‘테크 브릿지팀’을 신설, 아일랜드 생명공학기업 누리타스(Nuritas)에 투자했다.

CJ제일제당 관계자는 “혁신하지 않는다면 생존을 담보할 수 없는 국내외 사업 환경 속에서 ‘스타트업의 도전 정신’과 ‘유연한 대응력’은 미래 성장동력 확보에 필수적인 요소”라며 “앞으로도 현실에 안주하지 않고 변화와 혁신을 이어가기 위한 새로운 시도를 지속할 것”이라고 말했다."
"CJ Feed&Care, 사료·축산 ‘기술 심포지엄’ 개최
기사승인 2021. 11. 16. 13:42",2021. 11. 16. 13:42,"CJ제일제당의 사료·축산 자회사인 CJ Feed&Care가 ‘친환경 및 디지털 전환’을 주제로 연구개발(R&D)에 나서고 있다.

CJ Feed&Care는 최은석 CJ제일제당 대표와 김선강 CJ Feed&Care대표를 비롯한 주요 경영진과 학계 및 업계 관계자들이 참석한 가운데 ‘기술 심포지엄(Tech Symposium)’을 진행했다고 16일 밝혔다.

CJ Feed&Care는 “친환경과 디지털로의 전환은 사료·축산 시장에서도 거스를 수 없는 거대한 흐름으로 자리잡았다”며 “CJ Feed&Care도 국내 업체중 유일하게 사료·축산·생산 기술 관련 R&D센터 세 곳을 운영하며 글로벌 수준의 연구개발 역량을 강화하고 있다”고 설명했다.

회사 측에 따르면 심포지엄에서는 ‘ICT기술을 통한 농장제어와 스마트팜’처럼 첨단 정보통신기술을 축산업에 접목하는 기술과 ESG경영의 일환으로 추진한 ‘양돈 악취저감 설계기술 개발’ 등이 소개됐다. 아울러 CJ Feed&Care가 최근 주력하고 있는 첨단 방역 역량(Biosecurity)을 기반으로 개발중인 ‘동물질병 예방기술 서비스’도 소개됐다.

최 대표는 “모든 분야에서 ‘친환경’과 ‘디지털’은 핵심적인 가치가 됐다”며 “사료·축산을 비롯해 식품과 바이오 전 사업부문간 유기적인 시너지를 통해 경쟁력을 강화하는 것이 무엇보다 중요하다”고 강조했다.

또한 김 대표는 “과거 우리나라 축산업계가 선진국들로부터 기술을 전수 받은 것처럼, 이제는 동남아시아를 비롯한 신흥국에 우리 기술과 노하우를 전파하고 있다”고 말했다.
사료축산 심포지엄 참석한 최은석 CJ제일제당 대표/제공=CJ제일제당"
"“CJ, 위드코로나로 자회사 실적 정상화 구간 진입할 것”
기사승인 2021. 11. 16. 08:37",2021. 11. 16. 08:37,"이베스트투자증권은 16일 CJ에 대해 위드코로나 국면에 접어들면서 자회사 실적이 정상화 구간이 진입할 것이라고 진단했다. 이에 투자의견 ‘매수’와 목표주가 14만원을 각각 유지했다.

CJ 3분기 연결기준 매출액은 전년동기대비 7.6% 상향한 8조9000억원, 영업이익은 16.0% 늘어난 4976억원을 기록했다.

이승웅 이베스트투자증권 연구원은 “상장 자회사 중 CJ제일제당과 CJ ENM 실적이 영업이익 성장을 견인했다” 며 “비상장 자회사 실적도 고성장을 이어갔다. CJ올리브네트웍스는 그룹 내 SI 프로젝트 및 외부판매(Non-Captive) 수주로 매출액 1199억원, CJ올리브영은 온라인 비중 확대되며 매출액 5,541억원을 기록했다”고 설명했다.

그는 “2022년 하반기 목표로 CJ올리브영의 기업공개(IPO)를 추진 중인 것으로 파악된다”며 “지난해 프리 IPO에서 1조8000억원 기업가치를 인정 받은 CJ올리브영은 코로나19 이후 온라인 채널의 매출 확대에 집중하면서 수익성이 지속적으로 개선되고 있다”고 했다.

이어 “3분기말 온라인 매출 비중은 24.8%까지 확대됐다”며 “O2O(온라인과 오프라인을 연결한 마케팅) 매장픽업 서비스 확대와 MD 최적화, 프로모션 효율화 등으로 온라인 채널 사용자수가 지속적으로 증가하고 있는 것으로 파악된다. 온라인 매출 비중 확대로 21년 영업이익률은 6.0%포인트까지 상승할 전망”이라고 덧붙였다.

이 연구원은 “그동안 자회사의 구조조정과 수익성 개선 작업을 통해 비용 효율화를 진행했기 때문에 이익 레버리지 효과가 강하게 발현될 것”이라며 “2022년 CJ올리브영 IPO는 동사 순자산가치(NAV) 확대와 지배구조 개편 기대감으로 이어질 것”이라고 전망했다."
"영양까지 더했다…CJ 더비비고, 건강 간편식 시장 선도
기사승인 2021. 11. 16. 08:22",2021. 11. 16. 08:22,"CJ제일제당의 건강간편식 ‘더비비고’가 출시 1년만에 가정간편식(HMR) 시장의 새장을 열고 있다. ‘건강한 한식’을 내세운 차별화된 제품으로 건강과 영향을 추구하는 소비자들의 식탁을 공략한 것이 주효했다.

14일 유통업계에 따르면 ‘더비비고’는 지난해 11월 공식 출시 후 월 평균 매출이 지속적으로 증가하며 1년간 누적판매량 100만봉 판매를 기록했다. 시장에선 백화점과 식품전문몰 CJ더마켓 등 제한된 유통 채널에서만 판매돼 왔다는 점을 감안하면 의미 있는 성과라고 평가한다.

건강한 HMR을 찾는 소비자들이 증가하면서 ‘더비비고’ 판매처도 확장되고 있다. CJ제일제당 측은 “올해 8월부터는 이마트(47개 점포), 홈플러스(15개 점포) 등 일반 대형마트에서도 국물요리 6종과 덮밥소스 5종 등 ‘더비비고’ 11종을 만나볼 수 있다”며 “HMR 시장 성장 속에서 건강간편식 카테고리가 일반 대중에게 더 가까이 다가가고 있는 것”이라고 설명했다.

실제 한국농수산식품유통공사(aT)에 따르면 국내 HMR 시장 규모는 2016년 2조2700억원, 2020년 4조원으로 4년 사이 76% 급성장했다. 오는 2022년에는 시장규모가 5조원에 이를 전망이다.

‘더비비고’는 한국영양학회의 검증을 받은 CJ만의 제품설계 기준인 ‘CJ 영양설계 가이드라인’에 따라 개발된 제품이다. 차세대 한식 HMR이라는 점을 내세운 ‘더비비고’는 공식 출시 후 국물요리 6종(도가니탕·수삼갈비탕·전복가자미미역국·영양오리백숙·황기닭백숙·영양꼬리곰탕)과 덮밥소스 5종(차돌우렁강된장덮밥소스·버섯불고기덮밥소스·두부청국장덮밥소스·우엉소고기덮밥소스·열무된장덮밥소스)의 라인업을 갖추고 있다.

특히 ‘더비비고’는 한식이라는 점에서 기존 ‘비비고’ 제품과 동일하지만 건강과 영양을 더했다는 점에서 차별화된다. CJ제일제당은 “더비비고는 한식에서 과한 섭취가 우려되는 나트륨과 콜레스테롤은 줄이고 식생활에서 부족하기 쉬운 영양소인 단백질 및 식이섬유는 더한 것이 특징”이라며 “식재료는 도가니·수삼·전복·문어·오리 등과 같이 기존 HMR 제품에서 일반적으로 원가를 고려했을 때 사용하기 어려운 고가의 원물들을 사용했다”고 밝혔다.

CJ제일제당이 이처럼 건강에 초점을 맞춘 HMR 시장에 공을 들이는 이유는 소비자들의 건강한 먹거리에 대한 소비 욕구와 간편식 시장의 꾸준한 성장 가능성 때문이라는 해석이다. 일례로 해외 HMR 시장 트렌드만 살펴봐도 이미 빠른 속도로 건강간편식은 성장세를 보이고 있다. 유로모니터에 따르면 미국·유럽 등 해외 선진국에서는 ‘헬스앤웰니스 레디밀(Health&Wellness Ready Meals)’ 시장이 약 10조원대 규모로 형성돼 있다. 맛·양·재료를 강조한 기존 가성비 중심의 HMR에서 고단백·저지방·저탄수화물·글루텐프리 등 소비자의 식생활과 라이프스타일을 반영한 세분화된 HMR 시장으로 자리잡고 있는 것이다.

CJ제일제당 관계자는 “HMR 시장이 세분화되면서 소비자들이 선호하는 메뉴가 다양해졌고 눈높이도 높아지고 있는데 건강한 한식 HMR에 대한 소비자 니즈를 충족시킬 수 있는 ‘건강간편식’ 시장은 제대로 형성되지 않은 실정”이라며 “CJ제일제당은 국내 대표 HMR 기업으로서 ‘건강간편식’이라는 새로운 시장을 만들어 키울 계획”이라고 전했다.
더비비고 대표 메뉴 /제공=CJ제일제당"
"CJ제일제당, 다우존스 지속가능경영 아태지수 업계 유일 7년 연속 편입
기사승인 2021. 11. 14. 12:55",2021. 11. 14. 12:55,"관련종목
CJ제일제당(097950), CJ제일제당 우(097955)
CJ제일제당은 세계적 권위의 ‘다우존스 지속가능경영지수’(DJSI) 평가에서 7년 연속 아시아·태평양 지수에 편입됐다고 14일 밝혔다.

이 지수에 7년 연속 이름을 올린 것은 국내 식품기업 중 CJ제일제당이 유일하다.

DJSI는 세계 최대 금융정보사인 미국 ‘S&P 다우존스’와 지속가능성 평가 전문기관인 스위스 ‘로베코 샘’이 공동개발한 글로벌 기업평가 기준이다. 경제·환경·사회적 측면을 고려한 평가를 통해 기업의 지속가능성 평가 및 사회 책임투자의 지표로 활용된다.

CJ제일제당은 아시아·오세아니아 지역 609개 기업 중 상위 25%에 포함되며 ‘DJSI 아시아·태평양 지수’에 등재됐다. 경제·환경·사회 등 3개 분야 내 32개 항목과 135개 세부과제 평가에서 전체적으로 우수한 점수를 받았다.

특히 △지속가능경영(환경·사회·지배구조) 전략을 수립하고 중장기 로드맵을 구체화한 점 △글로벌 현지화 전략을 통해 해외 시장 경쟁력을 강화하고 획기적 성장을 가속화한 점 △소비자의 건강과 영양을 고려한 제품 출시를 확대한 점 등의 성과를 높게 평가 받았다. 또 2013년부터 매년 지속가능보고서를 발행해 지속가능경영의 주요 활동들을 대내외에 투명하게 공개하고 있는 노력도 인정 받았다고 강조했다.

CJ제일제당은 ‘건강과 안전’ ‘지속 가능한 환경’이라는 핵심 공유가치 창출을 위해 역량을 집중해 오고 있다. 고객의 건강과 영양을 위해 ‘식품안전 통합시스템’을 구축하고 원재료 조달·연구개발·생산·판매에 이르기까지 전 밸류체인에서 발생할 수 있는 품질 문제를 사전에 예방하고 안전하게 관리한다는 설명이다.

또 고객의 건강을 고려한 ‘CJ 영양설계 가이드라인’을 수립, 이 기준에 따라 제품의 영양학적 품질을 평가하고 품목별 열량 및 5개 영양소(지방·포화지방·트랜스지방·당류·나트륨)의 상한 기준치를 정해 건강간편식 ‘더비비고’ 등 제품에 적용하고 있다. 화학처리 등 인위적 공정이 없는 클린라벨 조미소재인 ‘테이스트엔리치’도 개발해 31개국 100여 개 기업에 공급하고 있다.

지속 가능한 환경을 위한 다양한 노력들도 펼치고 있다. 지난해에는 순환 자원 인증 등을 통해 전년에 비해 7.7배 개선된 총 5577톤의 폐기물을 줄였고, 재활용 소재 활용, 경량화 등 패키징 기술 개발을 통해 1019톤의 플라스틱 사용량을 줄여 1527톤의 탄소배출량을 감축했다. 또 해양 등의 자연환경에서 생분해되는 플라스틱 소재인 PHA를 개발, 시중 제품 포장비닐에 세계 최초로 적용하는 등 플라스틱 사용량 감축 노력을 지속해오고 있다.

CJ제일제당 관계자는 “‘DJSI 아시아·태평양 지수’ 편입은 아시아·태평양 지역에서 가장 경쟁력 있고 존경 받는 글로벌 지속가능경영 우수기업임을 인정받았다”며 “진정성 있는 실행과 끊임없는 노력으로 글로벌 최고 수준의 지속가능경영 기업으로 자리매김할 것”이라고 말했다.

CJ제일제당은 동반성장지수 평가 6년 연속 최우수 등급 획득, 한국기업지배구조원 ESG 평가 5년 연속 통합부문 A등급 획득, 한국경영인증원 주관 글로벌스탠더드경영대상 2년 연속 ‘지속가능경영대상’ 수상 등의 평가를 받고 있다."
"CJ제일제당, HDC현대EP와 ‘화이트바이오’ 합작법인 설립
기사승인 2021. 11. 12. 17:07",2021. 11. 12. 17:07,"CJ제일제당-HDC현대EP와 합작법인 설립 /
관련종목
CJ제일제당(097950), CJ제일제당 우(097955)
CJ제일제당은 HDC현대EP와 ‘바이오 컴파운딩 합작회사 설립을 위한 본계약(JVA)’을 체결했다고 12일 밝혔다.

컴파운딩(Compounding)은 두 개 이상의 산업 소재를 혼합하는 생산 방식을 말한다. HDC현대EP는 국내 최대 컴파운딩 기업이다. CJ제일제당이 보유한 최고 수준의 미생물 발효·정제 기술과 HDC현대EP의 친환경 소재 컴파운딩 역량이 결합되면서 사업적 시너지가 크게 발휘될 것으로 기대된다.

CJ제일제당은 본계약을 통해 화이트바이오 사업 다각화에 적극적으로 나설 방침이다. 화이트바이오는 재생 가능한 자원을 이용하거나 미생물·효소 등을 활용해 기존 화학산업의 소재를 바이오 기반으로 대체하는 산업이다.

CJ제일제당은 내년 3분기 본 생산 개시를 목표로 HDC현대EP가 보유한 충북 진천 소재 공장에 약 240억원 규모의 설비 투자를 진행할 예정이다. 합작법인은 국내에서 유일하게 CJ제일제당만 생산 가능한 해양 생분해 플라스틱 소재인 PHA 등 생분해 소재를 활용해 컴파운딩 솔루션 개발 및 바이오 플라스틱 대량생산에 나서게 된다.

최은석 CJ제일제당 대표는 “CJ제일제당의 축적된 바이오 기술 및 마케팅 역량과 HDC현대EP의 경쟁력이 결합돼 다양한 친환경 컴파운딩 사업 시너지를 발휘할 것”이라며 “글로벌 고객사의 ESG 목표와 정부의 탄소중립 정책을 실현할 수 있는 ‘플라스틱 순환경제 솔루션’을 제공할 수 있을 것으로 확신한다”라고 말했다."
"CJ ‘더비비고’, 출시 1주년 ‘건강공식 기획전’ 연다
기사승인 2021. 11. 11. 15:19",2021. 11. 11. 15:19,"CJ제일제당 더비비고 건강공식 기획전 이미지./제공=CJ
관련종목
CJ(001040), CJ제일제당(097950)
CJ제일제당 더비비고가 출시 1년을 맞아 다양한 행사를 진행한다. CJ제일제당은 더비비고 제품 구매 시 경품을 증정하는 행사를 열고, ‘더비비고 건강공식’ 주제의 유튜브 영상을 제작, 소개한다고 11일 밝혔다.

더비비고는 한국영양학회의 검증을 받은 ‘CJ 영양설계 가이드라인’에 따라 개발된 제품이다. 최근 CJ제일제당이 더비비고 구매자 700명을 조사한 결과, 응답자 절반 이상이 구매 이유로 ‘건강 콘셉트 및 건강한 원재료’를 꼽았고, 그 중 96%가 ‘제품에 만족한다’고 응답했다.

이같은 더비비고의 특장점을 보다 많은 소비자가 경험할 수 있도록 다양한 온·오프라인 소비자 프로모션을 마련했다.

이마트와 홈플러스에서 이달 말까지 ‘이시영의 건강공식 캠페인’ 로드쇼를 진행한다. 더비비고 국물요리와 덮밥소스 등 11종 중심의 별도 매대를 마련해 전자레인지 용기 등 구매자 대상 사은품을 증정한다.

식품전문몰 CJ더마켓에서는 ‘건강공식’을 테마로 다음달 2일까지 기획전을 연다. 더비비고 제품 3만원 이상 구매 시 추첨을 통해 더비비고 3종, 요가매트, 손수건 등으로 구성된 건강공식 키트를 증정한다. SSG닷컴 등 온라인몰에서는 ‘왓츠인마이카트’ 이벤트를 연다. 제품 구매 후 이달 말까지 개인 인스타그램에 인증샷을 올리는 방식이며, 추첨을 통해 건강쇼핑지원금 100만원, 건강공식 키트 등 경품을 증정한다. 오는 16일 네이버 라이브커머스에서는 더비비고 구매 고객에게 다양한 사은품을 제공한다.

더비비고는 영상으로도 만날 수 있다. ‘+건강을 채우다, -걱정을 비우다’를 주제로 비비고 공식 유튜브 채널에 소개된다.

CJ제일제당 관계자는 “집밥 수준의 맛 품질에 건강과 영양까지 확보한 더비비고는 국내에 건강간편식이라는 새로운 시장을 창출하며 HMR의 진화를 주도하고 있다”며 “포트폴리오를 지속적으로 확장하며 소비자 건강과 삶을 지원하는 건강 간편식 대표 브랜드로 키워갈 것“이라고 말했다."
"골프·명품에 투자한다?…NH아문디운용, 이색 ETF 잇달아 출시
기사승인 2021. 11. 10. 15:46",2021. 11. 10. 15:46,"관련종목
NH투자증권(005940), NH투자증권우(005945)
NH아문디자산운용이 명품·골프 등에 투자하는 이색 ETF(상장지수펀드)를 시장에 잇달아 내놓으며 투자자들 관심을 끌고 있다.

한국거래소에 따르면 10일 기준 국내 증시에 상장된 NH-Amundi자산운용의 ETF는 26개다. 이 중 HANARO Fn K-POP&미디어, HANARO Fn K-게임, HANARO Fn K-메타버스MZ, HANARO Fn전기&수소차 등 10개 ETF가 올해 상장했다. 모두 최근 증시를 뜨겁게 달군 테마들이다. 처음 ETF 상품을 내놓기 시작한 2018년 7개, 2019년 4개, 2020년 4개보다 올해 더 다양하고 많은 상품을 출시한 셈이다.

NH아문디 자산운용 관계자는 “다른 자산운용사와 달리 차별화된 ETF 테마 상품 출시에 집중하고 있다”며 “최근 주요한 테마성 이슈인 동시에 장기적으로 성장성이 높은 분야를 엄선해 출시하는 만큼 수익률 측면에서 성과도 괜찮은 편”이라고 말했다.

◇다양한 ETF 테마 상품 출시
NH-아문디는 시장 진출이 다른 자산운용사에 비해 늦었던 만큼 차별화된 ETF를 내놓는 데 집중하고 있다. 2018년 12월 출시된 HANARO 농업융복합산업, 2020년 5월 내놓은 HANARO 글로벌럭셔리S&P(합성) 등이 대표적인 이색 ETF다. 올 초(1월 4일)부터 지난 9일까지 수익률은 각각 9.69%, 37.5%에 달한다.

먼저 HANARO농업융복합산업 ETF는 에프앤가이드 농업융복합산업지수를 추종하는 상품으로, KT&G, CJ제일제당, 팜스코, LG화학, 오뚜기 등을 골고루 담고 있다. 김현빈 NH아문디 자산운용 ETF 전략팀장은 “해당 종목은 농업을 기반으로 다양한 부가가치를 창출하는 차세대 성장산업인 6차산업에 투자한다”며 “NH아문디의 농협 DNA를 가장 잘 나타내는 상품”이라고 설명했다.

HANARO 글로벌럭셔리S&P ETF는 미국 S&P(스탠더드앤푸어스) 글로벌 명품지수를 추종하는 ETF로, 말 그대로 명품에 투자한다. 포르쉐, 루이비통모에헤네시(LVMH), 인터컨티넨탈호텔그룹, 티파니 등 80개 종목의 주가를 반영해 수익률이 정해지는 방식이다. 국내 기업 중엔 아모레퍼시픽, 호텔신라 등이 들어가 있다.

◇골프 ETF 상장 추진…테마형 상품으로 승부
NH-아문디자산운용은 이달 24일 중 국내 첫 골프 관련 ETF를 상장할 예정이다. 골프존 등 국내골프 관련 기업에 투자하는 상품이다.

김 팀장은 “골프 관련 키워드 연관도가 높은 종목들로 구성 된다”면서 “주로 스크린골프 등 관련 사업을 운영 중인 골프존, 골프의류 및 용품을 판매하는 휠라홀딩스, 골프장을 운영하는 KMH 기업들이 포함될 예정이다”고 밝혔다.

김 팀장은 골프 ETF를 최초로 개발한 배경으로 MZ(1980~2000년대생)세대를 중심으로 불고 있는 골프 열풍과 골프 산업의 장기 성장성 등을 꼽았다. 그는 “코로나19 사태 이후 젊은층의 골프 시장 유입이 급격히 증가했다”면서 “향후 해외 골프시장이 오픈 된다고 하더라도 골프의류 및 용품, 스크린골프 등의 산업은 유입된 인구에 의해 장기적으로 꾸준히 성장해 나갈 것으로 전망한다”고 밝혔다.

NH아문디 자산운용은 앞으로도 계속 다양한 ETF 테마 상품을 선보인다는 계획이다. 김 팀장은 “한국의 글로벌 경쟁력에 투자하는 K-시리즈, 전세계적 흐름인 ESG 분야 등 다양한 국내외 테마형 상품을 준비하고 있다”며 “또한 친환경 기업에 투자하는 액티브 ETF도 출시해 액티브 ETF 라인업도 강화할 계획”이라고 덧붙였다."
"자기자본 90프로가 대출…CJ 해상풍력사업 첩첩산중
기사승인 2021. 11. 10. 06:00",2021. 11. 10. 06:00,"관련종목
CJ(001040), CJ제일제당(097950), CJ E&M(130960)
이재현 CJ그룹 회장의 장남인 이선호 CJ제일제당 부장이 최대주주로 있는 씨앤아이레저산업이 미래사업으로 선택한 굴업도 해상풍력발전사업이 추진 초기부터 어민 반대와 사업 불확실성으로 인해 순탄치 않은 상황이 이어지고 있다.

최근 씨앤아이레저산업은 해상풍력발전 사업부문을 별도법인인 ‘굴업풍력개발(가칭)’로 물적분할하고, SK디앤디와 대우건설이 참여하는 컨소시엄을 구성하는 등 사업을 본격화했다. 씨앤아이레저산업은 재원조달 방식 변경으로 신설하는 자회사 지분율을 높여 승계에 유리한 구조도 만들었다.

하지만 발전사업 허가권 자회사 양도에 대한 정부 심의를 통과하고 주민 동의와 사업성도 이끌어내야 하는 과제에 직면한 상태다. 이런 과정을 거쳐 해상풍력발전 설비를 가동한다고 해도 1조3000억원이 넘는 투자비용 회수 등 사업 실효성 논란도 이어질 것이란 전망도 나온다.

9일 에너지업계에 따르면 오는 26일 산업통상자원부 소속 전기위원회는 씨앤아이레저산업의 분할 인가 신청 건을 심의한다. 전기위원회는 이 심의를 통해 씨앤아이레저산업이 발전사업 허가권을 굴업풍력개발로 양도하는 것에 대한 적합성과 재원조달 타당성 등을 검토한다. 지난해 9월 굴업도 해상풍력 발전사업 허가권을 취득한 씨앤아이레저산업의 최대주주는 지분 51%를 보유한 이선호 부장이다. 이 부장의 누나인 이경후 CJ ENM 부사장과 그의 남편인 정종환 CJ부사장도 각각 24%와 15%의 지분을 갖고 있다.

씨앤아이레저산업은 발전사업 허가를 받은 후 재원조달 계획을 바꾸고 컨소시엄을 구성했다. 컨소시엄에는 SK디앤디가 150억원, 대우건설이 100억원을 각각 출자하며 참여할 계획이다. 컨소시엄 구성은 12월 초 최종 마무리된다. 씨앤아이레저산업은 발전사업 허가권 신청 당시만 해도 템플턴하나자산운용으로부터 926억1000만원 규모의 투자를 받을 예정이었다. 하지만 당초 계획과 달리 템플턴하나자산운용은 투자를 철회했다. 대신 이 부장과 이 부사장 주식에 대한 담보대출을 1719억원에서 2396억원으로 늘렸다. 이에 따라 굴업풍력개발에 대한 씨앤아이레저산업의 지분율은 당초 계획보다 높아질 전망이다.

다만 이런 자금조달 계획의 적절성은 이번 전기위원회 심의에서 주요 쟁점이 될 것으로 보인다. 정부 관계자는 “자기자본의 90%가량을 대출로 조달하는 것이 적절한지 이번 심의에서 따져볼 필요가 있다”고 설명했다.

씨앤아이레저산업이 외부 투자를 줄이고 대출을 늘린 것은 신설 자회사와 해상풍력발전사업을 승계 작업에 활용하기 위한 포석이라는 분석이 나온다. 씨앤아이레저산업의 지분 확대는 추후 발전공기업 참여에 따른 지분 매각이 이뤄져도 높은 지분율을 유지하게 하고 투자 수익도 극대화할 수 있기 때문이다. 박상인 서울대 교수는 “사업권 허가를 받은 후 파이낸싱 방식을 지분투자가 아닌 차입 위주로 바꿔 2세 지분율을 높게 유지하려는 것”이라며 “회사 가치를 높여 인수합병이나 상장 등을 생각할 수 있다. 향후 승계를 염두에 두지 않았으면 굳이 재원조달 방식을 변경할 필요가 없었다”고 강조했다.

심의 후에도 해상풍력발전 사업의 순항 여부는 미지수다. 개발행위 허가 최종단계인 관할 지자체의 공유수면점·사용허가 단계에서 어민·주민들의 동의가 필수다. 적절한 보상이 이뤄지면 수용할 수 있다는 의견도 있지만 반대 여론도 있다. 강차병 인천 옹진군 대이작도 어촌계장은 “보상을 논의할 때가 아니다. 어민들 의견 수렴 없이 일방적으로 기업들과 지자체가 사업을 난립 추진해 어업 활동에 피해가 생기고 장사하는 사람들도 타격을 받는다”며 “사업 구역과 풍황계측기 설치 구역을 재설정해야 한다”고 말했다.

씨앤아이레저산업은 해상풍력발전소의 전력 연계 지점을 2023년 준공 예정인 충남 서산의 대산개폐소로 희망했다. 하지만 인근 송전선로 보강 지연으로 발전양을 줄이거나 차단기 여유 현황에 따라 연계점이 변경될 가능성도 있다. 이에 2024년 2월 발전소 상업운전을 시작한다는 씨앤아이레저산업의 계획에 차질이 생길 가능성도 배제할 수 없는 상황이다. 제주도 탐라 해상풍력단지는 발전사업 허가를 받고 상업운행까지 11년, 서남해 해상풍력 실증단지는 6년 걸렸다.

사측 관계자는 “어민·주민들과 내년부터 보상 방안을 논의하겠다”며 “외부에서 씨앤아이레저산업이 승계 목적으로 활용될 것이라는 이야기가 있다는 것은 알고 있다. 그러나 그것만을 위해 자회사 지분율을 조정하는 것은 전혀 아니다”라고 말했다."
