title,date,article
"플랜에이 김상욱·서동현 프로듀서, ‘2021 케이팝 (((레이더))) 틱톡’ 크리에이터 선정
기사승인 2021. 11. 19. 17:12",2021. 11. 19. 17:12,"플랜에이 김상욱 대표 프로듀서, 서동현 프로듀서가 ‘2021 케이팝 (((레이더))) 틱톡’을 통해 ‘올해의 케이팝 크리에이터’로 선정됐다. /제공=스페이스오디티
플랜에이 김상욱 대표 프로듀서, 서동현 프로듀서가 케이팝 최초의 컨퍼런스인 ‘2021 케이팝 (((레이더))) 틱톡’을 통해 ‘올해의 케이팝 크리에이터’로 선정됐다.

‘2021 케이팝 (((레이더))) 틱톡’은 최근 케이팝의 디자인, 가사, 무대 연출, 버츄얼 아이돌, 팬덤 문화, 케이팝의 데이터 등 케이팝의 안과 밖의 데이터와 트렌드 등의 다양한 주제로 총 10개의 세션을 공개했다.

이 가운데 아이돌의 명품 무대를 만드는 크리에이터들을 집중 조명하는 시간도 마련됐다. 방탄소년단(BTS) 월드투어 콘서트(2013~2019)와 최근 엠넷 ‘킹덤:레전더리 워’의 에이티즈 무대를 연출한 플랜에이 김상욱 대표 프로듀서와 서동현 프로듀서는 ‘올해의 케이팝 크리에이터’로 선정되는 영광을 안았다.

특히 이번 컨퍼런스에서는 지난 6월 전세계 팬들의 뜨거운 관심을 받으며 종영한 ‘킹덤’의 에이티즈 무대가 재조명됐다. 해당 무대를 서동현 프로듀서는 ‘에이티즈라는 아티스트만이 소화할 수 있는 무대’를 연출하는데 집중했다고 밝혔으며, 아티스트의 음악과 보컬을 전체적으로 고려해 콘셉트를 결정했다고 설명했다.

많은 아이돌이 다양한 활동을 펼치며 커다란 세계관과 서사로 주목받고 있는 상황에서, 연출가들의 역할은 더욱 중요해지고 있다. 이에 따라 연출가들은 아티스트의 세계관과 그들의 공연이 유기적으로 연결될 수 있도록 많은 노력을 기울이고 있다.

이와 관련해 케이팝 레이더는 아티스트의 기존 세계관을 확장하고 재생산한 무대를 연출했을 때, 팬들의 효과적인 몰입을 불러일으킬 수 있다고 평가했다.

이번 컨퍼런스에서는 코로나 이후의 케이팝 무대에 대해서도 내다봤다. 우선 오프라인 공연이 활성화되고 AR/XR 등 다양한 신기술을 사용한 하이브리드 공연이 열릴 가능성까지 시사해 기대를 모았다.

한편 2021 케이팝 (((레이더))) 컨퍼런스 관련 내용은 공식 사이트를 통해 무료로 공개됐다. FANDOM, TIKTOK, CREATIVE, NEXT KPOP이라는 총 4가지의 주제로 진행된 이번 컨퍼런스는 케이팝 레이더가 유명 케이팝 평론가인 차우진, 김영대, 김윤하 등과 함께 팀을 이뤄 진행해 전문성을 더했으며, 케이팝의 데이터 뿐 아니라 데이터 그 뒤에 펼쳐진 케이팝의 다양한 트렌드들을 감지한 후 주요 키워드를 발표했다."
"전진수 SKT CO장 “5G·코로나·MZ세대가 메타버스 10년 앞당겼다”
기사승인 2021. 11. 19. 16:31",2021. 11. 19. 16:31,"19일 전진수 CO장은 게임 전시회 ‘지스타 2021’ 콘퍼런스에 참석해 ‘메타버스가 가져올 일상과 산업의 변화’를 주제로 기조연설을 진행했다. /제공=SKT
부산 김아련 기자 = 전진수 SK텔레콤 MNO(이동통신)사업부 메타버스 총괄 CO장은 최근 메타버스가 급부상할 수 있던 요인으로 △5G(5세대) 이동통신의 발전과 등장 △기술의 발전 △코로나19와 같은 특수한 상황 △‘디지털 네이티브’라 불리는 MZ세대 등장 등 네 가지를 꼽았다.
·
19일 전 CO장은 게임 전시회 ‘지스타 2021’ 콘퍼런스에 참석해 ‘메타버스가 가져올 일상과 산업의 변화’를 주제로 기조연설을 진행했다.

전 CO장은 메타버스 콘셉트는 과거부터 존재했다며 진정한 의미의 메타버스의 접근하기 위해서는 다양한 기술을 아우를 수 있어야 한다고 강조했다.

전 CO장은 “현실에서도 급격한 기술 발전이 일어나고 있다”며 “빅테크 기업들은 지금도 혁신 기술 개발에 대규모 자원을 투자하고 있다”고 설명했다. 그는 AI-VR, 하드웨어, 클라우드 기술, 블록체인-NFT 등 파생 기술 및 확장 요소 등을 예시로 들었다.

이어 “코로나19라는 특수한 상황으로 인해 사회문화적으로 급격한 변화가 생겼다”며 “5G와 기술의 빠른 발전, 코로나19, MZ세대의 높은 수용도가 메타버스의 상용화를 10년 앞당겼다”고 설명했다.

마지막으로 그는 “지금의 MZ세대는 어렸을 때부터 디지털을 접했고, 심지어는 태어나자마자 스마트폰을 사용한 이들도 있다”며 “MZ세대는 디지털 수용도가 높기에 메타버스도 자연스럽게 받아들였다”고 설명했다.

아울러 SKT가 이프랜드를 통해 진행 중인 사업 현황에 대한 발표도 진행됐다. 전 CO장은 약 100일 동안 1000건 수준의 제휴가 들어와 소화 가능한 선에서 협력을 진행 중이라고 설명했다.

SK텔레콤의 이프랜드는 아바타로 만나는 클럽하우스를 지향하며 서비스를 이어오고 있다.

이프랜드에서 작업 중인 웹드라마에 대해서는 “실제로 PD가 출연진의 얼굴을 본 적이 없는 채로 만들어져 유튜브와 카카오페이지에 퍼블리싱했다”고 설명했다.

또한 전 총괄은 “P2P 거래와 싸이월드의 도토리의 경우, 과거에는 생태계 밖으로는 가져나갈 수 없었지만 메타버스 세상에는 블록체인과 NFT, 상호교환 등을 통해 패러다임 시프트가 이뤄지고 있고 개발자들은 이 부분을 중점적으로 봐야한다”고 강조했다."
"선진 광산 업계, 지능정보기술 활용 증가…“국내 업계 기술적용 속도내야”
기사승인 2021. 11. 19. 16:14",2021. 11. 19. 16:14,"최요순 부경대 에너지시스템공학과 교수가 광산 관련 AICBM 기술 개발과 적용을 늘려야 한다고 주장했다./사진=한국광해광업공단 유튜브 갈무리
“국제 광산 업계에 첨단 기술 활용이 늘고 있다. 세계 최고 수준인 국내 지능정보기술(AICBM)을 광물·광업 분야에 적용해 수익 창출과 해외 채굴권 확보 수단으로 활용해야 한다.”

19일 최요순 부경대학교 에너지시스템공학과 교수는 아시아투데이와 유선 인터뷰를 통해 AICBM을 미래 광물 기술의 핵심이라고 강조하고 국내 업계는 특히 인공지능과 무인화자동화 기술 확보에 힘써야 한다며 이같이 밝혔다. 이틀전 광해광업공단 주최로 열린 함성한마당 세미나에서 발표한 ‘광해·광업분야 AICBM 기술융합 및 적용’에 대한 방향성을 구체화한 것이다.

이는 최근 해외 광물 자원 확보의 필요성과 수익성 우려가 공존하는 가운데 나온 주장으로 자원 선점에 초점을 맞추기 보다 독일·미국 등 광산 기술 선진국과 같이 AICBM을 광업 분야에 적극 적용해 기술 이전 및 판매 등을 통한 수익성 제고와 현지 채굴권 확보를 노려야 한다는 게 주장의 핵심이다.

지능정보기술(AICBM)은 4차 산업 혁명 시대의 핵심 키워드인 인공지능(AI)과 사물인터넷(IoT)·클라우드(Cloud)·빅데이터(Big Data)·모바일(Mobile)의 합성어로 이들 기능이 모여 정보를 수집·저장·처리·분석·학습하는 기술을 말한다.

최 교수에 따르면 호주와 캐나다 등 세계적인 광물 자원 부국들은 이미 주요 광산 탐사와 채굴에 첨단 AICBM 기술을 활용하고 있다. 반면 독일과 미국 등은 해당 기술 투자·개발에 집중해 이들 국가에 판매하는 데 힘쓰고 있다.

그는 “사물인터넷의 경우 KT·LG유플러스 등 국내 다수 기업들이 이미 시범사업을 통해 개발했고 광산 분야 적용도 진행중”이라며 “이를 통해 수집한 데이터를 광산 채굴에 활용할 수 있도록 하는 것이 인공지능과 자동화 기술”이라고 설명했다. 이어 “기술 개발뿐 아니라 현장 적용이 중요한데 국내 광산의 경우 작업자의 고령화가 두드러져 신기술을 받아들이는 데 어려움과 저항이 있는 게 사실”이라며 “현장 수용성을 고려해 효과적인 적용 방안을 내놓는 것이 중점 고민 사항”이라고 말했다.

최 교수는 “AICBM은 광물 발굴 단가를 낮추고 작업자의 위험도를 낮출 수 있다”며 “국내 자원 중 생산 단가가 높고 경제성이 낮다고 판단돼 채굴이 안된 자원들도 이를 활용하면 경제성을 키울 수 있어 기대되는 측면이 크다”고 덧붙였다.

앞서 17일 한국광해광업공단 주최로 열린 함성한마당 행사에서 최 교수는 ‘광업분야 AICBM 기술융합 및 적용사례’를 발표한 바 있다. 이날 그는 광산 분야의 주요 AICBM 기술을 소개하고 이를 기반으로 현장 자산과 공정, 사람을 연결해 분석·진단한 뒤 생산성과 안전성을 최적화하는 ‘스마트마이닝’의 실제 활용 사례와 향후 발전 방향을 제시했다."
"‘약속왕’ 염태영 시장 “kt 위즈가 정말 자랑스럽다”
기사승인 2021. 11. 19. 10:28",2021. 11. 19. 10:28,"염태영 시장(앞줄 오른쪽)이 선수단과 함께 우승 트로피를 들고 있다./제공 = 수원시
수원 김주홍 기자 = 염태영 수원시장은 “모든 힘을 쏟아낸 kt 위즈 선수들, 코치진, 프런트, 뜨겁게 응원해주신 수원시민, kt 위즈 팬 여러분께 진심으로 감사드린다”고 고마움을 표현했다.

18일 경기장을 찾아 시민들과 함께 응원한 염태영 시장은 개인 SNS에 글을 게시하고 “1군 리그 데뷔 후 첫 3년간 꼴찌를 벗어나지 못하는 등 힘들 때도 있었지만, 우리 시민과 팬 여러분께서 한결같이 함께해 주셔서 여기까지 올 수 있었다”며 “최단기간에 최강팀으로 우뚝 선 kt 위즈가 정말 자랑스럽다”고 말했다.

kt 위즈는 18일 고척스카이돔에서 열린 한국시리즈 4차전에서 두산 베어스를 8대4로 꺾고, 4연승으로 우승을 차지했다. 프로야구 40년 역사에서 창단 후 첫 한국시리즈에서 4연승으로 우승한 팀은 kt 위즈가 처음이다.

지난 10월 31일, 35년 만에 역대 두 번째로 열린 타이브레이크(순위 결정전)에서 삼성 라이온즈에 승리하며 ‘1군 진입 후 최단기간(7년) 정규시즌 우승’이라는 기록을 세운 kt 위즈는 이날 한국시리즈에서 승리하며 최단기간 통합 우승이라는 영예를 안았다.

수원시는 KBO에 프로야구 10구단 유치 제안서를 제출한 2011년부터 지금까지 kt 위즈를 적극적으로 지원하며 막내 구단 kt 위즈의 성장에 큰 역할을 했다.

허구연 프로야구 해설위원, 박동희 MBC스포츠플러스 기자 등 야구인들은 “염태영 시장은 야구단 유치 단계 때 내걸었던 공약을 모두 지키며, 전폭적으로 지원했다”며 수원시의 역할을 높이 평가하기도 했다.

유치의향서를 제출하며 수원시는 ‘수원야구장 리모델링’, ‘KT 야구단에 야구장 25년간 무상 임대’ 등 파격적인 조건을 약속했다.

수원시는 470억 원(국·도비 포함)을 투입해 수원야구장을 2차례에 걸쳐 증축하고 편의시설을 정비했는데, 공사를 할 때 야구인들의 의견을 적극적으로 반영했다.

수원야구장은 리모델링을 거쳐 2만 2000석 규모의 ‘수원 kt 위즈파크’로 다시 태어났고, 야구팬·야구인들에게 “아주 잘 만든 야구장”이라는 평가를 받고 있다.

2013년 1월 창단한 kt 위즈는 이듬해 퓨처스리그(2군 리그)에 참가했고, 2015년 ‘열 번째 구단’으로 1군 리그에 데뷔했다.

하지만 막내 구단에 1군 리그의 벽은 높았다. 2015년 52승 91패로 최하위를 기록했고, 2016년에도 53승 89패로 순위표 끝에 자리했다. 2017년에는 50승을 거두는 데 그치면서 ‘3년 연속 꼴찌’에 그쳤다. 2018년 59승 82패, 창단 후 처음으로 4할 승률을 넘기며 9위로 올라섰다.

2019년 제3대 감독으로 이강철 감독이 부임하며 kt 위즈는 그야말로 ‘환골탈태’를 했다. 2019년 71승 71패로 ‘꿈의 5할 승률’을 달성했다. 6위로 포스트시즌 진출에는 실패했지만, ‘만년 하위권’에서 벗어난 의미 있는 성적이었다.

2020년에는 81승 61패로 정규시즌 2위를 차지하며 팬들을 깜짝 놀라게 했다. 플레이오프에서 1승 3패로 두산 베어스에 져 한국시리즈에 진출하지 못했지만, 팬들에게 큰 박수를 받았다. 그리고 올해 두산 베어스를 상대로 4연승을 하며 지난해 패배의 아픔을 말끔하게 지웠다.

올해는 팀 타선의 절반 멜 로하스 주니어가 일본 프로야구로 진출해 “타선이 약해질 것”이라는 우려가 있었지만, 공백을 잘 메우며 8월 13일부터 두 달 넘게 1위 자리를 놓치지 않았다.

시즌 막바지에 1위 자리를 삼성 라이온즈에 빼앗겼지만, 타이브레이크까지 치른 끝에 결국 정규리그 우승을 차지했다.

염태영 시장은 “창단 최단기간 내 통합우승이라는 마법 같은 일이 현실이 된 오늘의 환희와 감격을 잊지 않겠다”며 “kt 위즈의 우승이 우리 시 모든 프로스포츠팀의 우승으로 이어지길 바란다”고 말했다."
"프로야구 kt 이강철 감독, ‘만년 2인자’서 ‘우승 마법사’로!
기사승인 2021. 11. 19. 09:01",2021. 11. 19. 09:01,"kt 위즈 선수들이 18일 서울 구로구 고척스카이돔에서 열린 2021신한은행 SOL KBO 포스트시즌 한국시리즈 4차전에서 두산을 8-4로 꺾고 창단 첫 통합우승을 달성한 뒤 이강철 감독을 헹가래치고 있다./연합
프로야구 kt 위즈의 이강철 감독이 팀의 첫 정규리그·한국시리즈(KS·7전4승제) 통합 우승을 일궈냈다. 또 KS 최우수선수(MVP) 출신으로 정상을 밟은 첫 사령탑이란 금자탑까지 세웠다.

kt는 지난 18일 서울 고척스카이돔에서 열린 서울 고척스카이돔에서 열린 2021 신한은행 쏠(SOL) KBO 포스트시즌 KS 4차전에서 두산 베어스를 8-4로 제압했다.

시리즈 전적 4승 무패를 기록한 kt는 2013년 창단 이후 8년만에, 2015년 1군에 진입하고 나서 7시즌만에 처음으로 정규리그·KS 통합우승의 위업을 달성했다. 또 KS를 4승 무패로 끝낸 역대 9번째 팀이 됐고, 지난해 처음으로 출전한 포스트시즌 플레이오프에서 두산에 1승 3패로 패했던 빚을 깨끗하게 갚았다.

현역과 지도자로 KS 우승을 모두 경험한 전·현직 감독은 백인천·김재박·선동열 등 9명에 불과하다. 이들 가운데 MVP까지 받았던 사령탑은 이 감독이 유일하다.

언더핸드 투수였던 이 감독은 1996년 해태(KIA 타이거즈 전신) 유니폼을 입고 KS에서 현대 유니콘스를 상대로 5경기에서 1전의 완봉승을 비롯해 2승 1세이브, 평균 자책점 0.56의 빼어난 성적으로 MVP를 차지했다.

그는 1989년부터 2005년까지 17시즌 통산 152승 112패, 53세이브, 평균 자책점 3.29를 기록했다. 특히 다승과 투구 이닝(2204⅔이닝)은 역대 투수 3위에 해당되는 성적이다.

이처럼 화려한 현역 시절 성적에도 불구하고, 광주일고 4년 선배이자 해태 시절 룸메이트였던 선동열 전 감독에 가려 ‘만년 2인자’에 머물러야 했다. 코치로 변신하고 나서도 지휘봉을 쥐기까지 13년이나 걸렸다.

그러나 인고의 시간을 거친 덕분에 특유의 부드러운 성품을 바탕으로 선수 관리와 선진 야구 습득에 특출나다는 평가를 받고 있다. 또 특급 투수 출신답게 마운드 양성과 운용에도 탁월한 능력을 과시한다.

이 감독은 KS를 끝내고 난 뒤 “KS MVP 출신 우승 감독이 없다는 얘기를 듣고 은근히 욕심이 생기더라”며 활짝 웃은 뒤 “
우승하고 나면 허무한 감정이 생기지만, 시간이 지나면 또 우승하고 싶어진다“고 밝혀 두 시즌 연속 우승에 대한 욕심을 미리 털어놨다."
"프로야구 kt, 마법같은 4연승으로 KS 제패하고 첫 통합우승
기사승인 2021. 11. 18. 23:02",2021. 11. 18. 23:02,"kt 위즈 선수들이 18일 서울 고척스카이돔에서 열린 2021 신한은행 쏠(SOL) KBO 포스트시즌 한국시리즈 4차전에서 두산 베어스를 꺾고 창단 첫 통합우승을 확정지은 뒤 얼싸안은 채 환호하고 있다./연합
프로야구 kt 위즈가 창단 8년만에 한국시리즈를 제패하며 통합우승의 꿈을 이뤘다.

kt는 18일 서울 고척스카이돔에서 끝난 2021 신한은행 쏠(SOL) KBO 포스트시즌 한국시리즈(KS·7전 4승제) 4차전에서 두산 베어스를 8-4로 제압했다.

시리즈 전적 4승 무패를 기록한 kt는 2013년 창단 이후 8년만에, 2015년 1군에 진입하고 나서 7시즌만에 처음으로 정규리그·KS 통합우승의 위업을 달성했다. 또 KS를 4승 무패로 끝낸 역대 9번째 팀이 됐고, 지난해 처음으로 출전한 포스트시즌 플레이오프에서 두산에 1승 3패로 패했던 빚을 깨끗하게 갚았다.

kt는 1회초부터 두산을 몰아붙였다. 황재균의 2루타로 선취점을 기록한 뒤 장성우와 배정대의 적시타로 3-0까지 달아났다. 이어진 2회초에 2점을 더한 뒤, 5회초에는 오른쪽 종아리 부상으로 빠진 베테랑 박경수 대신 2루수로 투입된 신본기가 솔로 홈런을 터트렸다. 외국인 타자 제러드 호잉은 신본기로부터 바톤을 넘겨받아 8회초 2사 1루에서 우월 투런 홈런을 날려 우승을 사실상 굳혔다.

반면 두산은 8회말 김재환의 솔로 홈런으로 마지막까지 추격의 의지를 다졌지만, 체력의 한계를 절감하며 2년 연속 준우승에 머물렀다.

한편 KS 최우수선수(MVP)상은 박경수가 받았다. 공수에 걸친 고른 활약으로 기자단 투표에서 유효표 90표 중 67표를 얻은 박경수는 이날 목발을 짚은 채 벤치를 지켜 후배들의 귀감이 됐다."
"[포토] 밝게 웃는 이재명-김혜경
기사승인 2021. 11. 18. 19:31",2021. 11. 18. 19:31,"+6
이재명 더불어민주당 대선 후보와 부인 김혜경 씨가 18일 오후 서울 고척스카이돔에서 열린 '2021 신한은행 SOL KBO리그' KT 위즈와 두산 베어스의 한국시리즈 4차전을 관전하고 있다. /국회사진취재단"
"[포토] 이재명, 한국시리즈 직관
기사승인 2021. 11. 18. 19:30",2021. 11. 18. 19:30,"+6
이재명 더불어민주당 대선 후보와 부인 김혜경 씨가 '2021 신한은행 SOL KBO리그' KT 위즈와 두산 베어스의 한국시리즈 4차전을 관전하기 위해 18일 오후 서울 고척스카이돔으로 입장하고 있다. /국회사진취재단"
"[포토] 이재명, 한국시리즈 관람
기사승인 2021. 11. 18. 19:30",2021. 11. 18. 19:30,"+6
이재명 더불어민주당 대선 후보와 부인 김혜경 씨가 18일 오후 서울 고척스카이돔에서 열린 '2021 신한은행 SOL KBO리그' KT 위즈와 두산 베어스의 한국시리즈 4차전을 관전하고 있다. /국회사진취재단"
"[포토] 손잡은 이재명-김혜경
기사승인 2021. 11. 18. 19:29",2021. 11. 18. 19:29,"+6
이재명 더불어민주당 대선 후보와 부인 김혜경 씨가 18일 오후 서울 고척스카이돔에서 열리는 '2021 신한은행 SOL KBO리그' KT 위즈와 두산 베어스의 한국시리즈 4차전을 관전하기 위해 이동하고 있다. /국회사진취재단"
