title,date,article
"퍼스트무버 나선 LG전자, 도시농부·스크린골프 다음은 무엇?
기사승인 2021. 11. 17. 15:45",2021. 11. 17. 15:45,"LG프로빔 프로젝터가 설치된 케이골프클럽 방배본점 현장사진./제공=LG전자
관련종목
LG전자(066570), LG전자우(066575)
홈브루, 스탠바이미, 틔움, 스크린골프…

LG전자가 새로운 시장 개척을 위해 다양한 실험에 나서고 있다. 맥주 제조기, 자유자재로 옮길 수 있는 TV, 식물재배기에 이어 이번에는 스크린골프다. 전혀 생소했던 의류 관리기 ‘LG 트롬 스타일러’가 이제 가전 필수품으로 자리 잡아 가고 이동식 TV 스탠바이미는 없어서 못 팔 정도로 인기를 누리는 만큼, LG전자의 가전 실험이 이번에도 성공을 거둘지 관심이 쏠린다.

LG전자는 스크린골프 시뮬레이터 제작 전문기업 케이골프(KGOLF)와 협약을 맺고 스크린골프 시장 공략에 나선다고 17일 밝혔다.

이번 협약은 LG전자의 빔프로젝터, PC 등 하드웨어와 케이골프의 골프 시뮬레이터 소프트웨어를 접목해 소비자들에게 실감 나는 스크린골프 환경을 제공하기 위한 것이라고 회사 측은 설명했다.

두 회사는 국내는 물론 해외 스크린골프 시장에서 공동 마케팅을 통해 신규 사업 기회를 발굴한다는 전략이다.

LG전자가 스크린골프 시장 진출을 결정한 것은 최근 급격히 늘고 있는 국내외 골프 인구 때문인 것으로 풀이된다. 골프 산업 규모가 가장 큰 미국은 지난해 스크린골프, 실내연습장 등 골프장 밖에서 골프를 경험한 고객이 약 2500만명에 달한다.

특히 미국, 호주 등 단독주택이 대부분인 시장에서는 주택 내 여유 공간에 스크린골프 전용공간을 마련하는 경우가 늘고 있어, 시장 성장 가능성이 높다는 판단이다.

LG전자 IT사업부장 장익환 전무는 “그동안 프로젝터 시장에서 쌓아온 혁신 기술과 노하우가 케이골프의 소프트웨어와 만나 시너지 효과가 날 것”이라고 기대했다.

LG 스탠바이미./제공=LG전자
업계는 LG전자가 최근 다양한 가전 시장 진출을 모색하며 ‘퍼스트무버(first mover)’로 나서고 있다고 풀이한다.

전자 업계 관계자는 “LG전자가 스마트폰에서 고전했던 경험을 발판 삼아, 경쟁이 치열한 시장에 뛰어드는 후발주자가 되기보다 새로운 시장을 빠르게 개척하겠다는 전략을 세운 것으로 보인다”며 “기술력, 인지도 등 가전에서 확고부동한 경쟁력을 갖췄기 때문에 다양한 실험을 해볼 만하다고 판단한 부분도 있는 듯하다”고 말했다.

LG전자의 최근 스타트업 투자 움직임을 봐도 이 같은 전략을 엿볼 수 있다.

LG전자의 분기보고서에 따르면 LG전자는 세탁 플랫폼·메타버스(가상현실)·헬스케어 등에 올 3분기에만 145억원 이상을 투자했다.

LG전자는 북미 세탁 서비스 플랫폼 운영 기업 린스(Rinse)에 70억원, 차량용 소프트웨어 개발업체 소나투스(Sonatus)에 40억원, 메타버스 플랫폼 기업 ㈜브이에이코퍼레이션에 20억원을 각각 투자했다.

또 디지털 패션 솔루션 기업 ‘언머테리얼리티(Unmatereallity)’에 11억원, 헬스케어(건강관리)·비대면 진료 서비스를 제공하는 ‘㈜비바이노베이션’에도 5억원을 투자했다."
"“소비자가 직접 스마트 가전 검증”…LG전자 ‘홈IOT’ 연구소 개관
기사승인 2021. 11. 17. 11:00",2021. 11. 17. 11:00,"LG전자 연구원들이 홈IoT익스피리언스랩에 설치된 스마트 가전을 활용해 서비스를 검증하고 있다. /제공=LG전자
관련종목
LG전자(066570), LG전자우(066575)
LG전자가 소비자들이 직접 스마트 가전을 체험하고 검증해 볼 수 있는 연구소를 만들었다.

LG전자는 17일 최근 경기 평택시 LG디지털파크 인근 2층 건물에 ‘홈IoT익스피리언스랩(Home IoT eXperience Lab)’을 구축했다고 밝혔다.

연구소 내부는 실제 주거공간처럼 거실, 주방, 침실, 세탁실 등이 마련돼 있고 곳곳에 스마트 가전이 설치됐다. 최근에는 실외에 제품을 설치하는 경우가 늘고 있어 실외 검증을 위한 테라스 공간도 마련돼 있다.

LG전자는 소비자들이 생활하는 환경과 유사하게 만들기 위해 와이파이, LTE, 5G 등 다양한 네트워크 환경을 조성했다. 이 공간에서는 국내뿐 아니라 해외에서 판매하는 제품과 서비스를 검증할 수 있다.

또 LG전자 연구원들이 스마트 가전과 LG 씽큐(LG ThinQ) 앱 간의 연동을 비롯해 공기질 관리나 전력사용량 모니터링과 같은 빌딩관리시스템(BMS, Building Management System), B2B용 홈 IoT 서비스 등을 검증할 수 있다. 아울러 제품이나 씽큐 앱이 네트워크 공유기와 멀리 떨어져 있을 경우 발생할 수 있는 네트워크 성능 저하를 검증하기에도 적합하다는 게 회사측 설명이다.

LG전자는 이 공간에서 다양한 테스트를 진행해 고객가치 관점에서 제품과 서비스의 완성도를 높일 계획이다. 뿐만 아니라 LG 씽큐 앱의 품질을 높여 플랫폼 경쟁력을 강화하는 데 기여할 것으로 기대하고 있다.

김준호 LG전자 품질경영센터장 부사장은 “모든 제품과 서비스는 고객가치에 기반해 완성해야 한다”며 “고객이 감동하는 혁신적인 제품과 서비스를 선보이기 위해 품질을 높이는 데 최선을 다할 것”이라고 말했다"
"LG이노텍, 반도체 기판으로 ‘대통령 표창’ 수상
기사승인 2021. 11. 17. 11:00",2021. 11. 17. 11:00,"이광태 LG이노텍 PS생산담당./제공=LG이노텍
관련종목
LG이노텍(011070)
LG이노텍이 반도체 패키지 기판으로 ‘대통령 표창’을 받았다.

LG이노텍은 자사 이광태 PS(Package Substrate, 패키지용 기판)생산담당이 ‘2021 대한민국 산업기술 R&D 대전’ 행사에서 산업기술진흥 유공 대통령 표창을 수상했다고 17일 밝혔다.

대한민국 산업기술 R&D 대전은 산업통상자원부 주최로 연구기관, 기업 등이 참여해 혁신기술과 제품개발 성과를 공유하는 자리다.

이 담당은 반도체 기판 산업의 국가 경쟁력 향상에 기여한 공로로 대통령 표창을 받았다.

이 담당은 1999년 LG전자에 입사해 기판개발과 생산기술 업무를 맡았다. 2008년부터 LG이노텍 기판소재사업부의 개발, 생산 분야를 두루 거치며 신기술 및 신공법 개발과 생산성 혁신을 이끌어왔다.

특히 이 담당은 통신용 반도체 기판에 독자적인 코어리스(Coreless, 반도체 기판의 코어층 제거)공법, 기판 정합 기술(여러 개의 기판층을 정확하고 고르게 쌓는 기술)및 표면 처리 기술, 방열(열을 내보내거나 내뿜음)공법 등을 새롭게 적용했다.

이를 통해 세계에서 가장 얇으면서도 신호손실량을 최대 70%가량 줄인 제품 개발에 성공하며, LG이노텍의 통신용 반도체 기판이 글로벌 1위를 달성하는데 크게 기여했다고 LG이노텍은 설명했다.

뿐만 아니라 업계 최초로 제품 검사 공정에 인공지능(AI) 딥러닝을 적용해 생산성을 대폭 향상시킨 것은 물론, 제품 불량률을 절반 수준으로 낮췄다. 또 물류 자동화, 빅데이터 기술 등을 반도체 기판 제조 공정에 적극 도입해 스마트 팩토리를 구축했다.

이 외에도 해외 의존도가 높았던 반도체 기판의 핵심 원재료, 도금 및 패턴 형성용 약품, 생산 설비 등을 국산화해 관련 산업의 기술력 확보와 성장에 기여했다는 게 회사측 설명이다.

이 담당은 “이번 수상으로 LG이노텍의 반도체 기판 사업 성과와 경쟁력을 인정받게 되어 기쁘다”며, “기술 및 생산성 혁신으로 고객을 감동시킬 수 있는 차별화 제품을 지속 선보여 나갈 것”이라고 말했다."
"LG전자, 케이골프와 스크린골프 시장 진출…“실감나는 골프”
기사승인 2021. 11. 17. 10:11",2021. 11. 17. 10:11,"LG 프로빔./제공=LG전자
관련종목
LG전자(066570), LG전자우(066575)
LG전자가 스크린골프 시뮬레이터 제작 전문기업 케이골프(KGOLF)와 스크린골프 시장 공략에 나선다.

LG전자와 케이골프는 17일 서울특별시 서초구 방배동에 위치한 케이골프클럽 방배본점(직영)에서 업무협약(MOU)식을 열었다고 밝혔다.

LG전자의 빔프로젝터, PC 등 하드웨어 기술력과 케이골프의 골프 시뮬레이터 소프트웨어를 접목해 고객에게 실감 나는 스크린골프 환경을 제공한다는 목표다.

양사는 해외 스크린골프 시장에서 공동마케팅을 통한 신규 사업기회 발굴, 케이골프 프랜차이즈 매장에 LG프로빔 프로젝터 도입 등을 단계적으로 진행한다.

최근 해외에서도 골프의 인기가 늘어나며 관련 사업이 빠르게 증가하고 있다.

골프 산업 규모가 가장 큰 시장인 미국의 경우, 지난해 스크린골프, 인도어연습장 등 골프장 밖에서 골프를 경험한 고객이 약 2500만 명에 달한다.

특히 미국, 호주 등 단독주택이 대부분인 시장에서는 주택 내 여유 공간에 스크린골프 전용 공간을 마련하는 경우도 늘고 있어 관련 시장은 더 커질 것으로 LG전자는 보고 있다.

LG전자가 케이골프 스크린골프 매장에 도입하는 LG 프로빔(SGU510N)은 최대 300형(대각선 길이: 762cm) 크기 화면에 4K UHD(3,840 x 2,160) 해상도를 갖춘데다, 촛불 5000개를 동시에 켰을 때 밝기와 유사한 5000안시루멘(ANSI lumen) 수준으로 실감나는 골프를 즐길 수 있다고 회사측은 설명했다.

또 일반 램프 광원보다 5배 긴 약 2만시간을 사용할 수 있는 레이저 광원을 탑재해 내구성도 좋다.

최석웅 케이골프 대표이사는 “세계 최고의 IT 제조 기술과 글로벌 판매망을 갖춘 LG전자와의 업무협약으로 국내는 물론, 전 세계시장으로 골프 시뮬레이터를 확대할 수 있는 기틀을 마련했다”며 “향후 스크린골프뿐만 아니라 모바일골프게임 등 골프에 특화된 게임사로 도약할 것”이라고 말했다”

LG전자 IT사업부장 장익환 전무는 “LG전자가 프로젝터 시장에서 쌓아온 혁신 기술과 노하우가 케이골프의 소프트웨어와 만나 시너지 효과가 날 것”이라며 “LG 프로빔을 앞세워 프리미엄 프로젝터 시장을 지속 공략할 것”이라고 강조했다."
"ETRI·LG전자, 국내 오픈소스 연구개발 지원 위해 협력 체계 마련
기사승인 2021. 11. 16. 13:34",2021. 11. 16. 13:34,"16일 (사진 오른쪽부터)김형준 ETRI 지능화융합연구소장이 장문석 LG전자 CTO 부문 전무와 오픈소스 협력의향서(LOI)를 체결하고 기념사진을 찍고 있다./제공=ETRI
관련종목
LG전자(066570), LG전자우(066575)
한국전자통신연구원(ETRI)은 LG전자와 오픈소스 관련 분야 협력을 위한 상호협력의향서(LOI)를 교환하고 공조체계를 구축하기로 했다고 16일 밝혔다.

최근 오픈소스가 SW 개발 방식의 새로운 패러다임으로 떠오르면서 개발 소요시간을 단축하고 시장 변화에 빠르게 대응하기 위해 국내 기업들도 오픈소스를 많이 도입하고 있는 추세다.

그러나 오픈소스 관련 이해 부족으로 무분별하게 오픈소스를 활용하면서 법적 분쟁이 발생하기도 하고 잠재적 기업 손실을 유발할 가능성이 커졌다. 오픈소스 사용이 빈번해지는 만큼 특허와 라이선스 등 법적인 위험 요소뿐 아니라 오픈소스 리스크 관리의 중요성이 매우 높아진 상황이다.

이를 위해 ETRI와 LG전자는 오픈소스 컴플라이언스 오픈소스 저작권 고지준수 및 라이선스 의무 충족을 통해 오픈소스 리스크를 최소화하는 프로세스 체계를 구축하기로 했다.

구체적으로 △오픈소스 관련 연구개발 기술 교류 △오픈소스 컴플라이언스 체계 보급 및 서비스 확산 기여 △국내외 오픈소스 관련 커뮤니티 협력 운영 등을 추진해 나간다.

김형준 ETRI 지능화융합연구소 소장은“이번 협력은 오픈소스 활용이 급증하는 상황에서 건강한 오픈소스 시장 생태계를 실현하고 국내 ICT 산업 발전에 이바지하겠다는 취지로 이뤄졌다”며 “ETRI도 기존 연구개발 문화에 혁신을 더하기 위해 힘을 더하겠다”고 말했다.

장문석 LG전자 CTO 부문 전무는“LG전자는 국내 오픈소스 도입 초기부터 선도적인 역할을 해 왔으며, 사내 오픈소스 개발자를 육성해왔다”며 “오픈소스를 더욱 안전하게 활용하는 환경을 구축함으로써, 국내 오픈소스 개발자들과 함께 SW 강국을 만드는 데 기여하겠다”고 전했다."
"LG전자 ‘오브제컬렉션’ 中 이어 러시아 진출…다음엔 중동·유럽
기사승인 2021. 11. 16. 10:19",2021. 11. 16. 10:19,"LG전자가 최근 러시아 모스크바에서 현지 인플루언서들과 함께 오브제컬렉션 출시행사를 가졌다. 셰프 알렉산더 시소예프(Alexander Sysoev)가 오브제컬렉션을 체험하고 있다. /제공=LG전자
관련종목
LG전자(066570), LG전자우(066575)
LG전자가 중국에 이어 러시아에도 ‘LG 오브제컬렉션’을 선보이며 해외 시장을 넓혀가고 있다.

LG전자는 최근 러시아 모스크바에서 유명 패션 디자이너 이고르 샤르핀(Igor Chapurin), 인테리어 디자이너 안나 무라비나(Anna Muravina) 등 현지 인플루언서들과 함께 오브제컬렉션 출시행사를 가졌다고 16일 밝혔다.

러시아에서 선보인 제품은 오브제컬렉션 상냉장 하냉동 냉장고와 1도어 컨버터블 패키지 제품이다. LG전자는 오브제컬렉션 제품의 현지 고객들 선호도를 고려해 베이지, 실버 색상을 먼저 선보이고 순차적으로 색상을 확대 적용한다. 또 원바디 세탁건조기 워시타워, 스타일러 등 출시 제품군을 늘려갈 계획이다.

앞서 LG전자는 지난 5월 중국에 오브제컬렉션을 출시한 데 이어 러시아 시장까지 진입해 해외 진출에 적극 나서고 있다. 특히 러시아의 경우 LG전자의 스마트폰, 가전 등의 인기가 높은 지역으로 기대를 모은다.

LG전자는 향후 중동, 유럽 등으로 오브제컬렉션 해외 출시를 지속 확대한다는 계획이다.

노영남 LG전자 러시아법인장 상무는 “공간과 조화를 이루는 차별화된 디자인 속에 압도적 성능까지 갖춘 오브제컬렉션을 앞세워 러시아 프리미엄 가전시장을 지속 선도할 것”이라고 말했다.

한편 LG 오브제컬렉션 제품군은 최근 꽃, 채소, 허브 등 다양한 식물을 손쉽게 키우고 즐길 수 있는 신개념 식물생활가전 LG 틔운과 코드제로 A9S 올인원타워 무선청소기 등 혁신적인 신제품들을 추가하며 16종으로 늘었다. 아울러 세계적인 색채 연구소 미국 팬톤컬러연구소(Pantone Color Institute)와 협업해 컬러 솔루션도 17가지로 확대했다."
"LG전자, 3분기 스타트업에 145억원 투자…세탁 플랫폼 ‘눈길’
기사승인 2021. 11. 16. 08:30",2021. 11. 16. 08:30,"관련종목
LG전자우(066575), LG전자(066570)
LG전자가 올해 3분기 국내외 스타트업에 145억원을 투자하며 사업 확장에 적극적인 움직임을 보이고 있다.

16일 LG전자 분기보고서에 따르면 LG전자는 올해 3분기 북미 세탁 서비스 플랫폼 운영 기업 린스(Rinse)에 70억원, 차량용 소프트웨어 개발업체 소나투스(Sonatus)에 40억원, 메타버스 플랫폼 기업 ㈜브이에이코퍼레이션에 20억원을 각각 투자했다.

아울러 LG전자는 디지털 패션 솔루션 기업 ‘언머테리얼리티’(Unmatereallity)에 11억원, 헬스케어(건강관리)·비대면 진료 서비스를 제공하는 기업 ‘㈜비바이노베이션’에도 5억원을 투자했다.

LG전자는 전장 사업 확대를 위해 투자 반경을 넓혀가는 모습을 보이고 있다. 이번에 투자 받은 기업으로 이름을 올린 소니투스는 2018년 미국 캘리포니아에서 설립된 기업으로 ‘굴러다니는 데이터 센터’를 만든다는 목표로 클라우드 기반의 소프트웨어를 개발하고 있다.

앞서 LG전자는 지난 9월 자동차 사이버보안 선도 업체인 ‘사이벨럼’의 지분 63.9%를 확보하는 주식매매 계약을 체결한 바 있다. 올해 연말까지 일부 주식을 추가로 취득할 예정이며 최종 투자 금액은 연말에 확정된다.

LG전자 관계자는 “기존 주력 사업은 더욱 강화하고 신사업 기회를 발굴하기 위해 국내외 여러 기업에 대한 투자를 확대하고 있다”고 말했다.

한편 LG전자가 가장 큰 금액을 투자한 린스는 온라인 투 오프라인(O2O·Online to Offline) 세탁 서비스 플랫폼을 운영하는 업체다. LG전자는 북미에서 자사 세탁기와 연계한 신사업 기회를 발굴하기 위해 이 업체에 투자한 것으로 분석된다."
"LG전자, 美 대학체육협회 3년 간 후원…‘스포츠 팬덤’ 마케팅 나서
기사승인 2021. 11. 15. 11:00",2021. 11. 15. 11:00,"LG전자가 오는 2024년까지 미국대학체육협회(NCAA)의 공식 기업 파트너로 활동한다. LG 스마트 TV에서 NCAA 전용 중계방송은 물론이고, 독점 콘텐츠도 제공할 예정이다. /제공=LG전자
관련종목
LG전자우(066575), LG전자(066570)
LG전자가 스포츠를 활용한 마케팅에 적극 나선다.

LG전자는 최근 미국대학체육협회(이하 NCAA, National Collegiate Athletic Association)와 후원 계약을 맺고 오는 2024년까지 3년간 ‘공식 NCAA 기업 파트너’로 참여한다고 15일 밝혔다.

NCAA는 미국 대학 스포츠를 지원하기 위해 설립된 단체다. 1100여 개 대학 선수 50만명 이상이 소속돼 있다. 올해 열린 대학농구 결승전은 미국 전역에서 약 1700만 명이 시청했을 정도로 현지에서 높은 인기를 얻고 있다.

LG전자는 이번 후원을 통해 미국에서 NCAA 로고와 콘텐츠를 마케팅에 활용한다. 또 경기 중계방송에 LG전자 브랜드와 제품을 노출하는 등 스포츠 팬덤(Fandom)을 활용한 마케팅을 진행한다. 아울러 NCAA 선수들의 수업과 훈련에 TV, 노트북, 모니터 등 전자제품도 제공한다.

미국 소비자들의 취향을 고려해 NCAA와 연계한 독점 콘텐츠도 제공한다. 미국 소비자들은 LG 올레드 TV를 포함해 webOS를 탑재한 LG 스마트 TV에서 NCAA 전용 중계방송과 인기 선수와 팀이 참여한 다큐멘터리 영상 등을 시청할 수 있다.

윤태봉 LG전자 북미지역대표 겸 미국법인장 부사장은 “대학 스포츠와 연계한 대형 마케팅을 통해 다음 세대 고객과 교감하는 기회를 확대하고, 스포츠에 열광하는 고객 수요를 적극 공략할 것”이라고 말했다.

한편 LG전자는 이에 앞서 지난 2009년에도 한국 기업 최초로 NCAA와 후원 계약을 맺고 2015년까지 총 6년간 대규모 스포츠마케팅을 펼친 바 있다."
"[CEO체크] ‘비스포크 붐’ 이끈 김현석 사장…가전 사령탑 또 맡을까
기사승인 2021. 11. 14. 16:35",2021. 11. 14. 16:35,"관련종목
삼성전자(005930), 삼성전자우(005935)
김현석 삼성전자 소비자가전(CE) 사장이 내년에도 삼성 가전을 이끄는 수장으로 활동할 수 있을지 이목이 쏠린다. 김 사장은 3년 9개월간 CE부문 을 진두지휘하며 맞춤형 가전 ‘비스포크’ 제품 확대와 TV기술 발전을 성공적으로 이끈 인물로 평가된다. 하지만 지난 8월 복귀한 이재용 삼성전자 부회장이 ‘뉴 삼성’ 의지를 강조해 연말 큰 폭의 인사이동이 예상되는 만큼, 이를 뒷받침하는 ‘뉴 페이스’가 김 사장 자리를 채울 수 있다는 이야기도 들린다.

14일 업계에 따르면 김현석 사장이 연말 인사를 통해 경영 일선에서 물러날 수 있다는 이야기가 전해진다. 김 사장은 지난 2018년 3월 대표이사에 선임돼 현재까지 사장직을 유지하고 있다. 3년 임기를 감안하면 올해 3월 임기가 끝났겠지만, 지난해 12월 실시된 사장단인사를 통해 대표이사 자리를 유지했다. 김 사장의 교체 가능성이 거론되는 이유는 삼성이 그동안 대표이사의 3년 임기 이후 연장 임기 3년을 오롯이 보장하지 않았던 전례가 많기 때문이다.

실제로 IT·모바일(IM) 부문 대표이사 전임자였던 신종균 전 삼성전자 인재개발담당 부회장과 CE부문 대표이사 전임자였던 윤부근 전 삼성전자 대외협력(CR) 담당 부회장은 첫 3년 임기를 모두 소화한 뒤 재선임됐지만 연장 임기를 다 채우지 않고 자리를 옮겼다. 반도체(DS) 부문 대표이사 전임자인 권오현 전 삼성전자 회장 역시 첫 3년 임기를 지낸 뒤 연장 임기 3년을 온전하게 채우지 않았다.

김 사장이 올해로 60세가 되는 만큼 삼성의 ‘60세룰’이 얼마나 적용될지도 관심사다. ‘60세룰’은 임원이 60세가 넘으면 경영 일선에서 물러난다는 의미로 삼성 인사에서 자주 드러나 법칙처럼 불린다. 삼성전자는 지난해 연말인사에서 3인 대표이사 체제의 안정성에 주목하며 유임을 결정했지만 올해는 이재용 부회장이 경영에 복귀한 만큼 변화를 줄 것으로 전망된다.

김 사장이 3년 간 보여준 경영 실적은 화려하다. 김 사장은 가전 업계의 프리미엄 마케팅에서 소비자 맞춤형 가전 비스포크의 제품군 확대를 선택해 실적 향상에 크게 기여했다고 평가 받는다. 그는 인공지능 가전 브랜드 ‘그랑데AI’, 초프리미엄 가전 브랜드 ‘뉴 셰프컬렉션’과 함께 비스포크 가전 콘셉트인 ‘프로젝트 프리즘’ 브랜드를 내놓았다.

또 김 사장은 프리미엄 TV시장에서 경쟁사 LG전자의 OLED TV에 맞서 QLED TV를 주력으로 내세웠다. QLED TV는 LCD TV보다 한 단계 발전한 기술로 LG전자의 OLED 기술에 비해 떨어진다는 평가를 받고 있지만 초대형 및 고화질(8K) 제품을 중심으로 판매 확대에 힘을 쏟아 2017년 3분기 이후 50%가 넘는 점유율을 유지하고 있다.

실제로 지난 2017년 김 사장이 취임하기 전 2017년 삼성전자 CE부문 영업이익은 1조8020억원이었지만, 2018년 취임 후 1조9073억원, 2019년 2조5090억원, 지난해 3조5615억원을 기록해 매년 큰 성장세를 이어갔다. 또 지난해 3분기에는 역대 최대 분기 영업이익인 1조5610억원을 기록했다. 올해 영업이익 역시 3조7000억원 수준으로 역대 최고 실적이 될 것으로 증권가는 보고 있다.

김 사장이 연말 경영 일선에서 물러날 가능성이 높다고 전해지지만, 그가 내놓은 미래 전략은 그대로 이행될 것으로 전망된다.

김 사장은 최근 개최된 제23회 닛케이 포럼 ‘세계경영자회의’에서 인터뷰를 통해 “인공지능(AI) 기술 등을 활용해 기술혁신을 10년 이상 앞당길 필요가 있다”고 말해, 삼성전자가 급격하게 변한 소비패턴에 맞게 AI를 가전에 도입하는 방향을 설계 중인 것으로 알려졌다."
"롯데온, ‘더 블랙 위크’ 진행…해외 명품 최대 50% 할인
기사승인 2021. 11. 14. 14:31",2021. 11. 14. 14:31,"롯데온은 15일부터 28일까지 2주간 ‘더 블랙 위크(THE BLACK WEEK)’를 진행해 해외 프리미엄 명품 브랜드 및 직구 TV 등을 최대 50% 할인 판매한다고 14일 밝혔다.

롯데온은 “이번 행사는 오는 26일로 예정된 미국 블랙프라이데이에 맞춰 기획했으며 롯데온 출범 이후 처음으로 선보이는 해외 직구 행사로 명품 의류부터 가전, 잡화, 분유 등 인기 해외직구 상품 1만 종, 약 50억원 물량을 준비했다”고 설명했다.

롯데온에 따르면 ‘더 블랙 위크’ 행사의 의미를 살려 해외 직구 상품을 대폭 강화해 선보인다. 해외직구 상품 구매 시 사용할 수 있는 최대 20% 할인 쿠폰 및 추가 10% 즉시 카드 할인 혜택을 제공한다. 해외직구 상품은 일자 별로 대표 상품을 선정해 판매하며, 15일에는 인기 수입 분유인 ‘압타밀 프로푸트라(800g·6통)’와 ‘압타밀 프로누트라(800g·6통)’을 각각 판매하며, 18일에는 몽클레어 남성·여성 패딩 및 버버리 남성 코트 등을 선보인다.

TV는 LG전자 ‘스탠바이미’와 삼성전자 ‘85인치 UHD TV’를 15일 오전 10시부터 한정 수량 판매하며 이 외에도 LG전자 OLED 및 삼성전자 UHD TV 등 행사 상품 구매 시 7% 할인 혜택 등을 제공한다.

더불어 롯데백화점 바이어가 직수입한 해외 명품 편집숍인 ‘롯데탑스’, ‘스말트’, ‘스니커바’ 및 롯데면세점도 행사에 참여해 가방, 운동화, 시계 등 명품 브랜드 상품을 최대 70% 할인 판매한다.
/제공=롯데쇼핑
구건회 롯데온 해외직구셀장은 “해외 직구가 일상화되며 미국 블랙프라이데이, 중국 광군절 등 대형 행사에서 상품을 구매하는 사람들이 늘어나고 있다”며 “오는 26일 블랙프라이데이에 맞춰 명품, 가전 등 인기 해외 직구 상품을 저렴한 가격에 선보이는 ‘더 블랙 위크’를 기획했다”고 말했다."
