title,date,article
"코스피, 외인·기관 쌍끌이 매도에 4거래일 연속 하락 마감
기사승인 2021. 11. 26. 16:38",2021. 11. 26. 16:38,"코스피는 26일 전장보다 43.83포인트(1.47%) 내린 2936.44에 마감하며 나흘 연속 하락했다./연합뉴스
코스피가 26일 외국인과 기관의 매도에 하락 마감했다.

이날 한국거래소에 따르면 코스피 지수는 전장보다 43.83포인트(1.47%) 내린 2936.44로 장을 마감하며 나흘 연속 하락했다. 지수는 전 거래일보다 7.23포인트(0.24%) 내린 2973.04로 출발해 하락폭을 키웠다.

유가증권시장에서 외국인과 기관은 1823억원, 3713억원을 순매도한 반면 개인은 4897억원을 순매수했다.

코스피 시가총액 상위권 중 삼성전자(-1.76%), SK하이닉스(-2.98%), NAVER(-1.64%), 카카오(-1.17%) 등이 떨어졌고 삼성바이오로직스(0.59%), 카카오뱅크(0.74%), 카카오페이(7.62%) 등이 올랐다.

하락 업종은 운수창고(-2.71%), 화학(-2.69%), 섬유의복(-2.56%), 보험(-2.52%), 운수장비(-2.40%) 등이며 상승 업종은 의료정밀(5.71%), 의약품(3.21%), 은행(0.06%), 통신업(0.03%) 등이다.

코스닥도 개인의 매도세에 밀려 하락 마감했다. 지수는 전장보다 9.77포인트(0.96%) 내린 1005.89로 거래를 마쳤다. 지수는 전장보다 2.24포인트(0.22%) 오른 1017.90로 시작했으나 내림세로 돌아섰다.

코스닥시장에서 개인은 1284억원을 순매도한 반면 외국인과 기관은 1452억원, 108억원을 순매수했다.

코스닥 시총 상위 종목 중 셀트리온헬스케어(1.43%), 에코프로비엠(0.63%), 펄어비스(2.78%), 카카오게임즈(1.29%), 위메이드(2.53%), 씨젠(17.10%) 등이 올랐고 엘앤에프(-0.43%), SK머티리얼즈(-2.45%), 에이치엘비(-3.49%) 등이 내렸다.

상승 업종은 디지털컨텐츠(2.28%), 제약(1.24%), 종이·목재(0.80%) 등이며 하락 업종은 오락·문화(-3.36%), 운송장비·부품(-3.14%), 정보기기(-3.05%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 3.10원(0.26%) 오른 1193.30원에 마감했다."
"이천시자원봉사센터, 이동목욕차량 전달식 가져
기사승인 2021. 11. 26. 10:53",2021. 11. 26. 10:53,"SK하이닉스(박용근 부사장)은 이천시(엄태준 시장)에게 이동목욕차량 기탁하고 기념촬영하고 있다./제공 = 이천시
이천 남명우 기자 =경기 이천시자원봉사센터는 지난 25일 이천시니어클럽 앞 주차장에서 엄태준 이천시장, 박용근 SK하이닉스 CR전략 부사장, 김상균 사회복지공동모금회 사무총장, 정종철 이천시의장이 참석한 가운데 이동목욕차량 전달식을 가졌다고 밝혔다.

이날 기증된 이동목욕차량은 SK하이닉스와 사회복지공동모금회에서 후원한 1억 5천만 원을 통해 제작되었으며, 이천시에 거주하는 거동 불편 노인 및 장애인을 위한 이동목욕서비스에 활용할 예정이다.

SK하이닉스 박용근 부사장은 “앞으로도 지역사회의 사회문제 해결을 위해 다양한 사회공헌활동을 지속해 나가도록 노력하겠다”고 밝혔다.

엄태준 이천시자원봉사센터 이사장은 “거동이 불편한 40여명의 이웃이 매월 2~3회 목욕서비스를 받고 있는데 차량 노후화로 서비스가 중지될 수 있는 어려운 상황이었다”며 “이동목욕서비스가 지속될 수 있도록 후원해주신 SK하이닉스 및 사회복지공동모금회에 진심으로 감사드린다”고 말했다."
"이천시와 SK하이닉스가 함께하는 노인일자리 시장형 사업
기사승인 2021. 11. 26. 10:26",2021. 11. 26. 10:26,"이천시와 SK하이닉스가 함께하는 노인일자리 시장형 사업 시니어카페 ‘카페꼬꼬동’개소식을 갖고있더./재공 = 이천시
이천 남명우 기자 = 경기 이천시는 노인일자리 시장형 사업 ICT시니어카페 ‘카페꼬꼬동’을 오픈했다고 26일 밝혔다.

노인일자리 시장형 사업으로 추진되는 카페 꼬꼬동은 경기도 공모사업으로 선정되어 경기도 초기투자비 및 SK하이닉스 후원금을 받아 설치되었다.

개소식에는 엄태준 이천시장, 박용근 SK하이닉스 CR전략 부사장, 정종철 이천시의장, 원종성 대한노인회 이천시지회장 등이 참석해 ICT협업 시니어카페 ‘카페꼬꼬동’의 시작을 빛내주었다.

이 날 개소식은 단계적 일상회복(위드 코로나)이행수칙에 따라 최소한의 내빈만 참석했다.

엄태준 시장은 “이천시니어클럽에 ‘2021년 보건복지부 전국 최우수기관’으로 선정돼 ‘대상’을 수상함을 축하하고, 앞으로 노인일자리 사업이 더욱 활발히 진행돼 어르신들의 삶의 질 향상에 도움이 되기를 바란다”며 “노인일자리 사업이 지역사회에 도움이 되고 지속가능한 사업이 될 수 있도록 최선을 다 해달라”고 했다.

이천시니어클럽 최용석 관장은 “노인일자리에 대한 지원을 아끼지 않으신 이천시와 SK하이닉스, 사단법인 성민원의 애정과 성원에 감사드리며, 어르신과 노인일자리사업발전을 위해 더욱 노력하겠다”고 말했다.

이번 이천시니어클럽에서 오픈한 카페 꼬꼬동은 전통과 현대의 조화로운 공간조성, 노인일자리 최초 치킨로봇을 활용함으로 참여자 어르신들의 안전과 더불어 앞으로의 미래 일자리 형태를 엿볼 수 있다.

카페가 위치한 창전동 인근에는 전통시장과 창전행정복지센터, 관고행정복지센터 등이 위치해있어 인근 주민들의 쉼터역할을 할 것으로 기대된다."
"“삼성전자, 4Q D램 가격 예상치 상회…반도체 메타버스 구축 핵심”
기사승인 2021. 11. 26. 08:04",2021. 11. 26. 08:04,"관련종목
삼성전자(005930)
KB증권은 26일 삼성전자에 대해 4분기 D램가격과 주문량이 예상치를 상회할 것으로 전망된다며 투자의견 ‘매수’와 목표주가 10만원을 유지했다.

김동원 KB증권 연구원은 “아마존, 마이크로소프트 등 북미 클라우드 사업자와 Dell, HP 등 PC 업체들의 4분기 D램 주문량은 기존 전망치를 30% 상회할 것으로 추정된다”며 “메타버스 플랫폼 구축을 위한 서버 투자, 기업용 PC 수요증가, 3분기 대비 1/3 축소된 D램 재고 등의 영향 때문”이라고 설명했다.

이어 “최근 글로벌 PC업체들이 반도체 주문량을 증가시키고 있는데 PC 수요에 민감한 D램 현물가격 (DDR4 8GB)은 7월 이후 첫 상승 반전에 성공하며 바닥을 통과한 것으로 판단된다”며 “D램 현물가격은 역사적으로 고정가격의 선행지표로 작용했기 때문에 D램가격은 내년 1분기에 바닥이 형성될 것”이라고 예상했다.

김 연구원은 향후 반도체가 메타버스 생태계 구축의 핵심 인프라로 부각될 것으로 전망했다.

그는 “메타버스 구현을 위한 클라우드, 5G 에지컴퓨팅, 헤드셋 (VR, XR) 등에 고사양 그래픽과 고용량 반도체 탑재가 필수적”이라며 “향후 5년 내 10배 성장이 추정되는 메타버스용 헤드셋(VR, XR)은 스마트 폰과 유사한 메모리 탑재량이 필요해 2022년 애플의 시장 진입이 성장 촉매로 작용할 전망”이라고 분석했다.

그러면서 “올해 저점 대비 7% 상승에 그쳐 SK하이닉스(저점 대비 28% 상승)와 비교해 상대적 매력도가 높아질 전망”이라고 덧붙였다."
"SK하이닉스, D램 성능 개선 직원에 ‘혁신특허포상’
기사승인 2021. 11. 25. 15:07",2021. 11. 25. 15:07,"SK하이닉스가 지난 23,24일 양일간 경기도 이천, 분당에서 제4회 혁신특허포상 시상식을 가졌다. (왼쪽부터)SK하이닉스 특허담당 민경현 부사장, DRAM개발담당 차선용 부사장, DRAM개발 이강설 TL, 김용미 TL, 지속경영담당 김윤욱 부사장./제공=SK하이닉스
관련종목
SK하이닉스(000660)
SK하이닉스는 반도체 분야에서 혁신특허를 받은 직원들을 대상으로 ‘제4회 혁신특허포상’ 시상식을 개최했다고 25일 밝혔다.

지난 23일과 24일 양일간 열린 시상식은 SK하이닉스의 김윤욱 지속경영담당 부사장과 민경현 특허담당 부사장 등 담당 임직원들이 직접 경기도 이천, 분당에서 근무하는 수상자들을 찾아가는 방식으로 진행됐다.

최고상(금상)은 D램 회로 면적을 줄이면서 리프레시(Refresh) 기능을 개선한 D램개발 이강설·김용미 TL과, D램 내부의 배선 간 컨택(Contact) 저항을 낮추고 불량률을 저하시킨 미래기술연구원 김승범 TL에게 돌아갔다.

이외에도 SK하이닉스는 낸드, 이미지센서(CIS) 등 다양한 기술 분야에 걸쳐 총 10건(금상 2건, 은상 3건, 동상 5건)의 혁신특허를 선정하고, 혁신특허를 발명한 연구원 17명에게 상패와 총상금 2억4000만원을 수여했다.

SK하이닉스는 2018년부터 혁신특허포상 제도를 시행하고 있다.

SK하이닉스 관계자는 “SK하이닉스는 현재 전 세계 2만건 이상의 특허를 보유 중이며, 향후에도 강한 특허를 지속적으로 발굴해 글로벌 반도체 경쟁력을 강화할 방침”이라고 말했다."
"[취재후일담] 역대급 투자 결단했지만…이재용 “마음이 무겁다”
기사승인 2021. 11. 25. 14:07",2021. 11. 25. 14:07,"아시아투데이 송의주 기자 = 이재용 삼성전자 부회장이 미국 출장 일정을 마치고 24일 오후 서울 강서구 서울김포비즈니스항공센터를 통해 귀국하고 있다. 삼성전자는 23일(현지시간) 반도체 위탁생산(파운드리) 신규 생산라인을 미국 텍사스주 테일러시에 짓겠다고 발표했다. 건설·설비 등 예상 투자 규모는 170억 달러(약 20조 원)로, 삼성전자의 미국 투자 중 역대 최대 규모다. /송의주 기자songuijoo@
관련종목
삼성전자(005930), 삼성전자우(005935), SK하이닉스(000660)
“투자도 투자지만 현장의 처절한 목소리들, 시장의 냉혹한 현실을 직접 보고 오게 되니까 마음이 무겁다.”

이재용 삼성전자 부회장이 지난 24일 11일간의 북미 출장을 마치고 귀국하며 의외의 발언을 남겼습니다. 삼성전자가 1년 가까이 고심했던 미국 파운드리(반도체 위탁생산) 공장을 테일러로 최종 낙점한 날이기도 했던 이 날, 이 부회장이 전한 소감은 홀가분함이 아닌 위기감이었습니다.

20조원이라는 사상 최대 금액의 투자를 결단한 이 부회장이 출장지에서 본 것은 투자에 따른 밝은 미래가 아닌 날로 치열해지는 경쟁이 아니었을까 생각이 듭니다.

사실 이 부회장이 느낀 위기감은 최근 세계 반도체 시장이 어떻게 돌아가는지만 봐도 조금은 이해할 수 있습니다.

세계 파운드리 시장 절반 이상을 점유하며 확고한 1위 자리를 지키고 있는 대만의 TSMC는 현재 상황에 안주하지 않고 삼성 못지않은 공격 투자를 이어가고 있습니다.

TSMC는 현재 미국 애리조나주에 120억 달러(약 14조2000억원)를 들여 공장을 짓고 있습니다. 이 공장의 가동 시기는 삼성전자의 테일러 공장이 생산을 시작하는 2024년으로 같습니다.

미국 공장 설립을 포함해 3년간 1000억 달러(약 119조원)를 들여 증산에 나서겠다고 공언한 TSMC는 최근 일본에서도 70억 달러(약 8조3000억원)를 들여 차량용 반도체 공장을 짓는다는 계획을 세웠습니다. 추격하는 삼성을 더 멀찌감치 따돌리며 누구도 흔들 수 없는 파운드리 철옹성을 건설하겠다는 움직임입니다.

3년 전 파운드리 사업에서 철수했던 인텔마저 커가는 시장에 재진출을 선언했습니다. SK하이닉스의 인텔 낸드사업부문 인수, 낸드플래시 세계 2·3위 업체인 일본 키옥시아와 미국 웨스턴디지털의 합병 시도 등 메모리 반도체 업계의 경쟁과 몸집 불리기 등도 심화하고 있습니다.

표면적인 사실들만 봐도 반도체 산업을 둘러싼 경쟁이 이토록 치열한데, 현장 최전선의 피 튀기는 싸움을 직접 보고 들은 이재용 부회장의 위기의식이 어떨지 상상하기 어렵습니다.

“추격이나 뒤따라오는 기업과의 ‘격차 벌리기’만으로는 이 거대한 전환기를 헤쳐 나갈 수 없다. 힘들고 고통스럽겠지만 불가능을 가능으로 만들어 아무도 가보지 않은 미래를 개척해 새로운 삼성을 만들어 가자.”

이 부회장이 출장지에서 임직원들을 격려하며 했다는 이 말은 어쩌면 이 부회장이 스스로에게 한 다짐이었을지도 모르겠습니다. 메모리 반도체에 이은 ‘시스템 반도체 신화 창조’를 공언한 이 부회장이 미국 땅에서 직면한 냉혹한 현실과 위기의식이 미래 삼성의 약이 될 것을 기대합니다."
"삼성전자·SK하이닉스, 3분기 낸드플래시 시장 점유율 상승
기사승인 2021. 11. 25. 09:36",2021. 11. 25. 09:36,"올해 3분기 낸드플래시 시장 점유율 및 매출./제공=트렌드포스
관련종목
삼성전자우(005935), 삼성전자(005930), SK하이닉스(000660)
삼성전자와 SK하이닉스가 올해 3분기 낸드플래시 반도체 시장에서 점유율을 더 늘렸다.

스마트폰과 데이터센터 시장 수요가 증가해 제조사들이 재고 확보에 나서며 두 회사의 점유율이 늘어난 것으로 풀이된다.

25일 대만의 시장조사업체 트렌드포스에 따르면 삼성전자의 올해 3분기 낸드플래시 매출은 전분기보다 16.5％ 늘어난 65억1000만달러(약 7조7241억원)를 기록했다. 시장 점유율은 올해 2분기 34.0%에서 3분기 34.5%로 0.5%포인트 올랐다.

트렌드포스는 데이터센터와 스마트폰 제조사들의 재고 확보 움직임으로 삼성의 낸드플래시 평균판매가격(ASP)이 전 분기 대비 10% 올랐다고 분석했다.

다만 PC용 낸드플래시 수요는 약세를 보여 비트 단위 출하량이 전 분기보다 5% 증가하는 데 그쳤다.

SK하이닉스의 3분기 낸드플래시 매출은 직전 분기보다 25.6％ 상승한 25억4500만달러(약 3조196억원)를 기록했다. SK하이닉스 시장 점유율은 2분기보다 1.2%포인트 오른 13.5%로, 삼성전자와 일본 키옥시아(19.2%)에 이어 3위를 기록했다.

다만 SK하이닉스가 인수하는 인텔의 낸드플래시 점유율은 1분기 7.5％에서 2분기 6.7％로 떨어진 데 이어 3분기에는 5.9%까지 추락했다. 양사 점유율을 합치면 19%까지 상승한다.

트렌드포스는 “데이터센터 분야에서 강한 수요가 이어지면서 인텔 낸드플래시 제품의 평균 판매가격이 6% 가까이 올랐지만, 업스트림 부품 부족 문제로 출하량이 전 분기 대비 5% 하락했다”고 설명했다.

이 외에 미국 웨스턴디지털은 13.2%로 4위, 미국 마이크론이 10.4%로 5위를 기록했다.

트렌드포스는 올해 3분기 전 세계 낸드플래시 시장이 데이터센터와 스마트폰 시장의 강한 수요로 전 분기보다 15.0％ 커진 188억7910만달러(약 22조4000억원)를 기록한 것으로 분석했다. 비트 단위 출하량이 11% 늘고, 평균 판매가격은 4% 상승했기 때문이다.

다만 트렌드포스는 4분기 고객사들이 낸드플래시 재고 정리에 나서면서 거래량을 줄여 낸드플래시 고정거래가격이 하락세로 전환될 것으로 예상했다."
"코스피, 기관·외인 ‘팔자’에 장 초반 하락세
기사승인 2021. 11. 25. 09:19",2021. 11. 25. 09:19,"./ 사진 = 연합
25일 코스피 지수가 기관과 외국인의 매도세에 장 초반 하락세를 보이고 있다.

이날 오전 9시 9분 기준 코스피는 전 거래일 대비 8.30포인트(0.28%) 내린 2985.99에 거래되고 있다. 지수는 2.45포인트(0.08%) 상승한 2996.74에 출발해 이내 하락세로 방향을 틀었다.

유가증권시장에선 외국인과 기관이 각각 98억원, 1046억원 어치를 팔아치우며 지수 하락을 이끌고 있다. 개인은 홀로 1141억원 어치를 사들이고 있다.

코스피 시가총액 10위 종목은 혼조세를 보이고 있다. 삼성전자(-0.53%), SK하이닉스(-0.42%), LG화학(-1.20%), 삼성SDI(-1.37%), 기아(-0.36%) 등이 내리고 있는 반면 NAVER(0.89%), 삼성바이오로직스(0.24%), 카카오(0.40%) 등은 오르고 있다.

업종은 대체로 하락세다. 섬유의복(-1.16%), 종이목재(-0.51%), 화학(-0.42%), 운수장비(-0.22%), 유통업(-0.59%), 전기가스업(-0.33%), 철강금속(-1.01%) 등이다.

같은 시간 코스닥 지수는 전 거래일 보다 4.77포인트().47%) 오른 1024.90를 기록 중이다. 지수는 3.28포인트(0.32%) 상승한 1023.41에 출발해 상승장에 머무르고 있다.

코스닥 시장에선 개인과 기관이 각각 44억원, 109억원 순매수 중이다. 외국인은 147억원 순매도 중이다.

코스닥 시총 10위 종목은 대부분 오르고 있다. 셀트리온헬스케어(1.18%), 에코프로비엠(1.10%), 펄어비스(3.80%), 엘앤에프(2.37%), 카카오게임즈(3.22%), 위메이드(0.10%) 등이다.

코스닥 업종 지수는 운송(-0.38%), 금융(-0.12%), 통신방송서비스(-2.21%), 음식료/담배(-0.08%), 섬유/의류(-0.47%), 출판/매체복제(-0.19%) 등이 락 중이다. 제조(0.33%), 종이/목재(0.73%), 화학(1.01%), 제약(0.47%), 일반전기전자(0.96%) 등이 상승 중이다.

한편 서울외환시장에서 원·달러 환율은 전 거래일 대비 2.00원 오른 1188.50원에 거래되고 있다."
"항공주, 위드코로나에도 내리막길…폭풍매수한 개미는 ‘울상’
기사승인 2021. 11. 24. 17:17",2021. 11. 24. 17:17,"사진=게티이미지뱅크
위드코로나(단계적 일상회복)의 대표적인 수혜주로 꼽혔던 항공주들이 힘 쓰지 못하고 있다. 개인투자자들은 국내 증시에서 발을 빼면서도 항공주는 대거 사들이고 있다. 증권가에선 위드코로나로 인한 수요 회복은 시간이 더 필요하다는 분석이다.

◇대한항공·아시아나항공, 실적은 좋은데…주가는 ‘글쎄’
24일 한국거래소에 따르면 KRX운송 지수는 전장보다 5.88포인트(0.52%) 내린 1121.37로 장을 마감했다. 지수는 이달에만 6% 이상 빠졌고, 최근 두 달 전과 비교하면 27%가량 하락했다. 지수를 구성하는 종목들의 시가총액은 기존 51조4196억원에서 42조5747억원으로 9조원가량 증발했다.

대한항공, 아시아나항공의 실적은 좋았다. 대한항공 3분기 별도기준 매출액은 전년동기 대비 44% 증가한 2조2270억원, 영업이익은 5651% 증가한 4386억원을 기록했다. 3분기 당기순이익은 1340억원으로, 지난해 3859억원 적자에서 흑자 전환했다.

아시아나항공은 3분기 매출 1조360억원, 영업이익 1603억원을 기록했다. 매출은 41.7% 늘었고, 영업이익은 2680% 증가했다. 유가 상승으로 연료유류비가 증가했으나 매출이 높아져 전년 동기 대비 큰 폭의 흑자를 이뤘다. 양사가 역대급 실적을 기록한데는 화물 사업 매출이 크게 늘어서다.

이들 대형 항공사들은 호실적을 기록했음에도 주가는 정반대 흐름으로 가고 있다. 대한항공 주가는 2만8650원으로, 두 달 전보다 17%가량 떨어졌다. 아시아나항공 주가는 1만9750원으로, 같은 기간 32% 내려 더 큰 낙폭을 보였다.

저가 항공사들은 대형 항공사와 달리 실적과 주가 모두 부진하다. 제주항공(-913억원)·진에어(-445억원)·티웨이항공(-390억원) 등 저가 항공사들은 적자를 기록하며 주가도 낮은 수준에 형성돼 있다.

이 상황에서 개미들은 삼성전자·SK하이닉스·카카오 등 대형주들은 내다파는 반면 항공주는 사들이고 있다. 대한항공 주식을 지난달 2168억원어치 순매수한데 이어 이번달에도 1093억원어치 순매수하고 있다. 개미들은 아시아나항공도 이번달 178억원어치를 순매수했다. 위드코로나로 여객 수요가 상승하면서 주가 반등도 이뤄질 것이란 기대감 때문이다.

◇주가 상승 가로막는 ‘항공유’…증권사 “국제선 여객 수요 회복 필수”
항공주들이 부진한 주가 흐름을 보이는 이유로 항공유 가격 급등이 꼽힌다. 항공유의 가격 상승이 항공사들의 실적에 부담으로 작용할 수 있어서다. 국제항공운송협회에 따르면 지난 19일 기준 항공유 가격은 배럴당 88.71달러로, 지난해 배럴당 20달러선까지 떨어졌다가 올해 들어서 60달러 이상 올랐다.

최근 위드코로나 시행에 따라 코로나19 확진자 수가 늘어나면서 해외 여행 재개에 수요 회복도 더뎌지는 점도 부정적 영향을 끼쳤다.

여객 수요가 본격적으로 회복되는 내년부터 주가도 오를 것이라 전문가들은 보고 있다. 박성봉 하나금융투자 연구원은 “변이 바이러스 확산 등에 따른 강력한 여행 제한 조치가 유지되며 수요가 여전히 부진한 상황”이라며 “코로나19 이전 국내 항공사들의 매출에서 국제선 여객 매출 비중이 매우 큰 만큼 가시적인 실적 개선을 위해서는 국제선 여객 수요 회복이 필수적”이라고 했다.

이어 “전세계 백신 보급 확대와 위드 코로나 도입으로 전세계 백신 접종률 75% 달성이 예상되는 내년 2분기부터 국제선 수요가 서서히 회복될 것”이라며 “항공화물의 경우 글로벌 물류대란이 내년 상반기까지는 쉽사리 해소되지 않을 전망으로 시장 호조가 지속될 것”이라고 전망했다."
"SKC, 산업은행과 1.5조원 금융협력…이차전지·친환경 소재 육성 박차
기사승인 2021. 11. 24. 17:00",2021. 11. 24. 17:00,"SKC와 산업은행은 24일 오후 전북 정읍시 SK넥실리스 정읍공장에서 ‘이차전지·친환경 소재 산업 육성을 위한 산업·금융협력 프로그램 협약’을 체결했다. 사진은 이완재 SKC 사장(왼쪽)과 이동걸 산업은행 회장(오른쪽)이 협약 체결 후 기념촬영하고 있는 모습. /제공 = SKC
관련종목
SKC(011790)
SKC가 산업은행으로부터 이차전지와 친환경 소재 육성에 필요한 자금 1조5000억원을 조달한다. 이번 협약으로 투자 재원을 안정적으로 확보한 SKC는 이후에도 파이낸셜스토리 내 가이드라인에 따라 최적의 형태로 성장재원을 추가해나갈 계획이다. 이번 투자협약은 SKC의 성장재원 마련 계획을 상당 부분 명확히 했다는 점에서도 큰 의의를 갖는다.

SKC와 산업은행은 24일 오후 전북 정읍시 SK넥실리스 정읍공장에서 ‘이차전지·친환경 소재 산업 육성을 위한 산업·금융협력 프로그램 협약’을 체결했다. 이번 협약에서 산업은행은 향후 5년 간 SKC의 이차전지 및 친환경 소재 연구·개발·투자와 관련해 1조5000억원 규모의 중장기 금융협력을 진행하기로 했다.

이날 협약식에는 이완재 SKC 사장과 이동걸 산업은행 회장 등 SKC와 산업은행 주요 임원이 참석했다. 산업은행은 2019년부터 핵심산업별 대표기업과 중장기 금융협력을 통해 미래 첨단산업으로의 재편과 산업경쟁력 강화를 지원하는 산업·금융협력 프로그램을 진행하고 있다. SK하이닉스와의 협약 등 총 5건의 산업·금융협력 프로그램 협약을 체결했다.

SKC는 산업은행과의 금융협력을 통해 모빌리티·친환경 소재 중심 비즈니스 모델 혁신에 필요한 성장재원을 확보했다. SKC는 지난 9월 ‘SKC 인베스터 데이’에서 미래성장 전략 ‘파이낸셜스토리’를 공개하며 5년 간 약 5조원의 성장 재원이 필요하다고 밝혔다. 이를 위해 내부 현금 창출은 물론 정책금융과 사업합작 등 전략적 파이낸싱을 적극 활용해 재무안정성을 지키겠다는 방향성을 제시했다.

SKC는 이번 금융협력 협약에서 확보한 대규모 성장투자재원을 바탕으로 이차전지 및 친환경 소재 사업 글로벌 투자에 박차를 가할 계획이다. SKC는 최근 결정한 폴란드 스탈로바볼라의 연산 5만톤 규모 이차전지용 동박 생산설비 투자에 이어 2025년까지 10만톤 추가 증설 등 총 25만톤 규모 글로벌 1위 동박 양산체제를 갖추기 위한 투자를 진행할 예정이다.

이미 SKC는 올해 7월 착공한 말레이시아 동박 투자의 경우 전체 필요금액의 85% 가량을 확보한 상태다. 또 이차전지용 실리콘 음극재 및 고성능 저전력 반도체 글라스 기판 사업, 친환경 생분해 소재 사업 등은 합작 등 파트너사 협력 방식을 구체화하며 본격적으로 추진하고 있다. 여기에 산업은행과의 금융협력을 더하며 SKC는 파이낸셜스토리 실현을 더욱 가속화할 계획이다.

SKC 관계자는 “글로벌 경쟁이 심화되는 가운데 국책 금융기관과의 상호 협력으로 투자를 적기에 신속하고 안정적으로 진행할 수 있게 됐다”며 “이차전지, 친환경 소재의 생산 확대와 기술력 제고로 고부가가치 소재 중심으로 사업을 전환하고 ‘2040 온실가스 넷제로’ 목표를 달성해 대한민국 탄소중립에 기여해나갈 것”이라고 말했다."
