title,date,article
"[기자의눈] 돈 몰리는 메타버스…거품일까 기회일까
기사승인 2021. 11. 18. 18:30",2021. 11. 18. 18:30,"메타버스(Metaverse)가 기업의 미래가 될 수 있을까. 미국의 돈 많은 일부 빅테크들은 그렇다고 보는 것 같다. 17일(현지시간) 기준 몸값이 삼성전자(421조원)보다 3배가량 높은 페이스북(1120조원)은 지난달 사명까지 ‘메타’(META PLATFORMS INC)로 바꿨다. 가상현실(VR) 기기 개발사 오큘러스를 2014년 2조7000억원에 인수한 데 이어 ‘메타버스에 올인’이라는 사업 방향성을 확고히 알린 셈이다. AMD, 엔비디아, 마이크로소프트 등 미국 대표 반도체 업체들도 메타버스 진출을 선언했다.

메타버스 핵심은 가상공간으로 ‘들어간다’는 데 있다. 디지털과 물리적 세계를 연결한 가상공간 이미지를 단순히 바라보는 게 아니라 3차원 가상세계 속으로 들어가 경제적 가치를 창출하고 사회문화적 활동을 경험하는 것이다. 2009년 개봉된 영화 ‘아바타’를 생각하면 쉽다. 몸은 현실세계에 있고 가상의 신체인 아바타를 빌려 3차원 세계에서 활동한다는 내용이다.

메타버스는 새로운 디지털 시대를 갈망하는 데서 탄생한 거품일 수도 있다. 가상세계에 들어가기 위한 기술이 메타버스 열풍을 따라잡지 못했다는 얘기다. 벌써 회의론도 나온다. 메타 자회사인 오큘러스의 존 마택 최고기술경영자도 마크 저커버그 메타 최고경영자의 메타버스 비전에 대해 실제적인 세부 기술 없이 가장 높은 수준의 것을 추상적으로 보고 싶어 하는 프로그래머나 디자이너들의 ‘달콤한 유혹(허니팟·honeypot)’이 될 수 있다고 지적했다.

하지만 이미 시작됐다. VR·VR 관련 기기들은 2차원 세계에서 군사 훈련, 의학 분야 등에 활용되고 있으며 이를 응용한 3차원 세계, 즉 메타버스 시대의 도래는 필연적일 수 있다. 업계에 따르면 글로벌 메타버스 시장 규모는 지난해 57조원에서 2028년 982조원으로 17배 급증할 전망이다. 시대적 기회를 놓치지 않기 위해 새로운 디지털 경제의 요구와 도전을 감당해야 할 것이다."
"[사설] 글로벌 공급망, 미국과 보조 맞추는 게 좋다
기사승인 2021. 11. 18. 18:18",2021. 11. 18. 18:18,"캐서린 타이 미 무역대표부(USTR) 대표가 18일 한국에 왔다. USTR 대표의 방한은 10년 만이다. 글로벌 공급망과 관련된 협의 내용에 관심이 쏠리는 가운데 로이터 통신은 SK하이닉스가 중국 장쑤성 우시 반도체 공장 수율 개선을 위해 초미세공정 핵심인 극자외선(EUV) 노광장비를 설치할 계획이지만 미국이 제동을 걸어 무산될 가능성이 있다고 전했다.

우시 공장은 SK하이닉스 D램 칩의 절반가량을 생산하는데 전 세계 D램 생산량의 15%를 점유한다. SK하이닉스는 비용절감과 생산속도 개선을 위해 EUV 장비로 공정 개선이 필요한데 이 문제가 해결되지 않으면 삼성전자나 미국 마이크론과의 경쟁에서 불리하게 돼 미·중 갈등의 희생자가 될 수 있다는 게 보도의 요지다. SK에 복병이 아닐 수 없다.

미국은 무역·군사 등을 총동원, 중국을 견제하고 있는데 핵심이 반도체와 통신 공급망이다. 중국으로의 기술이전은 물론 중국 현지 생산도 억제하고 있는 상황에서 SK하이닉스가 중국 공장의 성능을 개선한다고 하면 반대할 소지가 크다. 미국은 삼성전자, SK하이닉스, 대만 TSMC, 미 마이크론 등 글로벌 반도체 기업들에게 반도체 자료를 요구하기도 했다.

경제계는 미·중 충돌의 불똥이 혹시라도 한국기업으로 튈 것을 우려하고 있다. 공급망 문제는 일개 기업 차원의 일이 아니다. 정부가 함께 풀어갈 과제다. USTR 대표가 한·미, 한·중 무역부터 철강관세와 기후협약 등 구체적 현안을 논의할 텐데 SK하이닉스 문제도 거론된다고 봐야 한다. 우리 기업이 불이익을 당하지 않도록 정부가 적극 역할을 해야 한다.

한·미는 정상회담에서 공급망 구축에 합의했고, 조 바이든 대통령은 반도체, 배터리 회의에 한국을 연속 초청했다. 한국을 최고의 공급망 파트너로 여긴다는 뜻이다. 그렇다면 SK하이닉스는 중국 공장 개선 못지않게 미국·유럽 등 큰 시장도 생각해야 한다. 한·미가 군사동맹을 넘어 기술동맹으로 가는 마당에 미국과 반대로 가기보다 보조를 맞추는 것이 좋을 것이다."
"“웰컴 삼성”…미 텍사스 테일러 주민들 ‘기대감’
기사승인 2021. 11. 18. 17:41",2021. 11. 18. 17:41,"삼성전자 미국 텍사스 오스틴사업장./제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935)
삼성전자의 두번째 미국 반도체 파운드리(위탁생산) 공장 입지 선정을 앞두고 텍사스주 테일러시의 기대감이 커지고 있다.

뉴욕타임스(NYT)는 17일(현지시간) 170억 달러(약 20조원) 규모의 삼성전자 공장 유치 가능성만으로 부동산 가격이 움직일 정도로 테일러시 주민들의 기대감이 큰 상태라고 소개했다.

테일러시는 현재 세금환급을 포함해 수억 달러 규모의 지원책을 승인하고 공장에서 사용할 공업용수 확보방안까지 마련하는 등 삼성전자 공장 유치를 위해 총력을 다하고 있다.

테일러시는 삼성전자의 기존 파운드리 공장이 있는 오스틴에서 북동쪽으로 차로 40분 거리에 있다. 인구 1만7000명의 소도시로, 오스틴 등과 치열한 유치 경쟁을 벌이고 있다.

뉴욕타임스는 현지 상인들은 삼성전자 공장이 불러올 경기 활성화, 주민들은 부동산 가격 상승에 대한 기대감을 표시하고 있으며 학부모들도 첨단산업 유치가 자녀들에게 자극제가 될 것이라며 삼성전자 공장 유치를 바라고 있다고 소개했다.

테일러시는 앞서 지난 9월에 삼성전자 미국 법인이 참석한 가운데 윌리엄슨 카운티와 함께 합동 회의를 열고 삼성이 제안한 세금 인센티브를 만장일치로 통과시켰다.

이어 테일러시 독립교육구도 지난 15일 회의를 열고 삼성전자가 테일러에 투자를 결정할 경우 총 2억9200만달러(약 3442억원) 규모의 세금감면 인센티브를 주기로 의결했다고 현지 언론은 전했다.

삼성전자는 테일러시 투자와 관련해 그동안 테일러시, 테일러시 독립교육구, 윌리엄슨 카운티 등 3곳과 각각 인센티브 협상을 벌여왔는데 이번 의결로 삼성은 이들 모두로부터 인센티브 조치 승인을 받게 됐다.

삼성전자 관계자는 “현재 복수의 투자지역을 검토하고 있으며 최종 투자지는 아직 확정되지 않았다”고 말했다.

한편 이재용 삼성전자 부회장이 지난 14일 미국 출장길에 오르면서 삼성의 미국 반도체 투자 결정에 속도가 붙을 것이라는 전망이 나온다."
"코스피, 외인·기관 ‘팔자’에 2940선 마감…코스닥은 소폭 올라
기사승인 2021. 11. 18. 16:51",2021. 11. 18. 16:51,"사진=게티이미지뱅크
코스피가 외국인과 기관의 매도세에 밀려 약보합 마감했다.

18일 한국거래소에 따르면 코스피 지수는 전장보다 15.04포인트(0.51%) 내린 2947.38로 장을 마감했다. 전장보다 3.16포인트(0.11%) 하락한 2959.26로 시작한 지수는 약세 흐름을 지속했다.

유가증권시장에서 외국인과 기관은 각각 482억원, 1969억원을 순매도한 반면 개인은 2221억원을 순매수했다.

코스피 시가총액 상위 종목 중 삼성전자(-0.71%), SK하이닉스(-0.45%), 삼성바이오로직스(-1.06%), 카카오(-0.40%), 삼성전자우(-0.76%) 등이 약세 마감한 반면 NAVER(1.50%), LG화학(0.91%), 삼성SDI(0.13%) 등이 강세 마감했다.

상승 업종은 은행(1.92%), 섬유의복(0.59%), 비금속광물(0.34%) 등이며 하락 업종은 기계(-2.27%), 운수장비(-1.28%), 운수창고(-1.14%) 등이다.

코스닥은 개인과 기관의 매수세에 힘입어 상승 마감했다. 지수는 전장보다 1.51포인트(0.15%) 오른 1032.77에 거래를 마쳤다. 전장보다 1.90포인트(0.18%) 오른 1033.16로 출발해 혼조세를 보이다 강보합으로 장을 마쳤다.

코스닥시장에서 개인과 기관은 각각 1513억원, 312억원을 순매수했다. 외국인은 1204억원을 순매도했다.

코스닥 시총 상위 종목 중 에코프로비엠(1.38%), 엘앤에프(4.75%), 카카오게임즈(0.65%), 위메이드(9.74%) 등이 상승 마감한 반면 셀트리온헬스케어(-1.97%), 펄어비스(-0.57%), 셀트리온제약(-1.72%), 에이치엘비(-2.38%) 등이 하락 마감했다.

상승 업종은 디지털콘텐츠(3.20%), 섬유·의류(2.30%), 금융(1.67%), 통신장비(1.63%) 등이며 하락 업종은 제약(-1.69%), 인터넷(-1.51%), 운송장비·부품(-1.43%), 유통(-1.27%) 등이다.

한편 서울 외환시장에서 원·달러 환율은 전장보다 2.10원(0.18%) 하락한 1180.40원에 마감했다."
"변동성 높은 中 LCD 패널 가격에 ‘QD OLED’ 도입 시급한 삼성전자
기사승인 2021. 11. 18. 16:44",2021. 11. 18. 16:44,"내년 공개 예정인 삼성전자의 ‘QD OLED’ 기술. /제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935)
글로벌 TV 시장 점유율 1위 자리를 15년 연속 지키고 있는 삼성전자가 지난해부터 지속적인 점유율 하락세를 겪고 있다. 유기발광다이오드(OLED) 기술 격차로 아직 액정표시장치(LCD) 패널을 사용해 경쟁력이 떨어진 것이 원인으로 꼽힌다. 삼성전자는 점유율 상승 반전을 만들기 위해 자체 개발한 퀀텀닷(QD) OLED 도입에 적극 나서고 있다.

18일 시장조사업체 옴디아에 따르면 올해 TV 글로벌 시장 규모는 지난해 2억2547만대에서 2.8% 감소한 2억1914만대로 전망된다. 삼성전자는 지난 상반기 기준 32.7%의 점유율을 기록했으나 3분기엔 30.8%로 하락했다. 전년 동기대비 점유율(31.9%)과 비교해도 하락한 성적이다.

글로벌 TV 시장에서 점유율 30%를 넘긴 곳은 삼성전자가 유일하다. 하지만 OLED 기술 격차로 신제품 출시가 목마른 상황 속에 원재료 매입가 상승까지 지속돼 향후 점유율이 30% 밑으로 떨어져 수익성 감소로 이어질 수 있다는 우려가 나오고 있다. 업계에 따르면 글로벌 TV 시장에서 점유율 30%가 주는 삼성전자의 브랜드 가치는 높은 것으로 알려졌다.

실제로 삼성전자의 양자점발광다이오드(QLED) TV는 중국의 LCD와 미니발광다이오드(LED) 등의 중국 업체들의 디스플레이 패널 의존도가 높다. 삼성전자의 올해 3분기 보고서에 따르면 올해 디스플레이 패널 구입에 7조9225억원을 썼다. 지난해 같은 기간 3조8647억원에 비해 68% 늘어난 수치다.

업계에서도 삼성전자가 LCD 패널의 매입액 부담을 줄이려면 디스플레이 다변화로 TV 제품군을 확장해야 한다는 지적이다. LCD 제품 비중이 높아 패널 가격 변동에 수익성도 안정적이지 못한 현상을 겪고 있기 때문이다.

이에 삼성전자는 점유율 하락세를 막기 위해 LCD 비중을 줄이고 자체적으로 개발한 QD OLED를 적용한 제품을 빨리 시장에 내놓을 것으로 예상된다. QD OLED는 청색 OLED 층을 발광원으로 사용해 필터와 적색와 녹색 퀀텀닷 물질을 올려 색상을 구현하는 기술로 기존 OLED보다 더 선명한 색을 만들어내는 장점을 갖고 있다고 삼성전자는 설명했다.

QD OLED가 적용된 신제품은 내년 1월 열리는 세계 최대 가전·정보기술(IT) 전시회 ‘CES 2022’에서 공개될 것으로 보인다. 당초 내년 2~3분기 도입 예정이었지만, 원재료 가격 부담감과 점유율 상승 반전을 꾀하기 위해 빠른 수익 구조 변화가 필요하기 때문으로 풀이된다.

하지만 향후 QD OLED 제품이 시장에 나와도 초기 ‘수율 문제’는 극복해야 할 문제점으로 손 꼽힌다. 삼성전자의 라인 8.5세대 기판 기준 QD OLED 생산능력은 월 3만장 수준이다. 65인치를 기준으로 연 최대 100만대 생산이 가능하다. 하지만 업계에선 현재 QD OLED 초기 수율을 3분의 1 정도로 예측된다.

업계 관계자는 “삼성전자가 수율 문제 극복을 위해 2025년까지 QD OLED 생산시설 구축과 연구에 13조1000억원이 투자될 계획”이라며 “QD OLED 제품으로 LCD가 사용된 QLED 사업 의존도를 줄여 매출다변화를 이뤄낼 것으로 보인다”고 말했다."
"美 테일러시 삼성전자 20조원 투자 받나…인센티브 의결 통과
기사승인 2021. 11. 18. 16:43",2021. 11. 18. 16:43,"삼성전자 미국 오스틴 반도체 공장 전경. /제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935)
미국 텍사스주 테일러시가 삼성전자의 미국 반도체 공장 유치를 위해 세제 감면 혜택을 승인했다.

18일 업계에 따르면 테일러시 독립교육구는 지난 15일 회의를 열고 삼성전자가 테일러에 투자를 결정할 경우 총 2억9200만달러(약 3442억) 규모의 세금감면 인센티브를 주기로 의결했다. 삼성전자의 파운드리 공장 재산세를 감면하는 방식으로 인센티브를 지급할 예정이다.

앞서 테일러시는 지난 9월 공청회를 열고 향후 삼성전자에 대한 세제 혜택을 만장일치로 승인했다. 삼성전자의 유력 투자 후보지로 삼성의 170억달러(약 20조원) 반도체 투자를 유치하기 위해 각별히 노력하는 모습을 보이고 있다.

삼성전자는 테일러시 지역 투자와 관련해 테일러시, 테일러시 독립교육구, 윌리엄슨 카운티 등 3곳과 각각 인센티브 협상을 진행해 왔다. 이번 의결로 삼성은 이들 모두에게 인센티브 조치 승인을 받게 됐다.

텍사스 중부에 위치한 테일러시는 기존 삼성전자 파운드리 공장이 있는 오스틴시와 인접해 있다. 이번 인센티브 조치 승인에 따라 후보지로 최종 낙점될 가능성이 더 커졌다. 반면 유력 후보지로 거론됐던 오스틴시와 인센티브 협상은 더딘 모습을 보이고 있다.

삼성전자는 테일러시보다 먼저 올해 1월 오스틴 측에 세제 혜택을 신청했지만, 협상 대상인 오스틴시와 트래비스 카운티, 매너 독립교육구 등 3곳 중 단 한 곳에서도 아직 인센티브 승인을 받지 못했다. 지난주에는 삼성전자가 매너 독립교육구에 제출한 인센티브 신청서가 텍사스 주정부 사이트에서 철회됐다.

업계에선 테일러시가 삼성전자의 인센티브 의결안을 통과시켜 반도체 투자 지역이 확정됐다는 목소리가 높다. 하지만 삼성전자는 투자 유치 지역 언급에 조심스러운 모습을 보이고 있다. 삼성전자 관계자는 “현재 복수의 투자지역을 검토하고 있으며 최종 투자지는 아직 확정되지 않았다”고 말했다.

한편 이재용 삼성전자 부회장은 지난 14일부터 미국 출장길에 나섰다. 이 부회장의 미국 출장을 계기로 반도체 투자 결정에 속도가 붙을 것이라는 전망이 나온다."
"십년지기 만나 활짝 웃은 이재용, 바이오·통신 성과 가져오나
기사승인 2021. 11. 18. 15:08",2021. 11. 18. 15:08,"17일(현지시간) 미국 뉴저지주 버라이즌 본사에서 만난 이재용 삼성전자 부회장(오른쪽)과 한스 베스트베리(Hans Vestberg) CEO(왼쪽)의 모습./제공=삼성전자
관련종목
삼성전자우(005935), 삼성전자(005930)
이재용 삼성전자 부회장이 미국 현지에서 모더나, 버라이즌 경영진을 연이어 만나 바이오, 통신 등 그룹 핵심 미래 사업에 대해 논의했다.

지난 8월 반도체, 바이오, 통신 등에 향후 3년간 240조원을 투자하겠다고 발표한 이 부회장은 이번 출장을 기점으로 관련 구상을 구체화할 것으로 풀이된다. 특히 바이오 사업은 이 부회장이 ‘제2의 반도체 신화’로 키우겠다는 확고한 목표를 제시한 분야로 향후 더 큰 힘을 받을 것으로 기대를 모은다.

이 부회장이 세계 최대 이동통신사 버라이즌(Verizon) 경영진을 만나 그간 멈춰있던 글로벌 인맥 재정비에 나선 것도 향후 삼성의 통신장비 수주에 청신호가 될 것으로 보인다.

◇ 모더나 설립자 만나 ‘제2 반도체 신화’ 구상
18일 삼성전자에 따르면 이재용 부회장은 지난 16일(현지시간) 미국 매사추세츠주 케임브리지 파이어니어링에서 모더나 공동 설립자이자 이사회 의장인 누바 아페얀 의장을 만났다.

아페얀 의장은 바이오 제약 관련 투자회사인 플래그십 파이어니어링을 통해 혁신적 바이오텍을 발굴·육성해 온 업계 리더다. 모더나의 현 CEO인 스테판 방셀도 아페얀 회장이 직접 영입했다.

두 사람은 이 자리에서 신종 코로나바이러스 감염증(코로나19) 백신 공조와 향후 추가 협력 방안에 대해 의견을 나눈 것으로 전해졌다.

앞서 이 부회장은 지난 8월 가석방 이후 국내 코로나 백신 수급 안정화를 직접 챙기는 과정에서 스테판 방셀 CEO 등 경영진과 신뢰를 쌓았다. 이 부회장이 백신 수급에 적극 나서면서 ‘위탁자·생산자’ 수준에 그쳤던 삼성과 모더나의 관계가 중장기적인 협력을 논의하는 사업 파트너로 격상됐다는 평가다.

이 부회장은 이번 아페얀 의장과의 만남을 계기로 글로벌 바이오 업체들과의 접촉면을 더욱 넓히며 바이오 산업 신화 창출 구상을 구체화할 것으로 전망된다.

삼성은 바이오 사업을 시작한 지 9년 만에 바이오 의약품 위탁개발생산(CDMO) 공장 3개를 완공했다. 또 현재 건설 중인 4공장이 완공되면 위탁개발생산에서 글로벌 1위로 올라선다.

삼성은 바이오 의약품 외에 백신, 세포·유전자 치료제 등 차세대 치료제 CDMO에도 진출할 예정이다. 특히 바이오시밀러 분야에서도 파이프라인 확대 및 고도화에 투자한다는 방침이다.

16일(현지시간) 미국 매사추세츠주 캠브리지에서 만난 이재용 삼성전자 부회장(왼쪽)과 누바 아페얀(Noubar Afeyan) 모더나 공동 설립자 겸 이사회 의장(오른쪽)의 모습./제공=삼성전자
◇‘십년지기’ 버라이즌 CEO 만나 협력 확대 논의
이 부회장은 17일 세계 최대 이동통신 사업자 버라이즌의 미국 뉴저지주 본사를 찾아 한스 베스트베리 CEO 등 경영진도 만났다. 양측은 이 자리에서 차세대 이동통신 분야의 협력 방안에 대해 의견을 나눈 것으로 전해졌다.

이 부회장과 베스트베리 CEO는 지난 2010년 스페인에서 열린 ‘모바일월드콩그레스’에서 만나 10년 이상 친분을 이어온 십년지기다. 당시 이 부회장은 삼성전자 부사장으로 베스트베리 CEO는 스웨덴 에릭슨 회장 자격으로 행사에 참석했다.

이 부회장이 이번 출장으로 그간 멈췄던 글로벌 인맥 재정비에 나서면서 삼성전자의 통신장비 수주도 다시 활기를 띌 것으로 기대를 모은다.

특히 5G 통신장비 사업을 비롯한 삼성의 차세대 통신 시장 개척은 이재용 부회장이 주도해 왔기 때문에, 이 부회장이 경영 일선에 다시 나서며 탄력을 받을 수 있다는 기대다.

이 부회장은 삼성전자가 5세대 이동통신(5G) 시대를 선도할 수 있는 역량을 빠르게 키울 수 있도록 전담 조직 구성, 연구개발 지원, 마케팅까지 전 영역을 진두지휘하며 직접 챙겼다.

베스트베리뿐 아니라 일본 NTT도코모·KDDI 경영진, 인도 릴라이언스 암바니 회장, 아랍에미리트(UAE) 왕세제 등 이 부회장의 글로벌 ICT 리더들과의 화려한 인맥 역시 삼성의 5G 네트워크 통신장비 영업에 직·간접적인 도움이 됐다는 후문이다.

삼성전자는 지난해 버라이즌에 약 7조 9000억원 규모의 5G 이동통신 장비를 포함한 네트워크 솔루션을 공급한다는 내용의 계약을 맺었다. 8조원에 육박하는 수주 규모는 한국 통신장비 산업 전체를 통틀어 역대 최대 규모의 단일 수출 계약이었다.

업계에서는 두 회사가 지난해 맺은 대규모 5G 이동통신 솔루션 공급 계약 이후 비욘드(Beyond) 5G, 6G 등 4차 산업혁명의 ‘핵심 인프라’인 차세대 통신 분야에서도 협력을 확대해 갈 것으로 전망하고 있다.

업계 관계자는 “이재용 부회장이 이번 방미를 통해 그동안 사법 리스크 등으로 단절됐던 글로벌 네트워크를 복원하고, 미래 먹거리 발굴에 본격적으로 나선 것”이라고 말했다."
"이재용 부회장, 미국서 모더나 설립자 만나 백신 협력 논의
기사승인 2021. 11. 18. 13:15",2021. 11. 18. 13:15,"16일(현지시간) 미국 매사추세츠주 캠브리지에서 만난 이재용 삼성전자 부회장(왼쪽)과 누바 아페얀(Noubar Afeyan) 모더나 공동 설립자 겸 이사회 의장(오른쪽)의 모습./제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935), 삼성바이오로직스(207940)
이재용 삼성전자 부회장이 모더나 경영진을 만나 신종 코로나바이러스 감염증(코로나19) 백신 공조와 앞으로의 추가 협력 방안을 논의해다.

삼성전자는 이 부회장이 16일(현지시간) 미국 매사추세츠주 캠브리지에서 누바 아페얀(Noubar Afeyan) 모더나(Moderna) 공동 설립자 겸 이사회 의장을 만난 사진을 18일 공개했다.

이 부회장은 지난 14일 반도체, 바이오, 인공지능(AI) 사업 관계자들을 만나기 위해 북미 출장길에 올랐다.

삼성전자에 따르면 모더나 관계자 미팅은 아페얀 의장이 설립한 바이오 투자회사 플래그십 파이어니어링(Flagship Pioneering) 본사에서 진행됐다.

이 부회장과 아페얀 의장은 이날 최근 진행된 코로나19 백신 공조, 향후 추가 협력 방안에 대해 의견을 나눈 것으로 알려졌다.

앞서 삼성바이오로직스는 지난 5월 모더나와 mRNA 백신 생산 계약을 체결하고 8월부터 생산을 시작, 10월부터 해당 백신을 국내에 출하했다.

또 이 부회장은 17일(현지시간) 이동통신 기업 버라이즌(Verizon)의 한스 베스트베리(Hans Vestberg) CEO 등 경영진을 만났다고 삼성측은 밝혔다.

17일(현지시간) 미국 뉴저지주 버라이즌 본사에서 만난 이재용 삼성전자 부회장(오른쪽)과 한스 베스트베리 (Hans Vestberg) CEO(왼쪽)의 모습./제공=삼성전자"
"삼성전자, ‘비스포크 홈’ 들고 국제 IoT·가전·로봇박람회 참가
기사승인 2021. 11. 18. 10:29",2021. 11. 18. 10:29,"삼성전자 모델이 광주광역시 김대중컨벤션센터에서 열리는 ‘2021 국제 IoT·가전·로봇박람회’에 마련된 삼성전자 스마트홈 부스를 소개하고 있다. /제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935)
삼성전자가 대중컨벤션센터에서 열리는 ‘2021 국제 IoT·가전·로봇박람회’에 오는 20일까지 참가한다.

삼성전자는 이번 박람회에서 ‘당신을 위한 환상의 팀워크’을 주제로 ‘비스포크(BESPOKE)‘ 가전과 ‘스마트싱스(SmartThings)’를 기반으로 연결성이 한층 강화된 스마트홈을 선보인다고 18일 밝혔다.

삼성전자 스마트싱스 쿠킹존에서는 ‘비스포크 패밀리허브’ 냉장고 내부에 보관 중인 식재료를 모바일을 통해 확인할 수 있는 ‘뷰 인사이드(View Inside)’ 기능, 밀키트나 간편식의 뒷면 바코드를 스캔하면 조리 온도와 시간이 세팅되는 ‘비스포크 큐커’의 ‘스캔쿡’ 기능 등을 체험할 수 있다.

또 스마트싱스 의류케어 존에는 ‘그랑데 AI’ 세탁기·건조기, ‘에어드레서’, ‘슈드레서’ 등 최신 비스포크 의류케어 가전이 전시된다.

의류케어 존에서는 △빨랫감의 무게와 종류, 오염도를 감지해 세탁과 헹굼 시간을 자동 설정하는 ‘AI 맞춤세탁’ △기기 내부의 온·습도를 감지하는 정밀센서가 최적의 건조 온도와 시간을 찾아내는 ‘AI 맞춤건조’ △사용 패턴이나 날씨, 계절을 바탕으로 추천 코스를 제안하는 ‘AI 습관기억’과 ‘AI 맞춤추천’ 등 의류케어를 지원하는 인공지능 기능을 소개한다.

아울러 스마트싱스 펫케어 존에는 ‘비스포크 제트봇 AI’ 로봇청소기를 통해 반려동물의 일상을 촬영해 보여주고, 음악이나 영상을 재생해 반려동물의 정서를 케어해 주는 서비스도 체험해 볼 수 있다.

‘비스포크 큐브 Air’ 펫케어 공기청정기를 원격으로 작동시켜 반려동물의 털과 냄새를 효과적으로 제거하는 시연도 한다.

박찬우 삼성전자 생활가전사업부 상무는 “삼성 비스포크 가전은 한층 진화한 AI와 IoT 기술을 접목해 소비자의 일상에 편리함을 주고 있다”며 “앞으로 스마트싱스를 기반으로 개개인의 라이프스타일에 맞는 차별화된 서비스를 발굴하고 스마트홈 경험을 발전시켜 나가겠다”고 말했다."
"삼성전자, 3나노 생태계 최적화…‘인공지능’ 기반 기술 확보
기사승인 2021. 11. 18. 10:27",2021. 11. 18. 10:27,"‘SAFE(Samsung Advanced Foundry Ecosystem) 포럼 2021’ 포스터 /제공=삼성전자
관련종목
삼성전자(005930), 삼성전자우(005935)
삼성전자가 18일 ‘SAFE(Samsung Advanced Foundry Ecosystem) 포럼 2021’을 열고 파운드리 생태계 강화에 나섰다.

이날 포럼에서는 ‘퍼포먼스 플랫폼(Performance Platform) 2.0’을 주제로 최첨단 공정 기반 칩 구현에 필요한 솔루션 강화 방안을 논의했다. 또 7개 기조연설과 76개 테크 세션을 통해 SAFE 플랫폼을 통한 성공적인 개발 협력 성과와 사례도 공유됐다.

삼성전자는 이번 행사에서 데이터 중심 시대에 필요한 HPC/AI 분야 전자설계자동화(EDA), 클라우드(Cloud), 설계자산(IP), 디자인솔루션파트너(DSP), 패키지(Package) 솔루션 등 파운드리 전(全) 분야에서 파트너사들과 각 인프라를 확대했다.

또 2022년 상반기 양산 예정인 3나노 GAA(Gate-All-Around) 구조에 최적화된 설계 인프라와 2.5D/3D 패키지 설계 솔루션 그리고 설계 데이터를 체계적으로 관리하고 분석하기 위한 인공지능 기반의 EDA 등 80개 이상의 EDA 툴 및 기술을 확보했다. 또한 GPU를 활용한 컴퓨팅 방식 등 새로운 기술을 도입해 설계 시간도 단축했다.

통합 클라우드 설계 플랫폼(CDP, Cloud Design Platform)은 고객의 기존 설계 환경과 연계 가능한 하이브리드 클라우딩 기능을 지원하고, 설계에 필요한 소프트웨어의 사전 설치를 확대하는 등 고객사 편의를 강화했다. 12개 글로벌 디자인 솔루션 파트너와 연계해 최첨단 공정뿐 아니라 고성능, 저전력 반도체 설계 노하우를 이용해 국내외 반도체 개발을 지원한다.

아울러 네트워크, 데이터센터 등에 사용되는 고성능 SerDes(Serializer-Deserializer) IP를 포함한 PCIe, eUSB 등 3,600개 이상의 다양한 응용처 별 인터페이스 IP를 제공한다.

이상현 삼성전자 파운드리사업부 디자인플랫폼 개발실 전무는 기조연설에서 “데이터 중심 시대로의 전환이 가속화되며, 높아지는 고객의 요구에 대응하기 위한 삼성전자 에코시스템도 함께 발전하고 있다”며 “삼성전자는 SAFE 프로그램의 강력한 지원자로서 ‘혁신(Innovation)’, ‘지능(Intelligence)’, ‘집적(Integration)’으로 업그레이드된 ‘퍼포먼스 플랫폼 2.0’ 비전 실현을 주도해 나가겠다”고 밝혔다."
