title,date,article
"삼일회계법인-용산 드래곤즈, 아동학대 예방의 날 맞아 봉사활동 진행
기사승인 2021. 11. 19. 11:49",2021. 11. 19. 11:49,"삼일회계법인과 아모레퍼시픽, 오리온재단, 코레일네트웍스, CJ CGV, HDC신라면세점, HDC현대산업개발, 용산구 자원봉사센터 등 용산 소재 민관학 연합 ‘용산 드래곤즈’는 세계 아동학대 예방의 날을 앞두고 아동들을 위한 ‘호야토토 키트’를 제작했다고 19일 밝혔다.

용산 드래곤즈 소속 임직원들이 직접 참여해 디자인하고 스토리를 구성한 키트는 전량 아동권리보장원을 통해 79개 쉼터에 전달된다. 학대 아동들이 겪는 불안감을 해소하고, 안정감을 느낄 수 있도록 돕는 토끼 캐릭터 ‘호야토토’는 애착 인형과 놀이 키트 등으로 제작됐다.

삼일회계법인 임직원을 포함해 100여명의 용산 드래곤즈 자원 봉사자들은 지난 18일 용산역 광장에 모여 미완성 헝겊책을 마무리하고, 엽서에 메세지를 적어 호야토토 인형 키트를 완성했다. 용산 드래곤즈는 지속적으로 ‘아동 학대’에 대해 관심을 갖고 매년 관련 키트를 제작해 용산 등 지역사회에 기증할 예정이다.

삼일회계법인 담당자는 “아동 인권 보호는 개인과 가정뿐만 아니라 우리 사회 구성원 모두가 이행해야 할 의무”라며 “우리의 관심과 적극적인 행동이 아이들이 건강하게 성장하는 지속가능한 사회로 나가는데 도움이 되기를 바란다”고 밝혔다.

지난 2018년 결성한 ‘용산 드래곤즈’는 지역사회 문제 해결에 앞장서고자 게릴라 가드닝, 미스터리 나눔버스, 플라스틱 컵 쓰레기 올림픽, 미리 크리스마스 등 다양한 연합 봉사활동을 진행해왔다. 지금까지 총 80여개 기업과 학교, 기관에서 2000여 명의 봉사자가 참여했으며 협력적 사회 공헌의 롤 모델로 지역사회와의 상생을 지속해나갈 계획이다."
"현대차, ‘2021 광저우 모터쇼’ 참가…중국형 투싼 하이브리드 첫선
기사승인 2021. 11. 19. 11:40",2021. 11. 19. 11:40,"현대차가 ‘2021 광저우 모터쇼’에서 최초로 선보인 중국형 투싼 하이브리드, 중국형 투싼 N라인./제공 = 현대자동차
현대자동차가 친환경·고성능 모델을 앞세워 중국 SUV 시장 공략에 나선다.

현대차는 19일(현지시간) 중국 광저우 수출입상품교역회전시관에서 개막한 ‘2021 광저우 국제모터쇼’에서 중국형 투싼 하이브리드와 역동적인 N 라인 전용 디자인이 더해진 중국형 투싼 N라인을 최초로 공개했다고 밝혔다.

현대차그룹 중국 유한공사(HMGC) 브랜드마케팅실 인용일 실장은 환영사를 통해 “중국 정부의 2060 탄소중립 정책 기조에 발맞춰 현대차그룹도 탄소 배출을 줄이는데 기여하고 중국 내 친환경 시장에서의 입지를 다져나갈 예정”이라고 강조했다.

현대차 중국 합작법인 베이징현대 판매본부 왕철 부장은 이날 모터쇼에서 “현대차와 베이징현대는 향후 친환경차 모델 라인업을 지속 확대하는 한편 고성능 모델까지 더해 중국 SUV 시장에 새로운 바람을 일으키겠다”고 포부를 밝혔다.

이어 “중국 연태 종합기술연구소를 주축으로 최근 개소한 상해 중국선행디지털연구소와 귀주성 글로벌 빅데이터 센터를 통해 중국 시장에서 선도적 기술력을 선보일 것”이라며 “베이징현대는 친환경 기술, 스마트 커넥티비티, 능동 안전기술 등을 토대로 브랜드 경쟁력을 지속 강화해 나가겠다”고 전했다.

‘2021 광저우 모터쇼’ 현대차관 전경./제공 = 현대자동차
현대차가 이번 모터쇼에서 처음 선보인 중국형 투싼 하이브리드는 지난 4월 중국에서 출시한 신형 투싼 기본모델의 디자인을 계승한 친환경 파생 모델이다. 연비 경쟁력이 대폭 개선된 2.0 GDI하이브리드 엔진과 하이브리드 전용 6단 A/T가 탑재됐다.

현대차는 중국형 투싼 하이브리드와 함께 고성능 N의 디자인 감성을 기반으로 제작된 중국형 투싼 N라인을 공개해 많은 관심을 받았다.

중국형 투싼 N 라인은 기본 모델에 전용 △프런트 범버 △휠 △머플러 등이 적용되고 내장에 △스웨이드 가죽시트 △메탈 페달 △블랙 헤드라이닝 등이 탑재돼 스포티한 매력을 강화했다. 또한 △라디에이터 그릴 △펜더 △스티어링 휠 △콘솔에 N 라인 전용 엠블럼을 각인해 고성능 N의 정체성을 극대화했다.

현대차는 투싼 하이브리드와 투싼 N 라인을 올해 말에 출시할 예정이다.

현대차는 이번 광저우 모터쇼에서 1400㎡ (약 424평)의 전시공간을 마련하고 팰리세이드, 아반떼 스페셜 에디션 다크 나이트 등을 포함한 총 13대의 차량을 전시해 현장을 찾은 관람객들의 이목을 끌었다.

현대차는 신차 존 외에도 친환경차량 존, 고성능차량 존을 따로 마련해 혁신적인 친환경, 고성능 기술력을 선보였다. 친환경차량 존에는 아이오닉 5와 중국형 넥쏘를 전시해 글로벌 전동화 선도 기업으로서 자신감을 드러냈다. 고성능차량 존에는 아반떼 N, 코나 N을 전시하고 관람객들이 고성능 브랜드 N을 체험할 수 있는 WRC 관련 전시공간을 마련했다.

또한 현대차가 후원하는 첼시FC 축구 선수단의 친필 사인 유니폼, 용품 등을 전시하고, 전동화 기술을 체험할 수 있는 친환경 충전식 런닝머신 등 다양한 전시·체험물을 운영해 전시관을 찾은 관람객들에게 재미와 함께 글로벌 기업의 위상과 기술 경쟁력을 알릴 예정이다."
"경기도미술관 개관 15주년 기념, 2021 경기도미술관 심포지엄 개최
기사승인 2021. 11. 19. 11:11",2021. 11. 19. 11:11,"수원 김주홍 기자 = 경기도미술관이 개관 15주년을 맞아 미술관의 당면 문제를 파악하고 지속 가능한 비전과 목표 설정을 위한 심포지엄 ‘미술관 수집의 새로운 표준 불러오기’를 오는 23일부터 12월 31일까지 개최한다고 19일 밝혔다.

재단에 따르면, 올해부터 경기도미술관은 수집과 관리, 공간과 기능, 프로그램 등 기관의 분야별 현황을 점검하고, 향후 3년간 단계별 연구 주제를 설정해 중·단기 미술관 연구를 시작했다.

첫 시작으로 ‘미술관의 수집과 관리’를 의제로 개최하는 이번 심포지엄 ‘미술관 수집의 새로운 표준 불러오기’는 3회에 걸친 내부 워크숍에서 도출된 논의점과 텍스트들을 토대로 그 방향을 완성했다.

경기도미술관은 개관 이래 경기작가를 비롯한 동시대미술과 한국 현대사의 주요 작품을 지속적으로 수집해왔다.

2021년 경기도미술관의 심포지엄은 변화하는 환경에 따른 소장품에 대한 요구와 관심사를 반영한 연구로 경기 아트아카이브, 야외조각공원, 퍼포먼스와 뉴 미디어아트의 소장 등을 살펴본다.

이번 심포지엄에 초청된 각 분야의 연구자들과 함께 소장품 수집과 보존의 기준, 미래 방향에 대한 입체적인 시선을 공유하고, 급변하는 환경 속에서 미술관 운영을 위한 모색을 통해 미술관의 지속 가능한 목표에 한 걸음 다가가고자 한다.

심포지엄은 오는 23일 경기문화재단 유튜브을 통해 생중계 되며, 25일부터 12월 31일까지 다시 볼 수 있다.

온라인 생중계, 다시보기 기간 중 누구나 참여 가능하며 누리집으로 사전 신청한 분에게는 오는 23일 10시 30분에 알림문자를 보낸다."
"한국도자재단, 24일까지 광주 경기도자박물관 소장용 ‘근대 도자유물’ 구입
기사승인 2021. 11. 19. 10:27",2021. 11. 19. 10:27,"경기도자박물관 근현대전통도자 상설전시장 전경/제공 = 도자재단
수원 김주홍 기자 = 한국도자재단이 오는 24일까지 광주 경기도자박물관 소장품 수집을 위한 ‘근대 도자유물’을 공개 구입한다고 19일 밝혔다.

이번 사업은 지속적인 경기도 대표 도자유물 확보를 통해 도민 문화 향유기회를 넓히고 공립박물관으로서의 역량을 강화하는 데 목적이 있다.

구입 대상 유물은 △분원공소, 분원자기 주식회사 등 분원(分院, 조선시대 사옹원에서 쓰는 사기그릇을 만들던 곳) 민영화 전후 분원 백자 △황해도 해주, 강원도 양구 백자 등 근대 지방백자 △이왕직 미술품 제작소(1908년에 설립된 조선 왕실 기물 제작소), 한양고려소(1910년 무렵 서울 묵정동(墨井洞)에 설립된 청자 재현 공장) 등 재현 도자다.

문화재 매매업자·법인 또는 단체, 개인 소장자는 누구나 참여할 수 있다. 신청은 한국도자재단 누리집에 있는 신청서류를 작성해 이메일 또는 경기도자박물관 학예팀 유물구입 담당자 우편으로 접수하면 된다. 단, 소유나 출처가 불분명한 유물과 불법문화재는 매도 신청이 불가하다. 기타 자세한 사항은 한국도자재단 누리집에서 확인할 수 있다.

접수 유물은 유물수집실무위원회 1차 심의와 유물평가위원회의 2차 유물 감정평가를 통해 최종 선정하며, 선정된 유물은 내년 경기도자박물관 ‘근·현대 전통도자 상설전시’를 통해 일반에 공개될 예정이다.

최연 한국도자재단 대표이사는 “이번 사업으로 경기도자박물관 중장기 소장품 수집 정책의 기초를 다지고 경기 도자에 대한 도민 자긍심을 높이는 데 기여하겠다”고 말했다."
"6개월간 음식물 쓰레기 약 9톤 감량한 용인시 아파트 눈길
기사승인 2021. 11. 19. 09:54",2021. 11. 19. 09:54,"시는 음식물 쓰레기 감량 대회에서 기흥구 힐스테이트 서천을 최우수 단지로 선정했다/제공=용인시
용인 홍화표 기자 = 우리집에서 나오는 음식물 쓰레기를 줄이고 또 줄이면 6개월간 몇 ㎏을 감량할 수 있을까?

19일 용인시에 따르면 지난 4월부터 9월까지 6개월간 진행한 공동주택 음식물 쓰레기 감량 경진대회에서 기흥구 힐스테이트 서천 아파트(754세대)가 음식물쓰레기 8985㎏을 감량해 최우수 단지로 선정됐다.

지난해 4월~9월 사이 7만 3885㎏의 음식물쓰레기를 배출했고 이번 경진대회 기간엔 6만 4900㎏을 배출했다.

이번 대회는 지역 아파트 56개 단지(3만 5008세대)를 A그룹(300~500세대)과 B그룹(500세대 이상)으로 나눠 진행됐다.

상위 6개 단지 주민 3447세대에서 대회 기간 중에 감량한 음식물 쓰레기는 35만 10㎏에 달한다.

A그룹에선 산양마을 대우푸르지오 아파트가 4533㎏을 감량해 최우수단지로 선정됐고, 3597㎏을 줄인 기흥구 연원마을 현대아파트가 우수단지로, 2359㎏을 감량한 기흥구 어정마을 동백아이파크가 장려단지로 선정됐다.

B그룹에서는 8985㎏을 줄인 기흥구 힐스테이트 서천이 최우수 단지로, 8960㎏을 감량한 기흥구 호수마을 주공3단지아파트가 우수단지로, 6576㎏을 줄인 기흥구 금화마을 주공4단지 아파트가 장려단지로 선정됐다.

각 단지는 지속적인 음식물 쓰레기 줄이기에 동참해달라는 아파트 내 안내 방송과 함께 엘리베이터 게시판 등 홍보물을 활용하는 등 주민들의 적극적인 참여를 유도했다.

시 관계자는 “효과적인 음식물 쓰레기 감량 방안을 찾기 위해 다양한 방안을 모색하고 있다”며 “친환경 생태도시에 걸맞은 올바른 배출 문화를 정착시키기 위해 최선을 다하겠다”고 말했다."
"현대차그룹, 수소연료전지 담당 조직 확대 개편…“R&D 역량 강화”
기사승인 2021. 11. 19. 09:48",2021. 11. 19. 09:48,"관련종목
현대차(005380)
현대자동차그룹이 수소연료전지 개발 역량 강화와 자원의 집중·효율화를 위해 사장급을 책임자로 임명하고, 사업조직을 확대하는 조직 체계 개편을 실시했다.

19일 현대차그룹에 따르면 이번 조직 개편을 통해 연구개발본부 부본부장인 박정국 사장이 신설되는 수소연료전지담당을 맡아 연료전지 개발의 최고 사령탑으로서 수소연료전지 개발과 사업을 직접 이끈다. 연료전지의 연구개발 역량 강화를 최우선 목표로 연구소 내의 자원을 집중하고 지원을 더욱 체계화할 계획이다.

기존 연료전지사업부는 개발과 사업 조직으로 분리·확대된다. 수소연료전지개발센터는 수소연료전지 기술개발, 개발체계 고도화, 원가절감 및 성능 확보에 주력하며, 수소연료전지사업부는 사업전략·운영과 더불어 혁신적 생산 기술 개발, 품질 확보 체계를 더욱 강화할 계획이다.

수소연료전지개발센터는 김세훈 부사장이 맡아 연료전지 개발에 매진하며, 수소연료전지사업부는 임태원 전무가 맡는다. 임태원 전무는 한국공학한림원 정회원으로 선정되는 등 재료 및 연료전지 분야 기술전문가로 국내외 학계·산업계 네트워크가 탁월하고, 투싼 연료전지차량의 개발을 성공적으로 이끌었다. 또한 ESS(에너지 저장장치) 사업을 포함해 현대차그룹의 수소 및 에너지 사업을 견인한 사업 전문성도 보유하고 있다.

현대차그룹이 조직 체계를 확대 개편하는 것은 연구 성과를 중간 점검하는 과정에서 발견한 기술적 문제 등 과제들을 빠르게 극복하고, 연구 개발 일정과 방향성을 재정립하기 위함이다. 이번 조직 개편 이후 연료전지 개발 완성도를 높이기 위해 설계 강화 및 신공법 적용 등을 적극 추진하고 수소사회 구현을 위해 경쟁력있는 사업화 전략 구상도 새로이 가다듬을 계획이다.

한편 현대차와 현대모비스는 전날 이사회를 열고 그동안의 연료전지 개발 성과와 향후 개발 방향성 등을 설명했다."
"코스피, 외인 ‘사자’에 장 초반 강세
기사승인 2021. 11. 19. 09:19",2021. 11. 19. 09:19,"./ 사진 = 연합
19일 코스피 지수가 외국인의 매수세에 힘입어 장 초반 강세를 보이고 있다.

이날 오전 9시 8분 기준 코스피는 전 거래일 대비 19.56포인트(0.66%) 오른 2966.94에 거래되고 있다. 지수는 3.68포인트(0.12%) 상승한 2951.06에 출발해 상승세를 이어가고 있다.

유가증권시장에선 외국인이 홀로 641억원 어치를 사들이며 지수 상승을 견인하고 있다. 개인과 기관은 각각 364억원, 275억원 어치를 팔아치우고 있다.

코스피 시가총액 10위 종목은 삼성SDI(-0.66%)를 제외하고 전부 오름세다. 삼성전자(0.43%), SK하이닉스(0.91%), NAVER(0.37%), 삼성바이오로직스(2.73%), 카카오(2.41%), LG화학(0.13%), 삼성전자우(0.61%), 현대차(2.68%), 기아(1.32%) 등이다.

코스피 업종 지수는 음식료업(0.32%), 화학(0.44%), 의약품(1.21%), 철강금속(1.28%), 유통업(0.99%) 등이 상승 중이다. 섬유의복(-0.25%), 종이목재(-0.41%), 기계(-1.48%), 의료정밀(-0.59%) 등은 하락 중이다.

같은 시간 코스닥 지수는 전 거래일 보다 3.83포인트(0.37%) 오른 1036.60를 기록 중이다. 지수는 0.70포인트(0.07%) 하락한 1032.07에 출발해 상승세로 전환했다.

코스닥 시장에선 개인이 홀로 592억원 어치를 순매수 중이다. 외국인과 기관은 각각 427억원, 129억원 어치를 순매도 중이다.

코스닥 시총 10위 종목은 혼조세를 보이고 있다. 셀트리온헬스케어(1.42%), 에코프로비엠(0.16%), 엘앤에프(1.52%), 셀트리온제약(0.95%) 등이 오르고 있는 반면 펄어비스(-1.64%), 카카오게임즈(-1.57%), 위메이드(-3.93%) 등은 내리고 있다.

한편 서울외환시장에서 원·달러 환율은 전 거래일 대비 1.50원 오른 1181.90원에 거래되고 있다."
"프로야구 kt 이강철 감독, ‘만년 2인자’서 ‘우승 마법사’로!
기사승인 2021. 11. 19. 09:01",2021. 11. 19. 09:01,"kt 위즈 선수들이 18일 서울 구로구 고척스카이돔에서 열린 2021신한은행 SOL KBO 포스트시즌 한국시리즈 4차전에서 두산을 8-4로 꺾고 창단 첫 통합우승을 달성한 뒤 이강철 감독을 헹가래치고 있다./연합
프로야구 kt 위즈의 이강철 감독이 팀의 첫 정규리그·한국시리즈(KS·7전4승제) 통합 우승을 일궈냈다. 또 KS 최우수선수(MVP) 출신으로 정상을 밟은 첫 사령탑이란 금자탑까지 세웠다.

kt는 지난 18일 서울 고척스카이돔에서 열린 서울 고척스카이돔에서 열린 2021 신한은행 쏠(SOL) KBO 포스트시즌 KS 4차전에서 두산 베어스를 8-4로 제압했다.

시리즈 전적 4승 무패를 기록한 kt는 2013년 창단 이후 8년만에, 2015년 1군에 진입하고 나서 7시즌만에 처음으로 정규리그·KS 통합우승의 위업을 달성했다. 또 KS를 4승 무패로 끝낸 역대 9번째 팀이 됐고, 지난해 처음으로 출전한 포스트시즌 플레이오프에서 두산에 1승 3패로 패했던 빚을 깨끗하게 갚았다.

현역과 지도자로 KS 우승을 모두 경험한 전·현직 감독은 백인천·김재박·선동열 등 9명에 불과하다. 이들 가운데 MVP까지 받았던 사령탑은 이 감독이 유일하다.

언더핸드 투수였던 이 감독은 1996년 해태(KIA 타이거즈 전신) 유니폼을 입고 KS에서 현대 유니콘스를 상대로 5경기에서 1전의 완봉승을 비롯해 2승 1세이브, 평균 자책점 0.56의 빼어난 성적으로 MVP를 차지했다.

그는 1989년부터 2005년까지 17시즌 통산 152승 112패, 53세이브, 평균 자책점 3.29를 기록했다. 특히 다승과 투구 이닝(2204⅔이닝)은 역대 투수 3위에 해당되는 성적이다.

이처럼 화려한 현역 시절 성적에도 불구하고, 광주일고 4년 선배이자 해태 시절 룸메이트였던 선동열 전 감독에 가려 ‘만년 2인자’에 머물러야 했다. 코치로 변신하고 나서도 지휘봉을 쥐기까지 13년이나 걸렸다.

그러나 인고의 시간을 거친 덕분에 특유의 부드러운 성품을 바탕으로 선수 관리와 선진 야구 습득에 특출나다는 평가를 받고 있다. 또 특급 투수 출신답게 마운드 양성과 운용에도 탁월한 능력을 과시한다.

이 감독은 KS를 끝내고 난 뒤 “KS MVP 출신 우승 감독이 없다는 얘기를 듣고 은근히 욕심이 생기더라”며 활짝 웃은 뒤 “
우승하고 나면 허무한 감정이 생기지만, 시간이 지나면 또 우승하고 싶어진다“고 밝혀 두 시즌 연속 우승에 대한 욕심을 미리 털어놨다."
"현대차그룹 ‘2021 군인의 품격’ 온라인 청춘 토크 콘서트 개최
기사승인 2021. 11. 19. 09:01",2021. 11. 19. 09:01,"‘2021 군인의 품격’ 온라인 청춘 토크 콘서트에서 박세리 감독과 MC 윤태진씨가 ‘흔들려도 굿샷! 도전의 티샷을 날려라!’라는 내용으로 토크쇼 후 포즈를 취하고 있다./제공 = 현대자동차그룹
현대자동차그룹은 국방부, 한국메세나협회, 사회복지공동모금회와 함께 군 장병 대상 사회공헌활동인 ‘2021 군인의 품격 온라인 청춘 토크 콘서트’를 진행한다고 19일 밝혔다.

지난해에 이어 올해도 비대면 온라인 방식으로 전환해 온라인의 장점을 적극 활용한 다양한 콘텐츠와 프로그램을 마련했다. 이를 현대차그룹 및 국방부 유튜브에 공개해 군 장병들을 넘어 미래를 설계하는 청년, 일반인들에게도 인사이트를 함께 제공한다.

‘2021 군인의 품격 온라인 청춘 토크 콘서트’는 19일, 23일, 30일까지 총 3차례에 걸쳐 다채로운 콘텐츠로 군 장병 및 일반인들과 만난다.

‘2021 군인의 품격 온라인 청춘 토크 콘서트’는 ‘오늘의 청춘에게’라는 주제로 여자 골프 국가대표팀 박세리 감독, 에듀테크 그룹 야나두 김민철 대표, 여성 듀오 옥상달빛이 각각 ‘도전, 성장, 희망’의 메시지를 담은 강연을 진행하는 형식으로 구성된다.

또한 3명의 연사를 각각 부대와 매칭해 해당 군 장병들과 함께하는 사전 참여 프로그램을 기획했다. Q&A 코너 ‘청춘 마이크, 내 마음을 들어줘’, 사연전달 이벤트 ‘청춘 고백’ 등으로 구성된 사전 참여 프로그램을 통해 직접 강연 현장에 오지 못한 장병들과 연사들이 온라인으로 소통할 수 있도록 도왔다.

첫번째 연사인 박세리 감독은 20대의 도전을 골프의 티샷에 비유해 ‘흔들려도 굿샷! 도전의 티샷을 날려라!’라는 내용으로 세계적인 골프 선수에서부터 예능 프로그램 출연에 이르기까지의 도전 스토리를 토크쇼로 선보인다.

두번째 연사인 김민철 대표는 ‘실패라는 실험을 바탕으로 100% 성공을 설계하는 법’이라는 내용으로 100% 성공하는 법, 성장과 성공의 차이, 나를 가장 성장시킨 성공과 실패 등에 대해 강연한다.

마지막 연사인 옥상달빛은 ‘수고했어 오늘도, 괜찮아 내일도’라는 내용으로 ‘달리기’, ‘수고했어 오늘도’ 등 대표 곡 공연과 강연을 혼합한 유튜브 라이브를 육군 특수전사령부 장병들과 함께 진행한다.

현대차그룹 관계자는 “대한민국을 위해 밤낮으로 고생하는 군 장병들에게 힐링의 기회를 제공하고, 청년 세대 성장에 기여할 수 있는 특별 강연과 토크쇼를 올해로 10회째 함께 할 수 있어 기쁘다”며 “앞으로도 현대차그룹은 선진 병영문화 정착은 물론 미래 인재 육성에 기여하는 다양한 사회공헌 활동을 마련해 나갈 것”이라고 말했다.

현대차그룹 ‘군인의 품격’은 군 장병들의 자긍심을 고취하고 자기계발 기회를 주기 위한 현대차그룹의 대표적인 문화소통 사회공헌활동으로 2012년 시작해 130개 부대 약 8만여 명의 군 장병들이 관람했으며, 지난해 온라인 토크 콘서트로 전환 후 일반 청년 세대까지 대상을 확대해 장래 준비를 위한 인사이트를 함께 제공하고 있다."
"“한국조선해양, 대형·중형 조선사 모두 보유한 중간지주사”
기사승인 2021. 11. 19. 08:07",2021. 11. 19. 08:07,"관련종목
한국조선해양(009540)
케이프투자증권은 19일 한국조선해양에 대해 글로벌 1위 대형 조선사와 중형 조선사를 모두 보유한 중간지주사인 것을 높게 평가한다며 투자의견은 ‘매수’, 목표주가는 12만8000원을 각각 신규 제시했다.

김용민 케이프투자증권 연구원은 “(한국조선해양은) 지난 9월 상장한 현대중공업의 뒤를 이어 내년 현대삼호중공업을 상장시킬 예정”이라며 “완전한 중간지주사의 형태”라고 말했다.

이어 “글로벌 수주 잔고 점유율은 16.4%, 액화천연가스(LNG) 운반선의 경우 44%”라며 “규모의 경제를 실현했고, 업사이클 구간에서 가격 교섭력이 확대될 수 있다”고 설명했다.

김 연구원은 현대중공업그룹의 수소 사업 추진에도 주목했다. 기술개발과 기업 인수·합병(M&A)를 한국조선해양이 전담할 수 있어서다. 이 같은 신사업을 별도의 자본확충 없이 성공적으로 확장하면 가치 재평가의 기회가 있다는 분석이다.

김 연구원은 “현재 주가는 연결회사들의 가치를 제대로 반영하지 못한 상태”라며 “다소 높은 할인율을 적용하더라도 한국조선해양의 공정가치에 미달한다”고 밝혔다."
