title,date,article
"오뚜기, 재전성기 맞은 열라면 모델로 ‘스우파’ 노제 발탁
기사승인 2021. 11. 16. 13:53",2021. 11. 16. 13:53,"‘열라면’ 광고모델로 발탁된 댄서 노제. /제공=오뚜기
관련종목
오뚜기(007310)
오뚜기는 엠넷 ‘스트릿 우먼 파이터’로 높은 인기를 얻고 있는 댄서 노제를 ‘열라면’ 모델로 발탁하고 신규 광고를 선보였다고 16일 밝혔다.

새 광고는 ‘요즘 매운맛’을 콘셉트로, 노제의 강렬한 눈빛과 화려한 춤동작을 통해 ‘열라면’의 화끈한 맛을 생동감 있게 표현했다.

㈜오뚜기가 1996년 선보인 ‘열라면’은 최근 들어 색다른 레시피를 선호하는 ‘모디슈머’ 트렌드의 확산으로 다시 인기를 얻고 있다. 특히 순두부를 넣어먹는 레시피는 SNS를 중심으로 빠르게 입소문을 탔다.

‘열라면’은 3개년 연속 매출 성장세를 기록했으며, 올 상반기 역시 지난해 대비 50% 증가했다."
"오뚜기, 2021년 하반기 신입사원 공개 채용
기사승인 2021. 11. 15. 14:05",2021. 11. 15. 14:05,"제공=오뚜기
오뚜기가 2021년 하반기 신입사원 공개채용을 진행한다고 15일 밝혔다.

지원서 접수 기간은 이날부터 22일까지 총 8일 간이며, 오뚜기 홈페이지를 통해 지원할 수 있다.

채용직무는 국내 세일즈, 글로벌 세일즈, 홍보영양, 영업기획, 생산기술, 환경안전, 생산설비, 품질관리, 식품안전, R&D, 마케팅, 디자인, SCM, 경영전략, 구매, 비서, 인사, 교육, 재경, ESG경영 등이다. 지원 대상은 2022년 2월 졸업예정자 및 기졸업자다.

전형절차는 서류전형(온라인), 인·적성 및 직무능력검사(온라인), 1차 실무면접 및 심층인성검사, 2차 임원면접을 거쳐 2021년 12월 말 최종 입사하게 된다.

오뚜기 관계자는 “변화를 두려워하지 않는 도전 정신과 열정이 있는 인재들의 많은 지원을 기대한다”고 말했다."
"골프·명품에 투자한다?…NH아문디운용, 이색 ETF 잇달아 출시
기사승인 2021. 11. 10. 15:46",2021. 11. 10. 15:46,"관련종목
NH투자증권(005940), NH투자증권우(005945)
NH아문디자산운용이 명품·골프 등에 투자하는 이색 ETF(상장지수펀드)를 시장에 잇달아 내놓으며 투자자들 관심을 끌고 있다.

한국거래소에 따르면 10일 기준 국내 증시에 상장된 NH-Amundi자산운용의 ETF는 26개다. 이 중 HANARO Fn K-POP&미디어, HANARO Fn K-게임, HANARO Fn K-메타버스MZ, HANARO Fn전기&수소차 등 10개 ETF가 올해 상장했다. 모두 최근 증시를 뜨겁게 달군 테마들이다. 처음 ETF 상품을 내놓기 시작한 2018년 7개, 2019년 4개, 2020년 4개보다 올해 더 다양하고 많은 상품을 출시한 셈이다.

NH아문디 자산운용 관계자는 “다른 자산운용사와 달리 차별화된 ETF 테마 상품 출시에 집중하고 있다”며 “최근 주요한 테마성 이슈인 동시에 장기적으로 성장성이 높은 분야를 엄선해 출시하는 만큼 수익률 측면에서 성과도 괜찮은 편”이라고 말했다.

◇다양한 ETF 테마 상품 출시
NH-아문디는 시장 진출이 다른 자산운용사에 비해 늦었던 만큼 차별화된 ETF를 내놓는 데 집중하고 있다. 2018년 12월 출시된 HANARO 농업융복합산업, 2020년 5월 내놓은 HANARO 글로벌럭셔리S&P(합성) 등이 대표적인 이색 ETF다. 올 초(1월 4일)부터 지난 9일까지 수익률은 각각 9.69%, 37.5%에 달한다.

먼저 HANARO농업융복합산업 ETF는 에프앤가이드 농업융복합산업지수를 추종하는 상품으로, KT&G, CJ제일제당, 팜스코, LG화학, 오뚜기 등을 골고루 담고 있다. 김현빈 NH아문디 자산운용 ETF 전략팀장은 “해당 종목은 농업을 기반으로 다양한 부가가치를 창출하는 차세대 성장산업인 6차산업에 투자한다”며 “NH아문디의 농협 DNA를 가장 잘 나타내는 상품”이라고 설명했다.

HANARO 글로벌럭셔리S&P ETF는 미국 S&P(스탠더드앤푸어스) 글로벌 명품지수를 추종하는 ETF로, 말 그대로 명품에 투자한다. 포르쉐, 루이비통모에헤네시(LVMH), 인터컨티넨탈호텔그룹, 티파니 등 80개 종목의 주가를 반영해 수익률이 정해지는 방식이다. 국내 기업 중엔 아모레퍼시픽, 호텔신라 등이 들어가 있다.

◇골프 ETF 상장 추진…테마형 상품으로 승부
NH-아문디자산운용은 이달 24일 중 국내 첫 골프 관련 ETF를 상장할 예정이다. 골프존 등 국내골프 관련 기업에 투자하는 상품이다.

김 팀장은 “골프 관련 키워드 연관도가 높은 종목들로 구성 된다”면서 “주로 스크린골프 등 관련 사업을 운영 중인 골프존, 골프의류 및 용품을 판매하는 휠라홀딩스, 골프장을 운영하는 KMH 기업들이 포함될 예정이다”고 밝혔다.

김 팀장은 골프 ETF를 최초로 개발한 배경으로 MZ(1980~2000년대생)세대를 중심으로 불고 있는 골프 열풍과 골프 산업의 장기 성장성 등을 꼽았다. 그는 “코로나19 사태 이후 젊은층의 골프 시장 유입이 급격히 증가했다”면서 “향후 해외 골프시장이 오픈 된다고 하더라도 골프의류 및 용품, 스크린골프 등의 산업은 유입된 인구에 의해 장기적으로 꾸준히 성장해 나갈 것으로 전망한다”고 밝혔다.

NH아문디 자산운용은 앞으로도 계속 다양한 ETF 테마 상품을 선보인다는 계획이다. 김 팀장은 “한국의 글로벌 경쟁력에 투자하는 K-시리즈, 전세계적 흐름인 ESG 분야 등 다양한 국내외 테마형 상품을 준비하고 있다”며 “또한 친환경 기업에 투자하는 액티브 ETF도 출시해 액티브 ETF 라인업도 강화할 계획”이라고 덧붙였다."
"오뚜기 비롯한 식품업계, 색다른 ‘컬러 마케팅’ 눈길
기사승인 2021. 11. 10. 14:54",2021. 11. 10. 14:54,"제공=오뚜기
식품업계가 브랜드의 상징색을 활용해 소비자들의 구매 욕구를 자극하는 ‘컬러 마케팅’을 활발히 펼치고 있다.

시각적 요소에 즉각적으로 반응하는 소비자들에게 특정 색상을 통해 브랜드 아이덴티티와 상품 정보 등을 보다 쉽게 전달하겠다는 전략이다.

한국색채연구소에 따르면 인간이 사물을 인지하고 판단할 때 영향을 미치는 감각은 시각(70%), 청각(20%), 후각과 촉각, 미각 등(10%)으로 구성돼 있다. 시각의 50% 이상을 차지하는 요소는 바로 ‘색’이다.

오뚜기는 밝고 온화한 느낌을 주는 ‘황색(노란색)’과 강렬한 에너지를 지닌 ‘금적색(빨간색)’을 각각 주색과 보조색으로 택하고, 기업 로고(CI)에 적용했다. ‘금적색’은 앞으로 튀어나와 보이는 진출색으로 적극적이고 능동적인 근무자세를 나타낸다. 소비자들과 더욱 친밀하게 소통하고자 하는 의지를 담아 색채 심리학에서 ‘희망, 기쁨, 행복’을 상징하는 ‘노란색’을 사용했다.

소비자 구매 행동에 제품 패키지가 상당한 영향을 미친다는 사실을 고려해 대표 제품들의 포장 디자인에 상징색을 입혔다. 노란색과 빨간색의 조화가 두드러지는 오뚜기의 ‘컬러 마케팅’ 전략이 가장 잘 통한 제품은 ‘카레’다.

‘오뚜기 카레’는 오뚜기가 회사 설립과 함께 생산한 최초 품목으로, 1969년 ‘오뚜기 분말 즉석카레’라는 이름으로 출시됐다. ‘오뚜기 카레’의 흥행에는 상징색을 적용한 포장 디자인도 한몫했다. 노란 바탕색의 패키지는 카레의 주재료인 강황이 노란빛을 띤다는 점과 맞아떨어져 시너지를 냈고, 소비자들에게 ‘오뚜기’를 각인시키는 데 큰 역할을 했다.

‘오뚜기 3분 카레’ 역시 포장 디자인에 상징색을 적절하게 활용, 카레의 먹음직스러운 비주얼을 한층 돋보이게 했다는 평가를 받는다. 이외에도 오뚜기는 3분 요리류와 라면류, 즉석밥, 컵밥 등 다양한 제품군에 상징색을 적용함으로써 브랜드의 정체성을 확고히 하고 있다.

오뚜기 관계자는 “시각적 요소에서 높은 비중을 차지하는 ‘색채’는 브랜드나 제품의 성격과 결부되는 만큼 효과적인 마케팅 수단으로 각광받고 있다”며, “기업 로고 및 상품에 상징색을 일관되게 적용해 브랜드 인지도와 신뢰도를 제고하려는 시도는 업계 전반에서 이어질 것으로 보인다”고 말했다.

국내 1위 이온음료인 동아오츠카의 ‘포카리스웨트’도 성공적인 컬러 마케팅 사례로 꼽힌다. 포카리스웨트는 출시 당시부터 파란 바탕에 흰색 글씨를 넣은 패키지 디자인을 선보였다. 당시 파란색 계통의 색상은 식욕을 저하시킨다는 이유로 식품업계에서 사용하지 않는 것이 일반적이었으나, 시원한 청량감을 강조하는 포카리스웨트의 ‘블루 마케팅’은 그 인식을 바꾸는 계기가 됐다."
"오뚜기 함태호 학술상에 이현규 한양대 교수 선정
기사승인 2021. 10. 29. 10:53",2021. 10. 29. 10:53,"재단법인 오뚜기함태호재단 함영준 이사장(왼쪽)과 이현규 한양대 식품영양학과 교수가 28일 함태호 학술상 수여 이후 기념사진을 찍고 있다./제공=오뚜기
관련종목
오뚜기(007310)
재단법인 오뚜기함태호재단은 이현규 한양대 식품영양학과 교수에게 함태호 학술상을 수여했다고 29일 밝혔다.

이 교수는 전날 부산 벡스코에서 열린 제24회 오뚜기함태호 학술상 시상식에서 상패와 부상 3000만을 받았다.

이 교수는 식품의약품안전처에 근무하며 식품산업계와 소비자와의 소통 및 정책 수립에 공헌해 식품산업의 발전에 크게 기여한 공을 인정받았다.

이 교수는 식품가공과 기능성 분야를 융합한 유용물질 캡슐화의 기반 연구와 관련 제품 적용을 꾸준히 수행해 왔다. 최근 10년 동안 학술지 논문 총 102편을 등재했다. 이 중 국제 SCI(E)급 학술지가 86편, 학진등재가 16편, 특허 29건, 저서 4편 등의 성과를 냈다."
"[포토] [2021국감] 증인출석한 김낙현 오뚜기 상무-황청용 농심 전무-유상준 아워홈 구매본부장
기사승인 2021. 10. 20. 16:36",2021. 10. 20. 16:36,"김낙현 오뚜기 상무(왼쪽부터), 황청용 농심 전무, 유상준 아워홈 구매본부장이 20일 서울 여의도 국회에서 열린 농림축산식품해양수산위원회의 농림축산식품부 및 소관기관 종합감사에 일반증인으로 출석해 답변하고 있다."
"오뚜기, ‘3분 요리’ 누적 판매량 18억 개 돌파
기사승인 2021. 10. 19. 18:04",2021. 10. 19. 18:04,"오뚜기는 ‘3분 카레’를 포함한 오뚜기 3분 요리류의 누적 판매량이 약 18억개를 기록했다고 19일 밝혔다. 우리나라 국민 1인당 약 39개를 소비한 셈이다.

오뚜기 카레는 지난 40년간 부동의 1위를 유지하고 있다. ‘3분 카레’ ‘3분 짜장’ ‘3분 미트볼’ 등 3분 요리류의 점유율은 올해 9월 기준 81.3%로, 꾸준히 80%를 상회하고 있다.
오뚜기 3분요리/제공=오뚜기
오뚜기 관계자는 “국내 가정간편식의 원조인 ‘3분 카레’는 품질 향상을 위한 지속적인 연구개발과 소비자 중심의 마케팅으로 40년간 시장 1위 자리를 지키고 있다“며 “앞으로도 ‘보다 좋은 품질, 보다 높은 영양, 보다 앞선 식품으로 인류 식생활 향상에 이바지한다’는 경영철학을 기반으로 소비자들이 안심하고 먹을 수 있는 제품을 만들어 나갈 것”이라고 말했다."
"[인터뷰] 송철호 울산시장 “대한민국 청정에너지 수도로 도약할 것”
기사승인 2021. 10. 11. 12:10",2021. 10. 11. 12:10,"송철호 울산시장이 11일 아시아투데이와의 인터뷰에서 ‘9개 성장다리 사업’ 등 그동안 추진했던 성과를 설명하고 있다./제공=울산시
울산 이승준 기자 = “울산시는 앞으로 4차 산업혁명기술 융·복합과 함께 시대적 과제인 친환경·저탄소경제 전환에 가속을 낸다면 명실공히 ‘대한민국 청정에너지 수도’로 도약할 것이라 확신한다.”

송철호 울산시장은 11일 아시아투데이 창간 16주년 기념 인터뷰에서 이 같이 말했다.

송 시장은 “향후 남은 임기동안 코로나19 완전 종식과 일자리 창출을 위해 매진하겠다”고 강조했다.

다음은 송 시장과의 일문일답.

- 민선 7기 울산 시정을 이끈 소회는.

“코로나19 상황에서도 울산 재도약을 향한 ‘9개 성장다리 사업’과 전국 최초의 ‘울산형 뉴딜사업’을 추진했고 경제자유구역청 개청과 수소 그린모빌리티 규제자유특구 등 5대 특구·단지 지정을 완료했다. 부·울·경 메가시티의 일환으로 1시간 생활권이 가능한 광역철도망 구축사업과 함께 울산의료원 설립을 추진 중이다. 울산전시컨벤션센터와 부산고법 울산재판부도 문을 열었고 10년 넘게 표류해온 농수산물 도매시장 현대화사업은 현재 본궤도에 올랐다. 그러나 코로나19 장기화로 방역행정에 예산과 인력을 집중하다보니 민선 7기의 많은 계획들이 제대로 평가받지 못한 부분이 많이 아쉽다.”

- ‘시민신문고위원회’ 등 현장소통과 민관협치에 관한 제도·정책적 평가가 긍정적이다.

“민선 7기 비전이 ‘시민과 함께 다시 뛰는 울산’이다. 제 1호 공약이 ‘시민신문고위원회’다. 시민의 눈높이에서 시정을 추진할 것이란 의지다. 울산시정 최초로 도입된 민·관 소통의 핵심 기구로 지난 5월에는 세계옴부즈만협의회 정회원으로 등록돼 그 위상이 한껏 높아졌다. 소통 홈페이지 ‘시민 다듬이방’과 ‘공약이행 주민배심원제’를 통해 많은 시민들과 소통하고 있어 ‘한국매니페스토실천본부’로부터 전국 시·도지사 ‘주민소통 분야’ 평가에서 2년 연속 최고 등급을 수상했다. 다른 어떤 상보다 소중하고 자랑스럽다.”

- 정부가 2050 탄소중립을 선언한 지 1년이 됐다. 울산은 자동차, 조선 등 탄소기반 산업이 주축이다. 그동안 정부정책과 지역 현황의 조화를 위해 어떤 노력을 해 왔나.

“부유식 해상풍력발전과 수소산업 등 친환경에너지 사업을 포함한 ‘울산형 뉴딜사업’을 지난해 전국에서 최초로 추진했다. 이 같은 노력은 중앙정부의 한국판 뉴딜과 탄소중립 전략에 반영돼 범국가적 정책으로 추진되는 결과를 가져왔다. 문재인 대통령은 지난 5월 울산에서 열린 ‘부유식 해상풍력 전략보고’ 행사에 참석해 전폭적인 지원 의지를 밝힌 바 있고 P4G 정상회의에서 울산의 부유식 해상풍력을 한국판 뉴딜의 대표 사례로 전 세계에 소개하기도 했다. 부유식 해상풍력으로 생산한 전력의 20%로 바닷물을 분해해 탄소배출이 전혀 없는 ‘그린수소’를 생산하고 이를 동북아 오일·가스 허브 배후 단지에 건립할 대규모 시설에 저장한 뒤 전국으로 공급할 계획이다.”

송철호 울산시장(가운데)이 지난 5월 울산 부유식 해상풍력전략 발표 현장에서 문재인 대통령(맨 오른쪽)과 함께 시설을 둘고보고 있다./제공=울산시
- 위드코로나 전환기에 들어섰다. 울산시의 경제전망은.

“코로나19와의 장기전 속에서 울산 경제의 맷집은 더욱 단단해졌다. 조선업 수주 물량이 대폭 늘어나고 있고 울산지역 수출액은 2년 만에 최고를 기록했다. 특히 부유식 해상풍력을 비롯한 친환경 에너지사업은 현재 순조로운 진척상황을 보이고 있으며 경제적 파급효과도 매우 높을 것으로 기대한다. 부유식 해상풍력 사업은 2030년까지 원전 6기에 해당하는 발전량인 6GW 조성을 목표로 하고 있다. 대략 576만 가구, 영남권 전 가정이 쓸 수 있는 양이고 21만 명에 이르는 대규모 일자리 창출도 기대된다.”

- 재선 도전 의지를 밝혔다. 앞으로의 잔여임기 구상은.

“최우선과제는 코로나19의 완전 종식과 온전한 일상 회복이다. 큰 어려움을 겪고 있는 소상공·자영업자에 대한 지원 확대뿐만 아니라 코로나19로 심화된 민생격차 해소와 경제·사회 전반의 포용성 강화에 집중하겠다. 민선 7기 중점 과제인 ‘9개 성장다리 사업’과 ‘울산형 뉴딜사업’의 가시적 성과가 늘어나면서 양질의 일자리 창출과 경기 회복을 체감할 수 있을 것이다. 울산시민들은 시정 추진의 원동력이다. 지금까지 믿고 성원해 주신 것에 감사드리며 초심을 잃지 않는 겸손한 자세로 마지막까지 최선을 다하겠다.”

송철호 울산시장은 노무현·문재인 두 전·현직 대통령의 친구이자 8전 9기의 오뚜기 정치인으로 통한다. 서른 넷 늦은 나이에 사법시험을 합격하고 현대중공업 노조 변호사를 시작으로 울산지방변호사회장과 울산YMCA 이사장 등 재야 법조계와 지역사회의 시민운동을 두루 거친 울산 시민사회의 대부다. 노무현 정부에서 국민고충처리위원장(장관급)에 재임한 경험으로 민선 7기 첫 공약인 ‘시민신문고위원회’를 설치해 소통중심 행보를 보여 임기 초반 여론으로부터 호평을 받기도 했다. 그러나 군부정권 말기 민주화바람에 이어 영·호남으로 갈라진 배타적 지역주의 정서가 정점으로 치닫던 1992년 14대 총선 출마를 시작으로 첫 당선증을 받기까지 무려 26년이 걸렸던 만큼 그의 정치 노정은 지난했다. 과반 이상의 높은 득표로 당선의 감격을 느낄 새도 없이 동시에 날아든 공직선거법 위반 관련 논란은 현직 광역단체장 신분으로 수사와 재판을 받는 수모를 안기며 임기 내내 그를 옭아맸다. 송 시장을 따라붙는 다양한 수식어만큼 재임 중 논란도 많았다. 1000일을 하루같이 분초를 쪼개며 쉴틈없이 달려온 그에게 여론은 ‘그래서 안타깝다’는 반응이다. 내년 지방선거에서 ‘오뚜기’ 처럼 새로운 정치여정을 한 번 더 이어갈 수 있을지 113만 울산 여론의 향방에 이목이 집중된다."
"“진라면처럼 오래”…진라거, 수제맥주 찾는 홈술족 입맛 잡는다
기사승인 2021. 10. 07. 15:05",2021. 10. 07. 15:05,"“이슈성 협업이 아니라 진라면처럼 오래가고 싶어서 만들었다. 기본에 충실한 라거 맛으로 오래갈 수 있는 제품을 만들어 많은 채널에서 소비자들이 찾아볼 수 있도록 할 것이다”

7일 온라인 공간에서 열린 진라거 출시 기자간담회에는 김태경 어메이징브루잉컴퍼니 대표를 비롯해 오뚜기 직원들이 참석했다. 이날 김 대표는 “수제맥주 산업이 다양성에 있다고 보고 한국의 소비재도 점점 다양화 되고 있다”며 “조금 더 실험적인 걸 만들어 보고 싶었고 이는 대기업에서는 할 수 없는 플레이”라고 ‘진라거’ 출시 배경을 설명했다.

메타버스 이천 브루어리/제공=어메이징브루잉컴퍼니
코로나19 이후 ‘홈술족’이 증가하면서 수제맥주와 대중맥주의 경계가 빠르게 사라졌다. 다양성을 추구하는 소비자들의 맥주 소비 트렌드도 급변하면서 대기업 뿐만 아니라 중소 규모의 수제맥주 업체들도 활발히 신제품을 출시했다.

수제맥주 스타트업 어메이징브루잉컴퍼니(이하 어메이징)도 치열해지는 수제맥주 시장 경쟁에서 살아남기 위해 오뚜기와 협업한 이색 맥주 제품을 출시하며 수제맥주 시장 선점에 나섰다. 실제 지난달 16일 어메이징이 오뚜기와 협업해 선보인 ‘진라거’는 출시 2주 만에 초도 물량 70만캔이 완판되며 ‘홈술족’의 입맛을 사로잡았다. 회사 측은 향후 입점 채널을 편의점·대형마트 등으로 넓혀 다양한 소비층을 공략한다는 계획이다.

김 대표는 이날 간담회에서 많은 기업들 중 오뚜기와 협업 배경에 대해 “수제맥주의 본질인 ‘맛’에 집중해온 어메이징과 오랜동안 맛의 본질에 충실한 국민 브랜드인 오뚜기와의 맛의 기본에 초점을 두고자 기획한 협업”이라며 “진한 맛의 한국형 몰트라거의 맛을 제대로 구현할 수 있는 기회가 됐다”고 말했다.

또한 진라거만의 특징에 대해 “수제맥주라고 인식한 라거들이 시장에 꽤 많은데 감미료나 착향료가 들어간 것이 많다”며 “저희는 스페셜 몰트를 많이 사용해 맛과 향을 진하게 냈다는 부분이 차별화 포인트”라고 강조했다.

어메이징은 국내 뿐만 아니라 최근 전세계적으로 K푸드가 주목받고 있는 만큼 주변국을 비롯한 동남아 시장에도 진출한다는 방안이다. 김 대표는 “좋은 술은 멀리 여행하지 않는다는 속담이 있는데 그만큼 신선도도 중요하고 아무래도 수제맥주를 잘 먹을 수 있는 주변국가들에 시장 진출을 중점으로 보고 있다”며 “특히 한국 브랜드가 인정받고 있는 동남아 지역을 유심히 살펴보고 있다”고 말했다.

어메이징의 이번 기자간담회는 ‘메타버스 이천 브루어리’에서 온라인으로 진행됐다. 메타버스 공간에 실제 이천 브루어리의 외관과 생산라인을 그대로 구현한 것이 특징으로 메타버스 전문 기업 빌드엠과 함께 협업해 수제맥주 업계에서는 메타버스를 활용한 최초의 사례로 평가 받는다.

특히 메타버스 공간에서는 어메이징의 맥주의 생산 공정이 실제와 동일한 순서로 구현됐으며 메타버스 내 연결된 맥주 생산 설비의 실제 사진과 영상 등 구체적인 자료도 함께 제공됐다.

김 대표는 “어메이징이 오뚜기와 함께 맛의 진정성에 초점을 둔 진라거를 더욱 자세히 알리기 위해 메타버스를 활용한 기자간담회를 기획했다”라면서 “이번에 제작한 어메이징의 메타버스 이천 브루어리를 활용해 코로나19 환경에서 비대면 소통에 더욱 익숙해진 소비자 및 기업고객과 접점을 늘려갈 계획”이라고 밝혔다.

메타버스 이천 브루어리/제공=어메이징브루잉컴퍼니
진라거/제공=어메이징브루잉컴퍼니"
"‘불닭볶음면에 닭은 어디?’…일부 한국라면 멕시코서 회수
기사승인 2021. 10. 06. 15:17",2021. 10. 06. 15:17,"멕시코에 수출하고 있는 삼양식품의 ‘불닭볶음면’ 등이 현지에서 성분 표시등의 이유로 회수하기로 한 것으로 알려졌다. 제품명에는 ‘닭’이 표기돼 있으나 정작 성분에는 ‘닭고기맛 분말’ 등 가공 닭고기 맛만 함유돼 소비자들에게 오인의 소지가 있다는 이유다.

6일 식품업계에 따르면 멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만9937개를 시장에서 회수한다고 밝혔다.

12개 제품 중엔 치즈 붉닭볶음면과 오뚜기라면 닭고기맛, 신라면 컵라면 등 한국 제품도 포함됐다.

멕시코 소비자보호청은 치즈 붉닭볶음면의 경우 스페인어로 ‘매운 치즈맛 닭고기 라면’이라고 표기해 놓고 실제 표기 성분 상엔 ‘가공 닭고기맛 분말’과 ‘가공 닭고기맛’만 함유돼 있다고 지적했다.

해외용 제품인 오뚜기라면 닭고기맛의 경우 포장 이미지엔 당근이 있지만 실제로는 들어있지 않은 점, 신라면 컵라면 등은 영양 정보가 제대로 표기돼 있지 않은 것이 문제점으로 지적됐다.

삼양식품 측은 “패키지 라벨 검수를 진행하고 검사 과정에서 수정할 부분이 있으면 반영할 것”이라면서 “현재 협의 중”이라고 밝혔다.

치즈 불닭볶음면에 닭고기가 함유돼 있지 않아 ‘기만 광고’라고 지적한 멕시코 당국. [멕시코 PROFECO 발행 ‘소비자 잡지’ 10월호]"
