title,date,article
"[단독]SK, 1조 자금 조성해 美 반도체-ICT 공격 투자",2021-11-26 03:00:00,"삼성전자 이어 美 현지투자 가속

SK하이닉스 반도체 공장

SK스퀘어 SK하이닉스 SK텔레콤 등 SK그룹 계열사 3곳이 공동으로 미국 등 주요국의 첨단 반도체·정보통신기술(ICT) 기업에 투자하기 위한 대규모 자금 조성에 나선다. 시장에선 최대 조(兆) 단위 액수가 거론된다. 반도체 공급망 재편에 대응하고 ICT 등 미래 역점사업을 선점하기 위해 삼성에 이어 SK도 내년부터 미국, 유럽연합(EU) 등에서의 밸류체인(가치사슬) 구축에 뛰어든다는 것이다.

25일 투자은행(IB) 업계에 따르면 SK스퀘어는 SK하이닉스, SK텔레콤과 반도체·ICT 기업 투자를 위한 최소 수천억 원 규모의 공동 자금을 조성하기로 했다. 별도의 특수목적법인을 세우거나 펀드를 조성해 자금을 모아 투자금을 집행하는 방안 등을 검토하고 있다. 자금 운용은 3사가 공동으로 맡을 계획이다. 내년부터 SK스퀘어, SK텔레콤, SK하이닉스 경영진이 참여하는 ‘3사 협의체’의 의사결정을 통해 본격적인 투자에 나설 예정이다.

SK스퀘어는 이달 1일 SK텔레콤과의 분할로 설립된 SK그룹의 반도체·ICT 투자 전문 회사로, 박정호 부회장이 이끌고 있다. 반도체·ICT 투자금 조성 사업은 SK스퀘어가 독립 법인으로 신설된 후 첫 번째 공식 프로젝트다.


SK스퀘어 등 3사는 SK그룹 관계사 외에 글로벌 기업과 기관도 투자에 참여할 수 있도록 할 계획이다. 일본 소프트뱅크 등이 외부에서 자금을 조달해 플랫폼, 자율주행, 인공지능(AI) 분야 신생 기업 등에 대해 공격적으로 투자에 나서는 것처럼 일종의 ‘글로벌 투자 연합군’을 구성하겠다는 것이다.

실제 박 부회장은 지난달 미국 뉴욕 등을 찾아 현지 금융투자 업계와 기관투자가 등을 대상으로 SK스퀘어 등이 주도하는 반도체·ICT 투자 계획을 중점적으로 설명한 것으로 알려졌다. 내년 1월 미국 라스베이거스에서 열리는 세계 최대 가전·정보기술 전시회인 ‘CES 2022’ 기간에도 현지에서 글로벌 투자자를 접촉할 예정이다.

IB 업계에선 해외 기업, 기관까지 참여할 경우 SK스퀘어가 주도하는 전체 반도체·ICT 분야의 총투자금이 1조 원을 넘어설 것으로 보고 있다. 주요 투자 대상 지역은 AI를 접목한 반도체 설계 업체나 6세대(6G) 이동통신 등의 첨단 기술력을 갖춘 기업들이 모인 미국이 우선적으로 꼽힌다. SK는 최근 그룹 차원에서 미국 투자에 큰 관심을 보여 왔다. 최태원 SK그룹 회장은 지난달 워싱턴을 방문해 앞으로 미국에 520억 달러(약 61조 원)를 투자하겠다고 밝혔다. SK스퀘어의 자회사인 SK하이닉스는 지난해 10월 미국 인텔의 낸드 메모리와 저장장치 사업부문을 약 10조3000억 원에 인수했다. 미국 외에 EU와 일본 등도 투자 대상 지역에 포함돼 있다.

SK스퀘어 관계자는 “회사 설립 목적에 맞는 반도체·ICT 분야의 투자 계획을 갖고 있지만 구체적으로 확정된 방안은 없다”고 말했다.

앞서 삼성전자도 이재용 부회장의 미국 출장을 계기로 20조 원 규모의 미국 텍사스주 테일러시 파운드리(반도체 위탁생산) 제2공장 건설 계획을 확정해 24일 발표했다. 5년 만에 미국을 방문한 이 부회장은 반도체뿐만 아니라 버라이즌, 마이크로소프트(MS), 구글 등 미국의 첨단 ICT 기업의 경영진과도 만나 협력 방안을 논의했다.

한국 기업이 미국 현지 투자와 협업에 적극적으로 나서는 것은 도널드 트럼프, 조 바이든 행정부에서 불거진 반도체 공급망 불안과 미중 ICT 기술 경쟁 등이 영향을 미쳤다. 미국은 반도체와 ICT를 핵심 전략 산업으로 보고 공급망 확충과 기술력 확보를 위한 유인책을 펴고 있다. 5월 한미 정상회담에서도 양국 정상은 반도체, 배터리, ICT 등 분야의 협력을 강화하는 방안에 합의하기도 했다. 또 대만 TSMC 등 한국 기업의 경쟁사가 공격적으로 미국 현지 투자에 나서며 생산 시설, 기술을 확보하고 있는 것도 요인으로 작용했다.

김봉만 전국경제인연합회 국제협력실장은 “신종 코로나바이러스 감염증(코로나19) 이후 글로벌 공급망 재구축 움직임이 예상보다 빠르게 이어지고 있다”며 “투자 등을 더 확대하기 위해 정부와 민간기업의 공동 노력이 절실한 시점”이라고 말했다.

지민구 기자 warum@donga.com
곽도영 기자 now@donga.com"
"[단독]SK, 1조 자금 조성해 美 반도체-ICT 공격 투자",2021-11-26 03:00:00,"삼성전자 이어 美 현지투자 가속

SK하이닉스 반도체 공장

SK스퀘어 SK하이닉스 SK텔레콤 등 SK그룹 계열사 3곳이 공동으로 미국 등 주요국의 첨단 반도체·정보통신기술(ICT) 기업에 투자하기 위한 대규모 자금 조성에 나선다. 시장에선 최대 조(兆) 단위 액수가 거론된다. 반도체 공급망 재편에 대응하고 ICT 등 미래 역점사업을 선점하기 위해 삼성에 이어 SK도 내년부터 미국, 유럽연합(EU) 등에서의 밸류체인(가치사슬) 구축에 뛰어든다는 것이다.

25일 투자은행(IB) 업계에 따르면 SK스퀘어는 SK하이닉스, SK텔레콤과 반도체·ICT 기업 투자를 위한 최소 수천억 원 규모의 공동 자금을 조성하기로 했다. 별도의 특수목적법인을 세우거나 펀드를 조성해 자금을 모아 투자금을 집행하는 방안 등을 검토하고 있다. 자금 운용은 3사가 공동으로 맡을 계획이다. 내년부터 SK스퀘어, SK텔레콤, SK하이닉스 경영진이 참여하는 ‘3사 협의체’의 의사결정을 통해 본격적인 투자에 나설 예정이다.

SK스퀘어는 이달 1일 SK텔레콤과의 분할로 설립된 SK그룹의 반도체·ICT 투자 전문 회사로, 박정호 부회장이 이끌고 있다. 반도체·ICT 투자금 조성 사업은 SK스퀘어가 독립 법인으로 신설된 후 첫 번째 공식 프로젝트다.


SK스퀘어 등 3사는 SK그룹 관계사 외에 글로벌 기업과 기관도 투자에 참여할 수 있도록 할 계획이다. 일본 소프트뱅크 등이 외부에서 자금을 조달해 플랫폼, 자율주행, 인공지능(AI) 분야 신생 기업 등에 대해 공격적으로 투자에 나서는 것처럼 일종의 ‘글로벌 투자 연합군’을 구성하겠다는 것이다.

실제 박 부회장은 지난달 미국 뉴욕 등을 찾아 현지 금융투자 업계와 기관투자가 등을 대상으로 SK스퀘어 등이 주도하는 반도체·ICT 투자 계획을 중점적으로 설명한 것으로 알려졌다. 내년 1월 미국 라스베이거스에서 열리는 세계 최대 가전·정보기술 전시회인 ‘CES 2022’ 기간에도 현지에서 글로벌 투자자를 접촉할 예정이다.

IB 업계에선 해외 기업, 기관까지 참여할 경우 SK스퀘어가 주도하는 전체 반도체·ICT 분야의 총투자금이 1조 원을 넘어설 것으로 보고 있다. 주요 투자 대상 지역은 AI를 접목한 반도체 설계 업체나 6세대(6G) 이동통신 등의 첨단 기술력을 갖춘 기업들이 모인 미국이 우선적으로 꼽힌다. SK는 최근 그룹 차원에서 미국 투자에 큰 관심을 보여 왔다. 최태원 SK그룹 회장은 지난달 워싱턴을 방문해 앞으로 미국에 520억 달러(약 61조 원)를 투자하겠다고 밝혔다. SK스퀘어의 자회사인 SK하이닉스는 지난해 10월 미국 인텔의 낸드 메모리와 저장장치 사업부문을 약 10조3000억 원에 인수했다. 미국 외에 EU와 일본 등도 투자 대상 지역에 포함돼 있다.

SK스퀘어 관계자는 “회사 설립 목적에 맞는 반도체·ICT 분야의 투자 계획을 갖고 있지만 구체적으로 확정된 방안은 없다”고 말했다.

앞서 삼성전자도 이재용 부회장의 미국 출장을 계기로 20조 원 규모의 미국 텍사스주 테일러시 파운드리(반도체 위탁생산) 제2공장 건설 계획을 확정해 24일 발표했다. 5년 만에 미국을 방문한 이 부회장은 반도체뿐만 아니라 버라이즌, 마이크로소프트(MS), 구글 등 미국의 첨단 ICT 기업의 경영진과도 만나 협력 방안을 논의했다.

한국 기업이 미국 현지 투자와 협업에 적극적으로 나서는 것은 도널드 트럼프, 조 바이든 행정부에서 불거진 반도체 공급망 불안과 미중 ICT 기술 경쟁 등이 영향을 미쳤다. 미국은 반도체와 ICT를 핵심 전략 산업으로 보고 공급망 확충과 기술력 확보를 위한 유인책을 펴고 있다. 5월 한미 정상회담에서도 양국 정상은 반도체, 배터리, ICT 등 분야의 협력을 강화하는 방안에 합의하기도 했다. 또 대만 TSMC 등 한국 기업의 경쟁사가 공격적으로 미국 현지 투자에 나서며 생산 시설, 기술을 확보하고 있는 것도 요인으로 작용했다.

김봉만 전국경제인연합회 국제협력실장은 “신종 코로나바이러스 감염증(코로나19) 이후 글로벌 공급망 재구축 움직임이 예상보다 빠르게 이어지고 있다”며 “투자 등을 더 확대하기 위해 정부와 민간기업의 공동 노력이 절실한 시점”이라고 말했다.

지민구 기자 warum@donga.com
곽도영 기자 now@donga.com"
"코스피, 14.02p 내린 2980.27…원·달러 환율, 3.7원 오른 1190.2원 마감",2021-11-25 15:36:00,"© News1

25일 코스피 지수가 3거래일 연속 하락하며 2980선으로 밀렸다. 기관과 외국인이 동반 매도에 나섰다.

이경민 대신증권 연구원은 “외국인이 5거래일만에 순매도 전환했고, 글로벌 통화정책 정상화 가속화에 대한 우려로 투자심리가 위축됐다”며 “환율은 매파적인 FOMC 의사록에 따른 달러 강세에 1190원까지 상승했으나 장중 달러 약세반전에 추가 상승은 제한됐다”고 밝혔다.

이날 코스피 지수는 전일 대비 14.02p(0.47%) 내린 2980.27로 거래를 마쳤다.

기관과 외국인이 각각 1504억원과 927억원을 순매도하며 지수 하락을 부추겼다. 특히 외국인은 5거래일만에 순매도 전환했다. 반면 개인은 2033억원을 사들였다.

코스피 시가총액 상위 10개 종목 중 삼성SDI(-2.05%), SK하이닉스(-1.67%), 삼성전자(-1.47%), 기아(-1.2%), LG화학(-1.07%), 삼성전자우(-1.02%), 현대차(-0.94%), 삼성바이오로직스(-0.24%) 등 대부분 종목이 하락했다. 카카오(2.81%), NAVER(0.51%) 등은 상승했다.

코스닥 지수는 전일 대비 4.47p(0.44%) 하락한 1015.66로 마감했다.

외국인이 926억원을 순매도한 가운데 개인과 기관이 각각 770억원과 387억원을 순매도했다.

코스닥 시가총액 상위 10개 종목 중 위메이드(-7.34%), 엘앤에프(-2.74%), 에코프로비엠(-1.98%), 펄어비스(-1.75%), 셀트리온헬스케어(-0.94%), 천보(-0.57%) 순으로 낙폭이 컸다.

서울외환시장에서 달러·원 환율은 3.7원 오른 1190.2원으로 마감했다.

(서울=뉴스1)"
"코스피, 14.02p 내린 2980.27…원·달러 환율, 3.7원 오른 1190.2원 마감",2021-11-25 15:36:00,"© News1

25일 코스피 지수가 3거래일 연속 하락하며 2980선으로 밀렸다. 기관과 외국인이 동반 매도에 나섰다.

이경민 대신증권 연구원은 “외국인이 5거래일만에 순매도 전환했고, 글로벌 통화정책 정상화 가속화에 대한 우려로 투자심리가 위축됐다”며 “환율은 매파적인 FOMC 의사록에 따른 달러 강세에 1190원까지 상승했으나 장중 달러 약세반전에 추가 상승은 제한됐다”고 밝혔다.

이날 코스피 지수는 전일 대비 14.02p(0.47%) 내린 2980.27로 거래를 마쳤다.

기관과 외국인이 각각 1504억원과 927억원을 순매도하며 지수 하락을 부추겼다. 특히 외국인은 5거래일만에 순매도 전환했다. 반면 개인은 2033억원을 사들였다.

코스피 시가총액 상위 10개 종목 중 삼성SDI(-2.05%), SK하이닉스(-1.67%), 삼성전자(-1.47%), 기아(-1.2%), LG화학(-1.07%), 삼성전자우(-1.02%), 현대차(-0.94%), 삼성바이오로직스(-0.24%) 등 대부분 종목이 하락했다. 카카오(2.81%), NAVER(0.51%) 등은 상승했다.

코스닥 지수는 전일 대비 4.47p(0.44%) 하락한 1015.66로 마감했다.

외국인이 926억원을 순매도한 가운데 개인과 기관이 각각 770억원과 387억원을 순매도했다.

코스닥 시가총액 상위 10개 종목 중 위메이드(-7.34%), 엘앤에프(-2.74%), 에코프로비엠(-1.98%), 펄어비스(-1.75%), 셀트리온헬스케어(-0.94%), 천보(-0.57%) 순으로 낙폭이 컸다.

서울외환시장에서 달러·원 환율은 3.7원 오른 1190.2원으로 마감했다.

(서울=뉴스1)"
코스피 장중 기관·외인 매도에 2980선…三電 1%대 하락,2021-11-25 14:12:00,"코스피가 하락 마감한 23일 서울 중구 하나은행 딜링룸 전광판에 코스피지수가 전일대비 15.92포인트(0.53%) 하락한 2,997.33을 나타내고 있다. 2021.11.23/뉴스1 © News1

25일 코스피 지수가 기관과 외국인의 동반 매도에 2980선으로 밀렸다. 코스피 대장주인 삼성전자는 1%대 약세를 보이고 있다.

이날 오후 1시50분 기준 코스피 지수는 전일 대비 11.6p(0.39%) 하락한 2982.69를 가리키고 있다.

외국인은 546억, 기관은 2111억을 각각 순매도하며 지수 하락을 주도하고 있다. 개인은 2330억원을 순매수했다.

코스피 시가총액 상위 10개 종목 중 삼성SDI(-1.92%), SK하이닉스(-1.67%), 삼성전자(-1.2%), 기아(-1.08%), 삼성전자우(-1.02%), LG화학(-0.8%), 현대차(-0.24%) 순으로 하락폭이 크다. 카카오(2.01%), NAVER(0.51%), 삼성바이오로직스(0.12%) 등은 상승했다.

코스닥 지수는 전날 대비 1.55p(0.15%) 하락한 1018.58를 가리키고 있다.

외국인은 1003억원을 순매도한 반면 기관은 151억원, 개인은 1041억원을 각각 순매수했다.

코스닥 시가총액 상위 10개 종목 중 엘앤에프(-1.91%), 에코프로비엠(-1.76%), 펄어비스(-1.75%), 위메이드(-1.59%), 셀트리온헬스케어(-0.35%) 등이 약세를 나타내고 있는 반면 카카오게임즈(5.92%), 에이치엘비(0.78%), SK머티리얼즈(0.76%), 셀트리온제약(0.74%), 천보(0.43%) 등은 상승했다.

서울외환시장에서 달러·원 환율은 전일대비 3.4원 오른 1189.9원에 거래되고 있다.

(서울=뉴스1)"
코스피 장중 기관·외인 매도에 2980선…三電 1%대 하락,2021-11-25 14:12:00,"코스피가 하락 마감한 23일 서울 중구 하나은행 딜링룸 전광판에 코스피지수가 전일대비 15.92포인트(0.53%) 하락한 2,997.33을 나타내고 있다. 2021.11.23/뉴스1 © News1

25일 코스피 지수가 기관과 외국인의 동반 매도에 2980선으로 밀렸다. 코스피 대장주인 삼성전자는 1%대 약세를 보이고 있다.

이날 오후 1시50분 기준 코스피 지수는 전일 대비 11.6p(0.39%) 하락한 2982.69를 가리키고 있다.

외국인은 546억, 기관은 2111억을 각각 순매도하며 지수 하락을 주도하고 있다. 개인은 2330억원을 순매수했다.

코스피 시가총액 상위 10개 종목 중 삼성SDI(-1.92%), SK하이닉스(-1.67%), 삼성전자(-1.2%), 기아(-1.08%), 삼성전자우(-1.02%), LG화학(-0.8%), 현대차(-0.24%) 순으로 하락폭이 크다. 카카오(2.01%), NAVER(0.51%), 삼성바이오로직스(0.12%) 등은 상승했다.

코스닥 지수는 전날 대비 1.55p(0.15%) 하락한 1018.58를 가리키고 있다.

외국인은 1003억원을 순매도한 반면 기관은 151억원, 개인은 1041억원을 각각 순매수했다.

코스닥 시가총액 상위 10개 종목 중 엘앤에프(-1.91%), 에코프로비엠(-1.76%), 펄어비스(-1.75%), 위메이드(-1.59%), 셀트리온헬스케어(-0.35%) 등이 약세를 나타내고 있는 반면 카카오게임즈(5.92%), 에이치엘비(0.78%), SK머티리얼즈(0.76%), 셀트리온제약(0.74%), 천보(0.43%) 등은 상승했다.

서울외환시장에서 달러·원 환율은 전일대비 3.4원 오른 1189.9원에 거래되고 있다.

(서울=뉴스1)"
"코스피, 외인·기관 팔자에 2970선 밀려…三電 1%대 하락",2021-11-25 11:25:00,"코스피가 하락 마감한 23일 서울 중구 하나은행 딜링룸 전광판에 코스피지수가 전일대비 15.92포인트(0.53%) 하락한 2,997.33을 나타내고 있다. 2021.11.23/뉴스1 © News1

25일 장중 코스피 지수가 기관과 외국인의 동반 매도세에 2970선까지 밀렸다.

25일 오전 11시7분 기준 코스피는 전일 대비 17.11p(0.57%) 하락한 2977.18을 가리키고 있다.

기관과 외국인이 각각 1508억원과 878억원을 순매도하며 지수 하락을 부추기고 있다. 개인은 2285억원을 사들이고 있다.

코스피 시가총액 10위 종목 중 SK하이닉스(-1.67%), 삼성SDI(-1.64%), 삼성전자(-1.2%), 삼성전자우(-0.88%), 기아(-0.84%), LG화학(-0.67%), 현대차(-0.24%) 순으로 하락폭이 크다.

반면 밤사이 미국 증시에서 성장주들이 강세를 나타내면서 카카오(1.2%), NAVER(0.51%) 등은 상승 중이다.

상승 출발했던 코스닥 지수도 전일 대비 3.01p(0.30%) 하락한 1017.12에 거래되고 있다.

외국인이 787억원 규모로 순매도 중인 가운데 개인과 기관이 각각 741억원과 138억원을 순매수했다.

코스닥 시가총액 상위 10개 종목 중 카카오게임즈(4.98%), 펄어비스(2.51%), 셀트리온제약(0.49%) 등이 상승중인 반면 에이치엘비(-2.85%), 위메이드(-1.49%), 에코프로비엠(-1.41%), 엘앤에프(-1.16%), 셀트리온헬스케어(-0.71%), SK머티리얼즈(-0.49%), 천보(-0.06%) 등은 하락했다.

서울외환시장에서 달러·원 환율은 전일대비 3.20원 오른 1189.7원을 기록 중이다.

(서울=뉴스1)"
"코스피, 외인·기관 팔자에 2970선 밀려…三電 1%대 하락",2021-11-25 11:25:00,"코스피가 하락 마감한 23일 서울 중구 하나은행 딜링룸 전광판에 코스피지수가 전일대비 15.92포인트(0.53%) 하락한 2,997.33을 나타내고 있다. 2021.11.23/뉴스1 © News1

25일 장중 코스피 지수가 기관과 외국인의 동반 매도세에 2970선까지 밀렸다.

25일 오전 11시7분 기준 코스피는 전일 대비 17.11p(0.57%) 하락한 2977.18을 가리키고 있다.

기관과 외국인이 각각 1508억원과 878억원을 순매도하며 지수 하락을 부추기고 있다. 개인은 2285억원을 사들이고 있다.

코스피 시가총액 10위 종목 중 SK하이닉스(-1.67%), 삼성SDI(-1.64%), 삼성전자(-1.2%), 삼성전자우(-0.88%), 기아(-0.84%), LG화학(-0.67%), 현대차(-0.24%) 순으로 하락폭이 크다.

반면 밤사이 미국 증시에서 성장주들이 강세를 나타내면서 카카오(1.2%), NAVER(0.51%) 등은 상승 중이다.

상승 출발했던 코스닥 지수도 전일 대비 3.01p(0.30%) 하락한 1017.12에 거래되고 있다.

외국인이 787억원 규모로 순매도 중인 가운데 개인과 기관이 각각 741억원과 138억원을 순매수했다.

코스닥 시가총액 상위 10개 종목 중 카카오게임즈(4.98%), 펄어비스(2.51%), 셀트리온제약(0.49%) 등이 상승중인 반면 에이치엘비(-2.85%), 위메이드(-1.49%), 에코프로비엠(-1.41%), 엘앤에프(-1.16%), 셀트리온헬스케어(-0.71%), SK머티리얼즈(-0.49%), 천보(-0.06%) 등은 하락했다.

서울외환시장에서 달러·원 환율은 전일대비 3.20원 오른 1189.7원을 기록 중이다.

(서울=뉴스1)"
"美, SK하이닉스 中공장 제동…“中 반도체 자립 야망 새 역풍”",2021-11-24 16:00:00,"미국이 중국 공장에 최첨단 반도체 장비를 배치하려는 SK하이닉스의 계획에 제동을 걸면서 중국의 반도체 자립 야망이 새로운 역풍에 직면했다는 주장이 제기됐다.

24일 홍콩 사우스차이나모닝포스트(SCMP)는 전문가를 인용해 이같이 보도했다.

앞서 지난 18일 한 외신은 SK하이닉스가 중국 장쑤성 우시의 D램 반도체 공장에 초미세공정 핵심인 극자외선(EUV) 노광장비를 배치하려고 계획했으나, 미국의 반대로 좌초할 가능성이 있다고 보도한 바 있다.

SK하이닉스는 우시 공장에 네덜란드 반도체 장비기업 ASML이 독점 생산하는 EUV 노광장비를 설치할 계획이다.

EUV는 최근 반도체 산업에서 가장 주목 받는 초미세공정의 핵심 기술이다. 적은 시간에 더 많은 양의 제품을 생산할 수 있도록 하는 것이 특징이다. SK하이닉스뿐만 아니라 모든 반도체 기업들이 장비 확보에 열을 올리고 있다.

미중간 기술 갈등이 고조되면서 미국은 국가안보를 이유로 화웨이 등 중국 기업의 무역을 제한했다. 이에 중국은 반도체와 같은 전략 기술 영역에서 자급자족 전략을 추진 중이다.

SCMP는 “SK하이닉스가 우시 공장에서 첨단 반도체 생산 설비 설치 계획을 철회한다면 기술 자립을 추진 중인 중국에 쓰라린 일이 될 것”이라고 전했다.

그러면서 “미국이 SK하이닉스와 대만 TSMC 등 자국 이외 지역에 있는 반도체 제조회사에 미국의 대중국 제재를 준수하라고 압박하면서 기술 격차를 좁히려는 중국의 노력을 더 복잡하게 만들 것”이라고 부연했다.

미국은 EUV 노광장비가 중국으로 수출되는 것을 막은 것은 이번이 처음 아니다.

앞서 미국은 중국 반도체 회사 SMIC(중신궈지)의 네덜란드 ASML로부터 EUV 노광장비를 수입하는 계획을 무산시킨 바 있다.

아울러 중국은 수년간 EUV 노광장비 개발에 매진했으나 여전히 성공하지 못했다.

네덜란드 ASML은 5나노미터(㎚) 이하 초미세 회로를 새겨넣을 수 있는 EUV 노광장비를 생산하는 전 세계 유일한 업체이자 삼성, TSMC 등 업체에 EUV 노광장비를 공급하는 유일한 업체다.

글로벌 리서치업체 게이브칼 틸리 장 애널리스트는 최근 보고서에서 “사실상 모든 최첨단 반도체가 미국 기술에 기반해 제조되고 있어 미국은 최첨단 기술의 중국 수출을 차단할 능력을 갖고 있다“고 주장했다.

ASML의 EUV 노광장비도 미국 기술이 응용되고 있다.

일부 전문가는 중국 공장들이 현재는 성숙공정으로 분류되는 28㎚ 반도체를 생산하고 있어 즉각적인 영향은 없을 것이라고 보고 있다.

SCMP는 “다만 장기적으로 미국이 삼성이나 TSMC에 자국내에 공장을 세우도록 하고, 대중국 수출 금지가 지속될 경우 반도체 공급망에서 중국의 입지는 훼손될 수 밖에 없다”고 지적했다.

[서울=뉴시스]"
"美, SK하이닉스 中공장 제동…“中 반도체 자립 야망 새 역풍”",2021-11-24 16:00:00,"미국이 중국 공장에 최첨단 반도체 장비를 배치하려는 SK하이닉스의 계획에 제동을 걸면서 중국의 반도체 자립 야망이 새로운 역풍에 직면했다는 주장이 제기됐다.

24일 홍콩 사우스차이나모닝포스트(SCMP)는 전문가를 인용해 이같이 보도했다.

앞서 지난 18일 한 외신은 SK하이닉스가 중국 장쑤성 우시의 D램 반도체 공장에 초미세공정 핵심인 극자외선(EUV) 노광장비를 배치하려고 계획했으나, 미국의 반대로 좌초할 가능성이 있다고 보도한 바 있다.

SK하이닉스는 우시 공장에 네덜란드 반도체 장비기업 ASML이 독점 생산하는 EUV 노광장비를 설치할 계획이다.

EUV는 최근 반도체 산업에서 가장 주목 받는 초미세공정의 핵심 기술이다. 적은 시간에 더 많은 양의 제품을 생산할 수 있도록 하는 것이 특징이다. SK하이닉스뿐만 아니라 모든 반도체 기업들이 장비 확보에 열을 올리고 있다.

미중간 기술 갈등이 고조되면서 미국은 국가안보를 이유로 화웨이 등 중국 기업의 무역을 제한했다. 이에 중국은 반도체와 같은 전략 기술 영역에서 자급자족 전략을 추진 중이다.

SCMP는 “SK하이닉스가 우시 공장에서 첨단 반도체 생산 설비 설치 계획을 철회한다면 기술 자립을 추진 중인 중국에 쓰라린 일이 될 것”이라고 전했다.

그러면서 “미국이 SK하이닉스와 대만 TSMC 등 자국 이외 지역에 있는 반도체 제조회사에 미국의 대중국 제재를 준수하라고 압박하면서 기술 격차를 좁히려는 중국의 노력을 더 복잡하게 만들 것”이라고 부연했다.

미국은 EUV 노광장비가 중국으로 수출되는 것을 막은 것은 이번이 처음 아니다.

앞서 미국은 중국 반도체 회사 SMIC(중신궈지)의 네덜란드 ASML로부터 EUV 노광장비를 수입하는 계획을 무산시킨 바 있다.

아울러 중국은 수년간 EUV 노광장비 개발에 매진했으나 여전히 성공하지 못했다.

네덜란드 ASML은 5나노미터(㎚) 이하 초미세 회로를 새겨넣을 수 있는 EUV 노광장비를 생산하는 전 세계 유일한 업체이자 삼성, TSMC 등 업체에 EUV 노광장비를 공급하는 유일한 업체다.

글로벌 리서치업체 게이브칼 틸리 장 애널리스트는 최근 보고서에서 “사실상 모든 최첨단 반도체가 미국 기술에 기반해 제조되고 있어 미국은 최첨단 기술의 중국 수출을 차단할 능력을 갖고 있다“고 주장했다.

ASML의 EUV 노광장비도 미국 기술이 응용되고 있다.

일부 전문가는 중국 공장들이 현재는 성숙공정으로 분류되는 28㎚ 반도체를 생산하고 있어 즉각적인 영향은 없을 것이라고 보고 있다.

SCMP는 “다만 장기적으로 미국이 삼성이나 TSMC에 자국내에 공장을 세우도록 하고, 대중국 수출 금지가 지속될 경우 반도체 공급망에서 중국의 입지는 훼손될 수 밖에 없다”고 지적했다.

[서울=뉴시스]"
