title,date,article
GS건설 호주 건설시장 첫 진출…2조7천억원대 민관합작 도로 짓는다,2021-10-28 11:02,"호주 노스이스트링크 도로사업 조감도. GS건설 제공
지에스(GS)건설이 2조7천억원대의 도로공사를 수주하며 호주 건설시장에 첫 진출했다.
지에스건설은 호주 빅토리아 주정부가 발주한 노스이스트링크(North East Link Primary PKG) 민관합작투자사업(PPP) 입찰에 참여해 최종 낙찰자로 선정됐다고 28일 밝혔다. 지에스건설의 계약 금액은 약 31억7526만호주달러(약 2조7785억원)에 이른다.
이 사업은 호주 멜버른의 인구 증가와 도시 확대에 따라 북동부의 외곽순환도로(Metropolitan Ring Road)와 동부도로(Eastern Freeway) 사이에 단절된 구간을 연결하는 공사다. 공사는 총 6.5㎞의 편도 3차로 병렬 터널과 이에 따른 환기 시설, 주변 연결도로를 시공사는 것이다. 사업자는 완공 후 25년간 운영·유지관리 업무를 수행할 예정이다.
민관합작투자사업(Public-Private Partnership)은 공적자금과 민간재원이 함께 투자되는 개발 협력사업으로, 민간은 도로 등 공공 인프라 투자와 건설, 유지, 보수 등을 맡고 운영을 통해 수익을 얻고 정부는 세금 감면과 일주 재정지원을 해주는 모델이다. 지에스건설은 이번에 세계적 기업들과 컨소시엄을 구성해 재무적 투자와 시공에 모두 참여하는 방식을 택했다. 이번 컨소시엄의 재무 투자자는 지에스건설, 카펠라(Capella), 존 레잉(John Laing), 디아이에프(DIF), 퍼시픽 파트너십(Pacific Partnership), 위빌드(Webuild)다. 건설 합작사(JV)는 지에스건설, 씨피비(CPB), 위빌드, 중국건축공정총공사(China State Construction) 등이다.
지에스건설은 “싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 민관합작투자사업 수행 역량을 바탕으로 새 시장에서의 신규 사업을 적극적으로 추진하고 있다”며 “단순 설계, 시공에서 벗어나 투자, 금융조달, 운영 등을 아우르는 개발사업 분야에서 경쟁력을 갖춘 글로벌 기업으로 도약할 것”이라고 밝혔다.
최종훈 기자 cjhoon@hani.co.kr"
10월15일 궂긴 소식,2021-10-14 19:13,"◆ 유광봉씨 별세: 성원(한국투자증권 GWM전략담당 상무)씨 부친, 김형근(전 KT지사장) 김성종(한의사) 정재훈(이안홈케어뉴트리션 대표)씨 장인=13일 오후 1시30분 서울성모병원. 발인 16일 오전 5시30분. (02)2258-5951.
◆ 전숙자씨 별세: 우윤향 은주 현욱씨 모친, 이성우(KT 동부산지사장) 이승태 유병혁씨 장모, 전규열(<공감신문> 대표이사)씨 고모=14일 오후 1시30분 부산 시민장례식장. 발인 16일 오전 9시. (051)636-4444.
◆ 홍옥선씨 별세: 양창렬(GS건설 책임)씨 모친, 김은미씨 시모, 양귀남(<인더뉴스> 기자)씨 조모=14일 오전 1시30분 인천 가천대길병원. 발인 16일 오전 6시30분. (032)460-9405.
◆ 김장호(전 청도군 화양우체국장)씨 별세: 도윤(한국토지주택공사 대구경북지역본부 주임) 진길(청도군 화양우체국장)씨 부친, 정운철(<매일신문> 뉴스국 사진영상부장)씨 장인=14일 오전 3시20분 대구 영남대병원. 발인 16일 오전 8시30분. (053)620-4231.
◆ 전명수씨 별세: 남궁창열(춘천 동부초교 교장) 창성(<강원도민일보> 서울본부장) 염(우리건기 대표)씨 모친, 남궁균(춘천소방서 소방장) 연(자영업) 민(강원소방학교 전임교수)씨 조모=14일 오전 10시 춘천호반장례식장. 발인 16일 오전 7시30분. (033)252-0046.
◆ 나진관씨 별세: 동연(전 경남 양산시장)씨 부친=14일 오전 3시15분 경남 양산장례식장. 발인 16일 오전. (055)912-1846.
◆ 이상수씨 별세: 청초( 취재기자)·이청미씨 부친, 배상철( 기자) 전정호씨 장인=14일 오후 5시 원주세브란스기독병원. 발인 17일 오전 7시. (010)4464-7942."
"2017년 분양된 서울 아파트, 4년 만에 평균 10억원 ‘껑충’",2021-10-13 10:11,"2017년 분양된 서울 잠원동 ‘반포센트럴자이’ 본보기집. <한겨레> 자료사진
현 정부가 출범한 해인 지난 2017년에 분양된 서울지역 일부 새 아파트의 실거래 가격이 분양가 대비 평균 130%가량 올랐다는 분석이 나왔다.
13일 부동산 정보업체 경제만랩이 2017년 5월부터 12월까지 분양된 서울 아파트 중 지난달에 실거래가 이뤄진 10개 단지를 조사했더니, 이들 아파트 실거래 가격이 분양가 대비 평균 128.3%, 금액으로는 평균 10억2천만원 오른 것으로 나타났다.
분양가 대비 9월 실거래가격 상승률이 가장 높은 곳은 2017년 11월 DL이앤씨(현 대림산업)와 롯데건설이 분양한 서울 은평구 응암동 ‘녹번e편한세상캐슬1차’ 전용면적 59.97㎡다. 이 아파트는 당시 4억4천만원에 분양됐으나 지난달 11억7500만원(18층)에 팔리면서 분양가 대비 167%(7억3500만원) 상승했다.
또 2017년 5월 SK에코플랜트(현 SK건설)가 분양한 서울 영등포구 신길동 ‘보라매SK뷰’ 전용 84.98㎡는 6억7천만원에 분양됐는데 올해 9월에 153.7%(10억3천만원) 뛴 17억원(13층)에 거래됐다. 2017년 9월 GS건설이 분양한 서울 서초구 잠원동 ‘반포센트럴자이’ 전용 114.96㎡는 당시 19억1천만원에 분양됐는데 올해 9월 45억원(16층)에 팔려 분양가 대비 25억9천만원(135.6%) 올랐다. 이번 조사 단지 가운데 상승 금액으로는 가장 높다.
황한솔 경제만랩 리서치연구원은 “서울 새 아파트에 대한 수요는 많지만 공급이 원활하게 이뤄지지 못하면서 몸값이 고공행진하고 있는 분위기“라며 “획기적인 공급확대 대책이 필요해 보인다”고 말했다
최종훈 기자 cjhoon@hani.co.kr"
건설사 뇌물사건에 눈감은 국가철도공단…3년7개월째 행정처분 ‘없음’,2021-10-10 17:08,"국가철도공단 브로슈어 갈무리.
두산건설과 지에스(GS)건설의 수서-평택 간 고속철 공사 현장소장이 국가철도공단 직원에게 뇌물을 준 사건에 대해 대법원의 유죄 판결이 나온 지 3년7개월이나 지났지만 해당 건설사에 대한 지자체의 행정처분이 내려지지 않은 것으로 나타났다. 국가철도공단이 자료 보완을 요구하는 서울시 요청을 받고 1년 가까이 회신을 하지 않는 사이 두산건설은 1400억원대 공사를 수주한 것으로 드러났다.
10일 천준호 더불어민주당 의원실(국회 국토교통위원회)이 국가철도공단과 서울시로부터 제출받은 자료를 종합하면, 2016년 국무조정실 부패척결추진단 현장조사 및 수원지검 성남지청 수사를 통해 수서-평택 간 고속철 공사의 도급사인 두산건설(제2공구)과 지에스건설(제3-2공구)의 현장소장 등이 국가철도공단 직원에게 각각 2152만원, 1405만원 상당의 뇌물을 공여한 혐의가 드러나 기소됐다. 이 사건은 2018년 4월 대법원에서 유죄가 확정됐다. 건설산업기본법에 따르면 해당 건설업자가 등록한 지자체는 수수액이 1천만원 이상 5천만원 미만인 경우 영업정지 4개월이나 과징금 4억원의 행정처분을 내릴 수 있다.
하지만 철도공단의 늑장 대처로 인해 두산건설과 지에스건설은 대법 확정 판결 이후 3년7개월이 되도록 서울시로부터 아무런 행정처분을 받지 않았다. 실제 철도공단은 대법 확정 판결이 난 지 1년7개월이 지난 2019년 11월에서야 서울시에 건설산업기본법 위반사례를 통보했다. 철도공단의 위반 사례 통보 조처가 있어야 지자체의 행정처분 절차가 개시된다는 점을 고려하면 지연의 1차 원인이 공단에 있는 셈이다.
서울시는 지난해 청문 절차를 거치면서 건설사의 ‘불처분’ 주장에 대응하느라 1년을 소모했다. 서울시는 지에스건설 청문 쟁점과 관련해 지난해 9월 국토교통부에 질의를 했고 두 달 뒤 국토부는 “부정한 청탁이었는지 여부, 업체의 임원(대표자 등)이 해당 직원의 위반행위를 지시했거나 동의했는지 여부, 직원의 위반행위에 대해 주의감독 의무를 게을리했는지 여부 등을 종합적으로 고려해 판단할 사항”이라고 회신했다.
서울시는 회신을 받은 지난해 11월 국토부가 제시한 3가지 고려사항과 관련한 보완 자료를 철도공단에 요청했지만 1년이 가깝도록 공단으로부터 아무런 회신도 받지 못했다. 특히 철도공단이 행정처분에 필요한 보완 자료 제출을 뭉개고 있는 사이 두산건설은 공단으로부터 또다시 공사를 수주한 것으로 나타났다. 철도공단 발주 사업에 대한 두산건설 낙찰정보를 보면, 두산건설은 지난해 12월9일 사업비 1406억9090만원 규모의 인천발 케이티엑스(KTX) 직결사업 노반신설 기타공사를 낙찰받았다. 서울시가 철도공단에 보완 자료 회신을 요청하면서 못박았던 시한은 지난해 ‘12월7일’이었다. 행정처분에 필요한 자료 제출은 하지 않고 자료 제출 시한 이틀 뒤에 두산건설을 또다시 사업자로 선정한 것이다.
서울시 청문 자료와 국토부 회신 자료 등을 종합하면 건설사의 ‘불처분’ 주장은 법적으로 충분히 대응이 가능한 것으로 보인다. 두산건설 청문을 주재한 변호사는 의견서에서 “당사자 직원이 뇌물공여한 금액 중 형사처벌된 금액만 기준으로 보더라도 1223만원인데, 이 직원 개인 급여만으로 공여하였는지 여부에 대해 합리적 의심이 들고 상당한 기간(2014년 9월~2016년 7월) 동안 관리감독이 되지 아니한 점은 해당 건설사에 불리한 정황”이라고 밝혔다.
천준호 의원은 “국가철도공단이 의도적으로 늑장 대응을 하고 건설사 봐주기를 한 것은 아닌지 진상 규명이 필요하다”며 “영업정지나 과징금 등 행정 처분이 1년 내로 이뤄질 수 있도록 제도 개선에 나설 것”이라고 말했다.
진명선 기자 torani@hani.co.kr"
GS건설 2차전지 재활용 사업 본격화…포항에 리사이클링 공장 짓는다,2021-09-15 16:37,"15일 포항에서 열린 ‘리튬이온 배터리 리사이클링 사업’ 착공식에서 이강덕 포항시장(왼쪽 두번째), 허윤홍 GS건설 신사업부문 대표(왼쪽 세번째), 이철우 경북도지사(오른쪽 세번째)가 기념촬영을 하고 있다. GS건설 제공
지에스(GS)건설이 리튬이온 배터리(2차전지) 재활용 사업에 본격적으로 나섰다.
지에스건설은 15일 포항 영일만4 일반산업단지 배터리 리사이클링 규제자유특구에서 ‘리튬이온 배터리 리사이클링 공장’ 착공식을 진행했다고 밝혔다. 이날 착공식에는 허윤홍 지에스건설 신사업부문 대표와 이철우 경북도시사, 이강덕 포항시장 등 관계자 40여명이 참석했다.
이번 2차전지 재활용 사업은 지에스건설 자회사인 ‘에네르마’가 맡는다. 에네르마는 지에스건설이 지분 100%를 가진 자회사로, 지난해 10월 법인 설립 이후 관련 사업을 준비했다. 에네르마는 영일만4 일반산업단지에 연 2만톤을 처리할 수 있는 공장을 운영할 계획이다. 1차적으로 1500억원을 투입해 2023년부터 상업 생산에 들어가며, 단계적으로 투자를 확대할 예정이다. 공장에서는 사용 후 리튬이온 배터리를 수거한 뒤 물리적 파쇄, 블랙 파우더(배터리를 잘게 쪼갠 후 열처리한 리튬, 코발트, 니켈, 망간 등이 포함된 검은색 덩어리) 제조, 습식제련의 과정을 통해 리튬이온 배터리 소재 금속을 추출하는 과정으로 재활용 공정이 진행된다.
지에스건설은 회사가 축척한 플랜트 및 환경시설 설계와 시공경험을 바탕으로 시설 자동화 시스템을 구축해 국내 최고 수준의 경쟁력을 확보할 계획이라고 설명했다.
허윤홍 대표는 “배터리 리사이클링 사업을 친환경 신사업의 한 축으로 성장시켜 환경과 사회를 생각하는 이에스지(ESG) 선도기업으로서 지속가능경영에 나설 것”이라며 “일자리 창출과 지역경제 활성화에도 기여할 것”이라고 말했다.
최종훈 기자 cjhoon@hani.co.kr"
서울 강서에 첫 민간 브랜드 신혼희망타운 나왔다,2021-09-14 10:25,"‘강서 금호어울림 퍼스티어’ 조감도
금호건설과 지에스(GS)건설, 대지건설 컨소시엄은 서울 첫 민간 브랜드 신혼희망타운인 ‘강서 금호어울림 퍼스티어’의 본보기집을 14일 온라인으로 공개한다고 이날 밝혔다.
이 단지는 서울시 강서구 화곡동 980-19번지에 지상 최고 25층, 5개 동, 전용면적 49~59㎡ 523가구 규모로 지어진다. 이번에 공급되는 물량은 전용면적 49㎡A 147가구, 49㎡B 32가구, 55㎡A 38가구, 59㎡A 31가구, 59㎡B 100가구 등 총 348가구다.
청약 자격은 공고일부터 입주 때까지 무주택세대 구성원으로서 혼인기간이 7년 이내이거나 만 6살 이하 자녀를 둔 신혼부부, 1년 이내에 혼인사실을 증명할 수 있는 예비 신혼부부, 6살 이하 자녀를 둔 한부모 가정이다. 분양가상한제를 적용받아 주변 시세 대비 합리적인 가격에 공급되며, 신혼희망타운 전용 주택담보대출도 적용돼 초기에 분양가의 30% 정도만 부담하고 남은 대금은 입주 때 연 1.3% 저금리로 대출을 지원받을 수 있다.
아이의 성장에 맞춰 실내공간을 효율적으로 활용할 수 있도록 일부 벽체를 가변형으로 설계했으며 층간소음 저감 자재, 게스트 하우스, 계절창고, 무인택배 시스템 등이 적용됐다. 단지 내 국공립 어린이집, 공동육아실, 어린이식당, 키즈 도서관 등 보육시설 및 쿠킹 클래스를 포함한 다양한 커뮤니티 시설이 조성된다.
본보기집은 ‘강서 금호어울림 퍼스티어’ 누리집 홈페이지를 통해 온라인으로 공개하며, 구로구 경인로 110에 위치한 실제 견본주택은 청약 당첨자에 한해 관람할 수 있다. 청약은 한국토지주택공사(LH) 청약센터 홈페이지에서 9월 27~28일 이틀간 이뤄진다. 입주는 2023년 10월 예정이다.
최종훈 기자 cjhoon@hani.co.kr"
폐자원을 수소와 전기로…울산에 청정에너지 공장 만든다,2021-08-31 10:48,"플라즈마 기술을 적용한 청정에너지 생산 개념도. 울산시 제공
여러 공장과 생활현장에서 버려지는 폐자원을 원료로 해 수소와 전기를 생산하는 청정에너지 생산공장이 울산에 들어선다.
울산시는 31일 한국남부발전 등과 ‘플라즈마 기술 활용 업사이클링 청정에너지 생산사업’을 위한 업무협약을 체결하고, 관련 특수목적법인과 공장 설립에 나선다고 밝혔다. 이 사업은 여러 공장과 생활현장에서 사용하고 버려지는 폐자원을 원료로 사용(업사이클링)해 수소와 전기 등 청정에너지를 생산하는 사업이다. 이 과정에 기체를 고온으로 가열해 고체·액체·기체에 이은 제4의 물질상태 ‘플라즈마’를 발생시키는 기술을 활용한다.
플라즈마 기술은 앞으로 고리원전 1호기 원전해체 작업에도 활용해 원전해체 때 발생하는 방사성 폐기물을 획기적으로 감축시키는 친환경 원전해체 기술로도 발전하게 될 전망이다. 이에 울산시는 지난해 8월 산업통상자원부로부터 ‘원자력 및 원전해체 에너지산업융복합단지’로 지정받았다.
울산시와 한국남부발전은 협약에 따라 울산에 관련 사업 추진을 위한 특수목적법인을 설립하고 내년부터 생산공장을 착공해 2024년 12월 완공할 예정이다. 사업비는 1600억원이다.
생산공장이 가동되면 하루 70t의 폐자원을 처리해 16㎿급 고체산화물형 수소연료전지를 생산한다. 3만여 가구가 사용 가능한 전기를 생산하면서 수소의 생산과 저장이 가능하게 된다. 한국남부발전은 울산에서 이 사업을 성공시킨 뒤 전국적으로 사업을 넓혀 연료전지 발전 규모를 450~600㎿까지 끌어올릴 것을 목표로 하고 있다.
이 사업과 관련한 협약에는 울산시와 한국남부발전 외에 한국핵융합에너지연구원, 지에스(GS)건설, 에스케이(SK) 에코플랜트, 에스케이(SK)증권 등과 울산지역 기업인 대영, 삼영이엔지, 삼우 등도 함께 참여해 협력을 다짐했다.
송철호 울산시장은 “원전해체 에너지산업융복합단지 지정 뒤 관련 클러스터를 조성하고 있다. 원전해체 연관 산업인 플라즈마 산업을 확대해 세계적인 원전해체산업 생태계를 조성해 나갈 계획이다”고 밝혔다.
신동명 기자 tms13@hani.co.kr"
"허윤홍 GS건설 신사업부문 대표, 플라스틱 사용 줄이기 ‘고고 챌린지’ 동참",2021-08-26 10:31,"허윤홍 GS건설 대표가 25일 서울 그랑서울 본사에서 생활 속 플라스틱 사용을 줄이기 위한 구호가 담긴 모니터 옆에서 탈플라스틱 실천운동 ‘고고챌린지’에 동참하고 있다. GS건설 제공
지에스(GS)건설은 허윤홍 신사업부문 대표가 탈플라스틱 실천운동 ‘고고챌린지(Go Go challenge)’에 동참했다고 26일 밝혔다.
고고챌린지는 올해 1월부터 환경부가 생활 속 플라스틱 사용을 줄이기 위해 시작한 릴레이 캠페인이다. 지명을 받은 주자가 일상 생활 속에서 플라스틱과 일회용품 사용을 줄이기 위한 약속을 한 후 다음 참여자를 지명하는 방식으로 진행된다.
허 대표는 ‘일회용품 줄이고(Go), 지구환경 지키고(Go)’라는 실천 메시지를 제시했다. 허 대표는 “최근 코로나19로 인해 일회용품 사용이 늘어나고 있다”며 “일상의 작은 일부터 생활습관으로 이어지도록 의식적으로 실천하는 노력이 중요하다”고 말했다. 허 대표는 올해 4월 비영리 자연보호기관 ‘세계자연기금(WWF)’ 한국본부 이사로 선임돼 활동해오고 있으며, 지에스건설은 WWF가 주최하는 세계 최대 지구촌 전등 끄기 캠페인 ‘어스아워(Earth Hour)’에 동참해 왔다.
이건구 현대에이치티 대표의 릴레이 지목으로 이번 챌린지에 동참한 허윤홍 대표는 다음 챌린지 참여자로 오치훈 대한제강 사장을 지목했다.
최종훈 기자 cjhoon@hani.co.kr"
500대 기업 ‘외부 영입 CEO’ 관료 출신이 최다,2021-08-09 13:49,"게티이미지뱅크
국내 500대 대기업 ‘외부 영입’ 대표이사(CEO)들은 관료 출신이 가장 많은 것으로 나타났다.
9일 기업분석연구소 리더스인덱스가 국내 500대 기업 현직 대표이사 650명(7월 말 기준) 가운데 이력을 공개한 593명을 조사한 결과, 외부 영입 인사는 전체의 28.2%(167명)로 나타났다. 이 중 관료 출신은 27명으로 전체 외부 영입 시이오의 16.2%를 차지해 가장 많았다.
임병용 지에스(GS)건설 대표이사 부회장(검찰), 조석 현대일렉트릭앤에너지시스템 대표(지식경제부), 신명호 부영주택 대표(재정경제원), 최원진 롯데손해보험 대표(재정경제부), 고경모 유진투자증권 대표(재정경제부) 등이 대표적인 관료 출신 시이오로 꼽힌다.
전체 외부 영입 대표이사의 비중은 6년 전보다 5.3%포인트 증가했다. 리더스인덱스가 지난 2015년(7월 초 기준) 진행한 같은 조사에선 전체(525명)의 22.9%(120명)가 외부에서 영입된 시이오였다. 관료가 아닌 다른 기업에서 일하다 영입된 시이오들을 보면, 범삼성그룹 출신이 전체 외부 영입 대표이사의 13.8%(23명)를 차지했고, 금융권과 외국계 기업 출신도 각각 13.2%(22명)와 12.6%(21명)로 나타났다. 이어 범현대그룹 출신 6.6%(11명), 범엘지그룹 3.6%(6명) 등의 순이었다.
내부 승진을 통해 대표이사가 된 사례는 54.5%(323명)로 절반 이상을 유지했다. 반면, 총수 일가 출신으로 대표이사직에 오른 경우는 17.4%(103명)로 지난 2015년 24.0%(126명)에 견줘 6.6%포인트 감소했다. 전반적으로 대기업 내 전문경영인의 비중이 크게 늘어난 영향으로 풀이된다.
한편, 여성 대표이사는 2015년 1.0%(6명)에서 올해 2.0%(13명)으로 소폭 증가했다. 이 가운데 7명은 총수 일가이고, 전문경영인은 6명이다.
선담은 기자 sun@hani.co.kr"
염불보다 잿밥?…부동산 개발이익 노리고 쌍용차 인수 나섰나,2021-08-05 04:59,"쌍용차 평택 공장 정문. 쌍용자동차 제공
기업회생절차(옛 법정관리)가 진행 중인 쌍용자동차의 인수 후보군이 가려진 가운데, 쌍용차 공장이 있는 평택 부지가 새로운 변수로 떠올랐다. 아파트 단지 개발로 막대한 차익이 예상되는 만큼 일부 후보는 이를 노리고 인수전에 뛰어든 게 아니냐는 이야기도 나온다.
쌍용차는 4일 “인수의향서(LOI)를 제출한 9곳에 모두 예비 실사 자격을 부여해 이달 말까지 회사 실사 절차를 진행할 예정”이라고 밝혔다. 앞서 지난달 30일 마감한 쌍용차 매각 입찰에는 재계 서열 38위 삼라마이더스(SM)그룹과 에디슨모터스-키스톤프라이빗에쿼티(PE) 컨소시엄, 미국 카디널 원 모터스 등 모두 9곳이 의향서를 냈다.
인수 후보군들은 쌍용차 인수에 필요한 실제 자금 규모를 3천억∼4천억원 정도로 보고 있다. 회계법인이 평가한 쌍용차의 청산가치(보유 자산을 처분해 건질 수 있는 돈), 즉 인수 하한액은 9820억원인데, 직원 임금과 퇴직금 등 공익채권을 인수자가 떠안으면 실제 인수 자금은 절반 이하로 줄어든다는 의미다.
문제는 쌍용차 인수의 ‘진정성’에 대한 의구심이다. 인수 후보들은 저마다 쌍용차를 인수해 전기차 시장에 진출하겠다고 공언하지만, 정작 속내는 부동산 개발이익에 있지 않느냐는 우려가 가시지 않아서다.
실제로 평택시는 쌍용차 평택공장 부지(85만㎡)의 용도지역을 현재 공업지역에서 주거 및 상업지역으로 바꿔줄 계획이다. 쌍용차 회생을 돕겠다는 취지로 지난달 초 회사 쪽과 평택공장 이전과 기존 부지 개발을 위한 업무 협약도 맺었다.
쌍용차 평택공장 주변은 지에스(GS)건설·포스코건설·동문건설 등이 지은 아파트 1만 가구 이상이 들어선 주거밀집지역이다. 공장 바로 앞 ‘평택 지제역 동문 굿모닝힐 맘시티 1단지’ 아파트 전용면적 84㎡형 호가(부르는 값)는 현재 최고 6억원에 이른다.
이에 따라 공장 터에 대규모 아파트와 상가 등을 지으면 현재 9천억원대인 부동산 가치도 수조원대로 치솟을 것으로 예상된다. 평택시 관계자는 “쌍용차 평택공장에서 세계 최대 규모라는 삼성전자 반도체 공장까지 차로 10분 안에 갈 수 있는 데다, 평택시 인구도 최근 2년 만에 6만 명이나 늘어날 만큼 증가 속도가 빨라 개발 후 주택 수요 등이 적지 않을 것”이라고 전했다. 쌍용차 인수로 커다란 개발 이익을 얻을 수 있는 셈이다.
지난해 한진중공업 매각 추진 과정에서도 ‘먹튀’ 논란이 불거진 바 있다. 당시 인수전에는 SM그룹과 동부건설-사모펀드 컨소시엄 등이 참여했는데, 한진중공업 조선소가 있는 부산 지역에선 “인수 후보들이 조선업보다는 알짜 부동산인 영도조선소 개발에 관심을 둔 것”이라는 반발이 끊이지 않았다.
쌍용차 인수전의 다크호스로 떠오른 SM그룹은 경남기업, 동아건설산업, 삼환기업, 우방 등 그룹 산하에 다수의 건설사를 두고 있다. 하지만 우오현 SM그룹 회장은 <한겨레>와 한 통화에서 “기존 공장 부지에 아파트를 짓고 분양하기까진 최소 5∼10년이 걸릴 것”이라며 “개발 이익이 생기면 전기차 개발에 쓸 수 있겠지만 10년 뒤 집값이 어떨지 모르는데 그걸 보고 인수전을 뛴다는 건 어리석은 생각”이라고 반박했다. 다른 인수 후보들도 세간의 의구심을 적극 부인했다.
이와 관련해 정장선 평택시장은 전날 브리핑을 열고 “쌍용차의 공장 이전 비용 외에 발생하는 개발이익을 환원할 방안을 마련해야 한다”고 주장했다. 평택시 관계자는 “쌍용차 인수자가 새 공장 이전과 시설 투자 뒤 막대한 개발이익을 얻는다면 이는 평택공장 부지로 투기한 꼴밖에 안 된다”며 “쌍용차 쪽에 개발이익 환원 방안 등을 시민들에게 약속해 달라고 여러 번 얘기했으나 반응이 없어서 시장이 나선 것”이라고 했다.
박종오 기자 pjo2@hani.co.kr"
