title,date,article
서해 바다뷰 가능한 ‘인천 송도자이 더 스타’,2021.11.07 21:37,"['GS건설은 인천광역시 연수구 송도랜드마크시티 A17BL에 들어서는 ‘송도자이 더 스타’ 사이버 견본주택을 열고 분양을 시작한다고 밝혔다.', '송도자이 더 스타는 지하 2층~지상 44층, 9개 동, 전용면적 84~151㎡의 1533가구로 조성된다. 전용면적별 가구 수는 △84㎡ 1138가구 △99㎡ 335가구 △테라스형(전용 97~118㎡) 56가구 △펜트형(전용 133~151㎡) 4가구이다.', '가정에서 서해 바다를 볼 수 있는 ‘오션뷰’는 물론 송도 워터프런트 호수, 잭니클라우스GC 등의 조망이 가능하다. 일부 저층 가구는 테라스 특화 가구로 조성한다. 단지 중앙에 수경시설과 함께 고급 휴게공간인 ‘엘리시아가든’이 조성될 예정이다. 단지 주변에 송도 최대 규모인 약 4.2㎞ 길이의 송도랜드마크시티 수변공원이 조성될 예정이다.', '코스트코, 현대프리미엄아울렛, 트리플스트리트몰 등 상업시설이 주변에 있다. 입주는 2024년 12월 예정이다.']"
"GS건설, 2조7700억 규모 호주 도로공사 수주",2021.10.28 11:29,"['GS건설이 2조7700억원 규모의 도로공사 계약을 따내며 호주 시장에 첫 진출했다.', 'GS건설 컨소시엄은 28일 호주 노스이스트링크 민관합작투자(PPP)사업 입찰에 참여해 빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고 밝혔다.', 'GS건설의 계약 금액은 약 31억7526만 호주 달러(한화 약 2조7785억원) 규모다. 이 사업은 호주 3대 도시 중 하나인 멜버른시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로간 단절된 구간을 연결하는 사업이다. 민관합작투자사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업으로, 민간은 도로 등의 공공 인프라 투자와 건설·유지·보수 등을 맡되 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원을 해주는 방식이다.', '공사는 TBM터널 및 개착식 터널 등을 포함한 총 6.5㎞의 편도 3차로 병렬 터널과 이에 따른 환기시설, 주변 연결도로 시공을 위주로 진행된다. 사업주는 완공 후 25년 간 운영 및 유지관리업무를 수행할 예정이다. 공사가 완료되면 인근지역 교통 혼잡도 저감 및 일자리 창출을 통해 주변지역 경제 활성화에도 기여할 것으로 빅토리아 주정부는 기대하고 있다.', 'GS건설은 “선진 건설시장에서 한국 건설사의 기술력과 자금조달 능력을 인정 받은 좋은 사례”라며 “싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다”고 밝혔다.']"
"GS건설, 호주 첫 진출…2조8000억원 규모 도로공사 수주",2021.10.28 20:35,"['GS건설이 2조8000억원 규모의 도로공사 계약을 따내며 호주 시장에 첫 진출을 했다. GS건설 컨소시엄은 28일 호주 노스이스트링크 민관합작투자(PPP)사업 입찰에 참여해 빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고 밝혔다.', 'GS건설의 계약 금액은 약 31억7526만호주달러(약 2조7785억원) 규모다. 호주 3대 도시 중 하나인 멜버른시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로 간 단절된 구간을 연결하는 사업이다. 민관합작투자사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업으로, 민간은 도로 등의 공공 인프라 투자와 건설·유지·보수 등을 맡되 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원을 해주는 방식이다.', '공사는 TBM터널 및 개착식 터널 등을 포함한 총 6.5㎞의 편도 3차로 병렬 터널과 이에 따른 환기시설, 주변 연결도로 시공을 위주로 진행된다. 사업주는 완공 후 25년간 운영 및 유지관리업무를 수행할 예정이다. 공사가 완료되면 인근지역 교통 혼잡도 저감 및 일자리 창출을 통해 주변지역 경제 활성화에도 기여할 것으로 빅토리아 주정부는 기대하고 있다.', 'GS건설은 “선진 건설시장에서 한국 건설사의 기술력과 자금조달 능력을 인정받은 좋은 사례”라며 “싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다”고 밝혔다.']"
"GS건설, 양적 성장 넘어 이젠 친환경 경영…대표 ESG기업 발돋움",2021.10.27 19:47,"['GS건설이 친환경 녹색경영을 앞세워 그린뉴딜 시대의 리딩 컴퍼니로 떠오르고 있다. 양적 성장을 넘어 친환경 경영을 통한 질적 성장으로 글로벌 경쟁력을 높이는 동시에 국내 대표 지속가능한 기업으로 발돋움하고 있다.', 'GS건설은 지난해 한국기업지배구조원(KCGS)이 발표한 2020년 상장기업 ESG 평가등급에서 통합등급 A(우수)를 획득하며 대표적인 친환경 건설사로 인증받았다.', '이와 함께 지난해 다우존스 지속가능경영지수(DJSI) 아·태지수에 10년 연속 편입돼 국내외에서 ESG(환경·사회·지배구조) 경영의 모범·실천기업임을 증명했다.', '최근 국내외 투자시장에서 ESG 투자의 중요성은 커지는 추세다. 코로나19 팬데믹과 급격한 기후변화로 인해 ESG 세 가지 요소 가운데 환경 요소가 가장 주목받고 있다.', '특히 미국은 파리기후협약 재가입, 온실가스 배출 2050년까지 제로화, 친환경 등 미래산업 연구·개발에 3000억달러(약 334조원) 투자 등을 계획하며 ESG 시대가 본격화될 것임을 예고하고 있다.', 'GS건설이 ESG위원회를 신설해 ESG 경영을 본격화한다. ESG위원회는 GS건설의 지속가능 경영의 핵심 컨트롤타워 역할을 맡으며, 국내 대표 ESG 기업으로 도약하기 위한 전략 방향을 설정하게 된다. GS건설은 올해 초 서울 종로구 그랑서울 본사에서 이사회를 열고 기존 지속가능경영위원회를 ESG위원회로 확대 개편해 운영하기로 하고 ESG위원회 신설을 승인했다.', '앞서 GS건설은 지속가능 경영 부문 내에 ESG를 전담하는 팀을 신설해 이를 대비해 왔다. GS건설의 미래도 친환경에 맞춰져 있다. 지난해부터 적극적으로 신사업을 추진하고 있는데 특히 국내외에서 태양광 개발사업 외에도 배터리 재활용 사업, 모듈러 사업 등 친환경 관련 사업에도 광폭 행보를 보이고 있다.']"
지상 44층 서해 오션뷰 ‘송도자이 더 스타’,2021.10.24 21:41,"['GS건설은 인천광역시 연수구 송도국제도시 송도랜드마크시티 6공구A17BL에 들어서는 ‘송도자이 더 스타’를 10월 중 분양한다고 밝혔다.', '송도자이 더 스타는 지하 2층~지상 44층, 9개 동, 전용면적 84~151㎡ 총 1533가구로 조성된다. 전용면적별 가구수는 △84㎡ 1138가구 △99㎡ 335가구 △테라스형(전용 97~118㎡) 56가구 △펜트형(전용 133~151㎡) 4가구다.', '가구 내에서 서해 바다를 볼 수 있는 ‘오션뷰’를 갖췄고, 잭니클라우스GC·송도 워터프런트 호수 등 조망권이 우수하다. 특화된 외관을 위해 ‘커튼월룩’ 및 수직 몰딩 등을 적용했다.', '단지 주변에 송도 센트럴파크가 위치해있고, 인근에는 ‘랜드마크시티 수변공원’ 조성이 예정됐다.', '단지 옆으로 초등학교·중학교가 신설 예정이다. 아암대로, 인천대로를 통한 경인고속도로 접근이 가능하고, 2023년 착공 계획에 있는 GTX-B노선도 이용할 수 있다.', '입주는 2024년 12월이다.']"
서초구 '반포센트럴자이' 4년 만에 19억→45억으로,2021.10.13 14:21,"['약 4년전 분양된 서울 아파트 10개 단지의 실거래가격이 분양 당시 대비 평균 10억원 가량 오른 것으로 집계됐다.', '13일 부동산정보업체 경제만랩이 2017년 5~12월 중 분양된 서울 아파트 중 10개 단지의 실거래가를 조사한 결과 이들 아파트 가격은 분양가 대비 평균 128.3%(10억2000만원) 상승한 것으로 나타났다.', '조사 대상 중 분양가 상승이 가장 높은 단지는 GS건설이 2017년 9월 분양한 서울 서초구 잠원동 ‘반포센트럴자이(114.96㎡)’였다. 분양가격은 19억1000만원이었지만 지난 9월 45억원(16층)에 매매되며 분양가 대비 25억9000만원(135.6%) 올랐다. 2017년 5월 SK건설이 분양한 서울 영등포구 신길동 ‘보라매SK뷰(84.98㎡)’는 분양가(6억7000만원) 대비 153.7% 상승한 17억원(13층)에 지난달 거래됐다.', '2017년 11월 DL이앤씨와 롯데건설이 분양한 서울 은평구 응암동 ‘녹번e편한세상캐슬1차(59.97㎡)’는 분양가(4억4000만원) 대비 167%(7억3500만원) 상승한 11억7500만원에 지난달 매매됐다.']"
강원 동해시 효가동 ‘동해자이’ 670가구 이달 분양,2021.10.10 21:38,"['GS건설은 10월 중 강원도 동해시 효가동 산1번지 일대에서 ‘동해자이’를 분양한다고 밝혔다. 동해자이는 지하 3층 지상 최고 20층 9개 동, 전용면적 84~161㎡ 670가구 규모로 조성된다. 전용면적별로는 △84㎡ 600가구 △113㎡ 35가구 △115㎡ 31가구 △161㎡(펜트하우스) 4가구 등이다.', '차량으로 5분 거리에 KTX동해역과 동해IC가 위치해 있다. 강릉·속초·삼척 등 영동지역 주요 도시 이동이 편리하다. 동해 자유무역지역, 북평·송정 산업단지·LS산단 등 주요 업무지구와도 가깝다. 차량으로 5분 거리에 동해시립 북삼도서관, 행정복지센터, 농협 하나로마트, 동해 동인병원 등이 위치해 있다. 동해안의 절리 및 해안과 파도의 역동적인 풍경을 담은 외관 디자인을 적용했다. 사우나·피트니스·GX룸·스크린골프 등 커뮤니티 시설이 설치된다. 전용 84㎡A·전용113㎡ 타입은 전 가구가 4베이, 4룸 판상형 구조로 건립된다.']"
7년간 소방 공사 담합한 23개사에 과징금 104억,2021.10.04 12:58,"['7년 가까이 열 감지기 등 소방전기공사 입찰에서 담합해 온 23개 업체들이 100억원대 과징금을 물게 됐다.', '공정거래위원회는 4일 자동화재 탐지설비 등 소방전기공사 입찰에서 담합한 존슨콘트롤즈인터내셔널코리아 등 23개 업체를 적발했다고 밝혔다. 공정위는 이들 업체에 시정명령과 함께 회생절차를 밟고 있는 우창하이텍을 제외한 22개 사에 과징금 총 103억8100만원을 부과하기로 했다.', '공정위 조사 결과, GS건설 등 13개 건설회사의 협력업체였던 이들 회사는 2011년 5월부터 2017년 11월까지 건설사들이 발주한 총 304건의 소방전기공사 사업자 선정 입찰에서 담합했다.', '존슨콘트롤즈 등 23곳은 롯데건설의 롯데몰 광명점 등 16곳 공사에서 제비뽑기로, 현대프리미엄아울렛 송도점 등 4곳 공사에서는 사다리 타기로 낙찰 순번을 정했다. 이에 따라 304건 중 301건에서 이들이 애초 합의한 대로 낙찰사가 정해졌다. 총 계약금은 2623억9900만원 규모다.', '공정위는 “존슨콘트롤즈 등 23곳은 입찰을 따내기 위해 치열하게 경쟁하다가 생기는 저가 수주를 방지하기 위해 담합에 나선 것으로 파악됐다”면서 “앞으로도 원가 상승을 유발하는 입찰 담합 감시를 강화하고 이런 행위가 적발될 경우 엄정히 대응하겠다”고 말했다.']"
"특별근로감독 받은 10곳 중 4곳, 중대재해 ‘되풀이’",2021.10.04 15:07,"['중대재해가 발생해 고용노동부 특별근로감독을 받은 기업 10곳 중 4곳에서 중대재해가 되풀이 된 것으로 확인됐다. 특별감독이 진행중이거나 직후에 바로 중대재해가 발생하는 등 특별감독의 실효성이 의심되는 사례도 있었다.', '4일 노웅래 더불어민주당 의원실이 노동부로부터 제출받아 분석한 자료에 따르면 2017년부터 2020년까지 산업안전부문 특별근로감독을 받은 사업장은 총 84곳이고, 이 중 29곳에서 다시 중대재해가 발생했다. 특별감독을 받은 사업장 중 약 35%에서 재해가 되풀이 된 것이다.', '연도별로 살펴보면 2017년 특별감독을 받은 21곳 중 다시 중대재해가 발생한 곳은 10곳, 2018년은 18곳 중 8곳, 2019년은 19곳 중 7곳, 2020년은 26곳 중 4곳에서 중대재해가 재차 발생했다.', '특별감독 후 중대재해가 재발생한 회사 29곳 중 22곳은 감독이 이뤄진지 1년도 채 지나지 않아 사망사고가 발생했다. 포스코 포항제철소에서는 올해 3월 특별감독 기간 중에도 노동자가 사망했다. 현대중공업은 1년 내 3명의 사망사고가 발생해 지난해 5월11일부터 20일까지 특별감독을 받은 뒤 125건을 사법조치하고 1억5000만원의 과태료를 부여받았으나, 특별감독이 끝난 바로 다음 날 또 다시 중대재해가 발생하기도 했다. 현대건설과 GS건설은 2017년 특별감독을 받았지만, 중대재해가 계속되자 2019년 또 다시 특별감독을 받았다. 현대건설은 그러나 두 번째 특별감독 이후에도 9건의 중대재해가 추가로 발생했고, GS건설도 6건의 중대재해가 발생했다.', '사망자 현황으로 보면 대림산업은 특별감독 이후 총 15명이 사망하는 중대재해가 있었다. 현대건설, 대우건설, GS건설, 삼성물산 등도 특별감독 후 10명 이상의 노동자가 사망한 것으로 나타났다. 노동부가 집중 조사를 하는 상황에서도 사업장 안전 관리에 대한 경각심이 크지 않음을 보여주는 것으로, 일각에서는 특별감독의 효용이 크지 않다는 지적도 나온다.', '근로감독관은 크게 늘어난 반면, 중대재해 사망자의 감소폭은 크지 않은 것도 문제다. 노동부에 따르면 2016년 1694명이던 근로감독관 수는 올해 3122명으로 5년 동안 85% 증가했지만, 중대재해로 목숨을 잃은 이들은 2016년 887명에서 지난해 768명으로 불과 13% 밖에 감소하지 않았다.', '노웅래 의원은 “특별근로감독은 사실상 고용노동부가 기업을 관리 감독하는 최고 수준의 감독인데, 특별감독 중에도 노동자가 사망한다는 것은 납득할 수 없는 일”이라며 “노동부가 제대로 감독을 하지 않는 것이거나, 기업이 특별감독을 우습게 생각하는 것이거나 둘 중 하나라고 생각한다. 특별감독의 실효성을 국정감사에서 지적하겠다”고 밝혔다.']"
돈으로 산 '장애인 고용 의무',2021.09.29 16:56,"['국내 기업과 공공기관 등이 지난 5년(2016~2020년)동안 장애인 의무 고용 비율(공공 3.4%, 민간 3.1%)을 지키지 않고 낸 장애인고용부담금(이하 부담금)이 3조원을 넘는 것으로 나타났다.', '기업 중에선 삼성전자가 748억원으로 압도적인 1위였고, 5대 그룹(삼성·현대차·SK·LG·롯데) 중에서도 삼성이 계열사 11곳에서 1311억원을 내 가장 많았다. 현대차그룹은 핵심 계열사인 현대차·기아가 장애인 채용을 늘려 부담금을 내지 않았지만 다른 계열사들은 여전히 거액을 내고 있었다. SK그룹은 최근 들어 빠른 속도로 장애인 고용을 늘리는 모습이었고, 롯데그룹은 5대 그룹 중 가장 성적이 좋았다.', '경향신문은 29일 국회 환경노동위원회 소속 노웅래 더불어민주당 의원실을 통해 지난 5년간 부담금 총액과 매년 부담금 상위 100개 기업 자료를 받아 그룹·업종별로 분석했다.', '공공기관과 민간기업을 합친 전체 기업 부담금은 2016년 4574억원에서 지난해 7239억원으로 58% 증가했다. 장애인 고용의무 비율이 높아진 첫해인 2019년(공공 3.2%→3.4%, 민간 2.9%→3.1%)엔 부담금을 낸 기업이 8586개로 최다였고, 부담금도 7653억원으로 가장 많았다. 5년동안의 부담금을 합치면 3조1253억원에 이른다.', '■삼성 5년간 11개 계열사가 1131억원 내', '5대 그룹을 그룹별로 분석하니 삼성은 지난 5년동안 100위 안에 이름을 올려 본 기업이 11개로 가장 많았다. 삼성전자를 비롯해 삼성디스플레이, 삼성물산, 삼성SDI, 삼성생명공익재단이 매년 100위 안에 이름을 올렸다. 삼성전기와 삼성엔지니어링, 삼성전자 관계사인 삼성전자서비스, 삼성전자판매 등도 포함됐다. 제조업은 전 계열사를 아우르다시피 했다. 삼성그룹 계열사들이 5년동안 낸 부담금은 1311억원에 달했다. 이 시기는 이재용 삼성전자 부회장이 국정농단 사건으로 구속되면서 사회적 책임을 강조하던 시기였지만 삼성은 장애인 채용에 있어서는 눈에 띄는 개선을 이루지 못했다.', '■SK는 개선 중, 롯데가 최고', '현대차그룹은 주력 계열사인 완성차 업체 현대차와 기아가 장애인 고용에 신경을 쓰면서 5년동안 한 번도 부담금을 내지 않았다. 현대차는 3%대 초·중반, 기아는 3%대 중반의 장애인 고용률을 기록했다.', '하지만 아직 계열사에선 인식 개선이 부족했다. 현대모비스(86억원)와 현대엔지니어링(57억원), 현대건설(53억원) 등 5개 기업이 장애인을 고용하지 않고 돈으로 5년동안 246억원을 냈다.', 'SK그룹은 SK하이닉스를 필두로 ADT캡스, SK에코플랜트, SK텔레콤, SK(주), SK네트웍스 등 6개 기업이 5년동안 344억원을 냈다. 다만 최근 몇년동안 최태원 회장 주도로 사회적 책임을 강조하면서 장애인 채용이 크게 늘었다. 지난해엔 100위 안에 SK하이닉스와 ADT캡스만 남았다. SK하이닉스의 순위는 2016·2017년 삼성전자에 이은 2위(44억원·59억원)에서 지난해 86위(9억원)로 뚝 떨어졌다.', '삼성처럼 제조업이 많은 LG그룹은 LG전자 등 6개 회사가 5년동안 400억원을 부담했다. 그룹 자산 규모로는 4위인데 부담금 규모는 2위다. 주력사인 LG전자와 LG디스플레이, LG화학이 부담금 대부분을 차지했다.', '롯데그룹은 롯데건설과 롯데쇼핑만 각각 15억원, 10억원을 냈다. 적지는 않지만 5대 그룹 중에서는 현저하게 낮다. 롯데가 장애인 채용률을 지키려 가장 노력했다고 평가할 수 있다.', '■기업별 1위는 항상 삼성전자', '지난 5년간 삼성전자는 2위와 큰 격차를 보이며 기업별 부담금 1위를 차지했다. 지난해 214억원을 포함해 5년동안 총 748억원을 냈다. 웬만한 중견기업의 연간 영업이익을 넘어서는 수준이다. 장애인 고용률은 2016년 1.67%에서 지난해 1.55%로 되려 떨어졌다.', '2위는 5년동안 계속 5위 안에 머무른 대한항공(273억원)이었다. 3위는 학교법인으로는 가장 많이 부담한 연세대학교(216억원)였다. 4위는 KB국민은행(202억원), 5위는 근소한 차로 SK하이닉스(201억9100만원)였다.', '■쿠팡·홈플러스·이마트…유통 기업들 이래도 되나', '최근 몇년새 적자를 감수하면서 사업을 확장해 온 쿠팡은 2017년부터 10위권에 들기 시작해 매년 거액의 부담금을 내고 있다. 쿠팡주식회사와 자회사인 쿠팡풀필먼트서비스유한회사를 합쳐 5년간 장애인 고용 대신 135억원을 냈다.', '대형마트를 운영하는 홈플러스(163억원)와 이마트(82억)도 5년 내내 사회적 책임을 다하지 못했다. 대표적인 식품 기업인 농심(58억원)과 대상(53억원·청정원), 소비자들에게 착한 기업으로 인식돼 ‘갓뚜기’라 불리는 오뚜기(50억원)도 5년동안 100위를 벗어나지 못했다. 이밖에 코웨이(55억), 아성다이소(49억원), 코스트코코리아(34억원), 아워홈(40억원) 등 소비자에 가까운 렌탈·유통·식품 기업들이 부담금을 냈다.', '■모범이 돼야 할 공공기관·대학마저', '공공기관 중 매년 10위권에 드는 기관이 있다. 서울대병원이다. 지난 5년동안 124억원의 부담금을 냈다. 경북대병원도 5년 내내 이름을 올려 총 41억원을 냈다. 한국원자력의학원, 국방과학연구소, 산업은행, 중소기업은행 등이 리스트에 올랐다. 지난해 새로 100위 안에 올라온 공공기관은 한국생산기술연구원과 충남대병원, 한국전력이었다. 다수 공공기관들은 장애인 고용 의무를 지켰는지 심사하는 연말에만 단기로 장애인을 고용하는 꼼수를 쓴다는 의혹도 받고 있다.', '학생에게 민주시민의 책무를 가르치는 대학이 속한 학교법인들도 다수가 장애인 고용 의무를 돈으로 대신하는 모습을 보였다. 5년 내내 100위 안에 든 학교법인만 10개다. 연세대를 비롯해 일송학원(한림대·105억), 고려중앙학원(고려대·102억), 한양학원(한양대·81억), 인제학원(인제대·71억) 등이다. 1번 이상 100위 안에 든 학교법인을 꼽으면 18개나 된다. 여기엔 경희대·성균관대·이화여대·중앙대 등 유명 서울 사립대 다수가 해당된다. 이들은 정부에서 대학 운영지원금을 받아 상당액을 부담금으로 반납하는 셈이다.', '시중은행들은 높은 순위에 대부분 포진해 있다. 4위 KB국민은행에 이어 6위 하나은행(191억원), 8위 우리은행(180억원), 9위 신한은행(171억원) 등 10위 안에 은행만 4곳이 있다. 그밖에 13위 NH농협은행(117억), 36위 씨티은행(62억), 42위 SC은행(56억)으로 대부분 시중은행이 장애인 고용 의무를 방기하고 있었다.', '건설사들도 대림산업, 삼성물산, GS건설, 포스코건설, 대우건설, 현대건설, SK에코플랜트, 롯데건설 등 유명 건설사들이 대부분 포함됐다.', '■엔씨소프트, 김앤장 ‘니가 왜 거기서 나와’', '카카오, 네이버 등 IT·게임 기업들은 순위 안에 없었다. 엔씨소프트만 44억원을 부담했다. 한 업계 관계자는 “게임사 중에 규모가 크고 개발자 위주 기업이라 장애인을 채용하기 어려워서일 것”이라고 분석했다. 로펌 중에는 유일하게 김앤장법률사무소가 5년동안 부담금으로 44억원을 냈다. 회계법인 중엔 삼일·삼정·안진회계법인이 목록에 올랐다.', '노웅래 의원은 “기업들은 기업이 클수록 의무 고용 인원이 많다고 하소연하지만, 현대차나 SK하이닉스 같은 큰 회사도 최근 장애인 채용을 늘려가는 걸 보면 결국 기업 의지의 문제”라고 말했다. 노 의원은 “장애인의 자립을 위해선 일자리가 필수적”이라며 “공공성이 높은 공공기관과 대학, 은행은 더욱 책임감을 갖고 장애인을 채용할 필요가 있다”고 했다.']"
