title,date,article
“늘어난 골프인 잡아라” 골프시장 진출하는 전자업체들,2021.11.17 11:14,"['최근 골프 인구가 크게 늘어나면서 전자업체들이 잇따라 골프 시장에 진출하고 있다. 스크린골프에 고화질 화면을 구현하고, 스마트워치로 골프 코스를 분석하고, 골프채 그립에 단 센서로 스윙을 분석하는 등 각 업체의 강점을 활용해 골프 동호인들의 수요를 창출하는 방식이다.', 'LG전자는 17일 스크린골프 시뮬레이터 제작 전문기업 케이골프(KGOLF)와 업무협약을 맺고 스크린골프 시장 진출을 선언했다. 이번 협약은 LG전자의 빔프로젝터, 개인용컴퓨터(PC) 등 하드웨어 기술력과 케이골프의 골프 시뮬레이터 소프트웨어를 접목해 고객에게 실감 나는 스크린골프 환경을 제공하기 위한 것이다. LG전자는 “LG 프로빔을 설치하면 최대 300인치 크기에 4K UHD(3840x2160) 해상도, 촛불 5000개를 동시에 켰을 때의 화면 밝기로 실감나게 스크린골프를 즐길 수 있다”고 설명했다.', '양사는 해외에서도 신규 사업 기회를 함께 찾기로 했다. 양사는 최근 미국·호주 등 선진국에서도 스크린골프 인구가 늘고 있고, 단독주택의 여유 공간에 스크린골프 시설을 설치하는 추세도 있어 관련 시장이 커질 것으로 보고 있다.', '삼성전자는 지난 9월 ‘내 손 안의 캐디’ 콘셉트로 신작 스마트워치인 갤럭시워치4의 골프에디션을 선보였다. ‘스마트 캐디’ 애플리케이션(앱)을 탑재해 국내 골프 코스의 고저차 정보 등를 토대로 하는 거리 측정 기능을 제공한다. 실측과 위성지도, 항공사진 기반의 전 세계 4만여개 골프 코스 데이터와 그린 거리, 샷 이력 확인 등을 통해 코스 공략 가이드도 볼 수 있다. 이달 8일엔 프리미엄 골프 브랜드 ‘PXG’와 협업한 갤럭시워치4 PXG 골프에디션도 국내 한정판으로 내놓았다.', '카메라 업체들도 축소되는 카메라 시장에 대응해 사업 다각화 차원에서 골프 관련 고성능 제품들을 출시하고 있다. 니콘은 몇년 전부터 골프용 레이저 거리측정기 ‘쿨샷’을 내놓고 있다.', '올해 5월에도 신제품 4종을 선보였다. 카메라의 ‘손 떨림 보정’ 등 기능을 거리측정기에도 옮겨놓았다. 소니는 골프채 그립에 소형 센서를 달아 스윙을 해석해주는 ‘스마트골프’를 선보였다. 세계 최고 이미지센서 업체의 기술력을 활용해 원하는대로 스윙이 이뤄졌는지 미세 분석을 해주는 기기를 내놓은 것이다.', '한국레저산업연구소에 따르면 올해 국내 골프인구는 515만명으로 2017년(386만명)에 비해 33% 이상 증가했다. 그 중 20·30대도 115만명이나 되는 것으로 추산됐다. 한 전자업체 관계자는 “골프를 즐기는 분들의 구매력이 상대적으로 높기 때문에 새로운 제품도 잘 구매하는 편”이라며 “골프인들을 공략한 전자제품들은 앞으로 더 늘어날 것으로 보인다”고 말했다.']"
골프도 ‘템발’이니까,2021.11.17 20:50,"['최근 골프 인구가 크게 늘어나면서 전자업체들이 잇따라 골프 시장에 진출하고 있다. 스크린골프에 고화질 화면을 구현하고, 스마트워치로 골프 코스를 분석하고, 골프채 그립에 부착한 센서로 스윙을 분석하는 등 각 업체의 강점을 활용해 골프 동호인들의 수요를 창출하는 것이다.', 'LG전자는 17일 스크린골프 시뮬레이터 제작 전문기업 케이골프(KGOLF)와 업무협약을 맺고 스크린골프 시장 진출을 선언했다. 이번 협약은 LG전자의 빔프로젝터, 개인용 컴퓨터(PC) 등 하드웨어 기술력과 케이골프의 골프 시뮬레이터 소프트웨어를 접목해 고객에게 실감나는 스크린골프 환경을 제공하기 위해 이뤄졌다(사진). LG전자는 “LG 프로빔을 설치하면 최대 300인치 크기에 4K UHD(3840×2160) 해상도, 촛불 5000개를 동시에 켰을 때의 화면 밝기로 실감나게 스크린골프를 즐길 수 있다”고 설명했다.', '두 업체는 해외에서도 신규 사업 기회를 함께 찾기로 했다. 업계는 최근 미국·호주 등 선진국에서도 스크린골프 인구가 늘고 있고, 단독주택의 여유 공간에 스크린골프 시설을 설치하는 추세도 있어 관련 시장이 커질 것으로 보고 있다.', '삼성전자는 지난 9월 ‘내 손안의 캐디’ 콘셉트로 신작 스마트워치인 갤럭시워치4의 골프에디션을 선보였다. ‘스마트 캐디’ 애플리케이션(앱)을 탑재해 국내 골프 코스의 고저차 정보 등을 토대로 하는 거리 측정 기능을 제공한다. 실측과 위성지도, 항공사진 기반의 전 세계 4만여개 골프 코스 데이터와 그린 거리, 샷 이력 확인 등을 통해 코스 공략 가이드도 볼 수 있다. 이달 8일에는 골프 브랜드 ‘PXG’와 협업한 갤럭시워치4 PXG 골프에디션도 국내 한정판으로 내놓았다.', '카메라 업체들도 축소되는 카메라 시장에 대응해 사업 다각화 차원에서 골프 관련 고성능 제품들을 출시하고 있다. 니콘은 몇년 전부터 골프용 레이저 거리측정기 ‘쿨샷’을 내놓고 있다. 올해 5월에도 신제품 4종을 선보였다. 카메라의 ‘손떨림 보정’ 등 기능을 거리측정기에도 옮겨놓았다. 소니는 골프채 그립에 소형 센서를 달아 스윙을 해석해주는 ‘스마트골프’를 선보였다. 이미지센서 업체의 기술력을 활용해 원하는 대로 스윙이 이뤄졌는지를 미세 분석해준다.', '한국레저산업연구소에 따르면 올해 국내 골프 인구는 515만명으로 2017년 386만명에 비해 33% 이상 증가했다. 그중 20대와 30대도 115만명이나 되는 것으로 추산됐다. 한 전자업체 관계자는 “골프를 즐기는 소비자들의 구매력이 상대적으로 높기 때문에 새로운 제품도 잘 구매하는 편”이라며 “골프인들을 공략한 전자제품들은 앞으로 더 늘어날 것으로 보인다”고 말했다.']"
캠핑용 ‘룸앤TV’ 역주행…용도별로 세분화한 스크린이 뜬다,2021.11.15 15:20,"['LG전자가 지난해 1월 출시한 ‘룸앤TV’가 캠핑용으로 인기를 끌고 있다. 원래 1인 가구를 겨냥해 TV와 모니터를 겸하는 용도로 30만원대에 출시한 제품인데, 올해 들어 캠핑용 스크린으로 각광을 받으며 ‘역주행’ 인기를 누리고 있다. 출시 첫달 판매량이 월 1000대 정도였는데 최근엔 월 6000~7000대로 늘어났다. 적당한 27인치 크기에 하얀색으로 깔끔한 디자인, 무선 인터넷 연결, 별도의 조립이나 거치대 설치 없이 콘센트만 연결하면 되는 편리함으로 캠핑족들 사이에 입소문이 난 덕분이었다. 가을과 겨울엔 캠핑에서도 외부 활동보다 내부 활동이 많아지기 때문에 최근 들어 캠핑용 스크린의 인기도 더욱 높아진 것으로 보인다. 한 여행 블로거는 지난달 네이버 블로그에 “캠핑 와서 TV 보는 사람들 정말 부러웠는데, 이제 룸앤TV로 넷플릭스 드라마 보고, 집에선 서브TV로 쓰니 만족한다”고 적었다.', '요즘 룸앤TV처럼 용도와 기능에 맞게 세분화된 스크린이 인기를 끌고 있다. TV와 컴퓨터 모니터, 노트북, 스마트폰, 태블릿PC로 나뉘었던 기존 스크린 시장의 ‘틈새’를 노린 것이다. 유튜브나 온라인동영상서비스(OTT) 등 무선 인터넷만 연결하면 어디서나 콘텐츠를 볼 수 있고, 여러 기기에서 콘텐츠를 접속해 즐기는 ‘N스크린’이 가능해지면서 새로운 제품이 인기를 끌 공간이 넓어졌다.', '국내에선 LG전자가 이런 틈새 시장을 적극적으로 공략하고 있다. LG전자는 15일 서울 레스케이프 호텔 글램핑 스위트룸과 휘닉스 평창 글램핑존에 룸앤TV를 설치하고 방문객들이 체험할 수 있게 한다고 밝혔다. 예비 고객을 상대로 한 맞춤형 마케팅 전략이다.', 'LG전자가 지난달 내놓은 ‘원퀵’은 최근 늘어난 화상회의를 겨냥한 제품이다. 4K(3840x2160) UHD(초고화질) 해상도에 120도 광각, 최대 4배 디지털 줌으로 화상회의 참석자를 비춘다. 내장 마이크는 6m 떨어진 곳에서 나오는 목소리도 깨끗하게 전달한다. 터치 스크린으로 구동할 수 있고 화상회의에 필요한 기능을 대부분 내장하고 있어 컴퓨터와 대형 화면을 연결하고, 마이크·카메라를 설치하는 등의 번거로움을 없앴다.', '지난 8월 선보인 이동형 무선 TV ‘스탠바이미’는 집안 곳곳으로 이동하며 스크린을 즐기려는 수요를 공략했는데, 제품이 나오는대로 완판 행진이 이어지며 큰 성공을 거뒀다. 터치 스크린에다 거치대엔 바퀴를 달고, 내장형 배터리를 넣어 콘센츠 위치와 상관없이 어디든 쉽게 이동하며 볼 수 있게 한 점이 주효했다.', '기존에 용도·기능별로 세분화된 스크린의 대표주자는 게임용 모니터였다. 하지만 게임용 모니터는 이제 틈새를 노렸다고 할 수 없을 정도로 시장 규모가 커졌다. 시장조사업체 IDC는 세계 게임용 모니터 출하량이 지난해 1420만대에서 2025년 2640만대로 2배 가까이 성장할 것으로 전망하고 있다.']"
오늘의 부고 - 2021년 11월 15일,2021.11.14 21:35,"['■최남구씨 별세, 미란 제시카어학원장·미경 문화일보 광고국 과장·미선씨 부친상, 이관주 LG전자 책임·이규영 시스템글라스 대표·김범종 청호나이스 팀장 장인상=14일 오전 2시 김제우석병원. 발인 16일 오전 9시30분 (063)543-4484', '■김기순씨 별세, 홍석현 전북일보 부안취재부장 모친상=14일 부안 효장례식장. 발인 16일 낮 12시 (063)582-3939', '■김초옥씨 별세, 신진영 천안시 정책관 모친상=14일 오전 7시 대전 성심장례식장. 발인 16일 오전 7시 (042)522-4494', '■김성희씨 별세, 전진표 춘천시 부시장 장모상=13일 오전 11시 제천노인병원. 발인 15일 오전 9시 (043)640-6144', '■이효상씨 별세, 위연자씨 남편상, 이석현 현대해상화재보험 상무·석진 진흥기업 부장·화성씨(자영업) 부친상=13일 오후 8시5분 여수장례식장. 발인 15일 오전 9시 (061)688-4481']"
이번 CES에서도 한국 업체들 대거 혁신상 수상,2021.11.11 11:29,"['내년 1월 2년 만에 오프라인으로 열릴 예정인 세계 최대 전자·IT 박람회 ‘CES 2022’에서 한국 기업들이 혁신상을 대거 수상했다. 한국의 대표 전자기업인 삼성전자가 43개, LG전자가 24개의 혁신상을 받았고, 스타트업 29개사도 혁신상의 영예를 안았다.', '삼성전자는 10일(현지시간) 미국소비자기술협회(CTA)가 27개 부문에 걸쳐 발표한 CES 2022 혁신상에서 최고혁신상 4개를 포함해 총 43개의 혁신상을 수상했다고 11일 밝혔다.', '위·아래 패널의 색상을 자유자재로 선택하고 바꿀 수 있는 폴더블폰 ‘갤럭시Z플립3 비스포크’와 내년에 나올 TV 신제품, 새로운 라이프스타일 TV 플랫폼과 게이밍 모니터가 각각 최고혁신상을 받았다. 삼성전자는 TV 부문에서 11년 연속 최고혁신상의 영광을 안았다.', '모바일에서 올 하반기 나온 폴더블폰 갤럭시Z폴드3·플립3와 무선이어폰 갤럭시버즈2, 스마트워치 갤럭시워치4를 비롯해 360도 회전하는 화면에 S펜을 지원하는 노트북 갤럭시북프로360 등 다수 제품이 혁신상을 받았다. 생활가전에선 다양한 비스포크 가전과 스마트홈 관련 신제품이 수상했다. 인공지능(AI)과 사물인터넷(IoT)을 접목한 패밀리허브 냉장고는 2016년 첫 선을 보인 이래 7년 연속 수상이다. 반도체 부문에선 차세대 컴퓨터와 데이터센터에 탑재될 고용량 D램과 기존 SSD(솔리드스테이트드라이브)의 수명을 최대 3~4배 늘린 제품, 업계 최초 2억 화소의 모바일 이미지센서 등이 혁신상을 수상했다.', 'LG전자는 올레드(유기발광다이오드·OLED) TV에서 6개를 포함해 총 24개의 혁신상을 받았다. 올레드 TV는 2013년 출시 이후 10년동안 매년 수상을 하고 있다. 이밖에 자동으로 꽃·채소·허브 등 식물을 키워주는 식물생활가전 틔운(tiiun)과 고급 원형 얼음인 크래프트 아이스를 이용할 수 있는 오브제컬렉션 얼음정수기냉장고, 복잡한 화상회의 절차를 하나의 스크린에서 해결할 수 있는 원퀵, 반려동물을 키우는 가구를 위해 펫 모드를 추가한 퓨리케어 360도 공기청정기 펫 등이 수상의 영예를 안았다.', '전자사 외에도 다수의 기업이 혁신 기술을 인정받았다. SK이노베이션은 배터리에서 니켈 비중을 90%로 높이고도 안정성을 확보한 ‘NCM9 배터리’로 혁신상을 받았다. 아모레퍼시픽은 뇌파로 감정을 분석해 맞춤형 입욕제를 즉석에서 만들어주는 로봇과 날마다 사용자의 피부 상태를 측정해 맞춤 솔루션을 제공하는 플랫폼으로 2개의 혁신상을 받았다.', '스타트업 29개사의 기술도 혁신상을 수상했다. 사람의 지문과 비슷한 동물의 고유 비문(鼻文)을 활용해 반려동물 신원 확인을 하는 스마트폰 애플리케이션(앱)과 3차원 거리 센서를 활용해 자세 교정을 유도하는 스마트 모니터 거치대, 1회용 타투 기기 등이 포함됐다.', '이번 CES는 내년 1월5~8일 미국 라스베이거스 컨벤션센터에서 열린다. 코로나19 확산으로 인해 지난 CES가 온라인으로만 열린 터라 2년만에 개장한 행사장에 세계 다수 기업이 신기술을 선보일 것으로 예상된다. 이번 CES 기조연설은 한종희 삼성전자 영상디스플레이사업부장(사장)이 맡는다. 한 사장은 ‘공존의 시대’를 주제로 지속가능한 지구를 만드는데 기여하고자 하는 삼성전자의 노력을 소개할 예정이다.']"
삼성전자 43개·LG전자 24개 ‘혁신상’,2021.11.11 20:59,"['2년 만에 오프라인 개최 예정\nSK이노베이션·아모레퍼시픽\n스타트업 29개사도 이름 올려', '내년 1월 2년 만에 오프라인으로 열릴 예정인 세계 최대 전자·정보기술 박람회 ‘CES 2022’에서 한국 기업들이 혁신상을 대거 수상했다. 한국 대표 전자기업인 삼성전자가 43개, LG전자가 24개의 혁신상을 받았다. 스타트업 29개사도 포함됐다.', '삼성전자는 10일(현지시간) 미국소비자기술협회(CTA)가 27개 부문에 걸쳐 발표한 CES 2022 혁신상에서 최고혁신상 4개를 포함해 총 43개의 혁신상을 수상했다고 11일 밝혔다.', '위·아래 패널 색상을 바꿀 수 있는 폴더블폰 ‘갤럭시Z플립3 비스포크’와 내년에 나올 TV 신제품, 새로운 라이프스타일 TV 플랫폼과 게이밍 모니터가 각각 최고혁신상을 받았다. 삼성전자는 TV 부문에서 11년 연속 최고혁신상의 영광을 안았다.', '모바일에서는 폴더블폰 갤럭시Z폴드3·플립3와 무선이어폰 갤럭시버즈2, 스마트워치 갤럭시워치4를 비롯해 S펜을 지원하는 노트북 갤럭시북프로360 등 다수 제품이 혁신상을 받았다.', '생활가전에선 다양한 비스포크 가전과 스마트홈 관련 신제품이 수상했다. 패밀리허브 냉장고는 2016년 첫선을 보인 이래 7년 연속 수상을 이어갔다.', '반도체 부문에선 고용량 D램과 기존 SSD(솔리드스테이트드라이브)의 수명을 최대 3~4배 늘린 제품, 업계 최초 2억 화소 모바일 이미지센서 등이 혁신상을 받았다.', 'LG전자는 올레드(OLED·유기발광다이오드) TV에서 6개를 포함해 총 24개의 혁신상을 받았다. 올레드 TV는 2013년 출시 이후 10년 동안 매년 수상하고 있다. 이 밖에 자동으로 꽃·채소·허브 등 식물을 키워주는 식물생활가전 틔운(tiiun)과 복잡한 화상회의 절차를 하나의 스크린에서 해결할 수 있는 원퀵, 반려동물을 키우는 가구를 위해 펫 모드를 추가한 퓨리케어 360도 공기청정기 펫 등이 수상의 영예를 안았다.', '또 SK이노베이션은 배터리에서 니켈 비중을 90%로 높이고도 안정성을 확보한 ‘NCM9 배터리’로 혁신상을 받았다. 아모레퍼시픽은 날마다 사용자의 피부 상태를 측정해 맞춤 솔루션을 제공하는 플랫폼 등으로 2개의 혁신상을 받았다. 사람의 지문과 비슷한 동물의 고유 비문(鼻文)을 활용해 반려동물 신원 확인을 하는 스마트폰 애플리케이션(앱) 등 스타트업 29개사의 기술도 혁신상을 수상했다.']"
“그린 스크린도 옛말” 콘텐츠·메타버스 성장에 ‘이 산업’이 뜬다,2021.11.08 15:48,"['지난달 26일 오후 경기도 하남에 있는 브이에이코퍼레이션의 버추얼(가상) 3스튜디오는 카메라와 장비 더미 사이를 오가는 사람들로 붐볐다. 익숙한 얼굴도 보였다. 영화 <1987>, <암살>의 김우형 촬영감독이다. 버추얼 미디어 플랫폼 기업 브이에이코퍼레이션은 지난 7월 김 감독을 최고창조책임자(CCO)로 영입했다. 그는 이 곳에서 콘텐츠 기획 및 제작 작업 전반을 총괄한다.', '창고 같던 스튜디오의 문을 열자 다른 세상이 펼쳐졌다. 중앙에 비치된 대리석 계단을 중심으로 양 옆엔 청동 조각상이, 천장엔 샹들리에 조명이 달렸다. 이같은 유럽의 궁전 내부는 모두 대형 LED(발광다이오드) 화면을 통해 구현이 되고 있었다. 가로 53.5m, 세로 12m 크기의 LED 세트는 곡선을 이뤄 벽과 천장까지 모두 이어졌다. 브이에이코퍼레이션의 설명에 따르면 이 스튜디오는 아시아 최대 규모로 연면적 1088㎡(329평)에 이른다.', '스튜디오는 이곳만이 아니었다. 광고나 홈쇼핑 촬영이 이뤄지는 405㎡(122평) 넓이의 1스튜디오와 드라마와 소규모 영화 촬영이 이뤄지는 중간 크기(643㎡)의 2스튜디오에서도 ‘가상 공간’이 펼쳐졌다. 특히 LED가 바닥까지 설치된 2스튜디오는 인천국제공항 게이트를 실감나게 재현하고 있었다.', '버추얼 프로덕션은 가상환경의 실감형 콘텐츠 제작과 실시간 시각효과 기술 전반을 아우르는 기술을 뜻한다. 그린 스크린(크로마키 배경)을 사용하지 않고 특수 개발한 LED 스크린을 기반으로 콘텐츠를 촬영하는 것이 특징이다. 컴퓨터그래픽(CG)과 3D 기술 기반의 시각특수효과(VFX)로 작업한 결과물을 촬영 현장에 실시간으로 반영할 수 있다는 점에서 기존 그린 스크린 촬영 대비 10~20%의 비용 절감이 가능하다. 디즈니플러스 대표 오리지널 콘텐츠 <더 만달로리안>을 비롯해 넷플릭스 <미드나잇스카이>, HBO의 <웨스트월드> 같은 SF 장르에 활용됐다.', '국내 제작사들은 앞다퉈 버추얼 프로덕션 스튜디오를 구축하고 있다. 글로벌 온라인동영상서비스(OTT) 기업들의 국내 진출로 콘텐츠 공급기지로서 한국의 역할이 커지고, 메타버스(가상세계) 산업이 급성장하면서 버추얼 프로덕션 산업을 선점하기 위한 경쟁이 시작된 것이다. 문화체육관광부는 국내 실감형 콘텐츠 시장 규모가 2020년 2조8000억원에서 2022년 11조7000억원으로 5배 가량 커질 것으로 전망했다.', '지난 6월 하남 스튜디오를 연 브이에이코퍼레이션은 LG전자와 손잡고 내년까지 서울 근교에 총 면적 약 2만9000평(약 9만5868㎡) 규모의 버추얼 프로덕션 멀티스튜디오를 구축한다는 계획이다. SK텔레콤은 지난 6월 버추얼 프로덕션 전문 스튜디오 비브스튜디오스와 지분 투자 계약을 했다. 넷플릭스 오리지널 <킹덤> 시리즈의 특수효과를 맡았던 덱스터 스튜디오는 약 40억원을 투자해 연내 완공을 목표로 경기 파주 일대에 가상 스튜디오를 짓고 있다. CJ ENM은 삼성전자의 디스플레이 기술을 이용해 파주에 13동, 21만2883㎡ 규모로 들어설 콘텐츠 스튜디오 중 1개 동을 가상 스튜디오로 제작한다.', '콘텐츠 제작 환경이 현실에서 가상으로 옮겨가면서 가상세계 공간을 설계하는 버추얼 공간 디자이너, 아바타들이 착용하는 가상 의류를 제작하는 버추얼 패션 디자이너 등 새로운 직업군도 등장했다. 가상 공간에서의 콘텐츠 기획·제작 전반을 담당하는 버추얼 프로젝트 매니저도 그 중 하나다. 버추얼 프로덕션 제작 방식이 자리잡은 할리우드의 대표 제작사인 ‘루카스 필름’, ‘스캔라인VFX’ 등에서는 관련 직군 채용이 활발히 이뤄지고 있다.', '브이에이코퍼레이션 스튜디오의 안현준 버추얼 프로젝트 매니저는 “촬영 전까지 제작사나 고객이 원하는대로 가상공간을 기획·제작해 완성하는 전반적인 일을 총괄하고 있다”며 “오프라인이 아닌 가상 공간에 실제 장소의 모습을 그대로 구현한 3D 배경을 만들어내는 것이 우리의 일”이라고 말했다.', '안 매니저는 “배우들 역시 그린 스크린이 아닌 실제 장소의 모습을 그대로 구현한 3D 배경에서 연기에 더 몰입할 수 있다고 말한다”며 “촬영 즉시 원하는 결과물을 바로 볼 수 있다는 데 제작사들의 만족도가 크다”고 말했다. 그는 “한국의 버추얼 프로덕션 기술·인프라는 할리우드와 큰 차이가 없다”며 “무성 영화에서 유성 영화로 전환된 시기에 빗댈 만큼 콘텐츠 제작산업에 패러다임 전환이 일어나고 있다”고 덧붙였다.']"
메타버스의 무대…‘버추얼’이 뜬다,2021.11.08 21:38,"['실감형 콘텐츠 시장 급성장 따라\n그린 스크린서 LED 스크린으로\n제작사들 ‘버추얼 스튜디오’ 경쟁\n‘아시아 최대’ 브이에이코퍼레이션\nLG와 손잡고 내년 추가 구축 계획', '지난달 26일 오후 경기 하남시에 있는 브이에이코퍼레이션의 버추얼(가상) 3스튜디오는 카메라와 장비 더미 사이를 오가는 사람들로 붐볐다. 익숙한 얼굴도 보였다. 영화 <1987> <암살>의 김우형 촬영감독이다. 버추얼 미디어 플랫폼기업 브이에이코퍼레이션은 지난 7월 김 감독을 최고창조책임자(CCO)로 영입했다. 그는 이곳에서 콘텐츠 기획 및 제작 작업 전반을 총괄한다.', '창고 같던 스튜디오의 문을 열자 다른 세상이 펼쳐졌다. 중앙에 비치된 대리석 계단을 중심으로 양옆엔 청동 조각상이, 천장엔 샹들리에 조명이 달렸다. 유럽의 궁전 내부처럼 장식된 공간은 모두 대형 발광다이오드(LED) 화면을 통해 구현되고 있었다. 가로 53.5m, 세로 12m 크기의 LED 세트는 곡선을 이뤄 벽과 천장까지 모두 이어졌다. 브이에이코퍼레이션의 설명에 따르면 이 스튜디오는 아시아 최대 규모로 연면적 1088㎡(329평)에 이른다.', '스튜디오는 이곳만이 아니었다. 광고나 홈쇼핑을 촬영하는 405㎡(122평) 넓이의 1스튜디오와 드라마와 소규모 영화 촬영이 이뤄지는 중간 크기(643㎡)의 2스튜디오에서도 ‘가상공간’이 펼쳐졌다. 특히 LED가 바닥까지 설치된 2스튜디오는 인천국제공항 게이트를 실감나게 재현하고 있었다.', '버추얼 프로덕션은 가상환경의 실감형 콘텐츠 제작과 실시간 시각효과 기술 전반을 아우르는 기술을 뜻한다. 그린 스크린(크로마키 배경)을 사용하지 않고 특수 개발한 LED 스크린을 기반으로 콘텐츠를 촬영하는 것이 특징이다. 컴퓨터그래픽(CG)과 3D 기술 기반의 시각특수효과(VFX)로 작업한 결과물을 촬영 현장에 실시간으로 반영할 수 있다는 점에서 기존 그린 스크린 촬영 대비 10~20%의 비용 절감이 가능하다. 디즈니플러스 대표 오리지널 콘텐츠 <더 만달로리안>을 비롯해 넷플릭스 <미드나잇스카이>, HBO의 <웨스트월드> 같은 SF 장르에 활용됐다.', '국내 제작사들은 앞다퉈 버추얼 프로덕션 스튜디오를 구축하고 있다. 글로벌 온라인동영상서비스(OTT) 기업들의 국내 진출로 콘텐츠 공급기지로서 한국의 역할이 커지고, 메타버스(가상세계) 산업이 급성장하면서 버추얼 프로덕션 산업을 선점하기 위한 경쟁이 시작된 것이다. 문화체육관광부는 국내 실감형 콘텐츠 시장 규모가 2020년 2조8000억원에서 2022년 11조7000억원으로 5배가량 커질 것으로 전망했다.', '지난 6월 하남 스튜디오를 연 브이에이코퍼레이션은 LG전자와 손잡고 내년까지 서울 근교에 총 면적 약 9만5868㎡(약 2만9000평) 규모의 버추얼 프로덕션 멀티스튜디오를 구축할 계획이다. SK텔레콤은 지난 6월 버추얼 프로덕션 전문 스튜디오 비브스튜디오스와 지분 투자 계약을 했다. 넷플릭스 오리지널 <킹덤> 시리즈의 특수효과를 맡았던 덱스터 스튜디오는 약 40억원을 투자해 연내 완공을 목표로 경기 파주시 일대에 가상 스튜디오를 짓고 있다. CJ ENM은 삼성전자의 디스플레이 기술을 이용해 파주에 13동, 21만2883㎡ 규모로 들어설 콘텐츠 스튜디오 중 1개 동을 가상 스튜디오로 제작한다.', '콘텐츠 제작 환경이 현실에서 가상으로 옮겨가면서 가상세계 공간을 설계하는 버추얼 공간 디자이너, 아바타들이 착용하는 가상 의류를 제작하는 버추얼 패션 디자이너 등 새로운 직업군도 등장했다. 가상공간에서의 콘텐츠 기획·제작 전반을 담당하는 버추얼 프로젝트 매니저도 그중 하나다. 버추얼 프로덕션 제작 방식이 자리 잡은 할리우드의 대표 제작사인 ‘루카스 필름’ ‘스캔라인VFX’ 등에서는 관련 직군 채용이 활발히 이뤄지고 있다.', '브이에이코퍼레이션 스튜디오의 안현준 버추얼 프로젝트 매니저는 “촬영 전까지 제작사나 고객이 원하는 대로 가상공간을 기획·제작해 완성하는 전반적인 일을 총괄하고 있다”면서 “오프라인이 아닌 가상공간에 실제 장소의 모습을 그대로 구현한 3D 배경을 만들어내는 것이 우리의 일”이라고 말했다.']"
"LG 올레드 TV, 14개국 소비자 매체 평가서 1위 휩쓸었다",2021.11.07 10:16,"['LG전자는 올레드(OLED·유기발광다이오드) TV가 세계 주요 시장의 소비자 매체로부터 잇따라 최고의 TV로 선정됐다고 7일 밝혔다.', 'LG 올레드 TV는 14개국 소비자 매체의 TV 성능 평가에서 모두 1위를 차지했다. 특히 올해 선보인 차세대 올레드 TV ‘LG 올레드 에보’가 유럽 7개국 소비자 매체에서 모두 최고 점수를 받으며 차별화된 성능을 인정받았다고 회사는 설명했다.', 'LG 올레드 에보(모델명 65G1, 55G1)는 프랑스 소비자 매체 ‘크슈아지르’가 264개 TV 제품을 대상으로 진행한 평가에서 16.2점으로 최고점을 받았다. 이 매체는 “LCD(액정표시장치) TV에서는 볼 수 없는 명암비로 놀랍도록 세밀한 이미지를 구현한다”고 평했다. 올레드 에보를 포함한 LG 올레드 TV 9개 제품이 크슈아지르 평가에서 상위권을 차지했다.', '소비자 매체의 평가는 매체가 제조사로부터 평가용 제품을 받지 않고 시중에 판매되는 제품을 직접 구매해 성능을 비교하기 때문에 신뢰도가 높은 편이라고 LG전자는 밝혔다.', 'LG 올레드 TV는 미국, 호주, 영국, 독일, 이탈리아, 네덜란드, 스웨덴, 포르투갈, 스페인, 체코, 벨기에, 핀란드, 덴마크의 소비자 매체가 실시한 TV 성능 평가에서도 모두 최고 점수를 받았다.', '남호준 LG전자 HE연구소장(전무)은 “한층 진화한 LG 올레드 TV의 차별화된 성능과 고객 신뢰를 기반으로 프리미엄 TV 시장에서 리더십을 더욱 공고히 하겠다”고 말했다.']"
"LG전자 올레드TV, 14개국서 “1등 제품”",2021.11.07 21:33,"['LG전자는 자사 올레드(OLED·유기발광다이오드) TV가 세계 주요 시장 다수의 매체로부터 최고의 TV로 선정됐다고 7일 밝혔다.', '올레드 TV는 14개국 소비자 매체의 TV 성능 평가에서 모두 1위를 차지했다. 특히 올해 선보인 차세대 올레드 TV ‘LG 올레드 에보’가 유럽 7개국 소비자 매체에서 모두 최고 점수를 받으며 성능을 인정받았다고 회사는 설명했다.', 'LG 올레드 에보(모델명 65G1, 55G1)는 프랑스 소비자 매체 ‘크슈아지르’가 264개 TV 제품을 대상으로 진행한 평가에서 16.2점으로 최고점을 받았다. 이 매체는 “LCD(액정표시장치) TV에서는 볼 수 없는 명암비로 놀랍도록 세밀한 이미지를 구현한다”고 평했다. 올레드 에보를 포함한 LG 올레드 TV 9개 제품이 크슈아지르 평가에서 상위권을 차지했다.', '소비자 매체의 평가는 매체가 제조사로부터 평가용 제품을 받지 않고 시중에 판매되는 제품을 직접 구매해 성능을 비교하기 때문에 신뢰도가 높은 편이라고 LG전자는 밝혔다. 올레드 TV는 미국, 호주, 영국, 독일, 이탈리아, 네덜란드, 스웨덴, 포르투갈, 스페인, 체코, 벨기에, 핀란드, 덴마크의 소비자 매체가 실시한 TV 성능 평가에서도 모두 최고 평가를 받았다.', '남호준 LG전자 HE연구소장(전무)은 “한층 진화한 LG 올레드 TV의 차별화된 성능과 고객 신뢰를 기반으로 프리미엄 TV 시장에서 리더십을 더욱 공고히 하겠다”고 말했다.']"
