title,date,article
마음으로 찍는 백반기행,2021.11.19 03:00,"['오랜만에 광주 갈 일이 있었다. 지역에 가는 일은 신난다. 꼽아두고 있던 밥집을 가볼 수 있는 까닭이다. 한 만화가가 전국의 밥집을 주유하는 TV프로그램을 찍고 있는데, 나는 마음으로 찍는 백반기행을 하고 있다. 매일 담그는 김치를 주는 익산의 황등반점도 가보고 싶고 전주의 미가옥에 가서 콩나물국밥에 온 내장을 풀어버리고 싶고, 부산의 옛도심 중앙동에 있는 섬진강재첩국에서 ‘재칫국’(그들의 호칭이다)을 먹고 싶다.', '광주는, 허다한 밥집의 전쟁터인 이 호남의 도시는, 어디 한 군데 골라 가기가 미안하다. 광주의 밥집은 어지간하면 한 가락을 하기 때문이다. 그런 집들 중에도 빼놓지 못하는 곳이 여수왕대포다. 번듯한 건 하나도 없다. 인터넷에도 나오지 않는, 길을 찾아가려면 그 옆 가게 주소를 찍어서 가야 하는, 금남로 가까운 양동시장의 닭전 구석에 있는 기묘한 밥집인 거다. 이곳을 찾는 손님들은 밥을 먹을 때 술을 마시며, 술을 밥 삼아 마시며, 술을 마실 때 밥을 안주로 한다. 막걸리 왕대포는 그중에서도 가장 높은 격에 올라 있어서, 짠지 한 쪽에 마시더라도 이미 그것이 술이면서 밥인 형식이 된다. 코로나19로 오래 가지 못하다가 광주에 간 김에 아짐에게 전화를 넣었더니 반색을 한다.', '“서울 손님이오? 아, 머달라꼬 온다 그라요. 먹을 것도 없는데.”', '구불구불, 양동시장을 구경하고 가려는데 문득 익산 신귀백 형의 당부가 기억난다. “전라도에서는 고기 한 칼 끊어가는 게 예의요.”', '양동식육점에서 한우 암소 양지머리 한 덩어리를 쑥 잘랐다. 도축 후 예냉하지 않은 따뜻한 앞사태 육회거리를 살 수 있는, 광주다운 시장의 정육점. 그 고기가 식기 전에 얼른 달려서 아짐을 보았다. 어디 노조 아저씨들 예약을 받았노라고, 나는 횡재한 것이다. 따로 메뉴도 없는 이 집에서 잘 얻어먹을 수 있는 건 대폿집 좋아하는 한 팀이 있어서 뭔가 아짐이 안줏거리를 주무르고 있을 때인 것이다. 뜨끈한 계란말이에 갓 삶은 앞다리 수육과 생굴에 묵은 김치를 먹었다. 갈치값이 하늘을 찌를 때도 값을 올려 받지 않는 먹갈치 구이도 먹었다. 기차시간을 맞춰 나오려는데 성의로 드린 한 칼 고기값이라며 기어이 묵은지를 내민다.', '“나가 줄 것이 김치밖에 더 있간디. 미안해서 그래, 고마워서.” 이 아짐의 집에 갈 때는 사실 큰맘을 먹어야 한다. 헤어질 때 눈물바람이시기 때문이다. “은제 또 보나, 은제. 나 장사 잘하고 있을탱게 또 오소, 서울 양반.”', '나도 괜히 울컥하는 게 있어서 괜히 옆 튀밥집에서 일없이 강냉이를 사서 씹으며 돌아섰다. 밥집의 미래는 아직 있는 듯도 하고 없는 듯도 하다. 그래도 아짐의 왕대포는 사라질 것이다. 누가 이것을 물려받겠는가. 아참, 동네 노인들이 배고파 찾는 집이라 오전이나 이른 점심에는 국수를 판다. 3000원인지, 4000원인지. 물론 담근 묵은지를 푸짐하게 낸다.']"
위드 코로나 시대와 공간환경,2021.11.19 03:00,"['우리는 환경문제 하면 폐기물, 에너지, 오염, 기후변화, 자연환경 훼손 등을 떠올린다. 그런데 우리가 잘 인식하지 못하지만 이들 환경문제의 배경에 공간환경이 있다. 토지 및 건물과 같은 공간을 효율적으로 이용하게 되면 자연환경 훼손과 에너지 소비를 줄여 환경을 보전할 수 있다. 신도시를 건설하지 않으면 신도시 건설로 인해 사라지게 되는 산과 농경지가 보전된다. 또 신도시 운영으로 소비되는 에너지와 교통문제도 해결할 수 있다. 신도시를 건설하면 구도심은 쇠락하고 다양한 도시문제가 발생한다. 이런 효과와 문제점이 있음에도 불구하고 기성도시를 살기 좋은 곳으로 바꾸기보다는 신도시 건설이 선호된다. 기존 도시를 개선하기 위해서는 많은 주민과 이해관계자들의 협의가 필요하고 오랜 시간이 소요되기 때문이다.', '우리는 그동안 신도시 건설을 줄이고, 기존 도시를 활성화할 수 있는 다양한 정책을 추진해왔다. 도시재생 사업이 대표적이다. 또한 공유 사무실, 공유 회의실 등 공간을 효율적으로 사용하기 위한 대안을 고민해왔다. 그 결과 서울역이나 대전역 등 역세권에 공유 회의실과 공유 사무실이 들어섰다. 또한 커피숍들도 부분적으로 공유공간의 기능을 해왔다. 공유공간은 공간이 부족한 도시에서 공간을 쉽게 확보할 수 있는 장점 외에도 공간 유지에 필요한 냉난방 에너지와 관리비, 임대료 등을 절약할 수 있는 효과가 있다. 하지만 이와 같은 효과에도 불구하고 공유공간 이용이 활성화되지 못했다. 오히려 공간 이용의 효율성을 추구하기보다는 자주 이용되지 않는 지방자치단체 의회 건물 등이 계속 건축되어 빈축을 사는 경우도 많았다. 우리보다 지방자치제를 먼저 시행한 독일 등 유럽에서는 지방의회가 의사당보다 지역학교 강당을 활용하는 경우가 많다. 유럽 지방의회의 공간 활용 방법은 우리에게 시사해주는 바가 크다.', '그런데 이와 같은 공간 인식이 코로나19로 인해 빠르게 변화하였다. 코로나로 재택근무와 재택학습이 활성화되면서 효율적인 공간 활용에 대한 인식이 바뀌기 시작했다. 멀리 있는 크고 화려한 건물보다는 생활권 주변에 있는 편리한 공간에 대한 관심이 늘어났다. 더욱이 인터넷 등을 이용한 원격 회의와 강의가 활성화되면서 비대면 모임에 대한 새로운 세계를 경험하였다. 그 결과 통신이 원활하다면 큰 공간보다는 작은 공간, 멀리 있는 공간보다는 생활권에 있는 공간, 화려하고 웅장한 공간보다는 효율성과 합리성이 강조되는 공간의 중요성이 부각되었다.', '이런 경험을 바탕으로 위드 코로나 시대에는 비대면과 대면이 조화를 이루는 효율적인 공간을 운영하는 것이 필요하다. 이런 공간 활용은 비대면의 문제점을 극복하면서 대면의 효율성을 높일 수 있다. 예를 들어 한꺼번에 20명이 모여 회의를 하는 것보다 5명이 4개 장소에 모여 대면과 비대면을 겸한 회의를 할 경우 비대면의 편리함과 대면의 장점을 함께 살릴 수 있다. 코로나는 우리에게 많은 불편과 아픔을 주었지만 공간환경에 대해 오랫동안 시도했지만 적응하지 못한 여러 가지 방법에 적응하는 기회를 제공하였다. 이제 코로나를 통해 억지로 접했던 공간환경 경험을 기후변화와 환경문제 해결을 위해 새롭게 발전시킬 수 있는 지혜가 필요하다.']"
니는 내맹쿠로 살지 마래이,2021.11.19 03:00,"['지난번 칼럼 ‘여성 삼대’에서 나는 물었다. “온 사회가 지금 같은 ‘정상가족’으로는 살 수 없다고 아우성치는데, 정작 그 ‘문제의 집’을 해부하는 사회학자의 글은 왜 세상에 나올 수 없는가?” 글을 보고 몇몇 출판사에서 연락했다. 출판을 검토하고 싶으니 글을 보내 달라고 했다. 나는 장르도 ‘사회학 소설’이라 낯선 데다가 내용도 할머니-어머니-딸의 ‘연민의 공동체’를 해부하는 것이라 껄끄러울 거라고 말했다. 그런데도 강한 의지를 내비쳤다. 혹시 하는 마음에 글을 보냈다. 2~3주나 흘렀을까. 짧은 편지가 왔다. 출판사로서 감당하기 힘들다고 했다. ‘그러면 그렇지. 다 똑같지. 무엇이 다르겠어. 사회학자가 애초에 소설을 쓴 거부터 잘못이지. 논문을 썼으면 벌써 나와도 한참 전에 나왔을 것을. 쯧쯧.’', '한탄 비슷한 자책을 하다가 문뜩 왜 내가 논문이 아닌 소설을 쓰기로 마음먹었나 되새겨 보았다. 2005년 가을 부푼 꿈을 안고 대구로 이사를 왔다. 2년 반의 번잡한 서울 강사 생활에 몸과 마음이 지칠 대로 지칠 무렵이었다. 면접을 보기 위해 처음 대구를 방문한 날, 교정에 들어서는데 단박에 홀려버렸다. ‘맞아. 바로 이거야. 내가 왜 서울에서 아등바등 살아야 하나. 이렇게 아름다운 캠퍼스를 즐기면서 학생들을 가르치며 행복하게 살아야지.’ 들뜬 마음으로 대구에 온 후, 서울에서 하듯 똑같이 학생을 가르쳤다. 사회학책을 자기 언어로 요약하고, 의미 있는 질문을 하라고 요구했다. 남의 글을 통째로 베껴오는가 하면 어처구니없는 질문들을 가져왔다. 아직 사회학을 잘 몰라서 그러려니 하고 더욱 재촉했다.', '그렇게 십 년 이상을 가르쳤다. 그런데 뭐라고 딱 말하기 어려운 이상한 태도가 학생들 사이에 널리 퍼져 있다는 것을 느꼈다. 매사를 느슨하게 설렁설렁. 도대체 이게 뭐지? 막연한 궁금증을 갖고 있던 무렵, 제자의 소개로 기안84의 웹툰 <복학왕>을 보게 되었다. 첫 페이지부터 빵 터져 웃다가 헛눈물이 나올 지경이었다. ‘아하, 이게 내가 가르치는 학생들만의 현상이 아니구나. 서울공화국에서 밀려난 지방 청년의 보편적인 집단 스타일이구나.’ 깨달음이 왔다. 도대체 이 좁은 땅뙈기에서 서울 아닌 지방에 산다는 이유 하나로 눈물이 날 정도로 희극적인 삶을 살도록 청년을 몰아붙이다니. 화가 솟구쳤다. ‘에잇, 연구 한번 해봐야겠다.’', '그렇게 시작된 연구가 <복학왕의 사회학: 지방 청년의 우짖는 소리>로 결실을 보았다. 가족에서 시작해서 (유사) 가족으로 마감하는 지역민의 삶. 가족 밖의 세상에 대해 알지 않으려는 의지로 똘똘 뭉친 ‘보수주의적 가족주의’의 참혹함. 당장 여기저기서 응답했다. 제주도, 강원도, 전라도, 충청도, 심지어 경기도와 서울에서도 강연을 요청했다. 강연을 다니면서 청년의 목소리를 들어보았다. 그런데 정작 연구 대상이었던 대구·경북 지역에서는 별반응이 없었다. 철저히 외면하거나, 아니면 지방 청년에 대한 교묘한 혐오라고 비난했다. 시간이 지나면 오해도 풀리겠지, 기다렸다.', '상황은 달라지지 않았고, 갈수록 궁금증이 더해갔다. 어떻게 하다 세상 밖에 대해 알려고 하지 않고 내 가족만의 행복을 추구하는 삶을 살게 되었을까? 뿌리를 캐보자. 할머니들을 찾아가 이야기를 들어보았다. “니는 내맹쿠로 살지 마래이!” 반복해서 나오는 말인데, 딸도 하나같이 엄마와 똑같이 사는 것처럼 보였다. 이 강력한 ‘시스템 복제’를 어떻게 할 것인가? 사회학자답게 젠더 갈등이라는 좁은 틀을 벗고 ‘친밀성의 구조변동’이라는 보다 큰 역사적 전환으로 보여주리라 결심했다. 책이 곧 나온다. 한 출판사가 용기를 낸 덕분이다. 마주하기 싫지만 마주해야만 하는 현실을 드러내고 싶다고 했다. 그 용기가 헛되지 않게, 이 작은 ‘사회학 소설’이 불쏘시개가 되어 그 ‘문제의 집’에 대한 토론이 우리 사회에 활활 타오르기를 기대한다.']"
예산 심의서 국회가 해야 할 일,2021.11.19 03:00,"['2022년 정부 예산안에 대한 국회 심의가 한창 진행 중이다. 정부가 국회에 제출한 2022년 예산은 총 604조4000억원으로, 2021년 본예산 대비 8.3% 증가했으나 추경 대비로는 0.8% 감소한 규모이다. 그런데 여당의 이재명 대선 후보가 제안한 전 국민 방역지원금 문제로 국회 심의과정에서 여당과 예산부처인 기획재정부가 충돌하고 있다. 여당은 예상되는 추가세수로 국민 1인당 20만원의 방역지원금을 지급할 수 있으며, 2022년 예산안에 이를 반영해 1월부터 즉시 지급하겠다고 한다. 그러나 기획재정부는 추가세수는 소상공인 손실보상과 국가채무를 줄이는 데 사용해야 한다고 맞서고 있다.', '정부 예산안은 정책 실행 계획의 민낯을 보여준다. 화려한 정치적 수사로 특정 정책을 홍보하더라도 예산이 뒷받침되지 않으면 ‘말장난’으로 끝나게 되는 것이다. 따라서 예산안은 정부 정책의 진정성에 대한 리트머스 시험지이며, 국회의 심의과정은 정부의 정책 집행을 위한 정치과정이다. 국회 예산 심의과정에서 여야의 충돌은 이런 정치과정에서 발생하는 흔한 현상이나, 여당과 행정부의 갈등이 공개적으로 표출되는 것은 이례적이다. 이는 청와대의 정책조정 기능이 작동하지 않고 있음을 보여주는 것이기도 하다.', '정부 예산안을 평가할 때 중요한 지점은 꼭 필요한 정책을 뒷받침할 수 있는 지출 계획이 제대로 잡혀 있는가이지, 재정적자나 국가채무 수준 자체는 아니다. 필요한 정부 지출 때문에 재정적자나 국가채무 수준이 우려된다면 증세와 같은 세입 증가 방안을 마련하면 된다. 또 정부와 여당이 증세보다 국가채무 증가를 선택할 여지가 큰 제도적·정치적 환경이라면, 예산준칙을 도입해 정치권이 이런 도덕적 해이에서 벗어날 장치를 마련할 수도 있다. 물론 적정한 재정적자나 국가채무 수준을 판단하는 것은 쉬운 일이 아니나, 이에 대한 공개적인 논쟁은 필요하다.', '2022년 정부 예산안을 국회에 제출하면서 정부가 투자 중점으로, 탄소중립·디지털 전환 등 미래형 경제구조 대전환에 12조원과 코로나19로 피해를 입은 소상공인 맞춤형 재도약 지원에 3조9000억원 등을 포함시켰다. 그런데 과연 이 정도의 예산과 세부사업들로 탄소중립·디지털 전환의 초석을 놓을 수 있을지 그리고 소상공인의 재기를 돕기에 충분할지 의문이다.', '코로나19로 인해 생존 위기로 내몰린 소상공인을 진정으로 걱정한다면, 민주당은 10조원 정도를 전 국민 방역지원으로 사용하는 것이 직접적으로 소상공인의 손실보상을 위해 사용하는 것보다 더 효과적임을 설명할 수 있어야 한다. 또 국민의힘은 대통령 당선 후 추경으로 소상공인 손실보상을 위해 50조원을 마련하겠다고 이야기하기 이전에, 올해 본예산 심사에서 이에 대한 대규모 증액을 요구해야 한다.', '그리고 무엇보다 탄소중립과 디지털 전환에 대해 여야 정치권이 진정성을 가지고 있다면, 2022년부터 이에 필요한 예산을 충실히 반영해야 한다. 2022년 예산안에 탄소중립·디지털 전환 등을 위해 12조원을 배정했으나, 세부 항목을 뜯어보면 이전부터 하던 재생에너지 보급확대, 친환경차 전환 가속화, 탄소중립 기술개발, 신유망산업 육성 등의 예산을 확대해 재배치한 정도에 불과하다.', '더욱 심각한 문제는 정부가 지난 10월에 발표한 ‘2030 국가온실가스 감축목표(NDC) 상향안’과 ‘2050 탄소중립 시나리오안’의 구체적인 세부 실행 계획과 이에 필요한 재정 수요에 대한 추계조차 없다는 것이다. 탄소중립을 위해 도대체 어느 정도의 예산이 향후에 필요하며 2022년 예산에는 얼마가 반영되어야 할지를 모르고 있는 것이다. 내년 예산에 제대로 반영되지 않은 ‘2030 NDC 상향안’이 남은 8년간 제대로 이행될 수 있을지 의문이다.', '지금부터라도 국회가 예산 심의과정에서 중점적으로 다뤄야 할 내용은 탄소중립과 디지털 전환에 대한 예산이다. 이를 통해 여야 대선 후보 누구도 먼저 이야기하지 않으려고 하는 탄소중립과 디지털 전환의 사회적·재정적 비용과 이를 감수하고도 갈 수밖에 없는 길임에 대해 국민적 합의를 이루는 계기로 삼아야 한다.', '국회가 이런 역할을 제대로 한다면, 향후 30년 동안 가장 중요하게 다뤄질 정책 문제를 현재의 대선 어젠다로 만들고, 차기 정부가 이를 추진할 수 있는 기반을 놓게 된다. 정치 불신과 대선 후보자들에 대한 비호감이 여느 때보다 높은 이유가 정치인이 국민을 ‘바보’ 취급한다는 점을 국민이 알고 있기 때문임을, 정치인들도 깨달을 때가 되지 않았나?']"
오늘도 포근···낮까지 수도권 등 일부 빗방울,2021.11.19 08:17,"['금요일인 19일은 중부지방에 구름이 많다가 낮에 차차 맑아지고, 남부지방은 대체로 맑겠다.', '낮까지 수도권과 강원 영서, 충북 북부, 충남 북부에 빗방울이 떨어지는 곳이 있겠다. 예상 강수량은 수도권과 강원 영서, 충북 북부, 충남 북부 0.1mm 미만이다.', '이날 오전 8시 현재 기온은 서울 11.8도, 인천 12.4도, 수원 10.1도, 춘천 13.2도, 강릉 14.8도, 청주 11.3도, 대전 7.3도, 전주 9.2도, 광주 7.2도, 제주 9.4도, 대구 5.8도, 부산 11.0도, 울산 8.2도, 창원 7.3도 등이다.', '낮 최고 기온은 15∼20도로 예보됐다. 미세먼지 농도는 수도권과 강원 영서, 충청권, 대구, 경북은 ‘나쁨’, 그 밖의 권역은 ‘보통’ 수준을 보이겠다. 광주와 전북은 밤에 ‘나쁨’ 수준일 것으로 예상된다.', '오전까지 충남 남부 내륙과 전라권, 경남 서부 내륙에 짙은 안개가 끼는 곳이 있겠다. 오전까지 강원 산지에는 바람이 매우 강하게 부는 곳이 있겠으니 시설물 관리와 안전사고에 유의해야 한다.', '바다의 물결은 동해와 남해 앞바다에서 0.5∼1.0ｍ, 서해 앞바다에서 0.5∼1.5ｍ로 일겠다. 안쪽 먼바다(해안선에서 약 200㎞ 내의 먼바다)의 파고는 동해와 서해 0.5∼2.0ｍ, 남해 0.5∼1.0ｍ로 예상된다.']"
"마포구에서 발생한 아이스팩, 자매도시 '신안군'으로 간다",2021.11.19 08:40,"['서울 마포구에서 모인 아이스팩이 전남 신안군으로 간다. 신안군으로 간 아이스팩은 현지에서 생산된 농수산물과 함께 전국 각지로 이동하게 된다.', '마포구는 18일 신안군과 아이스팩 재사용을 위한 업무협약을 체결했다고 19일 밝혔다. 마포구는 코로나19 이후 비대면 배송이 늘면서 버려지는 아이스팩을 재활용하기 위해 올해 3월부터 아이스팩 재사용 사업을 진행하고 있다.', '안정적인 재사용처를 찾는 일은 쉽지 않다. 서울시 여러 자치구가 관내 전통시장 등에 재사용을 유도하는 등 노력을 하고 있지만 아이스팩을 관내에서 재사용하는 자치구는 많지 않다. 아이스팩 수거함 자체가 없는 자치구도 다수다. 균일하지 않은 크기, 제각각인 색상, 아이스팩 상표 등의 이유로 재사용처를 찾기 어렵기 때문이다.', '마포구는 젓갈이나 새우 등 해산물 배송에 아이스팩을 많이 사용하는 신안군을 안정적인 재사용처로 찾았다. 마포구는 2005년 신안군과 자매결연을 맺고, 지난 3월부터 아이스팩 재사용사업을 시범적으로 실시해왔다. 그동안 5560개의 아이스팩을 신안군에 전달했으며, 이번 협약으로 내년부터는 올해 대비 연간 3.5배 분량의 아이스팩이 신안군으로 간다. 마포구 16개 주민센터에서 수거한 아이스팩은 세척·살균·건조 후 연간 2만개가 전달될 예정이다.', '전달된 아이스팩은 신안군 내 젓갈타운과 새우양식업체, 송도 수산물 유통물류센터 등에 공급해 재사용된다. 구 관계자는 “이번 협약으로 신안에서 농수산물과 함께 서울로 배송된 아이스팩이 마포구에 도착해 다시 신안으로 돌아가는 도·농 자원 선순환 사업의 표준모델이 될 것”이라고 말했다.', '마포구는 신안군 외에도 관내 전통시장, 대형마트, 자매결연도시 등 총 17곳의 수요청에 세척·소독을 완료한 아이스팩 3만5850개를 배송하는 등 아이스팩 재활용에 힘쓰고 있다.', '이날 협약식에서 박우량 신안군수는 “한 번 쓰고 버리기엔 아까운 아이스팩이 늘어나 서울에서는 부담이 되고 있지만 신안군에서는 농수산물 배송을 위해 많은 아이스팩이 필요한 실정”이라며 “마포구에서 깨끗이 세척된 아이스팩을 대량으로 제공해주면 신안군에도 도움이 될 것”이라고 말했다.', '유동균 마포구청장은 “2005년 신안군과 자매결연 후 직거래장터, 소금문화 팸투어 등 경제, 문화 분야에서 많은 교류 사업과 더불어, 이번 아이스팩 재사용 업무협약으로 환경 분야까지 넓혀 다양한 교류사업을 진행하길 바란다”고 말했다.']"
"양천구, 23~24일 김장재료 직거래장터 연다…관내 무료배송도 지원",2021.11.19 08:48,"['서울 양천구는 코로나19로 농산물 판매에 어려움을 겪고 있는 농가를 돕고, 주민들에게는 양질의 김장재료를 제공하기 위해 오는 23~24일 양천공원에서 ‘김장철 직거래 장터’를 운영한다고 19일 밝혔다.', '장터에는 자매결연도시인 부여군, 순천시, 강화군, 완도군을 비롯해 곡성군, 괴산군, 나주시 등 총 21개 지자체 농가가 참여한다. 지역의 특산물과 절임배추, 김장채소 등 다양한 상품을 판매하며, 주민편의를 위해 양천구 관내 무료배송 서비스도 지원한다.', '기타 자세한 사항은 양천구청 홈페이지 공지사항을 참조하거나, 일자리경제과(02-2620-4810)으로 문의하면 된다.', '김수영 양천구청장은 “직거래 장터는 신선하고 품질 좋은 농수산물을 저렴한 가격에 구매할 수 있는 좋은 기회”라며 “방역수칙을 철저히 준수하며 진행되니 안심하고 방문해주시길 바란다”고 전했다.']"
10년간 세금체납하고 해외이주한 서울시민 6678명…체납세금 110억4300만원 못 받아,2021.11.19 06:00,"['서울에서 지난 10년간 고액의 세금을 체납한 채 해외에서 거주하고 있는 ‘해외이주자’가 6678명에 달하는 것으로 나타났다.', '18일 경향신문이 확보한 자료를 살펴보면 9월 기준 해외이주 체납자 6678명의 체납건수는 2만1259건으로, 체납액만 145억2700만원에 달했다. 서울시는 해외이주자들의 국내 부동산 확보 등을 통해 체납액 징수를 시행해왔지만 지난 10년간 징수액은 34억8400만원에 그쳤다. 여전히 110억4300만원이 미납세금으로 남아있는 것이다.', '해외이주자에 대한 체납세금 징수가 미진한 이유는 해외이주 이후에 세금을 체납하는 경우가 많기 때문이다. 현재의 이민제도에서는 국내에서 발생한 세금을 납부하지 않으면 이민허가를 받을 수 없다. 그러나 이민신고 후 해외에 거주하면서 국내에 보유한 부동산·주식을 처분하거나, 국내사업을 유지하면서 발생한 세금을 납부하지 않은 사례가 대부분이라고 서울시는 설명했다. 서울시는 이 경우에도 국내 보유하는 부동산 등을 즉시 압류해 공매 및 추심을 통해 징수활동을 벌인다. 그러나 대부분의 해외이주자들이 국내에 별도의 재산을 남기지 않아 징수자체가 불가능한 경우가 많다.', '외국인 체납자에 대한 세금징수 역시 여전히 사각지대가 있는 것으로 나타났다. 9월 기준 주민세를 체납한 외국인 상위 10명 중 7명은 현재 해외로 출국한 상태다. 자동차세 체납 외국인 상위 10명 중 7명도 출국해 외국에 거주하고 있다.', '자동차세 체납 1위 A씨의 9월 기준 체납액은 1032만4010원이다. A씨는 10월 13일 기준 국내체류 상태이지만 상위 2~7위 외국인 6명은 전부 국외로 나간 상태다. 상위 2~7위의 자동차세 개별 체납액은 420~630여 만원 수준이다. 서울시 관계자는 “외국인들은 비자 연장 과정에서 체납세금 정보를 법무부와 공유하기 때문에 적발이 가능하지만 비자 연장 없이 그냥 출국하는 경우에는 세금을 체납한 외국인을 적발할 방법이 없다”고 말했다.', '행안부와 법무부, 국세청, 관세청은 2017년 5월부터 ‘외국인 비자연장 전 세금체납 확인제도’를 확대·시행하고 있다. 외국인이 비자연장을 신청하면 출입국관리사무소 담당자가 체납여부를 확인하고, 체납세금을 납부해야 체류연장을 허가한다. 하지만 출국 시스템에는 해당 정보공유 체계가 없어 체납상태에서 출국해도 적발이 불가능하다. 이는 지난 2018년 국세청 국정감사 과정에서도 지적됐지만 여전히 법개정 등 개선이 되지 않고 있다.', '서울시 관계자는 “국내에서 발생한 체납세금에 따른 압류효과는 국내 재산에만 미치기 때문에 외국 재산에 대한 압류 등 체납세금 징수를 위한 작업이 불가능하다”면서 “결국 출국 전 적발을 통한 조기징수가 필요한 만큼 행안부와 법무부, 국세청 등에 개선을 건의할 계획”이라고 말했다.']"
코로나19 신규 확진 3034명···전날 하루 28명 사망,2021.11.19 09:40,"['중앙방역대책본부는 19일 0시 기준 코로나19 신규 확진자가 3034명이라고 밝혔다.', '이날 국내 발생 확진자 수는 3011명, 해외 유입은 23명이다. 지역별로 보면 서울 1397명, 경기 844명, 인천 187명으로 수도권이 80.6%(2428명)다. 부산 76명, 대구 47명, 광주 24명, 대전 53명, 울산 4명, 세종 3명, 강원 72명, 충북 20명, 충남 56명, 전북 24명, 전남 46명, 경북 49명, 경남 78명, 제주 31명이 추가 확진됐다.', '코로나19로 인한 사망자는 28명 늘어 누적 3215명(치명률 0.79%)이다. 입원 중인 위중증 환자는 499명으로 전날보다 7명 줄었다. 지난해 1월 국내에서 첫 확진자가 나온 이후 누적 확진자는 40만9099명에 달한다.', '전날 오후 5시 기준 코로나19 중환자 병상 가동률은 63.6%다. 보유병상 1127개 중 입원 가능 병상은 410개다. 중등증 환자를 치료하는 일반 병상은 62.9%가 찬 상태로, 1만53개 중 3732개가 비어 있다.', '이날 0시까지 4215만7766명이 코로나19 백신 1차 접종을 마쳤다. 전날 4만4684명이 접종했다. 인구 대비 1차 접종률은 82.1%다. 권장 횟수 접종을 모두 마친 접종 완료자는 5만9442명 늘어 총 4037만4444명(인구 대비 78.6%)이다.']"
탑골공원에 웬 몽골텐트? 종로구 “어르신들 한파 조심하세요”,2021.11.19 09:58,"['서울 종로 탑골공원에 초록색 몽골텐트가 생겼다. 텐트 안에는 테이블과 의자는 물론 대형난방기도 설치돼 있다. 무료급식소를 이용하고자 이 일대를 찾는 어르신들이 한파에 노출되는 것을 막기 위해 종로구가 조성한 공간이다.', '종로구는 탑골공원 전면 개방에 맞춰 지난 5일 공원 내 몽골텐트를 설치했다고 19일 밝혔다. 무료 급식을 기다리는 동안 어르신들을 추위에서 보호하기 위한 조치로 공원을 찾은 일반인들도 쉬어갈 수 있도록 마련했다.', '구는 앞서 지난 여름 폭염에 대응하기 위해 탑골공원 앞에서 얼음물을 배부하고 시원한 그늘막과 테이블, 의자를 조성했다. 당시 그늘막으로 사용해온 캐노피 천막을 최근 추위를 피하게 해줄 몽골텐트로 전면 교체한 것이다. 몽골텐트에는 바람을 막아줄 사방 투명가림막과 야외 대형 난방기 등도 갖췄다.', '종로구는 배식을 기다리는 어르신들의 약 97%가 백신 접종을 완료한 상태라는 점을 감안해 12월부터는 인근 무료급식소에서 실내 급식을 실시할 예정이라고 밝혔다. 구 관계자는 “코로나19에 생활고까지 이중고를 겪는 취약계층 어르신들을 위해 탑골공원 인근 무료 급식소와 협력해 식사를 돕고 있다”며 “올 겨울에는 배식을 위해 야외에서 오랜 시간 기다리는 어르신들을 배려해 비나 바람에 강한 몽골텐트를 설치해 안전하고 따뜻한 대기공간을 조성하는 데 중점을 뒀다”고 말했다.']"
