title,date,article
"공동제작, 뭉쳐서 사는 법",2021.11.19 03:00,"['공연으로 돈 좀 벌었다는 사람 찾기 참 어렵다. 뮤지컬이 잘된다지만, 소위 ‘킬러콘텐츠’ 몇 개 갖고 있지 않고서는 안정된 수익을 내기가 여간 힘들지 않다. 코로나19 팬데믹이 덮친 요즘, 이미 흥행 검증된 작품이라도 객석 거리 두기를 지키면서 수익을 올리려면 전보다 공연 횟수를 늘려 잡아야 한다. 입장권 판매로 벌어들이는 수입이 불안정하니, 출연료와 대관료 등 운영비를 더 들여서라도 만회하려고 몸부림친다.', '서비스산업으로서 공연예술의 이런 구조적인 한계를 지적할 때 ‘비용질병’이란 말을 쓴다. 처음 제기한 사람의 이름을 따 ‘보몰효과’라고도 한다. 제조업은 기술혁신을 통한 생산성 향상으로 임금 상승 폭을 메우고도 남는다. 하지만 노동집약적 서비스산업은 생산성 증가에 비해 임금이 더 빨리 올라간다. 비용을 절감하기 쉽지 않다. 상황이 이렇다고 출연료를 깎을 수는 없지 않은가. 더 오래 대관해서라도 수익을 내보겠다고 나서는 게 만용은 아니다. 그나마 형편이 낫다는 뮤지컬이 이 정도다.', '인기작의 경우 팬덤 문화가 형성된 뮤지컬이 이럴진대, 연극과 무용·음악 등 여느 공연예술은 말해 무엇하랴. 오래전부터 이에 대한 지원책이 여러 나라 문화정책의 근간이 됐다. 1960년대 연방 정부 차원의 미국 문화정책을 뒷받침하는 이론으로 인용된 이래 보몰효과의 ‘효과성’은 여전히 유의미한 걸로 간주된다,', '이야기를 바꿔보자. 그럼 질병 탓만 해야 하는지, 치료 노력은 없어도 되는 건지 의문이 든다. 세계에서 둘째가라면 서운할 만큼 처방엔 능한 우리 문화정책이 그걸 놓칠 리 없다. 마침 이런 비용질병의 완치제는 아니더라도 면역력 높은 화이자급 백신은 될지도 모를 참신한 ‘제도’가 등장했는데, 생김새는 이렇다.', '긴 이름의 ‘문예회관·예술단체 공연 콘텐츠 공동제작, 배급 프로그램’은 문체부 산하기관인 한국문화예술회관연합회(한문연)의 올해 신규 사업이다. 사업명이 세련된 건 아니지만, 사업 내용은 친절하게 잘 녹아있다. 양질의 공연 작품 생산을 돕겠다는 뜻이다. 창작은 예술단체가, 유통과 배급은 공동제작자로 참여한 전국의 여러 공연장이 맡는 구조다. 다 같이 이기는 게임을 해보자는 거다.', '이 시스템에서 만들어진 창작품은 전국의 ‘여러 극장’에서 ‘오랜 기간’, ‘다양한 관객’과 만난다. 인기 레퍼토리로 성장할 가능성도 크다. 그건 곧 고질적인 환경에 노출된 공연단체에 비용질병을 극복할 수 있는 길이 열린다는 뜻이기도 하다. 한문연이 주최한 올해 첫 사업에 전국에서 모두 16개 단체(작품), 51개 기관이 참여했다. 이 가운데 참고가 될 만한 최근 사례 하나를 소개하면 이렇다.', '요새 가장 주목받는 무용단은 ‘애매모호하다’는 뜻의 현대무용단 앰비규어스댄스컴퍼니다. 이날치의 <범 내려온다> 안무로 일약 스타가 된 김보람이 이끄는 단체다. 이 무용단과 고양문화재단·춘천문화재단·포항문화재단·천안문화재단은 최근 신작 <얼이섞다>를 함께 만들었다. 창작은 무용단이, 제작비와 배급은 문화재단 네 곳이 맡아 연말 각 지역을 돌며 관객과 만난다. ‘논두렁의 밭 매는 소리’ 등 옛 민초들의 질박한 소리에 기발한 춤을 섞은 신작은 높은 완성도 덕에 관객 반응도 뜨겁다.', '이런 성공에 고무된 건 제작자뿐이 아니다. 김보람 예술감독이 인터뷰에서 한 말. “정말 감사한 일이다. 보통 한국에서 6개월 동안 만들어 신작을 올리면 한 이틀 공연하고 끝. 방송 댄스도 한 곡 연습하면 몇 달 공연하는데 말이다. 신작을 만들기 전부터 한 해 순회공연 일정을 잡는 유럽 시스템이 부러웠는데, 이번에 처음으로 비슷한 경험을 한다. 다른 단체들도 이런 기회가 많았으면 좋겠다.” 올해 ‘의정부음악극축제’ 개막작인 뮤지컬 <백만 송이의 사랑>(고선웅 연출)도 공동제작의 강점을 잘 보여준 매력적인 무대였다.', '우수한 콘텐츠 확보는 예술단체와 공연장 모두 사활이 걸린 문제다. 모두 어려운 때, 모처럼 공연 현장의 활력소가 된 공동제작 지원제도가 비용질병 치료 특효약으로 두루 인정받아 ‘좋은 정책’으로 오래 남길 고대한다. 뭉치면 산다고 하지 않던가!']"
"현대차그룹, 수소연료전지 조직 확대 개편···“수소 경쟁력 강화”",2021.11.19 10:16,"['현대차그룹이 수소연료전지 개발 역량 강화를 위해 사장급을 책임자로 임명하고 사업조직을 확대하는 조직 체계 개편을 실시했다.', '현대차그룹은 수소연료전지담당을 신설하고 박정국 현대차 연구개발본부 부본부장(사장)을 총책임자로 임명한다고 19일 밝혔다.', '박 사장은 연료전지 개발 사령탑으로 현대차그룹의 수소연료전지 개발과 사업을 직접 이끈다. 연료전지의 연구개발 역량 강화를 최우선 목표로 연구소 내의 자원을 집중하고 지원을 체계화한다는 방침이다.', '기존 연료전지사업부는 개발과 사업 조직으로 분리, 확대된다.', '수소연료전지개발센터는 수소연료전지 기술개발, 개발체계 고도화, 원가절감 및 성능 확보에 주력하고 수소연료전지사업부는 사업전략·운영과 함께 혁신적 생산 기술 개발, 품질 확보 체계를 강화할 계획이다.', '수소연료전지개발센터는 김세훈 현 현대차 연료전지사업부장(부사장)이, 수소연료전지사업부는 임태원 전무가 맡는다.', '임 전무는 한국공학한림원 정회원으로 선정되는 등 재료 및 연료전지 분야 기술전문가로 평가 받는다. 투싼 연료전지차량의 개발을 성공적으로 이끌었으며 ESS(에너지 저장장치) 사업을 포함해 현대차그룹의 수소 및 에너지 사업을 견인한 사업 전문성을 보유하고 있다.', '현대차그룹은 연구 성과를 중간 점검하는 과정에서 발견한 기술적 문제 등 과제들을 빠르게 극복하고, 연구 개발 일정과 방향성을 재정립하기 위해 이번 조직 개편을 단행했다고 설명했다.', '그룹 관계자는 “조직 개편 이후 연료전지 개발 완성도를 높이기 위해 설계 강화 및 신공법 적용 등을 적극 추진하고 수소사회 구현을 위한 경쟁력있는 사업화 전략도 구상도 가다듬을 계획”이라고 밝혔다.']"
‘플린트 수돗물 납 오염 사태’와 정치 실패의 대가,2021.11.18 03:00,"['전 세계의 이목이 영국에서 열린 제26차 유엔기후변화협약 당사국총회(COP26)에 쏠려 있던 지난 10일(현지시간), 미국에서 희소식이 전해졌다. 7년 전 ‘플린트시 수돗물 납 오염 사태’와 관련해 시민들이 주정부 등을 상대로 제기한 소송에서 법원이 6억2600만달러의 보상 합의안을 승인한 것이다. 기후위기에 대한 높은 관심 탓에 크게 조명받지 못했지만 세계 환경오염 역사에 획을 긋는 뉴스였다. 인구 10만명에 불과한 미 북동부 미시간주의 소도시에서 발생한 수돗물 납 오염 사태는 현대 미국에서 일어난 최악의 환경재앙 중 하나로 불릴 만큼 관심을 끌었다. ‘제2의 카트리나’ 논란을 부를 정도로 미국의 뿌리 깊은 인종적·경제적 불평등뿐 아니라 사후 처리 과정에서도 총체적인 문제점을 드러내는 등 정치적 파장이 컸기 때문이다.', '비극은 2014년 4월 플린트시가 비용 절감을 이유로 기존 수돗물 공급처를 휴런호 물을 상수원으로 쓰는 디트로이트시에서 플린트강으로 바꾸며 시작됐다. 문제는 플린트강은 산성도가 높아 식수로 쓰기 적합하지 않았다는 데 있었다. 상수원이 바뀌면서 시작된 부작용은 탈모, 발치, 발진 등을 넘어 납 중독으로까지 번졌다. 부식된 수도관을 통해 납 성분이 수돗물에 침출된 것이다. 한번 몸 안에 흡수된 납 성분은 평생 빠져나가지 않는다. 지능 저하는 물론 폭력 충동 등 여러 장애를 일으킨다. 주정부는 사건 발생 1년 반이 지나서야 납 오염을 인정하며 상수원을 다시 되돌렸지만 이미 엎질러진 물이었다. 수돗물 오염에 따른 급성 폐렴으로 최소 12명이 사망하고 80명이 고통을 받았다.', '플린트 사태는 기존 환경오염 사건과 확연히 달랐다. 가장 큰 차이는 환경오염의 주체다. 대부분 환경재앙의 주범은 기업이었다. 줄리아 로버츠가 주연한 영화 <에린 브로코비치>(2000)에서 발암물질 크롬을 배출한 회사는 미 최대 전력회사 PG&E였다. 마크 러펄로가 <다크 워터스>(2020)에서 고발한 독성화학물질 과불화옥탄산(PFOA)을 유출한 회사는 세계적인 화학기업 듀폰이었다. 돈벌이만 된다면 주민의 삶과 인권, 환경파괴 등에 아랑곳하지 않는 게 거대자본의 속성이다. 하지만 플린트 사태 뒤에는 주정부가 있었다. 주민을 위해 봉사할 주정부가 주민을 기만한 것이다. 정치의 실패라 할 수 있다. 기업의 이익을 대변해온 공화당 출신의 릭 스나이더 주지사 탓이 크다. 플린트는 인구의 60%가량이 흑인이고, 40% 이상이 극빈자다. 그에게 이들은 안중에도 없었다. 그는 플린트 수돗물이 GM 엔진공장 운영에 지장을 초래한다는 이유로 휴런호로 변경했다. 명백한 인종차별적 처사였다. 플린트가 백인 위주의 도시였다면 불가능했을 터이다.', '플린트 수돗물 사태의 정치 실패는 여기서 그치지 않았다. 첫 흑인 대통령이던 버락 오바마조차도 사태의 심각성을 제대로 파악하지 못해 대응에 실패했다. 이 사실은 마이클 무어 감독의 2018년 다큐멘터리 <화씨 11/9: 트럼프의 시대>에서 잘 드러난다. 11/9는 2016년 미 대선에서 도널드 트럼프가 승리한 날을 의미한다. 트럼프 승리의 원인을 찾던 무어는 2016년 5월 자신의 고향 플린트를 방문한 오바마에게 앵글을 맞춘다. 오바마는 사태 해결을 기대하는 주민들로부터 대대적인 환영을 받았다. 그는 연설 도중 “물 한 잔 마시고 싶다”고 했다. 주민들은 ‘생수’를 외쳤음에도 그는 수돗물을 고집했다. 하지만 그는 입만 댄 채 마시지 않았다. 명백한 정치적 쇼였다. 쇼는 스나이더 주지사와 함께한 자리에서도 반복됐다. 그의 방문으로 재난지역 선포를 기대했던 주민들은 좌절했다. “그는 나의 대통령으로 이곳에 왔지만 떠날 때는 나의 대통령이 아니다”라고 한 플린트 운동가의 말만큼 배신감을 보여주는 말은 없다.', '플린트 사태가 초래한 정치적 대가는 컸다. 민주당은 2016년 대선에서 공화당에 패배했다. 특히 미시간주에서는 1만704표차(0.23%)로 석패했다. 민주당이 미시간주에서 공화당 후보에게 진 것은 1988년 이후 처음이다. 물론 민주당의 아성인 플린트가 포함된 제네시 카운티는 트럼프를 지지하지 않았다. 트럼프 당선이 플린트 사태 때문만은 아니지만 어느 정도 영향을 미친 것은 부인할 수 없다. 그렇다고 문제는 공화당 주지사가 일으켰지만 주민들은 민주당에 책임을 물은 사실은 달라지지 않는다. 플린트 사태가 주는 교훈은 명확하다. 책임정치의 중요성이다. 정치인이 사회적 약자의 목소리를 외면하면 이들 또한 기득권 정치인을 배척하기 마련이다. 비단 미국만의 문제는 아닐 것이다.']"
"""저희 회사 제품 사 주이소~"" 울산 ‘구매상담회’ 개최···다음달 3일까지 참가기업 모집",2021.11.18 08:38,"['울산시는 18일 동반성장위원회와 공동으로 대기업과 중소기업의 동반성장 촉진 및 중소기업 판로 지원을 위한 ‘구매상담회’를 다음달 14일 울산전시컨벤션센터에서 연다고 밝혔다.', '구매상담회는 지난해에 이어 올해로 두번째 열리는 행사이다. 행사는 대기업 및 중소기업 1대1 구매상담회, 우수 기술제품 전시, 중소기업 컨설팅 운영 등으로 진행된다.', '구매상담 분야는 전기·전자, 건설·화학, 기계·중공업, 유통·서비스 등이다.', '현대중공업·현대제철·CJ제일제당·신세계인터내셔널·LG디스플레이·풀무원식품·삼성SDI·포스코건설·롯데하이마트·카카오·GS홈쇼핑·울산항만공사·한국동서발전 등 대기업 및 공공기관 80여개사가 참가한다.', '추가로 구매상담회 참가를 희망하는 기업은 온라인 접수 누리집(win-win.micehub.com)에서 다음달 3일까지 신청하면 된다.', '울산시 관계자는 “우수한 기술과 제품을 보유하고도 판로를 확보하지 못해 어려움을 겪는 중소기업들에게 대기업·공공기관 구매담당자와 직접 만나 상담할 수 있는 기회인 만큼 지역 중소기업의 많은 참여를 당부한다”고 말했다.', '앞서 울산시와 동반성장위원회는 지난해 11월 대·중소기업간 상생협력 및 혁신성장, 동반성장 문화확산을 위한 업무협약을 맺었다. 이어 개최한 비대면 온라인 구매상담회에서 모두 457건 317억여원의 상담성과를 냈다.']"
'대전 빵문의 해' 맞아 전국 첫 '빵축제'···성심당배 달고나 대회 등 이벤트 ‘빵빵’,2021.11.18 09:52,"['올해는 ‘대전방문의 해(2019~2021년)’다. 그런데 이런 사실을 외지인은 물론 대전시민도 잘 모르는 경우가 많다. 그런데, 젊은이들이 주고 받는 SNS(사회관계망서비스) 등에서는 ‘대전빵문의 해’라는 용어가 유행하고 있다. 거기에는 이유가 있다. 대전에 가면 맛있는 빵을 먹을 수 있기 때문이다. 그 대표 주자가 대한민국을 대표하는 동네빵집인 ‘성심당’이다.', '성심당을 대표하는 튀김소보로를 사기 위해 서울에서, 부산에서, 광주에서 KTX를 타고 오거나 차를 몰고 오는 사람이 많다. 대전역에 있는 성심당 매장에는 튀김소보로 전용 매대까지 있다. 여기에는 하루 종일 기다란 줄이 형성된다.', '‘성심당’으로 유명한 대전에서 전국 최초로 ‘빵축제’가 열린다.', '대전마케팅공사는 20·21일 대전 중구 선화동 대전근현대사전시관(옛 충남도청사) 광장에서 국내 최초의 빵축제인‘빵 모았당(堂)’행사를 개최한다고 18일 밝혔다.', '마케팅공사가 대전상권발전위원회와 함께 개최하는 이번 축제에는 대전을 대표하는 동네빵집이 총출동한다.', '가장 관심을 끄는 행사는 맛으로 소문난 대전의 동네빵집들이 직접 만든 빵을 대거 선보이는 ‘빵집 모았당’이다. 이 행사에는 성심당은 물론 하레하레과자점, 새로나제과, 발효제빵소, 달달보드레, 콜마르브레드 등 대전지역의 34개 빵집이 저마다의 빵을 관객들에게 내놓는다.', '빵집을 직접 가보고 싶은 사람은 ‘동네빵집 빵지순례’ 코너를 찾아가면 된다. 이 코너에서는 대전지역 동네빵집의 위치 등을 알려주는 지도와 스마트폰 앱을 통해 관객들이 빵집을 찾아갈 수 있도록 안내한다.', '우송정보대에서 제과제빵을 전공하는 학생들이 ‘캐릭터 쿠키 만들기’, ‘초콜릿 케익만들기’ 등의 체험이 가능한 ‘제과제빵 체험 코너’를 운영한다.', '관람객들의 눈길을 모으는 행사가 하나 있다. 현장에서 선착순으로 접수한 200명 중 최종 우승자 1명에게 200만원의 상금을 주는 ‘성심당배 달고나 뽑기왕(王) 선발전’이 그것이다. 이 행사는 성심당이 주최한다.', '이밖에 각 빵집에서 기부받은 빵을 사회복지시설 등에 전달하는 ‘사랑의 빵 전달식’과 ‘뮤직콘서트’, ‘대전 버스킹’ 등도 진행될 예정이다.', '대전마케팅공사 고경곤 사장은 “이번 행사에서는 단계적 일상회복 방역수칙에 따라 빵을 직접 먹을 수는 없으나 입점 빵집들이 저마다의 빵을 저렴한 가격으로 판매할 예정”이라면서 “판매 수익금과 행사종료 시 남은 빵들은 대전시 사회시설에 기부할 예정”이라고 말했다. 그는 이어 “빵축제를 대전의 대표적인 새로운 관광콘텐츠로 발전시켜나갈 예정”이라고 말했다.']"
"""가구도 자동화 생산"" 현대리바트 스마트 팩토리 국내 첫 선",2021.11.18 10:14,"['현대리바트가 국내 가구업체 중 처음으로 첨단 자동화 생산 시스템을 갖춘 스마트 팩토리를 가동한다. 현대백화점그룹 계열 토털 인테리어기업 현대리바트는 경기 용인 소재 복합 제조 물류시설 SWC(Smart Work Center)내 자동화 생산시설인 ‘스마트 팩토리’를 운영한다고 18일 밝혔다.', 'SWC는 현대리바트가 2017년부터 4년간 1475억원을 투자해 구축한 복합 제조·물류시설로 5개층, 8만5950㎡ 규모로 설립됐다. 스마트 팩토리는 정보통신(IT)기술로 컨트롤 되는 400여대의 자동화 정밀 생산설비가 설치돼 6개의 생산 라인을 갖고 있다.', '현대리바트는 스마트 팩토리 구축을 위해 독일 시스템 개발업체와 함께 스마트 생산 시스템(MES)을 도입했다. 가구 설계 정보를 시스템에 입력하면 3D로 설계도면과 예상 자재 소모량이 산출되고, 설계도에 맞춰 각 공정별 생산설비들을 자동으로 세팅하는 기능을 갖췄다. 이를 통해 목재 재단부터 각 공정별 자재 운반과 엣지(가구 모서리 등의 마감 공정) 접착, 타공, 완제품 포장 등 모든 가구 생산공정을 자동화 설비들이 설계도에 따라 생산하는 시스템을 갖추게 됐다고 현대리바트는 설명했다.', '현대리바트 관계자는 “기존 가구공장은 생산 기술자가 각 가구 설계도에 맞춰 수십개의 설비 세팅을 수정해 균등한 품질 유지와 생산량 확대에 어려움이 많았다”며 “스마트 팩토리로 속도가 기존 생산 시설 대비 평균 5배 이상 빨라지고 다양한 규격의 가구를 자유자재로 생산할 수 있게 될 것”이라고 말했다.']"
전기차는 씽씽 달리는데···“3만5000명 일자리 감소 불가피”,2021.11.18 11:00,"['미국 완성차 업체 제너럴모터스(GM)는 2년 전 오하이오주 로즈타운 조립공장의 문을 닫으며 3300명을 해고했다. 현재 GM은 해당 공장 뒤쪽에 축구장 30개 크기의 배터리 공장을 건설 중이다. 블룸버그는 GM의 사례를 들어 내연기관 차량에 비해 전기차에 들어가는 부품이 훨씬 적어 업계 노동자 13만5000명의 생계가 위태롭다고 전망했다. 국내에서도 친환경차 보급 확산에 따른 부작용을 우려하는 목소리가 커지고 있다.', '18일 한국자동차기자협회가 ‘탄소중립, 자동차 산업의 미래’를 주제로 광주 서구 김대중컨벤션센터에서 개최한 심포지엄에서 김용원 한국자동차산업협회 안전환경본부장은 “2030년 전기차 비중이 33%를 차지하면 10%의 기업이 사라지고 3만5000여명의 일자리가 감소할 수 있어 적극적인 대응이 필요하다”고 밝혔다. 내연기관차 생산에 투입되던 작업량이 줄어들면서 “노동자는 20~30%, 부품 수는 3분의 1 정도 감소하기 때문에 고용 위축이 불가피하다”는 것이다. 동력계 부품업체 중 68.2%는 미래차 전환에 따른 매출 축소를 우려하는 것으로 조사됐다.', '이민우 산업통상자원부 자동차과장은 “탄소중립은 매우 도전적인 과제이나 반드시 가야 할 길”이라며 “친환경차 수요·공급을 혁신해 전기차와 수소차 보급을 가속화하고, 미래차 부품 기업 1000개를 육성하는 등 미래차 중심의 산업 생태계로 전환해야 한다”고 말했다.', '앞서 정부는 2030년 온실가스 감축 목표치를 기존 ‘2018년 대비 26.3% 감축’에서 40%로 높였다. 이를 따른다면 2030년 친환경차 누적 보급 대수는 450만대 이상으로 늘어나야 한다. 그러나 국내 완성차 업체들의 역량은 이를 따라가지 못한다. 자동차산업협회는 국내 업계의 2030년 친환경차 누적 생산 대수가 300만대에도 미치지 못할 것으로 보고 있다.', '이에 국내 자동차 업계는 정부 목표치를 달성하려면 수입 전기차에 의존할 수밖에 없다며 친환경차 보급 속도를 완화해줄 것을 촉구하고 있다. 김 본부장은 “2026년부터 완성차 산업에서 고용 감소가 본격화되고 르노삼성과 한국지엠, 쌍용차에서 문제가 더 심각할 것”이라며 “금융, 연구·개발(R&D), 직무 전환 교육 등에 대한 정부 지원을 강화해야 한다”고 말했다.', '김태년 미래모빌리티연구소장은 “탄소중립을 위해 자동차 업체들은 차세대 배터리 조기 개발 및 상용화에 투자를 확대해 수익 구조를 개선해야 한다”며 “정부는 미래차 지원을 위한 중장기 재원 확보 방안을 마련하고, 충전기 확충 등 소비자 편의성을 획기적으로 개선하는 데 주력해야 한다”고 말했다.', '심포지엄은 이날부터 20일까지 김대중컨벤션센터에서 열리는 ‘2021 국제그린카전시회’의 식전 행사로 마련됐다. 전기차, 수소차, 자율주행차 등 미래 친환경차의 트랜드를 한눈에 볼 수 있는 전시회는 광주시가 주최하며 올해로 13회째를 맞았다. 국내외 93개 업체가 참가해 170여개의 부스를 운영하며 ‘2021년을 빛낸 그린카’ 특별관에서는 현대차 아이오닉 5, 기아 EV6, 제네시스 GV60, 메르세데스 벤츠 신형 EQA 등 올해 출시된 전기차들을 만날 수 있다.']"
여의도 시범·대치미도·송파 장미 등 9곳도 ‘오세훈표 정비사업’ 추진,2021.11.18 11:15,"['서울 여의도 시범·대치미도·송파 장미 아파트와 신당동 236-100일대 등 재개발·재건축 지역 9곳에서도 ‘오세훈표 정비사업’으로 불리는 신속통합기획이 추진된다. 이번에 추가 적용된 곳들 중에는 강남권 재건축 단지 등 ‘대어급’ 정비사업들이 대거 포함됐다.', '서울시는 “9개 재개발·재건축 지역에 신속통합기획을 추가 적용한다”고 18일 밝혔다. 지난 8월부터 기존에 정비계획을 수립한 단지를 대상으로 수시접수를 받았는데, 현재까지 신청한 9곳에 모두 신속통합기획을 적용하도록 한 것이다.', '신속통합기획은 민간 주도 개발을 공공이 지원하는 제도다. 정비계획 수립 초기단계부터 각종 계획과 절차를 지원해 복잡한 정비사업 절차를 간소화해주는 게 핵심이다. 통상 5년 이상 소요되는 정비구역 지정 절차를 2년으로 대폭 단축시킬 수 있다.', '이번에 신속통합기획이 추가 적용되는 9곳은 중구 신당동 236-100일대(주택정비형 재개발), 양천구 신정동 1152일대(주택정비형 재개발), 구로구 구로 우신빌라(재건축), 영등포구 여의도 시범(재건축), 강남구 대치미도(재건축), 송파구 장미1·2·3차(재건축)·한양2차(재건축), 강동구 고덕현대(재건축), 강북구 미아 4-1(단독주택재건축)이다.', '이들 9곳은 2종7층 등 도시계획 규제를 받거나 지구단위계획과의 정합성 문제, 주민갈등 등으로 오랜 기간 사업이 정체돼왔다. 특히 여의도 시범과 대치미도, 송파 장미1·2·3차는 대규모 재건축단지로 정비업계가 관심을 보여온 곳들이다.', '신속통합기획이 적용되면서 각종 규제도 완화할 것으로 보인다. 여의도 시범의 경우 주거지역 35층, 한강변 첫주동 15층 규제도 유연하게 적용될 것이라고 시는 밝혔다. 노후 빌라단지인 구로 우신빌라도 신속통합기획을 통해 2종 일반주거지역으로 용도지역이 조정돼 용적률과 층수완화 혜택을 받을 것으로 예상된다.', '이번 추가 적용으로 신속통합기획 지역은 신림1구역 등 기존 11곳을 포함해 총 20곳으로 늘었다. 서울시는 이번에 추가된 9곳과 별도로 재개발 완화 6대 대책이 적용되는 민간 재개발 구역 25개 내외를 연말까지 선정한다. 내년까지 총 50개 정비사업지에 신속통합기획을 적용하는 것이다.']"
"현대오일뱅크, 정유공장 최초 폐플라스틱으로 친환경 납사 생산",2021.11.18 11:49,"['현대오일뱅크가 국내 정유 공장 최초로 폐플라스틱 열분해유를 원유 정제 공정에 투입해 친환경 납사(Naphtha)를 생산한다고 18일 밝혔다. 생산된 납사는 인근 석유화학사에 공급돼 새 플라스틱 제품으로 탄생하게 된다.', '열분해유는 폐플라스틱을 고열로 분해해 만들어진 일종의 재생유다. 현대오일뱅크는 우선 100t의 열분해유를 정유공정에 투입해 실증 연구를 수행하고 안전성을 확보한 뒤 투입량을 점차 확대할 계획이다. 이를 통해 폐플라스틱의 반복 사용이 가능한 순환경제 구축에 나선다는 방침이다.', '현행법상 석유정제업자는 폐플라스틱 열분해유를 공정의 원료로 사용할 수 없다. 현대오일뱅크는 올 초 산업통상자원부 및 한국산업기술진흥원(KIAT)에 규제 샌드박스 제도를 신청했고, 지난 9월 ‘실증을 위한 규제특례’를 승인 받았다.', '강달호 현대오일뱅크 대표는 “열분해유 원료 도입은 ESG(환경·사회·지배구조)경영의 일환으로 탄소배출 저감과 국내 폐플라스틱 문제 해결에 기여할 것으로 기대된다”며 “국내 정유사 중 유일하게 보유중인 DCU(열분해공정)를 활용해 향후 연간 5만t 규모의 신규 폐플라스틱 열분해유 공장 설립도 검토중이다”라고 밝혔다.', '폐플라스틱 처리는 전세계적으로 문제가 되고 있다. 세계 최대 폐기물 수입국인 중국은 올해부터 고체 폐기물 수입 전면 금지를 발표했다. 국가간 유해 폐기물 이동을 규제하는 바젤협약의 폐플라스틱 관련 규제도 최근 강화되면서 이제 폐플라스틱은 발생한 국가에서 직접 처리해야한다.', '국내 정유사들은 이러한 추세에 맞춰 폐플라스틱 활용도를 높이는 사업을 발굴하고 있다.', '현대오일뱅크 중앙기술연구원은 물성 개선, 불순물 제거 등을 통해 다양한 열분해유 기반 석유 및 석유화학 제품 생산 방안을 연구중이다. 폐플라스틱 열분해유 투입을 친환경 제품 생산 과정으로 공식 인증 받기 위한 절차도 밟고 있다. ISCC 등 국제 인증기관을 통해 친환경 인증을 받고 생산된 납사는 친환경 제품인 ‘그린납사’로 판매할 예정이다.']"
"현대차·기아, 대형 전기 SUV 콘셉트카 ‘세븐·EV9’ 공개",2021.11.18 14:41,"['현대차와 기아가 17일(현지시간) 미국에서 자율주행차를 염두에 둔 대형 전기 스포츠유틸리티차량(SUV)의 콘셉트카를 공개했다.', '현대차는 이날 캘리포니아주 LA 컨벤션센터에서 열린 ‘2021 LA 오토쇼’에서 대형 전기 SUV 콘셉트카 ‘세븐’을 선보였다. 아이오닉 5·6에 이어 세 번째 도약을 알리는 모델로, 대형 전기 SUV의 비전을 제시한다.', '세븐은 자율주행차에 올라타는 듯한 인테리어를 연출했다. 운전석 쪽 문은 하나지만 동승석 쪽은 중간 기둥이 없는 코치도어를 적용했다. 문이 양옆으로 열려 마치 방으로 들어가는 듯한 기분이 들게끔 했다.', '실내도 집의 거실처럼 꾸몄다. 앞뒤 좌석을 엇갈리게 배치하고 맨 뒷자리는 ‘ㄱ’자 형태의 소파처럼 만들었다. 좌석은 180도 회전과 앞뒤 이동이 가능해 운전 모드, 자율주행 모드 등 상황에 따라 자유롭게 배치할 수 있다. 27인치 디스플레이를 장착한 이동식 콘솔은 가전제품처럼 디자인했다. 또 차량 루프에 설치된 77인치 비전루프 디스플레이로 다양한 콘텐츠를 즐길 수 있다.', '운전석에는 수납돼 있다가 필요하면 올라오는 전자 변속기 ‘컨트롤 스틱’이 탑재됐다. 이 밖에 자외선으로 신발을 살균·소독하는 수납함, 자외선 발광다이오드(LED)를 이용한 차량 실내 소독 기능, 여객기에서 착안한 공기 순환 시스템, 미니 냉장고도 갖췄다.', '이상엽 현대차 디자인담당 전무는 “세븐은 전동화 시대에 SUV가 나아갈 방향을 보여주는 SUEV(Sport Utility Electric Vehicle) 디자인”이라며 “공기역학 디자인에 SUV 특유의 강인한 이미지를 구현했고, 탑승객을 배려한 실내 공간이 가족을 위한 생활 공간이 될 것”이라고 말했다. 세븐은 350㎾급 초급속 충전 시 20분 안에 배터리 용량의 10%에서 80%까지 충전할 수 있다. 1회 충전으로 482㎞ 이상 주행하는 것을 목표로 하고 있다.', '기아도 이날 LA 오토쇼에서 첫 대형 전기 SUV인 ‘EV9’ 콘셉트카를 공개했다. EV6의 뒤를 이을 차세대 전기차 모델로 기아의 미래 모빌리티 비전을 담았다.', 'EV9의 실내도 여유와 휴식에 초점을 맞춰 설계됐다. 동승석까지 배려한 27인치 울트라 와이드 디스플레이를 배치했고, 측면 창문과 1·2열 위를 가로지르는 파노라믹 스카이 루프로 개방감을 확보했다.', '상황에 따라 3가지 모드로 좌석 방향을 변경할 수 있다. 액티브 모드는 통상적인 배열로 1, 2, 3열 모든 좌석이 전방을 향한다. 포즈 모드는 3열은 그대로 둔 채 1열을 180도 돌려 차량 전방으로 최대한 당기고 2열 시트를 접어 탁자처럼 활용한다. 라운지에 있는 것처럼 1열과 3열에서 마주보며 대화하거나 느긋하게 창 밖 자연을 감상할 수 있다. 엔조이 모드는 3열을 180도 돌리고 테일게이트를 열어 3열에 앉아 차량 외부를 보며 쉴 수 있는 모드다.', '카림 하비브 기아 디자인담당 전무는 “탄소 배출이 없는 파워트레인, 최첨단 외장 디자인, 현대적이고 혁신적인 기술을 근간으로 한 실내 공간이 결합됐다”고 설명했다. EV9의 목표 성능 역시 350㎾급 초급속 충전 시 20~30분 안에 배터리 용량의 10%에서 80%까지 충전하고, 1회 충전으로 최대 482㎞를 주행하는 것이다.']"
