title,date,article
"유럽의약품청, 셀트리온 코로나19 치료제 승인 권고",2021.11.12 07:53,"['유럽의약품청(EMA)이 11일(현지시간) 셀트리온의 코로나19 치료제 렉키로나(Regkirona)에 대한 승인을 유럽연합(EU)에 권고했다. 약품이 정식 승인을 받으면 유럽에서 승인받은 최초의 국산 코로나19 항체치료제로 기록될 전망이다.', 'EMA 산하 약물사용자문위원회(CHMP)는 이날 렉키로나를 코로나19에 감염돼 중증으로 전환할 위험이 큰 성인을 치료하는데 사용하도록 승인할 것을 EU 집행위원회에 권고했다. 렉키로나는 국내 기업 셀트리온이 처음 개발한 코로나19 치료제로, 60분간 정맥 주사로 투여해야 한다.', '앞서 렉키로나는 개발된 뒤 사용 국가들을 넓혀왔다. 지난 7월과 8월에는 각각 인도네시아와 브라질 보건당국의 긴급 사용승인을 얻었다. 9월에는 국내 식품의약품안전처로부터 정식 품목허가를 받았으며 지난 5일 기준 127개 병원에서 2만1366명의 환자에게 투여된 것으로 전해졌다.', 'EU 집행위는 향후 CHMP 의견을 받아 1∼2개월 내에 렉키로나의 정식 품목허가 여부를 발표할 것으로 예상된다. 최종 승인을 받으면 렉키로나는 EMA 승인을 획득한 최초의 국산 항체 신약이자, 유럽 대륙의 두번째 코로나19 치료제로 기록될 전망이다. EU는 지난해 미국 길리어드사의 ‘렘데시비르’ 이후 코로나19 치료제의 추가 허가를 내지 않은 것으로 전해졌다.', 'CHMP는 이날 코로나19에 감염돼 중증으로 악화할 위험이 큰 12세 이상 청소년·성인 치료에 미국 제약사 리제네론의 항체치료제 로나프레베(Ronapreve)의 사용을 권고하기도 했다. 로나프레베는 체중이 40kg이 넘는 12세 이상 청소년·성인의 코로나19 예방에도 쓰일 수 있다고 CHMP는 설명했다.', '유럽은 올해말까지 3~5개의 새로운 코로나19 치료제를 확보해 다양한 포트폴리오를 구축하겠다는 계획을 수립했다. 이를 위해 과학적 근거에 기반해 유망한 치료제들의 목록을 작성했으며, 공동구매 준비 등에 활용하고 있다. 렉키로나의 승인 권고도 이같은 계획의 연장선상에 있는 것으로 분석된다.']"
평화·기후 이어 헝가리서 ‘경제외교’ 나선 문 대통령…“전기차 배터리 협력 강화”,2021.11.04 00:58,"['7박9일 일정으로 유럽을 순방 중인 문재인 대통령이 2일(현지시간) 헝가리를 국빈방문했다. 바티칸 공식방문과 이탈리아 주요20개국(G20) 정상회의에서 ‘한반도 평화 외교’에, 영국 제26차 유엔기후변화협약 당사국총회(COP26)에서 ‘기후 외교’에 주력했다면 헝가리에서는 ‘경제 외교’에 공을 들였다. 양국은 전기차 배터리 등 미래 유망산업 분야에서 협력을 강화하기로 했다.', '1989년 옛 동구권 국가 중 처음 수교한 헝가리는 북방외교의 시발점이다. 한국 정상의 헝가리 방문은 2001년 김대중 대통령 이후 20년 만이다.', '문 대통령은 헝가리 국빈방문 이틀째인 3일 공식환영식, 아데르 야노쉬 헝가리 대통령과의 정상회담 및 공동언론발표, 오르반 빅토르 총리와의 업무오찬, 한-비세그라드 그룹(V4) 비즈니스 포럼 등 일정을 수행했다. V4는 1991년 결성된 헝가리·폴란드·체코·슬로바키아 4개국의 지역협의체다.', '문 대통령은 아데르 대통령과의 정상회담 후 공동언론발표에서 양국 관계를 ‘전략적 동반자 관계’로 격상하고 경제·과학기술 및 기후·환경 분야에서 협력을 강화하기로 했다고 밝혔다. 문 대통령은 “전기차 배터리 등 미래 유망산업에서 양국 교역이 확대되도록 노력할 것”이라며 “4차 산업 분야는 물론 기후변화, 디지털, 보건 협력을 더욱 확대할 것”이라고 말했다. 문 대통령은 아데르 대통령이 “대화와 협력으로 한반도 비핵화와 평화를 이루고자 하는 우리 정부의 노력을 변함없이 지지했다”고 밝혔다. 이번 국빈방문을 계기로 양국간 4차 산업혁명 공동대응·보건산업 협력 양해각서(MOU) 등 6건의 문건이 체결됐다.', '이날 오후에는 대한상공회의소, 코트라, 헝가리 수출청 등 주최로 한국과 V4국 기업 간 처음 비즈니스 포럼이 개최됐다. 문 대통령은 기조연설에서 전기차 배터리, 수소 및 바이오·헬스 등 신산업, 인프라 등 분야에서 협력을 강화해 나갈 것을 제안했다. 문 대통령은 헝가리 삼성전자 TV 공장과 현대기아차의 체코·슬로바키아 공장을 호혜적 협력 사례로 언급하기도 했다.', '포럼에는 최태원 대한상의 회장을 비롯해 LG에너지솔루션, 기아차, 포스코, 셀트리온헬스케어, 삼성전자 등 한국 기업 대표 30여명이 참석했다. V4국에서도 주요 기업 인사 70여명이 참석했다. 양측은 코로나19 확산 속에 중요성이 크게 확대된 공급망 구축 문제에서 서로의 신뢰를 재확인했다. 행사 직후 한국과 V4국 기업 간 배터리·자동차·원전·FA-50 수출 등과 관련한 7건의 MOU 서명식도 했다.', '앞서 문 대통령은 전날 부다페스트 도착 직후 2019년 5월 한국인 관광객 등 28명이 사망·실종한 다뉴브강 유람선 침몰사고 추모공간을 찾았다. 문 대통령은 사고 당시 헝가리 정부가 구조·수색에 최선을 다하고 추모공간을 마련해 준 데 감사를 표하며 “앞으로 영원히 양국 국민들의 우정으로 이어질 것”이라고 말했다.', '문 대통령은 4일 제2차 한·V4 정상회의에 참석한 뒤 헝가리 외 V4 국가 정상들과 양자회담을 한다. 문 대통령은 헝가리 일정을 끝으로 유럽 순방을 마치고 5일 귀국한다.']"
백신 허브화 순항…국내기업 6.3조원·싸토리우스 3억불 투자,2021.11.02 14:10,"['국내 바이오 기업들이 2024년까지 백신·원부자재 생산에 총 6조3000억원을 투자한다. 독일 백신 원부자재·장비 기업인 싸토리우스는 3년간 3억달러(약 3500억원)를 들여 한국을 아시아 수출기지로 활용하기로 했다.', '정부는 2일 김부겸 국무총리 주재로 제2차 글로벌 백신 허브화 추진위원회를 열었다. 지난 8월 정부가 발표한 ‘K-글로벌 백신 허브화’ 정책 추진상황을 점검하고 백신·원부자재 초일류 기업 육성방안 등을 논의했다.', '정부는 2024년까지 진행 또는 계획 중인 6조2900억원 규모의 민간 설비투자를 적극 지원하기로 했다. 국내 백신·원부자재 산업을 ‘제2의 반도체 산업’으로 키우기 위해서다. 삼성바이오로직스 4조2400억원, 셀트리온 1조5000억원, SK바이오사이언스 2700억원, 프레스티지바이오로직스 2260억원 등 기업들이 투자 계획을 밝힌 상태다. 투자 계획은 있지만 자금력이 부족한 기업 14곳에 올해 말까지 180억을 지원한다.', '현실과 동떨어진 불합리한 규제는 개선한다. 글로벌 백신 허브화 추진단 내 ‘기업 애로사항 해소 지원센터’가 1차적으로 해결하고, 부처간 이해관계가 첨예한 사안은 국무조정실 민관합동 규제개선추진단에 상정한다. 추진단에 분석특허팀을 신설해 특허 지원도 강화한다.', '이날 사전행사로 독일의 백신 원부자재·장비 기업인 싸토리우스와 산업부·복지부·인천시 간 투자유치 MOU 체결식이 열렸다. 싸토리우스는 향후 3년간 인천 송도에 3억달러를 투자한다. 당초 계획한 1억달러에서 3배 늘어난 규모다. 글로벌 백신 원부자재 기업이 한국에 생산·부대시설을 설립하는 건 지난 9월 미국 싸이타바의 5250만불 투자 결정에 이어 두번째다.', '정부는 “싸토리우스는 일회용백뿐만 아니라 세포배양배지, 제약용 필터, 멤브레인 등 다양한 원부자재를 한국에서 생산해 전 세계 수출의 거점으로 삼는다는 입장”이라며 “한국을 북미, 유럽에 이은 또 하나의 생산 허브로 만들 계획”이라고 밝혔다. 이강호 추진단장은 “한국 정부가 적극적으로 나서고, 한국기업들이 대규모 투자계획을 밝히면서 한국이 아시아 지역에서 가장 적절한 투자처라고 판단해 보다 많은 투자를 결정했을 것”이라고 말했다.', '글로벌 기업들이 한국에 생산 공장을 세우려는 건 코로나19로 공급망을 다변화할 필요성이 커졌기 때문이다. 아시아에서는 한국과 싱가포르, 인도, 중국 등이 기업 유치에 적극적이다. 이 추진단장은 “제약사들에게는 아시아 지역 허브를 어떤 지역으로 선정할 것이냐가 관건인데, 한국이 가장 유력한 국가”라며 “글로벌 제약사들이 관심을 많이 표명하고 있다”고 말했다.', '백신·원부자재 대·중소기업들은 이날 ‘상생협력 민관 공동 협약’을 체결했다. 현재는 백신 기업들이 품질과 기술력 차이로 원부자재·장비를 대부분 수입하고 있지만, 국내 공급망 경쟁력 강화 차원에서 중소기업의 판로 확보에 적극 협력하기로 했다. 연구개발·금융·산업·수출 관련 10대 유관기관은 백신 허브화 조기 달성을 위한 기관장급 협의체를 발족했다.']"
30대 그룹 임원 10명 중 1명은 외부영입···여성 임원은 5% 그쳐,2021.11.01 08:59,"['30대 그룹 상장사 임원 10명 중 1명은 외부에서 영입된 경력직인 것으로 조사됐다.', '중후장대형 제조업 그룹보다는 IT·바이오 등 신산업 그룹에서, 하위 직급보다는 상위 직급에서 외부 영입 임원이 많았다.', '1일 기업분석 연구소 리더스인덱스가 30대 그룹 상장사 197개 기업의 상근 임원(사외이사 제외) 이력을 분석한 결과 전체 7672명 중 11.1%인 845명이 외부 경력 출신인 것으로 집계됐다.', '그룹별로 보면 셀트리온(44.8%)과 카카오(40%)의 경력직 임원 비중이 40% 이상으로 나타났다. IT 서비스·바이오 등 신산업을 중심으로 하면서 연혁이 짧은 그룹의 외부 영입 임원 비중이 높았다.', '경력직 비중이 20% 이상인 그룹으로는 영풍(32.3%), DL(26.92%), 효성(26.36%), CJ(25.19%) 등이 있다. 영풍그룹은 경력직 임원 39명 중 17명이 삼성그룹 계열사 출신이었다.', '10대 그룹 중에는 SK(10.3%), LG(10.6%), 한화(13.9%), GS(12.9%), 농협(18.1% ) 등 5곳이 10% 이상으로 파악됐다. SK를 제외하고는 회장이 바뀐 그룹의 경력직 임원 비중이 높았다.', '삼성 계열 상장사 16개 기업의 임원 1866명 중 외부 출신 임원은 152명인 8.2%였다.', '또 현대차(5.9%), 롯데(2.3%), 포스코(3.4%), 현대중공업(8.5%) 등 중후장대한 사업을 영위하는 그룹의 외부 출신 임원 비중은 상대적으로 작았다.', '경력직 임원들의 출신을 보면 외국계 기업 출신이 207명(24.5%)으로 가장 많았고 관료 출신이 91명(10.8%)으로 그다음을 차지했다. 관료 출신 중에서는 검찰 출신이 57명으로 가장 많았다.', '그 외에 삼성 계열사 출신 83명(9.8%), SK그룹 출신 34명(4.1%), LG그룹 출신 28명(3.3%), 네이버 출신 17명(2.1%) 등의 순이었다.', '여성 임원은 383명으로 전체 임원의 5%였다. 이 중 경력직 임원은 75명으로 전체 여성 임원의 20%를 차지했다. 이는 남성 경력직 임원(11%)과 비교하면 배 가까이 높은 수치다.']"
"코스피 1.29% 하락해 2970선으로 밀려...삼성전자, 역대 최고 실적에도 7만원선 무너져",2021.10.29 16:00,"['코스피가 또 다시 3000 아래로 내려앉았다. 반도체 기업들의 호실적에도 글로벌 공급망 병목과 인플레이션 압력 우려가 해소되지 않아 주가가 3000선 안팎을 오르내리는 조정 국면이 이어지고 있는 것으로 풀이된다.', '29일 코스피는 전날보다 38.87포인트(1.29%) 하락한 2970.68에 장을 마쳤다. 코스피가 종가 기준 3000선 아래로 내려간 것은 지난 5일 이후 17거래일 만이다. 코스피는 이날 전장보다 16.12포인트 높은 3025.67에 거래를 시작해 장중 3030.17까지 올랐으나 외국인과 기관이 매도 물량을 늘리면서 하락으로 전환했다.', '시가총액 상위 종목 대부분이 하락했다. 코스피 대장주 삼성전자는 -1.27% 하락하면서 역대 최대 실적을 발표한 지 하루 만에 ‘7만 전자’가 무너졌다. SK하이닉스도 3.29% 급락하면서 10만3000원으로 떨어졌다. 셀트리온은 6.96%나 떨어졌다. 시총 상위 25개(우선주 제외) 종목 중 이날 주가가 하락하지 않은 것은 카카오(0%)와 SK텔레콤(0%) 뿐이다.', '28일(현지시간) 발표된 애플과 아마존 실적이 글로벌 공급 대란의 영향으로 시장 기대에 미치지 못한 점이 투자심리에 부정적으로 작용한 것으로 풀이된다. 애플은 3분기 매출 833억6000만달러(97조5700억원)를 기록해, 1년 전보다는 29% 증가했으나 시장 기대치(850억달러)에는 못 미쳤다. 아마존은 3분기 매출이 1년 전보다 15% 늘어난 1108억1000만달러(129조7000억원)를 기록했으나 역시 시장 예상치(1116억달러)를 밑돌았다.', '애플과 아마존 실적은 장 마감 후 발표돼 이날 뉴욕증시에는 반영되지 않았다. 애플과 아마존 주식은 장 마감 후 거래에서 각기 3.65%와 3.99% 급락했다. 뉴욕증시는 다우존스30산업평균지수(0.68%), 스탠더드앤드푸어스(S&P)500지수(0.98%), 나스닥지수(1.39%)가 모두 상승으로 마감했다.', '이날 코스닥지수는 전날보다 7.80포인트(0.78%) 내린 992.33에 마감했다. 종가 기준 코스닥지수가 1000선 아래로 내려간 것은 지난 25일(994.31) 이후 4거래일 만이다.']"
배후 수요 풍부 ‘더샵 송도엘테라스’ 144가구,2021.10.24 21:40,"['포스코건설은 인천광역시 연수구 송도동에 주거형 오피스텔과 상업시설이 포함된 ‘더샵 송도엘테라스’를 분양하다고 밝혔다. 오피스텔은 지하 2층~지상 17층, 전용 84㎡ 총 144가구로 조성된다. 상업시설은 지상 1층~2층, 81실 규모다.', '오피스텔은 전 가구 테라스, 초대형 세대마당(일부 호실), 세대 창고 제공 등의 특화설계가 적용된다. 상업시설은 개방형 점포 배치로 인근 상권과의 접근성을 높였다. 오피스텔 도보권에 인접 부지에 SK바이오사이언스의 본사가 이전해올 예정이고, 이미 위치한 삼성바이오로직스와 셀트리온 등 배후수요가 풍부한 편이다. 건물 주변으로 송도세브란스병원도 2026년 개원을 앞두고 있고, 글로벌캠퍼스·연세대 국제캠퍼스·가톨릭대 송도캠퍼스 등 교육 기관이 다수 위치해있다. 향후 GTX-B 노선이 계획돼 있다. 송도와 주안을 잇는 주안송도트램이 2026년 개통 예정이다. 주변으로는 송도를 대표하는 상권인 ‘트리플스트리트’와 바로 맞닿아 있다.']"
코스피 3000선 턱걸이...'7만 전자' 유지,2021.10.18 15:47,"['코스피가 18일 소폭 하락했으나 3000선은 방어했다.', '이날 코스피는 전 거래일보다 8.38포인트(0.28%) 내린 3006.68에 거래를 마쳤다. 지수는 전장보다 2.42포인트(0.08%) 오른 3017.48에서 출발해 하락으로 전환했다. 장중 2990선으로 떨어지기도 했다.', '삼성전자는 전 거래일보다 100원(0.14%) 오른 7만200원으로 마감했다. 이밖에 시가총액 상위 종목 중 네이버(0.76%), 현대차(0.48%), 기아(0.48%)는 상승했다. SK하이닉스(-1.42%), LG화학(-1.08%), 삼성바이오로직스(-1.27%), 카카오(-0.41%), 삼성SDI(-0.98%), 셀트리온(-1.59%) 등은 하락했다.', '코스닥지수는 전장보다 3.32포인트(0.34%) 오른 993.86으로 거래를 마쳤다.']"
코스피 2900선도 위태…원·달러 환율 1190원대 마감,2021.10.06 15:52,"['대외악재가 겹치면서 코스피가 2900선 초반까지 급락하고 원·달러 환율은 급등하며 1200원대에 육박했다.', '6일 코스피는 전날보다 53.86포인트(1.82%) 하락한 2908.31에 장을 마쳤다. 종가 기준으로 올해 최저였던 1월4일(2944.45)보다 낮은 연중 최저점이다. 지난 1일과 5일 각각 1.62%와 1.89% 하락한 데 이어 3거래일 연속 1.6% 이상 급락했다.', '삼성전자(-1.25%), SK하이닉스(-1.43%), LG화학(-0.54%), 삼성바이오로직스(-2.59%), 삼성SDI(-2.06%), 기아(-3.98%), 셀트리온(-2.75%) 등 시가총액 상위 종목들이 대부분 하락했다. 네이버(0.67%), 카카오(1.80%), 현대차(0.26%) 등은 소폭 반등했다.', '코스피는 이날 전날보다 23.89포인트(0.81%) 오른 2986.06에 시작했다. 앞서 5일(현지시간) 뉴욕증시는 전날 낙폭 과다에 따른 반발 매수세에 힘입어 다우존스30산업평균지수(0.92%), 스탠더드앤드푸어스(S&P)500지수(1.05%), 기술주 중심의 나스닥지수(1.25%) 모두 상승 마감했다. 코스피도 이날 반발 매수세가 유입돼 장중 한때 2993.47까지 올랐으나 하락으로 반전해 낙폭을 좁히지 못했다. 코스닥지수는 전날보다 33.01포인트(3.46%) 하락한 922.36에 거래를 마쳤다. 일본 닛케이지수(-1.05%), 대만 자취안지수(-0.41%), 홍콩 항셍지수(-0.31%)등 다른 아시아 증시도 하락했다.', '서울 외환시장에서 원·달러 환율은 전일 종가보다 3.6원 오른 달러당 1192.3원에 거래를 마쳤다. 원·달러 환율이 1190원대에서 마감한 것은 지난해 8월4일(종가 1194.1원) 이후 1년 2개월 만이다. 장중 1192.9원까지 올라 장중 고가 기준으로도 지난해 8월5일(1193.0원) 이후 가장 높았다.', '인플레이션 및 금리상승 우려, 미 의회 부채한도 협상 난항, 전력공급난 및 에너지 가격 상승으로 인한 중국발 리스크 등 대외 악재들이 해소되지 않은 상태에서 뉴질랜드 중앙은행의 금리 인상 등 새로운 불안 요인이 등장해 위험자산 회피 심리가 지속되고 있는 것으로 풀이된다.', '박광남 미래에셋증권 연구원은 “미국 증시 마감을 앞두고 미·중 마찰 이슈가 불거지며 상승폭을 반납했고 뉴질랜드 중앙은행의 금리 0.25%포인트 인상 소식에 매물이 나오기 시작했다”면서 “최근 악화된 투자심리가 악재에 민감하게 반응하는 모습”이라고 말했다. 일본의 불확실한 정치적 리더십과 대만과 중국의 지정학적 긴장감이 고조된 것도 악재로 꼽힌다.']"
코로나19 백신·치료제 상표 출원 108% 증가...'위드 코로나' 가까워지나?,2021.10.05 09:38,"['정부는 전 국민의 70% 이상이 2차 백신 접종을 완료해 집단면역이 형성되는 11월 초쯤 이른바 ‘위드(with) 코로나(단계적 일상회복)’가 가능할 것으로 보고 있다. 일부 전문가들은 먹는 코로나19 치료제가 상용화되는 올 연말쯤에는 ‘완전한 일상으로의 회복’을 이룰 수도 있다는 전망을 내놓고 있다.', '코로나19 장기화하면서 코로나19 치료제 및 백신 관련 상표 출원이 급증하고 있는 것으로 나타났다.', '특허청은 올해들어 8월 말까지 ‘코로나’ 등을 지정상품으로 한 상표 출원 건수가 54건으로 집계됐다고 5일 밝혔다. 지난해에는 1년간 출원된 26건보다 107.7%나 증가한 수치다.', '분기별 출원 건수를 보면 2020년 2분기와 3분기에는 각각 2건과 3건에 머물렀다. 하지만 2020년 4분기 21건, 2021년 1분기 38건, 2분기 16건 등으로 지난해 4분기 이후 급증했다.', '올해 이뤄진 대표적인 코로나19 치료제 관련 상표 출원 사례는 국내 첫 코로나19 치료제인 셀트리온 ‘렉키로나’다. 이 상표는 지난 4월 30일 등록이 완료됐다. 백신 분야에서는 SK바이오사이언스가 ‘스카이코비드19(SKYCOVID19)’라는 상표를 출원했다. 이 상표는 국내 백신 중 처음으로 지난 7월 14일 등록이 완료됐다.', '상품별로 보면, 2020년에는 코로나19 확산 방지를 위한 진단키트·시약·방역기 등에 대한 상표 출원이 많았지만 올해는 바이러스 치료용 백신과 치료제 등의 등록이 많았다. 특히 코로나19 치료제 상표 출원 건수는 지난해 16건에서 올해 8월까지 37건으로 131.3% 증가했다. 백신 관련 상표 출원도 지난해 0건이었지만 올해는 8월까지 13건에 이른다.', '국내·외 출원인별로 보면 국내법인이 2020년 20건에서 2021년 27건으로 35.0% 증가한 데 비해 외국법인은 5건에서 24건으로 380.0% 늘었다.', '김광섭 특허청 심사관은 “임상 시험을 거친 제약사들이 백신, 치료제, 경구용 약제 등의 상용화를 앞두고 있는 데다 외국법인의 국내 상표출원도 이어지고 있어 향후 본격적인 브랜드 선점 경쟁이 벌어질 것으로 예상된다”고 말했다. 김 심사관은 “역사상 최악의 팬데믹이었던 흑사병(페스트)이 페니실린의 발견과 치료제 상용화로 종식됐던 것처럼 상표로 출원된 치료제의 제품화가 하루빨리 성공해 우리의 일상이 회복되기를 기대한다”고 말했다.']"
"올해 주식시장 중소형주, 대형주 수익률 앞질렀다",2021.10.04 12:10,"['올해 주식시장에서 중소형주 수익률이 대형주를 앞지른 것으로 나타났다.', '4일 한국거래소에 따르면, 올해 첫 거래일인 1월4일부터 지난 1일까지 코스피 상승률은 5.07%다. 같은 기간 대형주는 1.61% 오르는 데 그쳤으나 중형주는 17.74%, 소형주는 22.70% 상승했다. 대형주는 시가총액 상위1∼100위, 중형주는 상위 101위∼300위, 소형주는 그 이하 종목들을 가리킨다.', '삼성전자(-9.63%), SK하이닉스(-15.61%), 셀트리온(-30.92%), LG생활건강(-17.84%), SK바이오팜(-40.24%), 엔씨소프트(-36.09%) 등 굵직한 대형주들이 올해 들어 큰 폭으로 하락했다. 반면 일성건설(478.95%), 이스타코(476.07%), 코오롱플라스틱(368.82%) 등 소형주와 넥스트사이언스(418.52%), 효성첨단소재(381.21%) 등 중형주가 뚜렷한 강세를 보였다.', '코스닥 시장에서도 시총 101위∼400위 중형주와 400위 미만 소형주는 각각 3.70%, 10.63% 상승했으나 1∼100위 대형주는 2.49% 하락했다. 코스닥 지수는 올해 들어 지난 1일까지 1.53% 올랐다.', '연초 상승장에서는 대형주가 주가 상승을 주도하고 중소형주는 부진했으나 이후 코스피가 박스권을 벗어나지 못하면서 높은 투자 수익률을 노린 매수세가 중소형주로 이동하는 순환매가 나타난 것으로 분석된다. 대형주는 이미 주가가 많이 올라 추가 상승 여력이 제한된 데다 대형 플랫폼 기업에 대한 규제 이슈마저 불거지면서 상승 동력이 약해졌다. 반면 중소형주는 2차전지를 중심으로 이익 추정치가 상향 조정되고 있다. 규제 이슈와 외국인 순매도에서도 대형주보다 자유롭다.', '중소형주 강세가 당분간 이어질 수 있다는 전망이 나온다. 이은택 KB증권 연구원은 “금리가 상승하면 상대적으로 중소형 성장주에는 불리한 환경이 되고 연말로 가면서 차익실현 욕구도 나타날 수 있으나, 아직은 장기적 금리상승 가능성은 크지 않아 단기 현상에 그칠 것”이라면서 “장기적으로 보면 내년 상반기까지는 중소형 성장주, 특히 콘텐츠, 친환경, 바이오 관련 기술 기업들이 시장을 주도할 가능성이 있다”고 말했다.']"
