title,date,article
"국내 대형건설사들, 정비사업 수주 경쟁 연말까지 치열",2021-11-02 20:03,"대형건설사들이 재건축·재개발 사업뿐 아니라 리모델링, 가로주택 등 다양한 정비사업에 열을 올리고 있다. 현대건설의 충남 아산 용화주공 1단지 재건축 조감도. 현대건설 제공

국내 대형 건설사들이 주택 정비사업 수주에 열을 올리고 있다. 재건축·재개발 뿐 아니라 리모델링, 가로주택 정비사업 등으로 포트폴리오를 넓혀가는 추세다. 연말까지 동작·용산·노원구 등 서울 곳곳에서 대규모 정비사업 수주전이 추가로 벌어질 전망이다.

3일 건설업계에 따르면 현대건설은 지난달 30일 총공사비 1525억원 규모의 충남 아산 용화주공1단지 재건축정비사업을 수주했다. 올해 정비사업 수주액만 3조1352억원을 돌파하며 이른바 ‘3조원 클럽’에 이름을 올렸다. 현대건설은 지난해에도 총 4조7383억원 규모의 정비사업을 손에 넣었었다. 지난해 사업 규모가 1조7000억원에 달했던 한남3구역이 포함됐던 걸 고려하면 올해 추세는 더 빠른 셈이다.

현대건설은 가로주택과 소규모재건축, 리모델링 사업 등 다양한 형태의 주택사업을 따냈다. 지난 1월 경기도 용인 수지 신정마을 9단지 리모델링 사업을 시작으로, 서울 마포구 합정동 가로주택 정비사업(3월), 용산구 한남동 시범아파트 소규모재건축 사업(5월), 삼성물산과 힘을 모은 성동구 금호동 벽산 아파트 리모델링(8월) 사업 등을 얻어냈다.

포스코건설의 서울 신도림 3차 리모델링 사업 조감도. 포스코건설 제공

정비사업 다각화는 대부분 건설사가 눈독을 들이는 분야다. 포스코건설은 지난달 30일 서울 신도림 우성 3·5차 리모델링사업’의 시공사로 선정됐다. 이로써 올해 리모델링 사업으로만 수주액 1조원을 넘어섰다. 포스코건설은 앞서 서울 송파구 가락쌍용1차(2085억원), 수원 삼성태영(2858억원), 용인 수지동부(1778억원), 용인 광교상현마을 현대아파트(1927억원) 등의 리모델링 사업을 수주했다. 2014년부터 리모델링 전담부서를 설립해 누적 수주액이 4조원을 넘겼다.

쌍용건설의 서울 서대문구 홍은동 주택정비사업 조감도. 쌍용건설 제공

리모델링 사업에 오랫동안 공을 들여온 쌍용건설도 포트폴리오를 늘려가고 있다. 쌍용건설은 지난달 말에 사업비 495억원 규모의 서울 서대문구 홍은동 가로주택정비 사업을 따냈다. 쌍용건설은 지난 5월 가로주택정비사업에 진출한 후 경기도 안양과 부산에서 수주했지만, 서울에서 가로주택정비사업을 얻어내기는 처음이다. 쌍용건설도 리모델링과 가로주택정비사업을 중심으로 올해에만 1조5100억원 규모의 사업을 수주했다.

연말에도 치열한 경쟁이 예상된다. 서울 용산구 이촌동 한강맨션 재건축조합은 다음 달 시공사를 선정할 계획이다. 공사비만 6200억원이 들어가는 대규모 사업에 삼성물산과 현대건설, GS건설, 대우건설 등 6곳이 관심을 보였다.

용산구 일대에서는 지난 8월 이촌코오롱 아파트가 리모델링 조합 설립 인가를 받았고 건영한가람 아파트, 이촌공촌 아파트 등이 정비사업을 추진하고 있다.

이택현 기자 alley@kmib.co.kr

▶부동산R114, 중개솔루션 ‘smartR’ 출시
▶이달 5만4798가구 분양… 올 최대 규모


GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
"포항 장성동재개발사업, 기존 시공사 계약해지…시공사 재선정 추진",2021-10-25 15:21,"지난 23일 경북 포항 장성동재개발조합이 임시총회를 열고 기존 시공사와 계약을 해지했다. 독자제공

경북 포항시 장성동 주택재개발정비사업 관련, 재개발조합과 기존 시공사인 포스코건설·태영건설의 계약이 해지됐다. 조합 측은 새로운 시공사 선정에 나서기로 했다.

25일 장성동재개발조합 비대위 측에 따르면 지난 23일 열린 조합원 임시총회에서 ‘시공사 지위해지 및 (본)계약 해지건’이 찬성 228표 반대 173표로 가결됐다. 이날 상정된 나머지 4건의 안건은 모두 부결됐다.

이번 임시총회는 비대위 측이 공사비와 사업비 등에 조합원들의 부담이 가중된다고 이의를 제기해 열렸다. 조합원들은 그동안 적정한 공사비 확정과 사업비 추가 지원 등을 포스코건설 측에 요구했지만, 받아들여지지 않았다.

기존 시공사가 지위를 잃게 되면서 GS건설, 현대건설, 롯데건설 등의 사업 참여 여부가 관심을 끌고 있다.

조합은 26일 긴급 이사회와 28일 대의원회를 소집하고 29일 나라장터에 시공사 입찰 공고를 낼 예정이다.

비대위 측은 조합에 하루빨리 시공자 입찰공고를 내고 조합원들이 바라는 방향으로 사업을 진행할 것을 요청했다.


이 사업은 2019년 조합원 아파트분양 당시, 850명의 토지 보상자(주민) 중 450여명이 분양신청을 하고 나머지 400여명은 현금 청산을 받기로 했다.

주민들이 이주를 한 지 5개월 정도 됐지만, 현금청산자의 이주율은 10%가 안되는 것이 이 사업의 가장 큰 걸림돌이다. 비대위 측은 현금청산자 보상이 앞으로 1~2년 정도 걸릴 것으로 보고 있다.

조합 비대위 관계자는 “시공사 재선정으로 인한 사업 지연은 없을 것”이라며 “특정 건설사를 염두에 두고 있지 않다. 조합원들이 만족할 만한 제안을 하는 곳이 선정될 것으로 본다”고 밝혔다.

포항=안창한 기자 changhan@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
포항 장성동 재개발사업 시공사 교체 되나,2021-10-21 15:43,"경북 포항 장성동 주택재개발정비사업 조감도. 포항시 제공

경북 포항 장성동 주택재개발정비사업을 두고 조합원들이 시공사 교체를 추진하면서 갈등을 빚고 있다.

조합원들은 공사비 확정과 사업비 추가 지원 등을 요구하고 있지만, 시공사 측은 답을 내놓지 않고 있다.

21일 장성동재개발조합 비대위 측에 따르면 오는 23일 임시총회를 열고 ‘시공자(포스코건설, 태영건설) 지위 해지 및 계약 해지의 건’ 등에 대해 의결한다. 조합원 혜택이 터무니없이 적고 공사비를 인상해 조합원 부담이 가중된다는 이유에서다.

비대위는 조합원 450여명 중 300여명이 참여하고 있다. 총회에서 시공자 해지 건이 가결되면 후폭풍이 만만치 않을 전망이다. 비대위에 따르면 GS건설과 현대건설, 롯데건설 등도 이 사업에 큰 관심을 두고 있다.

공사비만 4000억원에 달하는 이 사업은 지난 2019년 조합원 아파트분양 당시, 850명의 토지 보상자(주민) 중 450여명이 분양을 신청했고, 나머지 400여명은 현금 청산을 받기로 했다.

포항시는 올해 4월 13일 관리처분계획 인가 및 고시를 했다. 관리처분인가를 받으면서 사업이 탄력을 받는 듯했지만, 최근 조합 측이 시공사 관계자를 만나 공사비 확정과 사업비 추가 지원 등을 요구했지만 받아들여 지지 않자 시공사에 대한 불신이 커지고 있다.

비대위 관계자는 “시공사인 포스코건설 측이 공사비를 명확하게 결정하지 않아 추후 공사비 인상 요인이 발생하면 조합원들의 부담이 늘어날 것”이라며 “지금이라도 조합원들이 수용할 수 있는 적정한 공사비를 확정해 달라”고 밝혔다.

조합이 추진하는 사업비도 700억원 정도로 현금청산자 보상 등을 위해서는 부족하다는 입장이다. 조합 측은 1400억원 정도를 요구하고 있다.

현금청산 보상금액을 두고도 합의점을 찾지 못하고 있다. 조합은 2019년 감정평가 기준으로 현금청산을, 현금청산자는 현재 부동산거래 가격에 맞는 보상금액을 요구하고 있다.

비대위 관계자는 “포스코건설이 다른 지역(대구시) 재개발을 추진하면서 제시한 조건에 못 미치는 안을 고수하고 있어 조합원들의 반발이 크다”면서 “시공사의 횡포로밖에 볼 수 없다”고 말했다.

포스코건설 관계자는 “시공 지위를 확보하기 위해 끝까지 노력 중”이라며 “조합원들의 의견을 반영한 새로운 안을 내놨다. 최대한 조합원 요구안에 맞춰 사업을 지속하기 위해 최선을 다하겠다”고 밝혔다.

포항=안창한 기자 changhan@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
김교흥 박근혜 정부 뉴스테이 사업 약 5조 민간이익,2021-10-20 17:01,"국회 국토교통위원회 소속 김교흥 의원(더불어민주당, 인천 서구갑)이 20일 박근혜 정부 뉴스테이 사업장 23개를 분석한 결과 민간에게 약 4조8379억원의 막대한 이익이 추정된다고 20일 밝혔다.

사업설계 시 매각가를 바탕으로 현재 인근 아파트 시세로 매각가, 현재 추정 총사업비, 추정 임대수익을 적용했을 때 민간은 6405억 원을 투자해서 7.5배 수익을 거뒀다.

공공재원인 주택도시기금 출자 승인을 위한 기금투자위원회 조건을 기준으로 당초 민간 추정이익은 1조466억원이었으나, 주택가격 상승으로 약 5년여 만에 4.6배 증가한 4조8379억원의 이익이 발생했다.

실제 매각 시점은 2025~2028년이라 부동산가격 상승 시 민간이익이 더 커질 전망이다.

민간에 이익이 상당 부분 돌아간 배경에는 초과이익의 대부분을 민간이 가져가도록 설계하는 등 초과이익에 대한 고려가 전혀 없었기 때문이다.

23개 사업장 중 12개 사업장이 초과이익의 100%를 민간이 가져가도록 설계됐다.

나머지 11곳 가운데 초과이익의 공공 배당 비율이 더 많은 곳은 중흥건설이 중흥에스(S)클래스리버티를 공급한 광주광역시 효천 지구(공공 대 민간 65% 대 35%)가 유일했다. 나머지 10곳은 공공 배당 비율이 최소 10%에서 많아야 35%였다.

사업장별 추정 수익이 많은 순으로 나열하면 e편한세상 도화 5200억 원(투자금 대비 수익률 11배), 신동탄롯데캐슬 4936억원(8배), 동탄 행복마을 푸르지오 4817억원(21배), 김포한강예미지 4444억원(11배), 동탄레이크자이 3265억 원(15배), 문래롯데캐슬 3071억원(15배), 동탄호수공원아이파크 2602억 원(15배), 신동탄SK뷰3차 2402억원(6배), 힐스테이트호매실 2,398억 원(11배), 한화꿈에그린 2381억원(11배), e편한세상테라스위례 2248억 원(14배), 충북혁신도시 우미린스테이 2021억원(11배), 장현마을2단지 1964억원(8배), 동탄2롯데캐슬 1708억원(6배) 등이다.


민간 건설사 순으로는 롯데건설이 9715억 원(9배), 디앨이앤씨(대림산업) 7445억원(10배), 대우건설 4817억원(21배), 금성백조주택 4444억 원(11배), 한화건설 4242억원(3배), GS건설 3265억원(15배), HDC 2602억원(15배), SK건설 2402억원(6배), 현대건설 2398억원(11배), 우미건설 2021억원(11배), 계룡건설산업 1964억원(8배) 등이다.

2015년 도입된 뉴스테이 사업은 박근혜 정부의 민간투자 활성화 방안 중 하나인 기업형 민간임대사업으로 주택규모 등 규제를 최소화하고, 주택기금 출자, 택지, 세제 등 추가지원을 통해 인센티브를 최대화하며 민간투자를 촉발했다.

시공 사업자는 8년 의무임대 기간이 끝난 뒤, 분양 전환으로 매각할 수도 있고 계속 임대도 할 수 있다.

당시 과도한 혜택과 일정 수익을 제외한 대부분의 초과이익이 민간에 돌아가게 설계되어 민간자본의 투자처로 변질되는 것 아니냐는 우려가 지속해서 제기됐다.

이처럼 막대한 이익에도 불구하고 2025~2028년 임대 의무기간이 종료된 후 분양이나 분양 전환 등에 대한 기준과 방법이 없어 민간에게 과도한 개발 이익이 고스란히 돌아가게 된다.

김교흥 의원은 “박근혜 정부의 뉴스테이 사업은 개발이익 환수에 대한 설계도 없이 민간에 특혜만을 부여했다”며 “대부분 공공 기금이 지원된 사업으로 과도한 민간 이득 환수방안에 대한 논의가 필요하다”고 강조했다.

인천=정창교 기자 jcgyo@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
현정부 초기 분양 아파트값 4년새 평균 10억2000만원 뜀박질,2021-10-14 04:06,"13일 부동산 정보업체 경제만랩이 2017년 분양한 서울 아파트 10곳의 분양가 및 올 9월 실거래 내역을 조사한 결과 이들 아파트의 분양가 대비 최근 실거래가는 10억2000만원 오른 것으로 나타났다. 사진은 이날 서울 남산에서 바라본 시내 아파트 모습. 뉴시스

정부가 출범하던 해에 분양가가 4억원대였던 서울의 한 아파트가 최근에 11억원에 팔리고, 고가 빌라(연립·다세대) 거래량이 2배로 뛰는 등 지난 4년 동안 주거 부담이 커졌다는 위험신호가 곳곳에서 감지되고 있다.

13일 부동산 정보업체 경제만랩이 문재인정부가 출범한 2017년 5월부터 12월까지 분양된 서울 아파트 중 지난달에 실거래가 이뤄진 10개 단지를 조사한 결과 이들 아파트 실거래 가격이 분양가 대비 평균 128.3%, 금액으로는 평균 10억2000만원 오른 것으로 나타났다.

최근 실거래가 이뤄진 단지로 한정해 표본이 적지만 대규모 표본을 대상으로 정기 조사해 발표하는 KB국민은행 통계에서도 비슷한 결과가 나왔다. KB국민은행의 월간 주택매매가격 시계열 통계에 따르면 서울의 3.3㎡당 평균 아파트 매매가격은 현 정부가 출범한 2017년 5월 2326만원에서 지난달 4652만원으로 두 배로 늘었다.

분양가 대비 9월 실거래가 상승률이 가장 높은 곳은 2017년 11월 DL이앤씨와 롯데건설이 분양한 서울 은평구 응암동 녹번e편한세상캐슬1차 전용면적 59.97㎡였다. 분양가는 4억4000만원이었는데 지난달 11억7500만원(18층)에 팔리면서 분양가 대비 167%(7억3500만원) 상승했다.

2017년 5월 SK에코플랜트가 분양한 서울 영등포구 신길동 보라매SK뷰 전용 84.98㎡는 6억7000만원에 분양됐는데 올해 9월에 153.7%(10억3000만원) 껑충 뛰어 17억원(13층)에 거래됐다. 2017년 9월 GS건설이 분양한 서울 서초구 잠원동 반포센트럴자이 전용 114.96㎡는 분양가만 19억1000만원에 달했는데 올해 9월 45억원(16층)에 팔렸다. 분양가 대비 25억9000만원(135.6%)이나 오른 것이다.

아파트값이 치솟으면서 빌라 가격도 영향을 받고 있다. 저층 주거지역 재개발이 활성화하고 교통여건이 개선되면서 구축 빌라 매매가격이 오른 데다 아파트 대체 주거지로 주목받는 6억원 이상 ‘고가 빌라’ 가격도 함께 상승세다.

부동산 플랫폼 다방을 운영하는 스테이션3가 국토교통부 실거래가 자료를 분석한 결과 올해 초부터 지난달 10일까지 서울과 경기도 6억원 이상 빌라 매매건수는 3048건으로 전체의 3.5%를 차지하는 것으로 나타났다. 2017년 같은 기간 매매건수(1519건·2%)에 비하면 2배 넘게 증가한 것으로 나타났다.

이택현 기자 alley@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
포항에 K-배터리 선도 이차전지 종합관리센터 오픈,2021-10-13 15:28,"13일 경북 포항 블루밸리국가산업단지에서 열린 이차전지 종합관리센터 준공식 모습. 포항시 제공

경북 포항에 K-배터리 산업의 앵커 역할을 담당할 이차전지 종합관리센터가 문을 열었다.

13일 경북도와 포항시에 따르면 폐배터리 사업화의 실증과 전기차 배터리 산업 육성의 전초 기지 역할을 수행할 이차전지 종합관리센터(이하 센터)가 포항 블루밸리국가산업단지에서 준공식을 갖고 본격적인 운영에 들어갔다.

이날 준공식에는 중소벤처기업부, 경북도, 포항시, 도·시의회, 국회의원, 지역 유관기관 및 배터리관련 기업 대표 등 50여명이 참석했다.

센터는 총 107억원을 들여 지난해 12월 착공했으며 연면적 3549㎡ 규모로 배터리 보관동, 연구동, 사무동으로 구성돼 있다. 앞으로 전기차 사용 후 배터리의 수거·보관·성능검사·등급분류 등을 통해 국가 이차전지 리사이클링 산업의 표준을 마련할 계획이다.

배터리 보관동은 폐배터리 거점수거센터로서 국내 최대 규모(약 1000개)의 사용 후 배터리를 보관하고 잔존가치에 대한 성능평가 및 등급분류를 통해 재사용·재활용 여부를 결정한다.

연구동은 사용 후 배터리의 안전성·신뢰성 확보를 위한 연구개발, 사무동은 사업화 지원 시설 및 기업의 입주공간으로 활용된다.

이번 센터 준공으로 포항은 국내 최초 ‘사용 후 배터리 수거-보관-성능평가 및 등급분류-재활용·재사용’의 전주기 배터리 리사이클링 산업 생태계를 구축하게 됐다.

경북도는 전기차 사용후 배터리 자원순환 클러스터 구축사업 및 녹색융합클러스터 지정과 연계해 센터를 배터리 재활용·재사용 산업의 거점으로 녹색산업을 선도한다는 구상이다.

포항은 2019년 7월 영일만일반산업단지 및 블루밸리국가산단 일원이 배터리 규제자유특구로 지정된 후 GS건설, 에코프로, 포스코케미칼 등 대규모 기업투자가 이어지고 있다.

이강덕 포항시장은 “지난 7년간 포항의 산업구조 다변화를 위한 신성장산업 발굴 및 육성에 혼신의 힘을 기울여 왔다”면서 “앞으로 정부지원 연계로 이차전지 소재 기업 집적화 등 이차전지 산업 기반 구축으로 배터리산업 중심도시 도약에 매진하겠다”고 밝혔다.

포항=안창한 기자 changhan@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
현 정부 출범시 4억4000만원 아파트 4년 새 10억원 올랐다,2021-10-13 11:44,"서울 남산에서 바라본 서울 강남구와 송파구 일대 아파트 단지 모습. 연합뉴스

현 정부가 출범하던 해에 분양가가 4억원대였던 서울의 한 아파트가 최근에는 11억원에 팔린 것으로 나타났다. 강남 일대 고가 아파트는 상승 폭만 20억원 이상이었다. 통계상 집값 상승률이 다소 정체될 때마다 집값이 곧 안정될 거란 해석이 나오지만, 지난 4년 동안의 상승 폭은 이처럼 매우 가팔랐다.

13일 부동산 정보업체 경제만랩이 문재인 정부가 출범한 2017년 5월부터 12월까지 분양된 서울 아파트 중 지난달에 실거래가 이뤄진 10개 단지를 조사한 결과 이들 아파트 실거래 가격이 분양가 대비 평균 128.3%, 금액으로는 평균 10억2000만원 오른 것으로 나타났다.

최근 실거래가 이뤄진 단지로 한정해 표본이 적지만, 대규모 표본을 대상으로 정기 조사해 발표하는 KB국민은행 통계에서도 비슷한 결과가 나왔다. KB국민은행의 월간 주택매매가격 시계열 통계에 따르면 서울의 3.3㎡당 평균 아파트 매매가격은 현 정부가 출범한 2017년 5월 2326만원에서 지난달 4652만원으로 두 배로 늘었다.

분양가 대비 9월 실거래가격 상승률이 가장 높은 곳은 2017년 11월 DL이앤씨(현 대림산업)와 롯데건설이 분양한 서울 은평구 응암동 녹번e편한세상캐슬1차 전용면적 59.97㎡였다. 분양가는 4억4000만원이었는데, 지난달 11억7500만원(18층)에 팔리면서 분양가 대비 167%(7억3500만원) 상승했다.

2017년 5월 SK에코플랜트(현 SK건설)가 분양한 서울 영등포구 신길동 보라매SK뷰 전용 84.98㎡는 6억7000만원에 분양됐는데, 올해 9월에 153.7%(10억3000만원) 껑충 뛰어 17억원(13층)에 거래됐다.

2017년 9월 GS건설이 분양한 서울 서초구 잠원동 반포센트럴자이 전용 114.96㎡는 분양가만 19억1000만원에 달했는데, 올해 9월 45억원(16층)에 팔렸다. 분양가 대비 25억9000만원(135.6%)이나 오른 것이다.

황한솔 경제만랩 리서치연구원은 “서울 새 아파트에 대한 수요는 많지만 공급이 원활하게 이뤄지지 못하면서 새 아파트의 몸값이 고공행진하고 있는 분위기”라며 “정부의 즉각적이고 획기적인 공급확대 대책이 필요해 보인다”고 말했다.

이택현 기자 alley@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
포항에 GS건설 이차전지 리사이클링공장 들어선다,2021-09-15 15:30,"15일 경북 포항 영일만4 일반산업단지에서 GS건설 자회사인 에네르마의 리튬이온전지 리사이클링 공장 착공식이 열렸다. 포항시 제공

경북 포항시는 15일 포항 영일만4 일반산업단지 내 배터리 리사이클링 규제자유특구에서 GS건설 자회사인 에네르마의 리튬이온전지 리사이클링(재활용) 공장 착공식을 가졌다고 밝혔다.

이날 착공식에는 이철우 경북도지사, 이강덕 포항시장, 허윤홍 GS건설 신사업부문 대표이사, 유관기업체 관계자 등 40여명이 참석했다.

에네르마는 2023년까지 1500억원을 투입해 영일만 4일반산업단지 내 12만㎡ 부지에 연간 4000t 규모의 리튬, 코발트, 니켈, 망간 등 희귀금속 추출·생산시설을 갖출 예정이다. 향후 연간 1만t 규모로 생산량을 늘릴 계획이다.

GS건설의 이차전지 리사이클링 사업은 지난해 1월 대통령이 직접 참석한 투자양해각서(MOU) 체결식을 통해 가시화 됐으며, 같은 해 10월 자회사인 에네르마를 설립했다.

이번에 추진하는 배터리 리사이클링 사업은 대부분 중국에 의존하고 있는 값비싼 리튬, 코발트, 니켈, 망간 등의 배터리 원료를 사용 후 배터리나 제조 과정에서 나온 배터리 스크랩에서 추출해 재활용하는 기술이다.

이번 공장 착공으로 배터리 핵심소재 원료의 국산화 발판을 마련함으로써 중국 의존도와 전기차 가격을 낮출 수 있을 것으로 기대한다.

경북도와 포항시는 4차 산업혁명을 선도할 이차전지산업을 새로운 먹거리 산업으로 육성하기 위해 배터리 리사이클링 규제자유특구 지정과 사용 후 배터리 자원순환 클러스터 구축사업도 추진하고 있다.

오는 10월에는 포항블루밸리 국가산업단지 내 배터리 실증 및 종합관리를 위한 이차전지 종합관리센터도 준공 예정이다.

이강덕 포항시장은 “포항은 리튬, 니켈 등 원료 확보, 양·음극재 생산, 리사이클링에 이르는 이차전지 밸류체인 형성으로 타 도시와는 차별화된 경쟁우위의 입지를 굳히게 됐다”라고 밝혔다.

포항=안창한 기자 changhan@kmib.co.kr

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
‘강서 금호어울림 퍼스티어’ 온라인 견본주택 오픈,2021-09-14 19:13,"금호건설과 GS건설, 대지건설 컨소시엄은 서울 첫 민간 브랜드 신혼희망타운 ‘강서 금호어울림 퍼스티어’의 온라인 견본주택이 14일 문을 열었다.

견본주택은 ‘강서 금호어울림 퍼스티어’ 홈페이지를 통해 온라인으로 오픈하며, 실제 견본주택은 청약 당첨자만 입장할 수 있다. 청약은 LH 청약센터 홈페이지에서 진행하며, 청약 일정은 오는 27~28일 2일간 이뤄진다. 당첨자는 다음 달 6일에 발표한다.

단지는 서울 강서구 화곡동 980-19번지에 있으며, 지하 2층, 지상 최고 25층, 5개 동, 전용면적 49~59㎡ 523가구 규모다. 이번 분양물량은 49㎡A 147가구, 49㎡B 32가구, 55㎡A 38가구, 59㎡A 31가구, 59㎡B 100가구 총 348가구다.

청약 기본 자격은 공고일부터 입주할 때까지 무주택가구 구성원으로서 혼인 기간이 7년 이내 이거나 6세 이하 자녀를 둔 신혼부부, 1년 이내에 혼인 사실을 증명할 수 있는 예비 신혼부부, 6세 이하 자녀를 둔 한부모 가정이 공급받을 수 있다.

이택현 기자

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
"부동산원, 건설사 3곳과 온실가스·에너지 감축 협약",2021-09-14 19:12,"한국부동산원은 지난 10일 온실가스 목표관리업체인 현대건설, GS건설, 대우건설과 온실가스·에너지 감축 목표 협약을 체결했다고 14일 밝혔다.

온실가스·에너지 목표 관리제는 저탄소 녹색성장 기본법에 따라 건설업 부문의 건설사를 대상으로 온실가스 감축 및 에너지 절약 목표를 설정하고 배출량과 소비량을 관리하는 제도다.

부동산원은 국토교통부로부터 실무 대행기관으로 지정돼 지난해부터 건설사의 온실가스 감축 목표의 차질 없는 이행을 위해 업체별 특성 등을 고려한 맞춤형 서비스를 제공하고 있다. 이번 협약을 통해 온실가스 목표관리업체인 현대건설, GS건설, 대우건설 등 3개 건설사는 2022년도 온실가스·에너지 1만5005 tCO2eq(온실가스를 이산화탄소 배출량으로 환산한 단위)를 감축하기로 했다.

부동산원은 앞서 2019년에는 HDC현대산업개발, 코오롱글로벌, 한라와 협약을 맺었고 지난해에는 포스코건설, DL E&C, 삼성엔지니어링, 일성건설과 협약을 맺어 감축 계획을 세웠다.

온실가스 관리체계 및 제도이행 능력을 보유한 주요 건설사(목표관리업체 3개사)와 자발적 감축 업무협약 건설사는 건설현장에서의 온실가스·에너지 배출량 및 소비량을 선도적으로 관리해 건설업 부문의 저탄소 사회 구조를 구축해나갈 예정이다.

부동산원 관계자는 “건설업 부문 온실가스 감축 및 친환경 건설현장을 구현하는데 기여할 것”이라며 “국토교통부와 함께 선도적인 건설사들과 협력하여 2030년 국가 온실가스 감축목표 달성과 2050 탄소중립에 적극 기여할 수 있도록 최선을 다하겠다”고 밝혔다.

이택현 기자

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
