title,date,article
"CJ제일제당, 미래 먹거리 위한 스타트업 투자 본격화",2021.11.17 12:37,"['[매일일보 최지혜 기자] CJ제일제당은 올해 국내외 스타트업들과 미국 대체 단백 전문 펀드 등 10개 기업과 단체에 투자했다고 17일 밝혔다. 올해부터 전문 조직을 구성해 직접투자에 나선 것이다. 빠르게 진보하는 기술과 트렌드의 변화를 사업 관점에서 이해하고, 기존 사업과의 시너지를 강화해 미래 성장동력을 선제적으로 확보하기 위해서다.', '새롭게 투자한 글로벌 스타트업은 미요코스 크리머리(Miyoko’s Creamery), 플렌터블(Plantible), 시오크밋(Shiok Meats) 등 미래 대체식품관련 기업이다. 또 글로벌 대체단백 전문펀드 중 최대 규모인 우노비스(Unovis)에도 투자해 시장 동향을 파악하고 유망 스타트업의 투자 및 협업을 추진하고 있다.', '국내 스타트업의 경우 케어위드, 리하베스트 등 다양한 식품영역에 투자해 기존 사업과의 협업 기회를 모색했다. 지난 6월부터는 글로벌 엑셀러레이터 스파크랩과 협업한 스타트업 발굴 육성 프로그램 ‘프론티어 랩스’를 진행하고 있다. 이를 통해 선발된 잇그린, 엘로이랩, 베러먼데이의 경우 데모데이 이후 추가 후속 투자를 결정할 계획이다.', '투자 전문성과 실행력을 높이기 위한 내부 전담 조직도 구성했다. CJ제일제당은 지난 4월 ‘뉴 프론티어팀’을 꾸려 반 년 만에 국내외 식품 분야의 다양한 투자 성과를 올렸다. 이어 9월에는 바이오사업부문에 ‘테크 브릿지팀’을 신설, 아일랜드 생명공학기업 누리타스(Nuritas)에 투자했다. CJ제일제당은 사내 전문 조직이 갖춰진 만큼 식품·바이오 분야의 유망 스타트업을 발굴해 투자하고 외부 혁신기술 확보와 기술 협업에 속도를 낼 계획이다.', 'CJ제일제당 관계자는 “혁신하지 않는다면 생존을 담보할 수 없는 국내외 사업 환경 속에서 ‘스타트업의 도전 정신’과 ‘유연한 대응력’은 미래 성장동력 확보에 필수적인 요소”라면서 “앞으로도 현실에 안주하지 않고 변화와 혁신을 이어가기 위한 새로운 시도를 지속할 것”이라고 말했다.', '']"
"식품업계, 3분기 실적 ‘우울’… 원자재·물류비 부담",2021.11.15 18:29,"['[매일일보 한종훈 기자] 식품회사들이 3분기에 부진한 성적표를 받아들인 것으로 나타났다. 원자재 가격과 물류비 상승 부담이 실적 부진으로 이어진 것으로 분석된다.', '먼저 농심은 연결 기준 올해 3분기 영업이익이 291억원으로 지난해 동기보다 0.7% 줄었다고 15일 공시했다. 매출은 6730억원으로 3.3% 늘었지만, 당기순이익은 253억원으로 14.3% 줄었다.', '삼양식품은 3분기 매출이 1617억원으로 3.2% 줄고 영업이익은 152억원으로 35.0% 감소했다. 업계는 밀가루와 팜유 등 원자재 비용과 물류비 부담으로 영업이익이 감소한 것으로 분석했다. 라면과 함께 가정간편식(HMR) 등을 주로 판매하는 오뚜기는 영업이익이 644억원으로 6.4%, 매출은 7068억원으로 3.7% 증가했다.', '제과업체들도 실적 부진에서 벗어나지 못했다. 해태제과식품은 올해 3분기 영업이익이 51억원으로 지난해 동기보다 37.0%, 롯데푸드는 173억원으로 17.3% 감소했다. 롯데제과는 449억원으로 6.0%, 빙그레는 184억원으로 11.9% 각각 줄었다.', '남양유업은 3분기에 230억원의 영업손실을 내 지난해 동기(-146억원)보다 적자가 더 확대됐다. 매일유업은 영업이익이 222억원으로 1.6% 늘긴 했지만 소폭에 그쳤다. 한 식품업계 관계자는 “원자재 가격과 해상운임 등이 오른 것이 영업이익에 가장 크게 영향을 미쳤다”고 말했다.', '이 밖에 대상의 3분기 영업이익은 359억원으로 지난해 동기보다 37.4% 줄었고 동원산업은 696억원으로 25.5% 감소했다. CJ제일제당(4천332억원·7.7%), SPC삼립(139억원·4.6%), 오리온(1천142억원·5.9%) 등은 영업이익이 늘었으나 증가율이 한 자릿수에 그쳤다.', '주류업체는 희비가 엇갈렸다. 하이트진로는 3분기 영업이익이 449억원으로 30.3% 줄어든 반면 롯데칠성음료는 854억원으로 46.3% 늘었다.', '', '']"
"CJ제일제당, HDC현대EP와 화이트바이오 합작법인 설립",2021.11.14 14:16,"['[매일일보 최지혜 기자] CJ제일제당이 국내 고분자 컴파운딩 1위 기업 HDC현대EP(Engineering Plastics)와 바이오 컴파운딩 합작법인(JV)을 설립한다. 이를 통해 화이트바이오 사업 다각화에 적극 나선다는 방침이다.', '14일 CJ제일제당에 따르면 지난 12일 ‘바이오 컴파운딩 합작회사 설립을 위한 본계약(JVA)’이 체결됐다. 서울시 중구 CJ인재원에서 진행된 체결식에는 최은석 CJ제일제당 대표이사와 정중규 HDC현대EP 대표이사 등 양사 경영진이 참석했다. 양사는 이듬해 3분기 본 생산 개시를 목표로 HDC현대EP가 보유중인 충북 진천소재 공장에 약 240억원 규모의 설비 투자를 진행할 예정이다.', '합작법인은 국내에서 유일하게 CJ제일제당만 생산 가능한 해양 생분해 플라스틱 소재 PHA(polyhydroxyalkanoate)를 비롯해, PLA(Polylactic acid,)∙PBAT(Polybutylene adipate terephthalate)∙셀룰로오스 등의 생분해 소재를 활용해 컴파운딩 솔루션 개발과 바이오플라스틱 대량생산에 나선다. 이를 통해 기존 석유화학 원료를 바이오 원료로 대체하거나, 생분해 소재를 혼합해 식품 포장재와 자동차 내장재 등 생활과 밀접한 분야에 적용할 수 있는 제품 및 기술 개발을 추진할 계획이다.', 'CJ제일제당은 자사가 보유한 최고 수준의 미생물 발효∙정제 기술과 HDC현대EP의 친환경 소재 컴파운딩 역량이 결합되면서 사업적 시너지가 크게 발휘될 것으로 기대하고 있다. 아울러 CJ제일제당은 친환경 바이오플라스틱 전반으로 화이트바이오 사업 영역을 확대하고, 대량생산 역량도 확보할 수 있을 전망이다. HDC현대EP는 PHA를 비롯한 차별화된 친환경 소재를 안정적으로 수급할 수 있게 됐다.', '최은석 CJ제일제당 대표이사는 “CJ제일제당의 축적된 바이오 기술 및 마케팅 역량과 HDC현대EP의 경쟁력이 결합돼 다양한 친환경 컴파운딩 사업 시너지를 발휘할 것”이라며 “글로벌 고객사의 ESG 목표와 정부의 탄소중립 정책을 실현할 수 있는 ‘플라스틱 순환경제 솔루션’을 제공할 수 있을 것으로 확신한다”라고 말했다.', '정중규 HDC현대EP 대표이사는 “양 사 협업을 통한 차별화된 친환경 소재의 개발은 플라스틱 순환 경제 기조 하에서 지속 가능한 생태계를 만들고 경쟁력을 확보할 수 있는 계기가 될 것”이라고 밝혔다.', '합작법인 설립에 따라 CJ제일제당의 화이트바이오 사업 경쟁력 강화에도 속도가 붙을 전망이다. CJ제일제당은 내년 본 생산을 목표로 인도네시아 파수루안 바이오공장에 연간 5000t 규모의 PHA 전용 생산라인을 구축하고 있다. 향후 다양한 글로벌 기업과 바이오 소재 관련 협업을 추진하면서 화이트바이오 분야 사업 포트폴리오를 확대할 방침이다.', '한편 HDC그룹의 석유화학 전문 계열사인 HDC현대EP는 자동차, 가전, 건축자재 등에 사용되는 다양한 컴파운딩 소재 및 플라스틱 사업을 통해 그룹의 핵심계열사로 자리매김해왔다. ', '']"
국내 채식인구 200만? 글로벌은 2억… 물 건너는 국내 대체육,2021.11.14 14:13,"['[매일일보 최지혜 기자] 국내 식품업계가 자체적으로 개발한 대체육 관련 기술이 해외에서 주목받고 있다. 실제 제품으로 구현돼 수출이 이뤄지면서 국내 식품기업의 R&D(연구‧개발) 성과가 나타나고 있다. 글로벌 식물성 식품 시장이 성장함에 따라 대체육 시장에서 입지를 다지려는 식품업계의 전략이 주목 받는다.', '14일 유통업계에 따르면 국내에서 개발된 대체육 관련 기술과 제품이 글로벌 시장으로 진출하고 있다. 글로벌 비건식품 시장이 국내보다 큰 규모로 성장했기 때문이다. 최근 국내 채식주의자는 200만명 규모로 성장했으나 이는 2억명에 달하는 글로벌 채식인구에 비하면 미미한 수준이다. 시장조사업체 유로모니터에 따르면 지난해 국내 대체육 시장 규모는 약 102억원으로 전년에 비해 24.3% 성장했으나 약 10억달러(한화 약 1조2000억원)에 달하는 미국에 견주기는 힘들다.', 'CJ제일제당은 맛 소재 분야에서 ‘테이스트엔리치((TasteNrich)’, 향 소재 분야에서 ‘플레이버엔리치(FlavorNrich)’를 차세대 제품으로 삼고 성장에 주력하고 있다. 이들 브랜드는 첨가물이나 인위적 공정 없이 식물성 대체육의 고기 식감 구현에 필요한 식품소재를 개발한다. 지난해 5월 출범한 테이스트앤리치는 1년간 누적 매출액 200억원을 넘겼으며 현재 33개국의 120여개 업체와 거래계약을 체결하며 글로벌 시장에 안정적으로 진입했다.', '플래이버엔리치는 이달 미국 최대 규모의 비건 인증기구 ‘비건액션(Vegan Action)’의 비건 인증을 받았다. 비건액션은 미국 최초의 비건관련 비영리단체로, 북미 지역에서 가장 권위있는 비건 인증 기관이다. 플레이버엔리치가 받은 비건 인증은 연구‧개발과 생산 단계에서 동물 실험 진행과 동물성 재료 사용을 배제한 제품 및 브랜드에만 부여된다.', '같은 인증을 취득한 CJ제일재당의 식품소재 ‘시스테인(L-Cysteine)’은 최근 고기 본연의 향을 구현할 수 있다는 장점이 부각돼 대체육을 비롯한 비건 식품에 활용되고 있다. 회사는 올해 3월 세계 최초로 기능성 아미노산인 시스테인(L-Cysteine)을 비(非)전기분해 방식으로 대량생산하는 기술을 확보해 상용화에 성공했으며 현재까지도 세계에서 유일하게 전기분해 없이 미생물 발효공법을 기반으로 시스테인을 생산하고 있다.', '풀무원은 풀무원기술연구원이 개발한 식물성 대체육을 미국 시장에 선보이고 있다. 풀무원이 개발한 대체육은 콩에서 추출한 식물성조직단백을 바탕으로 고기의 맛과 향을 구현한 제품이다. 회사는 이를 기반으로 올해 상반기 국내 시장에 ‘두부텐더’를 포함한 식물성 고기 제품 9종을 선보였다.', '미국 법인 풀무원USA는 올해 3월 글로벌 식물성 대체식품을 겨냥한 브랜드 ‘플랜트스파이어드(Plantspired)’를 론칭했다. 회사는 이 브랜드를 통해 미국 최대 학교 급식 서비스인 매사추세츠대 다이닝(UMass Dining)과 파트너십을 체결하고 다양한 식물성 대체육 제품을 매사추세츠대 애머스트캠퍼스에 공급하고 있다. 또 미시건대, 버지니아공대, 예일대 등의 현지 대학들과 파트너십을 체결해 지속 가능한 식단 메뉴 개발을 협의 중이다.', '신세계푸드도 독자 기술로 개발한 식물성 대체육 브랜드 ‘배러미트(Better meat)’를 론칭했다. 배러미트의 첫 제품 콜드컷은 콩과 해조류로 돼지고기를 구현한 대체육 햄이다. 신세계푸드는 향후 소시지, 불고기, 햄 등 다양한 라인업을 단행하고 다양한 글로벌 식품 브랜드와 협업을 통해 판매채널을 확대한다는 계획이다.', '']"
"일상 회복 준비하는 유통업계, ‘채용 늘리고 해외사업 확대’",2021.11.14 11:26,"['[매일일보 강소슬 기자] 위드코로나가 본격화되면서 유통업계도 경영 정상화를 위해 채용을 늘리고, 본격적인 해외사업을 확대를 꾀하는 등 일상 회복을 준비하고 있다.', '15일 업계에 따르면, 유통업계는 최근 온라인과 오프라인 모두 매출이 전년 대비 크게 증가세를 보이고 있다. 이베이코리아가 이번달 G마켓과 옥션, G9에서 진행한 ‘빅스마일데이’ 행사의 1인당 구매금액이 전년대비 평균 7% 증가했으며, 11번가가 진행한 ‘십일절’ 행사 첫날인 1일 하루 거래액이 전년동일대비 40% 증가했다. ', '지난달 진행한 ‘2021 대한민국 쓱데이’에서 오프라인인 신세계백화점은 전년대비 매출액이 104% 증가했으며, 이마트는 9% 증가했다. 롯데아울렛이 진행한 ‘롯데아울렛 메가 세일’ 매출액 역시 전년보다 24.1% 증가했다.', '이렇듯 온라인은 물론 오프라인까지 소비가 확대되자 롯데그룹, 신세계, 현대백화점 그룹은 일제히 신입사원 채용을 진행했다.', '롯데그룹의 유통 계열사인 롯데백화점은 창사 이래 처음으로 올해 희망퇴직을 실시했으며, 롯데마트도 올해 들어서만 두 차례 희망퇴직을 진행했다. 코로나19로 가장 크게 위축됐던 롯데면세점은 지난 4일부터 14일까지 경영 정상화 준비를 위해 1년 만에 신입사원 채용을 진행했다. 500여명의 희망퇴직을 진행했던 롯데백화점도 지난달 약 80명의 인턴사원을 선발했으며, 오는 21일까지 2021년 하반기 신입사원을 채용한다고 밝혔다.', '신세계그룹도 신세계백화점, 이마트, SSG닷컴, 스타벅스커피코리아, 신세계인터내셔날, 신세계프라퍼티, 신세계푸드, 신세계건설, 신세계사이먼, 신세계DF, 신세계까사, 신세계아이앤씨, 신세계L&B, 신세계센트럴시티 등 14개 계열사가 참여하는 공개채용을 실시했다. 특히 지난해 창사 이래 처음으로 공채를 건너뛴 이마트도 신입 채용을 진행했다.', '현대백화점그룹 역시 하반기 대졸 신입 공채를 진행한다. 백화점과 홈쇼핑 면세점, 그린푸드가 대상이며, 4개 계열사 모두 포스트 코로나 시대에 대비해 글로벌 부문 인력을 뽑는다.', '국내에서 채용을 늘린 유통업계는 코로나19 장기화로 주춤했던 해외 사업들에 다시 시동을 걸고 있다.', '롯데면세점은 1년 넘게 공사를 중단했던 싱가포르 창이국제공항 매장의 공사를 최근 재개했으며, 오픈이 연기됐던 베트남 다낭시내점과 하노이시내점, 호주 시드니 시내점 등 3개 해외면세점 개점 시기를 조율 중이다.', 'CU는 올해 4월 국내 편의점 최초로 말레이시아에 1호점을 연 뒤 9월까지 5개 점포만 운영하다 지난 10월 한달 간 15개 점포를 새로 오픈했다. 지난 6월 쿠알라룸푸르에 1호점을 내며 말레이시아에 진출한 이마트24도 지난달 말레이시아 대학가에 다섯 번째 매장을 오픈하며, 해외시장 확대에 속도를 내고 있다.', 'CJ제일제당은 지난 7일 일본에서 만두 6종 제품명을 ‘교자’에서 ‘만두’로 변경하고, 일본 시장에 만두를 성공적으로 안착시키기 위해 내년 1월까지 도쿄 시부야에 팝업 스토어를 운영하는 등 다양한 현지 마케팅 활동을 진행하겠다고 밝혔다. \n ', '']"
"CJ제일제당, 바이오 위탁개발생산 진출… 네덜란드 기업 ‘바타비아’ 지분 76% 인수",2021.11.09 07:30,"['[매일일보 최지혜 기자] CJ제일제당은 8일 오후 이사회를 열고 네덜란드의 바이오 CDMO(위탁개발생산) 기업 Batavia Biosciences(바타비아 바이오사이언스)의 지분 약 76%를 2677억원에 인수하는 안건을 의결해 공시했다.', '기존 바타비아 대주주는 2대 주주이자 회사 경영진으로 남아 사업 운영을 계속하며 CJ그룹의 일원으로 새로운 성장 전략 실행에 참여한다. 양사는 연내 인수 절차를 마무리할 계획이다.', '차세대 바이오 CDMO란 세포·유전자 치료제, 항암바이러스 치료제 등 차세대 바이오 의약품 개발 회사에서 일감을 받아 원료의약품, 임상시험용 시료, 상업용 의약품을 생산하는 사업을 말한다.', '이번 인수를 통해 CJ제일제당은 세포·유전자 치료제, 항암 바이러스 치료제 등 차세대 바이오 의약품 개발 회사에서 일감을 받아 원료의약품, 임상시험용 시료, 상업용 의약품을 생산하는 사업을 하게 된다. 이번 인수는 지난 3일 이재현 CJ그룹 회장이 중기비전을 통해 향후 3년간 미래혁신성장 분야에 10조원 이상을 투자하겠다고 밝힌 이후 나온 첫 결과물이다.', '바타비아는 글로벌 제약사 얀센 백신의 연구개발과 생산을 맡았던 경영진이 2010년 설립했다.  이 회사는 바이러스 백신 및 벡터(유전자 등을 체내 또는 세포 내로 전달하는 역할을 하는 물질)의 효율적인 제조 공정을 개발하는 독자 역량을 가지고 있어, 코로나 팬데믹 이후 유전자 치료제 및 백신 제조 산업이 급부상하면서 특히 주목받고 있다.', '바타비아는 유럽에서 가장 연구개발·투자가 활발한 과학단지 중 하나인 네덜란드 레이던(Leiden)에 본사와 GMP(의약품 제조 및 품질관리 기준) 시설이 있다. 보스턴과 홍콩에도 각각 R&D(연구·개발)센터와 아시아 영업사무소를 보유하고 있어 글로벌 진출을 위한 기반을 갖췄다.', 'CJ제일제당 관계자는 “글로벌 제약바이오 기업들이 세포·유전자 신약 개발에 활발히 나서고 있지만, 이를 위한 제형·제조 공정 기술 및 생산 인프라까지 갖춘 곳은 드물다”면서 “바타비아는 바이러스 백신ㆍ벡터 생산성 향상을 위한 핵심기술과 제조 역량을 바탕으로 고객사들과 장기간 파트너십을 구축하고 있다”고 했다.', 'CJ제일제당은 이번 바타비아 인수로 글로벌 유전자치료 위탁개발생산(CGT CDMO) 시장에 진입하며 기존 레드바이오 사업 포트폴리오를 확장하게 됐다.', 'CJ제일제당 관계자는 “앞으로 신속한 설비 확장 등 투자를 통해 글로벌 바이오 의약품 생산기지로 도약을 준비할 것”이라고 말했다. ', '']"
"CJ제일제당, 분기 매출 첫 4조원 돌파… 영업익 3222억원 기록",2021.11.08 16:35,"['[매일일보 최지혜 기자] CJ제일제당은 올해 3분기 매출이 전년 동기 대비 12.7% 성장한 4조2243억원, 영업이익은 3.3% 늘어난 3222억원을 기록했다고 8일 밝혔다. CJ제일제당이 한 분기에 매출 4조원을 돌파한 것은 처음으로, 양대 축인 식품과 바이오 사업 글로벌 실적 호조가 성장을 견인했다.', '같은 기간 CJ대한통운을 포함한 연결기준 매출은 전년 동기 대비 8.1% 증가한 6조8541억원, 영업이익은 7.7% 늘어난 4332억원을 달성했다.', '식품사업부문의 매출액은 전년 동기 대비 7.9% 증가한 2조5790억원, 영업이익은 5.8% 증가한 1860억원이다. 국내에서는 비비고∙햇반∙고메 브랜드를 앞세운 가정간편식(HMR)이 기존 시장지위를 유지했다. 미국, 일본, 중국 등 해외에서는 만두∙미초를 비롯한 주력 제품의 판매 확대가 매출 성장세로 이어졌다는 것이 회사의 설명이다.', 'CJ제일제당이 인수한 미국 슈완스를 포함한 해외 매출은 전년 대비 10.3% 성장한 1조1254억원이다. 가공식품의 온라인과 편의점 매출은 각각 33%, 15% 늘었고, 온라인∙B2B∙편의점 경로 매출이 전체 가공식품 매출에서 차지하는 비중도 30%를 넘겼다.', '바이오사업부문은 전년 동기 대비 35.4% 늘어난 1조442억원의 매출과 60.9% 증가한 1274억원의 영업이익을 기록했다. 바이오사업부문 분기 매출이 1조원을 넘긴 것은 이번이 처음이다. CJ제일제당은 세계 각지의 생산거점에서 다양한 품목을 공급할 수 있는 ‘호환 생산’ 능력을 토대로 글로벌 시장 지배력을 확보한 점이 성장에 주효했다고 분석했다. ', 'CJ Feed&Care(사료 및 축산)는 전년 동기 대비 2.2% 증가한 6011억원의 매출을 올렸다. 다만 영업이익은 전년 동기 대비 84.5% 감소한 88억원을 기록했다. 곡물가 상승 등으로 원가 부담이 커졌으나 가축 질병에 대응하는 첨단 방역 역량(Biosecurity)과 고부가가치 사료 성장 전략 등을 통해 수익성 하락을 최소화했다는 것이 회사 측의 설명이다.', 'CJ제일제당 관계자는 “곡물가∙운임비용 상승을 비롯한 전방위적 위기 상황속에서도 과감한 체질개선을 통해 내실있는 성장을 이어가고 있다”며 “지속적인 신성장동력 발굴과 혁신제품 개발, 전략적 R&D 투자 등으로 미래를 준비하고, 성장을 가속할 것”이라고 밝혔다.', '']"
"“고기도 생선도 채소로 만들어요”… 식품업계, 식물성 대체식품 다양화",2021.11.07 15:07,"['[매일일보 최지혜 기자] 식품업계가 식물성 식품 개발을 통해 다양한 제품을 선보이고 있다. 국내에서는 식물성 고기 대체육 제품과 곡물을 원료로 만든 유제품이 출시됐다. 또 해외에서는 채소를 활용한 대체해산물까지 등장하며 대체식품의 범주가 넓어지고 있다.', '7일 식품업계에 따르면 다양한 식물성 대체식품이 개발되고 있다. 국내에서는 대체육과 대체유가 대표적이다. 국내 소비자들의 ‘가치소비’ 문화가 확산함에 따라 식물성 고기를 활용한 다양한 제품이 등장하고 있다.', '신세계푸드는 대체육 브랜드 ‘베러미트’를 론칭했다. 베러미트는 신세계푸드가 독자적으로 개발한 기술로 대체육을 만든다. 신세계푸드는 올해 7월 첫 제품으로 대체육 햄을 선보이고 이를 샌드위치로 제작해 스타벅스를 통해 판매 중이다.', 'CJ제일제당은 지난달 식물성 대체식품에 활용도가 높은 기술을 개발하고 비건(Vegan)인증을 취득했다. 회사의 조미소재 브랜드 ‘플레이버엔리치(FlavorNrich)’은 국내 ‘한국비건인증원’뿐 아니라 미국의 비영리단체 ‘비건 액션(Vegan Action)’의 비건인증을 받았다. 이 브랜드는 동물성 원료나 동물실험 없이 고기의 향을 구현할 수 있는 향료를 개발하고 있다.', '유업계의 곡물 원료의 대체 유제품 출시도 활발하다. 유업계는 최근 출산율 저하, 우유 소비량 감소, 원유 가격 상승 등을 이유로 대체유 시장을 개척하고 있다.', '가장 다양한 대체유 제품 라인업을 구성한 곳은 단연 매일유업이다. 매일유업은 지난 2015년부터 ‘아몬드브리즈’의 국내 유통을 맡고 있으며 최근 귀리를 활용한 ‘어메이징 오트’, 두유 브랜드 ‘매일두유’ 등의 라인업을 확장하고 있다. 이외에도 풀무원다논의 비건 요거트 ‘식물성 액티비아’, 네슬레의 식물성 우유 브랜드 ‘운다(Wunda)’ 등이 출시된 바 있다.', '해외에서는 채소로 만든 대체해산물도 개발됐다. 스페인의 ‘Mimic Seafood(미믹 씨푸드)’는 토마토 과육과 올리브유, 간장 등의 원료로 참치회를, 프랑스 식품기업 ‘Odontella(오돈텔라)’는 오메가-3를 함유한 대체 연어를 선보였다. 미국의 식물성 대체식품 전문 브랜드 ‘Gardein(가데인)’은 닭고기, 소고기, 돼지고기 뿐 아니라 생선과 대게텐더 등도 판매하고 있다.', '대체해산물에 대한 해외 소비자의 관심도 높은 것으로 나타났다. 글로벌 시장조사 및 통계 전문기관 스타티스타(Statista) 조사에 따르면 대체해산물은 지난해 미국 소비자가 구매한 전체 식물 기반 대체식품 중 약 29%를 차지했다.', '']"
"CJ제일제당 비비고, 일본 만두 시장서 입지 키운다",2021.11.07 14:43,"['[매일일보 최지혜 기자] CJ제일제당은 일본에서 판매 중인 만두6종의 제품명을 ‘교자’에서 ‘만두’로 변경하고 대형 제품으로 육성한다고 7일 밝혔다.', '이에 따라 ‘비비고 왕교자’는 ‘비비고 왕만두’로, ‘비비고 물교자’는 ‘비비고 물만두’로 명칭이 변경된다. 또 일본 소비자들이 ‘한국식 만두’에 대해 보다 정확히 인지할 수 있도록 제품 포장지에는 일본어(マンドゥ), 영어(MANDU)와 함께 한글로도 제품명도 병기된다. ', 'CJ제일제당은 일본의 전형적인 교자와 맛과 크기가 다른 ‘비비고 왕교자’를 통해 시장 경쟁력을 확보한다는 전략이다. 진출 초기인 2018년에는 보수적인 일본 소비자들에게 비교적 친숙한 물만두를 앞세워 ‘건강한 맛과 피는 얇지만 잘 터지지 않는 제품’으로 브랜드를 알렸다. ', '이후 일본의 전형적인 교자보다 1.5배 이상 큰 ‘비비고 왕교자’를 소개하며 ‘한국식 만두’에 대한 인지도를 높였다. 실제 비비고 만두 매출은 올해 상반기 기준 전년 대비 2배 성장했으며, 취급 점포도 1500점 이상 확대됐다.', 'CJ제일제당은 일본 시장에 ‘만두’를 성공적으로 안착시키기 위한 다양한 현지 마케팅 활동을 진행한다. 지난 15일부터는 ‘비비고 왕만두’를 중심으로 ‘만두하다 캠페인’을 실시, 온오프라인을 통해 소비자들을 만나고 있다.', ""TV광고와 디지털 콘텐츠로는 비비고 모델 배우 박서준을 앞세워 만두의 특장점을 소개하고 있다. 트위터에서는 먹어보고 싶은 만두 레시피 카드를 골라 공유하는 ‘만두 챌린지’ 이벤트를 진행해 약 2만명의 참여를 이끌어냈다. 이외에도 내년 1월 16일까지 도쿄 시부야에 위치한 '시부야109' 쇼핑몰에 ‘비비고 팝업 스토어’를 운영하고 딜리버리 서비스를 병행해 만두를 비롯한 다양한 비비고 메뉴를 선보일 예정이다."", '']"
ESG경영 매진한 식품업계… A등급 이상 기업 전년比 두 배,2021.11.04 15:10,"['[매일일보 최지혜 기자] 식품업계가 ESG(환경·사회·지배구조) 경영에 속도를 내면서 종합평가에서 A등급 이상을 받은 기업이 두 배 가까이 늘었다.', '4일 한국기업지배구조원(KCGS)의 ‘2021 ESG종합평가’에 따르면 올해 지난해보다 7개 많은 식품기업이 A등급 이상을 받았다. 식품업계는 최근 친환경 포장재·용기 개발에 속도를 내고 협력업체와의 상생 정책을 강화하는 등 ESG경영을 강화했다.', 'ESG종합평가는 한국기업지배구조원이 2011년부터 해마다 시행해 온 평가로 국내 상장사들의 비재무적 경영 요소에 등급을 부여하는 제도다. 평가는 환경(Environment), 사회적 책임(Social), 지배구조(Governance) 각 부문과 이를 합친 종합 등급으로 구별된다. 등급은 S(탁월), A+(매우 우수), A(우수), B+(양호), B(보통), C(취약), D(매우 취약) 등 7개로 나뉜다. 올해는 761개 기업이 평가를 받았으며, 이 가운데 194개 기업이 A등급 이상을 받았다.', '지난해 ESG평가에서 A등급 이상을 받은 식음료 기업은 9개 기업에 불과했다. 당시 A+등급을 받은 식품기업은 빙그레, 풀무원, CJ제일제당, CJ프레시웨이, 롯데제과 등 5개사였으며, A등급은 농심, 오뚜기, 롯데칠성음료, 현대그린푸드 등 4개사였다.', '그러나 올해에는 A 등급 업체 수가 17개 기업으로 대폭 증가했다. 구체적으로 △대상 △롯데제과 △롯데푸드 △롯데칠성음료 △삼양식품 △삼양사 △오리온 △오리온홀딩스 △오뚜기 △신세계푸드 △CJ제일제당 △CJ프레시웨이 △빙그레 △현대그린푸드 △하림지주 △종근당 등이 A등급을 받았다. 다만 A+등급은 풀무원이 유일하게 5년 연속 유지에 성공했으며 CJ제일제당과 CJ프레시웨이, 롯데제과, 빙그레 등은 올해 A등급으로 내려갔다.', '풀무원은 식품업계에서 유일하게 가장 높은 A+등급을 받았다. 이로써 풀무원은 5년 연속 A+를 받게 됐다. 세부적으로 환경 A, 사회책임 A+, 지배구조 A+ 등급이다. 풀무원은 환경부문에서 비교적 낮은 등급을 받았으나, 올해 에너지 절감 정책, 친환경 및 재활용 우수 포장재 사용 등을 실천하며 친환경 경영을 위해 노력하고 있다.', '하림지주는 지난해 C등급에서 올해 A로 ESG등급이 크게 개선됐다. 하림은 올해 무항생제 및 동물복지 인증을 받은 제품을 대폭 늘렸으며 물 사용량을 줄였다. 또 주요 원료인 닭의 부산물을 자원으로 활용하기 위한 순환체계를 마련했다. 사회 부문에서 사회공헌 활동을 펼쳤으며 지배구조 부문에서는 기업 지배구조와 준법 기준을 제정했다.', '대상의 ESG등급은 지난해 B등급에서 A로 두 단계 올랐다. 대상은 올해 환경영향물질 제로(ZERO)를 목표로 배출량을 최소화했으며 지난 4월에는 식품업계 최초로 폐페트병으로 만든 친환경 유니폼을 도입했다. 소비자중심경영(CCM)을 선포하고 식품 안전성 평가했으며, 여성·아동지원사업, 고객 참여형 사업, 지속가능발전 사업 등 3개 분야를 중심으로 다양한 사회공헌활동을 전개하는 등 ESG의 세가지 항목을 고르게 실천했다.', '이외에도 롯데푸드, 롯데칠성음료, 삼양홀딩스 신세계푸드, 오리온홀딩스, 종근당 등 5개 기업이 지난해 B+에서 한 단계 높은 A등급을 받았다.', '']"
