title,date,article
"의성군, 경상북도 축산종합평가 우수상 수상",2021.11.19 13:19,"['[매일일보 권영모 기자] 의성군(군수 김주수)이 경상북도 축산업무 종합평가에서 우수상을 수상했다. ', '축산업무 종합평가는 축산업 육성에 대한 관심을 유도하고 역점시책을 발굴하기 위하여 축산정책, 축산경영, 친환경축산, 자원관리, 축산신산업 5개분야에서 축산업육성 노력, 예산확보, 예산집행 실적, 신규사업발굴 등의 항목을 대상으로 평가한다. ', '이번 평가에서는 2021년도 축산악취개선사업 공모사업에서 전국 1위로 우수한 성적을 거두어 사업비 41억원을 확보하고, 깨끗한 축산농장 조성, 축사시설현대화 등 우리 군의 축산업무 대응에 대한 노력을 인정받았다. ', '김주수 의성군수는 “앞으로도 지역사회와 공존하는 친환경축산, 지속가능한 선진축산 구현을 위해 노력하겠다”고 말했다.', '']"
"시몬스, ‘브랜드 데이’ 실시",2021.11.19 11:32,"['[매일일보 신승엽 기자] 시몬스침대는 전국 주요 백화점에서 ‘시몬스 브랜드 데이’를 단독 실시한다고 19일 밝혔다. ', '이번 행사는 오는 21일까지 진행되며, 이 기간 일정 금액 이상 구매한 고객에게 백화점 상품권 증정과 추가 할인 등 혜택을 제공한다.', '참여 매장은 신세계백화점 강남·센텀시티·대구, 현대백화점 더현대서울·판교·무역센터, 롯데백화점 잠실·동탄·부산본점, 갤러리아 압구정·센터시티, AK플라자 분당·수원, 아이파크몰 등 전국 주요 백화점 64곳이다.', '브랜드 데이 기간 동안 전국 시몬스 매장에서 진행 중인 ‘엔드 오브 이어 프로모션’의 할인 혜택도 중복 적용되는 만큼 합리적인 가격에 프리미엄 침대를 구매할 수 있다.', '엔드 오브 이어 프로모션은 예비부부에게 걸맞은 ‘킹오브킹(KK)’·‘그레이트 킹(GK)’ 등 대형 사이즈 프리미엄 매트리스 특정 모델 최대 20%, 자녀 방과 1인 가구에 제격인 ‘슈퍼싱글(SS)’ 매트리스 특정 모델은 최대 17% 할인 혜택이 주어진다. 특정 프레임·퍼니처·룸세트는 최대 30%, 베딩 제품은 10% 할인된다. 여기에 ‘얼리버드 배송’을 선택한 고객에게는 추가 할인이 더해진다.', '구매 금액별 사은품도 푸짐하다. 300만원 이상 구매 시 시몬스 고유의 포켓스프링 기술을 적용한 ‘뷰티레스트 비스코 포켓스프링’ 베개 한 개를, 500만원 이상 구매 시에는 ‘뷰티레스트 비스코 포켓스프링’ 베개 두 개를 선물한다.', '']"
"G마켓∙옥션, 쿠쿠 정수기 렌탈 할인 이벤트 진행",2021.11.19 10:39,"['[매일일보 강소슬 기자] G마켓과 옥션이 30일까지 ‘쿠쿠 렌탈 특가’ 기획전을 진행하고 다양한 혜택을 선보인다고 19일 밝혔다.', '이번 특가 기획전에는 쿠쿠의 대표 인기 상품을 엄선해 준비했다. ‘인스퓨어 100도씨 끓인물 정수기’는 제휴카드 사용 시 최저 월 1만원대에 렌탈 가능하며, 상품권 22만원과 G마켓과 옥션에서 현금처럼 사용 가능한 스마일캐시 11만원을 제공한다. ‘인스퓨어 ZERO 100 정수기’는 제휴카드 사용 시 최저 월 2만원대에, 상품권 27만원과 스마일캐시 11만원을 증정한다.', '렌탈료 할인 혜택도 제공한다. 행사기간 동안 렌탈 상품 구매 시 상품에 따라 렌탈료를 최대 24만원 할인하는 등 혜택이 적용된다. 쿠쿠 제휴카드 6종(롯데/KB국민/현대/신한/하나/우리)을 사용하면 전월 실적에 따라 최대 2만3000원까지 렌탈료 할인 혜택을 추가로 받을 수 있다.', '쿠쿠 정수기 렌탈 서비스 신규가입 고객을 대상으로 강력한 경품 이벤트도 진행한다. 행사 기간 내 상담 신청하고 12월 15일까지 제품설치를 완료한 고객 중 1명을 추첨해 ‘BMW 320i 럭셔리라인 세단’을 경품으로 제공한다. 당첨자는 12월 31일 일괄추첨 후 쿠쿠 홈페이지 이벤트 게시판에 안내한다.', '스마일캐시 100만원 지급 이벤트도 준비했다. 23일과 30일 진행하는 G마켓 슈퍼딜과 30일 진행하는 옥션 올킬 행사를 통해 렌탈을 신청한 고객 중 1명을 추첨해 100만원 스마일캐시를 증정한다.', 'G마켓 전략사업본부 본부장 이주철 전무는 “소형가전 렌탈 수요가 꾸준히 증가함에 따라, 이번 특가전을 통해 국내 대표 생활가전 브랜드 쿠쿠의 인기 렌탈 제품을 엄선해 선보인다”며 “역대급 규모의 경품 증정 프로모션도 함께 진행되므로, 정수기 렌탈을 계획하는 고객들에게 좋은 기회가 될 것”이라 전했다.', '']"
"한국도자재단, 경기도자박물관 소장용 ‘근대 도자유물’ 구입",2021.11.19 09:53,"['[매일일보 강세근 기자] 한국도자재단이 11월 24일까지 광주 경기도자박물관 소장품 수집을 위한 ‘근대 도자유물’을 공개 구입한다. 이번 사업은 지속적인 경기도 대표 도자유물 확보를 통해 도민 문화 향유기회를 넓히고 공립박물관으로서의 역량을 강화하는 데 목적이 있다고 19일 밝혔다.', '구입 대상 유물은 분원공소, 분원자기 주식회사 등 분원(分院, 조선시대 사옹원에서 쓰는 사기그릇을 만들던 곳) 민영화 전후 분원 백자, 황해도 해주, 강원도 양구 백자 등 근대 지방백자, 이왕직 미술품 제작소(1908년에 설립된 조선 왕실 기물 제작소), 한양고려소(1910년 무렵 서울 묵정동(墨井洞)에 설립된 청자 재현 공장) 등 재현 도자다. ', '문화재 매매업자·법인 또는 단체, 개인 소장자는 누구나 참여할 수 있다. 신청은 한국도자재단 누리집에 있는 신청서류를 작성해 이메일 또는 경기도자박물관 학예팀 유물구입 담당자 우편으로 접수하면 된다. 단, 소유나 출처가 불분명한 유물과 불법문화재는 매도 신청이 불가하다. ', '기타 자세한 사항은 한국도자재단 누리집에서 확인할 수 있다. 접수 유물은 유물수집실무위원회 1차 심의와 유물평가위원회의 2차 유물 감정평가를 통해 최종 선정하며, 선정된 유물은 내년 경기도자박물관 ‘근·현대 전통도자 상설전시’를 통해 일반에 공개될 예정이다.', '최연 한국도자재단 대표이사는 “이번 사업으로 경기도자박물관 중장기 소장품 수집 정책의 기초를 다지고 경기 도자에 대한 도민 자긍심을 높이는 데 기여하겠다”고 밝혔다.', '']"
"용인시, 754세대 아파트서 6개월간 음식물 쓰레기 약 9톤 감량",2021.11.19 09:49,"['[매일일보 김길수 기자] 우리집에서 나오는 음식물 쓰레기를 줄이고 또 줄이면 6개월간 몇 ㎏을 감량할 수 있을까?', '754세대 아파트 단지에서 8985㎏을 감량한 것으로 나타났다.', '세대수로 나누면 한 세대당 약 12㎏이나 줄인 셈이다.', '이는 용인시가 공동주택 음식물 쓰레기 감량 경진대회를 통해 실증한 수치다.', '19일 용인시에 따르면 지난 4월부터 9월까지 6개월간 공동주택 음식물 쓰레기 감량 경진대회를 개최한 결과, 기흥구 힐스테이트 서천 아파트(754세대)가 음식물쓰레기 8985㎏을 감량했다.', '지난해 4월~9월 사이 7만 3885㎏의 음식물쓰레기를 배출했지만, 이번 경진대회 기간 6만 4900㎏을 배출했다.', '이번 대회는 관내 아파트 56개 단지(3만 5008세대)를 A그룹(300~500세대)과 B그룹(500세대 이상)으로 나눠 진행됐다.', '상위 6개 단지 주민 3447세대에서 대회 기간 중에 감량한 음식물 쓰레기는 35만 10㎏에 달한다.', 'A그룹에선 산양마을 대우푸르지오 아파트가 4533㎏을 감량해 최우수단지로 선정됐고, 3597㎏을 줄인 기흥구 연원마을 현대아파트가 우수단지로, 2359㎏을 감량한 기흥구 어정마을 동백아이파크가 장려단지로 선정됐다.', 'B그룹에서는 8985㎏을 줄인 기흥구 힐스테이트 서천이 최우수 단지로, 8960㎏을 감량한 기흥구 호수마을 주공3단지아파트가 우수단지로, 6576㎏을 줄인 기흥구 금화마을 주공4단지 아파트가 장려단지로 선정됐다. ', '각 단지는 지속적인 음식물 쓰레기 줄이기에 동참해달라는 아파트 내 안내 방송과 함께 엘리베이터 게시판 등 홍보물을 활용하는 등 주민들의 적극적인 참여를 유도했다.', '한편 시는 지난 18일 각 단지를 방문해 그룹별로 최우수 단지에 각 200만원과 300만원, 우수단지에는 100만원과 150만원, 장려상을 받은 단지에는 각 70만원과 100만원 상당의 종량제 봉투와 청소용품을 전달했다.', '']"
"시립연정국악원, 2021 전통시리즈 공연 “대통령상 수상자 초청, 판소리 다섯마당”마지막 공연",2021.11.19 09:43,"['[매일일보 김진홍 기자] 대전시립연정국악원과 TJB대전방송이 공동주최하는 2021 전통시리즈“대통령상 수상자 초청, 판소리 다섯 마당”의 다섯 번째 무대인 김미숙 명창의 <심청가> 공연이 11월 25일(목) 오후 7시 30분 대전시립연정국악원 작은마당에서 개최된다.', '김미숙 명창은 대전시립연정국악단 지도위원이다. 이일주, 조통달, 민소완 명창에게 사사했고, 이일주 명창으로부터<심청가>를 배워 소리가 구성지고 장단이 정확하다.', '2012년 제39회 춘향국악대전 판소리 명창부 대통령상을 수항하며 명실공히 명창의 반열에 올랐다.', '이번 공연에서 김미숙 명창은 이일주의 심청가 중 <주과포혜>, <심봉사 화주승 만나는 대목>, <심봉사 눈 뜨는 대목> 등 약 80분간 정확한 장단과 심청가에 최적화된 구성진 소리로‘심청가’를 선보일 예정이다.', '고수로는 국가무형문화재 제5호 판소리 적벽가 이수자 이자 전국고수대회 대명고부(대통령상) 수상자인 박근영 선생이 함께한다.', '또한 최혜진 목원대학교 교수이자, 판소리학회 부회장이 사회를 보면서 판소리를 쉽게 이해할 수 있도록 도울 예정이다.', '<심청가>는 태어나자마자 어머니를 잃고 아버지의 동냥젖으로 자란 심청이 15세에 아버지의 눈을 뜨게 하려고 공양미 삼백 석에 몸이 팔려 인당수에 빠졌으나, 옥황상제의 도움으로 다시 살아나 황후가 되고 아버지의 눈을 뜨게 한다는 내용의 판소리이다.', '<심청가>에 관한 기록으로 『관우희(觀優戱)』, 이유원(李裕元)의 『관극팔령(觀劇八令)』, 이건창의 『부심청가2수』와 같은 문헌이 전해져 온다. 정노식의 『조선창극사』에는 순조 때의 명창인 방만춘이 고전인 <심청가>와 <적벽가>를 다시 고쳐 짰다고 하였다. 이런 기록으로 미루어 <심청가>는 영조·정조 무렵에 이미 판소리로 불렸을 것으로 추정된다.', '<심청가>는 사설의 짜임새, 극적 구성, 음악적 구조에서 <춘향가>와 함께 예술성이 높은 판소리로 평가받고 있다. 현재 전승되는 <심청가> 유파는 서편제 박동실제, 동편제 박봉술제, 중고제 박동진제와 정응민제(강산제), 김연수제(동초제), 김소희제(만정제) 등이 있다. 이 중 동초 김연수제는 동,서편의 소리를 망라하여 장점을 취합한 유파로 강산제와 함께 현대에 가장 전승력이 강한 소리라 할 수 있다. 오늘 부르는 동초제 <심청가>는 김연수-오정숙-이일주-김미숙으로 이어진 소리이다.', '<심청가>를 잘 불렀던 역대 명창들로는 순조 때의 김제철, 철종 때의 박유전, 이날치, 주상환, 전해종, 정창업, 최승학, 김창록, 고종 때의 황호통, 이창윤, 배희근, 김채만, 정재근, 송만갑, 이동백, 정응민 등이 있다.', '대전시립연정국악원 이영일 원장은“대전시립연정국악단 지도위원으로 활동중인 김미숙 명창의 이번 공연은 시민들에게 더욱 특별한 공연이 될 것”이라며 “시민들에게 큰 감동을 줄 것”이라고 말했다.', '공연 입장료는 귀명창석 2만원, S석 1만 원이며, 대전시립연정국악원(www.daejeon.go.kr/kmusic), 인터파크(ticket.interpark.com) 홈페이지를 통해 예매가 가능하다. 기타 공연에 관해 궁굼한 사항은 대전시립연정국악원(042-270-8500)로 문의하면 된다.', ' ', '대전=김진홍 기자 yjk1944@hanmail.net', ' ', '', '']"
[위클리 거버넌스]현대차・만호제강・중부발전,2021.11.19 08:55,"['[매일일보 이재영 기자]현대차가 자사주를 늘린다. 보통주 213만여주를 4423억여원에, 우선주 63만여주를 622억여원에 사들인다. 매입기간은 19일부터 내년 2월18일까지다. 현대차증권에 위탁해 순차적으로 장내매수한다.', '현대차는 주주가치 제고를 위한 목적임을 밝혔다. 기존 현대차의 자사주는 보통주가 1276만여주로 주식 총수의 6% 지분을 갖고 있다. 이번 추가 취득을 통해 자사주 비율은 7% 정도가 된다.', '현대차 주가는 1년내 고점이 1월 중순쯤으로 이후 약세 또는 약보합세를 이어왔다.', '만호제강도 자사주를 사들인다. 이 회사는 기존 자사주가 무려 110만여주로 26.69% 지분을 차지하고 있다. 여기에 추가로 15만주를 31억여원에 사들이기로 했다. 이번 추가 취득으로 자사주 지분은 30%가 된다. 회사 측은 주주가치제고 및 주가안정을 위해서라고 밝혔다. 매입기간은 19일부터 내년 2월18일까지다. 회사 주가는 최근 1년내 고점이 5월 중순에 찍혀 이후 약세 또는 약보합세를 보였다.', '한국중부발전은 지난 17일 ‘2050 탄소중립 선언식’을 개최하고 2050 탄소중립 중간경로인 2030년까지 재생에너지 발전비중을 30% 이상으로 높여 온실가스를 2017년 대비 45.7%를 감축하기로 했다. 또 2050년까지 재생에너지 66%, 무탄소전원 발전비중 15%를 목표로 제시했다.', '이를 위해 대규모 해상풍력 중심의 재생에너지 확대, 블루수소 생산단지 구축 등 청정에너지원을 적극 개발하고, 제주 상명풍력 그린수소 실증 및 보령발전본부 10MW CO2 포집설비 상용화 기술을 기반으로 탄소중립 핵심기술 확보에 매진하기로 했다.', '']"
[기획]달아오른 글로벌 전기차 ‘패권전쟁’,2021.11.18 16:05,"['[매일일보 김명현 기자] 테슬라의 대항마로 꼽히는 미국 전기차 업체 리비안과 루시드의 돌풍에 글로벌 전기차 패권경쟁이 한층 달아오르고 있다.', '18일 업계에 따르면 리비안은 지난 10일 미국 나스닥 상장 이후 4거래일 만에 시총 1400억달러를 돌파하며 글로벌 완성차 시총 3위에 등극했다. 상장 직후 미국 대표 완성차 업체인 GM의 시총을 뛰어넘은 데 이어 연간 1000만대가량 생산하는 독일 폭스바겐을 제친 것이다.', '지난 10월 첫 전기차 ‘에어’를 인도한 루시드는 이달 16일 미국 2위 자동차업체 포드를 제치고 시총 7위에 올라섰다. 루시드는 최근 ‘에어’가 미국 유명 자동차 전문지 모터트렌드가 선정하는 ‘2022년 올해의 차’로 선정되면서 더욱 주목을 받고 있다. 신생업체의 첫 번째 자동차가 올해의 차로 선정된 것은 이번이 처음이다. 루시드 에어는 1회 충전 시 최대 주행거리가 업계 최고 수준인 837km에 달한다.', '일각에선 리비안과 루시드의 주가 추이가 현재 글로벌 자동차 시총 1위이자 전기차 판매량 1위인 테슬라와 유사하게 흘러갈 것으로 내다본다. 결국 전통의 완성차 업체들을 넘어설 것이란 전망이다.', '반면 수십년 이상의 역사를 자랑하는 굴지의 완성차 업체들이 대량 양산능력이 검증되지 않은 신생업체들과의 대결에서 호락호락 당하지 않을 거란 분석도 나온다. 실제 폭스바겐, 현대차 등 기존 완성차업계는 제조 노하우를 앞세워 완성도 높은 전기차 모델을 속속 내놓고 있다. 아울러 소프트웨어 경쟁력 강화를 위해 전사적인 체질개선을 도모하고 있다.', '글로벌 전기차시장 주도권 싸움이 격화되면서 배터리업체들도 덩달아 분주해졌다. 전기차에서 가장 큰 비중을 차지하는 배터리 공급 확대를 놓고 치열한 경쟁을 벌이는 모습이다. 특히 국내 배터리 3사인 LG에너지솔루션·SK온·삼성SDI는 미국 완성차 업체 등과 배터리 합작법인을 세우는 전략으로 시장 확대를 꾀하고 있다.', '업계 관계자는 “글로벌 자동차업계가 전기차를 중심으로 지각 변동이 일어나고 있다”면서 “전기차는 내연기관차 대비 진입장벽이 낮아 앞으로도 수많은 신생 전기차업체들이 생겨날 것”이라고 전했다.', '', '']"
[기획]리비안 ‘상장 대박’에 전동화 전환 고삐죄는 현대차,2021.11.18 16:02,"['[매일일보 김명현 기자] ‘제2의 테슬라’로 불리는 미국 전기차 업체 리비안이 무서운 기세로 돌진해오는 가운데 현대차그룹이 전동화 전환의 고삐를 바짝 죄고 나섰다.', '18일 업계에 따르면 리비안은 지난 10일 미국 나스닥 상장 후 4거래일 만에 세계 3위 시가총액 자동차업체로 올라섰다. 주가가 상장 첫날부터 4거래일 연속 상승한 결과, 시총이 1463억달러에 달하며 유럽 폭스바겐을 제친 것이다. 자동차 1, 2위는 테슬라(1조170억달러)와 일본 토요타(2555억달러)다.', '리비안의 ‘상장 대박’을 두고 외신들은 전기차 산업에 대한 기대감이 반영된 결과로 분석했다. 미국경제지 포브스는 “조 바이든 미국 대통령이 서명한 인프라 법안으로 리비안 등 전기차 업체가 더 많은 정부지원을 받을 거란 기대가 관련 종목의 주가 상승을 견인했다”고 전했다.', '실제 성장 잠재력에 따른 기대감 때문이 아니라면 리비안의 시총은 설명이 안되는 수준이다. 리비안은 2009년 설립 이후 현재까지 전기차 판매량이 150대에 불과하며 매출은 0원에 수렴해서다.', '나스닥 상장을 성공적으로 마친 리비안은 시장 확대에 강한 드라이브를 걸고 있다. 지난 9월 전기차 픽업트럭 ‘R1T’ 출시한 데 이어 내달 전기SUV ‘R1S’도 선보일 예정이다. 밀려드는 생산주문에 미국과 유럽 등에 추가 공장 설립도 추진하고 있다.', '친환경차시장 접수에 나선 현대차그룹은 리비안 등 신생업체들의 위세에 전동화 전환 속도를 올리고 있다. 치열한 신시장 점유율 싸움에서 선두자리를 차지하기 위해선 선점 작업이 중요하기 때문이다.', '현대차는 내년부터 미국에서 본격적으로 전기차를 생산할 계획이다. 특히 미국 시장을 선제 공략하기 위해 내년 초 제네시스 GV70 전동화 모델을 미 앨라배마 공장에서 생산할 것으로 알려졌다. 현대차의 첫 전용 전기차인 아이오닉5도 현지 생산 후보로 꼽힌다. 기아도 미국 조지아 공장의 일부 생산라인을 전기차 전용라인으로 전환한다.', '정의선 현대차그룹 회장이 올해 들어 세 번이나 미국행을 택한 것도 이와 무관하지 않다. 정 회장은 미국 출장에서 앨라배마 현대차 공장, 자율주행 합작법인 모셔널 등을 찾아 사업 전략을 점검했다.', '앞서 현대차그룹은 2025년까지 미국에서 전기차 생산과 생산설비 확충 등을 위해 8조원 이상을 투자하겠다고 밝힌 바 있다. 이에 대해 다수의 전문가들은 바이든 대통령의 ‘바이 아메리카(Buy America)’ 정책에 따른 불가피한 생존 전략으로 해석한다.', '현대차는 국내에서도 전기차 생산 확대를 위한 설비 작업을 착실히 진행하고 있다. 이미 아산공장에는 내년 출시 예정인 중형 전기세단 ‘아이오닉6’의 생산라인을 도입했다. 추가적인 설비 공사는 연내 완료될 예정이다.', '무엇보다 현대차·기아는 미래 대형 ‘SUV 전기차’ 비전을 제시하며 글로벌 시장 주도권을 잡겠다는 의지를 내보였다. 17일(현지시각) 미국 LA 컨벤션 센터에서 열린 ‘2021 LA 오토쇼’에서 세계 최초로 선보인 현대차 ‘세븐’과 기아 ‘콘셉트 EV9’ 얘기다. 이들 모델은 리비안의 ‘R1S’와 불꽃 경쟁을 펼칠 것으로 전망된다.', '현대차는 세븐에 급속 충전 시스템을 적용해 충전 효율을 높였다. 세븐은 350kW급 초급속 충전 시 20분 이내 배터리 용량의 10%에서 80%까지 충전이 가능하다. 또 1회 충전으로 최대 482km 이상 주행을 목표로 제시, 항속거리에 대한 우려를 불식했다. EV9 역시 1회 충전으로 최대 482km 주행, 배터리 용량 10%에서 80%까지 충전에 약 20~30분대 소요를 목표로 한다.', '호세 무뇨스 현대차 북미권역본부장은 “아이오닉의 세 번째 라인업에 대한 콘셉트카를 공개할 수 있어 기쁘다”며 “친환경 모빌리티를 바탕으로 2045년 탄소중립이라는 목표 달성을 위해 최선을 다하겠다”고 밝혔다.', '한편 리비안의 R1T와 현대차 ‘싼타크루즈’는 북미 최고의 픽업트럭을 가리는 ‘2022 북미 올해의 트럭’ 최종 후보에 올라 결승에서 격돌한다. 최종 결과는 내년 1월 중 발표될 예정이다.', '', '']"
"현대카드, 국내 최초 ‘영문 카드 신청 프로세스’ 도입",2021.11.18 15:27,"['[매일일보 홍석경 기자] 현대카드는 국내 최초로 ‘영문 카드 신청 프로세스’를 도입했다고 18일 밝혔다. 그동안 외국인 고객은 한국어로 된 카드 신청 프로세스나 고객센터를 통해서만 카드를 신청할 수 있어 상품 정보를 직접 확인하기 힘들고, 신청에도 오랜 시간이 소요됐다. 현대카드는 이러한 불편을 없애기 위해 외국인 고객을 위한 디지털 신청 프로세스를 새롭게 구축했다.', '이번 서비스를 통해 외국인 고객들은 현대카드 앱에서 상품 정보 확인부터 카드 신청까지 모든 절차를 영문으로 손쉽게 처리할 수 있다. 기존 외국인 전용 상담원도 이용 가능하다. 이용 방법은 간단하다. 현대카드 앱에 접속해 언어 설정을 영문으로 바꾼 후, ‘카드 신청(Apply for a card)’ 메뉴에서 ‘카드 선택 후 신청(Apply online)’을 선택해 순서대로 정보를 기입하면 된다. 현대카드는 본인 인증, 외국인등록증 검증 등의 절차를 자동화 해 고객의 편의성을 높였다.', '신청한 카드를 즉시 사용할 수 있는 것도 장점이다. 모든 신청 절차를 마치면 심사 및 발급이 1분 내로 완료되어 앱카드로 온∙오프라인 결제가 가능하다. 현대카드는 외국인의 선호도가 높은 ‘현대 아메리칸 익스프레스 카드’ 등 프리미엄 카드에도 이번 서비스를 적용해 고객의 상품 선택권을 높였다. 적용 상품은 총 15종으로 현대 아메리칸 익스프레스 카드 3종, 코스트코 리워드 현대카드, the Purple osée, the Red Edition5 2종, the Green Edition2, the Pink, MX BOOST 6종 등이다. 자세한 내용은 현대카드 앱에서 확인할 수 있다.', '']"
