title,date,article
[내일시론] 오원철을 아시나요?,2021-11-19 12:53:32,"미중 패권전쟁, 코로나19로 인한 글로벌 공급망(GVC) 붕괴 흐름 속에 한국이 아시아 허브로 도약하고 있다. 외국인직접투자(FDI) 금액이 7년 연속 200억달러를 돌파하고, 수출이 잇따라 사상최고치를 경신하는 사례에서 이러한 분위기를 엿볼 수 있다.

올해 10월 수출은 555억5000만달러로 무역통계를 집계하기 시작한 1956년 이래 역대 2번째 실적이다. 한국은행에 따르면 1~9월 누적 경상수지는 701억3000만달러로 전년동기대비 흑자폭이 270억9000만달러 확대되며 2016년 752억1000만달러 이후 최대 흑자다. 개별 기업들의 실적으로 봐도 삼성전자 현대차 등 30개 업종별 대표기업 3분기 누적 매출이 최근 10년 동안 최고점을 기록했다. 영업이익도 2018년에 이어 두번째로 많다. 전자 자동차 철강 등 11개 업종 대표기업 30개사의 2012~2021년 3분기 연결기준 매출과 영업이익을 분석한 결과다.

수출 대기업과 중소기업 간의 양극화는 풀어야 할 과제이지만 수출 제조 대기업의 매출성장세와 영업이익 추세는 이미 코로나19 이전을 넘어선 셈이다. 미국 중국 독일 일본과 함께 글로벌 5대 제조업 강국이자 수출 가성비 경쟁력이 뛰어난 한국의 위상이다.

코로나 와중에 더욱 빛난 우리나라 수출 제조업 경쟁력

코로나 국면에서 많은 선진국들이 고전하고 있음에도 한국이 돋보이는 실력을 발휘할 수 있는 것은 사실 1970~1980년대 반도체 자동차 조선 철강 기계 석유화학 등 중화학공업의 기반을 다졌기 때문이다.

2차대전 후 1950~1960년대 많은 개발도상국들이 정부 주도로 경제개발을 시작하면서 높은 성장률을 기록했다. 금방 선진국을 따라잡을 듯했지만 시간이 지날수록 오히려 후퇴했다. '루이스 전환점'이라는 중진국 함정을 피하지 못했기 때문이다. 이는 1979년 노벨 경제학상을 탄 아서 루이스가 제시한 개념인데 한국은 1976년에 이를 통과한 것으로 본다. 1973년에 시작된 중화학공업 정책으로 풍부한 농촌의 저임금 인력을 이용해 경공업 수출 등으로 유지하던 경제성장 모델의 체질을 확 바꿨기 때문이다.

반면 당시 세계은행의 우등생 국가였던 파키스탄이나 동아시아에서 일본 다음으로 부유했던 필리핀, 세계적으로 유명한 통계학자 프라산타 마할라노비스(1955년 인도의 제2차 5개년 건설계획에 참여)가 설계한 정교한 경제학 모델로 계획을 세운 인도, 수입대체 노선을 걸었던 라틴아메리카의 일부 국가들은 대부분 실패했다.

올해 9월 아시아인프라개발은행(AIIB) 국제자문단에 위촉된 장하준 케임브리지대 교수는 한국 중국 대만 등 동아시아의 국가주도형 경제개발이 성공한 배경으로 정책을 주도한 경제관료들이 '탁상형' 경제학 이론가들이기보다는 공학도나 과학자 등 이과출신 '실무형'이었기 때문이라는 흥미로운 분석을 한 바 있다. 대만의 경제관료들, 중국의 개혁개방과 경제를 이끈 국가지도자들이 대부분 그랬다.

한국은 경제개발계획을 주도한 경제기획원(EPB)이 법대거나 경제학과 출신이 많았지만 1970년대 중화학공업화 프로그램을 진행한 브레인은 오원철이라는 공학도 출신이다. 오원철은 1950년 서울공대의 전신인 경성공업전문학교 출신으로 1957년 시발자동차회사 공장장 등 현장 엔지니어에서 출발해 상공부 화학과장, 상공부 차관보, 1971년 대통령 경제 제2수석비서관, 1974년 중화학공업기획단 단장을 맡아 당시 중화학공업 프로젝트를 총괄 지휘했다.

한국의 호프만 비율(Hoffmann's law. 경공업 부분 부가가치/중화학공업 부문 부가가치. 0.5 이하가 선진공업국)은 1977년 1.0을 돌파하고 1990년에 0.5선을 돌파했다. 선진공업국이 된 것이다.

실물경제 중시하는 패러다임 전환 있어야

세상은 4차산업혁명시대로 바뀌었고, 미중간 대립이 격화하면서 글로벌 공급망(GVC) 재편이 진행되는 등 '경제=안보'인 시대가 됐다. 기술주권이 국가경쟁력과 직결되고 경제안보도 지킬 수 있다는 뜻이다. OECD 가입으로 계획경제의 유물인 경제기획원이 사라지고, IMF 외환위기 이후 경제관료의 주축이 재정과 금융 우위로 개편되면서 실물과 경제현장으로부터 멀어졌다.

글로벌 공급망 붕괴, 요소수 대란을 겪으면서 그동안 내팽개쳐졌던 실물을 되돌아봐야 할 때가 된 듯하다. 4차산업혁명에 따른 디지털 전환과 산업현장을 두루 아는 '2020년대형 오원철'이 어디 없을까."
"윤석열 ""건보료 폭탄 올해가 마지막""",2021-11-19 12:49:38,"국민의힘 윤석열 대선 후보는 19일 건강보험료 부과 체계의 개편을 검토하겠다고 밝혔다.

윤 후보는 이날 SNS를 통해 ""공정성을 높이기 위해 부과체계를 소득 중심 방향으로 점차 개편해나가면서 고질적인 지역과 직장 가입자 간 형평성 문제에서도 해법을 찾겠다""며 이같이 말했다.
국민의힘 윤석열 대선 후보가 18일 서울 여의도의 한 음식점에서 국민의힘 의원 및 관계자들과 비공개 오찬을 위해 식당으로 이동하고 있다. 연합뉴스
윤 후보는 지역가입자의 11월분 건강보험료가 평균 6천754원 인상된다는 소식을언급한 뒤 ""문재인 정권의 실패한 부동산 정책이, 국민 부담 폭등의 도미노를 초래했다""고 지적했다.

윤 후보는 집값과 전셋값을 산정 근거로 하는 건보료가 부동산값 폭등으로 자연스럽게 높아진다며 ""부동산 정책 실패는 정부가 저질러 놓고, 왜 가만히 있던 국민이 세금 폭탄과 건보료 폭탄을 맞아야 하는가""라고 반문했다.

이어 ""내년 1월에는 모든 국민의 건보료가 1.89% 정기 인상된다""며 ""지속 불가능한 보건 포퓰리즘 '문재인 케어'가 국민 부담을 가중하고 있다""고 주장했다.

그러면서 ""직장에서 은퇴하거나 실직해서 지역 건강보험에 편입되는 분들의 경우, 소득은 없어졌는데 건보료는 폭등한다""며 ""각종 세금 폭탄에다가 건보료 폭탄까지, 올해가 마지막이 돼야 한다""고 덧붙였다.

한편 윤 후보 측은 이재명 더불어민주당 후보의 재난지원금 철회에 대해 ""윤석열이 맞고 이재명이 틀렸음이 확인됐다""고 평가했다.

김병민 국민의힘 대변인은 논평을 통해 ""이재명 후보가 결국 항복 선언을 했다""며 ""오직 선거의 유불리만 따지고 밀어 붙인 포퓰리즘 공약이, 현명한 국민들의 반대에 직면하자 뒤늦게 '윤석열 따라하기'로 입장을 바꾼 것""이라고 평가절하했다.

그는 ""이로써 '윤석열이 맞고 이재명이 틀렸다'는 것이 분명히 확인됐다""며 ""처음부터 윤석열 후보와 국민의힘의 주장대로 했다면, 조금이나마 신속하게 손실보상에 착수할 수 있었을 것""이라고 했다.

이어 ""이재명 후보는 이번 결정의 사유가 야당 탓이라며 고질적인 책임전가 태도로 일관할 것이 아니라 국민들께 먼저 사과드리는 것이 도의임을 알아야 한다""고 덧붙였다."
"첫 문이과 통합 수능, 국·수·영 모두 변별력 확보",2021-11-19 12:39:35,"2022년도 대학수학능력시험(수능)은 대체로 작년에 비해 어려웠던 것으로 나타났다. 소위 '킬러 문항'은 없었지만 중난도 문제가 다수 등장하면서 중상위권 학생들의 경쟁이 치열해질 것으로 예상된다. 특히 수학과 함께 영어까지 까다롭게 출제되면서 상위권 대학을 노리는 문과생들의 최저학력기준 충족에 비상이 걸렸다.

강남 번화가 수험생 이벤트 홍보 |2022학년도 대학수학능력시험(수능)이 치러진 18일 오후 서울 서초구 강남대로의 한 매장 앞에 수능 수험생을 상대로 한 이벤트 홍보 배너가 세워져 있다. 연합뉴스 홍해인 기자

18일 교사들과 입시업체들은 처음으로 문·이과 구분 없이 치러진 올해 수능이 국어·수학·영어영역에서 모두 어느 정도 변별력을 갖췄다고 평가했다.

이들에 따르면 1교시 국어영역은 작년 수능과 비슷하거나 약간 쉽게 출제됐다. 다만 실제 수험생들의 체감 난이도는 그보다 높았던 것으로 보인다. '브레턴우즈 체제 기축통화'(10∼13번) '헤겔 변증법'(4∼9번) 등 변별력 있는 지문들이 있었으며, 8·13·16번 문제는 지문이 길지 않더라도 '보기'에 적용해 풀기가 쉽지 않았을 것으로 분석됐다.

한국대학교육협의회(대교협) 대입 상담교사단의 총괄을 맡은 오수석 교사(소명여고)는 ""경제 지문이 가장 어려웠지만 학생들이 충분히 풀 수 있는 수준으로 출제됐다""며 ""정답률 20% 미만인 초고난도 문항은 없을 것""이라고 평가했다.

킬러 문제가 없었지만 변별력 확보에는 문제가 없다는 분석도 나왔다. 임성호 종로학원 대표는 ""국어의 경우 어렵다는 평가가 많았던 지난해 수능 수준에서 출제됐기 때문에 올해 쉬웠다고만 보기 어렵다""며 ""특별하게 어려운 문제는 없었지만, 상위권 학생들의 변별력을 가릴 수 있는 문제가 여럿 보였다""고 설명했다.

◆국·영·수 모두 변별력 있어 = 2교시 수학영역은 6·9월 모의평가와 비슷한 정도로 어렵게 출제됐다는 평이 많다.

대성학원과 유웨이 모두 '공통 + 확률과 통계'는 지난해 수학 나형(인문계열)보다 어렵고 '공통 + 미적분'도 지난해 가형(이공계열)보다 약간 어렵다고 분석했다. 진학사는 9월보다 공통과목은 다소 까다롭게, 선택과목은 비슷한 수준으로 출제됐다고 분석했다.

대교협 대입상담교사단 소속 김창묵 교사(경신고)는 ""국어·수학에서 6월 모평만큼 상위권에서 변별력은 확보되지 않았나 한다""며 ""올해 입시에서 상위권에서는 수능 국어나 수학이, 중위권은 영어가 변별 요소로 작용할 것""이라고 예상했다.

3교시 영어영역은 지난해 수능보다 어려워졌지만, 9월 모의평가보다는 쉬웠다는 게 대체적인 평가다. 올해 영어 영역은 EBS 교재에 나온 지문을 그대로 출제하지 않고 내용이 유사한 지문이나 문제를 내는 간접연계로 전환됐다.

이만기 유웨이 교육평가연구소장도 ""전반적으로 변별력 있는 수능""이라며 ""국·수·영 모두 2021년도 수능보다 약간 어렵게 출제됐다""고 분석했다.

◆등급 확보·최저기준 충족 주의 = 올해 수능에서는 국어·수학 영역이 지난해와 다르게 '공통과목+선택과목' 구조로 이뤄졌다.

2022학년도 수능 출제위원장인 위수민 교수(한국교원대)는 ""6월과 9월 모의평가 결과를 반영해 적정 난이도와 변별도를 설정했다""며 ""예년의 출제 기조를 유지하되, 선택과목에 따라 수험생 간 유불리 가능성을 최소화하고자 했다""고 말했다.

하지만 현장에서는 선택과목에 따른 점수 차이는 불가피할 것으로 전망하고 있다.

종로학원은 2교시 수학 영역에서 문과 위주의 '확률과 통계' 응시학생이 이과 수험생이 많이 고른 '미적분' '기하' 학생들에 비해 점수 확보가 어려울 수 있다고 평가했다. 자칫 문과 학생들의 수시 수능 최저학력기준 충족, 표준점수 고득점 확보가 어려울 수 있다는 것이다. 임성호 대표는 ""'확률과 통계' '미적분' 점수 격차 정도에 따라 정시에서 이과 학생들의 문과 교차 지원 발생 가능성을 배제할 수 없다""고 지적했다.

이런 선택과목으로 인해 수험생들이 가채점 시기에 특히 자신의 등급을 예측하기 어렵게 됐다.

주요 입시업체들은 영역별 커트라인(컷)을 예년과 달리 원점수 범위로 예상해 공개하면서, 수험생들에게 논술·면접 등 대학별 고사에 적극적으로 임하라고 조언했다."
,,
,,
LS일렉트릭-롯데 전기차사업 협력,2021-11-19 12:33:09,"LS일렉트릭과 롯데글로벌로지스가 탄소 중립에 따른 '에너지 전기화(Electrification)' 시대에 대응하기 위해 전기차 충전 사업 분야 협력관계를 구축했다.

LS일렉트릭은 18일 서울 중구 연세빌딩 롯데글로벌로지스 본사에서 롯데글로벌로지스와 '화물 운송 물류거점 특화 전기차 충전 사업을 위한 업무협약(MOU)을 체결했다고 밝혔다. 양사는 이번 업무협약을 통해 △화물 운송 차량의 급속 충전 지원 △이를 뒷받침 할 수 있는 안정적인 전력 계통 운영과 에너지 효율 관리 △전기차 전환에 따른 물류 운영 프로세스 고도화 등 전기차 충전 사업과 관련한 다양한 분야에서 상호 협력하기로 했다.

또 친환경 물류 전환과 더불어, 양사의 강점을 활용해 △LS일렉트릭의 물류 경쟁력 강화 △롯데글로벌로지스의 전력과 자동화 경쟁력 강화에도 힘쓰기로 합의했다.

최근 전기차 충전 사업은 전기차의 급격한 확산을 맞아 기존 '충전기 설치'에서 '스마트 전력 인프라 구축·운영'으로 영역을 확장하고 있다. 롯데글로벌로지스는 K-EV100(2030년까지 친환경차량으로 100% 전환) 달성을 위해 국내 1위 전력 계통 사업자이자 스마트 에너지 분야 강자인 LS일렉트릭과 전략적 파트너 관계를 맺게 됐다.

오재석 LS일렉트릭 부사장은 ""롯데글로벌로지스와 파트너십을 통해 국내 물류 분야에 특화된 충전 사업 모델을 선도하기 위해 긴밀히 협력해 나가겠다""고 설명했다. 박찬복 롯데글로벌로지스 대표는 ""이번 협력을 통해 장기적으로 ESG 경영 및 신성장 동력을 확보할 수 있을 것""이라고 말했다."
구로지역 주택조합 업무대행사 대표 구속,2021-11-19 12:30:55,"서울 구로에 지역주택조합 아파트를 짓겠다며 사업 부지 확보율을 속여 조합원을 모집한 혐의를 받는 주택조합 업무대행사 대표와 전 추진위원장이 구속됐다.

서울남부지방법원 임해지 영장전담 부장판사는 18일 특경경제범죄가중처벌 등에 관한 법률 위반(배임) 등 혐의를 받는 서울 구로지역주택조합 업무대행사 대표 류 모씨와 전 추진위원장 이 모씨에 대한 구속 전 피의자 심문(영장실질심사)을 진행하고 오후 8시 40분쯤 ""증거를 인멸할 염려가 있고, 도망할 염려가 있다""며 영장을 발부했다.

앞서 서울 구로경찰서는 류씨와 이씨를 포함해 주택조합 업무대행사 임원 등 8명을 7월 24일 기소의견으로 검찰에 송치했다.

류씨와 이씨는 2016년부터 서울 구로구 구로동 532번지 일대 5만2862㎡에 지역주택조합 방식의 아파트를 짓는다며 조합원을 모집하면서 사업부지 확보 비율을 속이고, 조합 사업비를 다른 용도로 사용한 혐의를 받는다.

이들은 3%의 부지만 매입하고도 토지주의 동의 비율이 70~80%에 달한다고 속이고 850여명의 조합원으로부터 조합비 460억원을 거둔 것으로 드러났다. 이 중 상당 금액은 사업 부지 매입 외에 다른 용도로 사용한 것으로 알려졌다.

이에 일부 조합원들이 조합 설립 인가가 늦어지고 사업 진척도 없자 지난해 2월 이들을 경찰에 고소했다.

하지만 지난해 12월 경찰이 신청한 구속영장과 올해 5월 검찰이 다시 청구한 영장이 모두 법원에서 기각되면서 혐의 입증에 차질이 있는 것 아니냐는 전망도 나왔었다.

류씨와 이씨는 ""사업 시작 후에 토지 매입비가 급등하고 조합원의 분담금 미납 등으로 사업이 늦어졌다""며 ""조합원 모집 광고의 과장은 모집대행사 일부 직원의 잘못 때문이다""고 주장하는 것으로 알려졌다."
국제전화를 '010'으로 보이스피싱 일당 검거,2021-11-19 12:30:16,"해외에서 발신된 전화를 국내 전화번호로 바꿔주는 중계기 등을 설치해 중국 보이스피싱 조직의 범죄를 도운 일당이 검거됐다.

19일 서울 강북경찰서는 사기·전기통신사업법 위반 등 혐의로 일당 14명을 검거하고 이 중 5명을 구속했다고 밝혔다.

경찰에 따르면 이들은 6월부터 약 2개월간 서울 제주 부산 등 전국 모텔·원룸 등에 변작중계기(심박스)를 설치하고 중국 보이스피싱 조직의 범죄를 도와 55명에게서 약 17억원을 받아 가로챈 혐의를 받는다.

경찰은 8월 한 모텔 업주로부터 ""모텔방에 휴대전화가 많이 설치돼 있다""는 제보를 받고 출동해 발신번호 조작용 휴대전화 48대를 압수하고, 이를 설치한 A씨를 검거했다.

이후 중계기 설치나 휴대전화 유심 등을 유통하고, 피해자들의 돈을 보이스피싱 조직에 송금한 공범들을 특정해 전국에 흩어져 있던 나머지 피의자들을 검거했다.

경찰 관계자는 ""피의자 중 일부는 '재택알바' '서버 관리인 모집' 같은 구인광고를 보고 범행에 가담했다""며 ""비교적 쉬운 일에 고수익을 보장하는 일자리는 각별히 주의해야 한다""고 말했다."
'천화동인 7호' 소유주 소환 조사,2021-11-19 12:07:53,"대장동 개발 로비·특혜 의혹을 수사하는 검찰이 화천대유 관계사 '천화동인7호' 소유주를 불러 조사했다.

서울중앙지방검찰청 전담수사팀(팀장 김태훈 4차장검사)은 18일 화천대유 대주주 김만배씨의 후배인 전직 기자 배 모씨를 피고발인 신분으로 소환했다.

배씨는 천화동인7호 소유주로, 1000만원을 투자해 약 120억원의 배당금을 받은 것으로 알려졌다. 배당 직후인 지난해 4월에는 서울 도곡동의 한 아파트를 30억원대에 사들이고, 8월에는 부산 기장군의 2층짜리 건물 및 토지를 74억원대에 구입했다.

배씨는 2011∼2012년쯤 김씨를 남 욱 변호사와 정영학 회계사에게 소개한 것으로 알려져 있다. 하지만 배씨는 그간 유동규 전 성남도시개발공사 기획본부장 등 이른바 '대장동 4인방'이 검찰 수사를 받을 때 수사선상에서 제외돼 있었다.

법조계 일부에서는 배씨가 대장동 사업에서 일정한 역할을 하고 배당금을 가져간 게 아니냐는 의혹도 나온다. 하지만 배씨 측은 사업과 관련해서 자신이 한 역할은 없다는 입장으로 전해졌다.

배씨 조사는 새로운 혐의를 포착해서라기보다 구체적인 배임 액수 등 김씨와 남 변호사의 혐의를 다지기 위한 차원으로 보인다. 배씨는 대장동 의혹 관련 고발 사건의 피고발인 신분이기도 하다.

검찰은 김씨와 남 변호사 정 회계사도 이날 오후 소환했다. 남 변호사 , 정 회계사와 함께 유 전 본부장에게 3억5200만원의 뇌물을 제공한 것으로 검찰이 파악한 위례신도시 개발사업자 정재창씨도 출석했다.

또 대장동 사업 초기 투자금 불법 대출에 연루돼 이른바 '대출 브로커'로 지목된 조 모씨도 참고인 조사를 받았다. 여권은 2011년 부산저축은행 불법 대출 수사 당시 대장동 대출 건이 제외된 것과 관련해 당시 주임 검사였던 국민의힘 윤석열 대선 후보의 봐주기 의혹도 제기하고 있다.

검찰은 김씨와 남 변호사의 구속기간이 만료되는 22일에 두 사람을 배임과 뇌물 등 혐의로 재판에 넘기고, 정관계 로비 의혹 등은 이후 보강 수사를 거쳐 추가 기소할 방침으로 알려졌다.

또한 검찰은 이날 성남도시개발공사 인사전략팀장을 지낸 최 모씨를 불러 사실관계를 확인하는 등 황무성 전 공사 사장 사퇴 압박 의혹 수사에도 속도를 내고 있다.

검찰은 전날 곽상도 전 의원의 자택과 사무실, 하나은행 본점 등에 대한 압수수색에서 확보한 자료 분석 작업에도 속도를 내고 있다.

곽 전 의원의 아들 병채씨가 화천대유로부터 받은 퇴직금 50억원의 성격을 어떻게 볼 것인지 법리를 검토했던 검찰은 조만간 곽 전 의원을 특정경제범죄가중처벌법상 알선수재 혐의 등 피의자로 소환해 조사할 방침이다.

검찰은 대장동 사업 초기 화천대유가 참여한 하나은행 컨소시엄이 무산될 위기에 처하자 곽 전 의원이 김만배씨의 부탁을 받고 김정태 하나금융지주 회장 측에 영향력을 행사해 사업 무산을 막아주고 그 대가로 아들을 통해 50억원을 받았다고 의심한다.

검찰은 압수수색에서 확보한 압수물 분석이 어느정도 마무리되면 곽 전의원을 소환할 계획으로 알려졌다.

다만 곽 전 의원과 하나은행 측 모두 혐의를 부인하고 있다.

이런 가운데 19일 조선일보는 '대장동 개발 특혜 의혹'을 수사 중인 검찰이 대장동 5개 지구 아파트 분양을 담당했던 분양 대행 업체 대표 이 모씨가 2014년 초부터 2015년 3월까지 남 욱 변호사 등에게 43억원을 건넨 사실을 확인했다고 보도했다.

보도에 따르면 서울중앙지검 수사팀은 최근 이씨의 계좌 내역 등을 확보해 이씨에게서 나온 43억원이 남 욱 변호사와 김만배씨 쪽으로 전달된 사실을 확인한 것으로 알려졌다. 이씨는 현금으로 인출한 돈을 쇼핑백에 담아 남 변호사 등에게 전달하거나 김씨 주변 인사 계좌로 송금했다. 이씨는 화천대유 고문을 맡았던 박영수 전 특검의 친척이기도 하다.

검찰은 17일과 18일 이틀 연속 이씨를 소환했다.

법조계에 따르면 검찰은 자금흐름을 중요하게 보고 그 흐름과 용처 등을 수사 중인 것으로 알려졌다.

다만 남 변호사와 김만배씨는 검찰에서 ""로비가 아닌 사업비로 썼다""고 부인했다고 한다."
"""처우 항의하면 독방행 … 57일 단식투쟁도""",2021-11-19 12:07:52,"""변호인에게 제 서류를 팩스로 보내달라고 외국인보호소 직원에게 요청했는데 말로는 해주겠다면서 며칠 동안 보내주지 않아 화가 났습니다. 그건 제 권리잖아요. 제 상황을 외부에 알리지 못하면 저는 계속 갇혀 있어야 하잖아요. 그래서 싸웠습니다. 그러자 독방에 가뒀습니다. 2년 가까이 화성외국인보호소에 있었는데 7번 정도 독방에 갔습니다. 단식투쟁도 4번 이상 했습니다. 마지막에는 단식투쟁을 57일간 했습니다. 걸을 수도 눈을 뜰 수도 없는 거의 시체였습니다. 어차피 여기서 풀려날 수 있을지 알 수도 없는 상황에서 내가 죽어서 다른 수용자들의 삶이 달라질 수 있다면 그것도 괜찮겠다 싶었습니다. 그래도 제가 보호소에 있던 4~5년 전에는 포승줄 사용하는 건 못 봤습니다. 그런데 M씨(모로코인)는 포승줄에 묶였더라고요. 상황이 나아지지 않고 악화됐다는 거죠.""
""외국인 보호소 당장 폐쇄하라""│18일 오후 서울 국가인권위 앞에서 외국인 보호소 폐쇄를 촉구하는 봉투 가면 행진에 앞서 참가자들이 요구가 담긴 현수막과 손팻말을 들고 있다. 연합뉴스 박동주 기자

화성외국인보호소에 수용중이던 모로코인 M씨가 손발을 뒤로 묶는 '새우꺾기'를 당하는 등 가혹행위를 당한 사실이 최근 알려진 가운데 이곳에 수용됐던 다른 난민도 외국인보호소의 인권침해 실상을 폭로하고 나섰다.

'외국인보호소 고문사건 대응 공동대책위원회'(이하 공대위)는 18일 오후 서울 중구 정동 프란치스코회관에서 증언대회를 열었다. 이날 대회에 참여한 사다르씨는 카슈미르 출신으로 독립운동을 하다 생명의 위협을 느껴 난민이 된 경우다. 다른 나라로 가기 위해 인천국제공항에서 환승하려다 여권 등의 문제로 체포돼 2014년 초부터 약 2년 간 화성외국인보호소에 수용됐다.

사다르씨는 ""두 달 전 (M씨의) '새우꺾기' 영상을 봤는데 저도 유사한 일을 겪었기에 경험을 나눠야겠다고 생각했다""면서 ""난민 신청을 위한 서류 요청을 하거나 변호사에게 내 상황을 알리기 위해 요청서를 보내겠다고 하거나, 법무부장관에게 외국인보호소 상황을 알리는 내용을 써서 보내려고 하는 등의 일을 할 때마다 독방에 갇히곤 했다""고 말했다.

그는 ""나는 외국인보호소를 보호소라고 부르지 않는다. 그 곳은 감옥""이라면서 ""언제 나갈지 알 수 없다는 점에서 감옥보다 더 못한 곳""이라고 말했다. 그는 ""범죄를 저질러 교도소에 가더라도 정해진 형량이 있고 형기를 마치면 자유로워질 수 있다는 희망이 있지만, 그 곳에선 언제 구금이 끝날지 몰라 희망이 없다""면서 ""(수용된 사람들은) 대부분 난민신청자들이기 때문에 혹시 직원과 싸우면 난민신청에 문제가 생길까봐 아무 말도 하지 못했다""고 말했다.

이날 증언대회에는 화성외국인보호소에 수용된 이주민들의 인권보호 활동을 하고 있는 법조인과 활동가들도 참여했다. 심아정 활동가(화성보호소방문모임 마중)는 ""M씨가 극심한 치통에 대한 진료를 받은 것은 샴푸 2통을 다 먹은 후였다""면서 ""수용자들에 대한 적절한 의료조치가 취해지고 있지 않다""고 지적했다. 김지림 변호사(공익인권법재단 공감)는 ""외국인보호소는 M씨에 대해 적절한 의료조치를 하지 않아 정신건강이 악화됐고, 이런 문제를 지적하는 피해자를 상습적으로 독방에 구금하고 새우꺾기 고문을 행한 행위는 심각한 인권침해""라면서 ""공대위는 새우꺾기 등 고문사건에 대해 유엔 자의적 구금에 관한 실무그룹에 긴급 구제 청원서를 제출했다""고 밝혔다.

인권위가 16일 새우꺾기 고문 사건에 대해 발표한 결정문의 한계도 지적됐다. 이한재 변호사(사단법인 두루)는 ""(외국인보호소는) 법령에도 없는 케이블타이와 박스테이프를 사용했다. 그런데 인권위는 '부당하게 고통을 주거나 인격권을 침해할 정도라고 인정하기는 부족하다""고 판단했다""며 ""헌법소송 등 모든 수단을 동원해 문제제기를 이어나갈 것""이라고 말했다."
