title,date,article
"코로나19 셀트리온 항체치료제 '렉키로나', 유럽서 인정",2021-11-12 08:54:49,
"최태원 회장, 동유럽 4개국과 경제외교",2021-11-04 10:56:43,"대한상공회의소(회장 최태원)와 코트라(KOTRA, 사장 유정열)는 헝가리 수출청, 헝가리 투자청과 공동으로 3일 오후(현지시간) 헝가리 부다페스트에서 '한-V4 비즈니스 포럼'을 개최했다고 밝혔다.

이번 행사는 최태원 대한상의 회장이 취임 후 처음 주최하는 해외 비즈니스 행사이고, 동시에 한국과 'V4' 간 최초로 열리는 경제인 행사다."
"공정위, 카카오·농협 금산분리 위반혐의 조사",2021-10-27 11:16:41,"공정거래위원회가 카카오와 농협의 위법한 의결권 행사 여부를 조사 중이다. 카카오와 농협의 금융 계열사가 지분을 보유한 비금융 계열사에 의결권을 행사해 금산분리 규정을 위반했다는 혐의다.

27일 공정위의 '상호출자제한기업집단 소속 금융·보험사의 의결권 행사 현황'에 따르면 지난해 5월에서 올 4월까지 7개 상호출자제한기업집단(자산 10조원 이상 기업) 소속 11개 금융·보험 계열사가 18개 비금융 계열사의 주주총회에서 총 107회 의결권을 행사했다."
카카오 등 신흥 5대재벌 자산 129%↑,2021-09-27 10:34:32,"카카오 등 이른바 신흥재벌 5곳의 자산 증가율이 50대재벌의 6배에 달하는 것으로 나타났다. 신흥5대재벌은 카카오를 비롯 셀트리온 넥슨 네이버 넷마블이다.

26일 재벌닷컴이 자산 상위 50대그룹 연도별 대규모기업집단(재벌그룹) 공시를 토대로 최근 4년간 자산, 매출액, 순이익, 계열사 수 변동을 조사한 결과 신흥 5대재벌의 자산은 평균 129.2%, 매출액은 96.8%, 당기순이익은 59%, 계열사 수는 12.9% 증가했다.

이에 비해 50대그룹 이 기간 전체 평균 자산 증가율은 23.2%였다. 매출액은 52.9%, 계열사 수는 5.9% 늘어난 반면 당기순이익은 13.3% 감소했다.

이들 5대그룹 가운데 카카오와 셀트리온 약진이 두드러졌다.

카카오는 자산이 2017년 6조8000억원에서 올해 20조원으로 195.5% 급증했다. 자산 순위 기준으로 50위에서 18위로 무려 32계단이나 뛰어 올랐다.

카카오는 매출이 1조6000억원에서 5조6000억원으로 242.4%, 당기순이익이 780억원에서 1640억원으로 110.3% 늘었다. 카카오 계열사 수도 63개사에서 118개사로 87.3% 증가했다. 50대그룹 가운데 SK그룹 다음으로 계열사 수가 가장 많아졌다.

셀트리온은 자산이 6조8000억원에서 14조9000억원으로 119.6% 증가했다. 매출은 1조5000억원에서 4조1000억원으로 183.1%, 당기순이익은 2780억원에서 7840억원으로 182% 급증했다.

넥슨과 네이버 넷마블 자산은 지난 4년 사이 배 이상 급증했다. 매출과 당기순이익도 높은 성장세를 기록했다.

재계 1위 삼성은 4년전보다 자산이 25.9% 증가한 457조3000억원, 매출은 19.4% 늘어난 333조8000억원, 당기순이익은 32.9% 많아진 20조7000억원을 각각 기록했다.

현대차그룹은 자산 246조1000억원(12.5%↑), 매출 181조9000억원(6.9%↑)으로 증가한 반면 당기순이익은 11조4000억원에서 3조9000억원으로 66% 감소했다.

삼성 현대차 SK LG 롯데 등 자산순위 상위 5대그룹 자산은 지난 4년 사이 평균 24.2%, 매출은 9.3% 증가했다. 다만 당기순이익은 40조8000억원에서 34조8000억원으로 14.6% 감소한 것으로 나타났다.

50대그룹 가운데 이 기간 자산이 감소한 곳은 두산(-2.6%) 대우조선해양(-25.5%) 대우건설(-8.1%) OCI(-16.8%) 등 4곳이다. 경영실적이 악화돼 자산매각 등 구조조정이나 사업철수 등을 단행한 곳이다."
바이오시밀러부터 mRNA 백신 개발까지,2021-09-10 12:43:56,국내외 글로벌제약바이오기업들이 새로운 성장 동력 확보에 나선 가운데 셀트리온(대표이사 기우성)도 신성장동력을 확보하기 위해 지속적인 연구개발 투자와 글로벌 기업과의 협업을 통해 포트폴리오 확대를 본격화했다.
"[국내 코로나19 치료제 개발은 어디까지] 특허출원 302건 중 13건 등록 … 13개사, 17건 임상 중",2021-08-18 11:19:54,"코로나19가 지구촌을 강타했다. 세계 각국 과학자들과 기업들은 코로나19에 맞섰다. 1년이라는 짧은 시간에 백신을 만들었다. 치료제 개발을 위해 임상시험에 돌입했다.

최근 코로나 변이바이러스가 세계에 빠르게 전파되면서 치료제 개발이 주목받고 있다. 세계 각국과 글로벌기업들의 치료제 개발 경쟁이 치열하다. 국내 제약사와 연구소들도 치료제 개발에 속도를 내며 관련 특허 출원도 이어지고 있다."
"[인터뷰 | 재선 인천시장·3선 의원 출신 안상수 국민의힘 대선 예비후보] ""국민이 '걱정없는 삶' 살도록 만들겠다""",2021-08-17 11:29:38,"야권에 대선주자가 넘쳐난다. 스무명 가까이 될 정도다. 그들은 앞다퉈 ""내가 적임""이라고 외치지만, 국민 눈에는 어설프기만하다. 대선출마를 선언하는 자리에서 ""아직 공부가 덜 됐다""는 후보가 있는가하면 ""국정준비가 충분하다""면서 '1일 1실언'하는 후보도 있다. 그런 와중에 참고자료도 보지 않고 수백개의 통계와 숫자를 동원해 자신의 공약을 설명하는 후보도 있다.

""대통령이 국정을 다 알 필요는 없지만, 이왕이면 잘 아는 사람이 하는게 좋지 않냐. 국민이 '걱정 없는 삶'을 살도록 만들 자신이 있다.""

재선 광역단체장과 3선 의원, 대기업 임원을 거친 안상수(사진) 전 시장이 대선 출사표를 던졌다. 여론조사에서는 아직 부진하지만, 경선 과정에서 국민이 자신의 능력만 알아봐준다면 선두권 진입도 가능하다고 자신했다."
"박용진 ""제2의 벤처붐 일으키겠다""",2021-08-12 10:48:50,"20대 대선에 나선 더불어민주당 박용진 의원은 11일 ""제2의 벤처붐을 일으키겠다""고 했다.

박 의원은 ""국부펀드의 '떡잎투자전략'을 통해 임기 내 유니콘 기업을 두 배 이상으로 늘려 대한민국을 미국, 중국에 이은 세계 3위 유니콘 국가로 만들겠다""고 했다. 유니콘 기업은 기업가치가 10억 달러 이상인 스타트업 기업을 말한다. 현재 우리나라 유니콘 기업은 13개로 세계 6위다.

박 의원이 제시한 떡잎투자전략은 국민연금 등 국내 연기금들이 벤처캐피탈과 같이 벤처기업에 투자를 통한 금융지원이 가능하게 만들겠다는 전략이다. 그는 지난 8일 대전시 기자회견에서 ""셀트리온은 연구하고 돈이 많이 들어갈 때 싱가폴 테마섹이 투자했다. 쿠팡은 소프트 뱅크가 투자, 그리고 배달의 민족은 골드만 삭스가 투자했다""면서 ""국내 기업들이 이익을 못 내고 성장 확보해가는 과정에서 많은 자금난을 겪는데 거기에 투자할 국내 펀드가 없고 연기금 등은 안전하게만 하려고 (하기 때문에) 매출은 있더라도 이익이 나지 않으면 투자를 안 하게 되어있다""고 했다. 이어 ""국민연금 투자 분석가들도 알면서도 투자를 못 해서 싱가폴 테마섹만 부자 되고, 배달의 민족이 잘 되어서 골드만 삭스만 부자 되고, 쿠팡이 뉴욕에서 상장해서 소프트뱅크만 대박 났다""면서 ""떡잎부터 다른 스타트업들을 유니콘 기업으로 키우기 위해 투자하겠다""고 했다.

박 의원은 ""유니콘 기업이 국내 주식시장에 상장되어 투자하는 모든 국민이 대박을 터뜨리게 하겠다""면서 ""유니콘 기업의 국내 상장을 위한 인센티브를 획기적으로 강화하겠다""고 했다.

이어 박 의원은 ""한국판 테마섹(Temasek)인 국부펀드를 만들어 국민자산 5억 원 성공시대를 열겠다고 약속했다""면서 ""아이디어만 있으면 누구나 성공할 수 있는 K-비전펀드 대한민국을 만들겠다""고 했다. 그는 ""관주도 기술금융을 혁파해 민간의 벤처투자펀드를 활성화하겠다""며 ""소프트뱅크의 비전펀드를 벤치마킹하여 세계수준의 K-비전펀드를 육성하겠다""고 했다. ""정부가 자본을 대고 투자는 민간에 위탁하는 방식으로 전환하겠다""는 얘기다.

미래 먹거리로는 바이오, 2·3차 전지, 미래차, 6G를 묶은 '바이미식스'로 제시했다.

박 의원은 ""4차 산업혁명 대통령이 되겠다""며 ""K-반도체 파운더리와 함께 초일류 K-바이미식스 파운더리를 육성하겠다""고 했다. 또 ""탈탄소 에너지 혁명을 선도하여 탄소중립 시대를 4차 산업혁명의 기회로 만들겠다""고도 했다. 이어 ""4차 산업혁명 주도 경제성장전략은 '삼각편대전략'""이라며 ""동시감세와 규제혁신, 정부지원 삼각편대를 통해 국민과 기업의 창의력과 도전정신을 극대화하겠다""고 했다. 특히 ""'규제혁신 국무총리'를 지명할 것""이라며 ""'관료의 도장 규제', '기존 주류 사업자들의 진입 장벽 규제', '대기업의 갑질 등 시장독점의 규제' 등 3대 규제를 과감하게 허물겠다""고 했다."
"인천, 바이오산업 중심도시 발돋움",2021-07-22 11:07:07,
"셀트리온 ""렉키로나, 브라질발 '감마변이' 동물시험서 효능""",2021-07-05 11:19:17,"셀트리온은 ""코로나19 항체 치료제 렉키로나의 브라질 '감마' 변이 바이러스(P.2)에 대한 동물효능시험 결과, 유효성을 확인했다""고 5일 밝혔다.

셀트리온은 브라질 '감마' 변이에 대해서 코로나19에 감염된 실험용 쥐 55마리를 대상으로 렉키로나를 투입한 결과, 약물을 투입하지 않은 대조군에 비해 바이러스 역가가 크게 감소하고, 체중 감소 방어 효과 등 임상적 개선 효과를 확인했다.

특히 사람치료 용량 대비 낮은 용량 투여 시에도 바이러스 제거 효능이 입증됐으며, 실험용 쥐의 경우 생존율에서도 렉키로나 투여군 생존율은 100%인 반면 대조군 생존율은 0%로 나타났다.

이 결과는 앞서 진행 한 남아공 '베타' 변이에 대한 페럿(Ferret) 및 실험용 쥐 대상으로 실시한 결과와 일치하는 일관성 있는 결과이며, 비록 '베타' 및 '감마' 변이에 대해서 세포수준 중화능이 낮아지더라도 임상에 적용된 도즈보다 16배 낮은 도즈에서도 생체 내에서 충분한 치료 효능이 발휘된다는 것에서 큰 의미를 찾을 수 있다."
