title,date,article
"“3년간 10조 투자” 밝힌 CJ, 제일제당서 전담 조직 꾸려 미래 먹을거리 10곳에 투자",2021-11-17 20:52,"“대체식품·생명공학 기업과 협업”
이재현 CJ그룹 회장이 향후 3년간 4대 미래 엔진(문화·플랫폼·건강·지속가능성)에 10조를 투자하겠다고 밝힌 가운데 그룹의 핵심 계열사인 CJ제일제당이 투자 전담 조직을 꾸리고 공격적인 미래 먹을거리 확보에 나섰다.

CJ제일제당은 17일 국내외 스타트업 9곳과 미국 대체 단백 전문 펀드인 우노비스(Unovis) 등 10곳에 투자했다고 17일 밝혔다. 투자 금액은 100억원 수준으로 알려졌다.

새롭게 투자한 글로벌 스타트업은 ‘비건 버터’를 만드는 미요코스 크리머리 또 식물 단백질과 대체육을 각각 개발하는 플렌터블, 시오크밋 등 미래 대체식품관련 기업과 누리타스 등 생명공학 기술 관련 기업이다. 국내에서는 케어위드, 리하베스트 등 식품영역 스타트업에 투자하며 기존 사업과의 협업 기회를 모색하고 있다. 지난 6월부터 글로벌 엑셀러레이터 스파크랩과 협업한 스타트업 발굴 육성 프로그램 ‘프론티어 랩스’를 통해 선발된 잇그린, 엘로이랩, 베러먼데이에도 추가 후속 투자를 결정할 계획이다.

그동안 그룹의 기업형 벤처캐피탈 타임와이즈인베스트먼트를 통해 투자를 진행해온 CJ제일제당은 지난 4월 투자 전담 조직인 ‘뉴 프론티어팀’을 꾸린데 이어 9월 바이오사업부문에 ‘테크 브릿지팀’을 신설하고 직접 투자를 진행했다. 투자 전문 팀을 만든 것은 투자 전문성과 실행력을 높이기 위함이라는 설명이다.

CJ제일제당은 사내 전문 조직이 갖춰진 만큼 식품·바이오 분야 유망 스타트업을 계속 발굴해 기술 협업에 나설 방침이다. CJ제일제당 관계자는 “혁신하지 않는다면 생존을 담보할 수 없는 국내외 사업 환경 속에서 ‘스타트업의 도전 정신’과 ‘유연한 대응력’은 미래 성장동력 확보에 필수적인 요소”라면서 “빠르게 진화하는 기술과 트렌드의 변화를 사업 관점에서 이해하고 기존 사업과의 시너지를 강화해 미래 성장동력을 선제적으로 확보하겠다”고 말했다.



명희진 기자 mhj46@seoul.co.kr"
"CJ제일제당, 전담 부서 만들고 스타트업 ‘공격 투자’",2021-11-17 17:33,"이재현 CJ그룹 회장이 향후 3년간 4대 미래 엔진(문화·플랫폼·건강·지속가능성)에 10조를 투자하겠다고 밝힌 가운데 그룹의 핵심 계열사인 CJ제일제당이 투자 전담 조직을 꾸리고 공격적인 미래 먹을거리 확보에 나섰다.
CJ제일제당은 17일 국내외 스타트업 9곳과 미국 대체 단백 전문 펀드인 우노비스(Unovis) 등 10곳에 투자했다고 17일 밝혔다. 투자 금액은 100억원 수준으로 알려졌다.

새롭게 투자한 글로벌 스타트업은 미요코스 크리머리, 플렌터블, 시오크밋 등 미래 대체식품관련 기업과 누리타스 등 생명공학 기술 관련 기업이다. 국내에서는 케어위드, 리하베스트 등 식품영역 스타트업에 투자하며 기존 사업과의 협업 기회를 모색하고 있다.

그동안 그룹의 기업형 벤처캐피탈 타임와이즈인베스트먼트를 통해 투자를 진행해온 CJ제일제당은 지난 4월 투자 전담 조직인 ‘뉴 프론티어팀’을 꾸린데 이어 9월 바이오사업부문에 ‘테크 브릿지팀’을 신설하고 직접 투자를 진행했다. 투자 전문 팀을 만든 것은 투자 전문성과 실행력을 높이기 위함이라는 설명이다.

CJ제일제당은 사내 전문 조직이 갖춰진 만큼 식품·바이오 분야 유망 스타트업을 계속 발굴해 기술 협업에 나설 방침이다.

CJ제일제당 관계자는 “혁신하지 않는다면 생존을 담보할 수 없는 국내외 사업 환경 속에서 ‘스타트업의 도전 정신’과 ‘유연한 대응력’은 미래 성장동력 확보에 필수적인 요소”라면서 “빠르게 진화하는 기술과 트렌드의 변화를 사업 관점에서 이해하고 기존 사업과의 시너지를 강화해 미래 성장동력을 선제적으로 확보하겠다”고 말했다.



명희진 기자 mhj46@seoul.co.kr"
‘마이크로바이옴’ 뭐길래… CJ·LG·유한양행 다 찜했지?,2021-11-14 20:10,"바이오의약품 ‘블루칩’으로 부상

암·우울 영향 장내 세균 등 미생물 통칭
신약 상용화 없지만 성장성 무궁무진
대기업들 잇단 인수·지분 투자 등 속도
“선점 땐 치료제·식품 등 사업 확장성 커”
▲ 천종식(서울대 생명과학부 교수) 천랩 대표가 자폐증와 마이크로바이옴 간의 상관관계를 다룬 애리조나주립대 제임스 애덤스 교수의 논문을 소개하고 있다. 천랩은 마이크로바이옴 진단과 치료제 플랫폼 전문 기업으로 지난 7월 CJ제일제당에 인수됐다.
유튜브 캡처
#애리조나주립대 제임스 애덤스 교수에게는 자폐 증상을 가진 딸이 있다. 그는 2011년 한 가지 연구에 몰두했다. 장(腸)내 미생물 상태가 딸의 자폐증에 영향을 미치는지 알아보는 연구였는데 놀랍게도 설사나 변비, 복통 등 장에 문제가 있는 아이들이 언어, 사회성, 인지, 행동 등 전 영역에서 더 심한 자폐 증상을 보이는 것으로 나타났다. 연구는 이후에도 계속됐고 지금은 장내 미생물이 단순히 소화뿐만 아니라 암이나 우울증 등 다양한 질병에 영향을 주고 있다는 사실이 밝혀졌다.

장내 미생물을 비롯한 각종 체내 미생물을 통칭하는 ‘마이크로바이옴’이 차세대 바이오 의약품 시장의 ‘블루칩’으로 주목받고 있다. 14일 업계에 따르면 마이크로바이옴에 기반한 신약은 아직 상용화된 사례는 없지만 성장 가능성이 큰 만큼 시장을 선점하려는 국내외 업체들의 투자와 인수합병(M&A) 사례가 이어지고 있다.

마이크로바이옴은 우리 몸 안에 사는 미생물(Micro)과 생태계 (Biome)를 합친 용어로 세균과 바이러스 등 체내에 사는 각종 미생물을 통칭한다. 마이크로바이옴 수는 순수 인체 세포 수보다 두 배 이상 많고 유전자 수보다 100배 이상 많은 것으로 알려졌는데 7~8년 전부터 치료제 분야의 무궁무진한 가능성을 인정받아 ‘제2 게놈’으로도 불린다. 그동안에는 화장품과 건강기능식품 개발 활용에 그쳤다.

국내에서는 CJ제일제당을 필두로 유한양행, 종근당바이오, 팜젠사이언스, 지놈앤컴퍼니, 메디톡스, LG화학 등의 업체가 마이크로바이옴 투자에 속도를 내고 있다. 특히 대기업은 벤처·중소 마이크로바이옴 전문 기업에 대한 지분 투자, 인수, 권리 인수 등을 통해 마이크로바이옴의 가능성에 주목하고 있다.
이 가운데 CJ제일제당은 2019년 마이크로바이옴 벤처기업인 ‘고바이오랩´에 대한 투자에 이어 지난 7월 마이크로바이옴 전문 기업 천랩을 인수하며 가장 적극적인 움직임을 보이고 있다. 바이오의약품 중에서도 마이크로바이옴을 점찍은 것은 시장의 성장 가능성은 물론이고 식품 등과 연계한 바이오 사업 확장성을 고려한 것으로 보인다.

이 밖에도 LG화학이 지난해 4월 마이크로바이옴 기반 항암 신약의 권리를 인수했고 유한양행도 마이크로바이옴 기업 메디오젠의 지분 30%를 확보하며 최대 주주가 됐다.

업계 관계자는 “암이나 정신질환, 희귀질환 등 치료제로서의 마이크로바이옴 활용 가능성이 거듭 확인되면서 시장에 대한 기대감도 높아진 상태”라면서 “아직 시판 중인 마이크로바이옴 치료제가 없고, 가능성 있는 시장에 ‘퍼스트 무버’가 될 수 있는 만큼 도전할 만한 가치가 있다”고 말했다.

현재 마이크로바이옴 기반 신약 개발의 선두 기업은 미국의 세레스 테라퓨틱스다. 최근 감염성 대장염 치료제 임상 3상에 성공했다. 국내에서는 고바이오랩이 건선과 아토피 치료제로 글로벌 임상 2상을 진행해 단계가 가장 빠르다. CJ제일제당이 인수한 천랩은 간암, 대장암 종양 형성 억제 효과를 보이는 균주에 대해 임상 1상을 준비 중이다.

명희진 기자 mhj46@seoul.co.kr"
"CJ, 3년 만의 도전장… ‘레드바이오’ 투트랙으로 키운다",2021-11-14 20:10,"국내社 ‘천랩’ 손잡고 신약 개발 이어
네덜란드 위탁 생산 ‘바타비아’ 인수
2018년 제약 자회사를 매각하며 의약품 사업에서 손을 뗀 CJ제일제당이 국내 바이오 기업 ‘천랩’과 네덜란드 바이오 위탁개발생산(CDMO) 업체 ‘바타비아바이오사이언스’(바타비아)를 두 축으로 다시 한번 제약바이오 시장을 노린다. 이번엔 합성의약품 중심의 전통 제약산업이 아닌 ‘레드 바이오’ 시장이다.

14일 업계에 따르면 CJ제일제당은 지난 8일 바타비아의 지분 76%를 2677억원에 인수한다고 공시했다. 이로써 지난 7월 인수한 천랩과 더불어 CJ제일제당의 레드 바이오 사업 포트폴리오가 한층 강화됐다. 레드 바이오 시장은 생명공학을 의·약학에 적용한 분야로 차세대 바이오산업의 핵심 영역으로 꼽힌다.

3년 만에 레드 바이오로 시장에 도전하는 CJ제일제당은 신약 개발(천랩)과 막대한 투자비를 감당하기 위한 안정적인 수익 창출원(바타비아)의 ‘투트랙’ 전략을 취했다. SK그룹(SK바이오팜·SK팜테코)과 삼성그룹(삼성바이오로직스·삼성바이오에피스)도 신약 개발사와 비교적 빠르게 수익을 기대할 수 있는 CDMO·바이오시밀러(바이오의약품 복제약) 개발사를 각각 독립 법인으로 두고 있다.

먼저 천랩은 체내 미생물을 총칭하는 ‘마이크로바이옴’을 연구하는 기업이다. CJ제일제당은 천랩을 인수하고서 사내 레드 바이오 사업 부문을 이곳으로 모두 넘겼다. CJ제일제당은 “신약 개발 역량과 사업 추진 실행력을 강화하기 위한 차원”이라고 밝혔다. CJ제일제당은 현재 천랩 산하에 레드 바이오 사업을 총괄할 자회사 출범을 검토 중인 것으로 알려졌다.

세포·유전자 치료제, 항암바이러스 치료제 등 차세대 바이오의약품 개발사에서 일감을 받아 생산하는 바이오 CDMO 사업은 2030년 시장 규모가 140억~160억 달러(약 16조 5000억~18조 9000억원)에 이를 것으로 전망된다. CJ제일제당 측은 신속한 설비 확장 등의 투자를 통해 이 사업을 그룹의 4대 성장엔진(문화·플랫폼·건강·지속가능성)의 구심점으로 삼겠다는 전략이다.

박상준 키움증권 연구원은 “CJ제일제당이 레드 바이오 등으로 확대해 새로운 성장엔진을 확보할 것으로 보인다”면서도 “다만 새롭게 진출하는 영역이기 때문에 일정 수준 이상의 수익성 확보에는 다소 시간이 필요할 것”이라고 전망했다.

오경진 기자 oh3@seoul.co.kr"
이재현 복귀에 되살아난 CJ 투자본능,2021-11-09 17:48,"그룹 중기 미래 비전 발표 일주일 안돼
해외기업 인수·사내벤처 육성·지원 가동
2년간 비상경영·자산 매각 후 신규 투자
직원들 “회사, 뛰는 기업으로 다시 돌아와”
▲ 중기 비전 선포식에서 발언하는 이재현 CJ그룹 회장.
CJ그룹 제공
“(회사가) 다시 공격적 투자와 성장을 도모할 준비가 돼 있다는 인상을 받았다.”

이재현 회장의 등장에 CJ그룹의 분위기가 완전히 달라졌다. 지난 3일 이 회장의 중기 미래 비전 발표 이후 일주일도 안돼 해외 바이오 기업을 인수를 확정하고 계열사 사내벤처 육성·지원 프로젝트를 가동하는 등 CJ그룹의 ‘투자본능’이 살아나는 모양새다.

내부 구성원들도 “조용했던 회사가 2년 만에 다시 뛰는 기업으로 돌아왔다”며 기대감을 감추지 않고 있다.

9일 CJ그룹과 금융감독원 전자공시시스템 등에 따르면 CJ그룹은 코로나19 등의 여파로 3개 분야 사업에서 세계 1등이 되겠다는 ‘2030 월드베스트 CJ’에 제동이 걸린 상태다. 2020년까지로 잡았던 100조원 매출 달성 목표는 사실상 실패했다. CJ그룹의 지난해 연결기준 매출은 32조원으로 2019년 매출 34조원보다 더 줄었다.

이 회장의 중기 비전 발표는 2017년까지 이어진 오너 리스크과 더불어 코로나19 등의 여파로 비전 달성에 차질을 빚은 만큼 그룹의 성장 정체를 돌파하고자 하는 절실함이 작용한 것으로 해석된다. 지난해 그룹의 중심인 CJ제일제당이 1조원이라는 사상 최대의 영업이익을 올리면서 다소 숨통이 트인 것도 투자 기조로 회귀하는 데 일조했다는 분석이다.

인수합병(M&A) 시장의 큰손이었던 CJ제일제당은 2016년 국내외 공장 증설을 비롯해 2018년 말 1조 5000억원을 들여 미국 냉동 식품업체 슈완스컴퍼니를 인수해 그룹의 재무구조에까지 부담을 안겼다. 이에 CJ그룹은 지난 2년간 비상 경영에 돌입했다. 서울 가양동 부지와 구로동 공장부지 등 자산 매각에 나섰고, 굵직한 신규 투자 등도 중단했다.

한 CJ그룹 임직원은 “2019년 이후 큰 투자나 사업 개편도 없었던 상황이라 내부에서도 성장에 대한 의구심이 있었던 것도 사실”이라면서 “이번 중기 비전 발표로 직원들 스스로에 대한 비전이 생기고 회사가 앞으로 커지겠다는 믿음도 다시 생겼다”고 했다.

업계에서는 이 회장의 ‘4대 성장 엔진’(문화·건강·플랫폼·지속가능성) 구상 등 구체화 된 중기 실행 방안이 제시된 만큼 CJ그룹이 다시 M&A 등 통 큰 투자에 적극적인 움직임을 보일 것으로 전망한다.

심은주 하나금융투자 연구원은 “향후 3년간 10조원의 투자 의지를 밝힌 만큼 CJ그룹이 계속해서 사업 영역을 확대해 나갈 것으로 보인다”고 했다.

아울러 이 회장이 최고 인재 육성과 조직문화 개편을 강조한 터라 연말 정기 임원 인사에서 파격적인 인사가 단행될 가능성도 제기된다. CJ그룹은 지난해 연말 인사에서 CJ제일제당부터 CJ대한통운, CJ ENM 등 주요 계열사 수장을 대폭 교체한 바 있다.

명희진 기자 mhj46@seoul.co.kr"
CJ제일제당 바이오 의약품 위탁개발생산 시장 진출,2021-11-08 22:19,"네덜란드 BT 기업 ‘바타비아’ 인수
CJ제일제당이 제약바이오 분야의 해외 바이오테크(BT) 기업을 인수해 세포·유전자 치료제 위탁개발생산(CDMO) 시장에 진출한다.

CJ제일제당은 네덜란드의 유전자치료제 위탁개발생산 업체 바타비아 바이오사이언스(Batavia Biosciences·이하 바타비아)의 주식 5만 807주를 약 2677억원에 취득한다고 8일 공시했다. 주식 취득 뒤 CJ제일제당의 바타비아 지분율은 75.8%다. 주식 취득 예정일은 다음달 31일이다.

바타비아는 글로벌 제약사 얀센 백신의 연구개발과 생산을 맡았던 경영진이 2010년 설립한 회사다. 바이러스 백신과 벡터(유전자 등 체내 또는 세포 내로 전달하는 역할을 하는 물질)의 효율적인 제조 공정 개발 역량을 가지고 있다. CJ제일제당 관계자는 “앞으로 신속한 설비 확장 등의 투자를 통해 글로벌 바이오 의약품 생산기지로 도약을 준비할 것”이라고 말했다.



명희진 기자 mhj46@seoul.co.kr"
‘金배추’에 김장하기 두렵다… 유통업계 “김포족을 잡아라”,2021-11-02 17:46,"배추 평균도매가 작년보다 53% 급등
쪽파·마늘 등 김장 부재료값도 올라
완제품 김치업체, 다양한 이벤트 준비
대형마트는 절임배추 예약 판매 나서
본격적인 김장철을 앞두고 유통·식품 업계가 배추 물량 확보와 함께 김장을 포기하는 이른바 ‘김포족’ 잡기에 공을 들이고 있다. 이상 기후로 배추 공급량이 준데다, 들썩이는 ‘김장 물가’로 직접 김치를 담그는 것보다 사먹는 편이 더 낫다고 판단하는 소비자가 늘고 있기 때문이다. 1인 가구가 늘고 편리함을 추구하는 소비자가 많아진 것도 영향을 미쳤다.

2일 서울시농수산식품공사에 따르면 지난 1일 기준 배추(10㎏·상품) 평균 도매가는 7622원으로 지난해 같은 기간(4969원)보다 53.4% 올랐다. 올해 유독 길었던 장마 탓에 전국적으로 배춧잎과 뿌리가 썩는 ‘무름병’이 확산하면서 공급량 자체가 부진했다.

부재료 값도 일제히 올랐다. 한국농수산식품유통공사(aT)에 따르면 같은 날 쪽파(1kg) 도매가는 7898원으로 1년 전(5766원) 보다 37.0% 올랐다. 피마늘(10㎏)은 9만 6500원으로 같은 기간 27.4% 올랐고, 미나리(15㎏) 역시 10만 1400원으로 18.9% 상승했다.

양념 재료 값도 심상치 않다. 배추를 절이는 데 사용하는 굵은 소금(5㎏) 소매가는 1만 368원으로 지난해보다 33.5% 뛰었고 새우젓(1㎏)은 2만 2421원으로 7.6% 올랐다.

소비자 부담은 매년 커지고 있다. 실제 aT에 따르면 올해 4인 가구의 배추 20포기 기준 김장 비용은 26만 4000원에 달할 것으로 집계됐다. 지난해 이어 2년 연속 26만원 대로 역대 최고 수준이다.

상황이 이렇자 유통업계는 대용량 김치 제품군을 강화하고 절임 배추 등 채소류 예약·특가 판매에 힘을 싣는 분위기다. CJ제일제당, 대상, 풀무원 등 완제품 김치 판매 업체도 김장철 다양한 프로모션을 예고하고 있다.

먼저 이마트와 롯데마트가 절임배추 예약 판매에 나선다. 오는 4일부터 10일까지 예약 판매를 진행하는 이마트는 경북 문경, 전북 고창 등 주요 배추 산지와 사전 계약 재배를 통해 저렴하게 배추를 확보할 수 있었다고 설명했다. 물량도 지난해 대비 350% 늘렸다. 오는 11일까지 예약 판매에 나서는 롯데마트 역시 무름병 피해 산지를 피해 해남산 물량을 사전에 확보해 가격 경쟁력을 갖출 수 있었다는 설명이다.

완제품 김치 업체도 김장철 채소 가격 상승을 주시하며 김포족 수요 잡기에 나선다. 대상은 4일부터 12월 말까지 종가집 김장대전을 진행한다. 앞서 CJ제일제당은 지난달 온라인 몰을 통해 김치 캠페인을 진행했다.

명희진 기자 mhj46@seoul.co.kr"
"CJ그룹, 스타트업 발굴해 론칭 돕는 ‘즐거운 동행’",2021-10-26 17:40,"▲ CJ올리브영 직원이 상생 프로그램인 ‘즐거운 동행’을 소개하고 있다.
CJ 제공
CJ그룹은 경험이 부족한 스타트업을 발굴해 사업 노하우를 전수하거나 취약계층 일자리 창출, 창작자 생태계 활성화 지원 등 각 계열사 사업 영역에서 상생을 위한 다양한 노력을 지속하고 있다.

CJ ENM 커머스 부문은 초기 스타트업에 사업 노하우를 전수하는 상생 프로그램 ‘챌린지! 스타트업’으로 중소기업이 시장에 안착하고 빠르게 성장할 수 있도록 지원하고 있다. CJ ENM은 최근 혁신적인 창업 아이템을 가진 스타트업 6곳을 선발했고 올해 내 자사 방송 프로그램에서 관련 상품을 론칭할 계획이다.

CJ제일제당은 스타트업을 발굴, 육성하는 ‘프론티어 랩스’를 선보였다. 창의적인 아이디어를 가진 스타트업을 선발해 기업당 5000만원에서 1억원을 초기 투자한다. 3개월간 전문가 멘토링을 거친 뒤 추가 투자가 진행된다.

CJ올리브영은 취급하는 상품의 80%가량을 차지하는 국내 중소 협력사와의 상생에 앞장서고 있다. 우수한 품질을 갖춘 신규 브랜드를 발굴하고 CJ올리브영의 주요 매장과 공식 온라인몰에 입점할 기회를 제공하는 ‘즐거운 동행’ 프로젝트를 운영하고 있다. 현재까지 즐거운 동행을 통해 총 80여개 브랜드, 800여개 상품을 발굴했다고 회사는 전했다.



오경진 기자 oh3@seoul.co.kr"
"CJ제일제당, 싸라기도 맛있는 식품으로 만든다",2021-10-20 17:56,"‘가치소비’ 공략… 업사이클링 사업 추진
‘식물성 대체우유’ 사업도 독립적 운영
CJ제일제당이 깨진 쌀이나 콩 비지 등을 활용한 ‘푸드 업사이클링’, 현미나 콩 등 식물 기반 재료로 만든 ‘식물성 대체우유’ 사업을 새로 추진한다고 20일 밝혔다.

이 사업들은 CJ제일제당 사내벤처 프로그램 ‘이노백’에서 선정됐다. 이노백은 스타트업처럼 혁신적인 아이디어를 내보자는 취지로 지난 2월 도입됐다. 이 프로그램에 지원한 직원들은 기존 업무에서 손을 떼고 100일간 사업 아이템을 구체화하는 데 몰입할 수 있다고 회사는 설명했다. 식품 부산물을 제품으로 만들어 폐기물을 최소화하겠다는 푸드 업사이클링과 다양한 식물성 재료로 만든 우유를 개발하는 것은 최근 친환경이나 채식주의 등 젊은 세대가 추구하는 ‘가치소비’ 트렌드와도 맞물려 앞으로 성장 가능성이 클 것으로 회사는 내다보고 있다. 두 사업 모두 사내 독립조직으로 운영이 확정됐다.





오경진 기자 oh3@seoul.co.kr"
주식 팔고 대출받고… 수천억~수십조 상속세 고심 중인 재계,2021-10-10 17:54,"삼성家 상속세 12조… 주식만 2조대 매각
구광모, 물류사 판토스 지분 7.5% 팔아
롯데·한진·농심 주식 처분·담보대출받아

상속세 OECD 최고… “개편 논의 필요”
OCI·유니더스, 경영권 흔들리고 매각도
삼성 총수 일가가 12조원에 달하는 상속세를 납부하기 위해 삼성 계열사 주식을 2조원가량 매각에 나선다. 재벌들마저도 높은 상속세를 버티지 못해 대출을 받는 것은 다반사고 주식까지 처분하다보니 경영권이 흔들리는 사례까지 나오고 있다.

10일 금융감독원 전자공시시스템에 따르면 고 이건희 삼성전자 회장의 부인인 홍라희 전 리움미술관 관장은 삼성전자 주식 1994만 1860주에 대해 KB국민은행과 처분신탁 계약을 체결했다. 처분 이유에 대해선 ‘상속세 납부용’이라고 밝혔다. 지난 8일 종가(7만 1500원) 기준으로 환산하면 1조 4258억원에 달한다. 장녀인 이부진 호텔신라 사장도 삼성SDS 주식 150만 9430주(2422억원), 차녀인 이서현 삼성복지재단 이사장은 삼성생명 주식 345만 9940주(2473억원)과 삼성SDS 주식 150만 9430주(2422억원)에 대해 상속세 납부를 위한 신탁 계약을 맺었다. 이재용 삼성전자 부회장의 신탁 계약에 대해선 따로 공지가 없었다. 결국 삼성 총수 일가가 이번에 처분하는 주식가치는 지난 8일 종가 기준 총 2조 1575억원에 달한다.

삼성 총수 일가는 지난해 10월 이 전 회장이 별세하면서 주식 재산만 25조원어치를 상속받았는데 납부해야 하는 상속세는 총 12조원에 달하는 것으로 알려졌다. 국내 최고의 ‘부자 가족’으로 불리지만 워낙 상속세가 막대하다보니 자금 마련이 녹록치 않은 것으로 알려졌다. 상속세를 5년에 걸쳐 6회에 나눠서 내는 연부연납제를 활용하고, 지난해 삼성전자에서만 받은 총수 일가의 배당금이 약 1조원에 달하지만 결국 계열사 주식까지 팔아야 했다. 지난 8월 서울 장충동 저택을 196억원에 이병철 삼성그룹 창업주의 장손 이선호 CJ제일제당 부장에게 매각한 것도 내년 4월에 또 한차례 내야 하는 상속세 재원 마련과 무관치 않다는 분석이다. 삼성 총수 일가는 상속세 때문에 금융권에서 주식담보 대출·신용대출 등을 받기도 했다.

삼성뿐 아니라 LG, 롯데, 한진, 농심·율촌화학 등도 상속세 납부로 고심 중이다. 구광모 LG그룹 대표는 고 구본무 LG회장이 남긴 유산에 대한 상속세를 내기 위해 2018년 그룹 내 물류회사 판토스 지분 7.5%를 매각한 것으로 알려졌다. 롯데에서도 고 신격호 명예회장이 남긴 재산에 대한 상속세 4500억원 중 3200억원은 한국에서, 1300억원은 일본에서 납부하고 있다. 한진그룹에서는 조현아 전 대한항공 부사장이 지난 5월부터 10여차례 한진칼 주식 411억원어치를 처분해 상속세를 마련했다. 고 신춘호 농심 창업자의 주식을 상속받은 신동원 농심 회장 일가도 마찬가지다. 신 회장의 장남인 신상렬 농심 경영기획팀 부장은 상속세를 마련하기 위해 최근 농심 주식을 담보로 107억원의 대출은 받은 것으로 알려졌다.

우리나라의 상속세는 경제협력개발기구(OECD) 최고 수준이다. 상속 재산이 30억원이 넘으면 상속세 최고세율이 50%가 적용된다. 이 때 최대주주 지분 등은 20%를 할증 평가하기에 상속세는 최대 60%까지 높아질 수 있다.

이로 인해 경영권이 흔들리는 사례도 있다. 2017년 타계한 고 이수영 OCI 회장의 장남 이우현 부회장은 상속세 1900억원을 마련하기 위해 보유 지분 일부를 매각해 OCI의 3대 주주로 내려 앉았다. 국내 최대 콘돔 제조사이자 한때 세계 1위였던 ‘유니더스’의 김성훈 전 대표는 선친에게 물려받은 주식에 대한 상속세가 50억이 넘게 나오자 2017년 회사 경영권을 매각했다.

재계 관계자 “OECD 36개국 중 13국은 상속세가 없다”면서 “상속세 개편 논의가 필요하다”고 말했다.

한재희 기자 jh@seoul.co.kr"
