title,date,article
금융자산 10억 이상 부자 40만명 “주식투자로 재미… 암호화폐 싫어”,2021-11-14 17:48,"KB금융 ‘한국 부자 보고서’

10명 중 4명 올해 주식 투자액 늘려
새 관심분야 해외자산·미술품 꼽아
“암호화폐 투자 의향 있다” 3.3%뿐
금융자산 10억원 이상을 보유한 ‘부자’ 10명 중 4명은 지난해보다 올해 주식 투자를 확대한 것으로 나타났다. 장기적인 수익이 기대되는 유망 투자처로도 주식이 꼽혔다. 새롭게 떠오르는 투자처 중 관심도가 높은 분야는 해외자산과 미술품이었고, 암호화폐에 대한 투자 의향은 사실상 제로(0)에 가까운 것으로 조사됐다.

14일 KB금융지주 경영연구소가 펴낸 ‘2021 한국 부자 보고서’에 따르면 금융자산 10억원 이상 보유자가 올해 가장 선호한 금융 투자자산은 주식이었다. 보고서는 금융자산 10억원 이상을 부자로 규정하고, 400명을 상대로 설문조사를 실시했다.

이들의 금융 투자자산 운용 현황에 따르면 지난해보다 올해 주식 투자금액을 늘렸다는 응답은 전체의 40.0%로 집계됐다. 1년 전 조사보다 11.7% 포인트 증가한 수치다. 응답자의 59.0%는 실제로 올해 주식 투자로 수익을 거뒀다고 답해 펀드(33.7%), 채권(14.8%), 보험(6.5%)과 비교하면 압도적으로 많았다. 금융자산이 많을수록 투자하는 주식 종목이 많았고, 해외주식 투자에 적극적인 것으로 조사됐다. 앞으로 주식 투자를 늘리겠다고 응답한 경우도 31%로, 예적금(12.8%), 펀드(10.8%), 보험(7.5%), 채권(4.8%)의 투자를 늘리겠다는 답변보다 많았다. 또 장기적인 수익이 기대되는 투자처를 묻는 질문에도 응답자의 60.5%가 주식을 꼽았다.

떠오르는 투자처 중 부자들은 미술품과 해외주식·펀드·부동산 등 해외자산에 관심을 보였다. 하지만 “암호화폐에 투자 의향이 있다”고 응답한 경우는 전체의 3.3%에 그칠 정도로 투자에 부정적인 것으로 조사됐다. 암호화폐 투자를 꺼리는 이유로는 ‘투자 손실 위험이 커서’, ‘암호화폐 거래소를 신뢰할 수 없어서’ 등이 꼽혔다.

보고서에 따르면 금융자산 10억원 이상인 부자는 지난해 말 기준 39만 3000명으로 1년 전보다 3만 9000명(10.9%) 늘었다. 이들 중 45.5%가 서울 거주자였고 1인당 평균 금융자산은 66억 6000만원이었다. 이들은 부를 축적하기 위해 밑천이 되는 종잣돈을 8억원으로 봤다. 종잣돈을 모은 시기는 평균 42세였고, 종잣돈을 마련한 방법은 주식이 가장 많았다. 부의 원천으로는 사업소득(41.8%)이 가장 많이 꼽혔고 부동산투자(21.3%), 상속·증여(17.8%), 금융투자(12.3%), 근로소득(6.8%) 순이었다. 또 이들은 진정한 부자의 기준을 ‘총 자산 100억원 이상’이라고 봤다.



홍인기 기자 ikik@seoul.co.kr"
한국 부자 ‘40만명’…부자가 생각하는 부자 “총자산 100억”,2021-11-14 09:57,"KB금융 ‘2021 한국 부자 보고서’
부자가 생각하는 부자는
“자산 100억, 연소득 3억 이상”
금융자산 10억 이상 부자 39만 3000명
금융자산을 10억원 이상 보유한 부자들이 생각하는 부자의 기준은 총자산 100억원 이상, 연소득 3억원 이상인 것으로 나타났다.

KB금융지주 금융연구소는 14일 발간한 ‘2021 한국 부자 보고서’에서 지난 6월 기준 금융자산 10억원 이상 보유자를 ‘부자’로 보고, 이들 400명을 대상으로 설문한 결과 이같이 나타났다고 밝혔다.

심층조사에서 응답자들이 제시한 부자의 총자산 기준은 100억원 이상이 40.3%로 가장 많았다. 최소 소득 기준은 연간 3억원을 제시한 부자(34.5%)가 가장 많았다.

총자산이 많을수록 부자들은 자산을 부동산에 많이 배분했다. 총자산 50억원 미만 투자자와 50억∼100억원 미만 투자자의 저축 여력 대비 금융자산 배율은 각각 32배와 48배로, 부동산자산 배율(18배와 39배)보다 높았다. 금융자산에 투자하는 비율이 더 높다는 의미다.

●자산 많을수록 ‘부동산’ 선호

반면 총자산 100억원 이상인 투자자의 부동산자산 배율은 63배로, 금융자산 배율(50배)보다 높은 것으로 나타났다.

보고서는 또 금융자산 5억~10억원 보유자들을 ‘준부자’로 정의했다. 이들은 부의 축적에 기여한 요소로 사업소득(34%)과 부동산투자(22%), 근로소득(21%) 등의 순으로 꼽았다고 밝혔다.

부자들은 부의 축적에 기여한 요소로 사업소득(41.8%), 부동산투자(21.3%), 상속·증여(17.8%), 금융투자(12.3%), 근로소득(6.8%) 순서로 꼽았다.
▲ 서울 아파트 모습.
서울신문DB
준부자는 ‘부동산투자’와 ‘금융상품투자’에 높은 관심을 보였으나 부자는 ‘세무’, ‘은퇴·노후’, ‘법률’ 분야에 상대적으로 더 주목했다.

보고서는 “자산을 운용해 부를 키우려는 준부자의 욕구와 자산을 유지·관리하고 다음 세대로 이전하고자 하는 ‘부자’의 욕구가 반영된 결과”라고 분석했다.

한편 우리나라에서 10억원 이상의 금융자산을 보유한 부자는 지난해 말 기준으로 39만 3000명(전체 인구의 0.76%)으로, 40만명에 육박한 것으로 추정됐다. 지난해 주가 급등 등으로 부자 수가 약 11% 늘었고, 아파트 가격 상승 등의 영향으로 이들의 전체 자산 중 부동산 비중도 커진 것으로 조사됐다.

●한국 부자가 보유한 총자산 2618조원…21.6%↑

지난해 말 기준 한국 부자가 보유한 총 금융자산은 2618조원으로 1년 사이 21.6% 급증한 것으로 분석됐다. 부자를 자산 규모별로 나눠보면, 부자의 90.9%(35만 7000명)가 ‘10억원∼100억원미만’의 금융자산을 보유한 ‘자산가’로 분류됐다. 보유 금융자산이 ‘100억원∼300억원미만’인 ‘고자산가’는 2만 8000명(7.2%), 300억원 이상의 금융자산을 가진 ‘초고자산가’는 7800명(2.0%)이었다.

올해 기준 부자의 자산은 평균적으로 부동산과 금융자산에 각 59%, 36.6%의 비율로 나뉘어져 있었다. 일반 가구의 부동산, 금융자산의 비율(78.2%, 17.1%)과 비교해 부자들의 금융자산 비중이 2배이상 많았다.

정현용 기자 junghy77@seoul.co.kr"
윤종규 KB회장 COP26 공식행사 참석,2021-11-11 20:46,"▲ 윤종규 KB금융그룹 회장이 지난 10일 서울 여의도 KB국민은행에서 ‘기후변화 대응을 위한 최고위급 회의’에 온라인으로 참석해 이야기를 나누고 있다.
KB금융 제공홍인기
윤종규 KB금융그룹 회장은 지난 10일 영국 글래스고에서 열린 제26차 유엔 기후변화협약 당사국총회(COP26) 공식 행사인 ‘기후변화 대응을 위한 최고위급 회의’에 참석했다. 온·오프라인 하이브리드 방식으로 진행된 이번 회의에 온라인으로 참석한 윤 회장은 안토니우 구테흐스 유엔 사무총장, 알록 샤마 COP26 의장, 제니퍼 모건 그린피스 대표 등과 ‘정의로운 넷제로(탄소중립)의 미래’를 주제로 의견을 나눴다. 윤 회장은 “친환경 전환 기업을 적극 지원하고 녹색산업에 대한 투자를 확대하는 포지티브 전략을 추진해 나갈 계획”이라고 밝혔다.





홍인기 기자 ikik@seoul.co.kr"
"금감원, 우리금융 종합검사 돌연 중단한 이유는",2021-11-02 19:26,"▲ 지난달 1일 서울 여의도 국회에서 열린 정무위원회 국정감사에 참석한 정은보 금융감독원장이 의원질의에 답하고 있다.김명국 선임기자 daunso@seoul.co.kr
금융감독원이 이달 예정된 우리금융그룹 종합검사를 돌연 유보하면서 그 배경에 관심이 쏠리고 있다. 정은보 금감원장이 ‘시장친화적 감독’을 취임 일성으로 내건 만큼 종합검사 제도 폐지 가능성도 거론된다.

2일 금융당국에 따르면 금감원은 이달 15일로 통보했던 우리금융지주와 우리은행에 대한 종합검사를 유보하기로 했다. 지난해 코로나19 확진자 발생 등으로 일부 검사가 올해로 연기되긴 했으나 종합검사 중단은 올해 들어 처음이다. 금감원 관계자는 “코로나 상황에서 현장 실사가 어렵다는 판단을 내렸다”고 설명했다.

우리은행은 2018년 10월 경영실태평가를 받았으며 2019년 우리금융지주가 설립된 후 현재까지 종합감사를 받지 않았다. 5대 금융지주 중 종합검사를 받지 않은 곳은 우리금융뿐이다. 금감원은 연초 수립한 종합감사 계획에 따라 우리금융에 사전 자료 요구까지 보냈으나 이례적으로 계획을 취소했다.

종합검사는 금감원이 하는 현장 검사·평가 중에서도 시간과 인력이 가장 많이 소요되는 고강도 검사다. 애초 금감원은 올해 평년보다 많은 16회의 종합검사를 하겠다고 밝혔지만, 실제 종합검사는 KB금융지주와 국민은행, 메리츠증권, 삼성화재, 농협생명 정도에 그쳤다.

지난 8월 정 원장이 취임한 이후 금융사에 대한 강도 높은 종합검사 제도가 주춤해졌다는 해석이 나온다. 정 원장은 취임 당시 “금융감독의 본분은 규제가 아닌 지원에 있다”면서 시장과의 소통을 강조했다.

이에 금융권에서는 정 원장이 종합검사 제도를 대대적으로 손질할 가능성이 크다고 보고 있다. 금감원은 최근 검사·제재 개선을 위한 내부 태스크포스(TF)를 꾸려 운영 중이다. 오는 3일 예정된 정 원장과 금융지주 회장들과의 첫 간담회에서도 종합검사 제도에 대한 의견 청취가 있을 것으로 관측된다.

한편 금감원은 우리금융에 대한 종합검사 대신 오는 22일 SC제일은행에 경영실태를 진행할 것으로 알려졌다.

송수연 기자 songsy@seoul.co.kr"
금융지주 빅4 역대급 실적 잔치… KB금융·신한 첫 ‘4조 클럽’ 예고,2021-10-24 20:50,"하나·우리금융도 3조원 안팎 기대
‘규제의 역설‘로 ‘패닉 대출’ 부추겨
KB금융과 하나금융에 이어 25, 26일 발표를 앞둔 우리금융과 신한금융 등도 3분기 역대급 실적 잔치를 예고했다. 연간 순이익 기준으로 국내 금융업계 최초의 ‘4조 클럽’ 가입사도 속속 등장할 것으로 보인다.

24일 금융권에 따르면 KB금융과 하나금융이 각각 분기 최대 실적을 경신하며 연간 순이익 4조원과 3조원 돌파를 기대할 수 있게 됐다.

KB금융그룹은 올 3분기 순이익이 전년 같은 기간 대비 11.3% 증가한 1조 2979억원을 기록했다. 3분기까지 누적 순이익은 3조 7722억원으로 전년 같은 기간 대비 31.1% 늘었다. 분기·누적 기준 모두 2008년 KB금융그룹이 출범한 이후 최대 실적이다.

지난 22일 실적을 발표한 하나금융도 3분기 순이익 9287억원으로 전년 같은 기간 대비 22.5% 증가한 것으로 집계됐다. 3분기까지 누적 순이익이 2조 6815억원으로 전년 같은 기간 대비 27.4% 늘어 사상 최대였던 지난해 실적(2조 6372억원)을 이미 넘어섰다.

지난해 순이익 3조 4981억원을 기록한 신한금융도 올해 4조 클럽 가입이 무난할 것으로 예상된다. 금융정보업체 에프앤가이드에 따르면 주요 증권사들이 본 올해 KB금융과 신한금융의 연간 순이익 평균 추정치는 각각 4조 3284억원, 4조 3264억원이다. 여기에 우리금융도 2분기에 이어 3분기에도 ‘어닝 서프라이즈’를 예고했다.

하반기 들어 본격화된 금융 당국의 고강도 가계부채 규제가 외려 ‘규제의 역설´을 가져왔다는 분석이다. 연말에 대출 규제가 더 까다로워질 것이라는 공포심이 미리 대출을 앞당겨 받는 ‘패닉 대출´을 부추겼다는 것이다. 집값과 전셋값이 치솟아 관련 대출 실수요가 늘어난 것도 영향을 줬다. 여기에 한국은행의 기준금리 인상으로 은행의 순이자마진(NIM)도 크게 증가했다. 기준금리 인상 영향이 본격화되는 4분기엔 순이익 규모가 더욱 커질 것이라는 전망이 나온다.

김희리 기자 hitit@seoul.co.kr"
맞춤형 자산관리 기능 탑재 ‘KB스타뱅킹’ 앱 27일 출시,2021-10-24 20:50,"KB국민은행이 오는 27일 고객 중심으로 개편한 새 ‘KB스타뱅킹’ 앱을 선보인다고 24일 밝혔다. 새 앱은 자동 로그인 기능을 탑재하고, 이체 거래 때 내용을 입력하면 자동으로 거래가 진행된다. KB증권의 ‘이지 주식 매매’ 서비스, KB국민카드의 ‘KB페이 간편결제’, KB손해보험의 ‘스마트 보험금 청구’ 등 KB금융그룹 6개 계열사의 핵심 서비스도 이용할 수 있다. 고객 맞춤형 자산관리 서비스인 ‘마이자산관리’ 메뉴도 신설했다. 증권과 보험 등 다른 금융업권의 거래 정보뿐 아니라 부동산·자동차 등 비금융 자산 정보까지 정확하게 파악하고 진단받을 수 있는 서비스다. 이용자의 자산관리 특성을 8가지로 분류해 유형에 맞는 금융상품 추천, 절세와 부동산 상담, 상속·은퇴 준비 등 다양한 자산관리 서비스를 제공한다.



김희리 기자 hitit@seoul.co.kr"
"하나금융, 3분기 누적 순익 2.6조…역대 최대",2021-10-22 18:15,"▲ 연합뉴스
하나금융그룹이 KB금융그룹에 이어 올해 3분기에 역대 최대 수준의 누적 순이익을 거뒀다. KB금융그룹에 이어 금융지주들의 호실적이 이어지고 있다.

하나금융그룹은 지난 3분기(7∼9월) 9287억원의 당기순이익(지배기업 지분 순이익 기준)을 거뒀다고 22일 공시했다. 지난해 동기 대비 22.5%(1703억원), 전분기 대비 1.3%(116억) 증가한 수준이다.

1∼3분기 연결 당기순이익은 2조 6815억원으로, 역대 최대를 나타냈다. 이는 전년 동기 대비 27.4%(5771억원) 증가한 수치다.

하나금융은 “사업 포트폴리오 다각화에 따른 비은행 부문의 지속적인 성장과 안정적인 비용 관리에 힘입은 결과”라고 설명했다.

실제 주요 비은행 관계사의 3분기 누적 당기순이익이 지난해보다 늘었다.

하나금융투자는 자산관리수수료 등이 증대하면서 3분기 누적 4095억원의 당기순이익을 거뒀다. 전년 동기 대비 43.0%(1232억원) 증가한 수치다.

하나카드는 73.9%(846억원) 증가한 1990억원으로 집계됐다. 하나캐피탈은 51.9%(660억원) 증가한 1931억원을 기록했다. 이 외에 하나생명, 하나자산신탁은 각각 228억원, 692억원의 3분기 누적 당기순이익을 거뒀다.

기업을 중심으로 한 대출자산 증대와 수수료 수익 다변화로 성장세를 이어갔다.

이자이익(4조 9941억원)과 수수료이익(1조 8798억원)을 합한 3분기 누적 핵심이익은 1년 전보다 14.2%(8546억원) 증가한 6조 8739억원이다. 그룹의 3분기 순이자마진(NIM)은 1.64%다.

하나은행의 1∼3분기 누적 연결 당기순이익도 1조 9470억원으로 최대 수준을 기록했다. 3분기 연결 당기순이익은 6940억원으로, 전년동기 대비 17.7%(2926억원) 증가했다. 자산 건전성을 보여주는 고정이하여신(NPL) 비율은 0.33%로 기록했다. 연체율은 0.28%로 전 분기와 동일한 수준을 보였다.

송수연 기자 songsy@seoul.co.kr"
증권가 말대로… 찬바람 불자 배당주 인기 오르네,2021-10-20 17:22,"개인·외국인 투자자, 고배당주 순매수
변동성 장세에 안전한 투자전략 판단
기업도 분기 배당 확대하며 투자 유인
금융주 가장 주목… 美 배당주도 관심
배당수익률보다 ‘지속 가능성’ 살펴야
증권가엔 ‘찬바람 불면 배당주를 담으라’는 격언이 있다. 연말 배당 시즌을 앞두고 배당주의 인기가 올라가는 현상을 일컫는 말이다. 여기에 최근 국내 증시의 변동성 장세가 이어지면서 고배당주에 큰 관심이 쏠리고 있다. 개인 투자자와 외국인 투자자들의 고배당주 ‘사자´ 행렬이 이어지는 가운데 기업들도 분기 배당을 확대하며 분위기를 끌어 올리고 있다.

20일 한국거래소에 따르면 코스피가 최근 3000선 밑으로 떨어지며 크게 출렁한 상황에도 고배당주는 상대적으로 선방한 것으로 나타났다. 지난 9월 28일부터 지난 19일까지 14거래일 동안 코스피는 2.22% 하락한 반면 코스피 고배당50 지수는 1.09% 상승했다. 코스피 고배당50 지수에는 삼성전자, 현대자동차, 기아자동차, SK텔레콤 등 대표적인 대형 배당주 50개가 포함됐다.

최근의 금리와 증시 추이에 비추어 볼 때 고배당주에 투자하는 것이 기업의 미래 가치를 즉각적으로 회수하면서도 안전한 투자 전략일 수 있다는 조언이다. 신한금융지주, SK텔레콤, 씨젠 등이 올해부터 분기 배당을 결정하는 등 선택지도 늘어나는 추세다. 윤재홍 미래에셋증권 연구원은 “기존 성장주에 대한 밸류에이션 부담이나 시장 변동성 확대로 기본적인 배당 수익을 확보할 수 있는 배당주에 대한 관심이 커지고 있는 것”이라고 말했다.

배당주 가운데 가장 눈길을 끄는 건 금융주다. 금융지주사의 경우 올 상반기 시장금리 상승에 따른 순이자마진 개선과 투자 열풍 등으로 역대급 분기 실적을 기록하고 있는 만큼 배당에 대한 기대감도 커지고 있다. 이 기간 외국인 투자자들도 유가증권시장에서 삼성전자, SK하이닉스 같은 대장주를 약 3조원어치 팔아치우는 와중에도 금융주를 대량 매수하는 모습을 보였다. KB금융지주 1738억원, 신한금융지주 611억원, 우리금융지주 506억원어치를 각각 순매수했다.

증권주도 배당수익률을 눈여겨봐야 할 종목이다. 최근 밸류에이션이 높아지면서 증권사들의 배당 성향이 높아진 까닭이다. 다만 유동성이 축소되면 주식시장이 움츠러들어 증권사의 이익도 줄어들 우려가 크다는 점에서 금리 인상이 악재로 작용해 신중한 접근이 필요하다.

미국 배당주에 대한 관심도 커지고 있다. 미국은 분기 혹은 월 배당을 하는 기업이 많은 데다 빠른 배당 지급처럼 투자자 우호 제도를 갖춰 안정적 수익을 얻을 수 있는 까닭이다. 실제로 미래에셋증권에 따르면 S&P500 기준 약 75.6%의 기업이 분기 배당을 지급하고 있고, 배당금 지급일까지의 기간은 평균 21.3일인 것으로 집계됐다.

미국 배당주 투자 입문자들은 ‘배당 성장성’을 눈여겨볼 필요가 있다. 당장은 배당수익률이 높지 않더라도 기업 실적이 높아지면서 배당금을 매년 꾸준히 높여 가는 종목들을 말한다. 배당금이 50년 이상 증가한 ‘배당왕’, 25년 이상 증가한 ‘배당 귀족’, 10년 이상 증가한 ‘배당 챔피언’, 5년 이상 증가한 ‘배당 블루칩’ 등 연속 배당지급 연수와 조건에 따라 종목 리스트를 따로 집계한다.

전문가들은 ‘수익률의 함정’을 유의해야 한다고 조언한다. 배당수익률이 높다고 해서 섣불리 투자했다가 코로나19와 같은 위기 상황에 배당금을 삭감하거나 지급 중단이 발생할 우려도 있다. 윤 연구원은 “배당 성향이 높은 종목의 경우 주가상승 여력이 부족하거나 기업 입장에선 자금을 설비나 신규 투자에 투입하지 않고 주주들에게 배분하는 것인 만큼 배당 지속 가능성을 반드시 따져봐야 한다”며 “가급적 배당 성향이 60%를 넘지 않고 매출이나 이익이 지속적으로 유지되는 종목 위주로 투자하는 게 좋다”고 조언했다.

또 국내외 주식 모두 배당 소득의 약 15%가 소득세로 원천징수되고 배당과 이자 등을 합한 금융소득이 연 2000만원을 넘으면 종합소득과 합산 과세된다는 점도 유의해야 한다.



김희리 기자 hitit@seoul.co.kr"
역대 시즌 상금 ‘두 여왕’ 터닝포인트 샷이 필요해,2021-10-05 17:56,"KLPGA ‘올해 마지막 메이저’ 내일 개막
박성현, 길어지는 슬럼프 끊고 부활 주목
하반기 주춤한 대세 박민지도 우승 절실
▲ 박성현.
현대카드 제공
한국여자프로골프(KLPGA) 투어 역대 한 시즌 상금 1, 2위가 올해 마지막 메이저 대회에서 ‘샷 대결’을 펼친다. 미국 무대에서 뛰는 박성현(28)이 7일 경기도 여주 블루헤런 골프클럽(파72·6736야드)에서 개막하는 제21회 하이트진로 챔피언십(총상금 10억원)에 출전한다.

KLPGA 투어를 평정하고 2017년 미국여자프로골프(LPGA) 투어에 진출했던 박성현의 국내 대회 출전은 지난해 5월 KLPGA 챔피언십 이후 1년 5개월 만이다.

국내 정규투어 10승에 상금왕까지 올랐고 미국에 건너가자마자 신인상과 올해의 선수상, 상금 1위를 휩쓸며 세계 1위까지 꿰차기도 했다. 메이저 2승 포함 LPGA 투어 통산 7승을 거둔 박성현이지만 2019년 6월 월마트 NW 아칸소 챔피언십 이후 우승 소식이 끊겼다. 올해 18개 대회에 나가 톱10을 한 번도 경험하지 못했고 10번이나 컷 탈락하는 수모를 당했다.

9월 캄비아 포틀랜드 클래식 공동 15위, 지난 4일 숍라이트클래식 공동 27위 등 올해 가장 좋은 성적을 내며 분위기를 끌어올리고 있어 이번 대회가 전환점이 될 수 있을지 주목된다.

박성현은 “오랜만에 국내에서 뛸 기회라 설레고 기대된다”며 “최선을 다해 좋은 플레이를 펼치고 싶다”고 말했다.
▲ 박민지.
KLPGA 제공
올해 KLPGA 간판으로 떠오른 박민지(23)와의 만남도 흥미롭다. 최근 박민지는 박성현이 2016년 세운 한 시즌 최다 상금 기록을 20여만원 차로 갈아치웠다.

박민지는 7월 대보 하우스디 오픈 우승 이후 승수를 추가하지 못했다. 2위와 3위 각 1회 포함 톱10 4차례 등 나쁜 성적은 아니지만 한국여자오픈(메이저) 포함 6승으로 압도적이었던 전반기에 비하면 초라하기까지 하다. 상금은 넉넉한 1위이지만 대상 포인트에서는 KB금융스타 챔피언십(메이저) 우승자 장하나(29)에게 턱밑까지 추격당했고 평균 타수에서는 장하나, 한화클래식(메이저) 챔피언 이다연(24)에 이어 3위로 밀렸다. 유종의 미를 거두려면 반등이 필요하다. KLPGA챔피언십 우승자 박현경(21)도 메이저 2관왕에 도전한다.

홍지민 기자 icarus@seoul.co.kr"
"[포토] ‘수영, 배워볼까?’",2021-09-28 15:48,"코로나19 확산에 집콕이 장기화되면서 반려동물 관련 소비가 증가하자 유통업계가 반려동물 관련 상품과 서비스를 강화하고 있다. KB금융지주 경영연구소에 따르면 2021년 반려동물 관련 시장 규모는 6조 원을 넘어선 뒤 향후에도 연간 10%대 성장을 이어갈 것으로 전망된다. 사진은 28일 오후 경기 남양주 현대프리미엄아울렛 스페이스원에 입점한 하이엔드 펫 토탈샵 코코스퀘어에서 반려견이 수영 수업을 받는 모습. 2021.9.28

연합뉴스"
