title,date,article
,,
,,
호잉 “MVP 상금? 대전에 물어야… 재계약? 구단이 원한다면”,2021-11-19 14:23,"▲ KT 위즈 제라드 호잉이 18일 고척스카이돔에서 열린 두산 베어스와의 한국시리즈 4차전에서 MVP 수상 기념 촬영을 하고 있다. 연합뉴스
한화 이글스의 복덩이에서 KT 위즈의 복덩이가 된 제라드 호잉이 한국시리즈(KS·7전4승제) 4차전 최우수선수(MVP)에 꼽히면서 팀 우승에 힘을 보탰다. 다시는 야구할 기회가 없을 줄 알았던 호잉이 그야말로 야구 인생 말년에 제대로 꽃을 피웠다.

호잉은 18일 고척스카이돔에서 열린 두산 베어스와의 KS 4차전에서 홈런 포함 4안타 3타점 맹타를 휘두르며 MVP로 뽑혔다. 경기 후반 살아난 두산 타선의 추격 의지를 끊는 홈런이 승리에 결정적이었다. 호잉은 평소에 보기 드문 배트 플립까지 보여주며 제대로 상대의 기를 꺾었다.

2018년 한화의 가을야구 진출을 이끌었던 호잉은 지난해 타율 0.194에 그치며 시즌 도중 방출됐다. 그러나 올해 KT가 시즌 도중 대체 외국인 선수로 영입하면서 다시 한국에서 뛰게 됐다.

호잉 개인적으로도 의미가 남다른 우승이다. 호잉은 “한화에서 방출되고 미국에 돌아갔을 때 야구를 못할 거라고 생각했다”며 불안했던 시절을 떠올렸다. 마치 “구름 위를 걷는 듯한 기분”이라고 말할 수밖에 없던 이유다.

이날 MVP에 꼽혔지만 호잉은 마음 편히 웃지는 못했다. 세금 문제 때문이다. 호잉은 한화에 있던 시절 국내에서 종합소득세를 신고·납부하지 않은 사실이 확인됐고 대전세무서가 과세 예고를 통지했다. 그러나 호잉이 3개월의 불복 청구기간을 넘겨 체납자 명단에 오르게 됐다. 미국 거주지에서 세금을 납부한 호잉이 제대로 소명을 하지 못해 문제가 생겼다.

‘MVP 상금을 어떻게 쓸 것이냐’ 묻자 호잉은 “대전 세무서에 압류당하는 상태라 돈이 없어서 대전에 물어봐야 한다”면서 “야구만 열심히 해서 어떤 일이 일어나는지는 잘 모르겠다”고 했다. 호잉은 월급을 압류당하는 상태다.

올해 호잉은 정규리그에서 타율 0.239 11홈런 52타점으로 활약했다. 타율이 아쉬웠지만 장타력과 수비력은 KT에 큰 보탬이 됐다.

호잉의 MVP 상금이 대전세무서에 달렸다면 호잉을 내년에 볼 수 있을지는 KT에 달렸다. 호잉은 내년에도 볼 수 있느냐는 물음에 “팀이 원한다면 올 준비가 됐다”고 했다.

그러나 내년 일은 내년 일. 호잉은 “오늘 기쁨을 만끽하고 싶다”며 끝까지 활짝 웃었다.

류재민 기자 phoem@seoul.co.kr"
,,
이게 블락이야! 이게 블락이라고!,2021-11-19 08:31,"▲ 안양 KGC 오마리 스펠맨이 18일 안양체육관에서 열린 전주 KCC와의 경기에서 멋진 블록슛을 선보이고 있다. KBL 제공
2013년 “이게 블락이야?”라며 격렬하게 따졌던 허재 전 전주 KCC 감독도 인정할 만한 완벽한 블록슛이었다. 안양 KGC 오마리 스펠맨이 블록슛이 얼마나 상대에게 공포스러운 수비이자 팬들을 열광하게 만드는 플레이인지 제대로 보여줬다.

스펠맨은 18일 안양체육관에서 열린 2020~21 프로농구 KCC와의 경기에서 21점 8리바운드 5스틸 6블록슛으로 팀의 108-92 승리를 이끌었다. 5연승을 달린 KGC는 2위 수원 KT에 0.5경기 차로 따라붙었다. 선두 서울 SK와는 1경기 차이다.

몇 차례 화려한 덩크슛도 안양체육관을 찾은 팬들을 들썩이게 했지만 스펠맨은 블록슛으로 팬들의 감탄을 자아냈다. 경기 초반 흐름을 KGC쪽으로 끌어오는 동시에 KCC의 기를 제대로 꺾은 블록슛이었다.

경기 초반부터 스펠맨의 ‘파리채 블로킹’이 등장했다. 1쿼터 시작 1분 31초 만에 김상규의 돌파를 블록슛으로 막아내면서 곧바로 역전슛까지 성공한 스펠맨은 10-5로 앞선 1쿼터 중반 라건아의 슛도 걷어냈다.

2쿼터에도 스펠맨은 유현준의 슛을 압도적인 높이의 위력을 바탕으로 막아냈다. 2쿼터 종료 3분 29초 전에는 라타비우스 윌리엄스의 슛까지 막아내며 한 수 위의 수비를 자랑했다. 전반에만 블롯슛을 5개를 기록하면서 KCC가 당황할 수밖에 없었다.

3쿼터에도 정창영의 슛을 막아낸 그는 KGC의 ‘뺏는 농구’에 완전히 녹아든 듯 적극적인 스틸로 팀의 분위기를 띄웠다. 특히 3쿼터 중반 스틸 이후 문성곤과 합작한 덩크는 올스타전에서나 볼만한 화려한 덩크였다. 안 그래도 수비에서 상대를 압도하던 스펠맨은 공격에서도 상대의 기를 제대로 꺾는 플레이를 통해 이날 승리의 1등 공신이 됐다.

KGC는 지난 시즌 퍼펙트 우승의 주역인 제러드 설린저를 대신할 외국인 선수가 필요했던 만큼 스펠맨에 거는 기대가 컸다. 스펠맨은 1라운드 한때 부진하며 물음표가 달리기도 했지만 최근 5연승을 달리는 동안 평균 26.2점으로 완전히 적응한 모습을 보여주며 이번 시즌 설린저 못지않은 활약을 예고했다.

류재민 기자 phoem@seoul.co.kr"
준·수한 두 형님이 있었다,2021-11-19 01:24,"유한‘준’, 4번 타자로 어린 선수 경험 전수
박경‘수’, 부상 투혼 끝에 KS MVP 선정
▲ KT 위즈 박경수(왼쪽)와 유한준이 18일 고척스카이돔에서 열린 2021 프로야구 한국시리즈 4차전을 승리한 후 함께 마운드로 걸어나가고 있다. 최승섭 기자 thunder@sportsseoul.com
‘작은 형’은 동생들 우승 만들어 주겠다고 공 잡으러 뛰어가다 다쳤다. 자기도 처음이면서 괜히 책임감만 컸다. ‘큰 형’은 다친 작은 형을 보면서 마음이 짠했다가도 “형이 알아서 해”라는 당부에 안 그래도 큰 책임감이 더 커졌다. 세상 어디에도 없는 이런 형들이 있었기에 KT 위즈가 우승할 수 있었다.

KT의 두 형님 유한준과 박경수가 마침내 꿈에 그리던 첫 우승을 이뤘다. 고교 졸업 후 2003년 데뷔한 작은 형 박경수, 대학 졸업 후 2004년 데뷔한 큰 형 유한준은 리빌딩 시대에 보기 드문 ‘베테랑의 가치’를 보여줬다.

두 선수는 KT를 상징하는 선수다. KT 입단은 박경수가 먼저 했다. 박경수는 2014년 시즌 종료 후 자유계약선수(FA)로 KT의 1군 진입 첫해부터 함께했다. 이전 소속팀인 LG 트윈스에서는 유망주에 그쳤지만 KT에 합류한 첫해부터 22홈런을 때리는 거포 내야수로 성장해 팀에 힘을 보탰다.

유한준은 1년 후 고향팀에서 선수 생활을 하고 싶은 마음으로 KT에 합류했다. 주전 선수로서 어린 선수들이 성장할 수 있게 경험을 전수했다. 이번 한국시리즈를 앞두고는 2014년 준우승의 경험을 떠올리며 “후회 남기지 않도록 최선을 다하자”고 당부했다. 부담이 큰 4번 타자 자리도 맡았다.

형님들의 가치는 큰 경기에서 더 돋보였다. 특히 작은 형 박경수의 투혼은 KT를 우승으로 이끌었다. 박경수는 3차전에서 부상을 당했지만 결정적인 활약으로 90표 중 67표를 얻어 시리즈 최우수선수(MVP)에 꼽혔다. 우승을 확정한 순간 박경수는 목발을 짚고 그라운드에 나가 동생들과 기쁨을 만끽하는 감동적인 장면을 연출했다.



류재민 기자 phoem@seoul.co.kr"
"KT 강철 매직, KS 첫 대관식",2021-11-19 01:24,"4연승으로 첫 통합 우승 감격
▲ 18일 고척스카이돔에서 열린 2021 한국 프로야구 한국시리즈 4차전에서 두산 베어스를 상대로 8-4로 승리한 KT 위즈 선수들이 창단 첫 통합 우승의 기쁨을 만끽하고 있다.
연합뉴스
‘미운 오리 새끼’였던 KT 위즈가 마침내 화려한 백조가 됐다. 1군 진입 첫해부터 3년 연속 꼴찌에 그치며 “리그의 질을 떨어뜨린다”는 이야기를 듣던 KT가 창단 첫 한국시리즈(KS·7전4승제)에서 우승이라는 마법을 만들어 냈다.

KT는 18일 고척스카이돔에서 열린 두산 베어스와의 KS 4차전에서 초반부터 상대 마운드를 폭격하며 8-4로 승리했다. KS 성적 4승 무패로 창단 첫 우승을 일궈낸 것이다. 1군 첫 경기를 치른 후 2427일 동안 무럭무럭 성장한 막내는 지난해 플레이오프 탈락의 기억을 씻으며 2021년 프로야구의 주인공이 됐다.

결정적이었던 ‘타이브레이커’ 승리

올해 KT의 우승에는 삼성 라이온즈와의 정규리그 1위 결정전을 빼놓을 수 없다. 시즌 막판 타격 부진으로 고전한 KT는 삼성과 76승 9무 59패로 동률을 이뤄 지난달 31일 대구에서 타이브레이커를 치렀다.

KT의 열세가 예상됐지만 사흘 만에 등판한 윌리엄 쿠에바스가 7이닝 무실점으로 호투한 덕에 1-0으로 승리했다. 삼성이 플레이오프에서 탈락하면서 KT의 이 승리가 더 가치 있게 됐다.

우승 이끈 KT의 탄탄한 선발진

KT는 올해 6선발 체제를 가동하며 선발진이 812이닝(1위), 평균자책점 3.69(1위), 53승(1위)을 기록했다. 탄탄한 마운드는 올해 정규리그에서 가장 오래 1위를 할 수 있었던 원동력이자 시즌 후반 팀 성적이 떨어질 때도 버티는 힘이 됐다.

KS에서도 선발진의 위력이 돋보였다. 1차전부터 4차전까지 윌리엄 쿠에바스가 7과3분의2이닝 1실점, 소형준이 6이닝 무실점, 오드리사머 데스파이네가 5와3분의2이닝 무실점, 배제성이 5이닝 3실점으로 호투하며 모두 선발승을 거뒀다.

명선수에서 명감독으로… ‘강철 매직’

현역(해태 타이거즈) 시절 통산 152승을 올리며 1996년 KS 최우수선수(MVP)가 된 이강철 감독은 KT를 완전히 새롭게 변화시키며 감독으로서 우승까지 거머 쥐었다. 이 감독은 데이터를 적극 활용하면서도 데이터만 맹신하지 않는 야구를 구사했다. 여기에 특유의 유머러스한 화법으로 선수들과 소통에도 능하다는 평가를 받았다.

이 감독은 이날 KBO 감독상 수상 후 인터뷰에서 “매번 큰 대회 우승을 하면 허무해졌다. 오늘도 그랬다. 하지만 좋은 것이니 또 해야한다”면서 “김태형 감독 포함 두산 선수단이 좋은 팀이라 안심할 수 없었다. 좋은 경기 해줘서 감사하다”는 소감을 남겼다.

부끄럽지 않은 준우승 ‘미러클 두산’

사상 첫 7년 연속 KS 진출. 비록 준우승에 그쳤지만 두산은 올해 대단한 역사를 썼다. 예년만 못한 전력으로 만든 준우승이었기에 전혀 부끄럽지 않았다.

김태형 두산 감독은 패배 속에서도 선수들에 대해 “자기들이 잘해서 올라온 걸 어쩌겠느냐”고 농담하고 “승패는 감독의 책임이다. 7년 동안 진출한 것도 대단하다”고 격려하며 끝까지 여유를 잃지 않았다. 우승의 기쁨을 누구보다 잘 아는 두산 선수들은 경기 후 서서 KT를 향해 힘찬 박수로 ‘왕조의 품격’을 보여줬다.



류재민 기자 phoem@seoul.co.kr"
"몰라도 노련한 kt, 알기에 쓰라린 두산",2021-11-18 17:56,"kt, 가을야구 초보 같지 않은 경기력 발휘
부담에 손발 안맞는 두산, 경험이 독으로
▲ kt 위즈 선수들이 17일 서울 고척스카이돔에서 열린 두산 베어스전에서 승리한 후 마운드에 모여 기뻐하고 있다. 연합뉴스
한국시리즈(KS·7전4승제)가 대부분 처음인 kt 위즈 선수들이지만 마치 처음이 아닌 듯했다. 반대로 벌써 7년 연속 KS를 경험하는 두산 베어스 선수들은 처음인 것처럼 서툴고 부진했다. KS 경험의 차원이 다른 두 팀이 예상치 못한 모습으로 희비가 엇갈렸다.

kt가 막내 구단의 패기를 앞세워 KS를 주도했다. 우승을 경험한 선수가 허도환(2018년·SK 와이번스)뿐이고, KS 유경험자로 확대하면 최고참 유한준(2014년·넥센 히어로즈)까지 딱 2명이지만 kt는 KS 초보라고는 믿기지 않는 경기력을 선보였다.

시리즈의 향방이 걸린 1차전부터 kt는 남달랐다. 두산이 와일드카드 결정전부터 플레이오프까지 치른 7경기에서 55점을 올리며 타격감을 제대로 끌어올렸지만 kt는 윌리엄 쿠에바스가 7과3분의2이닝 1실점으로 호투하며 두산 타선을 잠재웠다. 이날 경기는 선수단에 자신감을 심어줬고 이후 경기에서 완벽하게 두산을 잡는 계기가 됐다. 특히 데뷔 19년 만에 처음으로 KS를 밟은 박경수의 투혼이 빛났다. 2차전에서는 1회초 무사 1, 2루의 위기를 몸을 던져 병살타로 처리해 초반 분위기를 주도했고, 3차전에서는 결승 홈런포로 팀에 승리를 안겼다. KS가 처음이지만 박경수는 전혀 초보의 티가 나지 않았다.

반면 두산은 1~3차전 팀 타율이 0.213(94타수 20안타)에 그쳤다. 홈런도 없었다. kt가 1~3차전 매 경기 홈런 1개씩 터뜨린 것과 비교됐다. 두산은 팀 타선이 가라앉았던 2017년(타율 0.226), 2018년(0.249), 2020년(타율 0.219)은 모두 준우승에 그쳤다. 이미 KS에서 어떨 때 준우승을 하는지, 어떻게 하면 우승하는지 잘 아는 선수들이지만 뜻대로 야구가 되지 않는 모습이다.

김태형 두산 감독도 많은 경험이 선수들에게 독이 됐다고 아쉬워했다. 선수들이 우승의 달콤함과 준우승의 쓴맛을 누구보다 잘 알기 때문이다.

김 감독은 18일 “경험 많은 선수들은 자기가 못하면 비난을 많이 받았던 경험도 있어서 부담을 많이 가진 것 같다”고 짚었다. 아무리 김 감독이 “승패는 감독의 책임”이라고 강조해도 소용없었다.

7년 전 부담 없이 즐겁게 야구 경기를 하며 왕조시대를 열었던 두산이지만 잘 아는 것이 이번엔 너무나 뼈아픈 부메랑으로 돌아왔다. 해마다 가을의 주인공이었던 두산으로서는 더 아쉬움이 남는 가을이다.

류재민 기자 phoem@seoul.co.kr"
,,
아내와 한국시리즈 직관 이재명 “맨날 같이 있어 특별한 소감 없다”,2021-11-18 22:14,"李 부부, 낙상사고 후 첫 공개 행보
▲ 이재명(왼쪽) 더불어민주당 대선후보와 부인 김혜경씨가 18일 서울 고척돔에서 열린 프로야구 한국시리즈 4차전을 관람하며 귓속말을 주고받고 있다. 지난 9일 김씨가 갑작스러운 낙상사고를 당한 이후 이 후보 부부가 함께 모습을 보인 것은 이날이 처음이다.
국회사진기자단
이재명 더불어민주당 대선후보 부부가 18일 프로야구 한국시리즈 관람을 위해 야구장을 찾았다. 아내 김혜경씨의 낙상사고 이후 9일 만의 첫 외부 공식 일정이다.

이 후보와 김씨는 이날 kt 위즈와 두산 베어스의 한국시리즈 4차전이 열리는 서울 고척스카이돔을 찾았다. 이 부부는 경기도청 소재지인 수원에 연고를 둔 kt의 점퍼를 맞춰 입고 나타나 시민들의 ‘셀카’ 요청에 응하면서 어깨에 손을 올리거나 ‘손하트’를 만들어 보이는 등 친밀한 관계를 보였다. 이 후보와 김씨 부부는 기자들과 만나 “우리는 맨날 같이 있기 때문에 특별한 소감은 없다”고 밝히기도 했다.

김씨는 지난 9일 자택에서 혼절해 쓰러지면서 얼굴이 찢어져 인근 병원으로 이송돼 봉합수술을 받은 것으로 알려졌다. 당시 사고 당일 이 후보는 김씨를 간호하기 위해 모든 일정을 취소하기도 했다. 이날 일정은 김씨의 건강상태가 큰 문제가 없음을 보여 주고, 부부 사이가 건재함을 대외적으로 드러내며 일각에서 제기하는 루머를 원천 불식하려는 의도로도 풀이된다. 김씨는 이날 수많은 관중이 모여 응원 열기가 뜨거운 와중에도 이 후보에게 바싹 붙어 경기를 관람했다.

이 후보는 야구단과의 인연도 강조했다. 그는 “성남시장을 할 때 kt의 창단을 지지하고 지원했다”며 “kt가 경기도 연고 구단이기 때문에 응원하고 있다”고 말했다. 그러면서 “경기도지사 취임 직후에 수원으로 응원을 갔는데, 당시 kt가 역전승을 했다”며 “오늘도 재미있는 경기가 됐으면 좋겠고, 개인적인 소망이라면 오늘 경기로 (시리즈를) 끝냈으면 좋겠다”고 했다. 김씨가 웃으며 “두산은 어떡하냐”고 묻자 이 후보는 “알아서 하겠지. 일단 우리 팀이 중요하니 우리 팀의 승리를 기원한다”고 답했다.



신형철 기자 hsdori@seoul.co.kr"
