title,date,article
“가장 많이 당했는데”…남아공 폭동 피해 LG 등 현지에 거액 기부,2021-11-17 06:17,"LG전자·가발업체·한국대사관 등 4천만원 상당 쾌척
▲ 남아공 폭동 피해 한인업체가 현지에 기부
16일(현지시각) 남아프리카공화국 콰줄루나탈주 더반시의 움흘랑가 캐피털펄호텔에서 이병인(맨 왼쪽) 아프릭 파이버 법인장이 어린이 에이즈 환자를 돌보는 보육원장에게 12만 랜드(914만 원) 상당의 가발과 5만 랜드의 현금을 기부하고 있다. 이 법인장 오른쪽부터 콰줄루나탈주 부지사, 박철주 대사, 에이즈단체 대표 및 어린이 담당 보모들. 2021.11.17
주남아공한국대사관 제공
지난 7월 남아프리카공화국에서 벌어진 폭동 당시 약탈을 당해 피해를 본 LG전자와 교민기업 등이 폭동의 진원지였던 지역사회에 도리어 수천만원 상당의 현금과 현물을 기부했다.

주남아공 한국대사관에 따르면 16일(현지시간) 콰줄루나탈주 더반시의 움흘랑가 캐피털펄호텔에서 LG전자와 교민기업 등의 기증식이 열렸다.

이들 기업과 함께 대사관, 코트라(KOTRA), 무역보험공사, 한전, 한전KPS 등이 기증식에 참석했다.

이번 기부는 LG전자를 비롯해 가발업체 아프릭 파이버, 삼원(KOAF), 폴라리스쉬핑 등이 참여했다.

이들 기업이 기부한 금액은 총 51만 8000랜드(약 3949만원) 상당으로, 이 중 절반 이상인 27만 8000랜드가 현금이다.

현물은 가발 12만 랜드 상당, 마스크 7만 랜드 상당(7000장), 손 세정제 5만 랜드 상당이다.

약탈·파괴로 LG전자 더반공장 전소 피해
▲ 남아프리카공화국에서 제이콥 주마 전 대통령의 구금에 항의하는 시위와 함께 촉발된 대규모 폭동과 약탈이 수도권까지 번지고 있는 가운데 동남부 항구도시 더반에 있는 LG전자 공장이 불에 타는 등 우리 기업도 큰 피해를 봤다. 12일 군중에 의해 불타고 약탈당하는 더반 LG전자 공장. 2021.7.13
연합뉴스
남아공 콰줄루나탈주를 중심으로 벌어진 폭동은 지난 7월 8일 부패 연루 혐의를 받던 제이콥 주마 전 대통령이 법정모독죄로 헌법재판소에서 15개월형을 받고 구금되자, 출신지인 콰줄루나탈에서 시작해 수도권으로 번졌다.

폭동 당시 남아공 내 4만여개의 사업체가 타격을 받았다. 쇼핑몰 200곳이 약탈과 손상을 당했고, 약 3000곳의 가게가 털렸다.

현금자동입출금기(ATM)도 1400개가 손상되고 통신 인프라도 113개가 파손됐다.

특히 LG전자 더반 공장이 전소되고, 삼성 콰줄루나탈 물류창고도 약탈당했다.

또 전국적으로 300명이 넘는 사망자가 나왔다.

당시 폭동은 정치적 이유로 촉발됐지만 그 바탕에는 지난해 3월부터 지속된 봉쇄령으로 인한 주민들의 극심한 생활고와 빈부격차에 대한 절망감이 자리하고 있다는 분석이 나왔다.

피해 가장 많이 본 LG전자 등이 가장 많이 기부

이번 기부에서 폭동 당시 한국계 기업 중 가장 큰 손실을 본 LG전자와 아프릭 파이버가 오히려 가장 큰 기부자가 됐다.

LG는 현금 15만 랜드를, 아프릭 파이버는 현금 5만 랜드와 가발 12만 랜드 상당을 더반의 곤궁한 사람들을 위해 써달라고 기증했다.

기부금과 현물은 콰줄루나탈의 4개 단체에 주어진다. 고아 50명과 취약 아동이 있는 ‘이케텔로 어린이 마을’, 가정폭력 피해자를 위한 ‘오픈도어 위기케어센터’, 불우이웃의 자립을 돕는 ‘우쿠툴라 트러스트’, 에이즈 영향을 받은 아동 등을 위한 보육원인 ‘LIV 마을’ 등이다.

박철주 주남아공 한국대사는 이날 기부와 관련, “적은 공감의 표시 나마 지난 7월 폭동사태와 코로나19 위기를 겪은 사람들이 어려움을 극복하는 데 도움이 되길 바란다”면서 “어려울 때 돕는 친구가 진짜 친구이듯 한인 공동체는 남아공과 함께 할 것”이라고 말했다.

논흘란흘라 음키제 콰줄루나탈 부지사도 “남아공 다른 지역이 아닌 콰줄루나탈주에 기증해 줘서 감사하다”고 말했다.

신진호 기자 sayho@seoul.co.kr"
"“미국 MZ 스포츠 팬덤 잡아라”…LG전자, NCAA 3년간 공식 후원",2021-11-15 16:15,"‘3월의 광란’ 대학농구는 NBA 못지 않은 인기
스포츠 마케팅 통한 다음 세대와의 교감 추구
LG전자가 미국 시장의 잠재 고객 유치를 위해 미국대학체육협회(NCAA) 후원 계약을 맺었다. 앞으로 NCAA 공식 기업 파트너로 참여하며 스포츠를 좋아하는 미국 청년층에게 LG전자 기업 이미지와 제품을 자연스럽게 노출한다는 전략이다.
▲ NBA의 괴물 루키 자이언 윌리엄슨이 듀크대 시절인 2019년 3월 버지니아 공대와의 NCAA 토너먼트 경기에서 상대 림을 향해 날아오르고 있다.AP 연합뉴스
15일 LG전자에 따르면 LG 측은 2024년까지 NCAA를 후원하는 내용의 계약을 최근 맺고 구체적인 지원 방안을 논의했다. NCAA는 미국 대학 스포츠를 지원하기 위한 단체로, 1100여개 대학과 50만명 이상의 선수들이 소속돼 있다. 해마다 3월에 열리는 대학 농구 결승전은 ‘3월의 광란’으로 불리며 미국에서만 약 1700만명이 시청할 정도로 인기가 뜨겁다.

LG전자는 NCAA와 협업해 스포츠 팬덤 마케팅 활동을 강화하고, 웹OS를 탑재한 LG 스마트 TV를 통해 미국에서 NCAA 전용 중계방송이나 팀 다큐멘터리 등 독점 콘텐츠를 제공하기로 했다.

LG전자는 또 NCAA 선수들의 수업과 훈련을 지원하기 위해 TV, 노트북, 모니터 등 자사의 IT 기기들을 제공할 예정이다.

LG전자는 앞서 2009년에도 한국 기업 최초로 NCAA와 후원 계약을 맺고 2015년까지 6년간 스포츠 마케팅을 진행한 바 있다.
▲ LG전자가 오는 2024년까지 미국대학체육협회(NCAA)의 공식 기업 파트너로 활동한다. LG 스마트 TV에서 NCAA 전용 중계방송은 물론이고, 독점 콘텐츠도 제공할 예정이다. LG전자 제공
윤태봉 LG전자 북미지역대표 겸 미국법인장(부사장)은 “대학 스포츠와 연계한 대형 마케팅을 통해 다음 세대 고객과 교감하는 기회를 확대하고, 스포츠에 열광하는 고객 수요를 적극적으로 공략할 것”이라고 말했다.



박성국 기자 psk@seoul.co.kr"
,,
[부고],2021-11-14 20:42,"●김기순씨 별세 홍석현(전북일보 부안취재부장)씨 모친상 14일 부안효장례식장 2호실, 발인 16일 낮 12시 (063)582-3939

●최남구씨 별세 최미란(제시카어학원장)·미경(문화일보 광고국 과장)·미선씨 부친상 이관주(LG전자 책임)·이규영(시스템글라스 대표)·김범종(청호나이스 팀장)씨 장인상 14일 오전 2시 김제우석병원장례식장, 발인 16일 오전 9시 30분 (063)543-4484

●이효상씨 별세 위연자씨 남편상 이석현(현대해상화재보험 상무)·석진(진흥기업 부장)·화성(자영업)씨 부친상 13일 오후 8시 5분 여수 장례식장 2층 1호실, 발인 15일 오전 9시 (061)688-4481

●김성희씨 별세 전진표(춘천시 부시장)씨 장모상 13일 오전 11시 충북 제천시 제천노인병원 장례식장 1호실, 발인 15일 오전 9시 (043)640-6144

●고기생씨 별세 김성익·숙희·수미씨 모친상 나문희씨 시모상 박재홍(제주시 박재홍내과의원 원장)씨 장모상 박기범(아주경제 자본시장부 기자)씨 외조모상 12일 오후 4시 제주 부민장례식장 2호실, 발인 15일 오전 6시 40분 (064)742-5000"
"LG 올레드TV, 3년 연속 美 타임지 ‘최고 발명품’",2021-11-14 17:48,"▲ LG 올레드TV, 3년 연속 美 타임지 ‘최고 발명품’
LG전자의 ‘LG 올레드 TV’가 미국 시사주간 타임지의 ‘올해 최고 발명품’에 3년 연속 선정됐다. LG전자는 14일 “LG 올레드 TV는 올해 최고 발명품 100개 중 유일한 TV 제품으로, TV 제품이 3년 연속으로 선정된 것은 이번이 처음”이라고 설명했다.
LG전자 제공
LG 올레드TV, 3년 연속 美 타임지 ‘최고 발명품’LG전자의 ‘LG 올레드 TV’가 미국 시사주간 타임지의 ‘올해 최고 발명품’에 3년 연속 선정됐다. LG전자는 14일 “LG 올레드 TV는 올해 최고 발명품 100개 중 유일한 TV 제품으로, TV 제품이 3년 연속으로 선정된 것은 이번이 처음”이라고 설명했다.

LG전자 제공"
"CES는 ‘한국 잔치’… 혁신상 삼성 43개, LG 24개 휩쓸어",2021-11-11 17:58,"내년 1월 2년 만에 오프라인으로 개최
‘갤럭시 Z플립3 비스포크’ 최고혁신상
▲ 한종희 삼성전자 영상디스플레이사업부장(사장)
코로나19 사태 이후 2년 만에 오프라인으로 열리는 세계 최대 가전·IT 박람회 ‘CES 2022’에서 삼성전자를 비롯한 한국 기업들이 ‘혁신상’을 대거 휩쓸었다. 한종희 삼성전자 영상디스플레이사업부장(사장)은 오는 1월 미국 라스베이거스에서 ‘기술은 인류와 지구를 위해 존재해야 한다’는 가치를 담은 ‘공존의 시대(Age of Togetherness)’를 주제로 기조연설에 나선다.

CES를 주최하는 미국소비자기술협회(CTA)는 10일(현지시간) 27개 부문의 CES 혁신상 수상 제품과 기술, 미디어 데이 참가 기업 등을 담은 CES 2022 공식 일정을 공개했다.

삼성전자는 영상디스플레이 21개, 생활가전 7개, 모바일 11개, 반도체 4개로 총 43개의 혁신상을 받았다. 특히 업계에서 가장 혁신적인 제품 또는 기술에 수여하는 최고혁신상 4개(영상디스플레이 3개, 모바일 1개)를 받았다. 영상디스플레이 부문에서는 TV가 11년 연속 최고혁신상을 받았다. 모바일 부문에서는 최근 출시돼 시장에 큰 반향을 일으킨 ‘갤럭시 Z플립3 비스포크 에디션’이 최고 혁신상에 올랐다.

LG전자는 모두 24개의 CES 혁신상을 받았다. 식물생활가전 ‘LG 틔운’과 LG 올레드 TV를 포함한 내년 출시 예정의 혁신 TV, 다목적 스크린 LG 원퀵 등 비즈니스의 효율을 높여주는 IT 제품 등이 수상 명단에 포함됐다. 이 가운데 LG 올레드 TV는 처음 출시한 2013년부터 10년 연속 CES 혁신상을 수상했다.

코로나19 여파로 올해 초 온라인으로만 진행됐던 CES는 내년 1월 5~8일 오프라인 개최를 확정 짓고 글로벌 기업들의 참여·전시 일정 등을 조율하고 있다.



박성국 기자 psk@seoul.co.kr"
"삼성 ‘골프’, LG ‘아티스트’ 협업 통한 가전의 대변신",2021-11-08 22:25,"삼성 ‘갤 워치4 PXG 골프’ 한정판매
LG, 윈도 페인터 ‘나난’과 전시회
▲ ‘갤럭시 워치4 PXG 골프 에디션’
미국 패션 브랜드 톰브라운과의 협업으로 조기 완판 흥행을 기록한 삼성전자가 프리미엄 골프 브랜드 ‘PXG’와 협업한 ‘갤럭시 워치4 PXG 골프 에디션’을 출시한다. LG전자는 프리미엄 빌트인 가전 브랜드 ‘시그니처 키친 스위트’에 산업계가 주목하는 아티스트 나난의 감성을 더한 특별 전시회를 진행한다. 두 회사 모두 주력 제품의 기능에 소비자별 취향과 감성을 접목한 니치마케팅(틈새전략)으로 다양한 변신을 시도하고 있다.
▲ 아티스트 나난의 감성을 더한 특별 전시회
8일 삼성전자에 따르면 오는 11일 국내 한정 판매가 시작되는 갤럭시 워치4 PXG 골프 에디션은 ▲갤럭시 워치4 골프 에디션 ▲프리미엄 PXG 가죽 지갑 ▲PXG 볼마커 ▲PXG 전용 스트랩 2종 ▲PXG 워치 페이스 3종 등으로 구성됐다. ‘스마트 캐디’ 앱을 탑재해 섬세한 거리 측정이 가능하고, 전 세계 4만여개 골프 코스 공략 가이드 등을 제공하는 등 골프 마니아층에 특화된 제품이다. 44㎜ 블랙 모델의 가격은 62만 9000원, 40㎜ 실버 모델은 59만 9000원이다.

LG전자는 서울 강남구 논현동 소재 시그니처 키친 스위트 매장에서 국내 1호 윈도 페인터 나난 작가와 협업한 전시회 ‘가을아, 천천-히: Fall Slooow-ly’를 오는 27일까지 진행한다. 나난은 매장 외관과 실내 공간을 하나의 캔버스로 활용해 낙엽과 벼, 감 등 가을 소재로부터 영감받은 작품을 전시했다. LG 올레드 비디오월 사이니지가 설치된 1층 라운지에는 낙엽이 떨어지는 영상과 함께 6000여개의 낙엽 오브제를 쌓아 만든 언덕 형태의 작품이 설치됐다.



박성국 기자 psk@seoul.co.kr"
"입맛 맞추고 취향 입히고… 가전, MZ에 꽂혀야 산다",2021-11-07 17:14,"가전시장 이끄는 MZ세대
산업계의 최근 트렌드를 관통하는 키워드는 단연 MZ세대(밀레니얼세대+Z세대)다. 자신에게 필요하다고 생각하는 제품에는 흔쾌히 지갑을 여는 MZ세대가 소비시장의 큰손으로 떠오르며 이들이 ‘꽂힌’ 신제품은 출시 즉시 완판되는 현상까지 나오고 있다. 이 때문에 가전업계도 이들의 눈높이와 수요에 맞춘 새로운 제품과 관련 서비스, 프로모션 등을 고민하지 않을 수 없는 시대가 됐다.
▲ MZ세대를 공략하기 위해 협업 식품사를 기존 8곳에서 11곳으로 늘린 삼성전자 ‘비스포크 큐커’. 밀키트 제품 바코드를 스캔하면 자동으로 요리 과정이 설정되는 ‘스캔쿡’이 가능한 메뉴가 총 140종 이상으로 확대된다.
삼성전자 제공
●삼성, 폴더블 폰에도 색 입혀 MZ 공략

에어프라이어·전자레인지·그릴·토스터의 네 가지 기능을 하나에 담은 삼성전자의 올인원 주방기기 ‘비스포크 큐커’는 주부들을 타깃으로 만들어지는 기존 요리기기들과 달리 젊은 세대에 초점을 맞춘 제품으로 평가된다. 특히 밀키트 형태 식료품을 정기적으로 배달받는 구독경제 서비스인 ‘마이 큐커 플랜’을 도입해 ‘집콕족’과 간편식 트렌드를 공략하며 올해 대표적인 흥행 가전제품으로 떠올랐다.

삼성전자는 최근 비스포크 큐커에 메뉴를 제공하는 업체를 기존 8개 식품사에서 11개로 늘렸다. 추가로 동참한 3개사는 프리미엄 가정간편식을 선보이고 있는 ‘테이스티나인’과 미식 큐레이션 플랫폼 ‘캐비아’, 간편 건강식 전문 플랫폼 랭킹닭컴을 운영하는 ‘푸드나무’인데, 이들은 모두 MZ세대에 인기가 높은 식품업체라는 공통점이 있다.

삼성전자와 LG전자가 경쟁하고 있는 맞춤형 가전 시장의 규모가 커진 것도 MZ세대 때문인 것으로 분석된다. 삼성전자는 맞춤형 가전 브랜드 ‘비스포크’가 인기를 끌자 아예 폴더블(접히는)폰에도 ‘비스포크 에디션’을 선보이며 젊은층 공략에 나섰다. 지난해 10월 말 출시 후 1주년을 맞은 LG전자 맞춤형 가전 ‘LG 오브제컬렉션’의 경우 구매자 가운데 40대 이하가 차지하는 비중이 60%를 훌쩍 넘는다. 지난 1년간 LG 가전 전체 구매자 가운데 40대 이하가 절반 정도인 점에 비춰 보면 신혼부부나 사회초년생 등에서 오브제컬렉션의 선호가 훨씬 높았다는 의미로 해석된다. 이 같은 인기에 힘입어 LG전자 가전 사업본부의 3분기 누적 매출은 20조원을 돌파해 지난해 같은 기간 대비 20% 이상 늘었다.
▲ LG전자가 올레드TV를 알리기 위해 지난달 21일 서울 성수동에 문을 연 ‘금성오락실’. 올레드 화면으로 각종 게임을 즐길 수 있으며, 12월 19일까지 운영될 예정이다.
LG전자 제공
●‘힙스터의 성지’ 성수동 공략 나선 LG

LG 관계사들은 최근 잇따라 ‘힙스터들의 성지’로 불리는 서울 성수동에서 젊은층을 타깃으로 한 각종 이색 이벤트를 열고 있다.

LG전자는 지난달 15일 식물생활가전 ‘LG틔운’을 소개하는 팝업스토어 ‘틔운하우스’를 성수동의 한 복합문화공간에서 선보인 데 이어 같은 달 21일부터는 LG 올레드(유기발광다이오드) TV를 체험하는 공간인 팝업스토어 ‘금성오락실’을 틔운하우스 인근에 있는 패션 편집숍 ‘수피’에서 열기 시작했다. 금성오락실은 추억의 오락실 게임부터 최신 콘솔 게임까지 올레드 화면으로 구현된 각종 게임을 즐길 수 있다. 올레드TV는 젊은층이 구입하기에는 다소 비싼 가격대의 프리미엄급 제품이라는 인식이 있지만, LG전자는 이 같은 행사를 통해 제품 구매 연령대를 좀더 낮출 수 있을 것으로 기대하고 있다.

이와 관련해 업계에서는 MZ세대를 중심으로 게이밍TV 시장이 급성장하는 모습에 주목하기도 한다. 특히 LG디스플레이의 올레드가 탑재된 48인치 TV는 게임에 최적화됐다는 평가가 나오며 최근 판매량이 급증했다. LG디스플레이는 이 같은 시장 트렌드에 따라 지난 9~10월 성수동의 또 다른 복합문화공간인 ‘피치스 도원’에서 ‘올레드 아트 웨이브’라는 이름의 디지털 아트전을 열고 MZ세대 공략에 나선 바 있다. LG전자는 오는 20~30일 같은 장소에서 자신의 취향에 따라 노트북을 맞춤형으로 개조할 수 있는 ‘LG 그램 튜닝 위크’ 행사를 열 예정이기도 하다.

업계 관계자는 “소비자들에 대한 직접적인 마케팅에 보수적이었던 디스플레이 업체들까지 시장 변화에 따라 고객에게 좀더 친근하게 다가가려고 노력하고 있다”면서 “MZ세대가 글로벌 경제활동의 중심이 되면서 이들을 잡기 위한 기업들의 경쟁도 더욱 치열해질 전망”이라고 말했다.



안석 기자 sartori@seoul.co.kr"
"청각장애인도 불편 없이… 삼성·LG, 수어상담 확대",2021-11-07 17:14,"▲ LG전자 수어상담센터에서 수어통역사 자격을 갖춘 전문 상담사가 화상으로 수어 상담을 하고 있다.
LG전자 제공
삼성전자와 LG전자가 최근 나란히 수어 상담 서비스를 확대하는 등 청각장애인을 위한 접근성 강화에 나섰다.

●삼성전자, 연내 50개국 이상으로 확대

삼성전자는 현재 미국과 브라질, 영국, 프랑스 등 40개국에서 실시하고 있는 수어 상담 서비스를 올해 말까지 50개국 이상으로 확대할 예정이라고 7일 밝혔다. 이 같은 서비스 확대는 삼성전자의 가전제품이 글로벌 시장에서 흥행하며 해외의 비장애인뿐만 아니라 장애인들도 중요한 소비층으로 부각했기 때문으로 풀이된다. 삼성전자가 글로벌 시장에서 수어 상담 서비스를 제공한 것은 2015년 터키가 처음으로, 당시 터키 대통령 비서실장과 경제부 장관이 삼성 터키법인에 정부 차원의 감사 인사를 전하기도 했다.

LG전자는 고객상담 서비스 자회사인 하이텔레서비스가 최근 청각언어장애 고객을 위한 수어상담센터를 운영하기 시작했다. 현재는 제품 관련 정보 위주로 상담할 수 있는데, 앞으로 구매와 렌털 등으로 서비스 운영 범위를 넓힐 계획이다.

●LG전자 국내 가전업계 첫 자체 서비스

특히 LG전자는 국내 가전업체 가운데 처음으로 수어 상담 서비스를 자체적으로 제공한다. 현재 국내 대부분 기업은 수어 전문 통역 기관인 손말이음센터를 통해 관련 서비스를 제공하고 있으며, 사내에 자체 서비스센터를 갖춘 기업은 5개사 정도에 불과한 것으로 전해졌다.

LG전자는 더욱 전문적인 맞춤형 서비스를 제공하기 위해 한국장애인개발원과 한국시각장애인연합회, 한국농아인협회 등 단체들과도 향후 협업을 강화할 예정이다. LG전자 관계자는 “앞으로 청각장애인들을 대상으로 더욱 전문성을 갖춘 상담이 가능하게 됐다”고 말했다.

안석 기자 sartori@seoul.co.kr"
LG마그나·인천시 MOU 체결,2021-11-04 23:00,"차 부품 투자… 지역 업체 클러스터 조성
LG전자의 전장사업 합작사 LG마그나 이파워트레인은 본사가 소재한 인천과 ‘전기차 부품 사업 추진과 지역경제 활성화를 위한 업무협약(MOU)’을 체결했다고 4일 밝혔다. 업무협약에는 인천 서구와 인천서부산업단지관리공단도 함께 했다.

지난 7월 LG전자와 세계 3위 자동차 부품사인 캐나다 마그나 인터내셔널이 합작해 출범한 LG마그나는 인천 서구에 본사를 두고 있며 전기차 파워트레인을 연구·개발·생산하는 사업장도 함께 운영하고 있다. LG마그나는 이날 MOU를 계기로 인천에 대규모 투자를 단행하고 지역 업체들과 클러스터를 조성하는 방안을 적극 모색할 계획이다. 인천시는 LG마그나에 대해 다양한 행정업무를 지원하고 근로 여건 개선을 위해서도 노력하기로 했다.





안석 기자 sartori@seoul.co.kr"
