title,date,article
"환경단체, 청주 SK하이닉스 LNG발전소 건설 저지 집회",2021-11-12 14:13,"충북지역 환경단체가 12일 청주시의 SK하이닉스 LNG발전소 건축 허가에 항의하는 집회를 갖고 건설 저지 입장을 밝혔다.

충북시민대책위원회·충북기후위기비상행동 등 4개 단체 회원 40여명은 이날 청주시청 앞에 모여 “LNG발전소가 들어서면 미세먼지, 온실가스, 발암물질, 폐수 등의 환경피해는 오롯이 시민이 감당하게 되고 이익은 SK하이닉스가 챙긴다”고 주장했다.

이들은 “2018년 대비 40% 이상 온실가스 저감계획을 내놔야 하는 청주시가 온실가스 배출량(에너지 부문)의 40%(152만t) 넘게 배출하는 LNG발전소를 허가한 것은 ‘2050 탄소중립’을 포기하는 것”이라며 “85만 시민을 기후위기 절벽으로 내몰고 있는 무능하고 무책임한 행정을 심판하겠다”며 “SK하이닉스의 오염물질 상쇄계획과 주민 상생 방안이 마련되고 ‘2050 탄소중립’을 위한 청주시의 저감계획이 마련된 뒤 LNG발전소 건설을 검토해도 늦지 않는다”고 강조했다.

이들은 집회 뒤 청주시청 주변을 행진하고 한범덕 청주시장 등을 비판하는 물풍선을 날리는 퍼포먼스도 했다. 앞서 청주시는 지난 8일 SK하이닉스가 흥덕구 외북동 청주테크노폴리스에 짓겠다며 지난 9월 낸 LNG발전소 건축을 허가했다.

SK하이닉스는 2023년까지 8000억원을 들여 이곳에 585㎿급 LNG발전소(연면적 7200여㎡)를 짓게 된다. SK하이닉스는 늘어난 반도체 생산량에 맞춰 전력수급의 안정성을 확보하겠다며 2019년부터 이 발전소 건립을 추진해왔다.



청주 남인우 기자 niw7263@seoul.co.kr"
中에 날 세우고 韓에 이해 구한 美상무장관,2021-11-10 21:00,"‘반도체 자료 약탈’ 中에 “터무니없다”
문승욱 장관 만나 자료 제공 사의 표명
韓철강 쿼터 확대 요청에 “협의하자”
▲ 지나 러몬도 미 상무장관
전날까지 삼성전자와 SK하이닉스 등 전 세계 반도체 업체가 미국 측에 반도체 판매 현황 등을 제출한 가운데 지나 러몬도 미 상무장관이 9일(현지시간) 중국엔 날을 세우고 동맹인 한국엔 이해를 구했다. 이번 조치의 목적이 중국을 배제한 공급망 구축이라는 점을 분명히 하고, 동맹 내 불만 다독이기에 나선 셈이다.

문승욱 산업통상자원부 장관은 이날 상무부 청사에서 러몬도 장관과 회담한 뒤 취재진에게 “(러몬도 장관이) 우리 기업들의 (자료) 제공에 대해 사의를 표명했고, 이번 상황은 공급망 내 미스매치가 일어난 이례적 상황 때문에 불가피하게 이뤄진 조치였다는 언급이 있었다”고 밝혔다.

러몬도 장관이 영업비밀 보안 등과 관련한 여러 우려를 감안해 제출 자료의 보안을 지킬 것이란 것도 확인했다고 했다. 또 미 상무부가 시시각각 변하는 반도체 산업의 특성상 전 세계 업체들에 반복해 자료를 요청할 것 같으냐는 취지의 질문에는 “추가 조치에 대한 언급은 없었다”고 답했다.

앞서 열린 백악관 브리핑에서 러몬도 장관은 전날 중국 관영 환구시보가 “명백한 (기업 자료) 약탈”이라고 비난한 데 대해 “그것(자료 제출)은 자발적이기 때문에 강압이었다고 말하는 것은 터무니없는 일”이라고 반박했다. 전날 러몬도 장관이 언론 인터뷰에서 국방물자생산법(DPA)까지 거론하며 자료가 불충분하면 추가 조치를 할 수 있다고 언급한 것과 비교하면 이날은 태도를 한층 누그러뜨렸다는 평가가 나온다. 안보적 측면이 있는 반도체 관련 정보 취합에 대해 동맹들이 보내는 우려 섞인 시선을 감안한 것으로 보인다.

한국산 철강의 할당량(쿼터)에 대한 논의도 오갔다. 문 장관은 대미 수출 철강의 쿼터를 확대하고 운영을 신축적으로 검토해 달라고 요청했으며 러몬도 장관이 “상호 검토·협의하자”고 화답했다고 전했다.



워싱턴 이경주 특파원 kdlrudwn@seoul.co.kr"
"삼성·SK, 반도체 정보 제출… 美 “자료 충분치 않으면 추가 조치”",2021-11-09 22:16,"TSMC 포함 189개 업체, 정보파일 등록
눈치작전 전망과 달리 기한까지 답변서
“고객 정보 빼고 상무부 가이드라인 맞춰”

美, 추가 자료 요구할 수 있어 기업들 긴장
방미 문승욱 장관 ‘영업기밀’ 이해 구할 듯
우리기업, 미중 갈등 속 ‘압력’ 우려 깊어져
▲ 삼성전자 서초 사옥-연합뉴스
미국 정부는 반도체 업계에 ‘자발적인’ 정보 제출을 요청했다고 밝혀 왔지만, 우리나라 삼성전자·SK하이닉스 등을 포함해 전 세계의 주요 반도체 업체 모두가 기한인 8일(현지시간)까지 답변서를 제출한 것으로 전해졌다. 미 상무부가 거래 기업 이름, 전체 거래 내역 등 민감한 정보를 제출 대상에서 제외<서울신문 11월 4, 9일자 각 1면>한 이유도 있지만, 미국의 압력을 기업들이 그만큼 크게 느꼈다는 의미다. 미중 경쟁 사이에서 우리 기업들의 고민도 깊어지는 분위기다.

미국 워싱턴DC의 소식통은 이날 “미 상무부의 요청에 대해 주요 반도체 생산 기업이 모두 제출 기한 내에 답변서를 냈다”며 “자발적 제출이기 때문에 기한을 넘겨 눈치작전을 펼치는 곳도 있을 거라는 전망과 달랐다”고 말했다.

자료를 받는 미 연방정부 사이트에 따르면 제한 시간인 이날 밤 12시까지 총 189개 업체가 정보 파일을 등록했다. 삼성전자와 SK하이닉스 등 국내 기업들도 이날 자료를 냈다. 삼성전자는 “(자료 내용은) 상무부 가이드라인에 맞췄다. 고객 관련 정보는 계약상 공개가 불가능해 포함하지 않았다”고 밝혔다.

세계 파운드리(반도체 위탁생산) 1위인 대만 TSMC, 미국의 메모리 반도체 업체 마이크론, 이스라엘의 파운드리 기업 타워세미컨덕터 등도 기한 내에 자료를 냈다.

미 상무부는 최근 정보 제출 요건을 완화했다. ‘기업별 반도체 거래 현황’ 대신 자동차용·휴대전화용·컴퓨터용 등 ‘산업별’로 내도록 해 고객사 이름을 밝히지 않게 했다. 또 업체마다 반도체 거래 내역 전체가 아니라 품귀 현상이 가장 심한 10개 품목만 명시토록 했다.

그럼에도 기업들의 긴장감은 여전히 낮지 않다. 미 상무부가 취합한 자료로 반도체 공급망의 병목현상을 규명하는 가운데, 올해 말까지 추가 자료 제출을 요청할 가능성이 남았기 때문이다.

지나 러몬도 상무부 장관은 이날 로이터통신과의 인터뷰에서 지난 2주간 직접 반도체 생산 업체들과 통화를 했다며 “삼성, TSMC, SK 등의 최고경영자(CEO)는 강력하고 완전한 데이터 흐름을 제출하겠다고 약속했다”고 말했다. 이어 “자료가 충분치 않다면 추가 조치가 필요할 수 있다”고 했다. 앞서 러몬도 장관은 국방물자생산법(DPA)을 근거로 정보 제출을 강제할 수 있다는 입장을 밝힌 적도 있다.

2박 3일 일정으로 미국을 방문하는 문승욱 산업통상자원부 장관은 9일 러몬도 장관을 만나 한국 기업이 낸 자료를 소개하면서 영업 기밀 등의 이유로 추가 자료를 내기 어려운 사정 등을 설명하고 이해를 구할 것으로 알려졌다. 특히 한국 기업들이 불이익을 당하지 않도록 양국 간 공조를 강화하는 방안 논의도 예상된다.

이날 워싱턴 현지의 우리나라 반도체 기업 관계자들은 먼저 이곳에 도착한 산자부 실무진을 만나 미 상무부에 제출한 자료 수준을 공유하고 향후 대응 방안을 협의한 것으로 전해졌다.

이번 자료 제출을 계기로 “미중 사이에서 우리 기업들에 대한 압력이 커지는 것을 분명 느끼고 있다”는 말이 현지 업계에서 나올 정도로 미중 갈등 속에서 한국 기업들의 우려는 커지고 있다. 중국 관영 환구시보는 “미국이 세계 반도체 위기를 명분으로 내세워 반도체 관련 기업으로부터 기밀 데이터를 강탈했다”며 “명백한 약탈”이라고 비난 수위를 높였다.

워싱턴 이경주 기자 kdlrudwn@seoul.co.kr
세종 박승기 기자 skpark@seoul.co.kr"
[속보] 삼성전자·SK하이닉스 “미 상무부에 반도체 자료 제출”,2021-11-09 08:38,"삼성전자는 고객사 정보 등 민감 정보를 제외한 반도체 공급망 자료를 미국 상무부에 제출했다고 밝혔다. SK하이닉스도 반도체 공급망 자료를 제출했다.

9일 삼성전자는 “미 상무부 가이드라인에 맞춰 반도체 공급망 자료를 제출했다. 다만 고객 관련 정보는 계약상 공개가 불가능해 상무부와 협의를 거쳐 포함하지 않았다”고 밝혔다.

SK하이닉스 관계자는 “고객과 신뢰 관계를 지키는 선에서 여러 상황을 고려해 자료를 제출했다”고 말했다.

앞서 미 상무부는 반도체 공급망 상황을 자체적으로 조사하겠다며 글로벌 기업들에 반도체 재고 수량과 주문 내역, 제품별 매출, 고객사 정보 등을 제출하라고 요구했다.


최선을 기자 csunell@seoul.co.kr"
반도체 ‘민감정보’ 빼고 美 제출… 추가 압박 우려에 민관 총력전,2021-11-08 20:56,"급한 불 끈 삼성전자·SK하이닉스

상무부, 민감한 고객사 이름 미공개 허용
연말까지 추가자료 요구 가능성에 ‘촉각’
문승욱 장관 이어 반도체협 부회장 방미
대만 TSMC 등 23개 업체 자료제출 완료
미국이 한국의 삼성전자·SK하이닉스, 대만의 TSMC 등 각국 반도체 업체에 기업 기밀을 크게 침해하지 않는 선에서 정보 제출을 요구하면서 현지 업계는 일단 큰불은 껐다는 반응이 대체적이다. 다만 미국이 민감한 내용이 포함된 정보를 추가로 요구할 가능성을 배제할 수 없다며 우리나라 민관이 힘을 합해 추가 협의에 몰두하고 있다.

워싱턴 현지 소식통은 7일(이하 현지시간) “문승욱 산업통상자원부 장관이 9일부터 11일까지 워싱턴을 방문해 반도체 공급 문제 등을 논의한다”며 “오늘 선발대로 최우석 산업부 소재융합산업정책관과 실무진이 도착해 관련 업무를 시작했다”고 밝혔다. 또 다른 소식통은 “이창한 한국반도체산업협회 상근부회장도 이번 주 초반에 온다”며 민관이 모두 나선다는 취지로 설명했다.

최근 들어 미국 상무부의 정보 제출 압박은 다소 완화되는 모양새다. ‘고객사별 반도체 거래 현황’ 대신 자동차용·휴대전화용·컴퓨터용 등 ‘산업별’ 자료로 내도록 해 반도체 업체들이 민감해했던 고객사 이름을 밝히지 않도록 했다. 나아가 전체 거래 내역이 아니라 반도체 품귀 현상이 가장 심한 10개 품목만 내도록 했다.

하지만 상무부가 반도체 병목현상을 규명하기 위해 취합한 정보들을 분석하는 과정에서 추가 자료 제출을 요청할 가능성을 배제할 수 없다. 자발적인 제출이 원칙이지만, 지나 러만도 상무부 장관은 국방물자생산법(DPA)을 근거로 정보제출을 강제할 수 있다는 입장을 밝힌 적도 있어 긴장감이 여전한 상황이다.

게다가 상무부가 전 세계 반도체 공급 업체와 반도체 이용 업체의 답변을 모아서 반도체 공급망 지도를 작성하는 데 성공할지도 아직은 확신할 수 없다. 이에 일각에서는 상무부가 올해 연말까지는 추가 자료 요청 절차를 진행할 거라는 관측도 나온다.

한편 글로벌 반도체 기업들은 상무부의 가이드라인에 따라 속속 답변을 제출하고 있다. 상무부가 제출을 요청한 사이트에 따르면 이날 총 23개 기업이 자료를 제출했다. 블룸버그통신은 이날 “대만 TSMC가 답변을 제출했고 고객 관련 정보는 공개하지 않았다”며 “마이크론 테크놀로지, 웨스턴 디지털, 유나이티드 마이크로일렉트로닉스 등 미국 업체들도 제출했다”고 전했다. 역시 민감한 정보는 포함하지 않은 것으로 전해졌다. 삼성전자와 SK하이닉스도 다른 회사들처럼 미 상무부가 완화한 기준에 맞춰 마감 기한까지 자료를 낸다. 앞서 김기남 삼성전자 부회장은 지난달 26일 미국의 반도체 정보 제출 요구와 관련해 “여러 사항을 고려해 차분히 잘 준비하고 있다”고 밝힌 바 있다.

워싱턴 이경주 특파원 kdlrudwn@seoul.co.kr"
"“품귀 심한 반도체, 톱10 자료만 내라”",2021-11-08 22:38,"美, 추가 완화안 제시… 삼성·SK 안도
▲ 반도체 자료사진. 서울신문DB
‘반도체 대란’ 사태 해결을 위해 삼성전자 등 글로벌 반도체 기업들에 주문·판매·재고 등 자료를 제출하라고 했던 미국 정부가 당초 요구한 전체 내역 대신 품귀 현상이 가장 심한 반도체 상위 10개 품목 관련 자료만 내도록 물러섰다. 앞서 지난 3일(이하 현지시간) 가장 민감한 자료인 고객사 정보를 제출 대상에서 제외하도록 허용<서울신문 11월 4일자 1면>한 데 이어 추가 완화 카드를 내민 것이다.

미국 워싱턴DC의 한 소식통은 7일 “미 상무부가 업체들이 제출하기 민감한 거래 기업 이름 대신 산업별(자동차용, 스마트폰용, 컴퓨터용 등)로 정리해 관련 정보를 내도록 완화한 데 이어 전체 판매·재고 현황 대신 공급 부족을 겪고 있는 상위 10개 품목 관련 자료만 내도록 물러섰다”고 말했다. 미국 중심의 핵심 부품 공급망을 구축하는 것이 목표이고 각국 정부와 업체들의 우려가 많았던 만큼 과도한 기업 압박은 자제했다는 분석이다.

앞서 미 상무부는 지난 9월 말 글로벌 반도체 기업들에 고객사명, 기술 단계, 판매·재고 현황 등 26개 빈칸을 채우도록 한 질문지를 공개하며 8일을 마감시한으로 제출토록 했다. 당시 각국 정부와 반도체 생산업체들은 기업 이름을 명시한 판매·재고 현황이나 전체 거래 현황을 제출할 경우 영업기밀 유출 등의 문제가 있다며 우려를 제기했다. 그러다가 지난 3일 고객사 이름을 빼고 거래 내역만 제출토록 했고 이번엔 품귀 10대 품목으로 제출 범위를 축소해 기업들의 부담을 덜어 줬다.

업계는 미 상무부의 잇단 완화 조치를 두고 “품귀 10대 반도체 관련 정보만 제출한다면 단가와 같은 핵심 정보를 노출하지 않을 수 있다”며 안도하는 분위기다. 삼성전자와 SK하이닉스는 기밀 유출 우려가 크게 줄었다며 8일 마감 시간까지 답변서를 제출한다는 입장으로 알려졌다.

다만 전 세계 반도체 공급망 지도를 그리는 것이 어려운 일이라는 점에서 상무부가 향후 추가 자료를 다시 요구할 수도 있어 일단 연말까지 안심하기는 이르다는 분석이다. 9일 미국을 방문해 지나 러몬도 미 상무부 장관을 만나는 문승욱 산업통상자원부 장관도 이 같은 우려를 전달할 것이란 전망이다.



워싱턴 이경주 특파원 kdlrudwn@seoul.co.kr"
"영진전문대, 코로나 뚫고 대기업 취업 날개 달았다",2021-11-08 15:20,"영진전문대 올해 2월 졸업자 중 302명이 국내 대기업에 취업했다.

AI융합기계계열이 삼성바이오로직스, 포스코, SK머티리얼즈 등에 86명이 취업했다. 전자정보계열·반도체계열도 삼성전자, LG이노텍, SK하이닉스 등에 94명, 신재생에너지전기계열 역시 현대자동차, LS전선, 삼성전기 등에 49명을 취업시켰다.

경영회계서비스계열은 삼성화재, LG유플러스, 롯데하이마트 등 금융, 유통서비스 업종에 36명을 취업시켰다.

최재영 영진전문대 총장은 “4차 산업혁명이 몰고 온 신산업, 신기술에 대한 사회적 수요가 확대되고 있다. 이러한 사회적 트렌드에 맞춰 다양성과 융합적인 역량을 지닌 고품격 인재를 양성하고, 이를 통해 안정적인 취업을 할 수 있도록 대학 구성원이 혼신을 다해 노력하고 있다”고 말했다.



대구 한찬규 기자 cghan@seoul.co.kr"
홍남기 “암모니아수 등 대체재 검토”… 이재명 “가격 통제·中에 특사 파견”,2021-11-07 20:50,"洪, 대외경제안보전략 회의서 대책 논의
송영길 “中 대사 만나 요소수 문제 전달”
▲ 홍남기 경제부총리 겸 기획재정부 장관이 휴일인 7일 오후 정부서울청사에서 미국 정부의 반도체 정보 제공 요청과 요소수 품귀 사태 대응 방안을 논의하기 위해 열린 대외경제안보전략회의에 참석하고 있다. 2021.11.7
안주영 전문기자 jya@seoul.co.kr
더불어민주당과 정부는 휴일인 7일 긴급회의를 개최하는 등 요소수 사태 대책 마련에 분주했다. 이재명 민주당 대선 후보는 중국에 특사단 파견과 매점매석에 대한 가격 통제가 필요하다고 촉구했다. 홍남기 경제부총리 겸 기획재정부 장관은 경제·외교·안보 장관들과 머리를 맞대고 호주로부터 급히 요소수 2만ℓ를 수입하는 등의 조치를 했다. 하지만 요소수 원료인 요소 국내 재고량이 이달 말이면 바닥이라 신속한 추가 대책이 필요하다는 지적이 나온다.

이 후보는 이날 당이 개최한 요소수 긴급점검회의에서 “(중국에) 특사단을 파견하는 방법을 동원해서라도 대책을 강구해야 한다”고 제안했다. 이어 “근본적인 장기 대책은 공급선 다변화와 국내 생산기반 확보일 텐데 단기적인 시장질서 교란행위에 대한 대책도 필요하다”며 “매점매석에 대한 관리 통제, 필요하다면 가격 통제, 더 나아가 수입과 유통을 공공으로 하는 방법도 생각하면 좋겠다”고 덧붙였다.

윤호중 원내대표는 “현재 당정청이 협력해 중국 측에 협조 의견을 전달한 상태”라고 전했고, 송영길 대표는 “(싱하이밍 주한) 중국대사를 만났고 베트남, 인도네시아, 말레이시아, 러시아와도 연락했다”고 말했다.

홍 부총리는 이날 경제·외교·안보부처 장관 등과 제2차 대외경제안보전략회의를 열고 호주로부터 긴급 물량을 수입하는 단기 대책과 함께 중장기 대책도 논의했다. 요소수 없이 경유(디젤) 화물차 등의 대기오염 물질을 분해하는 대체 촉매제 개발, 요소수 대체재인 암모니아수를 활용하는 시설 확대 등을 검토했다.

기재부는 또 요소·요소수 매점매석을 금지하는 고시를 8일 0시부터 오는 12월 31일까지 시행한다고 밝혔다. 이에 따라 요소수 제조업자·수입업자·판매업자, 요소 수입업자가 조사 당일을 기준으로 지난해 월평균 판매량보다 10%를 초과해 보관할 경우 물가안정법에 따라 3년 이하의 징역 또는 1억원 이하의 벌금에 처해진다.

한편 이날 회의에서는 미국 정부가 삼성전자와 SK하이닉스 등 반도체 기업에 8일(현지시간)까지 반도체 재고와 주문, 판매 등 공급망 정보를 달라고 요청한 것과 관련해서도 기업 부담을 줄이는 지원 방안이 논의됐다.

세종 임주형 기자 hermes@seoul.co.kr
서울 이혜리 기자 hyerily@seoul.co.kr"
‘경영+안보’ 변수… 워싱턴 사무소 강화하는 한국 대기업,2021-11-03 20:50,"LG 합류 등 내년 처음으로 10곳 넘을 듯
바이든, 한국기업 관심 커 인력·조직 확대
중국을 배제한 공급망 구축 등 미국이 경제 통상 정책의 기준으로 ‘국가 안보’를 내세우면서 한국 대기업들이 로비스트가 즐비한 미국 워싱턴DC에 속속 사무실을 열고 있다. 경영 효율성, 기술 경쟁 등이 전통적인 기업 현안이었다면 미국 정치, 외교·국방 정책이라는 새로운 변수가 등장했기 때문이다.

3일 업계에 따르면 워싱턴DC에 사무소를 만드는 대기업 수가 내년에 처음으로 10개를 넘을 것으로 전망된다. 현재는 삼성전자, 현대자동차, 기아, SK그룹, SK하이닉스, 포스코 등을 포함해 9개 대기업이 진출해 있다.

준비 중인 1호 대기업으로는 전무급을 포함한 7~8명이 현지에 파견돼 사무소를 만들 LG그룹이 있다. 후보지는 백악관에서 도보로 10분 거리인 것으로 알려졌다. 이르면 연내 개설할 수 있다. 이로써 4대 그룹이 모두 워싱턴 현지에 대관 조직을 갖추게 된다.

업계에서는 LG가 지난해 배터리 인력 유출 갈등으로 SK와 소송을 벌이면서 대관 조직의 필요성을 절감했다고 본다. 사건 정황으로 볼 때 SK가 미국에서 배터리 사업을 철수하는 것 아니냐는 최악의 전망까지 나왔지만, 실제로는 미 정계 인사들이 직접 화해를 주선했고 SK가 2조원의 배상금을 무는 것으로 일단락됐기 때문이다. 두 회사는 미국에서 각각 수조원을 들여 전기차 배터리 합작법인을 설립하는 등 미국 투자에 공을 들이고 있다. 이외에 CJ그룹도 워싱턴 사무소 이전을 검토 중이며 현대제철은 애틀랜타 사무실의 워싱턴 이전을 검토 중인 것으로 전해졌다. 현지 업계 관계자는 “조 바이든 행정부가 반도체·자동차배터리 등 한국이 강한 핵심 부품에 집중하면서 한국 기업에 대한 관심도가 커졌고 이 역시 한국 대기업의 워싱턴 진출이 활발해진 이유”라고 말했다.

올 들어 ‘워싱턴 조직의 확대·강화 경향’도 나타나고 있다. 워싱턴에 가장 빨리 진출했던 현대차는 지난 4월 도심항공모빌리티(UAM) 사업 거점인 ‘제네시스 에어 모빌리티’ 법인을 실리콘밸리가 아닌 워싱턴에 만들었다. 미 행정부의 정책 방향에 따라 일명 ‘드론 택시’의 운명이 결정될 수 있다. 방산업체인 한화는 현지 계열사들을 한화디펜스를 중심으로 확대 재편하면서 직원이 8명에서 15명으로 늘었다. 최근 진출한 대기업들은 ‘K스트리트’에 운집한 로펌을 적극 고용하면서 바이든 행정부의 동향을 점검하고 있다. 포스코는 지난 9월 스티븐 비건 전 국무부 부장관 겸 대북특별대표를 미국법인 고문으로 영입했다.



워싱턴 이경주 특파원 kdlrudwn@seoul.co.kr"
‘반중 공급망 구축’ 부메랑 되나,2021-11-03 20:50,"반도체 수출 中비중 60%, 의류·화장품 규제 가능성
▲ 조 바이든 미국 대통령이 지난 12일 삼성전자 등 19개 기업을 초청해 마련한 백악관 반도체 화상회의에서 웨이퍼를 직접 들어 보이며 반도체 공급망 자립의 중요성을 강조하고 있다. 서울신문 DB
조 바이든 미국 대통령이 동맹국을 규합해 반도체 등 핵심 부품을 조달하는 ‘반중(反中) 공급망 구축’을 본격화하면서 베이징 지도부가 중국 수출 의존도가 높은 한국에 여러 방법으로 보복할 수 있다는 우려가 제기된다.

●10월 中 반도체 수출 4조 3000억 ‘역대 최대’

3일 중국 경제매체 차이신에 따르면 지난달 한국의 대중 반도체 수출은 역대 최대인 36억 7000만 달러(약 4조 3000억원)를 기록했다. 지난해보다 41.5% 늘었다. 올해 1~10월 누적액도 390억 달러로 지난해 전체 대중 반도체 수출량(399억 달러)에 근접했다. 한국의 반도체 수출에서 중국이 차지하는 비중은 40% 정도다. 홍콩 물량까지 더해지면 60%까지 올라간다. 전체 대중국 수출 규모는 1300억 달러로 우리의 1위 교역국이다. 이같이 높은 대중 의존도로 인해 한국은 미중 갈등이 심화할수록 타격이 불가피하다.

다만 중국이 당장 한국 반도체 기업에 보복하긴 어렵다. 세계 메모리 시장 1, 2위인 삼성전자와 SK하이닉스의 D램 점유율은 70%에 달한다. 낸드플래시도 50%를 넘는다. 중국이 한국산 반도체 수입을 막으면 자국 기업들이 D램과 낸드플래시를 구할 수 없어 더 큰 피해를 본다. 시장조사업체 IC인사이트는 “중국은 여러 제조업 분야에서 한국을 턱밑까지 따라잡았다. 그러나 한국과의 기술 격차를 좁히지 못한 유일한 부분이 반도체”라고 설명했다.

●물품 하나씩 차단하는 ‘호주식 타격’ 우려

이 때문에 중국이 반도체 경쟁력을 확보할 때까지 ‘호주식 타격’에 주력할 것이라는 전망이 나온다. 호주는 지난해 코로나19 확산 책임을 두고 중국과 공방을 벌인 뒤 농산물과 해산물, 석탄 등 대중 수출이 가로막혔다. 다른 나라에서 대체 가능한 품목들이다. 한국에 대해서도 의류나 화장품 등 ‘꼭 안 사도 되는 물건’을 규제하면서 압박 강도를 높여 갈 수 있다는 분석이다.

앞서 중국은 2016년 사드(고고도미사일방어체계) 한반도 배치 결정 뒤 비공식적으로 ‘한한령’(한류제한령)을 내려 한국산 문화 콘텐츠 수입을 막았다.

베이징 류지영 특파원 superryu@seoul.co.kr"
