title,date,article
반도체 ‘큰형님’의 귀환… 증시 반등 모멘텀 ‘솔솔’,2021-11-24 17:32,"연말 증시 상승 기대감… 투자 전략은

반도체 대형주 4분기 본격 상승세 관측
글로벌 IT 기업 메타버스 투자 확대 호재

자동차도 전기차시장 실적 회복 기대감
“공급망 불안 완화… 유럽·美 주도로 회복”
올 상반기 이후 맥을 못 추며 부진의 터널을 지나던 삼성전자와 SK하이닉스 등 반도체 관련 대형주가 상승 조짐을 보이면서 코스피도 일시적으로나마 3000선을 탈환하는 등 반등 기대감이 커지고 있다. 글로벌 업황 개선으로 올 연말 국내 증시에서 수출 비중이 높은 반도체, 자동차 등 전통적인 대형주의 반등 가능성이 높아지고 있다는 전망이 나온다.

24일 한국거래소에 따르면 국내 증시 대표적인 대장주인 삼성전자 주가는 지난 19일부터 상승세로 돌아섰다. 특히 지난 22일에는 5.2% 오른 7만 4900원에 거래를 마쳤다. SK하이닉스도 같은 날 7.17% 상승 마감하는 등 비슷한 흐름을 보였다. 이에 힘입어 22일 코스피는 3013.22에 장을 마감해 종가 기준 지난 2일 이후 14거래일 만에 3000선 탈환에 성공하기도 했다. 이날 현대차(4.30%)와 기아(2.27%), 현대모비스(4.20%) 등 자동차주도 강세를 보이면서 힘을 보탰다.

증권업계에서는 반도체와 자동차 등 주력산업의 수출의존도가 높은 국내 시장의 특성상 글로벌 업황이 살아날 조짐을 보이면서 이들을 중심으로 연말 증시 반등의 모멘텀이 될 수 있을 것이라는 기대가 나온다. 특히 삼성전자, SK하이닉스 등 국내 반도체 대형주가 올해 4분기부터 본격적인 반등을 보일 것이란 관측이다. 반도체 메모리 가격 하락 등 위험 요인들이 주가에 선반영된 상황에서 내년 2분기부터 반도체 메모리 가격이 상승할 것이란 전망이 나오고 있는 까닭이다. 아마존, 마이크로소프트, 메타 등 해외 IT·플랫폼 업체들이 메타버스 시장을 선점하기 위해 투자를 늘리는 것도 호재다.

김동원 KB증권 연구원은 “반도체주들이 지난 10개월 동안 충분히 가격 조정을 받은 것”이라면서 “해외 기업들이 메타버스 구축에 서버 투자를 집행할 것이라는 전망과 부품 공급부족의 병목 현상이 완화될 것이란 기대감이 작용하면서 주가가 오른 것”이라고 분석했다. 김 연구원은 “내년 상반기까지 반도체 D램 가격 하락이 이어질 것이라는 전망이 나오고 있지만 이는 이미 주가에 반영이 된 데다 상반기에 가격 하락이 일단락되면 내년 2~3분기부터는 개선이 가시화되고 있는 상황에서 반도체 주가는 보통 업황에 6개월 정도 선행해서 움직이는 만큼, 이 같은 가격 반등의 기대감이 올 4분기 주가에 반영된다고 보는 게 맞다”고 덧붙였다.

정명지 삼성증권 투자정보팀장은 “금리 상승기에는 주식시장에서 상대적으로 매력이 큰 자산을 선택해야 하는데, 그동안 반도체 관련주들이 긴 조정기간을 거치면서 상대적으로 가격이 저평가돼 있었기 때문에 매력적인 종목으로 두드러지고 있는 것”이라면서 “그동안 대만 등 다른 신흥국시장과 비교해도 유독 부진했던 국내 증시가 본격적으로 키높이 맞추기에 나서면서 국내 증시의 두 축인 IT와 자동차가 4분기에 주도력을 회복할 수 있을지 주목해야 할 것”이라고 말했다.

자동차 역시 전기차시장을 중심으로 실적 회복 기대감이 커지고 있다는 관측이다. 장문수 현대차증권 연구원은 “내년에는 코로나19 안정화와 공급망 불안의 점진적인 완화 기대감 속에서 2019년 수준의 수요를 2분기 회복할 전망이다. 내년 1분기 재고 축적과 판매 회복이 시작되며 공급 환경이 개선될 것”이라면서 “공급망 불안 영향이 컸던 유럽과 미국 주도의 회복으로 전기차 중심의 시장 확대를 지속할 전망”이라고 분석했다．

김수연 한화투자증권 연구원도 이날 보고서를 통해 “올해 테슬라가 64% 오를 때 포드는 133% 상승했다”면서 “반도체 부족을 해결하는 기업 순서로 주가가 올랐다”고 분석했다. 이어 “반도체 업황개선과 물류난 완화가 자동차 생산 차질에 도움이 될 수 있을 것”이라면서 “반도체 부족이 자동차 업종에서 조금씩 해결되고 있다. 재고확보에 우위를 점했던 글로벌 자동차 주가부터 올랐고, 국내 자동차 주가도 뒤이어 상승할 가능성이 높아졌다”고 설명했다.

김희리 기자 hitit@seoul.co.kr"
대기업도 못 피한 코로나 고용 한파… 정규직 2만명 감소,2021-11-23 20:54,"매출 500대 기업 男 33%·女 66% 줄어
제약·바이오 웃고 영화·항공·유통 울고
▲ “내 일자리는 어디 있나”
코로나19 여파로 기업 취업 과정에서 비정규직은 늘고 정규직은 줄어든 가운데 23일 서울 구로구 신도림 테크노마트에서 열린 ‘2021 구로구 채용 박람회’에서 구직자들이 채용 게시판을 살펴보고 있다.
연합뉴스
코로나19 확산 이후 대기업 정규직이 2만명 가까이 줄어든 것으로 나타났다. 특히 사회적 거리두기 조치로 받는 영향에 따라 업종별 희비도 엇갈렸다.

23일 기업분석연구소 리더스인덱스가 국내 매출 상위 500대 기업 중 분기보고서 제출하고 비교가 가능한 313개 기업 고용 현황을 분석한 결과 코로나19 이전인 2019년 3분기 125만 2652명이었던 고용 인원은 올 3분기 기준 123만 9822명으로 1.0%(1만 2830명) 감소했다. 감소 인원 가운데 남성이 4266명(33.3%), 여성이 8564명(66.7%)이었다. 고용형태별로는 비정규직(기간제 근로제)이 5369명 늘어난 반면 정규직은 1만 8199명 감소했다. 양적으로나 질적으로 모두 지난해보다 악화된 셈이다.

업종별로는 코로나19 확산으로 업황이 개선된 제약·바이오(4.1%), 증권사(3.5%), 정보기술(IT)·전기전자(3.4%)가 크게 고용 인원이 늘어났고, 공공채용이 늘어나며 공기업 고용 인원도 3.0% 증가했다. 코로나19 영향이 심한 상사(-25.1%), 유통(-10.4%) 등에서는 감소세를 보였다.

고용 인원이 가장 많이 늘어난 기업은 지속적인 투자를 이어 온 삼성전자로, 지난해보다 8606명 증가했다. 뒤이어 현대자동차(2018명), SK하이닉스(1550명), 코웨이(1488명), 롯데케미칼(1309명), LG이노텍(1288명) 순으로 이어졌다. 반대로 사회적 거리두기 조치로 영화관 영업이 사실상 멈췄던 CJ CGV는 3722명 감소했고, 뒤이어 GS리테일(-1826명), LG디스플레이(-1619명), KT(-1462명), 대한항공(-1290명), GS건설(-1218명) 순으로 고용 인원이 많이 줄었다.



나상현 기자 greentea@seoul.co.kr"
코로나19 이후 대기업 정규직 2만명 가까이 ‘증발’,2021-11-23 17:41,"제약·바이오 늘고 영화·항공·유통 줄어들어

코로나19 확산 이후 대기업 정규직이 2만명 가까이 줄어든 것으로 나타났다. 특히 사회적 거리두기 조치로 받는 영향에 따라 업종별 희비도 엇갈렸다.
▲ 연합뉴스.
23일 기업분석연구소 리더스인덱스가 국내 매출 상위 500대 기업 중 분기보고서 제출하고 비교가 가능한 313개 기업 고용 현황을 분석한 결과 코로나19 이전인 2019년 3분기 125만 2652명이었던 고용 인원은 올 3분기 기준 123만 9822명으로 1.0%(1만 2830명) 감소했다. 감소 인원 가운데 남성이 4266명(33.3%), 여성이 8564명(66.7%)이었다. 고용형태별로는 비정규직(기간제 근로제)이 5369명 늘어난 반면 정규직은 1만 8199명 감소했다. 양적으로나 질적으로 모두 지난해보다 악화된 셈이다.

업종별로는 코로나19 확산으로 업황이 개선된 제약·바이오(4.1%), 증권사(3.5%), 정보기술(IT)·전기전자(3.4%)가 크게 고용 인원이 늘어났고, 공공채용이 늘어나며 공기업 고용 인원도 3.0% 증가했다. 코로나19 영향이 심한 상사(-25.1%), 유통(-10.4%) 등에서는 감소세를 보였다.

고용 인원이 가장 많이 늘어난 기업은 지속적인 투자를 이어 온 삼성전자로, 지난해보다 8606명 증가했다. 뒤이어 현대자동차(2018명), SK하이닉스(1550명), 코웨이(1488명), 롯데케미칼(1309명), LG이노텍(1288명) 순으로 이어졌다. 반대로 사회적 거리두기 조치로 영화관 영업이 사실상 멈췄던 CJ CGV는 3722명 감소했고, 뒤이어 GS리테일(-1826명), LG디스플레이(-1619명), KT(-1462명), 대한항공(-1290명), GS건설(-1218명) 순으로 고용 인원이 많이 줄었다.



나상현 기자 greentea@seoul.co.kr"
[데스크시각] 차라리 수도권 대통령을 뽑는다고 하라/이창구 사회2부장,2021-11-22 17:28,"▲ 이창구 사회2부장
‘분노의 대선판’에서 정책과 비전을 기대하는 건 부질없다. 거대 양당의 두 후보가 영혼 없이 던져 놓은 지역 공약을 보면 참담하다는 생각마저 든다. 더불어민주당 이재명 후보나 국민의힘 윤석열 후보가 내놓은 ‘지역 화두’ 중에 기억 남는 게 있는가. 윤 후보가 광주에 가서 방명록에 쓴 “오월 정신 ‘반듯이’ 세우겠습니다”와 이 후보가 부산에서 꺼낸 “부산 재미없잖아 솔직히” 정도가 기억 남는 것 아닌가.

진정성을 폄훼하지 말라고? 그래서 두 후보의 블로그에서 지역 공약을 살펴봤다. 굳이 비교를 하자면 당내 지역 경선을 거치고 올라온 이 후보의 공약이 좀더 체계적이고 구체적이다. 그러나 수도권 집중과 지역 소멸에 대한 근원적 고민이 없기는 마찬가지다. 둘의 공약대로라면 2차전지, 수소경제, AI, 클라우드, 우주항공, 반도체, 디스플레이, 탄소중립, 그린뉴딜, 백신, 바이오 등 온갖 찬란한 4차산업이 방방곡곡에서 만개하는 ‘혁신 클러스터’ 대한민국이 될 것 같지만, 실은 말의 성찬에 불과하다.

강원도 비전을 보자. 이 후보가 강원도를 ‘평화특별자치도’로 만들겠다고 하자 윤 후보는 ‘경제특별자치도’를 꺼내 들었다. 평화특별자치도를 만들기 위해 이 후보는 평화경제특별구역을 지정하겠다고 했을 뿐이며, 윤 후보가 경제특별자치도를 만든다며 내놓은 방안은 규제완화 특례를 부여하겠다는 것뿐이다. KTX가 뚫려 강원도를 찾는 사람이 많아지긴 했지만, “동해안 카페만 늘었을 뿐”이라는 강원도민의 자조를 후보들은 들어 봤는가.

전북 군산은 2018년부터 줄곧 고용위기지역으로 지정돼 있다. 고용위기지역 지정이 해제되면 중앙정부 지원이 끊기기 때문에 전북도와 군산은 내년 3차 연장에 사활을 걸고 있다. 현대중공업 조선소와 한국GM 공장이 폐쇄됐기 때문에 이 지경이 됐다.

상황이 이럴진대 이 후보는 친환경 자동차산업을 육성해 전북도를 그린뉴딜의 중심지로 만들겠다고 했다. 미국 GM이 2025년까지 한국시장에 전기차 10종을 출시하겠다고 밝힌 데서 모티브를 얻은 것 같은데, GM은 출시 계획만 밝혔을 뿐 한국에서 생산하겠다고 약속하지는 않았다. 윤 후보의 전북 공약은 딱 한 줄이다. ‘세계에서 가장 경쟁력 있는 국제 자유도시’로 만들겠다는 것. 이 거대한 꿈을 위해 윤 후보는 새만금 국제 투자진흥지구 지정만 제시했다. 일터를 잃은 조선소와 자동차 공장 노동자들에게 이런 공약이 어떻게 들릴지 생각해 봤는가.

둘의 지역 공약 중에는 똑같은 것도 많다. 부울경(부산·울산·경남) 글로벌 메가시티, 세종시 대통령 제2집무실, 백신·의료산업의 메카 경북, 우주산업 클러스터 전남 등이다. 부울경 메가시티와 세종시 집무실은 PK와 충청 표심 공략을 위한 ‘지역 공약의 고전’이 된 지 오래다. 경북 백신 메카 공약은 안동에 SK바이오사이언스의 백신 공장이 있기 때문에 나온 듯하고, 고흥 나로호 발사대 때문에 전남 앞에 우주산업 클러스터라는 거창한 슬로건이 붙은 듯하다. 이 단순한 공약을 위해 캠프에 수백 명의 전문가가 참여하고 있다는 사실이 놀라울 뿐이다.

통계를 들먹이지 않더라도 비수도권 주민들은 인구와 생산량의 절반 이상이 수도권에 쏠렸다는 걸 안다. SK하이닉스가 용인에 반도체클러스터를 짓기로 한 이후 온갖 클러스터는 헛구호라는 사실도 안다. 유망 스타트업이 판교 밑으로는 절대 내려가지 않는다는 것도 잘 안다. 이건희미술관이 지역에 지어지지 않으리라는 것도 본능적으로 알고 있었다. 그리하여 지역은 외친다. 차라리 수도권 대통령을 뽑으라고.

이창구 사회2부장 window2@seoul.co.kr"
"R&D 투자 대기업 쏠림 현상 심화… 상위 9곳, 전체 62% 차지",2021-11-22 18:02,"투자 상위 1000대 기업 R&D 조사 결과
10대 기업 투자액, 작년보다 2.5% 늘어
지난해 국내 10대 기업의 연구개발(R&D) 투자액이 1000대 기업 전체 투자액의 63%를 넘는 것으로 나타났다. 중소기업도 매출액 대비 투자 비중을 꾸준히 늘리고 있지만 R&D 투자 규모 면에서는 대기업 쏠림 현상이 심화하고 있다.

한국산업기술진흥원(KIAT)은 2020년 R&D 투자 상위 1000대 기업을 대상으로 진행한 ‘R&D 스코어보드 조사’ 결과를 22일 발표했다. 지난해 10대 기업의 R&D 투자액은 34조 9850억원으로 전년 대비 2.48% 늘었다. 이 중 R&D 투자액 1조원 이상인 기업은 삼성전자(17조 8000억원), SK하이닉스(3조 4000억원), LG전자(3조원), 현대자동차(2조 8000억원), 삼성디스플레이(2조원), 기아(1조 7000억원), LG디스플레이(1조 4000억원), 현대모비스(1조원), LG화학(1조원) 등 10대 기업 중 9곳이었다. 이들 9개 기업의 R&D 투자는 총 34조 2000억원으로 1000대 기업 전체의 61.7%를 차지했다.

1000대 기업의 R&D 투자액은 총 55조 4000억원으로 전년 53조 6000억원보다 3.35% 증가했다. 최근 10년간 1000대 기업의 매출액 대비 R&D 투자 비중은 꾸준히 늘어 지난해 4.53%를 기록했다. 이 수치는 2010년 2.79%에서 2013년 3.16%로 3%대, 2019년 4.29%로 4%대를 넘으며 꾸준히 늘었다.

기업 규모별로는 종업원 1000명 이상 기업 192개의 R&D 투자액이 47조 4000억원으로 전체의 85.5%를 차지했다. 300~999명 기업 4조 6000억원(8.2%), 100~299명 기업 2조 5000억원(4.5%), 99명 이하 기업 1조원(1.8%) 등이 뒤를 이었다. 99명 이하 기업의 R&D 투자액은 1조원으로 절대적 액수는 적었지만 매출액 대비 R&D 투자 비중은 27.31%로 가장 높았다.

산업별로는 1000대 기업 중 73.4%를 차지하는 제조업의 R&D 투자액이 49조 4000억원(89.1%)으로 대부분을 차지했다.



김승훈 기자 hunnam@seoul.co.kr"
"美 USTR 대표 만난 통상본부장 “철강 쿼터 제한, 재협상 요구했다”",2021-11-22 22:36,"트럼프가 발동 ‘철강 232조’ 해결 요청
타이 대표, 기술 반입 中제재 확대 시사
“SK 반도체공장 제동, 안보 리스크 때문”
▲ 여한구 산업통상자원부 통상교섭본부장이 22일 정부세종청사에서 ‘제6차 한미 자유무역협정(FTA) 공동위원회’ 결과를 발표하고 있다.
세종 연합뉴스
여한구 산업통상자원부 통상교섭본부장은 22일 “한미 통상장관 회담에서 철강 232조 해결을 위한 조속한 협상 개시를 요구했다”고 말했다.

여 본부장은 이날 정부세종청사에서 브리핑을 열고 한미 통상장관 회담 결과에 대해 이같이 밝혔다. 여 본부장은 캐서린 타이 미 무역대표부(USTR) 대표와 지난 19일 서울 신라호텔에서 ‘제6차 한미 자유무역협정(FTA) 공동위원회’ 계기로 통상장관 회담을 했다.

도널드 트럼프 전 미국 정부는 2018년 자국 자동차와 철강산업 보호를 위해 무역확장법 232조를 발동했다. 232조는 외국산 수입 제품이 미 국가안보를 위협한다고 판단되면 긴급하게 수입을 제한하거나 고율 관세를 매길 수 있도록 한 조항이다. 미국은 이 법에 근거해 유럽연합(EU)과 일본 등에 철강 관세 25%를 부과하고 우리나라에는 연간 대미 철강 수출 물량을 3년(2015~2017) 평균의 70%로 제한하는 조치를 단행했다.

여 본부장은 “최근 미국이 EU 및 일본과의 협상을 타결하거나 개시한 만큼 EU, 일본과 미국 시장 내에서 경쟁 관계에 있는 우리나라도 다시 협상을 개시해야 한다는 점을 강력히 전달했다”면서 “미국 내 한국산 고급 철강 제품에 대한 수요가 높고 한국 제조업 기업들의 대미 투자가 급증하는 만큼 철강 232조 해결을 위한 조속한 협상 개시를 지속해 요청했다”고 말했다. 그는 구체적인 협상 시작 시기에 대해 “현재로선 시점을 예단하기는 어렵지만 조속한 시일 내에 협상이 개시될 수 있도록 최선을 다하겠다”고 했다.

타이 대표는 방한 기간 동안 미국의 대중국 견제 정책 확대 가능성을 시사했다. 타이 대표는 이날 방송된 CBS 라디오 인터뷰에서 반도체뿐 아니라 다른 품목으로도 안보 목적의 중국에 대한 기술 및 장비 반입 제재가 확대될 수 있느냐는 질문에 “국가안보라는 것은 군사나 (국가) 방위와도 관련이 있지만 그보다 더 광범위해질 수도 있다”고 했다.

최근 SK하이닉스는 중국 장쑤성 우시의 D램 반도체 공장에 네덜란드 ASML이 독점 생산하는 극자외선(EUV) 노광장비를 들여놓으려 했지만 미국이 중국의 군사력 증대에 악용될 수 있다며 반입을 막아 제동이 걸린 상태다. 이와 관련해 타이 대표는 “첨단기술로서 민감하고 국가안보에 리스크가 될 수 있다는 정당한 이유가 있었던 것으로 안다”고 확인했다.

그는 삼성전자 등 한국 반도체 기업에 대한 미 상무부의 기업 공급망 자료 제출 요구에 대해 “자발적인 절차와 과정이었으며 공급망에 있는 한국 기업도 자발적으로 정보 제공 요청에 참여한 것”이라며 “정보 요청은 반도체 공급 병목현상이 도대체 어디서 일어나는지를 규명하기 위한 미 정부 노력의 일환이었다”고 밝혔다.

김승훈 기자 hunnam@seoul.co.kr"
"R&D 투자액 쏠림현상 심화…삼성 등 1조 이상 9개사, 1000대 기업 전체 62% 차지",2021-11-22 13:29,"▲ 서울 서초구 삼성전자 사옥
연합뉴스
지난해 코로나19 여파에도 국내 1000대 기업의 연구개발(R&D) 투자액은 총 55조 4000억원으로 전년 대비 3.35% 증가한 것으로 나타났다.

한국산업기술진흥원(KIAT)은 2020년 R&D 투자 상위 1000대 기업을 대상으로 진행한 ‘R&D 스코어보드 조사’ 결과를 22일 발표했다.

최근 10년간 1000대 기업의 매출액 대비 R&D 투자 비중은 꾸준히 늘어 지난해 4.53%를 기록했다. 이 수치는 2010년 2.79%에서 2013년 3.16%로 3%대, 2019년 4.29%로 4%대를 넘으며 꾸준히 증가했다.

기업 규모별로는 종업원 1000명 이상 기업 192개의 R&D 투자액이 47조 4000억원으로 전체의 85.5%를 차지했다. 300~999명 기업 4조 6000억원(8.2%), 100~299명 기업 2조 5000억원(4.5%), 99명 이하 기업 1조원(1.8%) 등이 뒤를 이었다. 99명 이하 기업의 R&D 투자액은 1조원으로 절대적 액수는 적었지만, 매출액 대비 R&D 투자 비중은 27.31%로 가장 높았다.

산업별로는 1000대 기업 중 73.4%를 차지하는 제조업의 R&D 투자액이 49조 4000억원(89.1%)으로 대부분을 차지했다. 투자액 증가율은 전문·과학 및 기술 서비스업이 23.2%(2조9000억원)로 가장 컸다.

매출액 대비 투자 비중은 △전문·과학 및 기술서비스업 24.37% △농업·임업·어업 21.15% △ 제조업 5.41% △ 출판·영상·방송통신·정보서비스업 3.96% △금융 및 보험업 3.49% △하수·폐기물 처리·원료재생 및 환경복원업 2.99% 등의 순이었다.

R&D 투자액 1조원 이상인 기업은 삼성전자(17조 8000억원), SK하이닉스(3조 4000억원), LG전자(3조원), 현대자동차(2조 8000억원), 삼성디스플레이(2조원), 기아(1조 7000억원), LG디스플레이(1조 4000억원), 현대모비스(1조원), LG화학(1조원) 등 9곳이었다. 이들 기업의 R&D 투자는 총 34조 2000억원으로, 1000대 기업 전체의 61.7%를 차지했다.

석영철 KIAT 원장은 “코로나19에 따른 불확실성 확대에도 민간 R&D 투자를 선도하는 상위 1000대 기업의 R&D 투자액과 매출액 대비 R&D 투자 비율 등이 증가세인 점은 긍정적 신호”라며 “우리 기업의 적극적인 R&D 투자가 코로나19 이후 경제 활력 회복의 마중물이 되기를 기대한다”고 했다.

김승훈 기자 hunnam@seoul.co.kr"
미중 반도체 싸움에 낀 한국… SK하이닉스 中투자 차질 가능성,2021-11-18 20:54,"양국 ‘공급망 전쟁’ 국내 기업에 불똥
美, 韓기업이라도 핵심기술 유출 우려
SK, 우시공장 노광장비 설치 난항 전망
中 자체 기술로 만들려면 10년 더 걸려
삼성·美 마이크론과의 경쟁도 불리해져
인텔 낸드 사업 인수 中 승인 앞둬 난감
미국과 중국의 ‘반도체 공급망 전쟁’이 갈수록 격화하면서 국내 기업들은 고래 싸움에 새우 등 터지는 처지가 됐다. SK하이닉스는 중국 우시 공장에 네덜란드 반도체 장비기업 ASML의 극자외선(EUV) 노광장비를 도입하려고 계획을 세웠지만 백악관의 반대를 넘을 수 있을지 불투명한 상황이다.

18일 반도체 업계는 SK하이닉스가 미국의 견제로 EUV 노광장비 도입을 추진하지 못할 경우 세계 D램 생산의 15%를 담당하는 중국 우시 공장의 첨단화가 늦어질 수 있다는 전망을 내놨다. SK하이닉스가 이 문제를 풀지 못하면 삼성전자나 미국 마이크론과의 경쟁에서 불리한 입장에 놓일 수밖에 없다.

반도체는 회로의 선폭이 가늘수록 성능이 좋아진다. 이 때문에 반도체 원판인 웨이퍼에 빛을 쏴 회로를 그리는 노광장비의 역할이 절대적이다. 현재 7나노미터(㎚) 이하 초미세 반도체 양산이 가능한 제품은 네덜란드 회사 ASML의 EUV 장비뿐이다. 조립이 워낙 복잡해 연간 생산량이 30~40대에 불과하고, 대당 가격도 1억 5000만 달러(약 1712억원)가 넘는다. 그럼에도 주요 반도체 회사들은 이 장비를 사려고 혈안이다. 최첨단 반도체 제조를 가능케 하는 유일한 제품이기 때문이다.

지금까지는 애플 ‘아이폰’ 등 고급 스마트폰의 중앙처리장치(CPU) 정도에만 EUV 공정이 적용됐다. 그러나 삼성전자가 D램 생산에 이 장비를 도입하면서 판도가 바뀌었다. 경쟁업체인 SK하이닉스와 마이크론도 뒤질세라 ASML 장비 구매를 선언했다. 2~3년쯤 뒤에는 EUV 공정이 D램 반도체 생산의 표준이 될 전망이다.

중국 토종 반도체 회사들도 ASML의 EUV 장비를 구하려고 애쓰지만 미국의 반대로 어려움을 겪고 있다. 업계에서는 중국이 자체 기술로 이를 제작하려면 10년 이상 걸릴 것으로 예상한다.

백악관은 ‘한국의 기업이라도 중국 공장에 EUV 장비를 설치하면 결국 핵심 기술이 빠져나갈 수 있다’고 우려한다. 공장 직원뿐 아니라 장비 유지·보수를 위한 협력업체 인력 등을 통해 EUV 기술이 중국 업체로 들어갈 것이라는 판단이다. 수년 뒤 장비가 노후화돼 폐기처분할 때 현지 기업이 이를 사들이려 접근할 가능성도 있다. 미 반도체 조사업체 VLSI리서치의 댄 허체슨 최고경영자(CEO)는 로이터 통신에 “일단 중국에 EUV 장비가 들어가면 다음은 어떻게 될지 아무도 모른다. 중국은 원하는 것은 뭐든지 압류할 수 있다”고 덧붙였다.

한국 기업들은 미국 정부를 의식하지만 중국 역시 포기할 수 없는 시장이어서 난감한 처지다. 특히 SK하이닉스는 인텔의 낸드 사업부 인수를 앞두고 중국 당국의 최종 승인을 기다리고 있어 더 조심스러울 수밖에 없다. 업계 관계자는 “국내 기업들이 미국과 중국 사이에 끼여 이러지도 저러지도 못하고 눈치만 보고 있다. 미중 패권 경쟁의 여파가 어디까지 미칠지 가늠하기 어렵다”고 토로했다.

베이징 류지영 특파원 superryu@seoul.co.kr"
SK하이닉스 “노광장비 국내 도입 우선”,2021-11-18 17:58,"업계·정부 반응은
반도체 주도권을 둘러싼 미국 바이든 행정부의 중국 견제가 가열되는 가운데 국내 반도체 업계는 ‘당장 가시화되는 피해나 위기는 없다’고 선을 그으면서도 양국의 정세를 예의주시하는 분위기다. 우리 정부도 상황을 유심히 지켜보는 것으로 전해졌다. 특히 미중 반도체 전쟁의 희생양으로 지목된 SK하이닉스는 “너무 먼 시기에 대한 전망이라 특별한 입장도 없다”며 해당 보도의 확대 해석을 경계했다.

●“미중 패권 경쟁 희생양? 아직은 먼 얘기”

SK하이닉스 측은 영국 로이터 통신의 18일 보도와 관련, “외신이 언급한 극자외선(EUV) 노광장비는 이제 막 국내 D램 생산에 도입한 극초기 단계”라면서 “해당 장비의 국내 도입이 우선이기 때문에 중국 공장 도입을 논의할 단계도 아니다”라고 설명했다.

앞서 로이터 통신 등은 백악관 관계자의 말을 인용해 SK하이닉스가 중국 우시 공장에 EUV 노광장비를 설치해 반도체 제조 공정의 수율을 끌어올린다는 계획을 세웠으나 미국 정부의 반대로 무산될 것이라고 보도했다. 하지만 국내 반도체 업계에 따르면 SK하이닉스는 아직 EUV 노광장비의 중국 공장 설치보다는 국내 공장 추가 도입에 집중하고 있는 것으로 전해졌다.

●정부, 네덜란드 기업과 만나 이슈 논의

중국 2곳에 반도체 생산 공장을 두고 있는 삼성전자는 일단 이번 논란에서 비켜서 있는 상황이다. 우시에서 D램을 생산하는 SK하이닉스는 첨단화에 EUV 노광장비가 필수적이지만, 삼성전자는 시안에서 해당 장비가 필요 없는 낸드플래시를 생산하고 쑤저우 공장은 후공정 단계인 패키징만 담당하기 때문이다.

문승욱 산업통상자원부 장관은 이날 EUV 노광장비 시장을 독점하는 네덜란드 기업 ASML의 피터 베닝크 최고경영자(CEO)를 만나 최근 반도체 업황과 기술동향, 글로벌 반도체 공급망 이슈 등에 대해 논의했다.

박성국 기자 psk@seoul.co.kr
김승훈 기자 hunnam@seoul.co.kr"
SK하이닉스 “노광장비 국내 도입 우선”,2021-11-18 20:54,"업계·정부 반응은
▲ SK하이닉스 우시공장
중국 동부 장쑤성 우시시에 있는 SK하이닉스반도체 우시공장 클린룸 모습.
연합뉴스
반도체 주도권을 둘러싼 미국 바이든 행정부의 중국 견제가 가열되는 가운데 국내 반도체 업계는 ‘당장 가시화되는 피해나 위기는 없다’고 선을 그으면서도 양국의 정세를 예의주시하는 분위기다. 우리 정부도 상황을 유심히 지켜보고 있다. 특히 미중 반도체 전쟁의 희생양으로 지목된 SK하이닉스는 “너무 먼 시기에 대한 전망이라 특별한 입장도 없다”며 해당 보도의 확대 해석을 경계했다.

●“미중 패권 경쟁 희생양? 아직은 먼 얘기”

SK하이닉스 측은 영국 로이터 통신의 18일 보도와 관련, “외신이 언급한 극자외선(EUV) 노광장비는 이제 막 국내 D램 생산에 도입한 극초기 단계”라면서 “해당 장비의 국내 도입이 우선이기 때문에 중국 공장 도입을 논의할 단계도 아니다”라고 설명했다.

앞서 로이터통신 등은 백악관 관계자의 말을 인용해 SK하이닉스가 중국 우시 공장에 EUV 노광장비를 설치해 반도체 제조 공정의 수율을 끌어올린다는 계획을 세웠으나 미국 정부의 반대로 무산될 것이라고 보도했다. 하지만 국내 반도체 업계에 따르면 SK하이닉스는 아직 EUV 노광장비의 중국 공장 설치보다는 국내 공장 추가 도입에 집중하고 있는 것으로 전해졌다.

●산업부 “업계와 긴밀 협의… 상황 파악 중”

중국 2곳에 반도체 생산 공장을 두고 있는 삼성전자는 일단 이번 논란에서 비켜서 있는 상황이다. 우시에서 D램을 생산하는 SK하이닉스는 첨단화에 EUV 노광장비가 필수적이지만, 삼성전자는 시안에서 해당 장비가 필요 없는 낸드플래시를 생산하고 쑤저우 공장은 후공정 단계인 패키징만 담당하기 때문이다.

이와 관련해 산업통상자원부 관계자는 “업계랑 긴밀히 협의하면서 상황을 파악하고 있다”고 말했다. 앞서 문승욱 산업부 장관은 이날 EUV 노광장비 시장을 독점하는 네덜란드 기업 ASML의 피터 베닝크 최고경영자(CEO)를 만나 최근 반도체 업황과 기술 동향, 글로벌 반도체 공급망 이슈 등에 대해 논의했다.

박성국 기자 psk@seoul.co.kr
김승훈 기자 hunnam@seoul.co.kr"
