title,date,article
5조 네이버 이끄는 81년생 워킹맘…‘MZ세대 DNA’로 조직 바꾼다,2021-11-17 22:24,"CEO 최수연·CFO 김남선 ‘파격’ 임명

해외총괄 맡았던 崔, 이해진 신임 두터워
NHN 퇴사 후 변호사로 활동하다 재입사
78년생 金, 글로벌 빅딜 주도 높이 평가
李 “연내 젊은 리더들로 전면 쇄신해야”
조직문화 혁신·해외시장 진출 속도 낼 듯
▲ 뉴스1
네이버가 조직 쇄신의 돌파구로 선택한 카드는 ‘안정’ 대신 ‘파격’이었다. 네이버는 17일 오후 이사회를 열고 한성숙(54) 현 대표의 뒤를 이을 최고경영자(CEO)로 열 살 이상 차이가 나는 ‘MZ세대’ 최수연(오른쪽·40) 글로벌사업지원부 책임리더를 깜짝 발탁했다. 1999년 네이버 창립 이래 가장 급진적인 세대교체다. 신임 최고재무책임자(CFO)로는 네이버에서 투자·글로벌 인수합병(M&A)을 맡은 김남선(왼쪽·43) 책임리더가 내정됐다. 글로벌 감각으로 무장한 젊은 수장을 앞세워 조직 문화를 혁신하고 해외 사업 확장에도 속도를 내겠다는 의지로 풀이된다.

1981년생인 최 내정자는 서울대 공과대학을 졸업하고 네이버의 전신인 NHN에 입사해 4년간 근무하다 연세대 법학전문대학원에 진학해 변호사 자격을 취득하고서 법무법인 율촌에서 활동했다. 이후 미국 하버드대 로스쿨을 거쳐 2019년에 네이버에 재입사해 글로벌 사업지원부에서 해외사업을 총괄했다. 지난해 3월엔 비등기 임원으로 이름을 올렸다. 워킹맘이기도 한 최 내정자는 창업주인 이해진 글로벌투자책임자(GIO)의 신임을 두텁게 받는 것으로 알려졌다. 최 내정자는 NHN 당시 홍보·마케팅 업무를 담당하고, 변호사 시절엔 팀 단위로 움직이는 M&A 분야에서 활약하는 등 커뮤니케이션 능력을 강점으로 가지고 있다고 평가된다. 네이버는 이날 “다양한 국내외 사업 전반을 지원하며 보여 준 문제해결 능력, 회사의 글로벌 사업 전략과 해당 시장에 대한 폭넓은 이해를 갖춘 점을 높이 평가했다”고 내정 배경을 설명했다.

이번 인사는 ‘내부 조직 쇄신’에도 방점이 찍힌 것으로 해석된다. 지난 5월 네이버의 한 개발자가 직장 내 괴롭힘을 호소하며 극단적 선택을 하면서 조직 문화에 대대적인 변화가 필요하다는 목소리가 커졌고, 이 GIO는 직원들에게 “권한이 더욱 분산되고 책임이 더욱 명확해지고 더 젊고 새로운 리더들이 나타나서 회사를 이끄는 전면 쇄신을 해야 한다”고 밝히며 연내 경영진 교체 및 조직 개편을 예고했다. 당초 최 내정자가 연매출 5조원 이상의 거대 조직인 네이버를 이끌기엔 경험이 부족하다는 평가도 나왔지만, 쇄신 차원에서 최종 발탁된 것으로 보인다.

새로운 리더십 구축에 힘을 보탤 김남선 신임 CFO 내정자는 크라벳, 스웨인&무어 등 미국 로펌과 라자드, 모건 스탠리, 매쿼리 등 글로벌 투자 회사에서 근무하다 지난해 네이버에 합류했다. 이사회는 김 내정자가 네이버에서 왓패드 인수, 이마트·신세계와의 지분 교환 등의 빅딜을 성공적으로 주도한 점을 높게 평가했다. 이들 내정자는 ‘네이버 전환 태스크포스(TF)’를 꾸려 나머지 임원진 교체와 의사결정 구조 개편에 나설 계획이다.

최 내정자는 내년 3월 정기 주주총회 승인과 이사회 결의를 거쳐 최종 선임된다. 내년 3월까지 만 5년의 임기를 채우고 대표직에서 물러나는 한 대표는 향후 유럽에서 신산업 발굴 등을 맡을 계획인 것으로 전해졌다.



나상현 기자 greentea@seoul.co.kr"
"중기부, ‘부동산 정보 갑질’ 네이버 등 3곳 고발 요청",2021-11-16 21:00,"중소벤처기업부는 16일 제17차 의무고발요청 심의위원회를 열고 공정거래법과 하도급법을 위반한 네이버·한국조선해양·다인건설 등 3개 기업의 4개 사건을 공정거래위원회에 고발 요청하기로 결정했다.

중기부가 고발을 요청하면 공정위는 의무적으로 검찰에 고발해야 한다. 중기부는 “고발 요청된 3개 기업은 시장지배적지위 남용행위, 기술자료 유용행위 등의 위법행위로 중소기업에 피해를 줬다”고 판단했다. 중기부에 따르면 네이버는 2015년 5월부터 2017년 9월까지 부동산 정보업체와 계약을 체결하면서 부동산 매물정보를 제3자에게 제공하지 못하도록 해 공정위에서 재발방지명령과 함께 과징금 10억 3200만원 부과 처분을 받았다.

한국조선해양은 2015년 6월부터 2018년 5월까지 80개 수급사업자에게 기술자료를 요구하면서 요구 목적 등을 적은 법정 서면을 교부하지 않았고 기존 수급사업자의 기술자료를 유용해 재발방지명령과 2억 4600만원의 과징금 처분을 받았다. 다인건설은 하도급대금 및 지연 이자를 지급하지 않고 계열사가 분양한 상가를 수급사업자에게 분양받게 하거나 분양권을 승계받도록 해 공정위에서 재발방지명령, 하도급대금 등 지급명령, 과징금(각 약 13억원·16억원) 처분을 받았다.



세종 류찬희 선임기자 chani@seoul.co.kr"
,,
"중기부, 네이버 등 3곳 공정위에 고발요청",2021-11-16 18:17,"▲ 경기 분당 판교 네이버 사옥. 2018.1.23
뉴스1
중소벤처기업부는 16일 제17차 의무고발요청 심의위원회를 열고 공정거래법과 하도급법을 위반한 네이버·한국조선해양·다인건설 등 3개 기업의 4개 사건을 공정거래위원회에 고발 요청하기로 결정했다.

중기부가 고발을 요청하면 공정위는 의무적으로 검찰에 고발해야 한다. 중기부는 “고발 요청된 3개 기업은 시장지배적지위 남용행위, 기술자료 유용행위로 중소기업에 피해를 줬다고 판단돼 고발 요청하기로 했다”고 설명했다.

중기부는 네이버가 부동산 정보업체와 계약을 체결하면서 부동산 매물정보를 제3자에게 제공하지 못하도록 한 것이 경쟁사업자를 배제하려는 시장지배적지위 남용에 해당한다고 판단했다.

한국조선해양은 80개 수급사업자에게 기술자료를 요구하면서 요구 목적 등을 적은 법정 서면을 교부하지 않았고, 기존 수급사업자의 기술자료를 유용했다고 판단했다. 다인건설은 중소기업에 하도급대금 및 지연이자를 지급하지 않고, 자신의 계열사가 분양한 상가를 수급사업자에게 분양받게 하거나 분양권을 승계받도록 해 고발요청 했다고 설명했다.



세종 류찬희 선임기자 chani@seoul.co."
"광주시, 전국 첫 가상 지자체 ‘메타 광주’ 만든다",2021-11-16 11:26,"인공지능(AI) 중심도시 광주가 전국 자치단체 중 최초로 ‘AI-메타버스 융합도시’를 조성된다.

16일 광주시에 따르면 세계적 수준의 AI데이터센터 등을 활용해 첫 가상 광역 자치단체인 ‘메타 광주’를 구축하고 이를 지역 대표 5대 산업과 연계 발전시켜 나간다.

시는 이를 위해 이날 김대중컨벤션센터에서 이용섭 광주시장 등 100여명이 참석해 ‘광주 AI-메타버스 융합신산업 육성 비전발표 및 업무협약’을 맺는다.

메타버스는 현실세계와 같은 사회·경제·문화 활동이 이뤄지는 3차원 가상세계를 뜻한다.

이날 협약식에는 네이버, SKT, NHN, CJ올리브네트웍스, 유니티, 버넥트, 이노뎁, 씨이랩, 플레이스비, 어반에이핏, 로커스, 겟티이미지코리아, 유오케이 등 AI-메타버스 관련 15개 기업과 한국전자기술연구원, 한국전자통신연구원, 인공지능산업융합사업단 등 5개 유관기관, 전남대·조선대·호남대학교, 광주과학기술원 등 기관·기업 24곳이 참여했다.

광주시는 이들 24개 기관·기업들과 AI-메타버스 신산업을 공동 육성하고, 공공·행정 분야에 메타버스 기술이 활용될 수 있도록 적극 협력하기로 했다.

또 광주 도심을 기반으로 메타버스 인프라 조성, 기술개발 및 실증, 메타버스 생태계 조성에도 나선다.

시는 AI와 광주 5대 주력산업인 친환경 자동차(자율주행 등)·의료 헬스케어·에너지·문화콘텐츠·스마트뿌리 산업, 그리고 메타버스를 접목한 4대 추진전략 16대 과제도 발표했다.

첫 과제인 1대 전략은 세계적 규모의 데이터센터 등 AI 핵심시설을 기반으로 한 메타버스 인프라 조성이다. 이를 위해 AI-메타버스를 직접 실증할 수 있는 ‘메타 (광주)도시’를 조성하고, 관련 특화센터 등을 만들 계획이다. 또 세계 최고 수준의 첨단 실증 장비 및 지역 5대 주력산업과 공공서비스를 접목한 실증테스트베드 등도 조성한다.

2대 전략으로는 메타버스 선도형 기술개발 및 실증을 통한 사업화 등을 진행하고, 3대 전략에선 메타경제 생태계를 구축한다는 구상이다.

시는 메타 경제 활성화를 위해 블록체인과 가상자산 규제 특례 및 시범사업을 추진하고, 메타버스 법제도개선특위와 연구특구 지정, 세계 최초 메타버스 엑스포 개최 등도 준비하고 있다.

시는 이를 토대로 시민과 기업 중심의 융합 신산업 확산을 위한 4대 전략을 진행할 예정이다.

가상 광역 자치단체인 ‘메타 광주’가 구축되면 시민들은 실·가상 경제활동을 자유롭게 할 수 있게 되고, 메타버스 기반 다양한 공공서비스 혜택도 누릴 수 있게 된다. 시는 메타버스와 가장 가까운 MZ세대 청년을 위한 관련 일자리 사업도 대폭 확대하고, 초·중·고·대학과 연계한 메타버스형 창의인재 양성 프로그램 등도 적극 가동할 방침이다.

이용섭 광주시장은 “AI와 메타버스를 융합한 신산업 생태계를 구축해 MZ 세대들을 위한 신개념 일자리 창출에 행정력을 집중할 것”이라고 밝혔다.

광주 최치봉 기자 cbchoi@seoul.co.kr"
류현진 전 트레이너로부터 배우는 건강 비법… 서대문구 30일 ‘근골격계 운동 특강’,2021-11-16 10:23,"서울 서대문구가 코로나19로 지친 주민들의 일상에 활력을 불어넣기 위해 운동 특강을 연다.

구는 오는 30일 오후 3시 홍은동에 위치한 주민 공간 ‘하하호호 홍제마을활력소’에서 ‘근골격계 건강운동 특강’을 진행한다고 16일 밝혔다.

지난해 류현진 선수의 트레이너로 활동한 김병곤 스포츠의학 박사가 강사로 나선다.

강의는 90분 동안 ▲재미있는 건강상식 OX퀴즈 ▲근골격계 통증 원인과 올바른 신체 정렬에 대한 이론 교육 ▲근골격계 질환 예방을 위한 건강 운동 실기 교육 ▲주민과의 질의응답순으로 진행된다.

강의는 무료로, 성인 구민과 지역 내 직장인이면 누구나 참여할 수 있다. 사전 신청을 한 10명은 현장에서 특강을 들을 수 있으며, 네이버 밴드(서대문구보건소 건강운동센터)에서는 인원 제한 없이 수강 가능하다.

구는 참여자 가운데 10명을 추첨해 운동 소도구를 증정할 예정이다.

문석진 서대문구청장은 “이번 특강을 계기로 많은 분들이 운동을 실천하며 건강을 지킬 수 있기를 기대한다”고 말했다.

자세한 내용은 서대문구보건소(02-330-1831)로 문의하거나 카카오톡 채널(서대문구보건소 체력측정실) 대화창을 통해 확인할 수 있다.

조희선 기자 hsncho@seoul.co.kr"
,,
‘방역패스’ 헬스장 등 오늘부터 위반시 과태료 낸다,2021-11-15 16:19,"▲ 헬스장 모습
연합뉴스
유흥시설, 노래연습장과 같은 다른 ‘방역패스’(접종증명·음성확인) 적용시설과 달리 이용권 환불 및 연장 등의 문제로 일주일 더 연장됐던 실내체육시설의 계도기간이 15일 0시를 기준으로 종료됐다.

중앙방역대책본부(방대본)는 15일 “오늘 0시부터 방역패스 적용 계도기간이 모두 종료돼 위반 시 과태료 또는 행정처분의 대상이 된다”고 발표했다.

실내체육시설을 마지막으로 방역패스가 적용되는 모든 시설의 계도기간이 끝났다. 다른 방역패스 적용시설은 일주일 전인 지난 8일 계도기간이 이미 종료됐다.

앞으로 실내체육시설을 포함해 유흥시설, 노래연습장, 목욕장업, 경마·경륜·카지노, 의료기관, 요양병원·요양시설, 노인·장애인 이용시설 등에 출입하기 전에는 반드시 접종완료 증명서나 유전자 증폭(PCR)검사 음성확인서를 보여줘야 한다.

코로나19 확진자나 의학적 이유 등으로 방역패스를 적용받지 않는 예외자는 격리해제 확인서나 예외 확인서가 필요하다.
▲ 5공화국 빗댄 ‘권총 퍼포먼스’
방역패스가 도입된 지 사흘째인 3일 오후 대한실내체육시설총연합회 회원들이 11월 3일 서울 영등포구 더불어민주당 사무실 앞에서 헬스장 등 실내체육시설에 대한 방역패스 도입을 반대하는 시위를 벌이고 있다.
박윤슬 기자 seul@seoul.co.kr
유흥시설과 노래연습장, 경마·경륜·카지노, 실내체육시설은 다중이용시설 방역수칙에 따라 수기 출입명부가 아닌 전자출입명부로 출입자 관리를 하고 있어 COOV(쿠브) 앱이나 카카오·네이버 등의 전자증명서의 QR 코드를 통해 출입하면 된다.

QR코드 확인이 어려운 종이 증명서를 지참한 경우에는 출입 전 신분증과 증명서를 대조해 확인해야 한다.

해외에서 예방접종을 완료한 외국인도 방역패스를 위한 접종증명서를 발급받을 수 있다.

국내에서 접종을 완료한 외국인은 내국인과 마찬가지로 접종증명서를 발급받을 수 있으며, 해외에서 접종한 경우에도 격리 면제서와 해외 접종완료 증명서가 있으면 접종증명서 발급이 가능하다.

정은경 방대본 본부장은 “일상회복 단계에서 고위험 시설을 통한 코로나19 감염과 전파 방지를 위해서 방역패스는 필요한 조치”라며 “접종을 아직 하지 않은 분들은 코로나19로부터 본인과 타인을 보호하기 위해 PCR 음성 확인을 받거나 접종을 완료해달라”고 당부했다.

이범수 기자 bulse46@seoul.co.kr"
신진 지휘자·관객 모두에 특별한 무대…뜨거웠던 첫 KSO국제지휘콩쿠르,2021-11-15 15:32,"42개국 166명 지원…6개국 12명 본선 진출
10~14일 본선부터 결선까지 다채로운 경연
미국 엘리아스 피터 브라운 우승…5000만원 상금
2위 대한민국 윤한결·3위 중국 리한 수이 차지
▲ 지난 14일 서울 예술의전당 콘서트홀에서 열린 KSO국제지휘콩쿠르 결선 무대에서 엘리아스 피터 브라운이 드뷔시의 ‘바다’를 연주하고 있다.
코리안심포니오케스트라 제공
올해 처음 열린 KSO국제지휘콩쿠르에서 미국의 엘리아스 피터 브라운(26)이 우승을 차지했다. 지난 14일 서울 예술의전당 콘서트홀에서 열린 결선에서 브라운은 코리안심포니오케스트라를 이끌고 드뷔시의 바다를 연주해 1위에 올랐다. 코리안심포니 초대 감독인 고 홍연택의 서거 20주년을 기념해 오케스트라 단원들이 수여하는 오케스트라상도 받았다.

브라운에 이어 2위는 대한민국의 윤한결(27)이, 3위는 중국의 리한 수이(27)가 각각 수상했다. 윤한결은 이날 관객들이 직접 뽑은 관객상도 받게 됐다.


총 상금은 8000만원. 우승자에게 5000만원이 주어졌고수상자들을 대상으로 코리안심포니 부지휘자를 선발한다. 또 코리안심포니, 예술의전당, 광주시립교향악단, 대전시향, 부산시향, 인천시향, 아트센터 인천, 통영국제음악재단 등과 다양한 연주를 할 수 있는 기회도 주어진다.

국내에선 처음인 이런 국제적 규모의 지휘 콩쿠르로 신진 지휘자들은 물론 관객들도 색다른 경험을 할 수 있었다.
▲ 제1회 KSO국제지휘콩쿠르에서 우승을 거머쥔 엘리아스 피터 브라운.
코리안심포니오케스트라 제공
여전히 코로나19 팬데믹이 계속되는 상황에서도 이번 첫 대회에 42개국 166명이 지원했다. 이 가운데 6개국 12명이 본선에 올라 지난 10일부터 14일까지 현대곡과 협주곡, 교향곡 등 다채로운 무대로 실력을 겨뤘다. 남성 7명(58%), 여성 5명(42%)로 여성들의 활약도 돋보였고, 말코 국제지휘콩쿠르, 게오르그 솔티 국제지휘콩쿠르, 한스 폰뵐로 국제지휘콩쿠르, 하차투리안 국제지휘콩쿠르 등에서 이미 수상한 실력자들이 대거 포진돼 열기를 더하기도했다. 대회 우승자인 브라운도 예일대와 영국 왕립 음악 아카데미 출신으로 올리버 너센과 마크 엘더 경 등의 보조 지휘자로 활동했고 올해 하차투리안 국제지휘콩쿠르 3위와 레이크 코모 지휘콩쿠르 2위 등으로 실력을 알렸다.
▲ 제1회 KSO국제지휘콩쿠르에서 2위를 차지한 한국의 윤한결.
코리안심포니오케스트라 제공
12명이 1차 본선에서 드보르작 ‘스케르초 카프리치오소’, 시벨리우스 ‘포욜라의 딸’, 뒤카 ‘마법사의 제자’를 연주한 뒤 곧바로 2차 본선 진출자를 가렸다. 이어 12일 오전 7명이 현대곡을 두고 벌인 경연이 이 대회에서 빼놓을 수 없는 백미였다. 연습실에서 경연을 펼친 1차와 달리 2차 본선부터는 예술의전당 콘서트홀에서 열렸다. 사전 신청을 통해 모집한 관객 약 30명이 객석에 앉았고, 무대 위에 띄워진 스크린을 통해 지휘하는 참가자들의 모습을 볼 수 있도록 했다. 심사위원장인 정치용 한국예술종합학교 교수를 비롯해 7명의 심사위원들은 합창석에 거리를 두고 앉아 참가자의 얼굴을 직접 지켜봤다. 크리스티안 에발트(독일) 베를린 한스 아이슬러 국립음대 교수, 플로리안 리임(독일) 국제음악콩쿠르 세계연맹(WFIMC) 사무총장, 프랭크 후앙(미국) 뉴욕 필하모닉 오케스트라 악장, 피터 스타크(영국) 런던 왕립 음악원 및 베이징 중앙 음악원 교수, 레이첼 보론(영국) 문화예술경영인, 스티븐 슬론(미국) 베를린 예술대학교 교수가 심사위원으로 참여했다.

경연곡은 김택수의 ‘더부산조’. 국악 선율을 서양악기로 표현한 한국적인 느낌이 짙은 곡이다. 모든 참가자들에게 주어진 시간은 20분. 그 안에 8분짜리 곡을 오케스트라와 함께 다듬어 가야했다. 첫 무대에 오른 김수빈(한국)은 일단 곡을 시작한 뒤 중간중간 끊어가며 피드백을 주고받은 반면 윤한결, 브라운, 리한 수이 등은 일단 전곡을 한 번 연주한 뒤 나중에 앞 부분으로 돌아가 다시 맞춰보는 등 스타일도 제각각이었다.
▲ 제1회 KSO국제지휘콩쿠르에서 3위에 오른 중국의 리한 수이.
코리안심포니오케스트라 제공
우선 중요한 건 오케스트라와의 소통 방식이었다. 지휘자 스스로가 곡을 어떻게 이해했는지도 중요하지만 그에 못지 않게 자신의 음악적 구상을 오케스트라에 어떻게 설득하고 조율해 가는 과정도 이 대회의 핵심 평가 요소다.

우리말로 “반갑습니다. 다시 뵙게 돼서. 그리고 수고하십니다”라며 먼저 인사를 건넨 윤한결은 연주가 끝나자 주요 마디들을 되짚으며 “전통 악기의 느낌이 더 나도록 피치카토(현을 뜯는 주법)로 액센트를 더 주면 좋겠다”, “이 부분은 노래하듯(칸타빌레) 흐르면 좋겠다”고 강조했다. 브라운은 오케스트라 연주가 끝나자마자 한국어로 “잘한다~”고 웃으며 말한 뒤 “시작 부분에서 ‘진양조’로 가기 때문에“라며 산조에 대한 높은 이해를 보이기도 했다.

본선 2차가 진행되는 동안 코리안심포니는 ‘더부산조’를 일곱 차례 이상 연주했지만 참가자들은 각자 다른 부분을 지목하며 보완하고 다져갔다. 함께 호흡을 맞춰갈수록 열의도 커졌지만 20분이 되자마자 울리는 종소리에 아쉬운 표정으로 포디엄을 내려오기도 했다. 객석에서도 격려의 박수가 이어졌다.
▲ 제1회 KSO국제지휘콩쿠르 2차 본선 무대에서 심사위원들이 합창석에 앉아 심사하는 모습.
코리안심포니오케스트라 제공
이렇게 오전 10시부터 오후 1시까지 현대곡 경연을 거쳐 곧바로 5명이 추려졌고 그날 오후 3시부터 시벨리우스 바이올린 협주곡 1악장을 겨뤘다. 솔로 연주자와 오케스트라 사이를 오가며 어떻게 조화를 이뤄갈지를 보는 경연이었다.

이후 14일 오후 5시 예술의전당 콘서트에서 열린 결선 무대는 전석 매진될 만큼 관객들의 관심도 높았고 유튜브 생중계와 네이버TV, V라이브로도 반응이 뜨거웠다. 가장 먼저 리한 수이가 차이콥스키의 ‘리미니의 프란체스카’를, 이어 윤한결이 슈트라우스의 ‘죽음과 변용’을 이끌었고 엘리아스 피터 브라운은 드뷔시의 ‘바다’를 연주했다. 매번 다른 곡이었지만 벌써 몇 차례 호흡을 맞춘 코리안심포니와의 합은 훨씬 밀도가 높아졌고 참가자들은 그만큼 섬세하고도 열정적으로 집중력 있는 무대를 이끌었다.

무대가 귀한 신진 지휘자들의 등용문 역할을 위해 코리안심포니가 주최한 이번 대회는 도전장을 낸 참가자들에게만 아니라 완벽하게 완성된 무대가 아닌 그 과정을 들여다 본 경험은 관객들에게 특별함을 선사했다. 대회는 앞으로 3년마다 열린다.

허백윤 기자 baikyoon@seoul.co.kr"
,,
