title,date,article
삼성 창업주 이병철 34주기…이재용은 미국 출장으로 불참,2021-11-19 09:32,"19일 용인 호암미술관 선영에서 추도식
삼성·CJ 등 범삼성가서 개별 참배
삼성그룹 창업주인 호암 이병철 회장의 34주기 추도식이 19일 경기도 용인 선영에서 열린다. 그의 손자이자 현 삼성 총수인 이재용 삼성전자 부회장은 미국 출장 일정으로 추도식에는 참석하지 않는다.
▲ 삼성 창업주 호암 이병철의 가족사진
삼성 창업주 호암 이병철 회장이 1972년 서울 장충동에서 촬영한 가족사진. 사진 왼쪽부터 이병철 삼성그룹 창업주, 이명희 신세계그룹 회장, 고 이건희 회장, 이인희 한솔그룹 고문, 이재용 삼성전자 부회장. 삼성전자 제공
19일 재계에 따르면 삼성을 비롯해 CJ, 한솔 등 범삼성 계열 그룹들은 이날 용인 호암미술관 인근 선영에서 이병철 회장의 추도식을 진행한다. 각 그룹의 총수 일가는 서로 다른 시간에 추도식을 해 왔으며, 올해도 오전 중 각자 묘소를 찾을 전망이다.

삼성에서는 홍라희 전 리움미술관장과 이부진 호텔신라 사장, 이서현 삼성복지재단 이사장 등이 참석할 예정이다. 삼성 계열사 사장단은 통상 추도식 당일 오후 선영을 방문해 참배해왔지만, 올해는 코로나19 상황을 고려해 참배하지 않는 방안도 거론된다.

미국 출장으로 올해 추도식에는 참석하지 못하는 이 부회장은 지난해 추도식 후 삼성 계열사 사장단 오찬에서 “기업은 늘 국민 경제에 도움이 돼야 하며, 사회에 희망을 드릴 수 있어야 한다고 가르치셨던 (이건희) 회장님의 뜻과 (이병철) 선대회장님의 사업보국 창업이념을 계승·발전시키자”고 강조하기도 했다.
▲ 미국 출장으로 추도식 불참하는 이재용
이재용 삼성전자 부회장(왼쪽)이 16일(현지시간) 미국 매사추세츠주 캠브리지에서 누바 아페얀(Noubar Afeyan) 모더나 공동 설립자 겸 이사회 의장을 만나 기념 촬영을 하고 있다. 2021.11.18 삼성전자 제공
호암의 장손인 이재현 CJ그룹 회장은 오전에 용인 선영을 방문해 참배하고, 저녁에는 예년처럼 별도로 서울에서 제사도 지낼 것으로 알려졌다. 호암의 외손자인 조동길 한솔그룹 회장도 이날 선영을 찾을 예정이다.

삼성을 비롯해 CJ, 한솔, 신세계 등 범삼성 계열 그룹 일가는 과거에는 호암 추도식을 공동으로 열었지만, 형제인 CJ 이맹희 전 회장과 삼성 이건희 회장이 상속 분쟁을 벌인 2012년부터는 같은 날 시간을 달리해 별도로 추도식을 열어왔다.



박성국 기자 psk@seoul.co.kr"
모더나·버라이즌 CEO 만난 이재용… ‘미래 먹거리’ 챙겼다,2021-11-18 21:00,"미국 간 李부회장, 해외 경영 본격화
‘10년째 친분’ 최대 통신사 경영자와 회동
8조 규모 계약한 ‘차세대 통신’ 의견 교환
모더나 바이오 투자사 찾아 협력 논의도
미래 성장사업 키워 ‘뉴삼성’ 기틀 다지기
▲ 북미 지역을 출장 중인 이재용(왼쪽) 삼성전자 부회장이 지난 16일(현지시간) 미국 매사추세츠주 케임브리지에서 누바 아페얀 모더나 공동 설립자 겸 이사회 의장과 회동한 뒤 기념촬영을 하고 있다.
삼성전자 제공
북미 지역을 방문 중인 이재용 삼성전자 부회장이 글로벌 바이오 기업 모더나와 세계 최대 이동통신 기업 버라이즌 최고 경영진과 잇따라 회동했다. 코로나19 시대를 맞아 백신 외교와 생산 공조 체제를 굳건히 하는 한편 지난 1일 삼성전자 창립 52주년을 맞아 천명한 ‘뉴삼성’을 향한 기틀 다지기로 풀이된다.

18일 삼성전자에 따르면 이 부회장은 17일(현지시간) 버라이즌의 미국 뉴저지주 본사를 방문해 한스 베스트베리 최고경영자(CEO) 등 경영진을 만나 차세대 이동통신 분야의 협력 방안에 대해 의견을 교환했다. 이 부회장과 베스트베리 CEO는 2010년 스페인에서 열린 모바일월드콩그레스(MWC)에 각각 삼성전자 부사장과 스웨덴 통신기업 에릭손 회장 자격으로 나란히 참석한 것을 계기로 10년 이상 친분을 이어 오고 있다.

삼성전자는 지난해 버라이즌에 약 7조 9000억원 규모의 5세대(G) 이동통신 장비를 포함한 네트워크 솔루션을 공급하는 계약을 맺은 바 있다. 이는 한국 통신장비 산업 전체를 통틀어 역대 최대 규모의 단일 수출 계약이다. 업계에서는 두 회사가 비욘드(Beyond) 5G, 6G 등 4차 산업혁명의 핵심 인프라인 차세대 통신 분야에서도 협력을 확대해 갈 것으로 전망하고 있다.

이 부회장은 이에 앞서 지난 16일 미국 매사추세츠주 케임브리지에서 누바 아페얀 모더나 공동 설립자 겸 이사회 의장을 만났다. 이들의 회동은 아페얀 의장이 설립한 바이오 투자회사 플래그십 파이어니어링 본사에서 진행됐다.

이 부회장과 아페얀 의장은 최근 진행된 양사의 코로나19 백신 공조와 향후의 추가 협력 방안에 대해 의견을 나눈 것으로 전해졌다.

이 부회장의 모더나·버라이즌 릴레이 회동과 관련해 삼성전자가 대규모 투자를 통해 집중 육성하기로 한 삼성의 ‘미래 성장사업’과 맞닿아 있다는 분석이 지배적이다. 업계 관계자는 “이 부회장이 경영 복귀 후 첫 미국 출장에서 두 회사 경영진을 잇따라 만난 것은 삼성의 미래 성장동력 발굴과 육성에 더욱 박차를 가하겠다는 의지 표명으로 읽힌다”고 말했다.

박성국 기자 psk@seoul.co.kr"
투자 최고치 찍은 서학개미… 카카오 ‘국민주’ 만든 동학개미,2021-11-18 21:00,"주식 열풍에 3분기 대외금융자산 최대
카카오, 삼전 이어 소액주주 200만 돌파
‘서학개미’(해외 주식에 투자하는 개인투자자)가 늘어나면서 올해 3분기 대외금융자산이 역대 최대치를 기록했다. 국내 증시에서는 삼성전자에 이어 ‘동학개미’(개인투자자)가 대거 몰린 카카오가 개인주주 수 200만명을 돌파하며 ‘국민주’에 올랐다.

한국은행이 18일 발표한 ‘2021년 9월 말 지역별·통화별 국제투자대조표’(잠정)에 따르면 9월 말 기준 대외금융자산은 전 분기 말 대비 306억 달러 증가한 2조 1040억 달러(약 2480조원)로 집계됐다.

거주자의 증권투자(83억 달러), 직접투자(84억 달러)와 중앙은행 준비자산(외환보유액·99억 달러) 등이 고루 늘었다. 이새롬 한은 국외투자통계팀 과장은 “대외금융자산이 사상 최대 수준”이라면서 “거주자의 해외증권 투자, 직접투자가 늘어난 데다 한은 외환보유액도 국제통화기금(IMF) 특별인출권 배분에 따라 증가했기 때문”이라고 말했다. 국제금융센터에 따르면 올 1~9월 국내 거주자의 해외 증권투자는 약 580억 달러(약 68조 7300억원)로, 월평균(64억 4000만 달러) 기준 사상 최대 규모를 기록했다.

반면 같은 기간 대외금융부채(외국인 국내 투자)는 1조 4948억 달러로, 비거주자 증권투자를 중심으로 전 분기 말 대비 879억 달러 줄며 지난해 3분기 이후 최소치를 기록했다.

한편 이날 카카오 분기 보고서에 따르면 지난 9월 30일 주주 명부 기준 카카오의 개인 소액주주 수는 201만 9216명으로 집계됐다. 지난해 말 56만 1027명에서 올해만 145만명 이상 늘어난 것이다. 지난 4월 카카오 주식 액면가를 500원에서 100원으로 쪼개는 액면분할이 이뤄지면서 소액 투자가 용이해진 점이 주효했다는 분석이다. 국내 주식시장에서 개인투자자가 200만명을 돌파한 것은 삼성전자에 이어 두 번째다. 삼성전자 보통주의 개인 소액주주 수는 같은 기간 215만 3969명에서 518만 8804명으로 두 배 가까이 늘었다.



김희리 기자 hitit@seoul.co.kr"
미중 반도체 싸움에 낀 한국… SK하이닉스 中투자 차질 가능성,2021-11-18 20:54,"양국 ‘공급망 전쟁’ 국내 기업에 불똥
美, 韓기업이라도 핵심기술 유출 우려
SK, 우시공장 노광장비 설치 난항 전망
中 자체 기술로 만들려면 10년 더 걸려
삼성·美 마이크론과의 경쟁도 불리해져
인텔 낸드 사업 인수 中 승인 앞둬 난감
미국과 중국의 ‘반도체 공급망 전쟁’이 갈수록 격화하면서 국내 기업들은 고래 싸움에 새우 등 터지는 처지가 됐다. SK하이닉스는 중국 우시 공장에 네덜란드 반도체 장비기업 ASML의 극자외선(EUV) 노광장비를 도입하려고 계획을 세웠지만 백악관의 반대를 넘을 수 있을지 불투명한 상황이다.

18일 반도체 업계는 SK하이닉스가 미국의 견제로 EUV 노광장비 도입을 추진하지 못할 경우 세계 D램 생산의 15%를 담당하는 중국 우시 공장의 첨단화가 늦어질 수 있다는 전망을 내놨다. SK하이닉스가 이 문제를 풀지 못하면 삼성전자나 미국 마이크론과의 경쟁에서 불리한 입장에 놓일 수밖에 없다.

반도체는 회로의 선폭이 가늘수록 성능이 좋아진다. 이 때문에 반도체 원판인 웨이퍼에 빛을 쏴 회로를 그리는 노광장비의 역할이 절대적이다. 현재 7나노미터(㎚) 이하 초미세 반도체 양산이 가능한 제품은 네덜란드 회사 ASML의 EUV 장비뿐이다. 조립이 워낙 복잡해 연간 생산량이 30~40대에 불과하고, 대당 가격도 1억 5000만 달러(약 1712억원)가 넘는다. 그럼에도 주요 반도체 회사들은 이 장비를 사려고 혈안이다. 최첨단 반도체 제조를 가능케 하는 유일한 제품이기 때문이다.

지금까지는 애플 ‘아이폰’ 등 고급 스마트폰의 중앙처리장치(CPU) 정도에만 EUV 공정이 적용됐다. 그러나 삼성전자가 D램 생산에 이 장비를 도입하면서 판도가 바뀌었다. 경쟁업체인 SK하이닉스와 마이크론도 뒤질세라 ASML 장비 구매를 선언했다. 2~3년쯤 뒤에는 EUV 공정이 D램 반도체 생산의 표준이 될 전망이다.

중국 토종 반도체 회사들도 ASML의 EUV 장비를 구하려고 애쓰지만 미국의 반대로 어려움을 겪고 있다. 업계에서는 중국이 자체 기술로 이를 제작하려면 10년 이상 걸릴 것으로 예상한다.

백악관은 ‘한국의 기업이라도 중국 공장에 EUV 장비를 설치하면 결국 핵심 기술이 빠져나갈 수 있다’고 우려한다. 공장 직원뿐 아니라 장비 유지·보수를 위한 협력업체 인력 등을 통해 EUV 기술이 중국 업체로 들어갈 것이라는 판단이다. 수년 뒤 장비가 노후화돼 폐기처분할 때 현지 기업이 이를 사들이려 접근할 가능성도 있다. 미 반도체 조사업체 VLSI리서치의 댄 허체슨 최고경영자(CEO)는 로이터 통신에 “일단 중국에 EUV 장비가 들어가면 다음은 어떻게 될지 아무도 모른다. 중국은 원하는 것은 뭐든지 압류할 수 있다”고 덧붙였다.

한국 기업들은 미국 정부를 의식하지만 중국 역시 포기할 수 없는 시장이어서 난감한 처지다. 특히 SK하이닉스는 인텔의 낸드 사업부 인수를 앞두고 중국 당국의 최종 승인을 기다리고 있어 더 조심스러울 수밖에 없다. 업계 관계자는 “국내 기업들이 미국과 중국 사이에 끼여 이러지도 저러지도 못하고 눈치만 보고 있다. 미중 패권 경쟁의 여파가 어디까지 미칠지 가늠하기 어렵다”고 토로했다.

베이징 류지영 특파원 superryu@seoul.co.kr"
SK하이닉스 “노광장비 국내 도입 우선”,2021-11-18 20:54,"업계·정부 반응은
▲ SK하이닉스 우시공장
중국 동부 장쑤성 우시시에 있는 SK하이닉스반도체 우시공장 클린룸 모습.
연합뉴스
반도체 주도권을 둘러싼 미국 바이든 행정부의 중국 견제가 가열되는 가운데 국내 반도체 업계는 ‘당장 가시화되는 피해나 위기는 없다’고 선을 그으면서도 양국의 정세를 예의주시하는 분위기다. 우리 정부도 상황을 유심히 지켜보고 있다. 특히 미중 반도체 전쟁의 희생양으로 지목된 SK하이닉스는 “너무 먼 시기에 대한 전망이라 특별한 입장도 없다”며 해당 보도의 확대 해석을 경계했다.

●“미중 패권 경쟁 희생양? 아직은 먼 얘기”

SK하이닉스 측은 영국 로이터 통신의 18일 보도와 관련, “외신이 언급한 극자외선(EUV) 노광장비는 이제 막 국내 D램 생산에 도입한 극초기 단계”라면서 “해당 장비의 국내 도입이 우선이기 때문에 중국 공장 도입을 논의할 단계도 아니다”라고 설명했다.

앞서 로이터통신 등은 백악관 관계자의 말을 인용해 SK하이닉스가 중국 우시 공장에 EUV 노광장비를 설치해 반도체 제조 공정의 수율을 끌어올린다는 계획을 세웠으나 미국 정부의 반대로 무산될 것이라고 보도했다. 하지만 국내 반도체 업계에 따르면 SK하이닉스는 아직 EUV 노광장비의 중국 공장 설치보다는 국내 공장 추가 도입에 집중하고 있는 것으로 전해졌다.

●산업부 “업계와 긴밀 협의… 상황 파악 중”

중국 2곳에 반도체 생산 공장을 두고 있는 삼성전자는 일단 이번 논란에서 비켜서 있는 상황이다. 우시에서 D램을 생산하는 SK하이닉스는 첨단화에 EUV 노광장비가 필수적이지만, 삼성전자는 시안에서 해당 장비가 필요 없는 낸드플래시를 생산하고 쑤저우 공장은 후공정 단계인 패키징만 담당하기 때문이다.

이와 관련해 산업통상자원부 관계자는 “업계랑 긴밀히 협의하면서 상황을 파악하고 있다”고 말했다. 앞서 문승욱 산업부 장관은 이날 EUV 노광장비 시장을 독점하는 네덜란드 기업 ASML의 피터 베닝크 최고경영자(CEO)를 만나 최근 반도체 업황과 기술 동향, 글로벌 반도체 공급망 이슈 등에 대해 논의했다.

박성국 기자 psk@seoul.co.kr
김승훈 기자 hunnam@seoul.co.kr"
SK하이닉스 “노광장비 국내 도입 우선”,2021-11-18 17:58,"업계·정부 반응은
반도체 주도권을 둘러싼 미국 바이든 행정부의 중국 견제가 가열되는 가운데 국내 반도체 업계는 ‘당장 가시화되는 피해나 위기는 없다’고 선을 그으면서도 양국의 정세를 예의주시하는 분위기다. 우리 정부도 상황을 유심히 지켜보는 것으로 전해졌다. 특히 미중 반도체 전쟁의 희생양으로 지목된 SK하이닉스는 “너무 먼 시기에 대한 전망이라 특별한 입장도 없다”며 해당 보도의 확대 해석을 경계했다.

●“미중 패권 경쟁 희생양? 아직은 먼 얘기”

SK하이닉스 측은 영국 로이터 통신의 18일 보도와 관련, “외신이 언급한 극자외선(EUV) 노광장비는 이제 막 국내 D램 생산에 도입한 극초기 단계”라면서 “해당 장비의 국내 도입이 우선이기 때문에 중국 공장 도입을 논의할 단계도 아니다”라고 설명했다.

앞서 로이터 통신 등은 백악관 관계자의 말을 인용해 SK하이닉스가 중국 우시 공장에 EUV 노광장비를 설치해 반도체 제조 공정의 수율을 끌어올린다는 계획을 세웠으나 미국 정부의 반대로 무산될 것이라고 보도했다. 하지만 국내 반도체 업계에 따르면 SK하이닉스는 아직 EUV 노광장비의 중국 공장 설치보다는 국내 공장 추가 도입에 집중하고 있는 것으로 전해졌다.

●정부, 네덜란드 기업과 만나 이슈 논의

중국 2곳에 반도체 생산 공장을 두고 있는 삼성전자는 일단 이번 논란에서 비켜서 있는 상황이다. 우시에서 D램을 생산하는 SK하이닉스는 첨단화에 EUV 노광장비가 필수적이지만, 삼성전자는 시안에서 해당 장비가 필요 없는 낸드플래시를 생산하고 쑤저우 공장은 후공정 단계인 패키징만 담당하기 때문이다.

문승욱 산업통상자원부 장관은 이날 EUV 노광장비 시장을 독점하는 네덜란드 기업 ASML의 피터 베닝크 최고경영자(CEO)를 만나 최근 반도체 업황과 기술동향, 글로벌 반도체 공급망 이슈 등에 대해 논의했다.

박성국 기자 psk@seoul.co.kr
김승훈 기자 hunnam@seoul.co.kr"
"반도체 패권, SK하이닉스 中공장에 불똥",2021-11-18 22:44,"로이터 “美, 첨단장비 반입·증설 반대”
시설 첨단화 불발 땐 비용절감 등 차질
▲ SK하이닉스 우시공장
중국 동부 장쑤성 우시시에 있는 SK하이닉스반도체 우시공장 클린룸 모습.
연합뉴스
미국과 중국의 전방위 패권 경쟁이 반도체 분야에서 충돌하면서 한국 기업에 불똥이 튀었다. 중국 장쑤성 공장을 첨단화하려는 SK하이닉스의 계획이 미국 정부의 반대로 좌초될 가능성이 커졌다는 보도가 나왔다.

로이터통신은 18일(현지시간) 복수의 소식통의 말을 인용해 “SK하이닉스가 우시 공장에 네덜란드 반도체 장비기업 ASML의 극자외선(EUV) 노광장비를 도입해 반도체 수율을 끌어올리려는 계획을 세웠지만 백악관의 반대를 넘어설지 불투명한 상황”이라고 전했다.

미 정부 고위 당국자는 ‘SK하이닉스의 EUV 장비 중국 반입을 허용할 것이냐’라는 로이터의 질문에 공식적인 답변을 거부하면서도 “바이든 행정부가 ‘중국군 현대화에 쓰일 수 있는 최첨단 반도체 개발에 미국의 기술이 활용되는 것을 막는다’는 입장엔 변함이 없다”고 밝혔다.

미국은 도널드 트럼프 전 대통령 때부터 “자국의 반도체 기술이 중국군의 극초음속 미사일이나 군사용 컴퓨터 개발에 쓰일 수 있다”며 관련 기술 수출을 차단해 왔다. 삼성전자에 이어 D램 시장 점유율 2위(27.2%)인 SK하이닉스는 우시 공장에서 D램 칩의 절반가량을 생산한다. SK하이닉스가 우시 공장 공정을 제때 개선하지 못하면 비용 절감 및 증산 목표를 달성하기 힘들 수 있다는 우려가 나온다.



베이징 류지영 특파원 superryu@seoul.co.kr"
[서울포토]미·중 반도체 패권 경쟁 속 국내 반도체 기업 피해 우려,2021-11-18 15:01,"▲ 미중 반도체 패권 경쟁으로 국내 반도체 기업들이 피해를 보고 있다는 우려가 커지고 있다. 양국은 반도체 패권을 두고 치열한 신경전을 펼쳐왔다. 미 정부는 ‘병목 현상 해소’를 명분으로 대만 TSMC와 한국의 삼성전자, SK하이닉스를 비롯한 반도체 기업에 반도체 재고, 주문, 판매 등 공급망 정보 설문지에 대한 답변을 요구하기도 했다. 사진은 18일 서울 서초구 삼성전자 사옥 모습. 2021.11.18 오장환 기자 5zzang@seoul.co.kr
미중 반도체 패권 경쟁으로 국내 반도체 기업들이 피해를 보고 있다는 우려가 커지고 있다. 양국은 반도체 패권을 두고 치열한 신경전을 펼쳐왔다. 미 정부는 ‘병목 현상 해소’를 명분으로 대만 TSMC와 한국의 삼성전자, SK하이닉스를 비롯한 반도체 기업에 반도체 재고, 주문, 판매 등 공급망 정보 설문지에 대한 답변을 요구하기도 했다. 사진은 18일 서울 서초구 삼성전자 사옥 모습. 2021.11.18


오장환 기자 5zzang@seoul.co.kr"
[포토] 모더나 의장 만난 이재용 부회장,2021-11-18 13:24,"이재용 삼성전자 부회장(왼쪽)이 16일(현지시간) 미국 매사추세츠주 캠브리지에서 누바 아페얀(Noubar Afeyan) 모더나 공동 설립자 겸 이사회 의장을 만나 기념 촬영하고 있다. 2021.11.18

삼성전자 제공"
이기수 삼성전자 부사장 ‘에너지대상 은탑산업훈장’,2021-11-17 21:00,"30년간 에너지 1등급 제품 개발에 헌신
▲ 이기수 삼성전자 부사장
산업통상자원부는 17일 ‘2021 한국에너지대상’ 행사를 열고 에너지효율 향상과 신재생에너지 산업발전에 기여한 개인 및 기관에 대한 108점의 포상을 수여했다.

은탑산업훈장은 이기수 삼성전자 부사장이 수상했다. 이 부사장은 30여년간 에너지효율 개발 분야에 헌신하며 에너지 1등급 제품을 출시하는 등 국내외 최고 에너지소비효율 제품을 개발해 온 공로를 인정받았다. 철탑산업훈장은 과감하고 선제적인 연구개발(R&D) 투자로 고효율 태양광 모듈 제품을 보급하고 국산 모듈의 고출력 경쟁력 강화에 이바지한 강철호 전 현대에너지솔루션 대표이사에게 돌아갔다. 또 국내 최초로 아몰퍼스 코어를 도입하고 고효율 아몰퍼스 주상변압기를 개발해 에너지효율 향상과 국민 안전 증대에 기여한 이준희 우진전기 대표이사가 석탑산업훈장을 받았다.





김승훈 기자 hunnam@seoul.co.kr"
