title,date,article
법원 “건설사 8곳 241억 배상하라”…인천시 “항소할 것”,2021-11-19 12:38,"인천도시철도 2호선 입찰담합 손배소 市 일부 승소
무려 7년을 끈 인천지하철도 2호선 입찰담합 손해배상 소송에서 인천시가 일부 승소했다. 인천시는 손해 배상금이 너무 적다며 곧바로 항소할 것으로 알려졌다.

인천지법 제13민사부(부장 염원섭)는 19일 인천시가 포스코건설·GS건설·HDC현대산업개발·대우건설·두산건설 등 대형 건설사 20곳을 상대로 제기한 손해배상 소송에서 원고 일부 승소 판결을 했다.

법원은 이들 중 8개 건설사에 241억원을 배상하고 지연 이자도 지급하라고 명령했다. 나머지 건설사들에도 8개 건설사와 공동 또는 별도로 각각 13억∼47억원의 배상금을 부담하라고 명령했다.

인천시는 2009년 인천도시철도 2호선 건설 공사를 발주할 당시 이들 건설사가 담합해 낙찰 금액을 끌어올렸다며 2014년 손해배상금 1327억원을 청구하는 소송을 냈다. 같은 해 공정거래위원회도 해당 건설 공사의 입찰을 담합한 21개 건설사를 적발해 시정명령과 함께 과징금 총 1322억원을 부과했다.

건설사들은 2009년 입찰 때 공사 낙찰 금액을 끌어올리려고 16개 공구 중 15개 공구의 공사를 맡을 업체를 미리 논의해 내정했던 것으로 조사됐다. 공정위는 담합한 건설사들이 특정 회사가 낙찰을 받을 수 있도록 의도적으로 품질이 낮은 설계서를 제출하는 방식으로 이른바 ‘들러리’를 섰다고 판단했다.

16개 공구의 공사계약 낙찰 금액은 총 1조2934억원이다. 인천시는 건설사 담합이 없었다면 공사비를 아낄 수 있었을 것으로 보고 손해배상 소송에 나섰다. 당시 16개 공구 가운데 206공구를 제외한 15개 공구는 총 1조288억5300만원(예산 금액의 97.56%)에 낙찰된 반면 담합이 없었던 206공구의 낙찰률은 66.0%에 그쳤다. 인천시는 유명 건설업체들의 담합으로 수천억원의 예산이 낭비됐다는 입장이다.
▲ 인천도시철도2호선
그러나 2014년 4월 소송이 제기된 후 손해배상액 산정과 관련해 원고와 피고 사이 공방이 이어지면서 7년여만인 이날에야 판결이 내려졌지만, 인천시 입장은 충분히 받아들여지지 않았다. 지난 달 1일 열린 최종변론에서 원고인 인천시 변호인단은 “손해배상액을 책정한 증인 주장은 타당하지 않으며 감정서 신뢰도 역시 낮다”고 주장했다. 감정서 보다 더 많은 손실이 발생했다며, 재감정을 요구한 것이다.

반면, 피고 변호인단은 모두 서면자료를 통해 ‘책임제한’을 주장했다. 책임제한은 불법행위로 인해 피해자가 입은 손해 일부를 감액해 배상하도록 한 판례상 법리로 ‘손해의 공평한 분담’이라는 민법상 손해배상의 원칙을 확대 적용한 개념이다.

인천지하철 2호선은 인천 서구 검단오류역에서 남동구 운연역 간 29.2km를 연결하는 공사였다.이 사업에는 2009년 6월 착공 이후 국비 1조3069억원, 시비 9513억원 등 총 2조2592억원의 혈세가 투입됐다.

한상봉 기자 hsb@seoul.co.kr"
,,
"제주항공, 12월부터 인천~방콕 노선 운항 재개…중단 1년 8개월만",2021-11-19 10:18,"코로나19로 끊긴 하늘길 다시 열려
총액 운임 기준 29만 4000원부터
제주항공은 오는 12월 22일부터 인천~방콕 노선을 주4회(수·목·토·일) 일정으로 다시 운항한다. 지난해 4월 코로나19로 운항을 중단한 이후 1년 8개월 만이다.
▲ 제주항공, 12월부터 인천~방콕 노선 운항 재개. 제주항공 제공
19일 제주항공에 따르면 인천~방콕 노선은 인천국제공항에서 수·목·토·일요일 오후 7시 30분에 출발해 방콕에 밤 11시 45분에 도착하는 일정으로 편성된다. 방콕에서는 목·금·일·월요일 새벽 1시에 출발해 인천에 오전 8시 25분에 도착한다.

탑승일 기준 12월 22일부터 2022년 3월 26일까지 이용 가능한 편도 항공권을 유류할증료 및 공항시설사용료 등을 모두 포함한 총액 운임을 기준으로 29만 4000원부터 판매한다. 제주항공 모바일 앱에서 왕복으로 항공권을 예매하면 유류할증료 및 공항시설사용료 등을 제외한 항공운임의 10% 할인 혜택을 제공한다.

예매는 제주항공 홈페이지와 모바일 앱과 웹에서 할 수 있다. 판매기간은 오는 12월 5일까지다. 예약 상황에 따라 조기 마감될 수 있다. 예매 일자와 환율변동에 따라 총액운임은 일부 변동될 수 있다.

현재 태국은 코로나19 백신접종자를 대상으로 무격리 입국을 허용하고 있지만 입국 전 ▲출발 72시간 이내 실시한 유전자증폭(PCR) 검사 영문 음성 확인서 ▲영문 백신접종 완료증명서 ▲코로나19 감염 시 치료비 5만 달러 이상 보장되는 보험 가입 증명서 ▲QR코드 형태의 ‘타일랜드 패스’ 등을 발급받아 제출해야 한다.

태국 입국 후에는 지정 숙소에서 유전자증폭(PCR) 검사를 받아 음성이 확인돼야 한다. 기타 자세한 사항은 항공권 예매 시 입출국 유의사항에서 확인할 수 있다.

제주항공은 태국 전문 여행사인 ‘몽키트래블’과 제휴를 맺고 태국 입국에 필요한 사항들을 패키지로 묶은 안전여행 상품과 호텔 숙박비를 최대 2만 5000원(700바트) 할인 제공한다. 신라면세점, 현대백화점면세점과의 제휴를 통해 온·오프라인 면세점 할인 혜택도 제공한다.

박성국 기자 psk@seoul.co.kr"
페루에 한국형 공항 수출…마추픽추 친체로 공항 착공,2021-11-19 09:30,"▲ 페루 친체르 국제공항 조감도
우리 정부와 공공기관, 민간 건설업체가 페루에 한국형 신공항을 짓는다. 국토교통부는 한국공항공사가 주도하는 민관협력 컨소시엄 ‘팀코리아’가 19일 페루 쿠스코주 정부청사에서 ‘친체로 신공항’ 착공식을 갖는다고 밝혔다.

페루 잉카 문명의 고대 유적지 마추픽추로 향하는 관문이 될 이 공항은 한국공항공사와 현대건설 등이 팀 코리아 컨소시엄을 구성해 사업을 제안했고 국제 경쟁을 거쳐 따낸 공사라는 점에서 의미가 있다. 팀코리아는 발주자인 페루 정부를 대신해 건설·시공사 선정과 공정 관리, 공항 시운전까지 사업 진행을 총괄하는 사업총괄관리(PMO) 사업을 맡았다. 현대건설이 부지 조성공사(1600억원 규모)와 본공사(5400억원 규모) 시공계약까지 수주했다.

친체로 신공항은 4㎞ 길이의 활주로와 탑승구 13기의 터미널 1개동, 계류장 13개소를 지어 2025년까지 연간 최대 570만명이 이용하는 국제공항이다.

이날 행사에는 손창완 한국공항공사 사장과 주종완 국토부 공항정책관, 현대건설 사장 등이 참석했다. 페루 정부에서는 페드로 카스티요 대통령과 후안 프란시스코 교통통신부 장관, 쿠스코 주지사, 친체로 시장 등이 참석했다.

공항공사는 이 사업이 쿠스코 지역 경제 발전에 크게 기여하는 것은 물론 ‘포스트 코로나’ 시대의 항공산업 발전에 기여할 것으로 기대했다. 손창완 공사 사장은 “마추픽추 하늘길이 대한민국과 공사의 기술로 만들어진다는 것에 큰 자부심을 가진다”며 “안전한 공항 건설과 공항 운영 기술 공유,시운전 등 사업관리를 성공적으로 완료해 남미 지역 및 글로벌 해외사업 진출의 시금석으로 추진하겠다”고 밝혔다.

노형욱 국토부 장관은 “친체로 신공항 사업은 인프라 분야 대한민국 최초의 정부 간 계약(G2G)으로 추진되며, PMO 시공사 등 한국기업들이 다양하게 참여하는 만큼 스마트 공항 등 대한민국이 가진 높은 기술력과 건설 역량을 충분히 발휘해 본 사업의 성공을 위한 최선의 노력을 다할 것”이라고 말했다.

세종 류찬희 선임기자 chani@seoul.co."
[열린세상] 정치를 외면한 가장 큰 대가/김세연 전 국회의원,2021-11-18 17:56,"▲ 김세연 전 국회의원
요즘 정치 기사를 거의 읽지 않는다. 기사를 읽을수록 온전한 정신상태를 유지하기 어렵게 되기 때문인데, 같은 고통을 호소하는 이들을 종종 보게 된다. 상대를 악마화하고 권력 쟁취를 위해 갈등과 혐오를 조장하는 데 이골이 난 정치 기술자들이 기량을 발휘한 결과 이제 정치에서는 흉포화한 게임의 룰을 따르지 않으면 생존이 불가능하게 됐다. 식물로 치면 정상적인 작물은 싹이 트지 않거나 싹이 터도 곧 말라 죽고 마는 지경이 되는 셈이다. 책임 소재를 따지고 누구를 비난하는 것은 무의미할 수 있지만, 문제 해결을 위한 최소한의 진단은 해 보고자 한다.

1987년 대통령 선거 이후 아직까지 이어지는 영호남 ‘지역 갈등’이 느리지만 지속적으로 완화되고 있는 반면 보수·진보 사이의 ‘이념 갈등’은 여전히 첨예하고, ‘세대 갈등’에 ‘성별 갈등’까지 더해져 삭막하기 그지없다. ‘매스미디어’ 시대가 가고 ‘소셜미디어’ 시대가 오면서 추천 알고리즘의 마법에 의해 자신만의 세계에 갇혀 확증편향은 심해진다. 이런 상황에서 공동체 전체를 아우르는 정치적 통합을 성공적으로 해내기란 하늘의 별 따기처럼 어렵게 됐다.

보수 정당의 일원으로서 ‘내 탓’부터 해 보겠다. 자유한국당 시절 끝이 없는 퇴행적 행각으로 망가질 대로 망가졌다가 미래통합당으로 거듭나면서 이전과 다른 DNA를 수혈받아 서울시장, 부산시장 선거를 승리하고 최초의 30대 당대표를 선출한 국민의힘이다. 그러나 최근 대선 후보 선출을 전후한 사정을 보면 불길하게도 다시 과거 자유한국당 시절로 회귀하고 있는 감을 지울 수 없다. 4월의 서울·부산시장 후보 선출 방식이 예비경선은 국민 80%, 당원 20%, 본경선은 국민여론조사 100%였던 반면 11월의 대선 후보 선출 방식은 반대로 당원 비중이 1차 컷오프 20%, 2차 컷오프 30%, 최종 50%로 뒤로 갈수록 압도적으로 높아졌다. 쉽게 말해 4월에는 수도권 20대가 표밭을 주도했다면 11월에는 다시 영남 60대가 선거전을 압도하게 된 것이다. 4월과 11월의 경선 룰이 거꾸로 됐다고 가정하면 후보 선출 결과도 완전히 달라졌을 가능성이 높다.

결코 전체가 그런 건 아니지만 지역적으로 영남, 연령적으로 노년층에 속하는 국민의힘 당원의 주류 상당수는 지금도 박근혜 전 대통령의 탄핵에 대해 부정적이다. 2016년 말 국민 80%가 찬성했고 역사의 페이지가 한참 넘어가 있는데도 아직까지 ‘배신자론’의 열혈 홍위병이 돼 보수 정당 내 소위 ‘개혁보수’의 싹을 밟아 죽이고 있다. 시대정신을 담아 정당을 쇄신해야 할 주체들이 당내 반동세력의 발호에 견디다 못해 나가떨어지고, 혹시나 하는 기대를 걸고 최근 들어온 젊은 당원들은 다시 탈당하며, 남겨진 당은 급속도로 노쇠화ㆍ패거리화하고 다시 시대부적응 정당으로 회귀할 위험에 처해 있다.

참고로 현대 민주국가에서 개념조차 성립이 안 되는 ‘배신자론’ 따위를 여전히 펼치는 사람들은 정작 본인들이야말로 대한민국 헌법에서는 퇴출돼야 할 ‘왕당파’임을 커밍아웃하는 것이고, 민주공화국 시민 자격을 ‘셀프 박탈’하는 것임을 자각하기 바란다. 한마디만 덧붙인다. 이 나라를 일으킨 세대여, 그대들의 손으로 일으킨 이 나라를 기어이 이렇게 무너뜨려야겠는가. 지금까지 나라에 바친 기여와 우리에게 베푼 은혜에는 깊이깊이 감사하지만 이제 우리는 더이상 당신들에게 진 빚이 없게 됐다. 바뀐 세상을 보고도 변화를 이해할 수 없다면 오기와 독선을 내려놓고 그냥 ‘세상이 달라졌구나’ 하면서 다음 세대를 믿고 판단을 맡겨 주기를 바란다.

더불어민주당도 상태가 좋은 형편은 아닌 것 같다. 내부에서 국민 상식에 부합하는 견해를 밝히는 의원들이 핍박당하는 형국을 보니 새누리당이 마지막에 급속도로 망가지던 상황과 별반 차이가 없어 보인다. 또한 시민으로서의 정체성을 저버리고 팬덤에 취해 특정인을 위한 정치적 사병 집단, 돌격대를 자임하는 이들의 행태는 결코 정상적인 민주시민의 모습이라고 볼 수 없다.

결국 모든 것은 좌우 극단세력의 과잉대표를 방치하며 시민의 역할을 다하지 않은 우리에게서 비롯된 문제다. 2000년 전 플라톤의 경고로 마무리 짓겠다. “정치를 외면한 가장 큰 대가는 가장 저질스러운 인간들에게 지배당하는 것이다.”"
선두 발목 잡은 ‘꼴찌’ 우리카드,2021-11-19 01:24,"‘꼴찌’ 우리카드가 또다시 갈 길 바쁜 선두 한국전력의 발목을 잡았다.

●한국전력에 3-1 역전승… 수비 안정 효과

우리카드는 18일 수원실내체육관에서 열린 2021~22 V리그 남자부 원정 경기에서 한국전력을 3-1(19-25 26-24 25-22 25-18)로 눌렀다. 지난 10월 1라운드 맞대결에서 3-0으로 승리했던 우리카드는 3승 가운데 2승을 한국전력에서 챙겼다.

경기 초반엔 우리카드가 서브 리시브에서 불안감을 드러내며 분위기를 내줬다. 리시브 불안으로 세터 하승우의 볼 배급이 원활하지 않았다. 2세트부터 서브 리시브가 살아나면서 공격이 훨씬 날카로워졌다. 선수들의 호흡이 살아나면서 알렉스가 33득점, 나경복이 16득점으로 좌우에서 한국전력을 흔들었다. 또 부상에서 복귀한 하현용이 블로킹 5개를 잡아내며 공수에서 고른 활약을 했다. 반대로 한국전력은 갈수록 서브 리시브가 흔들리며 공격이 원활하게 풀리지 않았다.

2위 현대캐피탈과 승점이 같았던 한국전력은 승점 15점으로 불안한 선두를 유지했다. 우리카드는 승점 3점을 추가했지만 6위 KB손해보험에 세트 득실에서 밀려 여전히 최하위에 놓였다.

●인삼공사, 흥국생명 3-0으로 꺾고 4연승

여자부에서는 2위 KGC인삼공사가 흥국생명을 3-0(25-17 25-19 25-21)으로 꺾고 4연승을 질주했다. KGC인삼공사는 승점 21점(7승 1패)으로 1위 현대건설과의 격차를 5점으로 좁혔다.

이주원 기자 starjuwon@seoul.co.kr"
싹 보인다! 김연경 이을 ‘황금 막내’ 정지윤,2021-11-18 17:56,"짧고 굵게 맹활약… 현대건설 9연승 공신
레프트로 포지션 바꾸고 국대팀 유망주로
▲ 정지윤(왼쪽).
스포츠서울
출전 시간은 짧지만 코트에 나서기만 하면 불같은 화력을 뽐낸다.

여자배구 국가대표팀 막내 정지윤(20·현대건설)의 얘기다. 올해 한국 여자배구의 과제 중 하나는 황금세대를 잇는 유망주의 성장이다. 2020 도쿄올림픽을 끝으로 김연경(33)과 양효진(32), 김수지(34)가 국가대표 은퇴를 선언했다.

유망주 가운데 대표팀 막내 정지윤의 성장세는 팬들에게 큰 관심이다. 정지윤은 이번 시즌 선발로 나서지는 않지만, 교체로 투입되면 강한 공격력으로 현대건설 9연승 질주에 힘을 보탰다. 정지윤은 지난 17일 한국도로공사와의 경기에서 교체 투입돼 막강한 전위 공격으로 7득점(공격 성공률 58.33%)을 올렸다. 현대건설의 공격이 막힐 때마다 활로를 뚫은 것이다.

팀에서 센터를 맡았던 정지윤은 이번 시즌 레프트로 포지션을 변경했다. 김연경도 다음 세대를 이끌 주역으로 정지윤을 꼽았고, 강성형 감독에게 레프트로 키워야 한다고 부탁까지 했다.

공격력은 이미 검증됐다. 하지만 완성형 레프트가 되기 위해선 수비력 보강이 절실하다. 리시브가 불안한 탓에 상대 팀들은 목적타 서브로 정지윤을 수시로 괴롭힌다. 정지윤은 리시브 부담감에 경기 도중 울음을 터뜨리는 모습도 보였다. 빼어난 공격력을 지닌 정지윤을 주전으로 써야 한다는 주장도 있지만 강 감독은 ‘레프트 정지윤이 현재진행형’이라고 말한다. 강 감독은 “리시브에서 흔들림이 있지만 경험을 하면 할수록 실수가 없어지는 모습이 고무적”이라고 말했다.



이주원 기자 starjuwon@seoul.co.kr"
‘용접의 날’ 장관표창 받은 농구 스타감독 최희암,2021-11-18 20:52,"‘고려용접봉 부회장’ 기업인으로 인생 2막
▲ 연세대 농구팀을 지휘하다 기업인으로 변신한 최희암 고려용접봉 부회장이 지난 17일 서울 중구 본사에서 중소벤처기업부 장관 표창장을 들어 보이고 있다.
연합뉴스
연세대 농구부 감독을 지내며 농구대잔치의 전성시대를 열었던 최희암(66) 고려용접봉 부회장이 평소 모범적인 기업 경영, 중소기업 육성을 통한 국가 경제 발전에 기여한 공로를 인정받아 제1회 ‘용접의 날’(11일)을 계기로 장관 표창을 받았다.

최 부회장은 2009년 전자랜드 감독에서 물러난 뒤 전자랜드 형제 회사인 고려용접봉 중국 다롄 법인장을 맡으면서 기업인의 인생을 시작했다. 중국에서 4년 반을 지내며 현지 법인을 관리했고, 2014년 상반기에 귀국해 경남 창원에서 근무하다가 지난해 서울 본사로 돌아왔다. 중국 법인장과 국내 부사장을 거쳐 현재 직책은 부회장이다.

30년 넘게 농구인으로 살았던 최 부회장이 ‘기업인상’을 받은 건 이례적이다. 그는 현대건설에 몸담았던 1985년 이라크 바그다드 지사에서 근무한 적이 있다. 최 부회장은 “기업 일을 해보니 역시 사람 관리가 가장 어렵다”며 “주변 사람들이 잘했을 땐 ‘평생 농구만 한 사람이 어떻게 이런 것도 아느냐’고 칭찬해 주시고, 못하면 ‘농구만 했으니 모를 수 있다’고 이해해 주신 덕에 버틸 수 있었다”고 전했다.

그는 농구 인기가 예전만 못해 아쉽다고 했다. 그는 “야구, 축구와 달리 농구는 미국이나 유럽에 가서 성공하기가 쉽지 않은 만큼 중국, 일본, 대만 등과 아시아 교류를 통해 판을 키우는 방법을 고려할 만하다”고 제안했다. 그는 “용접이 제조 과정이나 작업 환경 등에서 열악하지만 기초적으로 매우 중요한 분야인 만큼 앞으로 더 발전할 수 있는 토대를 많이 쌓겠다”고 포부를 밝혔다.



이주원 기자 starjuwon@seoul.co.kr"
온난화의 부메랑… 도시가 가라앉는다,2021-11-18 17:56,"물이 몰려온다/제프 구델 지음/박중서 옮김/북트리거/480쪽/2만 1000원
▲ 미국 시카고의 브릭하우스 호텔을 들어올리는 모습. 1857년 나무 타래송곳 장치(작은 기중기) 수천개를 이용해 5층짜리 건물을 유리창 하나 깨지 않고 들어올렸다고 한다. ‘돋워진 도시’ 시카고의 19세기를 상징하는 듯하다.
북트리거 제공
미국 시카고는 돋워진 도시다. 지표에서 위로 들어올려진 도시란 뜻이다. 이런 일이 어떻게 가능할까. 1850년대 개발 당시 시카고는 대초원이었다. 미시간호와 가까워 “말 한 마리가 너끈히 빠져 죽을 정도”의 습지가 도처에 널려 있었다. 그래도 건물은 레고 블록처럼 올라갔다. 그러다 문제가 빚어졌다. 습지이다 보니 비만 오면 홍수가 났다. 하수도 시설이 없던 당시, 범람한 물로 도시가 오염되곤 했다. 콜레라 등 전염병에 희생되는 사람이 늘자 토목공학자들이 혁신적인 해결책을 냈다. 하수관을 지표에 설치한 뒤 도시 전체를 8피트(2.4m) 정도 높이자는 것이었다. 10년 뒤 도시 공학은 대승리를 거뒀고, 시카고는 세계에서 가장 빠르게 성장하는 도시가 됐다. 현대에 와서도 마이애미, 뉴욕 등이 이와 비슷한 전철을 밟았다. 그러니 이런 생각도 가능할 법하다. “해수면 상승을 걱정할 게 뭔가? 인간의 힘으로 대응할 수 있는데”라고 말이다. 아마 도널드 트럼프 전 미국 대통령 같은 이가 이런 부류에 속할 것이다.
요즘 기후 위기에 관한 책들이 쏟아지고 있다. ‘물이 몰려온다’ 역시 기본적으로는 이 연장선에 있는 책이다. 다만 논점의 폭을 좁혀 해수면 상승과 도시, 인간 문명의 미래에 초점을 맞췄다는 게 독특하다. 저자는 미국의 뉴욕, 노퍽(버지니아주), 마이애미 등을 비롯해 나이지리아의 라고스, 이탈리아 베네치아, 네덜란드 로테르담 등 12개국의 여러 도시들을 찾아 해수면의 급속한 상승이 도시와 사람들에게 끼칠 혹독한 대가를 탐색했다.

저자는 10여년 동안 기후 문제에 천착한 언론인이다. 실제와 가상의 미래를 적절히 섞어 논픽션 소설처럼 책을 썼다. 성층권에 미세 입자를 뿌려 햇빛을 반사하자거나, 바닷물을 남극 대륙으로 퍼올려 얼리자는 등 지구공학 분야의 여러 논의들도 곁들였다.
▲ 미국의 건축가 레이날도 보르헤스가 구상한 마이애미 비스케인만의 플랫폼 도시 상상도. 인간의 기술력은 해수면 상승에 맞서는 수준에 이르렀지만, 돈과 시간이 인간의 편이 아닐 경우 기후변화의 대가를 혹독하게 치를 수밖에 없다.
북트리거 제공
침몰 위기에 처한 지구 곳곳의 도시들을 19세기 중반의 시카고처럼 들어올릴 수만 있다면 좋겠지만, 당시와 지금은 ‘사이즈’가 다르다. 극단적인 폭풍해일, 지반침하, 토양 염류화 등 해결해야 할 난제들도 하나둘이 아니다.

어차피 해수면 상승은 막을 수 없다. 이미 발생한 온실가스는, 인류가 당장 화석연료를 완전히 포기한다 해도, 수천년이 지나야 사라질 것이기 때문이다. 그렇다고 온실가스 감축 노력이 무의미한 건 아니다. 인류가 기온 상승을 산업화 이전 대비 섭씨 1.5도 이내로 제어할 수만 있다면 이번 세기의 해수면 상승은 60㎝에 그칠 수 있다. 부랴부랴 각국 정상들이 모여 협의를 합네 호들갑을 떠는 건 결국 해수면 상승 속도를 완만하게 늦춰 보자는 것이다. 인류가 변화에 대응할 시간을 벌기 위해서 말이다.

책에 등장하는 한 건축가는 이런 농담을 던졌다. “돈만 충분하다면 무슨 일에서건 살아남을 방법을 기술적으로 고안할 수 있다.” 한데 이 건축가는 중요한 전제 하나를 놓쳤다. 돈뿐만 아니라 시간도 인류의 편이어야 한다. 미국처럼 부자 나라는 돈으로 문제를 해결할 수 있을지 모른다. 그러나 대부분의 가난한 나라들에는 그림의 떡이다. 시간도 인류에 호의적이지 않다. 해수면 상승 속도가 기후 모델의 예상치를 훌쩍 뛰어넘고 있기 때문이다. 저자는 일정한 임계점이 지나고 나면 기후변화는 인류가 대응하지 못할 정도로 몰아칠 수 있다고 경고했다.

손원천 기자 angler@seoul.co.kr"
[책꽂이],2021-11-18 17:56,"▲ ‘2030 극한경제 시나리오’ 책표지
2030 극한경제 시나리오(리처드 데이비스 지음, 고기탁 옮김, 부키 펴냄) 영국 경제학자인 저자가 코로나 팬데믹 이후에도 다가올 극한의 미래에 대비하고자 전 세계 500여명을 인터뷰한 결과를 담았다. 앞으로 10년간 가장 중요한 추세는 ‘고령화’, ‘디지털화’, ‘불평등화’이며 이에 대비해 회복탄력성을 키워야 한다고 주장한다. 560쪽. 2만 2000원.
▲ ‘여행작가노트’ 책표지
여행작가노트(이정식 지음, 반딧불이 펴냄) ‘시베리아 문학기행’, ‘러시아 문학기행’을 펴낸 언론인 출신 저자가 코로나19 팬데믹 직전까지 다녀온 여행지 중 몽골 알타이 산맥의 빙하 지대, 시베리아의 바이칼 호수 등 특색 있고 인상 깊었던 곳들을 생생하게 소개한다. 348쪽. 1만 7000원.
▲ ‘파국이 온다’ 책표지
파국이 온다(안젤름 야페 지음, 강수돌 옮김, 천년의상상 펴냄) 카를 마르크스의 가치론을 재해석한 ‘가치비판론’ 학파의 이론가가 펴낸 에세이 모음집. 저자는 2008년 글로벌 금융위기를 예로 들며 자본주의를 무너뜨리는 것은 자본주의 자신이라고 진단하며, 현대 인류는 ‘투표밖에 할 줄 모르는 사람’이 됐다고 분석한다. 304쪽. 1만 8000원.
▲ ‘의미의 지도’ 책표지
의미의 지도(조던 B 피터슨 지음, 김진주 옮김, 앵글북스 펴냄) ‘질서 너머’로 낙양의 지가를 올린 심리학자 조던 B 피터슨 교수가 삶과 사회, 인간의 본성에 대해 분석한 인문서. 세상은 ‘질서’와 ‘혼돈’이 공존하며 살아가는 것이며 이 간극 사이 균형을 찾아가는 일이다. 저자는 혼돈을 인정하며, 위험한 미지를 탐험해야 한다고 주장한다. 928쪽. 4만 3000원.
▲ ‘과일로 읽는 세계사’ 책표지
과일로 읽는 세계사(윤덕노 지음, 타인의사유 펴냄) 음식 문화 저술가의 시각으로 은밀히 세상을 움직여 온 과일 이야기를 들려준다. 성군으로 이름난 세종대왕이 유독 수박 도둑에게 대노한 까닭과 오렌지가 서구 르네상스를 촉발하는 등 과일은 당대 사람들의 희로애락과 가치관을 대변하며 정치·사회·문화적으로 커다란 영향력을 발휘한다. 304쪽. 1만 6800원.
▲ ‘희미한 희망의 나날들’ 책표지
희미한 희망의 나날들(허희 지음, 추수밭 펴냄) 2012년 ‘세계의 문학’ 신인상을 받으며 등장한 허희 문학평론가의 첫 산문집. 스스로에게 말을 걸어야겠다는 마음에 써내려 간 고백과도 같은 이 책은 소설 ‘빨강머리 앤’부터 영화 ‘비포 선라이즈’에 이르기까지 익숙한 작품을 통해 세상을 살아오며 마주해 온 편린들을 이야기한다. 228쪽. 1만 4000원."
