title,date,article
,,
"한 봉에 2200원, 셰프 요리! 닭고기 회장님의 ‘라면 야망’",2021-11-09 20:40,"국내 라면 시장 ‘빅3’에 도전장… 프리미엄 라면 출시한 김홍국 하림 회장
닭고기 식품 전문 기업 하림이 올 하반기 프리미엄 라면 2종을 선보이며 종합 식품 기업으로의 도약에 속도를 내고 있다. 인스턴트 식품으로 평가절하된 가공식품을 장인이 제대로 만든 요리로 격상시켜 가정에서도 미식을 즐기도록 하겠다는 포부다. 김홍국(64) 하림 회장의 뒤늦은 ‘라면 시장 출사표’는 성공을 거둘 수 있을까. 지난 3일 서울 강남구 논현동 하림 사옥 16층 집무실에서 그를 만나 식품 기업으로서의 비전과 함께 양재동 도시첨단물류단지 개발 현황과 일감 몰아주기 혐의에 대한 공정거래위원회 제재에 대한 견해를 물었다.
▲ 김홍국 하림 회장이 지난 3일 서울 강남구 논현동 하림타워 집무실에서 인터뷰 전 포즈를 취했다. 김 회장은 ‘The미식 장인라면’ 출시 직전 일주일 연속 아침 대용으로 제품을 끓여 먹기도 했다며 “내가 생각하는 그 라면이 나왔다. 자신 있게 추천할 수 있다”고 말했다.
박윤슬 기자 seul@seoul.co.kr
“미국에 사는 막내딸이 라면 좀더 보내 달라고 난리예요. 부모가 자식한테 자신 있게 권할 수 있는 라면이면 성공한 것 아닌가요.”

이날 김 회장은 한 시간가량 이어진 서울신문과의 인터뷰에서 “나이가 있는 내가 먹어도 속이 편안하다. 아침에도 먹고 점심, 저녁으로도 먹고 국물도 다 마신다”며 지난달 중순 출시한 ‘The미식 장인라면’에 대한 강한 자신감과 애정을 보였다.
▲ 장인라면
‘The미식’은 하림이 선보인 새로운 가정간편식(HMR) 브랜드다. 첫 주자가 바로 장인라면이다. 사골에 소고기, 닭고기, 각종 채소를 넣고 20시간 우려낸 육수가 가장 큰 특징으로 최근 넷플릭스 시리즈 ‘오징어 게임’으로 유명세를 탄 배우 이정재를 모델로 기용해 화제를 모았다.

출발은 순조롭다는 평가다. 김 회장은 “하루 생산량 10만개 규모의 공장이 매일 풀가동 중이고 현장 반응도 나쁘지 않다”면서 “장인라면을 시작으로 라면의 통념을 바꿀 신개념 제품의 출시에도 박차를 가하고 있다”고 했다.
▲ 장인라면
장인라면은 7년 전 아토피가 있는 막내딸을 위해 김 회장이 라면 수프 대신 닭고기 국물로 라면을 끓여준 데서 시작했다. 당시 중학생이었던 딸은 라면을 먹을 때마다 입 주변이 붉어지고 몸에 반점이 생겼다. 수프 성분이 문제였다.

김 회장은 “닭국물로 끓인 라면을 먹였더니 전혀 문제가 생기지 않았다”면서 “집사람은 지금도 라면이 몸에 해롭다고 애들한테 라면을 잘 못 먹게 하는데 음식이 이러면 안 된다고 생각했다”고 말했다.

개발 과정은 순탄치 않았다. 반대 목소리도 컸다. 농심(지난해 판매액 기준 점유율 53.3%)과 오뚜기(22.6%), 삼양(11.0%), 팔도(9.2%) 등 주요 업체가 시장을 과점하고 있는 상황에서 후발주자로 성공할 수 있겠느냐는 임직원들의 우려도 적지 않았다.

그때마다 김 회장은 “신경 쓰지 말고 자연의 신선한 재료로 최고의 맛을 내자는 우리의 철학대로만 하라”고 독려했다. ‘99%의 불가능 대신 1%의 가능성을 100%로 만들자’는 평소 경영 정신이 드러난 대목이다.
▲ 김홍국 하림 회장.
그는 “과거에는 김치를 사먹는 것도 흉을 봤지만, 지금은 김치를 사다 먹는 ‘주방의 가출’이 이뤄지고 있다”면서 “집에서 한 음식보다 더 신선하고, 더 맛있고, 더 위생적이며, 더 편리하고, 더 건강하고 심지어 더 경제적인 제품을 내놓는 것이 하림의 목표”라고 강조했다.

이런 그의 철학을 반영해 전북 익산에 조성한 라면 생산 공장에도 ‘퍼스트키친’이라는 이름을 붙였다. 식품 공장이 과거 가정의 조리(cooking)를 대신하고 가정의 주방은 간편식이나 배달음식을 데우거나 간단한 조리를 거쳐 식사(dining)하는 곳으로 변화했다는 설명이다.

그는 퍼스트키친에 대해 “장인 셰프들의 주방처럼 재료를 다루고 고급 레시피로 음식을 조리한다”면서 “전 과정을 소비자가 견학할 수 있게 오픈 주방 형식으로 운영할 것”이라고 했다.

원가 부담에도 본질적인 맛을 좇다 보니 장인라면은 기존 라면에 비해 단가가 높다. ‘감히, 라면 주제에’(장인라면 광고 문구) 한 봉에 2200원이나 하는 고가 제품이 시장에서 통하겠느냐고 물었더니 김 회장은 “먹어 보면 소비자들은 안다”고 자신감을 드러냈다.

그러면서 그는 “(장인라면은) 기존의 라면과 다르기 때문에 선발 후발의 의미가 없다”며 “기존 제품 말고 유명 식당의 닭곰탕과 비교해 달라. 사람들은 의외로 제대로 된 것을 좋아한다”고 덧붙였다.

하림은 HMR 매출을 1조 5000억원으로 키우겠다는 목표를 세웠다. 장인라면의 내년 목표는 700억원이다.

김 회장은 “‘감히 미식이라 부를 수 있는 라면’, ‘야식으로 추천하는 라면’, ‘자녀들에게 권할 수 있는 라면’이기 때문에 700억원 매출 목표는 어렵지 않게 달성할 수 있을 것으로 본다”면서 “해외시장을 겨냥한 제품 출시를 준비하고 있고 일부 동남아 국가와는 현재 수출을 논의 중”이라고 밝혔다.

한편 라면사업이 궤도에 오르고 이와 별개로 숙원사업인 양재동 옛 한국화물터미널(파이시티) 부지 개발이 완성되면 하림은 식자재 생산·조달부터 식품의 제조, 가공, 유통, 배송까지 이어지는 식품의 전체 가치사슬을 완성하게 된다. 양재동 도시첨단물류단지 조성은 서울시와의 갈등으로 오랜 시간 개발이 지연됐지만 지난 8월 감사원이 하림의 손을 들어주며 물꼬가 트였다.

김 회장은 “우리나라에서 처음 시도되는 물류유통복합단지 조성사업인 데다 서울이라는 대도시에서 이뤄지는 프로젝트라서 많은 준비가 필요하다 보니 추진이 다소 지연됐다”면서 “도시첨단물류단지의 도입 취지, 서울시의 글로벌 도시 경쟁력 제고, 산업 발전의 신동력 창출 등의 다각적인 목표를 두고 가급적 이른 시일 내에 착수할 예정”이라고 했다.

최근 장남 준영씨의 회사 ‘올품’에 대한 일감 몰아주기 혐의로 공정위로부터 48억원이 넘는 과징금을 받은 것에 대해서도 입을 뗐다.

김 회장은 “제아무리 의미 있는 기업활동이라 하더라도 법과 질서에 어긋난다면 가치를 잃는 것”이라면서 “잘못된 부분에 대해서는 바로잡고 재발하지 않도록 재정비할 것”이라고 말했다. 다만 “제재 처분에 과도한 부분이 있다면 합리적으로 처리될 수 있는지 검토해 볼 생각”이라고 했다.

김 회장이 그리는 10년 후 하림은 ‘글로벌 마켓’에 있다. 김 회장은 “식품은 가치사슬을 얼마나 촘촘히 연결하고 관리하느냐에 경쟁력이 결정된다”면서 “10년 후에는 비효율과 군더더기 없이 물처럼 흐르는 하림의 식품사슬이 글로벌 마켓까지 이어지는 모습이 드러날 것”이라고 했다.

명희진 기자 mhj46@seoul.co.kr"
10월 라면값 13년 만에 최대폭 올라… 김장철 소금값 23.9% ‘쑥’,2021-11-07 20:42,"전년 대비 11% 상승… 과자류도 오름세
▲ “다 올랐네”
7일 서울 시내 한 대형마트를 찾은 시민이 라면 판매대에서 라면을 고르고 있다. 통계청이 발표한 가공식품 소비자물가지수에 따르면 지난 10월 라면 가격은 1년 사이 11.0% 폭등했다. 2009년 2월 14.3% 오른 이후 12년 8개월 만의 최대폭이다.
연합뉴스
대표적 서민 음식인 라면 가격이 약 13년 만에 가장 큰 폭으로 올랐다. 김장철 도래로 소금 등의 가격도 고공행진을 이어 가고 있다.

7일 통계청 국가통계포털(KOSIS)에 따르면 지난달 라면 가격은 1년 전 같은 달보다 11.0% 올라 2009년 2월(14.3%) 이래 12년 8개월 만에 가장 큰 폭으로 올랐다. 오뚜기와 농심, 삼양식품, 팔도 등 주요 라면 업체가 밀가루, 팜유 등 원재료비 상승을 이유로 줄줄이 출고가를 인상한 영향이다. 국수도 19.4% 올랐고 비스킷(6.5%)·파스타면(6.4%)·스낵과자(1.9%) 등도 덩달아 가격이 상승했다.

소금 가격은 1년 전보다 23.9% 올라 지난달 가공식품 중 가장 높은 상승률을 기록했다. 김장철을 맞아 절임 배추용 소금 수요가 늘면서 8월(14.6%)과 9월(18.0%)에 이어 3개월 연속 두 자릿수 상승률을 보였다. 국제 곡물 가격이 상승세를 이어 감에 따라 향후 가공식품 가격이 더 올라갈 것이라는 우려가 나온다. 유엔식량농업기구(FAO)에 따르면 곡물·유지류·육류 등 주요 식량 품목의 국제 가격을 지수화한 세계식량가격지수는 지난달 기준으로 전달보다 3.0% 상승한 133.2포인트(2014∼2016년 평균=100)로 집계됐다.



세종 임주형 기자 hermes@seoul.co.kr"
간편한 술 재밌는 술 건강한 술… 한잔 술술,2021-11-02 20:46,"위드 코로나 시대 주류시장 키워드
코로나19 2년, ‘음주가무’(飮酒歌舞)라는 말이 어색해졌다. 식당은 한산해졌고 유흥업소는 출입이 제한됐으며 그만큼 주류업계도 위축됐다. 그러나 사실은 대놓고 술판을 벌이는 문화만 사라졌을 뿐이다. 사람들은 집에서든 어디서든 꾸준히 술을 마셨다. 그동안 오히려 다양한 ‘술맛’에 눈을 떴으며, 사람끼리 연결되는 술자리 본연의 매력을 느끼기 시작했다. 온 국민이 ‘애주가’가 된 위드 코로나(단계적 일상회복) 시대, 주류시장 트렌드를 네 가지 키워드로 들여다봤다.

●위스키, 칵테일, 하드셀처 등 ‘주종 다변화’

2일 관세청에 따르면 지난해 와인 수입액은 전년보다 27.3% 증가한 3억 3000만 달러(약 3890억원)로 역대 최대치를 기록했다. 750㎖ 와인병 기준으로 7300만병에 이르는 숫자다. 주류 수입액 1위였던 맥주(2억 2700만 달러)는 지난해 와인에 자리를 내줬다. 코로나19 시대에 가장 큰 수혜를 입은 주종은 와인이었다고 해도 과언이 아니다. 특히 CU, GS25, 세븐일레븐 등 국내 편의점 업계가 경쟁적으로 저렴하고 다양한 제품들을 잇달아 선보이면서 ‘와인의 대중화’를 앞당겼다고 평가된다. 주류업계 관계자들은 “와인을 통해 ‘맛의 다양성’에 눈을 뜬 소비자들이 앞으로는 더욱 다양한 주종으로 관심을 옮겨 갈 것”이라고 전망했다. 그동안 독주(毒酒)로만 여겨져 외면받던 위스키가 MZ세대의 ‘하이볼’ 열풍 속에서 재발견되며 대형마트 주류 매대 전면에 등장한 것이 대표적이다. 이 외에도 탄산수에 알코올과 과일향을 가미해 가볍게 즐기는 ‘하드셀처’, 조합에 따라 다양한 맛을 즐길 수 있는 ‘칵테일’이 위드 코로나 시대에 급부상할 것으로 예상된다.
●“캠린이 잡아라”… 캔 시리즈 승부수

와인, 막걸리, 칵테일 등도 요즘에는 캔에 담긴다. 주류업계가 제품을 좀더 ‘간편하게’ 만드는 데 승부를 걸고 있어서다. 쉽게 휴대할 수 있으며 언제든 편하게 따서 마실 수 있어야 한다. 이는 코로나19 속에서 캠핑 인구가 많아진 것과 관련이 있다. 캠핑아웃도어진흥원에 따르면 국내 캠핑 시장 규모는 2018년 2조 6000억원에 불과했으나 지난해 4조원까지 성장했다. 캠핑용 주류로 쉽게 캔맥주를 연상하지만 앞으로는 더 다양한 주종이 캠핑을 떠나는 이들의 장바구니에 담길 것으로 보인다. 오비맥주는 캔 레드와인 ‘베이브’①와 보드카, 데킬라, 럼 기반 캔 칵테일 ‘컷워터’② 시리즈를 최근 내놨다. 국순당의 캔 막걸리 ‘1000억 프리바이오 막걸리’도 있다.
●‘컬래버’ 광풍… 맛을 넘어 ‘재미’까지

롯데칠성음료는 최근 ‘처음처럼X빠삐코’③를 출시했다. 빠삐코는 올해로 출시 40주년을 맞은 롯데푸드의 대표적인 스테디셀러 아이스크림이다. 빠삐코의 진한 초콜릿 맛이 씁쓸한 소주와 합쳐져 도대체 무슨 맛을 낼지 쉽게 가늠하기 어렵다. 업계 관계자들은 “이렇게 호기심을 불러일으킨 것만 해도 절반의 성공”이라고 입을 모은다. 소비 과정에서 ‘재미’를 추구하는 MZ세대의 눈에 들었기 때문이다.

이런 ‘컬래버’에 재미를 붙인 업계의 협업은 앞으로도 지속될 것으로 전망된다. 조합 가능성은 무궁무진하다. 제주맥주가 커피전문점 블루보틀과 협업한 ‘커피 골든에일’, 국순당과 해태아이스크림의 ‘쌀 바밤바밤’(출시 예정), 하이트진로와 빙그레의 ‘메로나에이슬’⑦ 등이 대표적이다.
맛을 넘어 브랜드 간 이종 협업도 활발하다. 올해 편의점 수제맥주 돌풍을 일으킨 CU와 밀가루 회사 대한제분의 ‘곰표맥주’가 대표적이다. 지난해 출시된 뒤 품귀현상을 일으키다 올해 4월 생산량을 대폭 확대한 뒤 지난 7월까지 누적 판매량 600만개를 돌파하기도 했다. 라면회사 오뚜기와 어메이징브루어리가 컬래버한 ‘진라거’④도 출시한 지 2주 만에 초도물량 70만캔을 ‘완판’하며 인기를 끌었다. 이 외에도 치킨 프랜차이즈 교촌치킨과 문베어브루잉의 ‘치맥’, 배달 애플리케이션 배달의민족과 세븐일레븐의 ‘캬 소리 나는 맥주’ ⑤등이 있다.

●음주는 해로운 것?… ‘건강하게’ 즐기자

술자리의 즐거움은 느끼면서 건강도 잃지 않겠다는 ‘이율배반적인’ 욕망의 산물, 무알코올 맥주의 인기도 지속될 것으로 전망된다. 과거에는 술을 마실 수 없는 임신부들이 즐기는 맥주였으나, 최근에는 건강에 관심을 두는 MZ세대가 많이 찾으며 국내 시장 규모가 2012년 13억원 수준에서 지난해 150억원으로 10배 이상 커졌다.

국내 맥주업계의 양강인 하이트진로(하이트제로 0.00)와 오비맥주(카스 0.0)의 경쟁이 치열하다. 하이트제로 0.00은 극소량 알코올이 포함된 다른 제품과는 달리 전혀 알코올이 들어 있지 않고, 맥주 본연의 청량감만 살렸다고 강조한다. 한편 일반 맥주와 같은 방법으로 만든 뒤 마지막에 알코올만 제거하는 방식으로 만든 카스 0.0⑥은 그만큼 맥주 본연의 향을 느낄 수 있다는 장점이 있다.

주류업계 관계자는 “코로나19 확산이 주류시장을 위축시킨 건 사실이지만 반대로 소비자들이 다양하고 맛있는 주종에 눈을 뜨게 한 계기가 되기도 했다”면서 “외식 제한이 풀리는 위드 코로나 시대에는 한층 높아진 소비자들의 입맛을 사로잡기 위한 경쟁이 치열해질 것”이라고 말했다.

오경진 기자 oh3@seoul.co.kr"
,,
내달 9일 제주산 축산물 드라이브 스루 판매 행사,2021-10-28 11:25,"제주산 축산물 승차 구매(드라이브 스루) 할인 행사가 지난해에 이어 올해에도 열린다.

제주도와 제주양돈농협은 다음달 7일 제주시 애월읍 제주포크 테마파크에서 제주산 축산물 드라이브 스루 할인 판매행사를 연다고 29일 밝혔다.

이번 행사에서는 제주도니 세트(3㎏·3만3000원)를 비롯해 ▲돼지고기 가공품 세트(제주햄꾸러미10종·2만원) ▲닭고기 조리용 세트(3㎏·1만5000원)▲우유(190㎖×24개입·1만2000원)▲모짜렐라치즈 세트(300g×2개·1만3,000원) 등 5개 품목이 판매된다.

준비된 축산물이 모두 판매되면 행사는 종료된다.지난해에는 드라이브 스루 할인 행사가 2차례 열려 5400만원의 판매실적을 올렸다.

한편 코로나19로 인한 수출 감소와 내수 부진으로 어려움을 겪고 있는 제주 뿔소라의 판로 확보를 위해 해녀들과 민간기업이 상품 개발 등 공동 마케팅을 벌인다.

(사)제주도해녀협회는 최근 ㈜라산그룹, ㈜오뚜기 등과 업무협약을 맺고 뿔소라 레시피 개발 및 제품 생산과 유통 등을 추진키로 했다.


제주 황경근 기자 kkhwang@seoul.co.kr"
"전라남도자원봉사센터, 가고 싶은 섬 볼런투어 진행 ‘눈길’",2021-10-27 23:21,"가고 싶은 섬 볼런투어 강진 가우도편 실시
전라남도자원봉사센터가 27일 강진군 가우도에서 목포과학대학교, 동아보건대학교 교직원과 학생 등 30여명과 함께 가고 싶은 섬 볼런투어를 진행해 눈길을 끌었다.

볼런투어란 자원봉사를 뜻하는 볼런티어(Volunteer)와 여행의 투어(Tour)가 결합된 신조어다. 여가시간을 활용해 봉사활동과 여행을 함께 즐기는 것을 의미한다.

이번 볼런투어 프로그램은 섬지역 주민과 관광객을 위한 ▲도배장판 교체 ▲방충망 및 LED 교체 ▲간식키트 제작 배달 ▲손글씨로 쓴 안부 묻기 등으로 구성됐다. 또 ▲임시차선 오뚜기 설치 ▲차량 반사판 스티커 부착 등으로 다양한 자원봉사 프로그램을 병행했다.

관광객들의 섬지역 안전을 위해 실시한 섬 주변 임시차선 오뚜기 설치는 주민들의 큰 호응을 받았다. 특히 강진가우도 둘레길 걷기를 통해 환경정화와 보물찾기를 접목해 자원봉사의 흥미를 더했다.
볼런투어에 참여한 김모(32)씨는 “전남 지역에 이렇게 아름다운 섬이 있는 줄 몰랐다”며 “기존의 봉사활동은 보람만 얻어갔다면 이번 볼런투어는 보람과 즐거움 등 일석 이조의 효과를 얻어 뜻깊은 시간이 됐다”고 뿌듯함을 보였다.

허강숙 전남자원봉사센터장은 “전남의 아름다운 섬을 홍보하고, 섬 지역 주민들의 편안한 삶을 증진시킬 수 있도록 자원봉사와 여행을 동시에 즐길수 있는 볼런투어 프로그램을 확대해 나가겠다”고 밝혔다.

볼런투어가 진행된 강진 가우도는 전남 가고 싶은 섬에 선정된 장소다. 강진의 8개섬 가운데 하나뿐인 유인도다. 해안선을 따라 조성된 생태탐방로와 함께한 길 2.5㎞은 산과 바다를 감상하며 걸을수 있는 천혜의 트레킹 코스로 각광받고 있다.

강진 최종필 기자 choijp@seoul.co.kr"
닭고기 없다고… 멕시코서 회수당한 ‘불닭볶음면’,2021-10-06 20:58,"“과장 광고” “수출용엔 원래 고기 안 넣어”
오뚜기 닭고기맛·농심 신라면 컵도 포함
▲ 멕시코 당국, ‘치즈 불닭볶음면’에 제품 회수 조치
멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다. ‘치즈 불닭볶음면’은 ‘매운 치즈맛 닭고기 라면’이라는 표기와 달리 제품에 닭고기가 포함되지 않은 점이 문제로 지적됐다.
멕시코 연방소비자보호청(PROFECO) 캡처
삼양식품의 불닭볶음면이 닭고기가 들어 있지 않다는 이유로 멕시코에서 회수 조치됐다.

6일 업계에 따르면 멕시코 연방소비자보호청은 지난 4일(현지시간) 인스턴트 면 제품 품질조사 결과 제조사 9곳의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다. 국내 회사가 생산한 제품 중에서는 삼양식품의 ‘치즈 불닭볶음면’과 오뚜기의 ‘오뚜기라면 닭고기맛’, 농심의 ‘신라면 컵라면’ 등이 포함됐다.

멕시코에서 치즈 불닭볶음면은 스페인어로 ‘매운 치즈맛 닭고기 라면’이라는 상품명으로 판매되고 있다. 그러나 실제로는 ‘가공 닭고기맛 분말’만 함유돼 있어 소비자들이 오해할 수 있는 과장 광고라는 게 회수 이유라는 설명이다.

특히 리카르도 세필드 멕시코 소비자보호청장은 치즈 불닭볶음면을 콕 집어 “닭고기 흔적조차 없다. 닭고기에 입을 맞춘 것보다도 (고기 함유량이) 적다”고 비판했다. 삼양식품 관계자는 “국가마다 통관 기준이 다른 탓에 수출용 제품에는 원래 고기 성분을 포함하지 않는다”면서 “기존 제품은 회수하고 표기를 수정해 재출시하겠다”고 말했다.



오경진 기자 oh3@seoul.co.kr"
“불닭볶음면에 왜 닭고기 없나?”…멕시코서 문제된 국내 라면,2021-10-06 06:37,"▲ 멕시코 당국, ‘치즈 불닭볶음면’에 제품 회수 조치
멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다. ‘치즈 불닭볶음면’은 ‘매운 치즈맛 닭고기 라면’이라는 표기와 달리 제품에 닭고기가 포함되지 않은 점이 문제로 지적됐다.
멕시코 연방소비자보호청(PROFECO) 캡처
한국에서 ‘불닭볶음면’에 닭고기가 없다고 해서 이상하게 생각하는 소비자들은 거의 없다. 한국 소비자들에게 불닭볶음면은 ‘닭’보다 ‘불닭’이라는 음식처럼 강한 매운맛 이미지가 강하기 때문이다.

그러나 멕시코에서는 불닭볶음면에 닭이 없는 것이 법 위반 사항이 돼 제품이 회수 조치됐다.

멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다.

회수 조치된 12개 제품 중 국내 기업의 라면 제품도 포함됐다.

삼양의 ‘치즈 불닭볶음면’은 멕시코 현지에서 스페인어로 ‘매운 치즈맛 닭고기 라면’이라고 표기돼 판매되고 있는데, 멕시코 소비자보호청은 이 제품에 표기된 성분에 ‘가공 닭고기맛 분말’과 ‘가공 닭고기맛’만 함유돼 있다는 점을 지적했다. 닭고기 라면인데 정작 닭고기는 없고 닭고기맛만 첨가된 것이 문제라는 것이다.
▲ 멕시코서 회수 조치된 한국 라면 제품
멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다. 해외용 제품인 ‘오뚜기라면 닭고기맛’은 포장 이미지에 나온 당근이 제품에 없는 점이 지적받았다.
멕시코 연방소비자보호청(PROFECO) 캡처
해외용 제품인 오뚜기라면 닭고기맛도 회수 대상 제품에 포함됐다.

이 제품은 ‘닭고기맛’으로 표기돼 닭고기 포함 여부는 문제 되지 않았지만, 포장 이미지에 당근이 있으면서 실제로는 들어있지 않은 점이 위반사항이 됐다.

신라면 컵라면의 경우 영양 정보가 제대로 표기돼 있지 않은 점을 지적받았다.
▲ 멕시코서 회수 조치된 한국 라면 제품
멕시코 연방소비자보호청(프로페코·PROFECO)은 지난 4일(현지시간) 33개 인스턴트 면 제품들에 대한 품질 조사 결과 9개 제조사의 12개 제품 총 12만 9937개를 시장에서 회수한다고 밝혔다. 농심 ‘신라면’은 영양 성분 표시가 제대로 되지 않은 점이 지적됐다.
멕시코 연방소비자보호청(PROFECO) 캡처
리카르도 세필드 소비자보호청장은 전날 오전 대통령 기자회견에서 관련 내용을 설명하면서 치즈 불닭볶음면을 사례로 들기도 했다.

그는 “닭고기의 흔적조차 없다. 닭고기에 입을 맞춘 것보다도 (닭고기 함유량이) 적다”면서 ‘기만광고’라고 말했다.

이 제품들 외에도 일부 일본 라면들과 크노르(Knorr)와 크래프트 사의 인스턴트 면 제품 등이 회수 대상 목록에 올랐다.

코트라 멕시코시티 무역관 관계자는 “소비자보호청 발표 이후 월마트 등 대형 유통업체들은 해당 제품들을 진열대에서 치운 상태”라며 “표기 개선 등을 거쳐 판매를 재개하는 방안을 협의 중인 것으로 알고 있다”고 전했다.

신진호 기자 sayho@seoul.co.kr"
“아빠 난데 액정수리 맡겼어”…오뚜기 회장도 당할 뻔한 사기문자,2021-09-29 16:05,"▲ 뮤지컬 배우 함연지가 공개한 스미싱 문자
함연지 인스타그램
국내 굴지의 식품회사 오뚜기의 함영준 회장이 최근 자녀를 사칭한 스미싱 문자 메시지를 받았던 것으로 전해졌다.

오뚜기 창업자 손녀이자 함 회장의 딸인 뮤지컬 배우 함연지는 28일 인스타그램을 통해 “저희 아빠 완전 큰일 날 뻔”이라는 글과 함께 함 회장이 받은 문자 메시지 캡처 이미지를 올렸다.

함 회장이 받은 메시지에는 “아빠 난데 폰 액정이 나가서 수리를 맡겼거든. 지금 PC용 메시지 어플로 하고 있어. 확인하면 답장 줘”라는 내용이 담겼다.

이에 함 회장이 “어떻게 답장해?”라고 묻자 상대방은 “액정보험처리 때문에 통신사 인증 받아야 되는데 내 폰으로 인증이 안돼. 아빠 폰으로 받아줄 수 있어?”라고 답했다.

함 회장이 이를 캡처해 보여주자 함연지는 “이거 오빠 아니었어? 당연히 오빠인 줄”이라고 답했고, 함 회장은 “나는 너인 줄”이라고 했다.

해당 메시지는 함연지 가족이 보낸 것이 아닌 전형적인 사기 문자였던 것이다.

함연지는 팬들에게 “모두 사기 문자 조심”이라며 주의를 당부했다.

이 문자 메시지 내용은 여러 차례 보도된 바 있는 전형적인 ‘스미싱’ 사기 유형이다.

스미싱은 문자메시지(SMS)와 피싱(통신수단을 통한 사기)의 합성어로 문자 메시지를 통한 사기 범죄를 가리키는 용어다.

만약 함 회장이 계속 대화를 이어갔다면 스미싱 상대방은 인증을 위한 애플리케이션(앱)을 설치해야 한다며 링크를 보냈을 것으로 예상된다.

해당 링크는 대체로 구글 플레이스토어 연결로 위장하고 있지만 실제로는 개인정보를 빼내기 위한 악성 앱 설치를 유도할 가능성이 높다.

과거 피해 사례를 살펴보면 스미싱 조직은 대화가 이어지는 과정에서 “급하다”, “시간이 없다”, “중요한 일이다”라는 식으로 피해자를 몰아가 조급하게 만들기도 한다.

이 때문에 비슷한 내용의 문자 메시지를 받을 경우 반드시 전화나 다른 연락 수단을 통해 대화 상대가 누구인지 확인해야 한다.

신진호 기자 sayho@seoul.co.kr"
