title,date,article
"두산중공업 ""두산건설 지분매각 확정된 바 없어""",2021.11.04 13:47,"두산중공업은 자회사 두산건설 매각설 관련 언론 보도에 대해 ""재무구조 개선을 위한 자구안의 일환으로 자회사인 두산건설 지분매각을 검토하고 있으나 아직 구체적으로 확정된 사항은 없다""고 4일 공시했다. 회사 측은 ""이와 관련해 확정되는 시점 또는 1개월 이내에 재공시하겠다""고 밝혔다."
"두산중공업 ""두산건설 지분매각 검토…확정된 건 없어""",2021.11.04 11:32,"[이데일리 김나리 기자] 두산중공업(034020)은 최근 제기된 자회사 두산건설 매각설과 관련해 “당사는 재무구조 개선을 위한 자구안의 일환으로 자회사인 두산건설 지분매각을 검토하고 있으나 아직 구체적으로 확정된 사항은 없다”고 4일 공시했다.

이어 “상기 매각과 관련하여 확정되는 시점 또는 1개월 이내에 재공시 하겠다”고 덧붙였다. 재공시 예정일은 12월 3일이다."
[주식초고수는 지금] 中원전 건설에 두산중공업 등 매수 강세,2021.11.04 11:15,"[미래에셋증권 엠클럽 집계]
원전 관련주 두산중공업, 한전기술에 매수 몰려
주가급락한 엔씨, 우리기술투자 등 매도 상위권

[서울경제]

미래에셋증권에서 거래하는 고수익 투자자들이 4일 오전 가장 많이 사들인 종목은 두산중공업(034020)으로 집계됐다. 카카오게임즈(293490)와 엔씨소프트(036570), 에코프로, 하이브(352820), 덱스터 등에도 매수세가 몰렸다.

이날 미래에셋증권 엠클럽에 따르면 투자 수익률 상위 1%에 해당하는 ‘주식 초고수’이 오전 11시까지 가장 많이 사들인 종목은 두산중공업으로 집계됐다. 두산중공업은 중국의 원전 건설 계획 발표로 이날 11% 이상 급등했다. 중국은 2035년까지 원전 설비용량을 147GW 늘릴 계획이며 이에 3,700억~4,400억달러(약 437조~520조원)의 비용이 들 것으로 전망된다. 해외에 원자력 발전 관련 부품을 납품하고 있는 일진파워(094820)도 같은 이유에서 강세다.

두번째로 매수가 많았던 종목은 카카오게임즈였다. 오딘의 매출 성장, 라이온하트 인수 등 호재 영향으로 풀이된다. 카카오게임즈는 앞서 3분기 매출액 4,662억원, 영업이익 427억원을 기록했다고 밝혔다. 또한 1일 오딘의 개발사 라이온하트를 인수한다고 공시했다. 성종화 이베스트투자증권 연구원은 ""라이온하트 연결편입은 실적 전망치 상향 요인 측면에서도 오딘 IP 내자화, 라이온하트 개발력 내재화 측면에서도 상당수준 가치 상승 요인""이라며 ""라리온하트가 연결대상 자회사로 편임되면서 오딘 매출에 대한 개발사 로열티 수수료가 없어지기 때문에 연결실적이 대폭 증가하는 효과가 있다""고 분석했다.

세 번째로 투자 초고수의 선택을 받은 종목은 엔씨소프트였다. 이날 리니지W 출시를 맞아 주가가 급락하자 저가매수에 나선 것으로 분석된다. 리니지W는 2일 사전 다운로드 시작에 이어 이날 정식 출시됐다. 엔씨소프트는 전날 리니지W가 국내 구글플레이 인기 순위 1위에 올랐다고 밝혔다. 그러나 정식 게임에 대한 실망감이 반영되면서 주가가 급락세를 보이는 것으로 보인다.

이날 ‘주식 초고수’들이 가장 적극적으로 내다 판 종목도 두산중공업이었다. 이외 한전기술(052690), 우리기술투자, 엔씨소프트 등도 매도 상위권에 이름을 올렸다.

전 거래일인 3일 고수익 투자자들이 가장 많이 산 종목은 카카오페이였다. 카카오게임즈, 두산중공업, 엔씨소프트 등에도 매수세가 집중됐다. 최다 매도 종목은 카카오게임즈였다. 이외 카카오페이, 우리기술투자, 두산중공업 순서로 매도세가 강했다.

한편 미래에셋증권은 자사 고객 중에서 지난 1개월간 수익률 상위 1% 투자자들의 매매 종목을 집계해 실시간·전일·최근 5일 기준으로 모바일트레이딩시스템(MTS)상에서 공개하고 있다. 이 통계 데이터는 미래에셋증권의 의견과 무관한 단순 정보 안내이며, 각각의 투자자 개인에게 맞는 투자 또는 수익 달성을 보장하지 않는다. 또 테마주 관련 종목은 이상 급등락 가능성이 있으므로 유의해야 한다."
"두산중공업, 전남 장흥풍력발전단지 준공",2021.11.04 10:43,"18MW 규모…중소기업 400여 곳과 협력
사진=전남 장흥군 유치면 용문리의 장흥풍력발전단지. 두산중공업 제공


두산중공업은 한국서부발전이 발주한 장흥풍력발전단지 건설을 완료했다고 4일 발표했다.

장흥풍력발전단지는 전남 장흥군 유치면 용문리에 18MW 규모로 조성됐다. 두산중공업은 장흥풍력발전단지에 3MW급 풍력발전기 6기를 제작·설치하고 부대 공사와 시운전 등을 일괄 수행했다. 향후 한국서부발전과 유지 보수 용역 계약도 체결할 예정이다.

두산중공업의 풍력발전기는 산·학·연 협력을 통해 한국 자체 기술로 개발한 제품이다. 유럽 등에 비해 평균 풍속이 낮고 태풍이 잦은 한국의 기후에 최적화했다. 블레이드(날개) 길이를 기존 44m에서 65.5m로 늘려 블레이드에 닿는 바람의 면적을 확대했다. 발전 효율을 높인 것은 물론 블레이드의 무게를 줄이고 내구성을 확보하기 위해 카본 소재를 적용했다는 게 두산중공업의 설명이다.

박홍욱 두산중공업 파워서비스 BG장은 “장흥풍력발전단지는 풍력 산업 생태계 활성화를 위해 중소기업 등 400여 곳과 협력해 이뤄낸 성과물”이라며 “글로벌 탄소 중립 흐름에 기여할 수 있도록 풍력 관련 기술 개발과 생산 능력 확대에 최선을 다할 것”이라고 말했다."
"두산중공업, 장흥에 18㎿ 규모 풍력발전단지 준공",2021.11.04 10:15,"3㎿급 풍력발전기 6기 제작·설치
지난 3일 진종욱(오른쪽 세번째) 두산중공업 풍력 BU장 등 주요 관계자들이 한국서부발전의 발주로 두산중공업이 건설한 장흥풍력 발전단지 준공식 행사에서 박수를 치고 있다./사진 제공=두산중공업

전라남도 장흥군 유치면 용문리 일대에 위치한 장흥풍력 발전단지 전경./사진 제공=두산중공업

[서울경제]

두산중공업(034020)은 한국서부발전이 발주한 전남 장흥풍력발전단지 건설을 완료하고 준공식을 했다고 4일 밝혔다.

장흥풍력발전단지는 장흥군 유치면 용문리 일대에 총 18㎿(메가와트) 규모로 조성됐다.

두산중공업은 설계·조달·시공(EPC) 공급사로 3㎿급 풍력발전기 6기를 제작·설치하고 기타 부대공사와 시운전도 일괄 수행했다. 향후 유지보수 용역 계약도 체결할 방침이다. 이곳에 설치된 풍력발전기는 국내 자체 기술로 개발됐고 유럽보다 평균 풍속이 낮지만 태풍이 잦은 우리나라 환경에 최적화된 제품이다. 날개(블레이드) 길이를 기존 44ｍ에서 65.5m까지 늘여 바람을 맞는 날개의 면적을 확대해 발전 효율을 높였다. 날개 무게를 줄이고 내구성을 확보하기 위해 카본 소재도 적용했다.

박홍욱 두산중공업 파워서비스 BG장은 “장흥풍력발전단지는 풍력산업 생태계 활성화를 위해 국내 400여개 기업들과 협력해서 이뤄낸 결과”라며 “글로벌 탄소중립 흐름에 기여할 수 있도록 풍력 관련 기술개발과 생산 능력 확대에 최선을 다하겠다”고 말했다."
"두산중공업, 전남 장흥풍력발전단지 준공… 총 18MW 규모",2021.11.04 09:16,"두산중공업(034020)은 한국서부발전이 발주한 장흥풍력발전단지 건설을 완료하고 준공식을 가졌다고 4일 밝혔다.

전날인 3일 오후 장흥풍력 발전단지에서 진행된 행사에는 한국서부발전 김성균 성장사업부사장, 두산중공업 진종욱 풍력 BU장 등 관계자들이 참석했다.

한국서부발전의 발주로 두산중공업이 건설한 장흥풍력 발전단지 준공식 행사에서 한국서부발전 김성균 부사장(왼쪽에서 네번째), 두산중공업 진종욱 풍력 BU장(오른쪽에서 세번째) 등 주요 관계자들이 기념 촬영을 하고 있다. /두산중공업 제공

장흥풍력 발전단지는 전남 장흥군 유치면 일대에 총 18MW 규모로 조성됐다. 두산중공업은 EPC 공급사로서 3MW급 풍력발전기 6기를 제작, 설치하고 기타 부대공사와 시운전도 일괄 수행했다. 향후 유지보수 용역 계약도 체결할 예정이다.

두산중공업의 풍력발전기는 산·학·연 협력을 통해 국내 자체 기술로 개발된 제품으로, 유럽에 비해 평균 풍속은 낮고 태풍이 잦은 우리나라의 바람 환경에 최적화 됐다는 게 회사 측의 설명이다. 블레이드(날개) 길이를 기존 44m에서 약 65.5m 까지 늘려 블레이드가 맞는 바람의 면적을 확대해 발전 효율을 높이는 한편 블레이드의 무게를 줄이고 내구성을 확보하기 위해 카본 소재를 적용했다.

박홍욱 두산중공업 파워서비스 BG장은 “장흥풍력발전단지는 풍력산업 생태계 활성화를 위해 국내 400여개 기업들과 협력해서 이뤄낸 결과”라며 “국산 풍력 확대를 위한 한국서부발전의 노력에 감사하며, 글로벌 탄소중립 흐름에 기여할 수 있도록 풍력 관련 기술 개발과 생산 능력 확대에도 최선을 다할 것”이라고 말했다.

두산중공업은 지난 4월 국내 최대 규모 해상풍력단지인 제주한림 해상풍력 기자재 공급 계약을 체결한 바 있다. 또한, 올해 창원 본사에 풍력 2공장을 준공하고 인력도 확충하면서 국내 수주물량 증가에 적극 대비하고 있다. 두산중공업은 현재 3MW급, 5.5MW급 해상풍력발전기 모델을 보유하고 있으며, 8MW급 모델은 내년에 개발을 완료하고 상용화할 예정이다."
"두산중공업, 전남 장흥풍력발전단지 준공",2021.11.04 08:35,"18㎿ 규모로 조성…400여개 국내 기업과 협력
한국서부발전의 발주로 두산중공업이 건설한 장흥풍력 발전단지 준공식 행사에서 김성균 한국서부발전 부사장(왼쪽 네번째), 진종욱 두산중공업 풍력 BU장(오른쪽 세 번째) 등 주요 관계자들이 기념촬영을 하고 있다.[사진제공=두산중공업]


두산중공업은 한국서부발전이 발주한 장흥풍력발전단지 건설을 완료하고 준공식을 했다고 4일 밝혔다.

장흥풍력 발전단지는 전남 장흥군 유치면 일대에 총 18㎿규모로 조성됐다. 두산중공업은 EPC(설계·조달·시공) 공급사로서 3㎹㎿급 풍력발전기 6기를 제작·설치하고 기타 부대공사와 시운전도 일괄 수행했다. 향후 유지보수 용역 계약도 체결할 예정이다.

두산중공업의 풍력발전기는 산·학·연 협력을 통해 국내 자체 기술로 개발된 제품이다. 유럽에 비해 평균 풍속은 낮고 태풍이 잦은 우리나라의 바람 환경에 최적화 됐다고 회사 측은 설명했다. 발전 효율을 높이기 위해 블레이드(날개) 길이는 기존 44m에서 약 65.5m까지 늘려 바람을 맞는 면적을 확대했다. 블레이드의 무게를 줄이고 내구성을 확보하기 위해 카본 소재도 적용했다.

박홍욱 두산중공업 파워서비스 BG장은 ""장흥풍력발전단지는 풍력산업 생태계 활성화를 위해 국내 400여개 기업들과 협력해서 이뤄낸 결과""라며 ""글로벌 탄소중립 흐름에 기여할 수 있도록 풍력 관련 기술 개발과 생산 능력을 확대할 것""이라고 말했다.

두산중공업은 현재 3㎿급과 5.5㎿급 해상풍력발전기 모델을 보유하고 있다. 8㎿급 모델은 내년에 개발을 완료하고 상용화할 예정이다."
"두산중공업, 재무건전성 지표 안정권 들어섰다",2021.11.03 07:26,"[워치전망대]
두산중공업, 세 분기째 흑자…밥캣 '하드캐리'
부채비율 200%↓…채권단관리 '조기졸업'할까두산중공업이 올들어 3개 분기째 흑자를 이어가고 있다. 흑자 규모는 크지 않지만 안정적인 궤도에 올라탔다는 데 의미가 있다. 무엇보다 부채비율이 200% 아래로 떨어지며 재무건전성이 개선됐다는 점이 눈에 띈다. 작년부터 뼈를 깎는 재무구조 개선계획(자구안)을 이행하고 있는 두산중공업이 채권단 관리 체제를 조기졸업할 여건이 마련됐다는 평가다.

실적·수주·재무 '3박자'

/그래픽=유상연 기자 prtsy201@
두산중공업의 올해 3분기 연결재무제표 기준 매출은 3조4607억원으로 전년동기대비 5.4% 감소했다. 지난 8월 두산인프라코어(현 현대두산인프라코어)를 현대중공업그룹에 매각(거래종결 기준) 영향으로 매출이 준 것으로 분석된다. 하지만 이익은 두산인프라코어의 공백이 느껴지지 않았다. 이 기간 영업이익은 2431억원으로 전년동기(인프라코어 매각전 기준) 대비 41.6% 증가했다.

두산중공업은 작년 4분기 238억원의 영업손실을 낸 이후 올 1분기 3721억원, 2분기 2546억원 등으로 흑자를 이어가고 있다. 바닥을 친 수주가 살아난 덕이다. 두산중공업 관계자는 ""올 누계 수주는 전년동기대비 45% 증가한 3조7195억원""이라며 ""국내·외 대형 EPC(설계·조달·시공) 프로젝트의 공정 초과, 원가·재무개선 활동 등의 영향으로 매출과 영업이익 등이 개선됐다""고 설명했다.

두산중공업은 오는 4분기도 수주 호조가 계속될 것으로 보고 있다. 이 관계자는 ""EPC 계약을 이미 체결해 연내 수주로 인식될 국내·외 프로젝트를 포함하면 4분기도 약 3조원 규모 수주가 가능하다""며 ""여기에 매년 발전·기자재 서비스 부문에서 발생하는 약 1조2000억원의 수주도 예상된다""고 말했다. 이어 ""올해 수주 목표 8조6000억원 달성이 가능할 것""이라고 기대했다.

재무구조도 개선되고 있다. 이 회사 지난 9월말 기준 부채비율(관리연결)은 186.6%를 기록했다. 두산중공업 부채비율은 올해 3월말 246.2%, 6월말 205%로 하향추세를 그려오다 이번에 적정선(200%) 아래로 떨어졌다. 회사 측은 ""현물출자와 자본 증가 등으로 재무구조가 개선됐다""고 설명했다.

두산중공업 이익 절반은 두산밥캣 몫

/그래픽=김용민 기자 kym5380@
뜯어보면 두산중공업 '본체'의 실적이 '전성기 시절로 회복됐다'고 보기는 어렵다. 두산중공업의 실적만 볼 수 있는 별도재무제표 기준 지난 3분기 매출은 9109억원으로 전년동기 대비 14.3% 증가했다. 이 기간 영업이익은 434억원을 기록하며 흑자전환에 성공했다. 두산중공업의 연결기준 영업이익이 2431억원인 점을 보면 실적 기여도가 5분의 1이 채 되지 않는 셈이다.

두산중공업 연결 기준 이익의 대부분은 자회사가 만들었다. 캐시카우(현금 창출 능력이 뛰어난 사업 부문) 역할을 톡톡히 하고 있는 두산밥캣이 대표적이다. 두산중공업은 두산인프라코어를 매각과정에서 두산밥캣을 떼어내 자회사로 남겨뒀다.

두산밥캣의 지난 3분기 별도재무제표 기준 매출은 1조3101억원으로 전년동기 대비 17.1% 증가했다. 이 기간 영업이익은 1281억원으로 전년동기대비 16.5% 증가했다. 두산중공업보다 수익성이 좋은 것이다.

두산밥캣은 지난 3분기 해외에서 판매가 고르게 늘었다. 주요 시장인 북미 지역 외에도 EMEA(유럽·중동·아프리카), ALAO(아시아·라틴아메리카·오세아니아) 등 전 지역에서 매출이 증가했다. 두산밥캣 관계자는 ""북미 시장은 GME(농경·조경장비) 제품군 판매 호조로 전년 동기대비 매출(달러기준)이 23.1% 성장했다""며 ""이 기간 EMEA 지역 매출은 전년 동기대비 17%, ALAO는 매출이 26.2% 늘었다""고 말했다.

업계에선 오는 4분기에도 두산밥캣의 실적 호조가 계속될 것으로 보고 있다. 이동현 대신증권 연구원은 ""미국 주택 시장이 여전히 호조세를 보이고 있고 바이든 대통령의 200만호 주택 건축 공약에 따라 2022년까지 호황이 지속될 것으로 보인다""며 ""주문량은 2020년 대비 3배가 증가할 것""이라고 전망했다."
"두산중공업, 3분기 영업이익 2,431억···전년比 127.62%↑",2021.10.29 17:02,"[서울경제]

두산중공업(034020)은 3분기 2,431억원의 영업이익을 기록해 전년 동기보다 127.62% 증가했다고 29일 공시했다. 매출액은 3조4607억원으로 전년 동기보다 22.68% 늘었다. 당기순이익은 1126억원으로 흑자 전환했다."
"두산중공업, 3Q 영업이익 2431억원..전년 동기 대비 127.62%↑",2021.10.29 16:26,[이데일리 강민구 기자] 두산중공업(034020)은 올해 3분기 연결재무제표 기준 영업이익이 전년 동기 대비 127.62% 늘은 2431억원으로 집계됐다고 29일 영업(잠정) 실적을 공시했다. 같은 기간 당기순이익은 1125억원으로 전년 동기 대비 흑자전환했다.
