,링크
0,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
1,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
2,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
3,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
4,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
5,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
6,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
7,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
8,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
9,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=1#"
10,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
11,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
12,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
13,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
14,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
15,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
16,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
17,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
18,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
19,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=11#"
20,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
21,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
22,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
23,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
24,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
25,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
26,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
27,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
28,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
29,"https://search.naver.com/search.naver?where=news&sm=tab_pge&query=GS%EA%B1%B4%EC%84%A4&sort=0&photo=0&field=0&pd=0&ds=&de=&cluster_rank=11&mynews=1&office_type=1&office_section_code=1&news_office_checked=1032&nso=so:r,p:all,a:all&start=21#"
