title,date,article
GS건설  S I건설 인수 참여 검토 중 ,2021.10.26 14:07,GS건설은 S I건설 인수 참여에 대해 현재 검토 중이며 확정된 바는 없다고  일 공시했다 일 일부 언론은 GS건설이 S I건설 인수에 참여한다고 보도한 바 있다 
GS건설  S I건설 인수참여 검토 확정된 바 없어 ,2021.10.26 14:13,[이데일리 윤정훈 기자] GS건설은  일 한국경제 등에 보도된 S I건설 인수참여 기사에 대한 해명공시를 했다 GS건설은  당사는 S I건설 인수참여를 검토 중에 있으며  현재까지 확정된 내용은 없다 며  추후 구체적으로 확정되는 시점 또는  개월 이내에 재공시 하도록 하겠다 고 밝혔다 
GS건설   나주역자이 리버파크   월 분양 예정,2021.10.27 10:38,[이데일리 이윤정 기자] GS건설은 오는  월 전남 나주시에  나주역자이 리버파크 를 분양한다고  일 밝혔다 사진제공 GS건설 해당 단지는 지하  층 지상  층   개 동 전용면적   총  가구 규모로 이뤄진다  GS건설이 전남 나주지역에 처음으로 선보이는 자이 Xi  브랜드 아파트인 데다 나주시 최대 높이 최대 규모로 이뤄진다 여기에 국토교통부가 나주시청 인근 나주 송월동 일대  만  를  나주 빛가람 에너지 클러스터 투자선도지구 로 지정해 이에 따른 수혜도 기대된다  투자선도지구는 여러 규제 특례를 패키지 국비지원  세제혜택  건폐율 용적률 완화 등 로 지원받을 수 있어 보다 효과적으로 지역의 성장 및 개발을 도모할 수 있다 나주 빛가람에너지클러스터는 KTX나주역과 연계해 상업  업무 및 여가문화 등 복합적인 기능을 갖춘 신성장 거점 지구로 오는  년까지 개발될 예정이다  KTX나주역 증축 개발 예정 을 중심으로 에너지혁신창업타운  에너지체험공원  스포츠파크 등 에너지 연구 업무시설을 비롯해 에너지 산업 상업 관광 문화시설 등이 조성될 예정이다 나주역자이 리버파크는 영산강과 인접해 있어 우수한 조망권과 쾌적한 입지여건을 자랑한다  단지 서측으로 금성산 자락이  남측으로 영산강이 흐르고 있어 주거환경이 쾌적하고  일부동에서는 영산강 조망이 가능하다 KTX 나주역을 걸어서 이용할 수 있는 역세권 단지로 이를 통해 광주 송정역이 약  분  서울 용산역  수서역까지 약  시간이면 이동이 가능하다  단지 가까이에 빛가람로   번국도 등이 있어 차량을 통해 혁신도시와 광주시까지 쉽게 이동할 수 있다  롯데마트 나주점  나주시청  나주법원  나주세무서  나주 문화예술회관  나주종합스포츠파크 등 나주 도심의 주요 편의시설들이 반경 약   이내에 위치해 있어 쉽게 이용할 수 있다 견본주택은 전남 나주시 송월동 일원에 들어설 예정이며  견본주택 오픈 전까지 전라남도 나주시 빛가람동 일대에서 홍보관을 운영 중이다 
GS건설   Q 매출   감소한  조원 영업익  ,2021.10.27 15:50,GS건설은 올해  분기 매출액이 전년동기대비   감소한  조 억원을 기록했다고  일 공시했다 이 기간 영업이익은   줄어든  억원  당기순이익은  억원으로   늘었다 
GS건설   분기 영업익  억 전년    감소,2021.10.27 16:05,[파이낸셜뉴스] GS건설은 올해  분기 매출  조 억원  영업이익  억원 등을 실적을 냈다고  일 밝혔다  영업이익률은  를 달성했다  매출은 전년 동기 대비   영업이익은   감소했다  GS건설은  지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  여억원의 일회성 비용을 반영된 영향 이라며  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획이다 고 했다 건축 주택부문은 이번 분기 매출  조 억원에 매출 총이익률  를 기록했고  신사업부문도 같은 기간 매출  억원에 매출 총이익률  를 달성했다  미래 성장을 가늠하는 지표인 신규수주는  조 억원으로 전년 동기대비 소폭 하락했지만   분기 GS이니마의 오만 수주 추가 인식과 호주 대규모 인프라 수주가 예정돼 있어 증가세로 돌아설 것으로 관측된다 GS건설 관계자는  분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것 이라며  수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자  적극적인 신사업 발굴을 통해 성장 동력을 확보해 지속 가능 경영의 기반을 탄탄히 할 것 이라고 강조했다 한편   분기 누적 실적은 매출  조 억원  영업이익  억원  신규수주  조 억원 등으로  매출과 영업이익은 전년 동기 대비 각각    씩 축소됐다 GS건설  gs건설 영업이익
GS건설   분기 영업이익  억원 전년 동기   ,2021.10.27 16:30, 분기 크게 반등할 것 [사진   GS건설] GS건설이  일 공정 공시를 통해  분기 경영실적 잠정 을 발표했다 GS건설에 따르면   분기 매출액은  조 억원  영업이익은  억원을 기록했다  세전이익과 신규수주도 각각  억원   조 억원을 달성했다 매출과 영업이익은 전년 동기 대비 각각     줄었다  이는 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  여억원의 일회성 비용을 반영된 영향이다  반면  세전이익은   늘었다 GS건설 측은  일회성 비용이 영업이익에서 빠진 것을 감안해도  억원의 영업 흑자를 기록했다 면서  일회성 비용을 뺀 실적도 작년에 비해 개선됐다 고 설명했다  그러면서  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획 이라고 덧붙였다 매출과 영업이익은 건축 주택부문과 신사업부문이 견인했다  건축 주택부문은  분기 매출 조 억원에 매출 총이익률  를 기록했고  신사업부문도 같은 기간 매출  억원에 매출 총이익률  를 달성했다  신규수주는  조 억원으로 전년 동기대비 소폭 하락했다  하지만   분기 GS이니마의 오만 수주 추가 인식과 호주 대규모 인프라 수주가 예정돼 있어 증가세로 돌아설 것으로 GS건설 측은 전망하고 있다 분기 누적 실적은 매출  조 억원  영업이익  억원  신규수주  조 억원이다  매출과 영업이익은 전년 동기 대비 각각    가 줄은 반면  신규수주는 전년 수준을 유지했다  영업이익률과 세전이익률은 각각    를 기록하며 견조한 이익률을 달성했다 GS건설 관계자는  분기에는 일회성 요인으로 인한 영향이 있었지만   분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것 이라며  수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자  적극적인 신사업 발굴을 통해 성장 동력을 확보해 나가 지속 가능 경영의 기반을 탄탄히 하겠다 고 말했다 
GS건설   분기 영업익  억원 전년    감소,2021.10.27 16:49, 여억원 일회성 비용 반영 [헤럴드경제 양영경 기자] GS건설은  분기 경영실적 잠정 으로 매출  조 억원  영업이익  억원  세전이익  억원  신규수주  조 억원을 달성했다고  일 밝혔다 매출과 영업이익은 전년 동기대비 각각     감소했고  세전이익은   증가했다 서울 종로구 GS건설 본사 [GS건설 제공] 영업이익 감소는 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  여억원의 일회성 비용을 반영한 결과라고 GS건설 측은 설명했다 GS건설 관계자는  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획 이라며  분기  여억원의 일회성 비용이 영업이익에서 빠진 것을 감안하고도  억원의 영업 흑자를 기록해 일회성 비용을 뺀 실적은 지난해에 비해 오히려 개선됐다 고 했다 건축 주택부문과 신사업부문이 두각을 나타냈다  건축 주택부문은  분기 매출  조 억원  매출 총이익률  를 기록했다  신사업부문은 매출  억원  매출 총이익률  를 달성했다  미래 성장을 가늠하는 지표인 신규수주는  조 억원으로 전년 동기대비 소폭 하락했으나   분기 GS이니마의 오만 수주 추가 인식과 호주 대규모 인프라 수주가 예정돼 증가세로 돌아설 것으로 회사 측은 전망했다 분기 누적 실적은 매출  조 억원  영업이익  억원  신규수주  조 억원이다  매출과 영업이익은 전년 동기 대비 각각    가 줄었고  신규수주는 전년 수준을 유지했다  영업이익률과 세전이익률은 각각    를 기록했다 GS건설 측은  분기에는 일회성 요인으로 인한 영향이 있었지만  분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것 이라며  수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자  그리고 적극적인 신사업 발굴을 통해 성장 동력을 확보해 나가 지속 가능 경영의 기반을 탄탄히 할 것 이라고 밝혔다 
GS건설  분기 영업익  억  전년       바레인 프로젝트 일회성 비용 영향 ,2021.10.27 17:10,GS건설 은 올해  분기 연결 기준 매출이  조 억원  영업이익이  억원으로 잠정 집계됐다고  일 공시했다  작년 동기대비 매출은   영업이익은   각각 감소했다 GS건설 제공 이는 시장 컨센서스를 크게 하회하는 실적이다  에프앤가이드에 따르면 GS건설의  분기 컨센서스는 연결 기준 매출액이  조 억원  영업이익이  억원으로 추정됐다  전년 동기 대비 매출은   영업이익은   각각 상승한다는 전망이었다 영업이익이 급감한 것은 GS건설이 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  여억원의 일회성 비용이 반영된 영향이다  GS건설은  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획 이라면서  분기에  여억원의 일회성 비용이 영업이익에서 빠진 것을 감안하고도  억원의 영업 흑자를 기록해  일회성 비용을 뺀 실적은 지난해에 비해 오히려 개선됐다 고 했다 주택 부문만큼은 웃었다  건축 주택부문 매출은 올해  분기  조 억원을 기록했다  매출 총이익률도  를 기록했다 분기로 지연된 분양 물량이 많은데도 거둔 실적이라 주택 부문은 비교적 고무적이다   분기로 예상된 이천자이  동해자이  오포자이 등  가구 물량이  월로 밀리며 이달 분양을 마쳤다  또 위  개 단지에 더해 장유자이 가구 와 익산자이 가구 까지  가구가 이달 분양한다  내달 나주역자이 가구 와 송도자이 가구  등 분양도 예정돼 있다 신규 수주는 이번 분기에 인식될 것으로 예상돼온 GS이니마의 오만 해수 담수화 프로젝트 조 억원 와 호주 노스이스트링크 NEL  프로젝트 조원 이상 가  분기 반영으로 연기되며 전년 동기 대비 소폭 낮아졌다  GS건설은  분기엔 GS이니마의 오만과 호주 수주 인식이 예정돼 있어 증가세로 돌아설 것으로 전망된다 고 했다 신사업부문은 매출액  억원  매출 총이익률  를 기록했다  GS건설의 신사업부문은  년 연매출  억원   년 연매출  억원을 기록했다  올해  분기까진 누적 매출  억원을 기록해 폭발적인 성장세를 보인 작년보다는 기대에 못 미친다  GS건설은 수처리 GS이니마   차전지 재활용 에네르마  데이터센터 임대 지베스코  승강기 GS엘리베이터  모듈러 단우드 엘리먼츠  등을 신사업으로 추진 중이다 GS건설은  분기 일회성 요인으로 인한 영향이 있었지만   분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세가 이어질 것 이라면서  수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자  적극적인 신사업 발굴을 통해 성장 동력을 확보해 나가 지속 가능 경영의 기반을 탄탄히 할 것 이라고 했다 한편   분기 누적 실적은 매출  조 억원  영업이익  억원  신규수주  조 억원으로 집계됐다  매출과 영업이익은 전년 동기 대비 각각     감소했다  신규수주는 전년 수준을 유지했다  영업이익률과 세전이익률은 각각    를 기록했다 
GS건설   Q 영업익  억원 분기 실적 크게 반등할 것 ,2021.10.27 17:24,영업이익  억  영업이익률   달성 분기 해외수주 등 개선으로 실적 좋을 것 [이데일리 강신우 기자] GS건설이  분기 영업이익  억원  영업이익률  를 달성했다고  일 공시했다 GS건설은  분기 일회성 요인으로 인한 비용 반영으로 매출과 영업이익 모두 일시적으로 줄었지만  분기 실적은 대규모 해외수주 등으로 크게 반등할 것으로 전망했다 GS건설은 이날 공정 공시를 통해  분기 매출  조 억원  영업이익  억원  세전이익  억원  신규수주  조 억원의 경영실적 잠정 을 발표했다  매출은 전년 동기 대비   감소했지만 세전이익은   증가했다 영업이익은 전년 동기 대비   감소했으며 이는 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  여억원의 일회성 비용을 반영한 영향이다  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획이다 분기  여억원의 일회성 비용이 영업이익에서 빠진 것을 감안하고도  억원의 영업 흑자를 기록해 일회성 비용을 뺀 실적은 지난해에 비해 오히려 개선됐다 매출과 영업이익 견인은  등 브랜드 자이의 경쟁력을 갖춘 건축 주택부문과 신사업부문이 이끌었다  건축 주택부문은  분기 매출 조 억원에 매출 총이익률  를 기록했고 신사업부문도 같은 기간 매출  억원에 매출 총이익률  를 달성했다 미래 성장을 가늠하는 지표인 신규수주는  조 억원으로 전년 동기대비 소폭 하락했지만  분기 GS이니마의 오만 수주 추가 인식과 호주 대규모 인프라 수주가 예정돼 있어 증가세로 돌아설 것으로 전망된다 분기 누적 실적은 매출  조 억원  영업이익  억원  신규수주  조 억원이었다  매출과 영업이익은 전년 동기 대비 각각    가 줄었다  반면 신규수주는 전년 수준을 유지했다  영업이익률과 세전이익률은 각각    를 기록하며 견조한 이익률을 달성했다 GS건설 관계자는  분기에는 일회성 요인으로 인한 영향이 있었지만  분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것 이라며  적극적인 신사업 발굴을 통해 성장 동력을 확보해 나가 지속 가능 경영의 기반을 탄탄히 할 것 이라고 했다 
GS건설   분기 영업익  억  전년   일회성 비용 탓 ,2021.10.27 17:35, 사진 GS건설 GS건설은 올해  분기 연결기준 영업이익 잠정 이  억원이라고  일 공시했다  전년 동기 대비   감소했다 매출액은  조 억원으로 전년 같은 기간보다   줄었다  당기순이익은  억원으로 전년 대비   증가했다  세전이익은  억원  신규수주  조 억원을 기록했다  영업이익률은  를 달성했다 GS건설은  분기 일회성 요인으로 비용이 반영되면서 매출과 영업이익 모두 일시적으로 줄었으나  분기 실적은 대규모 해외수주 등으로 반등할 것으로 예상된다고 설명했다 영업이익이 전년 대비 줄어든 건 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로  억여원의 일회성 비용이 반영된 영향이다  이 비용은 향후 적절한 절차를 거쳐 환입 방안을 찾을 계획이다   분기  억여원의 일회성 비용이 영업이익에서 빠진 것을 감안하고도  억원의 영업 흑자를 기록해 오히려 지난해보다 실적이 개선됐다는 분석이다 매출과 영업이익은  자이  브랜드 경쟁력을 갖춘 건축 주택부문과 신사업부문이 이끌었다  건축 주택부문  분기 매출은  조 억원  매출 총이익률은  다  신사업부문도 같은 기간 매출  억원  매출 총이익률  를 달성했다 미래 성장을 가늠하는 지표인 신규 수주액은  조 억원으로 지난해 동기 대비 소폭 하락했다  다만  분기 GS이나마의 오만 수주와 호주 대규모 인프라 수주가 예정돼 있어 증가세로 돌아설 것으로 전망된다 GS건설 관계자는  분기 일회성 요인에 영향을 받았으나  분기 이후에는 건축 주택부문  신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것 이라며  수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자  적극적인 신사업 발굴을 통해 성장 동력을 확보해 지속 가능 경영의 기반을 다질 것 이라고 밝혔다 
