title,date,article
GS건설   조 억 규모 호주 도로공사 수주,2021.10.28 10:24,[헤럴드경제 증권부] GS건설은 Spark North East Link Pty Ltd와 호주 노스 이스트 링크 프로젝트 계약을 체결했다고  일 공시했다 계약금액은  조 억 만원으로 이는  년 매출 대비  에 해당하는 규모이다 계약기간은  년  월  일까지다 회사측은  호주 빅토리아주 멜버른 북동부지역 외곽의 Northern Ring Road와 Eastern Freeway 사이를 남북으로 연결하는 도로사업으로 약  km의  차선 트윈 터널 및 연결 도로를 설계 시공하는 사업 이라고 설명했다 
GS건설   조원 규모 호주인프라 사업 참여,2021.10.28 10:28,인프라PPP 사업참여로 호주 건설시장 첫 진출 해외 건설사업 확대를 위한 교두보 확보 [이데일리 강신우 기자] GS건설 컨소시엄은 호주 노스이스트링크 민관합작투자 PPP 사업 입찰에 참여해 호주 빅토리아 주정부 산하 주무관청에서 최종 낙찰자로 선정됐다고  일 밝혔다 사진 GS건설 민관합작투자사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업으로 민간은 도로 등의 공공 인프라 투자와 건설  유지  보수 등을 맡되 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원을 해주는 상생 협력 모델로 꼽힌다 GS건설의 계약 금액은 약  억  만 호주 달러 한화 약  조  억원 에 달한다  GS건설이 참여한 컨소시엄의 재무투자자는 GS건설  Capella  John Laing  DIF  Pacific Partnership  Webuild로 구성돼 있으며 건설 조인트벤처에는 GS건설  CPB  Webuild  China State가 참여했다 이 사업은 호주  대 도시 중 하나인 멜버른시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로간 단절된 구간을 연결하는 사업으로 인근지역 교통 혼잡도 저감 및 일자리 창출을 통해 주변지역 경제 활성화에도 크게 기여할 것으로 기대된다 공사는 TBM터널 및 개착식 터널 등을 포함한 총  Km 의 편도  차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 시공이 주된 업역이며 사업주는 완공 후  년간 운영 및 유지관리업무를 수행할 예정이다 GS건설은 이 사업이 선진 건설시장에서 한국 건설사의 기술력과 자금조달 능력을 인정받은 좋은 사례라며 세계적 역량을 갖춘 글로벌 업체 간의 적극 협업을 통한 기술혁신 및 안전시공을 통해 목표 이상의 성과를 창출할 수 있는 성공적인 사례가 될 것으로 기대한다고 전했다 GS건설 관계자는  이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 탑티어로 도약하는 발판으로 삼겠다 고 포부를 전했다 
GS건설  호주서  조 억원 규모 공사 수주,2021.10.28 10:35,[이데일리 황병서 기자] GS건설 은 스파크 노스 이스트 링크 Spark North East Link Pty Ltd 와 호주 노스 이스트 링크 프로젝트 North East Link Project  계약을 체결했다고  일 공시했다 이번 계약금액은  조 억 만원이다  이는 지난해 매출 대비  에 해당하는 규모이다  계약기간은  년  월  일부터  년  월  일까지다 이 프로젝트는 호주 빅토리아주 멜버른 북동부지역 외곽의 노던 링 로드 Northern Ring Road 와 이스턴 프리웨이 Eastern Freeway  사이를 남북으로 연결하는 도로사업이다  GS건설은 약  km의  차선 트윈 터널 및 연결 도로를 설계 및 시공한다 
GS건설  호주서  조 규모 프로젝트 계약 체결[주목 e공시],2021.10.28 10:40,GS건설은 스파크 노스 이스트 링크 Spark North East Link Pty Ltd 와 호주 노스 이스트 링크 프로젝트 계약을 체결했다고  일 공시했다 계약금액은  조 억 만원으로 이는  년 매출 대비  에 해당하는 규모다  계약기간은  년  월  일부터  년  월  일까지다 이 사업은 호주  대 도시 중 하나인 멜버른시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동 부도로 간 단절된 구간을 연결하는 사업이다 공사는 총  의 편도  차로 병렬 터널과 이에 따른 환기 시설  주변 연결도로 시공이 주된 업역이다  사업주는 완공 후  년간 운영 및 유지관리업무를 수행할 예정이다 
GS건설 호주 건설시장 첫 진출 조 도로공사 수주,2021.10.28 10:40,호주 대형 인프라 민관합작투자사업 PPP 사업 참여 멜버른 북동부 단절된 외곽 순환 도로 연결 사업[헤럴드경제 양영경 기자] GS건설이  조 억원 규모의 도로건설 공사를 수주하면서 호주 건설 시장에 첫 진출했다 GS건설 컨소시엄은 호주 노스이스트링크 민관합작투자사업 PPP 사업 입찰 결과  빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고  일 밝혔다 호주 NEL 프로젝트 그린즈버러 지역 조감도 민관합작투자사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업이다  민간이 도로 등의 공공 인프라 투자와 건설  유지  보수 등을 맡으며 대신 운영을 통해 수익을 얻고  정부는 세금 감면과 일부 재정 지원을 해주는 상생 협력 모델이다 계약 금액은 약  억 만 호주 달러  우리 돈으로 약  조 억원에 달한다  GS건설은 카펠라 Capella  등 해외 주요 투자사와 건설사로 컨소시엄을 구성했다 이번 사업은 호주  대 도시 중 하나인 멜버른 시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로 사이 단절된 구간을 연결하는 것이 골자다  공사는 TBM Tunnel Boring Machine 터널 및 개착식 터널 등을 포함한 총  의 편도   차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 시공이 주된 내용이다  완공 후  년 간 운영 및 유지관리업무를 수행할 예정이다 호주 NEL 프로젝트 터널 남측 입구 조감도 GS건설 관계자는  싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다 며  이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 톱티어로 도약하는 발판으로 삼겠다 고 포부를 전했다 
GS건설   조원 규모 호주 NEL PPP사업 최종 낙찰자 선정,2021.10.28 11:08,GS건설이 호주 건설 시장에 첫 진출했다 GS건설 컨소시엄이 호주 노스이스트링크 North East Link Primary PKG  PPP사업 입찰에 참여해 호주 빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고  일 밝혔다 호주 NEL 프로젝트 터널 남측 입구 조감도  GS건설 제공 PPP Public Private Partnership  사업이란 민관합작투자사업으로  공적자금과 민간재원이 함께 투입돼 민간은 도로 등의 공공 인프라 투자와 건설 유지 보수 등을 맡은 후 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원을 해주는 상생 협력 모델이다 GS건설의 계약 금액은 약  억  만 호주 달러  한화로 약  조  억원 수준이다  GS건설이 참여한 컨소시엄의 재무투자자는 GS건설  Capella  John Laing  DIF  Pacific Partnership  Webuild로 구성됐으며  건설JV Joint Venture 에는 GS건설  CPB  Webuild  China State가 참여했다 이 사업은 호주  대 도시 중 하나인 멜버른시의 인구증가와 도시 확대에 따라 북동부의 외곽순환도로와 동부도로 간 단절된 구간을 연결하는 사업으로  인근지역 교통 혼잡도 저감은 물론 일자리 창출을 통해 주변지역 경제 활성화에도 기여할 것으로 기대된다 공사는 TBM Tunnel Boring Machine 터널  개착식 터널 등을 포함한 총  Km 의 편도  차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 시공이 주된 업역이다  사업주는 완공 후  년 간 운영과 유지관리업무를 수행한다 GS건설 관계자는  싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다 며  이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 탑티어 Top Tier 로 도약하는 발판으로 삼겠다 고 말했다 
 호주서  조 잭팟 GS건설  NEL PPP사업 최종 낙찰자 선정,2021.10.28 11:16,호주 NEL 프로젝트 그린즈버러 지역 조감도 [사진   GS건설] GS건설이 호주 건설시장에 첫 발을 내딛는다 GS건설 컨소시엄은 호주 노스이스트링크 North East Link Primary PKG  PPP사업 입찰에 참여해 호주 빅토리아 주정부 산하 주무관청 Major Transport Infrastructure Authority 으로부터 최종 낙찰자로 선정됐다고  일 밝혔다  계약 금액은 약  억 만 호주 달러 한화 약  조 억원 에 달한다 PPP Public Private Partnership 민관합작투자사업  사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업이다  민간은 도로 등의 공공 인프라 투자와 건설  유지  보수 등을 맡되 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원한다 이 사업은 호주  대 도시 중 하나인 멜버른시의 인구증가와 도시 확대에 따라 북동부의 외곽순환도로 Metropolitan Ring Road 와 동부도로 Eastern Freeway 간 단절된 구간을 연결하는 프로젝트다  TBM Tunnel Boring Machine  및 개착식 터널 등을 포함한 총  Km의 편도   차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 위주로 공사가 진행될 예정이다  사업주는 완공 후  년 동안 운영 유지관리업무를 수행하게 된다 GS건설 관계자는  싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다 며   이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 탑티어 Top Tier 로 도약하는 발판으로 삼겠다 고 말했다 
[공시] GS건설   조 억달러 규모 호주 도로공사 수주,2021.10.28 11:22,[파이낸셜뉴스] GS건설은  조 억달러 규모의 호주 빅토리아주 멜버른 지역 도로공사인  호주 노스이스트링크 프로젝트 를 수주했다고  일 공시했다 계약규모는  조 억 만 달러로 매출액 대비   수준이다  계약기간은 이날부터  년  월  일까지다 
GS건설  호주 첫 진출 조 도로공사 수주,2021.10.28 11:50,대형 인프라 민관합작투자사업 멜버른 북동부 외곽순환로 연결 호주 NEL 프로젝트 그린즈버러 지역 조감도 [GS건설 제공] GS건설이  조 억원 규모의 도로건설 공사를 수주하면서 호주 건설 시장에 첫 진출했다 GS건설 컨소시엄은 호주 노스이스트링크 민관합작투자사업 PPP 사업 입찰 결과  빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고  일 밝혔다 민관합작투자사업은 공적자금과 민간재원이 함께 투입되는 개발협력 사업이다  민간이 도로 등의 공공 인프라 투자와 건설  유지  보수 등을 맡으며 대신 운영을 통해 수익을 얻고  정부는 세금 감면과 일부 재정 지원을 해주는 상생 협력 모델이다 계약 금액은 약  억 만 호주 달러  우리 돈으로 약  조 억원에 달한다  GS건설은 카펠라 Capella  등 해외 주요 투자사와 건설사로 컨소시엄을 구성했다 이번 사업은 호주  대 도시 중 하나인 멜버른 시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로 사이 단절된 구간을 연결하는 것이 골자다  공사는 TBM Tunnel Boring Machine 터널 및 개착식 터널 등을 포함한 총  의 편도   차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 시공이 주된 내용이다  완공 후  년 간 운영 및 유지관리업무를 수행할 예정이다 GS건설 관계자는   이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 톱티어로 도약하는 발판으로 삼겠다 고 포부를 전했다  양영경 기자
GS건설  호주 건설시장 진출 조 규모 PPP사업 수주,2021.10.28 13:59,호주 노스이스트링크 NEL  프로젝트 그린즈버러 지역 조감도 [파이낸셜뉴스] GS건설이 호주 건설 시장에 진출한다  GS건설 컨소시엄은 호주 노스이스트링크 North East Link Primary PKG  민관합작투자 PPP 사업 입찰에 참여해 호주 빅토리아 주정부 산하 주무관청으로부터 최종 낙찰자로 선정됐다고  일 밝혔다 GS건설의 계약 금액은 약  억 만 호주 달러 약  조 억원 로  GS건설이 참여한 컨소시엄의 재무투자자는 GS건설과 카펠라  존레잉 John Laing  DIF 등으로 구성됐다  건설 합작법인 JV 에는 GS건설과 CPB  위빌드 Webuild  차이나 스테이트 China State 가 참여했다 이 사업은 호주  대 도시 중 하나인 멜버른시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로와 동부도로 간 단절된 구간을 연결하는 사업으로  인근지역 교통 혼잡도 저감 및 일자리 창출을 통해 주변지역 경제 활성화에도 크게 기여할 것으로 기대된다 공사는 TBM Tunnel Boring Machine  터널 및 개착식 터널 등을 포함한 총  의 편도  차로 병렬 터널과 이에 따른 환기시설  주변 연결도로 시공이 주된 업역이며  사업주는 완공 후  년 간 운영 및 유지관리업무를 수행할 예정이다 GS건설은 이 사업이 선진 건설시장에서 한국 건설사의 기술력과 자금조달 능력을 인정 받은 좋은 사례라며 세계적 역량을 갖춘 글로벌 업체간의 적극 협업을 통한 기술혁신 및 안전시공을 통해 목표 이상의 성과를 창출할 수 있는 성공적인 사례가 될 것으로 기대하고 있다 GS건설 관계자는  싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다 며  이번 프로젝트를 통해 기존의 단순 설계  시공을 담당하던 영역을 투자  금융조달  운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 탑티어 Top Tier 로 도약하는 발판으로 삼겠다 고 말했다 GS건설  GS  호주
