title,date,article
"오뚜기, 트러플·로제 등 ‘프레스코 리조또’ 4종 출시",2021.10.26 09:53,"상온 보관 HMR 출시
인공 감미료 무첨가
오뚜기가 이탈리안 음식을 손쉽게 즐길 수 있는 ‘프레스코 리조또’ 4종을 출시했다. [오뚜기 제공]


[헤럴드경제=신주희 기자] 오뚜기가 이탈리안 음식을 손쉽게 즐길 수 있는 ‘프레스코 리조또’ 4종을 출시했다.

오뚜기는 26일 ‘프레스코 리조또’ 4종(▷베이컨 토마토 리조또 ▷트러플 크림 리조또 ▷치킨 로제 리조또 ▷콰트로 치즈 리조또)를 선보였다고 밝혔다.

신제품 4종 모두 엄선된 재료를 사용해 풍미를 더하고 현미와 귀리 등의 곡물을 첨가해 다채로운 식감을 제공한다. 또한, 아세설팜칼륨과 아스파탐, 네오탐 등 인공 감미료 무첨가로 더욱 건강하게 즐길 수 있다.

‘베이컨 토마토 리조또’는 매콤한 토마토소스에 베이컨과 올리브를 넣어 기본에 충실한 리조또 맛을 구현했으며 ‘트러플 크림 리조또’는 블랙 트러플의 진한 향을 담은 크림소스에 양송이버섯과 표고버섯을 넣어 쫄깃한 식감을 자랑한다. ‘치킨 로제 리조또’는 크림과 토마토가 어우러진 로제소스에 담백한 국산 닭가슴살을, ‘콰트로 치즈 리조또’는 4가지 치즈의 진한 풍미를 느낄 수 있다.

제품은 상온 제품으로 개발됐으며 조리법도 간편하다. 제품 상단을 일부 개봉한 뒤 전자레인지에 2분간 데우거나 끓는 물에 제품을 봉지째 넣고 3~4분간 데우면 풍미 가득한 리조또가 완성된다.

오뚜기 관계자는 “팬데믹 여파로 증가한 내식 수요와 양식 메뉴에 대한 소비자 니즈를 반영해 간편하게 조리해 먹을 수 있는 ‘프레스코 리조또’를 출시하게 됐다”며 “앞으로도 전문점 못지 않은 맛과 품질을 앞세운 간편식을 지속적으로 선보일 계획”이라고 말했다."
"오뚜기, '간편+풍미' 프레스코 리조또 출시",2021.10.26 09:30,"[파이낸셜뉴스] 오뚜기는 재료 본연의 맛과 진한 풍미를 더한 ‘프레스코 리조또’ 4종을 출시했다고 26일 밝혔다.

사회적 거리두기 영향으로 ‘집콕’ 생활이 길어지면서 조리와 보관이 편리한 상온 HMR에 대한 관심이 높아지고 있다. 특히, 외식으로 즐기던 양식 메뉴를 가정에서 간편하게 즐기려는 소비자가 늘어남에 따라 관련 제품군은 더욱 다양해지는 추세다.

이러한 트렌드를 반영해 오뚜기는 주요 원재료의 식감과 맛을 살린 ‘프레스코 리조또’ 4종을 선보였다. 종류는 △베이컨 토마토 리조또 △트러플 크림 리조또 △치킨 로제 리조또 △콰트로 치즈 리조또 등 4가지다.

신제품 4종 모두 엄선된 재료를 사용해 풍부한 맛을 냈으며, 현미와 귀리 등의 곡물을 첨가해 다채로운 식감을 더했다. 또한, 아세설팜칼륨과 아스파탐, 네오탐 등 인공 감미료 무첨가로 더욱 건강하게 즐길 수 있다.

해당 제품은 보관 편의성을 고려해 상온 제품으로 개발됐으며, 조리법도 간편하다. 제품 상단을 일부 개봉한 뒤 전자레인지에 2분간 데우거나 끓는 물에 제품을 봉지째 넣고 3~4분간 데우면 풍미 가득한 리조또가 완성된다.

오뚜기 관계자는 “팬데믹 여파로 증가한 내식 수요와 양식 메뉴에 대한 소비자 니즈를 반영해 간편하게 조리해 먹을 수 있는 ‘프레스코 리조또’를 출시하게 됐다”며, “앞으로도 전문점 못지 않은 맛과 품질을 앞세운 간편식을 지속적으로 선보일 계획”이라고 말했다."
[누구집]오뚜기 딸 ‘함연지’ 한강뷰 보이는 집은 어디?,2021.10.24 13:01,"숲세권, 한강뷰 다가진 성수동 '트리마제'
매매호가 28억~34억...전세가율 61%[이데일리 신수정 기자] 오뚜기 함영준 회장의 장녀인 뮤지컬 배우 함연지가 한강뷰 집을 소개했다.

뮤지컬 배우 함연지가 자신의 집을 공개했다. (사진=유튜브 채널 햄연지 캡쳐)
함연지는 자신의 유튜브 채널 ‘햄연지’에서 랜선 집들이를 하며 내부를 공개했다. 신혼집은 서울 성수구 성수동 일원의 ‘트리마제’다.

단지는 총 4개동 전용면적 25~216㎡으로 구성됐다. 함연지의 집은 전용면적 84㎡로 방 3개 욕실 2개다.

한국부동산원에 따르면 트리마제 전용면적 84㎡기준 최근 호가는 28억~34억 2000만원이다. 최근 실거래는 지난 5월 25억원에 거래됐다. 매매가 대비 전세가는 60~61%다.

단지 주변은 아파트 단지와 근린생활시설 등이 혼재돼 있다. 수인분당선 서울숲역을 도보로 이용할 수 있고, 왕십리로 등 주요 도로를 이용하면 강변북로나 동부간선도로 방면 진입이 쉽다.

주변 상업시설 이용이 편리하고, 서울숲이 인접해 거주여건이 좋다. 주변 교육기관으로는 경일초·중·고등학교를 비롯해 경동초등학교, 성수공업고등학교 등이 있다."
오뚜기 ‘3분 요리’ 18억개 팔렸다,2021.10.19 17:45,"카레·짜장 등 점유율 80% 웃돌아
""품질·영양 좋은 제품 만들어갈것""
오뚜기는 '3분 카레'를 포함한 오뚜기 3분 요리류의 누적 판매량이 약 18억개를 기록했다고 19일 밝혔다. 우리나라 국민 1인당 약 39개를 소비한 셈이다.

오뚜기 카레는 지난 40년간 부동의 1위를 유지하고 있다. '3분 카레' '3분 짜장' '3분 미트볼' 등 3분 요리류의 점유율은 올해 9월 기준 81.3%로, 꾸준히 80%를 웃돌고 있다.

대표적 인도음식인 '카레(Curry)'는 영국과 일본을 거쳐 1940년대 국내에 처음 소개됐지만 특유의 향 때문에 소비자들의 입맛을 사로잡지는 못했다. 감자와 당근, 양파, 고기 등 다양한 재료를 듬뿍 넣고 걸쭉하게 끓여 밥에 얹어 먹는 '한국식 카레'는 1970년대 오뚜기 덕분에 대중화됐다.

오뚜기는 1969년 회사 설립과 함께 첫 제품으로 '오뚜기 분말 즉석카레'를 출시했다. 카레가 우리나라 주식인 쌀과 잘 어울리는 데다 매운 맛을 즐기는 한국인의 기호에 맞는 제품이라는 판단에서였다.

분말 형태로 시작한 '오뚜기 카레'는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 일반 소비자를 위한 제품으로는 1981년 4월 오뚜기가 선보인 '3분 카레'가 첫 레토르트 제품이다.

오뚜기는 세분화된 소비자 니즈를 고려해 순한맛, 매운맛, 약간매운맛 등으로 제품군을 넓혔고, '3분 하이스' '3분 스파게티 소스' '3분 짜장' '3분 미트볼' 등 다양한 3분 요리 개발로 이어졌다.

오뚜기는 1위 자리에 안주하지 않고, 끊임없는 연구개발을 통한 신제품 출시에 주력하고 있다. 2003년에는 강황 함량을 50% 이상 늘리고, 베타글루칸·식이섬유·귀리 등을 넣어 영양성분을 강화한 '3분 백세카레'를 내놓았다.

2014년에는 세계적인 건강식품으로 각광받는 렌틸콩을 주원료로 한 '3분 렌틸콩 카레'를, 2017년에는 3일 숙성소스와 각종 향신료를 직접 갈아 만든 카레분을 사용한 '3일 숙성카레'를 각각 출시했다. 또 2019년에는 창립 50주년 기념 에디션 '스페셜티 카레'와 함께 '스페셜티 카레 3분'을 선보이기도 했다.

오뚜기 관계자는 ""앞으로도 '보다 좋은 품질, 보다 높은 영양, 보다 앞선 식품으로 인류 식생활 향상에 이바지한다'는 경영철학을 기반으로 소비자들이 안심하고 먹을 수 있는 제품을 만들 것""이라고 말했다."
"""18억개 팔려나갔다""…'오뚜기 3분 요리'의 40년 롱런 비결",2021.10.19 17:28,"누적 판매량 18억개 돌파
웰빙 바람에 영양 성분 강화
집밥 수요 겨냥 고급제품 내놔
인도 음식인 ‘카레(Curry)’는 영국과 일본을 거쳐 1940년대 국내에 처음 소개됐다. 하지만 특유의 강한 향 때문에 소비자들의 입맛을 사로잡지 못했다. 그로부터 약 30년 뒤인 1969년 오뚜기는 회사의 첫 제품으로 ‘오뚜기 분말 즉석카레’를 개발해 출시했다. 오뚜기는 카레가 한국의 주식인 쌀과 잘 어울린다고 판단하고 한국식으로 선보였다. 감자와 당근, 양파, 고기 등 다양한 재료를 넣고 걸쭉하게 끓여 밥에 얹어 먹는 ‘한국식 카레’의 탄생이었다. 이후 50여 년간 오뚜기 카레는 각 가정 식탁의 단골 메뉴이자 든든한 비상 식량으로 자리잡았다.

1981년 레토르트 형태의 ‘3분 카레’(사진)가 나왔다. 최근 코로나19 확산 속에서 폭발적으로 성장하고 있는 국내 가정간편식의 시작을 연 제품이다. 오뚜기 3분 카레가 19일 40주년을 맞았다. 40년이 지난 지금도 오뚜기 3분 요리는 오뚜기의 ‘베스트셀러’다. 시장조사기관 드림리테일에 따르면 올해 9월 기준으로 국내 즉석카레·짜장·덮밥소스류에서 오뚜기 3분 요리류가 차지하는 점유율은 81.3%에 이른다. 3분 카레를 포함한 오뚜기 3분 요리의 누적 판매량은 약 18억 개에 달한다.

오뚜기 3분 요리는 40년간 끊임없이 진화를 거듭했다. 가정간편식이 쏟아지는 지금도 베스트셀러 자리를 지키고 있는 ‘장수의 비결’이다. 출시 초기엔 3분만 데우면 간편하게 먹을 수 있어 큰 인기를 끌었다. 첫해 400만 개의 판매량을 기록했다. ‘3분 카레’의 흥행은 ‘3분 하이스’ ‘3분 짜장’, ‘3분 미트볼’ 등 다양한 3분 요리 마케팅으로 이어졌다.

‘웰빙’ 바람이 불던 2000년대 들어서는 제품의 영양 성분을 강화했다. 강황 함량을 50% 이상 늘리고 베타글루칸·식이섬유·귀리 등을 넣어 ‘3분 백세카레’를 선보였다. 2014년엔 세계적인 건강식품으로 떠오른 렌틸콩을 주원료로 한 ‘3분 렌틸콩 카레’를 출시하기도 했다.

최근엔 집밥 수요를 겨냥해 ‘통닭다리카레’ ‘트리플머쉬룸카레’ 등 원재료를 듬뿍 넣어 고급화한 신제품을 선보였다. 자신만의 레시피로 요리를 해 먹는 MZ세대(밀레니얼+Z세대) 소비자들을 위해 소셜미디어 등을 통해 3분 카레를 활용해 만들 수 있는 다양한 요리를 소개하는 등 마케팅도 강화하고 있다. 오뚜기 관계자는 “장수 비결은 기술과 소비자에 대한 끊임없는 연구개발”이라고 말했다."
"원조 간편식 `오뚜기 3분 요리`, 누적판매량 18억개 돌파",2021.10.19 14:14,"1981년 4월 출시 이후 40년 만에 거둔 성적
국민 1인당 34개씩 먹는 동안 부동의 시장 1위[이데일리 전재욱 기자] 간편식의 대명사 `오뚜기 3분 요리`가 출시 40년 동안 누적 판매량 18억개를 기록한 것으로 집계됐다.

19일 오뚜기에 따르면 이 회사의 3분 요리류는 지난 8월 기준으로 누적 판매량 약 18억개를 기록했다. 국민(지난해 5178만명) 1인당 34개를 먹은 셈이다.

오뚜기 카레는 출시된 지 40년 동안 시장에서 부동의 1위를 유지하고 있다. 금융감독원 전자공시시스템에 따르면 오뚜기 3분 카레·짜장·미트볼 등 3분 요리류 점유율은 올해 9월 기준 81.3%다.

오뚜기는 1969년 회사를 설립하고 첫 제품으로 ‘오뚜기 분말 즉석카레’를 개발해 출시했다. 카레는 1940년대 국내에 들어왔지만 강한 향 탓에 보편화하지 않은 상태였다. 오뚜기는 감자와 당근, 양파, 고기 등 여러 재료를 넣어 끓여 밥에 곁들여 먹는 제품을 처음 출시하고 대중화를 선도했다.

카레가 우리나라 주식인 쌀과 잘 어울리는 데다 매운 맛을 즐기는 한국인의 기호에 맞는 제품이라는 판단에서였다. 경제 발전으로 ‘보릿고개’라는 말이 점차 사라질 무렵 혜성같이 등장한 ‘오뚜기 카레’는 색다른 맛에 눈을 돌리던 소비자들의 이목을 집중시켰다.

오뚜기 카레는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 공기와 광선 접촉을 막아 장기간 가능한 방식이다. 연구를 거듭한 끝에 1981년 4월 오뚜기 3분 카레가 최초로 나왔다.

‘3분 요리’라는 즉석식품 브랜드를 달고 나온 오뚜기 ‘3분 카레’는 출시 첫 해 400만 개의 판매고를 올렸다. 데우면 간편하게 즐길 수 있어 호응이 컸다.

오뚜기는 세분화된 소비자 니즈를 고려해 순한맛, 매운맛, 약간매운맛 등으로 제품군을 넓혀 나갔다. ‘3분 카레’의 흥행은 ‘3분 하이스’, ‘3분 스파게티 소스’, ‘3분 짜장’, ‘3분 미트볼’ 등 다양한 3분 요리 개발로 이어졌다.

오뚜기 관계자는 “국내 가정간편식 원조 ‘3분 카레’는 품질 향상을 위한 지속적인 연구개발과 소비자 중심의 마케팅으로 40년간 시장 1위 자리를 지키고 있다”며 “앞으로도 소비자들이 안심하고 먹을 수 있는 제품을 만들어 나갈 것”이라고 말했다."
불혹 맞은 ‘오뚜기 3분카레’…국민 1인당 39개씩 먹었다,2021.10.19 11:53,"국내 첫 HMR...누적판매량 18억개


국내 최초의 가정간편식(HMR)인 ‘오뚜기 3분 카레’가 불혹(不惑)의 중년이 됐다. 지난 1981년 첫 선을 보인 오뚜기 3분 카레는 끓는 물에 3분간 데우기만 하면 완성된다는 점에서 그 시절 소비자들의 호기심을 자극해 첫해만 400만개가 팔리며 밥상의 단골 메뉴로 자리 잡았다.

19일 오뚜기에 따르면, 오뚜기 3분 요리류의 지난 40년간 누적 판매량은 약 18억개에 달한다. 우리나라 국민 1인당 약 39개씩 3분 제품을 소비한 셈이다. 시장 점유율도 부동의 1위를 유지하고 있다. 드림리테일에 따르면, 올해 9월 기준 오뚜기 3분 요리류의 점유율은 81.3%로 꾸준히 80%를 웃돌고 있다.

인도음식인 카레가 영국과 일본을 거쳐 국내에 처음 소개된 것은 지난 1940년대다. 초기에는 특유의 강한 향 때문에 소비자들의 입맛을 사로잡지는 못했지만, 오뚜기가 감자와 당근, 양파, 고기 등 다양한 재료를 듬뿍 넣고 걸쭉하게 끓여 밥에 얹어 먹는 ‘한국식 카레’를 보급하면서 대중화됐다. 오뚜기가 지난 1969년 회사 설립과 함께 출시한 첫 제품이 바로 ‘오뚜기 분말 즉석카레’다.

분말 형태로 대중화된 카레는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 레토르트 식품은 조리식품에 공기와 광선이 들어오지 않도록 차단해 장기간 보관이 가능하다는 장점이 있다. 국내에서는 지난 1977년 농어촌개발공사 식품연구소가 레토르트 파우치 연구를 진행, 이를 바탕으로 국방과학연구소가 전투식량으로 개발했다. 일반 소비자를 위한 제품으로는 1981년 4월 오뚜기가 출시한 ‘3분 카레’가 최초다.

오뚜기 3분 카레는 출시 첫해 400만개의 판매고를 올릴 정도로 인기가 많았다. 이에 오뚜기는 3분 카레도 순한맛, 매운맛, 약간매운맛 등으로 세분화했고 3분 하이스, 3분 스파게티 소스, 3분 짜장, 3분 미트볼 등 다양한 3분 요리로 제품 카테고리를 넓혔다.

이후에도 오뚜기는 지난 2003년 웰빙 트렌드에 맞춰 강황 함량을 50% 이상 늘리는 등 영양 성분을 강화한 ‘3분 백세카레’를, 2014년에는 슈퍼푸드인 렌틸콩으로 만든 ‘3분 렌틸콩 카레’를 출시했다. 지난 2019년에는 자사 창립 50주년을 기념한 ‘스페셜티 카레 3분’도 출시하는 등 지속적으로 제품을 개발해왔다.

오뚜기 관계자는 “국내 HMR의 원조인 ‘3분 카레’는 품질 향상을 위한 지속적인 연구개발과 소비자 중심의 마케팅으로 40년간 시장 1위 자리를 지키고 있다”며 “앞으로도 ‘보다 좋은 품질, 보다 높은 영양, 보다 앞선 식품으로 인류 식생활 향상에 이바지한다’는 경영철학에 따라 안심하고 먹을 수 있는 제품을 만들 것”이라고 말했다.

신소연 기자"
"오뚜기 '3분 요리', 40년간 18억개 팔았다",2021.10.19 11:03,"[파이낸셜뉴스] 오뚜기는 '3분 카레'를 포함한 오뚜기 3분 요리류의 누적 판매량은 약 18억개를 기록했다고 19일 밝혔다. 우리나라 국민 1인당 약 39개씩 소비한 셈이다.

오뚜기 카레는 40년간 부동의 1위를 유지하고 있다. 오뚜기 '3분 카레', '3분 짜장', '3분 미트볼' 등 3분 요리류의 점유율은 지난 9월 기준 81.3%로 꾸준히 80%를 상회하고 있다.

대표적인 인도 음식인 '카레(커리, Curry)'는 영국과 일본을 거쳐 1940년대 국내에 처음 소개됐지만 특유의 강한 향 때문에 소비자들의 입맛을 사로잡지는 못했다. 감자와 당근, 양파, 고기 등 다양한 재료를 듬뿍 넣고 걸쭉하게 끓여 밥에 얹어 먹는 '한국식 카레'는 1970년대 오뚜기에 의해 대중화됐다.

오뚜기는 지난 1969년 회사 설립과 함께 첫 제품으로 '오뚜기 분말 즉석카레'를 개발·출시했다. 카레가 우리나라 주식인 쌀과 잘 어울리는 데다 매운 맛을 즐기는 한국인의 기호에 맞는 제품이라는 판단에서였다.

분말 형태로 시작했던 '오뚜기 카레'는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 레토르트 식품은 조리식품에 공기와 광선이 들어오지 않도록 차단성 용기에 담아 무균성을 유지함으로써 장기간 보관 가능하다는 것이 장점이다. 국내에서는 지난 1977년 농어촌개발공사 식품연구소가 주축이 돼 레토르트 파우치 연구를 진행했다. 이를 토대로 국방과학연구소가 전투식량으로 개발한 바 있다. 일반 소비자를 위한 제품으로는 1981년 4월 오뚜기가 출시한 '3분 카레'가 최초다. 오뚜기는 세분화된 소비자 니즈를 고려해 순한맛, 매운맛, 약간매운맛 등으로 제품군을 넓혀 나갔고, '3분 하이스', '3분 스파게티 소스', '3분 짜장', '3분 미트볼' 등 다양한 3분 요리 개발로 이어졌다.

오뚜기는 시장 1위 자리에 안주하지 않고, 끊임없는 연구개발을 통한 신제품 출시에 주력하고 있다. 지난 2003년에는 강황 함량을 50% 이상 늘리고 베타글루칸·식이섬유·귀리 등을 넣어 영양성분을 강화한 '3분 백세카레'를 출시했다. 2014년에는 세계적인 건강식품으로 각광받는 렌틸콩을 주원료로 한 '3분 렌틸콩 카레'를 내놨고, 2017년에는 3일 숙성소스와 각종 향신료를 직접 갈아 만든 카레분을 사용한 '3일 숙성카레'를 선보였다. 지난 2019년에는 창립 50주년 기념 에디션 '스페셜티 카레'와 함께 '스페셜티 카레 3분'을 출시했다.

오뚜기 관계자는 ""국내 가정간편식의 원조인 '3분 카레'는 품질 향상을 위한 지속적인 연구개발과 소비자 중심의 마케팅으로 40년간 시장 1위 자리를 지키고 있다""며 ""앞으로도 '보다 좋은 품질, 보다 높은 영양, 보다 앞선 식품으로 인류 식생활 향상에 이바지한다'는 경영철학을 기반으로 소비자들이 안심하고 먹을 수 있는 제품을 만들어 나갈 것""이라고 말했다."
최초의 HMR ‘오뚜기 3분 카레’ 벌써 ‘불혹’,2021.10.19 10:33,"분말형태 카레를 레토르트로 개발
카레로 시작해 짜장·미트볼 등 확대
1981년 출시된 오뚜기 3분 요리. [오뚜기 제공]


[헤럴드경제=신소연 기자]국내 최초의 가정간편식(HMR)인 ‘오뚜기 3분 카레’가 불혹(不惑)의 중년이 됐다. 지난 1981년 첫 선을 보인 오뚜기 3분 카레는 끓는 물에 3분 간 데우기만 하면 완성된다는 점에서 그 시절 소비자들의 호기심을 자극해 첫 해만 400만 개가 팔리며 밥상의 단골 메뉴로 자리 잡았다.

19일 오뚜기에 따르면, 오뚜기 3분 요리류의 지난 40년간 누적 판매량은 약 18억개에 달한다. 우리나라 국민 1인당 약 39개씩 3분 제품을 소비한 셈이다. 시장 점유율도 부동의 1위를 유지하고 있다. 드림리테일에 따르면, 올해 9월 기준 오뚜기 3분 요리류의 점유율은 81.3%로 꾸준히 80%를 웃돌고 있다.

인도음식인 카레가 영국과 일본을 거쳐 국내에 처음 소개된 것은 지난 1940년대다. 초기에는 특유의 강한 향 때문에 소비자들의 입맛을 사로잡지는 못했지만, 오뚜기가 감자와 당근, 양파, 고기 등 다양한 재료를 듬뿍 넣고 걸쭉하게 끓여 밥에 얹어 먹는 ‘한국식 카레’를 보급하면서 대중화됐다. 오뚜기가 지난 1969년 회사 설립과 함께 출시한 첫 제품이 바로 ‘오뚜기 분말 즉석카레’다.

분말 형태로 대중화된 카레는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 레토르트 식품은 조리식품에 공기와 광선이 들어오지 않도록 차단해 장기간 보관이 가능하다는 장점이 있다. 국내에서는 지난 1977년 농어촌개발공사 식품연구소가 레토르트 파우치 연구를 진행, 이를 바탕으로 국방과학연구소가 전투식량으로 개발했다. 일반 소비자를 위한 제품으로는 1981년 4월 오뚜기가 출시한 ‘3분 카레’가 최초다.

오뚜기 3분 제품 모음. [오뚜기 제공]


오뚜기 3분 카레는 출시 첫 해 400만개의 판매고를 올릴 정도로 인기가 많았다. 이에 오뚜기는 3분 카레도 순한맛, 매운맛, 약간매운맛 등으로 세분화했고 3분 하이스, 3분 스파게티 소스, 3분 짜장, 3분 미트볼 등 다양한 3분 요리로 제품 카테고리를 넓혔다.

이후에도 오뚜기는 지난 2003년 웰빙 트렌드에 맞춰 강황 함량을 50% 이상 늘리는 등 영양 성분을 강화한 ‘3분 백세카레’를, 2014년에는 슈퍼푸드인 렌틸콩으로 만든 ‘3분 렌틸콩 카레’를 출시했다. 지난 2019년에는 자사 창립 50주년을 기념한 ‘스페셜티 카레 3분’도 출시하는 등 지속적으로 제품을 개발해왔다.

오뚜기 관계자는 “국내 HMR의 원조인 ‘3분 카레’는 품질 향상을 위한 지속적인 연구개발과 소비자 중심의 마케팅으로 40년간 시장 1위 자리를 지키고 있다""며 “앞으로도 ‘보다 좋은 품질, 보다 높은 영양, 보다 앞선 식품으로 인류 식생활 향상에 이바지한다’는 경영철학에 따라 안심하고 먹을 수 있는 제품을 만들 것”이라고 말했다."
국민 1인 당 39개 씩 먹었다···불혹 맞은 '오뚜기 3분 카레',2021.10.19 10:04,"[서울경제]

간편식 1세대 '오뚜기(007310) 3분 카레'가 출시 40년을 맞았다. 지난 1981년 첫 선을 보인 오뚜기 3분 카레는 끓는 물에 3분 간 데우기만 하면 완성된다는 점에서 그 시절 소비자들의 호기심을 자극해 첫 해만 400만 개가 팔리며 밥상의 단골 메뉴로 자리 잡았다. 2000년대 들어서는 맛과 영양까지 잡은 다양한 제품군을 선보이며 지금까지 부동의 시장 점유율 1위를 유지하고 있다.

19일 오뚜기에 따르면 '3분 카레'를 포함한 오뚜기 3분 요리류의 누적 판매량은 약 18억 개로, 우리나라 국민 1인당 약 39개씩 소비한 셈이다. 시장 점유율도 부동의 1위를 유지하고 있다. 올해 9월 기준 오뚜기 3분 요리류의 점유율은 81.3%로 꾸준히 80%를 웃돌고 있다.

◇한국인 입맛 딱 맞는 '한국식 카레' 등장=오뚜기는 이른바 '한국식 카레'를 대중화시킨 장본인이다. 카레는 1940년대 국내에 처음 소개됐으나 특유의 강한 향 때문에 소비자들의 입맛을 사로잡지 못했다. 그러나 오뚜기는 카레가 우리나라 주식인 쌀과 잘 어울리는 데다 매운 맛을 즐기는 한국인의 기호에 맞는 제품이라고 판단해 1969년 회사 설립과 함께 카레 개발에 착수했다. 그 결과 감자와 당근, 양파, 고기 등 다양한 재료를 듬뿍 넣고 걸쭉하게 끓여 밥에 얹어 먹는 '한국식 카레'가 세상에 나왔다. 오뚜기 관계자는 ""경제 발전으로 보릿고개라는 말이 점차 사라질 무렵에 혜성같이 등장한 오뚜기 카레는 색다른 맛에 눈을 돌리던 소비자들의 이목을 집중시켰다""고 말했다.

◇끓는 물에 3분···카레의 대중화 이끌어=분말 형태로 시작했던 오뚜기 카레는 취식과 보관의 편의성을 고려해 레토르트 형태로 진화했다. 1981년 오뚜기가 출시한 '3분 카레'는 데우기만 하면 간편하게 즐길 수 있어 소비자들로부터 큰 호응을 얻었고 출시 첫 해 400만 개의 판매고를 올렸다. 이후 오뚜기는 세분화된 소비자 수요를 고려해 순한 맛, 매운 맛, 약간 매운 맛 등으로 제품군을 넓혀 나갔다. 3분 카레의 흥행은 3분 하이스, 3분 스파게티 소스, 3분 짜장, 3분 미트볼 등 다양한 3분 요리 개발로 이어졌고 오뚜기는 1980년대 즉석식품의 선두주자로 굳건한 입지를 다졌다.

◇편의성 넘어, 맛과 영양도 잡았다=오뚜기는 시장 1위 자리에 안주하지 않고, 끊임없는 연구개발을 통한 신제품 출시에 주력하고 있다. 웰빙 바람이 불던 2000년대 들어서는 강황 함량을 50% 이상 늘리고 베타글루칸·식이섬유·귀리 등을 넣어 영양 성분을 강화한 '3분 백세카레'와 건강식품으로 각광 받는 렌틸콩을 주원료로 한 '3분 렌틸콩 카레'를 선보였다. 지난 2019년에는 오뚜기 창립 50주년 기념 에디션 ‘스페셜티 카레’와 함께 ‘스페셜티 카레 3분’을 출시했다. ‘스페셜티 카레 3분’은 레드와인으로 숙성해 향긋한 풍미를 내는 큼직한 소고기와 로즈마리, 타임, 카르다몸, 월계수잎, 오레가노 등 5가지 허브가 어우러져 한층 풍부한 맛과 향을 느낄 수 있다.

오뚜기 관계자는 ""국내 가정간편식의 원조인 3분 카레는 품질 향상을 위한 지속적인 연구 개발과 소비자 중심의 마케팅으로 40년 간 시장 1위 자리를 지키고 있다""며 ""앞으로도 소비자들이 안심하고 먹을 수 있는 제품을 만들어 나갈 것”이라고 말했다."
