,index,nouns
0,0,원장
1,0,시장
2,0,지역
3,0,이번
4,0,제도
5,0,김희석
6,0,발전
7,0,업진
8,0,작년
9,0,영하
10,0,척
11,0,중
12,0,사업비
13,0,파이낸셜
14,0,부지
15,0,장점
16,0,보수
17,0,도심지
18,0,박종원
19,0,산중
20,0,왼쪽
21,0,기여
22,0,경제
23,0,도입
24,0,유지
25,0,차
26,0,경남은행
27,0,저장
28,0,개선
29,0,진흥
30,0,주유소
31,0,분의
32,0,활성
33,0,예정
34,0,원인
35,0,방식
36,0,안건
37,0,날
38,0,전국
39,0,행정
40,0,소도
41,0,상업
42,0,바
43,0,절반
44,0,본관
45,0,두유
46,0,애
47,0,공업
48,0,내
49,0,충전
50,0,노우
51,0,로드맵
52,0,헉
53,0,복합
54,0,청정에너지
55,0,등
56,0,촬영
57,0,인프라
58,0,부피
59,0,운용
60,0,위치
61,0,발표
62,0,나
63,0,수행
64,0,정부
65,0,필요
66,0,건설
67,0,것
68,0,백정
69,0,시청
70,0,투자
71,0,초
72,0,플랜트
73,0,지원
74,0,확약
75,0,수
76,0,기반
77,0,본부
78,0,사업
79,0,규모
80,0,금지
81,0,은행장
82,0,운전
83,0,경남
84,0,향후
85,0,민간
86,0,부지사
87,0,허성무
88,0,정연인
89,0,대표
90,0,운송
91,0,액화
92,0,산업
93,0,의결
94,0,경상남도
95,0,황윤철
96,0,무화
97,0,극저온
98,0,이사
99,0,목표
100,0,계약
101,0,최선
102,0,수소
103,0,토리
104,0,공급
105,0,소
106,0,공장
107,0,공단
108,0,국내
109,0,흥원
110,0,개
111,0,박인원
112,0,장
113,0,체
114,0,배포
115,0,금융
116,0,파인애플
117,0,톤
118,0,펀드
119,0,참석
120,0,대체
121,0,무단
122,0,간
123,0,면적
124,0,체결
125,0,위원회
126,0,이동찬
127,0,심의
128,0,금액
129,0,하루
130,0,하나
131,0,관계자
132,0,원
133,0,창원시
134,0,소리
135,0,중공업
136,0,준공
137,0,일
138,0,말
139,0,자산
140,0,억
141,0,구매
142,0,박지
143,0,전재
144,0,산업단지
145,0,구축
146,0,업무
147,0,두산
148,0,경
149,0,서명식
150,0,기체
151,0,결식
152,0,창원
153,0,환경
154,0,당신
155,0,추진
156,0,생산
157,0,년
158,0,선정
159,0,기자
160,0,남도
161,0,저작
162,0,기념
163,0,월
164,0,성공
165,0,뉴스
166,0,한국
167,1,원장
168,1,시장
169,1,지역
170,1,이번
