,index,nouns
0,0,산업단지
1,0,영하
2,0,하루
3,0,파이낸셜
4,0,활성
5,0,생산
6,0,남도
7,0,공급
8,0,중공업
9,0,원장
10,0,정연인
11,0,하나
12,0,운용
13,0,참석
14,0,분의
15,0,플랜트
16,0,배포
17,0,지역
18,0,산중
19,0,준공
20,0,청정에너지
21,0,기체
22,0,안건
23,0,방식
24,0,헉
25,0,절반
26,0,차
27,0,박인원
28,0,흥원
29,0,왼쪽
30,0,말
31,0,개선
32,0,기자
33,0,톤
34,0,규모
35,0,극저온
36,0,내
37,0,저작
38,0,자산
39,0,장
40,0,의결
41,0,시청
42,0,경남
43,0,목표
44,0,수행
45,0,수
46,0,금액
47,0,발표
48,0,발전
49,0,일
50,0,촬영
51,0,경남은행
52,0,향후
53,0,원인
54,0,기념
55,0,도입
56,0,확약
57,0,무화
58,0,황윤철
59,0,관계자
60,0,도심지
61,0,전재
62,0,부지사
63,0,한국
64,0,중
65,0,파인애플
66,0,행정
67,0,사업비
68,0,계약
69,0,운전
70,0,사업
71,0,지원
72,0,진흥
73,0,운송
74,0,결식
75,0,저장
76,0,날
77,0,구매
78,0,년
79,0,제도
80,0,대체
81,0,산업
82,0,금융
83,0,심의
84,0,인프라
85,0,정부
86,0,최선
87,0,액화
88,0,애
89,0,이사
90,0,환경
91,0,금지
92,0,건설
93,0,이동찬
94,0,예정
95,0,부피
96,0,국내
97,0,무단
98,0,백정
99,0,구축
100,0,두유
101,0,유지
102,0,바
103,0,창원시
104,0,본관
105,0,억
106,0,척
107,0,성공
108,0,부지
109,0,전국
110,0,박종원
111,0,공장
112,0,위치
113,0,소도
114,0,투자
115,0,민간
116,0,월
117,0,허성무
118,0,토리
119,0,충전
120,0,이번
121,0,추진
122,0,선정
123,0,기여
124,0,것
125,0,수소
126,0,장점
127,0,두산
128,0,면적
129,0,공업
130,0,경제
131,0,체
132,0,체결
133,0,등
134,0,필요
135,0,소리
136,0,창원
137,0,작년
138,0,초
139,0,당신
140,0,노우
141,0,김희석
142,0,소
143,0,펀드
144,0,시장
145,0,위원회
146,0,나
147,0,복합
148,0,개
149,0,기반
150,0,본부
151,0,보수
152,0,업무
153,0,업진
154,0,원
155,0,대표
156,0,간
157,0,경
158,0,상업
159,0,뉴스
160,0,은행장
161,0,박지
162,0,경상남도
163,0,로드맵
164,0,주유소
165,0,공단
166,0,서명식
167,1,산업단지
168,1,영하
169,1,하루
170,1,파이낸셜
171,1,활성
172,1,생산
173,1,남도
174,1,공급
175,1,중공업
176,1,원장
177,1,정연인
178,1,하나
179,1,운용
180,1,참석
181,1,분의
182,1,플랜트
183,1,배포
184,1,지역
185,1,산중
186,1,준공
187,1,청정에너지
188,1,기체
189,1,안건
190,1,방식
191,1,헉
192,1,절반
193,1,차
194,1,박인원
195,1,흥원
196,1,왼쪽
197,1,말
198,1,개선
199,1,기자
200,1,톤
201,1,규모
202,1,극저온
203,1,내
204,1,저작
205,1,자산
206,1,장
207,1,의결
208,1,시청
209,1,경남
210,1,목표
211,1,수행
212,1,수
213,1,금액
214,1,발표
215,1,발전
216,1,일
217,1,촬영
218,1,경남은행
219,1,향후
220,1,원인
221,1,기념
222,1,도입
223,1,확약
224,1,무화
225,1,황윤철
226,1,관계자
227,1,도심지
228,1,전재
229,1,부지사
230,1,한국
231,1,중
