,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
809,2018/07/24,335000,3000,0.9,333500,337000,332500,26832,8988698000,5042817310000,15053186
808,2018/07/25,335000,0,0.0,337000,337000,333000,22805,7651253000,5042817310000,15053186
807,2018/07/26,334000,-1000,-0.3,337500,338500,332500,25858,8652736000,5027764124000,15053186
806,2018/07/27,334500,500,0.15,336500,336500,331500,17499,5861023500,5035290717000,15053186
805,2018/07/30,334500,0,0.0,333000,337000,332000,17031,5688080000,5035290717000,15053186
804,2018/07/31,338000,3500,1.05,334500,339500,334500,27265,9211970000,5087976868000,15053186
803,2018/08/01,342500,4500,1.33,339500,343500,337500,33469,11433924500,5155716205000,15053186
802,2018/08/02,339500,-3000,-0.88,341500,344000,339000,26354,9004693000,5110556647000,15053186
801,2018/08/03,344000,4500,1.33,340000,348000,336000,37388,12923204500,5178295984000,15053186
800,2018/08/06,347000,3000,0.87,342500,348000,342500,18771,6503752000,5223455542000,15053186
799,2018/08/07,343500,-3500,-1.01,344000,346500,340500,24760,8502167500,5170769391000,15053186
798,2018/08/08,339500,-4000,-1.16,342500,344000,338000,21663,7363458500,5110556647000,15053186
797,2018/08/09,341500,2000,0.59,344500,345000,338000,40712,13889742500,5140663019000,15053186
796,2018/08/10,354000,12500,3.66,343500,354500,343500,67825,23776230000,5328827844000,15053186
795,2018/08/13,349000,-5000,-1.41,353000,353500,344000,32763,11393749510,5253561914000,15053186
794,2018/08/14,344500,-4500,-1.29,348000,348000,342000,30608,10523987500,5185822577000,15053186
793,2018/08/16,339500,-5000,-1.45,341000,342000,333500,30912,10429602500,5110556647000,15053186
792,2018/08/17,340500,1000,0.29,339500,342500,335500,17403,5930957000,5125609833000,15053186
791,2018/08/20,337000,-3500,-1.03,343500,344500,334500,28499,9593939000,5072923682000,15053186
790,2018/08/21,337000,0,0.0,335000,339000,333500,23772,8001317000,5072923682000,15053186
789,2018/08/22,337500,500,0.15,337000,339000,335000,21903,7391829000,5080450275000,15053186
788,2018/08/23,337500,0,0.0,339000,340000,335500,20326,6857017000,5080450275000,15053186
