,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
501,2019/11/11,43000,-300,-0.69,43300,43550,43000,882908,38192590604,17978796091000,418111537
500,2019/11/12,43550,550,1.28,43050,43600,43000,619591,26842613450,18208757436350,418111537
499,2019/11/13,43400,-150,-0.34,43950,43950,43150,786626,34144447650,18146040705800,418111537
498,2019/11/14,43700,300,0.69,43800,43800,43200,908957,39623238500,18271474166900,418111537
497,2019/11/15,43700,0,0.0,43400,44200,43300,1154688,50572426200,18271474166900,418111537
496,2019/11/18,44000,300,0.69,43600,44000,43400,738224,32346924150,18396907628000,418111537
495,2019/11/19,44900,900,2.05,44050,44950,43650,1834999,81356225138,18773208011300,418111537
494,2019/11/20,45950,1050,2.34,44800,46550,44650,2402413,110030681125,19212225125150,418111537
493,2019/11/21,45650,-300,-0.65,46400,46450,45150,1686894,77008416900,19086791664050,418111537
492,2019/11/22,46200,550,1.2,46050,46200,45850,1097164,50537686050,19316753009400,418111537
491,2019/11/25,46050,-150,-0.32,46700,46700,45850,1217858,56411931900,19254036278850,418111537
490,2019/11/26,45850,-200,-0.43,45950,46350,45400,2137333,97966932350,19170413971450,418111537
489,2019/11/27,46100,250,0.55,46000,46500,45750,753439,34719064210,19274941855700,418111537
488,2019/11/28,46550,450,0.98,45750,46600,45650,540476,25044874900,19463092047350,418111537
487,2019/11/29,46050,-500,-1.07,46700,46850,45900,844993,39066230526,19254036278850,418111537
486,2019/12/02,45950,-100,-0.22,46050,46400,45600,698866,32110661700,19212225125150,418111537
485,2019/12/03,45850,-100,-0.22,45950,46100,45250,932941,42659236350,19170413971450,418111537
484,2019/12/04,46050,200,0.44,45950,46150,45400,924902,42448434700,19254036278850,418111537
483,2019/12/05,46650,600,1.3,46200,47000,46150,1123928,52450668735,19504903201050,418111537
482,2019/12/06,47000,350,0.75,46500,47000,46450,783218,36662718000,19651242239000,418111537
481,2019/12/09,48050,1050,2.23,47700,48050,47300,1066373,51047452450,20090259352850,418111537
480,2019/12/10,48300,250,0.52,47950,48400,47850,813927,39241635701,20194787237100,418111537
479,2019/12/11,48000,-300,-0.62,48300,48300,47550,973843,46666696402,20069353776000,418111537
478,2019/12/12,48350,350,0.73,48400,48700,48000,1715262,83009105150,20215692813950,418111537
477,2019/12/13,50000,1650,3.41,49150,50000,48500,1211381,60298742125,20905576850000,418111537
476,2019/12/16,49050,-950,-1.9,49700,50800,48750,2082488,103475835400,20508370889850,418111537
475,2019/12/17,47950,-1100,-2.24,48500,48700,47150,2272935,108458963700,20048448199150,418111537
474,2019/12/18,49400,1450,3.02,48100,49400,48050,1315621,64681881750,20654709927800,418111537
473,2019/12/19,49400,0,0.0,49500,49600,48850,1000540,49352123300,20654709927800,418111537
472,2019/12/20,49050,-350,-0.71,49100,49350,48600,1014948,49725119650,20508370889850,418111537
471,2019/12/23,49900,850,1.73,48500,49900,48500,878027,43562128000,20863765696300,418111537
470,2019/12/24,49450,-450,-0.9,49900,50000,49200,602123,29803186450,20675615504650,418111537
469,2019/12/26,49400,-50,-0.1,49450,49550,48950,717331,35326084350,20654709927800,418111537
468,2019/12/27,48050,-1350,-2.73,47750,48300,47600,1278193,61239579800,19979570556000,415807920
467,2019/12/30,47650,-400,-0.83,48050,48050,47100,955663,45427784350,19813247388000,415807920
466,2020/01/02,46550,-1100,-2.31,47250,47450,46450,1033855,48337883850,19355858676000,415807920
465,2020/01/03,47150,600,1.29,47050,47800,46900,1123490,53202190650,19605343428000,415807920
464,2020/01/06,46600,-550,-1.17,47100,47550,46300,698224,32579530550,19376649072000,415807920
463,2020/01/07,47000,400,0.86,46600,47350,46600,817477,38388446100,19542972240000,415807920
462,2020/01/08,46150,-850,-1.81,46100,46550,45800,1197780,55227329900,19189535508000,415807920
461,2020/01/09,46500,350,0.76,46400,47300,46150,1371428,63772335250,19335068280000,415807920
460,2020/01/10,46800,300,0.65,46500,46950,46100,1223959,57019037750,19459810656000,415807920
459,2020/01/13,46700,-100,-0.21,46950,47000,46050,723834,33650400700,19418229864000,415807920
458,2020/01/14,47850,1150,2.46,46800,47950,46600,1230507,58536823900,19896408972000,415807920
457,2020/01/15,47900,50,0.1,47350,48100,47300,1051882,50320691850,19917199368000,415807920
456,2020/01/16,48000,100,0.21,47650,48050,47100,1063894,50568380300,19958780160000,415807920
455,2020/01/17,47900,-100,-0.21,47300,47950,47150,1067206,50857457350,19917199368000,415807920
454,2020/01/20,48300,400,0.84,47750,48700,47300,1039883,50125116600,20083522536000,415807920
453,2020/01/21,47350,-950,-1.97,48200,48250,47350,543206,25921254950,19688505012000,415807920
452,2020/01/22,47550,200,0.42,47350,47900,47150,827162,39321848418,19771666596000,415807920
451,2020/01/23,46700,-850,-1.79,46900,47450,46500,892831,41761404400,19418229864000,415807920
450,2020/01/28,44500,-2200,-4.71,46250,46450,44100,1494047,66832724400,18503452440000,415807920
449,2020/01/29,44250,-250,-0.56,45000,45000,43900,1357149,60040713600,18399500460000,415807920
448,2020/01/30,43800,-450,-1.02,44600,44650,43650,1451247,63792481350,18212386896000,415807920
447,2020/01/31,43950,150,0.34,44500,44550,43700,1043074,46016008450,18274758084000,415807920
446,2020/02/03,43850,-100,-0.23,44000,44300,42800,1438211,62773896700,18233177292000,415807920
445,2020/02/04,43500,-350,-0.8,44150,44500,43400,1350137,58957734986,18087644520000,415807920
444,2020/02/05,44200,700,1.61,43550,44400,43550,1414093,62212938050,18378710064000,415807920
443,2020/02/06,45250,1050,2.38,44700,45500,44000,1087184,48687422500,18815308380000,415807920
442,2020/02/07,44400,-850,-1.88,44600,45150,43850,1152443,50993506500,18461871648000,415807920
441,2020/02/10,43250,-1150,-2.59,43700,43850,43000,1392007,60180305100,17983692540000,415807920
440,2020/02/11,43100,-150,-0.35,43450,43550,42950,1505386,65068700950,17921321352000,415807920
439,2020/02/12,43500,400,0.93,43150,43700,42900,2163450,93656221150,18087644520000,415807920
438,2020/02/13,42750,-750,-1.72,43450,43450,42700,1585289,68123052000,17775788580000,415807920
437,2020/02/14,42750,0,0.0,42500,43000,42250,1304244,55796280530,17775788580000,415807920
436,2020/02/17,42400,-350,-0.82,42800,43000,42150,994095,42208913552,17630255808000,415807920
435,2020/02/18,41750,-650,-1.53,42200,42450,41400,1530494,64053444850,17359980660000,415807920
434,2020/02/19,41800,50,0.12,42550,42600,41400,1808110,75575125400,17380771056000,415807920
433,2020/02/20,42200,400,0.96,42500,42500,41500,1471921,61755762700,17547094224000,415807920
432,2020/02/21,41150,-1050,-2.49,41400,41550,41000,1476170,60867809125,17110495908000,415807920
431,2020/02/24,39050,-2100,-5.1,40500,40900,38900,1872964,73975713250,16237299276000,415807920
430,2020/02/25,39250,200,0.51,39200,39600,38700,1779148,69852864650,16320460860000,415807920
429,2020/02/26,39050,-200,-0.51,38250,39450,38100,2439040,94412461600,16237299276000,415807920
428,2020/02/27,39400,350,0.9,38700,39450,38400,1667870,65145413850,16382832048000,415807920
427,2020/02/28,38900,-500,-1.27,38800,38900,38100,2342074,90512492950,16174928088000,415807920
426,2020/03/02,38400,-500,-1.29,38500,39250,38000,1696505,65218910150,15967024128000,415807920
425,2020/03/03,38100,-300,-0.78,38300,38900,38000,1830298,70357727250,15842281752000,415807920
424,2020/03/04,38950,850,2.23,38500,39200,38150,1601011,62154179700,16195718484000,415807920
423,2020/03/05,38700,-250,-0.64,39050,39250,38500,1192190,46212879850,16091766504000,415807920
422,2020/03/06,37450,-1250,-3.23,38200,38350,37300,1624871,61194856500,15572006604000,415807920
421,2020/03/09,35150,-2300,-6.14,36350,36500,35100,2015102,71467142300,14615648388000,415807920
420,2020/03/10,35150,0,0.0,34800,35450,34800,2183412,76785981625,14615648388000,415807920
419,2020/03/11,35300,150,0.43,35000,36200,34850,1840394,65441922900,14678019576000,415807920
418,2020/03/12,33450,-1850,-5.24,34600,34600,32900,2428039,81775466500,13908774924000,415807920
417,2020/03/13,32900,-550,-1.64,30150,33600,29550,3157352,100849465350,13680080568000,415807920
416,2020/03/16,32100,-800,-2.43,33250,33850,31850,2158001,70222717200,13347434232000,415807920
415,2020/03/17,29850,-2250,-7.01,30100,31250,29500,2376047,71488742700,12411866412000,415807920
414,2020/03/18,29050,-800,-2.68,29200,30400,28800,3437402,101204773250,12079220076000,415807920
413,2020/03/19,26050,-3000,-10.33,29300,29600,26050,3226552,89055501500,10831796316000,415807920
412,2020/03/20,30850,4800,18.43,26600,31000,25850,2772947,77738261100,12827674332000,415807920
411,2020/03/23,27650,-3200,-10.37,27800,28450,27300,2779005,77527370750,11497088988000,415807920
410,2020/03/24,29150,1500,5.42,28300,29550,28000,2766834,79932326800,12120800868000,415807920
409,2020/03/25,32000,2850,9.78,30600,33300,30550,4002728,127004984250,13305853440000,415807920
408,2020/03/26,32900,900,2.81,32600,35300,31500,4079253,136808923000,13680080568000,415807920
