,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
652,2019/04/02,27300,50,0.18,27250,27400,27200,821289,22412197350,7128352358400,261111808
651,2019/04/03,27100,-200,-0.73,27300,27350,26950,1733964,46880335700,7076129996800,261111808
650,2019/04/04,27400,300,1.11,27250,27400,27100,750617,20493039352,7154463539200,261111808
649,2019/04/05,27600,200,0.73,27500,27650,27400,605684,16685747550,7206685900800,261111808
648,2019/04/08,27450,-150,-0.54,27700,27750,27450,798476,22012465432,7167519129600,261111808
647,2019/04/09,27200,-250,-0.91,27500,27600,27200,602810,16510232056,7102241177600,261111808
646,2019/04/10,27700,500,1.84,27200,27850,27200,766830,21176934500,7232797081600,261111808
645,2019/04/11,27400,-300,-1.08,27750,27900,27400,1030650,28360248450,7154463539200,261111808
644,2019/04/12,27450,50,0.18,27550,27700,27450,621006,17119828850,7167519129600,261111808
643,2019/04/15,27500,50,0.18,27500,27650,27450,602665,16592414750,7180574720000,261111808
642,2019/04/16,27300,-200,-0.73,27450,27500,27300,749030,20526275220,7128352358400,261111808
641,2019/04/17,27300,0,0.0,27350,27450,27250,741394,20258581600,7128352358400,261111808
640,2019/04/18,27350,50,0.18,27300,27450,27250,580471,15876896945,7141407948800,261111808
639,2019/04/19,27600,250,0.91,27350,27600,27300,481582,13255955550,7206685900800,261111808
638,2019/04/22,27500,-100,-0.36,27550,27750,27450,723340,19995254200,7180574720000,261111808
637,2019/04/23,27550,50,0.18,27650,27700,27500,461994,12799374025,7193630310400,261111808
636,2019/04/24,27550,0,0.0,27600,27750,27500,761638,21095870398,7193630310400,261111808
635,2019/04/25,27500,-50,-0.18,27550,27650,27450,323820,8917329852,7180574720000,261111808
634,2019/04/26,27450,-50,-0.18,27450,27550,27400,501474,13775056358,7167519129600,261111808
633,2019/04/29,27500,50,0.18,27450,27500,27400,349905,9615012500,7180574720000,261111808
632,2019/04/30,27350,-150,-0.55,27500,27500,27250,611298,16737314450,7141407948800,261111808
631,2019/05/02,27500,150,0.55,27300,27600,27300,435424,11957988154,7180574720000,261111808
630,2019/05/03,27650,150,0.55,27500,27750,27350,748158,20675385412,7219741491200,261111808
629,2019/05/07,27900,250,0.9,27500,27950,27400,1129637,31359795640,7285019443200,261111808
628,2019/05/08,28450,550,1.97,27800,28650,27750,2144187,60921397545,7428630937600,261111808
627,2019/05/09,28000,-450,-1.58,28400,28600,28000,1407784,39836176405,7311130624000,261111808
626,2019/05/10,28150,150,0.54,28050,28450,27800,875349,24663880105,7350297395200,261111808
625,2019/05/13,28150,0,0.0,28050,28150,27850,584275,16358762494,7350297395200,261111808
624,2019/05/14,28000,-150,-0.53,27950,28200,27850,731831,20525135340,7311130624000,261111808
623,2019/05/15,27800,-200,-0.71,28000,28000,27700,624349,17349230800,7258908262400,261111808
