,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
1361,2016/05/09,56100,-3400,-5.71,59000,59100,56000,1740941,98861265300,9180642365400,163647814
1360,2016/05/10,57000,900,1.6,55800,57600,55500,1156886,65902204400,9327925398000,163647814
1359,2016/05/11,55200,-1800,-3.16,57500,57600,54500,2075526,114748844200,9033359332800,163647814
1358,2016/05/12,54300,-900,-1.63,55000,55300,54100,1520491,82896965800,8886076300200,163647814
1357,2016/05/13,53700,-600,-1.1,54600,54900,53600,1019051,55065417300,8787887611800,163647814
1356,2016/05/16,54600,900,1.68,53800,55000,53800,590167,32220678300,8935170644400,163647814
1355,2016/05/17,54400,-200,-0.37,55000,55300,54300,465300,25479067500,8902441081600,163647814
1354,2016/05/18,53900,-500,-0.92,54400,55200,53700,799045,43179956200,8820617174600,163647814
1353,2016/05/19,54000,100,0.19,54100,54500,53600,531879,28742510500,8836981956000,163647814
1352,2016/05/20,51900,-2100,-3.89,54000,54200,51500,1775509,92779784400,8493321546600,163647814
1351,2016/05/23,52800,900,1.73,52200,53300,52200,739639,39070941000,8640604579200,163647814
1350,2016/05/24,53000,200,0.38,52900,53700,52800,519211,27672254000,8673334142000,163647814
1349,2016/05/25,53000,0,0.0,53600,53700,52600,637123,33827581100,8673334142000,163647814
1348,2016/05/26,53400,400,0.75,53200,54600,53000,638944,34423027800,8738793267600,163647814
1347,2016/05/27,55600,2200,4.12,54000,55800,53900,1153816,63798005400,9098818458400,163647814
1346,2016/05/30,55700,100,0.18,56100,56400,55000,767791,42811699500,9115183239800,163647814
1345,2016/05/31,56100,400,0.72,56300,56500,55300,933757,52459906748,9180642365400,163647814
1344,2016/06/01,56100,0,0.0,56100,57000,56000,544499,30758473700,9180642365400,163647814
1343,2016/06/02,54500,-1600,-2.85,55900,56000,54400,647427,35500069500,8918805863000,163647814
1342,2016/06/03,54500,0,0.0,54300,55400,53500,562951,30695469300,8918805863000,163647814
1341,2016/06/07,54300,-200,-0.37,54600,55200,54100,655930,35775144300,8886076300200,163647814
1340,2016/06/08,54400,100,0.18,54100,54400,53300,887520,47699663000,8902441081600,163647814
1339,2016/06/09,56400,2000,3.68,55300,57300,55100,1539831,86932594900,9229736709600,163647814
1338,2016/06/10,56400,0,0.0,56900,57200,56100,502108,28348062000,9229736709600,163647814
1337,2016/06/13,55800,-600,-1.06,55800,56400,55500,392941,22014412100,9131548021200,163647814
1336,2016/06/14,54600,-1200,-2.15,55700,55800,54300,548243,29968460600,8935170644400,163647814
1335,2016/06/15,54200,-400,-0.73,54700,55200,53500,589932,31967814000,8869711518800,163647814
1334,2016/06/16,53600,-600,-1.11,54600,54800,53500,430753,23193787100,8771522830400,163647814
1333,2016/06/17,53900,300,0.56,53800,54500,53400,500452,27059787300,8820617174600,163647814
1332,2016/06/20,56100,2200,4.08,54800,56200,54600,691974,38553031800,9180642365400,163647814
1331,2016/06/21,55700,-400,-0.71,55500,55800,55000,399103,22139025850,9115183239800,163647814
1330,2016/06/22,54900,-800,-1.44,55600,55600,54500,501106,27482080800,8984264988600,163647814
1329,2016/06/23,55200,300,0.55,54800,55600,54400,436187,23998969100,9033359332800,163647814
1328,2016/06/24,52300,-2900,-5.25,55900,55900,52000,1291330,68782976700,8558780672200,163647814
1327,2016/06/27,52000,-300,-0.57,50900,52600,50600,832384,42956691800,8509686328000,163647814
1326,2016/06/28,53000,1000,1.92,51900,53400,51600,557900,29416358000,8673334142000,163647814
1325,2016/06/29,53700,700,1.32,53500,54200,52800,377468,20249855400,8787887611800,163647814
1324,2016/06/30,53900,200,0.37,54100,54200,53300,441219,23679359900,8820617174600,163647814
1323,2016/07/01,55100,1200,2.23,54500,55200,54100,609842,33383587200,9016994551400,163647814
1322,2016/07/04,56300,1200,2.18,54700,56300,54300,606923,33845031200,9213371928200,163647814
1321,2016/07/05,55900,-400,-0.71,56000,56500,55500,457414,25673187400,9147912802600,163647814
1320,2016/07/06,55100,-800,-1.43,55800,56600,54700,557909,30970526000,9016994551400,163647814
1319,2016/07/07,56400,1300,2.36,55500,56900,55000,725132,40780332500,9229736709600,163647814
1318,2016/07/08,56200,-200,-0.35,56900,57400,56100,642248,36377504700,9197007146800,163647814
1317,2016/07/11,55100,-1100,-1.96,56100,56600,54900,1028224,56955512400,9016994551400,163647814
1316,2016/07/12,56400,1300,2.36,55300,56700,54800,842443,46899608700,9229736709600,163647814
1315,2016/07/13,55600,-800,-1.42,56600,56900,55200,855891,47715581700,9098818458400,163647814
1314,2016/07/14,55900,300,0.54,55800,56500,55200,625935,34949905300,9147912802600,163647814
1313,2016/07/15,55600,-300,-0.54,56000,56300,55500,509023,28444248100,9098818458400,163647814
1312,2016/07/18,55400,-200,-0.36,56100,56300,55100,364989,20305673000,9066088895600,163647814
1311,2016/07/19,55100,-300,-0.54,55500,55600,54500,455834,25026511700,9016994551400,163647814
1310,2016/07/20,54300,-800,-1.45,54900,55400,54200,397794,21710038200,8886076300200,163647814
1309,2016/07/21,52800,-1500,-2.76,54400,54600,52000,1796452,94921498600,8640604579200,163647814
1308,2016/07/22,53200,400,0.76,53100,53400,52700,712108,37786198900,8706063704800,163647814
1307,2016/07/25,53400,200,0.38,53300,54100,53200,489554,26217945800,8738793267600,163647814
1306,2016/07/26,54400,1000,1.87,53200,54500,53100,520865,28188014700,8902441081600,163647814
1305,2016/07/27,56200,1800,3.31,54700,56300,54500,969776,53853288400,9197007146800,163647814
1304,2016/07/28,55000,-1200,-2.14,56000,56600,54800,796703,44179634400,9000629770000,163647814
1303,2016/07/29,53500,-1500,-2.73,55100,55500,53400,979250,52829266000,8755158049000,163647814
1302,2016/08/01,53600,100,0.19,53900,54200,53200,511517,27405496900,8771522830400,163647814
1301,2016/08/02,52900,-700,-1.31,53600,53700,52900,389732,20719874600,8656969360600,163647814
1300,2016/08/03,52700,-200,-0.38,52700,53400,52700,414150,21938083600,8624239797800,163647814
1299,2016/08/04,52500,-200,-0.38,53100,53200,52300,660223,34693854500,8591510235000,163647814
1298,2016/08/05,53500,1000,1.9,52600,53600,52600,726247,38599187900,8755158049000,163647814
1297,2016/08/08,52700,-800,-1.5,53700,53900,52500,525468,27764325400,8624239797800,163647814
1296,2016/08/09,53700,1000,1.9,53000,53900,52900,666942,35679870900,8787887611800,163647814
1295,2016/08/10,53300,-400,-0.74,53800,53800,52700,821138,43560702800,8722428486200,163647814
1294,2016/08/11,52500,-800,-1.5,53100,53100,52500,501118,26380992800,8591510235000,163647814
1293,2016/08/12,52400,-100,-0.19,52700,53100,52200,631535,33204519600,8575145453600,163647814
1292,2016/08/16,52800,400,0.76,53000,53400,52800,500438,26521760500,8640604579200,163647814
1291,2016/08/17,53400,600,1.14,53200,53500,52800,614904,32734020100,8738793267600,163647814
1290,2016/08/18,53100,-300,-0.56,53500,53700,52800,427221,22728513000,8689698923400,163647814
1289,2016/08/19,52200,-900,-1.69,53100,53200,52100,931376,48843502300,8542415890800,163647814
1288,2016/08/22,52400,200,0.38,52300,53300,52300,540501,28491959900,8575145453600,163647814
1287,2016/08/23,51500,-900,-1.72,52700,52800,51400,737608,38128481200,8427862421000,163647814
1286,2016/08/24,51100,-400,-0.78,51600,51700,51000,653161,33403358400,8362403295400,163647814
1285,2016/08/25,52100,1000,1.96,51400,52300,51400,579633,30084117000,8526051109400,163647814
1284,2016/08/26,52100,0,0.0,52100,52200,51500,354347,18406785700,8526051109400,163647814
1283,2016/08/29,51500,-600,-1.15,52100,52200,51400,353607,18267236900,8427862421000,163647814
1282,2016/08/30,52200,700,1.36,51600,52400,51600,405074,21088920900,8542415890800,163647814
1281,2016/08/31,51500,-700,-1.34,52000,53000,51500,682642,35529417700,8427862421000,163647814
1280,2016/09/01,51100,-400,-0.78,52300,52400,51000,732564,37606037700,8362403295400,163647814
1279,2016/09/02,51500,400,0.78,51500,51800,51300,495103,25504545400,8427862421000,163647814
1278,2016/09/05,53100,1600,3.11,51900,53300,51900,925082,48929874300,8689698923400,163647814
1277,2016/09/06,53900,800,1.51,53000,54000,52700,855259,45817096800,8820617174600,163647814
1276,2016/09/07,52900,-1000,-1.86,54200,54500,52800,955324,50916212900,8656969360600,163647814
1275,2016/09/08,51800,-1100,-2.08,53400,53800,51800,1192036,62600206900,8476956765200,163647814
1274,2016/09/09,51500,-300,-0.58,51900,52000,51200,684075,35158160900,8427862421000,163647814
1273,2016/09/12,51200,-300,-0.58,51800,52100,51200,875347,45047621500,8378768076800,163647814
1272,2016/09/13,50000,-1200,-2.34,51400,51600,50000,1060793,53559648800,8182390700000,163647814
1271,2016/09/19,50000,0,0.0,49950,50500,49800,638793,31968622300,8182390700000,163647814
1270,2016/09/20,49200,-800,-1.6,50100,50300,49150,1057822,52245724400,8051472448800,163647814
1269,2016/09/21,50300,1100,2.24,49250,50300,49250,831122,41453088200,8231485044200,163647814
1268,2016/09/22,49750,-550,-1.09,50700,50900,49750,699899,35106384450,8141478746500,163647814
1267,2016/09/23,50100,350,0.7,50200,50400,49900,444660,22263735250,8198755481400,163647814
1266,2016/09/26,49900,-200,-0.4,50500,50600,49900,388880,19456002800,8166025918600,163647814
1265,2016/09/27,50200,300,0.6,49850,50300,49600,412254,20584935950,8215120262800,163647814
1264,2016/09/28,49000,-1200,-2.39,50100,50200,49000,1095284,54005278500,8018742886000,163647814
1263,2016/09/29,48800,-200,-0.41,49250,49550,48700,782458,38348172850,7986013323200,163647814
1262,2016/09/30,47900,-900,-1.84,48800,49100,47850,1014013,48826184350,7838730290600,163647814
1261,2016/10/04,47350,-550,-1.15,48200,48350,47200,1161282,55120440650,7748723992900,163647814
1260,2016/10/05,48150,800,1.69,46850,48700,46850,1122116,53550591900,7879642244100,163647814
1259,2016/10/06,48600,450,0.93,48000,49050,47900,774820,37705707350,7953283760400,163647814
1258,2016/10/07,48400,-200,-0.41,49400,49450,47900,810009,39291442900,7920554197600,163647814
1257,2016/10/10,50900,2500,5.17,48700,51200,48600,1730902,86936906550,8329673732600,163647814
1256,2016/10/11,53500,2600,5.11,51600,53500,51300,2898941,152446237000,8755158049000,163647814
1255,2016/10/12,51600,-1900,-3.55,53700,54200,51500,2135115,112295551700,8444227202400,163647814
1254,2016/10/13,50200,-1400,-2.71,51900,52000,49900,1263334,63732473300,8215120262800,163647814
1253,2016/10/14,50300,100,0.2,50400,51300,50200,681536,34545571300,8231485044200,163647814
1252,2016/10/17,50000,-300,-0.6,50500,50800,50000,435232,21908512600,8182390700000,163647814
1251,2016/10/18,49900,-100,-0.2,50100,50400,49400,570624,28419690350,8166025918600,163647814
1250,2016/10/19,49900,0,0.0,50200,50700,49850,455099,22876418300,8166025918600,163647814
1249,2016/10/20,50700,800,1.6,50400,50700,49950,371101,18712594000,8296944169800,163647814
1248,2016/10/21,50300,-400,-0.79,51000,51000,50300,396235,19998607700,8231485044200,163647814
1247,2016/10/24,51300,1000,1.99,50800,51500,50700,469435,24019421600,8395132858200,163647814
1246,2016/10/25,50100,-1200,-2.34,50900,51200,50100,610553,30787521300,8198755481400,163647814
1245,2016/10/26,50300,200,0.4,50000,50300,49650,467423,23370400750,8231485044200,163647814
1244,2016/10/27,49150,-1150,-2.29,50300,50400,49050,945087,46816357050,8043290058100,163647814
1243,2016/10/28,47600,-1550,-3.15,48850,48900,47550,1476994,70835592900,7789635946400,163647814
1242,2016/10/31,47800,200,0.42,47350,48150,47000,746977,35484431850,7822365509200,163647814
1241,2016/11/01,47350,-450,-0.94,47600,47650,46950,606342,28653121750,7748723992900,163647814
1240,2016/11/02,47400,50,0.11,47150,47900,47100,548417,26049508050,7756906383600,163647814
