일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/10/14","41950","350","0.84","41750","42100","41350","614194","25677567700","3590143505500","85581490"
"2021/10/13","41600","650","1.59","40950","41600","40500","351181","14448635700","3560189984000","85581490"
"2021/10/12","40950","0","0.00","40900","41350","40150","406190","16511558250","3504562015500","85581490"
"2021/10/08","40950","-800","-1.92","42000","42050","40750","453828","18696621250","3504562015500","85581490"
"2021/10/07","41750","1550","3.86","40700","42000","40400","480224","19944379350","3573027207500","85581490"
"2021/10/06","40200","-1350","-3.25","41750","42250","40000","642424","26181053150","3440375898000","85581490"
"2021/10/05","41550","0","0.00","40850","42050","40600","488570","20180574050","3555910909500","85581490"
"2021/10/01","41550","-1200","-2.81","42500","42500","41100","428832","17860753150","3555910909500","85581490"
"2021/09/30","42750","300","0.71","42450","43150","42100","356835","15230100300","3658608697500","85581490"
"2021/09/29","42450","-800","-1.85","42200","43100","41850","579097","24486150450","3632934250500","85581490"
"2021/09/28","43250","-900","-2.04","43900","44000","43050","510776","22160304650","3701399442500","85581490"
"2021/09/27","44150","-250","-0.56","44050","44800","43650","467956","20715385850","3778422783500","85581490"
"2021/09/24","44400","-550","-1.22","45000","45400","43900","548438","24356911550","3799818156000","85581490"
"2021/09/23","44950","-1200","-2.60","45350","45450","44450","645554","28970663000","3846887975500","85581490"
"2021/09/17","46150","50","0.11","46150","46500","45400","747169","34427571900","3949585763500","85581490"
"2021/09/16","46100","1100","2.44","45800","47350","45800","1342253","62318392350","3945306689000","85581490"
"2021/09/15","45000","250","0.56","44350","45600","44100","591353","26708462850","3851167050000","85581490"
"2021/09/14","44750","250","0.56","44800","45450","44450","558870","25104502100","3829771677500","85581490"
"2021/09/13","44500","-500","-1.11","44700","45000","43650","511693","22631540950","3808376305000","85581490"
"2021/09/10","45000","800","1.81","44200","45200","43750","551039","24574181650","3851167050000","85581490"
"2021/09/09","44200","-600","-1.34","44750","45100","44200","665619","29627722050","3782701858000","85581490"
"2021/09/08","44800","-1050","-2.29","45750","45800","44600","777007","35018874600","3834050752000","85581490"
"2021/09/07","45850","450","0.99","45550","46050","45300","500949","22898916350","3923911316500","85581490"
"2021/09/06","45400","150","0.33","45400","46000","44950","689670","31412686200","3885399646000","85581490"
"2021/09/03","45250","500","1.12","45000","45600","44450","704737","31793706900","3872562422500","85581490"
"2021/09/02","44750","100","0.22","44500","44950","44000","536880","23908535450","3829771677500","85581490"
"2021/09/01","44650","-100","-0.22","44550","44950","44100","543349","24226948450","3821213528500","85581490"
"2021/08/31","44750","1050","2.40","44250","44850","43550","1219827","54060966050","3829771677500","85581490"
"2021/08/30","43700","2800","6.85","41400","44200","41400","1809128","78800808950","3739911113000","85581490"
"2021/08/27","40900","350","0.86","40450","41400","40250","534911","21785237400","3500282941000","85581490"
"2021/08/26","40550","-400","-0.98","40950","41150","40100","415158","16823609950","3470329419500","85581490"
"2021/08/25","40950","250","0.61","40950","41800","40500","458544","18816549450","3504562015500","85581490"
"2021/08/24","40700","1800","4.63","39300","40900","39300","520634","21055089350","3483166643000","85581490"
"2021/08/23","38900","400","1.04","39100","39650","38300","408149","15951371250","3329119961000","85581490"
"2021/08/20","38500","-700","-1.79","39300","39650","38350","496456","19265517650","3294887365000","85581490"
"2021/08/19","39200","-1750","-4.27","40550","40550","38950","584004","23090681850","3354794408000","85581490"
"2021/08/18","40950","550","1.36","40050","41150","40000","354696","14444610900","3504562015500","85581490"
"2021/08/17","40400","-1350","-3.23","41900","42000","39950","609886","24752241300","3457492196000","85581490"
"2021/08/13","41750","-600","-1.42","42200","42850","41150","527446","21988189150","3573027207500","85581490"
"2021/08/12","42350","200","0.47","42200","42900","42200","477966","20348580600","3624376101500","85581490"
"2021/08/11","42150","100","0.24","42150","42700","41900","396758","16739276150","3607259803500","85581490"
"2021/08/10","42050","-550","-1.29","42600","42750","41850","521260","21979802000","3598701654500","85581490"
"2021/08/09","42600","-850","-1.96","43050","43250","42550","523303","22418157850","3645771474000","85581490"
"2021/08/06","43450","-250","-0.57","43800","43950","43200","343693","14953353350","3718515740500","85581490"
"2021/08/05","43700","-350","-0.79","44000","44150","43650","295712","12963103200","3739911113000","85581490"
"2021/08/04","44050","200","0.46","43650","44150","43400","376383","16466288900","3769864634500","85581490"
"2021/08/03","43850","-50","-0.11","43700","44300","43250","460948","20126319050","3752748336500","85581490"
"2021/08/02","43900","-150","-0.34","44250","44450","43350","491155","21537679800","3757027411000","85581490"
"2021/07/30","44050","-1000","-2.22","44950","45050","43900","866785","38457896350","3769864634500","85581490"
"2021/07/29","45050","250","0.56","45200","45450","44450","866401","39039125500","3855446124500","85581490"
"2021/07/28","44800","800","1.82","44000","45400","43850","1221279","54786588700","3834050752000","85581490"
"2021/07/27","44000","400","0.92","43650","44500","43650","489402","21616033250","3765585560000","85581490"
"2021/07/26","43600","-600","-1.36","44450","44750","43600","557922","24495634200","3731352964000","85581490"
"2021/07/23","44200","-100","-0.23","44350","44600","43800","462752","20475218100","3782701858000","85581490"
"2021/07/22","44300","50","0.11","44450","44650","44050","580942","25754247100","3791260007000","85581490"
"2021/07/21","44250","600","1.37","44000","45050","43550","919630","40927674300","3786980932500","85581490"
"2021/07/20","43650","200","0.46","43000","44100","42900","606701","26464787050","3735632038500","85581490"
"2021/07/19","43450","-450","-1.03","43550","43750","43100","475178","20631334900","3718515740500","85581490"
"2021/07/16","43900","-100","-0.23","43700","44250","43550","403574","17721243850","3757027411000","85581490"
"2021/07/15","44000","-200","-0.45","44200","44550","43500","490478","21534642150","3765585560000","85581490"
"2021/07/14","44200","-100","-0.23","43950","44850","43700","657996","29166784550","3782701858000","85581490"
"2021/07/13","44300","700","1.61","44050","44400","43900","844350","37043357700","3791260007000","85581490"
"2021/07/12","43600","1550","3.69","42500","44000","42300","1061529","46148251350","3731352964000","85581490"
"2021/07/09","42050","-100","-0.24","41550","42300","41250","742274","30973062750","3598701654500","85581490"
