date,close,diff,start,high,low,volume,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2020-12-17,36100,-900,37000,37000,35800,849181,36700.0,37100.0,34873.333333333336,32935.0,36622.16165736386,36470.11640410497,35287.97018937612,33897.257984508506,98.36512261580381,97.30458221024259,103.51749187535843,109.609837558828,0.3620689655172414,58.59756494563448,186.5381643142241
2020-12-18,37200,1100,36300,37200,36050,835045,36766.666666666664,37392.857142857145,35160.0,33236.666666666664,36911.08082868219,36652.58913813132,35528.124218028446,34126.232325788784,101.17860380779693,99.48424068767908,105.80204778156997,111.92458128572862,0.26086956521739135,65.19480519480501,143.44916558609998
2020-12-21,37050,-150,37300,37300,36250,434168,36783.333333333336,37235.71428571428,35516.666666666664,33486.666666666664,36980.54041434112,36751.94260296593,35719.159342048035,34327.96211221877,100.72496601721794,99.50124688279303,104.31722196152042,110.64105116464265,0.2727272727272727,59.674082716229364,86.86306327318744
2020-12-22,35500,-1550,36850,36850,35300,917280,36583.333333333336,36785.71428571428,35763.333333333336,33673.333333333336,36240.2702071704,36438.95518170808,35691.66359103087,34408.467947040466,97.0387243735763,96.50485436893204,99.26367788237486,105.42466838249851,0.35877862595419846,29.423586219807028,-61.50856394070456
2020-12-23,35050,-450,35500,35850,34700,841510,35866.666666666664,36414.28571428572,35980.0,33805.0,35645.13510358513,36091.714913071904,35611.197440208525,34452.35088383193,97.72304832713755,96.25343271871321,97.41523068371318,103.68288714687178,0.3916349809885932,7.862340080692437,-191.8568465668984
2020-12-24,35850,800,35550,36700,35350,1034876,35466.666666666664,36250.0,36223.333333333336,33993.333333333336,35747.56755179257,36031.28599252113,35641.13180760849,34547.58456148339,101.08082706766919,98.89655172413792,98.96935676819729,105.46185526573836,0.43644067796610164,24.70843456107069,-226.4217372502785
2020-12-28,35050,-800,36200,36500,34850,1250449,35316.666666666664,35971.42857142857,36270.0,34148.333333333336,35398.78377589627,35785.96390893588,35567.0583510976,34581.694823537415,99.24492685228881,97.43844320889595,96.63633857182245,102.64044121235784,0.4798387096774193,7.085346215781068,-297.68397159322603
2020-12-29,35750,700,35050,36000,34850,673912,35550.0,35921.42857142857,36350.0,34290.0,35574.391887948135,35776.97291560932,35589.97532097916,34660.74712031869,100.56258790436006,99.5227679459137,98.34938101788171,104.2578011081948,0.43478260869565216,4.109318070151856,-294.4633733727849
2020-12-30,37800,2050,35850,38300,35750,1378490,36200.0,36007.142857142855,36596.666666666664,34505.0,36687.195943974075,36282.73036563179,35866.74900480484,34872.49521035716,104.41988950276244,104.97917079944456,103.28809545495947,109.54934067526445,0.4029304029304029,48.298270043782,-159.97840433333272
2021-01-04,38050,250,38300,38300,37250,976774,37200.0,36150.0,36790.0,34730.0,37368.59797198704,36724.54821904343,36140.10527878782,35086.196114389284,102.28494623655915,105.25587828492394,103.42484370752922,109.5594586812554,0.5045871559633027,55.06088698349889,-61.93379290518715
2021-01-05,40000,1950,38050,40550,37500,1920208,38616.666666666664,36792.857142857145,36913.333333333336,35021.666666666664,38684.29898599352,37543.411782602794,36623.28795342973,35415.76819334104,103.58221838584376,108.716754028344,108.36192884233338,114.21500975586542,0.44534412955465585,83.51080543239186,114.47790279504534
2021-01-06,39650,-350,40950,41300,39400,1289464,39233.333333333336,37450.0,36980.0,35285.0,39167.14949299677,38070.0591352039,37002.10430313885,35699.037302918085,101.06202209005947,105.87449933244326,107.22011898323419,112.37069576307212,0.4145299145299145,93.94927103420429,186.79103649881063
2021-01-07,40800,1150,40500,41500,40100,1107735,40150.0,38157.142857142855,37190.0,35581.666666666664,39983.57474649838,38752.544641282664,37477.36527920985,36039.47901586755,101.6189290161893,106.92624485211533,109.70691045980104,114.66579230877325,0.3442622950819672,101.53752050490739,283.6009458099986
2021-01-08,41750,950,41500,42600,41100,1736980,40733.333333333336,39114.28571428572,37506.666666666664,35915.0,40866.78737324919,39501.90871967637,38011.96037464147,36419.75711510617,102.49590834697217,106.73849525200876,111.31354425879844,116.24669358206879,0.3193916349809886,113.27821580957841,377.5882225706341
2021-01-11,42950,1200,42100,44350,40950,1922705,41833.333333333336,40142.857142857145,37903.333333333336,36271.666666666664,41908.3936866246,40363.93174570919,38629.73683243633,36853.721489570766,102.66932270916334,106.99288256227757,113.3145721572421,118.41198364196113,0.2453531598513011,121.73868706182276,479.79637809431983
2021-01-12,42750,-200,42850,43350,40700,1445362,42483.333333333336,40850.0,38346.666666666664,36610.0,42329.1968433123,40960.44891617044,39145.15043527424,37244.797972481676,100.6276971361318,104.65116279069768,111.48296244784423,116.77137394154602,0.2788844621513944,104.03752980081504,492.7461788079786
2021-01-13,42800,50,42950,43550,42000,894283,42833.333333333336,41528.57142857143,38720.0,36940.0,42564.59842165615,41420.33674893251,39602.30209394179,37612.58657695718,99.92217898832683,103.06157550739594,110.53719008264463,115.86356253383865,0.26907630522088355,114.08984417993996,463.68867469276074
2021-01-14,42900,100,42800,43000,42100,767442,42816.666666666664,41942.857142857145,39110.0,37313.333333333336,42732.299210828074,41790.25259898434,40014.74757998187,37962.05531211953,100.19462826002336,102.28201634877382,109.6906162106878,114.97230659281756,0.16363636363636366,106.00942094494918,411.9312658199508
2021-01-15,41900,-1000,43300,43500,41600,767287,42533.333333333336,42264.28571428572,39536.666666666664,37650.0,42316.14960541404,41817.68945131234,40250.52080095315,38221.9214850646,98.51097178683385,99.13807672807165,105.97757356040806,111.28818061088977,0.20346320346320346,90.75829133517173,278.3448883743208
2021-01-18,43100,1200,41100,44200,40850,1502862,42633.333333333336,42592.857142857145,40073.333333333336,38026.666666666664,42708.07480270702,42138.26710665976,40606.85998830506,38543.353528905005,101.09460516028146,101.19067583431158,107.55281983031108,113.34151472650773,0.19665271966527198,92.46774472364955,238.6954608311387
2021-01-19,44500,1400,44200,44500,43300,1297356,43166.666666666664,42985.71428571428,40650.0,38436.666666666664,43604.03740135351,42728.700355101275,41093.686927480936,38935.316084108585,103.0888030888031,103.5227650382187,109.47109471094711,115.77486774781025,0.12350597609561753,112.31677136874161,272.1500948487069
2021-01-20,44000,-500,45100,45200,43150,1009149,43866.666666666664,43135.71428571428,41246.666666666664,38758.333333333336,43802.01870067675,43046.525276461885,41457.096531732146,39268.15704933015,100.30395136778117,102.00364298724955,106.67528689187004,113.52397333906686,0.16599190283400808,100.65053192263476,228.9699499725375
2021-01-21,43500,-500,43800,44150,43350,664694,44000.0,43242.857142857145,41763.333333333336,39056.666666666664,43651.009350338376,43159.89396005804,41712.533557908086,39545.93150810983,98.86363636363636,100.59464816650147,104.15835262191715,111.3766322437484,0.2361111111111111,80.52429120957406,139.4860611860936
