date,close,diff,start,high,low,volume,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2020-08-18,78100,-2100,80000,80200,78000,4946279,79666.66666666667,80471.42857142857,81526.66666666667,82336.66666666667,79327.00599516743,80234.04574728041,81130.34711314476,81896.21025356931,98.03347280334728,97.0530800639091,95.79687627770053,94.85445933363022,0.711864406779661,197.92363537253095,-272.7445035893131
2020-08-19,75000,-3100,77300,78000,75000,8028305,77766.66666666667,79671.42857142857,80986.66666666667,82010.0,77163.50299758175,78925.52115117127,80360.36562641339,81418.10594123285,96.44234890698671,94.13663259817106,92.60783668093512,91.45226191927813,0.7770270270270271,272.8923476005188,-520.5264454301519
2020-08-20,71800,-3200,74400,74400,71300,7260223,74966.66666666667,78300.0,80226.66666666667,81613.33333333333,74481.75149878966,77144.12742732518,79285.81635736833,80754.49012986051,95.77590040017785,91.69859514687101,89.49642679075951,87.97582094429015,0.9245283018867924,321.9224806201545,-837.5664974203819
2020-08-21,74500,2700,72800,77000,72500,7700029,73766.66666666667,77328.57142857143,79506.66666666667,81330.0,74490.87574939482,76483.09183112845,78685.38740121995,80324.87692832679,100.99412562132851,96.34213929429151,93.7028341438873,91.60211484077216,0.7577639751552795,198.47494553376885,-817.1982257102775
2020-08-24,75500,1000,74600,77200,73700,4298619,73933.33333333333,76542.85714285714,79020.0,81086.66666666667,74995.43787469747,76237.31783062019,78285.93219348036,79994.83921891601,102.1190261496844,98.63755132512131,95.54543153631991,93.11025240483433,0.6956521739130435,144.87597588694507,-689.099017599817
2020-08-25,77000,1500,76300,77700,75400,3473488,75666.66666666667,76014.28571428571,78700.0,80886.66666666667,75997.71893734879,76427.98897967432,78124.73808080122,79790.77544533157,101.76211453744493,101.29674873144145,97.83989834815756,95.19492293744332,0.6321839080459769,93.16212402178594,-467.62144179311395
2020-08-26,78800,1800,78000,79100,77100,4741965,77100.0,75814.28571428571,78513.33333333333,80750.0,77398.85946867443,77020.99314994527,78209.35370080582,79723.50918023284,102.20492866407263,103.93819483700773,100.36511845121849,97.58513931888545,0.551912568306011,39.79689858652436,-179.41612717423732
2020-08-27,79100,300,80200,80200,78800,4223450,78300.0,75957.14285714286,78406.66666666667,80620.0,78249.42973433723,77540.74579274139,78320.92432748496,79681.32000418994,101.02171136653895,104.1376716193342,100.88427854774254,98.11461175886876,0.554945054945055,6.198560556492594,42.94731652533369
2020-08-28,77800,-1300,79500,79600,77700,2511956,78566.66666666667,76357.14285714286,78186.66666666667,80456.66666666667,78024.71486716862,77605.55943156136,78255.68607631017,79554.42168382308,99.02418328383537,101.88961646398505,99.50545702592086,96.69801549488338,0.5736842105263158,23.684759801821283,112.75555243442227
2020-08-31,75100,-2700,78200,78800,75100,5113128,77333.33333333333,76828.57142857143,77820.0,80196.66666666667,76562.3574335843,76979.1689430248,77860.57502880415,79254.8426103702,97.11206896551725,97.75009297136481,96.5047545618093,93.64478989151668,0.6507177033492823,63.75545851528387,-4.374555277471927
2020-09-01,75200,100,75200,76500,75200,2538676,76033.33333333333,76928.57142857143,77406.66666666667,79963.33333333333,75881.17871679214,76534.3763714077,77527.5235205756,78982.8816326773,98.903989478299,97.75301764159701,97.14925501679441,94.04310308891576,0.645933014354067,71.24095850002044,-57.88995107383198
2020-09-02,75500,300,75900,76400,74900,2369360,75266.66666666667,76928.57142857143,77020.0,79676.66666666667,75690.58935839609,76275.78213210826,77273.76331901162,78749.8776725967,100.31000885739591,98.1429897864438,98.02648662685017,94.75798016985316,0.631578947368421,62.96416841731517,-56.08918017946394
2020-09-03,78700,3200,77700,79700,77200,7002529,76466.66666666667,77171.42857142857,76866.66666666667,79526.66666666667,77195.29467919804,76881.83685649764,77452.23968888007,78746.54880287051,102.92066259808195,101.98074787115883,102.38508239375541,98.96051638863274,0.542016806722689,-9.628298105332636,162.1099914279937
2020-09-04,78700,0,76400,79400,76100,4582566,77633.33333333333,77157.14285714286,76733.33333333333,79403.33333333333,77947.64733959902,77336.37778716994,77608.36034655136,78743.44899983561,101.37398024903392,101.99962969820405,102.56298870547351,99.11422694261367,0.5321888412017167,-2.049377181465945,303.60373548291045
2020-09-07,78400,-300,78600,79500,77600,2786930,78600.0,77057.14285714286,76613.33333333333,79226.66666666667,78173.82366979952,77602.28340390683,77707.39890801733,78720.62524993821,99.74554707379136,101.74267704857249,102.33205708318832,98.95658027600133,0.49302325581395345,-16.770354341357866,370.06936990586064
2020-09-08,79400,1000,78700,80000,78200,3380355,78833.33333333333,77285.71428571429,76700.0,79113.33333333333,78786.91183489974,78051.7126334623,77919.13043862779,78765.68544975114,100.7188160676533,102.73567467652495,103.52020860495436,100.36234937220866,0.38659793814432986,-40.701096815271065,466.9206913396249
2020-09-09,77300,-2100,77900,78400,77200,3918435,78366.66666666667,77600.0,76853.33333333333,78920.0,78043.45591744987,77863.78444984092,77841.68908244123,78668.64804166163,98.6388770735857,99.61340206185567,100.58119361554476,97.94728839330969,0.34972677595628415,-1.0363077834112424,381.56515233149844
2020-09-10,76600,-700,78000,78200,76600,3541520,77766.66666666667,77800.0,77173.33333333333,78700.0,77321.72795872494,77547.83830553551,77686.3901218611,78531.9218663516,98.49978568366909,98.45758354755783,99.25708362128543,97.33163913595934,0.4355828220858896,8.551903180239435,273.7321066259526
2020-09-11,78400,1800,76700,78500,76300,2831262,77433.33333333333,78214.28571428571,77433.33333333333,78470.0,77860.86397936248,77760.87874525638,77775.63551823306,78523.2163020906,101.24838570813604,100.23744292237444,101.24838570813604,99.9107939339875,0.4152046783625731,-15.429635541367224,314.503682183818
2020-09-14,80000,1600,79100,80100,78900,4099644,78333.33333333333,78400.0,77733.33333333333,78376.66666666667,78930.43198968124,78320.65909067966,78053.80151855777,78620.52625740923,102.1276595744681,102.04081632653062,102.91595197255576,102.07119465827415,0.4127906976744186,-87.35203046061318,433.01604990830765
2020-09-15,81900,1900,81300,82100,80200,5899410,80100.0,78857.14285714286,78060.0,78380.0,80415.21599484062,79215.49435606,78534.75854259459,78836.32400772169,102.24719101123596,103.85869565217392,104.91929285165259,104.4909415667262,0.41040462427745666,-179.70148152248143,612.0790074080389
2020-09-16,81500,-400,81700,82400,80500,3119110,81133.33333333333,79300.0,78240.0,78376.66666666667,80957.6079974203,79786.62078525912,78905.5366376093,79011.37550215467,100.45193097781431,102.77427490542243,104.16666666666667,103.98502955811676,0.4310344827586207,-249.76358379941126,672.9554647303488
2020-09-17,82200,700,81900,82900,81200,4055050,81866.66666666667,79700.0,78446.66666666667,78426.66666666667,81578.80399871015,80389.96560337555,79317.46404250435,79220.67401688345,100.4071661237785,103.13676286072773,104.78456700943315,104.81128867732063,0.369047619047619,-675.5218216318774,724.6226462411365
2020-09-18,83700,1500,82900,83900,82200,5199334,82466.66666666667,80614.28571428571,78840.0,78513.33333333333,82639.40199935508,81217.47421737634,79865.42011089747,79514.36323366432,101.49555375909458,103.82775119617224,106.16438356164383,106.60609662902267,0.22435897435897437,2172.584956090124,816.8367632268946
2020-09-21,84500,800,83700,85000,83600,4102947,83466.66666666667,81742.85714285714,79466.66666666667,78643.33333333333,83569.70099967753,82038.10567407323,80444.8712809264,79840.90630404187,101.23801916932906,103.37294652219504,106.33389261744965,107.44712414699276,0.2147239263803681,545.3932962775825,883.4724631516842
2020-09-22,81300,-3200,84400,84800,80200,4139983,83166.66666666667,82157.14285714286,79873.33333333333,78640.0,82434.85049983877,81853.57925369294,80551.78314582333,79936.37859485787,97.75551102204409,98.95670318205529,101.7861614222519,103.382502543235,0.3489583333333333,196.74950554647887,675.0480921997498
2020-09-23,83600,2300,82300,84800,80500,4439085,83133.33333333333,82671.42857142857,80413.33333333333,78716.66666666667,83017.42524991938,82290.18444357393,80932.8750493372,80175.87936543765,100.56134723336008,101.12320718852601,103.96285856408556,106.20368409908956,0.366120218579235,191.5593313236511,652.3315678858288
