date,close,diff,start,high,low,volume
2018-07-24,335000,3000,333500,337000,332500,26832
2018-07-25,335000,0,337000,337000,333000,22805
2018-07-26,334000,-1000,337500,338500,332500,25858
2018-07-27,334500,500,336500,336500,331500,17499
2018-07-30,334500,0,333000,337000,332000,17031
2018-07-31,338000,3500,334500,339500,334500,27265
2018-08-01,342500,4500,339500,343500,337500,33469
2018-08-02,339500,-3000,341500,344000,339000,26354
2018-08-03,344000,4500,340000,348000,336000,37388
2018-08-06,347000,3000,342500,348000,342500,18771
2018-08-07,343500,-3500,344000,346500,340500,24760
2018-08-08,339500,-4000,342500,344000,338000,21663
2018-08-09,341500,2000,344500,345000,338000,40712
2018-08-10,354000,12500,343500,354500,343500,67825
2018-08-13,349000,-5000,353000,353500,344000,32763
2018-08-14,344500,-4500,348000,348000,342000,30608
2018-08-16,339500,-5000,341000,342000,333500,30912
2018-08-17,340500,1000,339500,342500,335500,17403
2018-08-20,337000,-3500,343500,344500,334500,28499
2018-08-21,337000,0,335000,339000,333500,23772
2018-08-22,337500,500,337000,339000,335000,21903
2018-08-23,337500,0,339000,340000,335500,20326
2018-08-24,338500,1000,339000,341000,337000,22804
2018-08-27,341000,2500,340000,341500,337000,24318
2018-08-28,349000,8000,342000,349500,340000,34676
2018-08-29,343000,-6000,348500,348500,342500,23094
2018-08-30,339500,-3500,344000,345500,338000,25832
2018-08-31,342500,3000,339500,342500,335500,29981
2018-09-03,345000,2500,341000,345000,338000,19546
2018-09-04,337000,-8000,345000,345000,337000,35976
2018-09-05,334000,-3000,335500,339500,333500,25376
2018-09-06,332500,-1500,334000,336500,332500,16078
2018-09-07,332500,0,336000,337500,330000,23742
2018-09-10,333500,1000,330500,335000,330500,20109
2018-09-11,328000,-5500,333500,333500,326500,34536
2018-09-12,326500,-1500,330000,330500,322000,54390
2018-09-13,332000,5500,328500,334000,326000,51720
2018-09-14,327500,-4500,332000,334500,327000,38632
2018-09-17,327500,0,327500,329000,324000,26778
2018-09-18,325500,-2000,325500,328000,324000,31388
2018-09-19,325500,0,325000,328000,324500,27112
2018-09-20,328000,2500,324500,330000,324500,25201
2018-09-21,331000,3000,332000,332000,328500,39426
2018-09-27,330500,-500,333000,335000,328500,39353
2018-09-28,333500,3000,332000,334000,329500,35012
2018-10-01,331500,-2000,331500,333500,330000,21988
2018-10-02,329000,-2500,330500,335000,328500,35016
2018-10-04,327000,-2000,330500,332000,325500,36508
2018-10-05,327000,0,328500,328500,324000,28022
2018-10-08,330000,3000,328500,331000,327000,30401
2018-10-10,325000,-5000,330500,331500,323500,57580
2018-10-11,312000,-13000,315500,321500,308000,64661
2018-10-12,317500,5500,315000,322500,308000,40087
2018-10-15,322000,4500,317500,325000,313500,26163
2018-10-16,331500,9500,323500,333000,323000,40204
2018-10-17,333000,1500,334500,334500,330000,24978
2018-10-18,333000,0,331000,335500,330500,14690
2018-10-19,335500,2500,329000,338000,328500,34261
2018-10-22,341500,6000,332500,342500,332500,34054
2018-10-23,335500,-6000,338000,341500,334000,25557
2018-10-24,343000,7500,340000,343000,334500,45707
2018-10-25,338500,-4500,340000,340500,331000,31961
2018-10-26,333000,-5500,335000,339500,328000,32672
2018-10-29,335500,2500,330000,341000,330000,51524
2018-10-30,327500,-8000,335000,338500,323000,34096
2018-10-31,324000,-3500,325000,329500,320000,49161
2018-11-01,318000,-6000,322000,325500,318000,43440
2018-11-02,326500,8500,318000,328000,318000,28573
2018-11-05,326000,-500,324500,326000,320500,16120
2018-11-06,330000,4000,328500,330000,325500,21813
2018-11-07,335000,5000,329000,341000,329000,50127
2018-11-08,333000,-2000,338000,341000,333000,31964
2018-11-09,343000,10000,334000,344000,334000,57026
2018-11-12,347000,4000,341000,347500,339000,40139
2018-11-13,347000,0,344500,347500,339500,32283
2018-11-14,341500,-5500,344500,346000,340000,22503
2018-11-15,361500,20000,339000,362500,338000,82231
2018-11-16,351000,-10500,362000,364500,349500,61807
2018-11-19,352500,1500,352000,354500,348000,28434
2018-11-20,347500,-5000,350000,355000,345500,31297
2018-11-21,352000,4500,345000,353500,341000,32750
2018-11-22,347000,-5000,350000,352000,344500,27463
2018-11-23,347000,0,346500,349500,340500,31417
2018-11-26,344500,-2500,347000,350500,343500,36682
2018-11-27,341000,-3500,344500,347500,339000,33125
2018-11-28,341500,500,341000,342500,336500,24091
2018-11-29,342000,500,344500,346000,338500,29405
2018-11-30,336000,-6000,342000,342000,334000,52423
2018-12-03,336000,0,339000,340500,334000,27966
2018-12-04,340000,4000,337000,341000,336000,23286
2018-12-05,345000,5000,338000,348000,336500,44483
2018-12-06,343000,-2000,348000,348000,340000,28424
2018-12-07,340500,-2500,343500,344500,337500,31348
2018-12-10,349000,8500,336000,352500,336000,63002
2018-12-11,348000,-1000,347000,351000,346000,33982
2018-12-12,350500,2500,350000,351000,346500,28963
2018-12-13,351000,500,350500,351000,347500,49270
2018-12-14,347000,-4000,351000,351000,344000,19788
2018-12-17,345000,-2000,349000,355000,343000,29854
2018-12-18,342500,-2500,345000,350000,339000,29422
2018-12-19,341500,-1000,342500,346000,338500,31093
2018-12-20,335500,-6000,341000,341000,329000,38793
2018-12-21,332500,-3000,338500,339000,330000,57708
2018-12-24,333000,500,334000,334500,330500,23168
2018-12-26,326000,-7000,329500,332000,325000,25311
2018-12-27,325500,-500,328000,330000,324500,25354
2018-12-28,330500,5000,324500,335000,324500,33651
2019-01-02,331000,500,330500,334500,326500,36351
2019-01-03,328000,-3000,331500,331500,326000,22538
2019-01-04,342000,14000,329500,345000,326500,51429
2019-01-07,340500,-1500,342000,343500,338000,21483
2019-01-08,335500,-5000,342000,342000,333500,20033
2019-01-09,337500,2000,337000,339500,333500,23993
2019-01-10,337000,-500,337000,342500,337000,21544
2019-01-11,334500,-2500,337500,340000,333000,36435
2019-01-14,343000,8500,335000,347000,334000,53863
2019-01-15,338500,-4500,343000,344000,338000,26389
2019-01-16,338000,-500,338000,340500,336000,27367
2019-01-17,340500,2500,338000,341500,337000,24607
2019-01-18,341500,1000,340500,341500,336000,24459
2019-01-21,341500,0,342500,342500,339500,19186
2019-01-22,340000,-1500,339500,341500,336500,23884
2019-01-23,339500,-500,340000,341500,338500,25336
2019-01-24,338500,-1000,338000,342000,336000,25064
2019-01-25,335500,-3000,336000,340000,335000,35318
2019-01-28,333000,-2500,335500,336500,332000,41393
2019-01-29,333500,500,333500,335500,331500,18657
2019-01-30,333500,0,335500,335500,330000,36757
2019-01-31,342500,9000,335000,344000,330500,72702
2019-02-01,335000,-7500,342000,343000,335000,42812
2019-02-07,340000,5000,337000,341000,335000,29909
2019-02-08,340000,0,340000,340500,336500,24380
2019-02-11,338000,-2000,340000,340500,336500,19458
2019-02-12,332000,-6000,339500,340000,331500,44392
2019-02-13,333500,1500,333000,335000,331000,30438
2019-02-14,339500,6000,332500,339500,331000,41054
2019-02-15,336500,-3000,339500,341000,333000,31378
2019-02-18,335500,-1000,340000,340000,334000,36448
2019-02-19,334000,-1500,336000,338000,333500,27977
2019-02-20,335000,1000,334000,335500,333000,49013
2019-02-21,332500,-2500,334500,334500,332000,28239
2019-02-22,331500,-1000,333500,334500,330000,36421
2019-02-25,330500,-1000,331500,333000,329000,42795
2019-02-26,328000,-2500,332500,332500,327500,43403
2019-02-27,323500,-4500,329000,330000,320500,120238
2019-02-28,322000,-1500,324000,325000,321000,74343
2019-03-04,321500,-500,323000,325000,320500,51229
2019-03-05,321000,-500,321500,322000,319000,47184
2019-03-06,325000,4000,322000,326000,321000,48242
2019-03-07,321000,-4000,326500,326500,319500,48150
2019-03-08,322500,1500,322500,324500,320000,42713
2019-03-11,328500,6000,324500,328500,322500,46010
2019-03-12,326500,-2000,329000,329000,324500,35549
2019-03-13,327000,500,325000,327500,323000,20624
2019-03-14,327000,0,328000,328500,325000,32776
2019-03-15,329000,2000,326000,329500,325500,63650
2019-03-18,331000,2000,329000,331000,329000,29512
2019-03-19,333000,2000,331000,333000,329500,30670
2019-03-20,330000,-3000,332000,333000,328000,18275
2019-03-21,328000,-2000,330000,331000,326500,22790
2019-03-22,326000,-2000,326000,327500,324500,26490
2019-03-25,321000,-5000,322000,324000,320000,24882
2019-03-26,324500,3500,324000,327500,321500,27200
2019-03-27,327500,3000,326000,328000,324500,30000
2019-03-28,322000,-5500,325000,327000,321000,23688
2019-03-29,323000,1000,322500,325000,320000,29480
2019-04-01,324500,1500,326500,328500,324000,27146
2019-04-02,326000,1500,324500,327500,323500,22763
2019-04-03,326000,0,323500,327500,323500,28687
2019-04-04,325000,-1000,326000,326500,323500,23028
2019-04-05,322500,-2500,325000,325000,322500,19792
2019-04-08,328500,6000,324500,330000,324500,33894
2019-04-09,329000,500,328000,330000,326500,23311
2019-04-10,329500,500,326500,330500,326500,23699
2019-04-11,324500,-5000,329500,331000,323000,51075
2019-04-12,326500,2000,324000,327500,324000,25974
2019-04-15,325500,-1000,325500,327000,324000,29726
2019-04-16,324500,-1000,327000,328500,323500,29213
2019-04-17,320500,-4000,324500,324500,320000,60390
2019-04-18,318000,-2500,323000,323000,315500,65358
2019-04-19,315500,-2500,318000,318500,314000,49442
2019-04-22,316000,500,316000,317500,313500,33428
2019-04-23,317500,1500,318000,319000,315000,27293
2019-04-24,317000,-500,318500,318500,314000,35384
2019-04-25,314000,-3000,317000,317500,313000,27940
2019-04-26,315500,1500,315000,316500,312000,26967
2019-04-29,317500,2000,315000,317500,314000,20910
2019-04-30,315000,-2500,318000,318000,313500,18087
2019-05-02,314000,-1000,313000,315500,312500,20497
2019-05-03,309500,-4500,313500,313500,309500,37968
2019-05-07,312000,2500,309000,312000,308000,25772
2019-05-08,310500,-1500,309000,313000,309000,22794
2019-05-09,306000,-4500,310000,313000,306000,38992
2019-05-10,300000,-6000,308500,308500,299000,48574
2019-05-13,298500,-1500,299000,300500,297500,28126
2019-05-14,288500,-10000,295500,295500,286500,109064
2019-05-15,285500,-3000,291000,291000,284000,75120
2019-05-16,286500,1000,286500,288500,285000,45620
2019-05-17,280000,-6500,286500,288000,279500,51179
2019-05-20,283000,3000,280000,285500,279500,28261
2019-05-21,283500,500,283500,285500,282000,21153
2019-05-22,278000,-5500,284000,286500,278000,34044
2019-05-23,285000,7000,278500,285000,276000,31896
2019-05-24,279500,-5500,284500,285500,278000,26185
2019-05-27,276500,-3000,279500,280500,273500,29389
2019-05-28,284500,8000,279000,286500,277500,67332
2019-05-29,282500,-2000,285500,286500,279000,19861
2019-05-30,279000,-3500,282000,282000,277000,32453
2019-05-31,280500,1500,277000,282000,277000,28019
2019-06-03,280000,-500,280500,282000,278000,23101
2019-06-04,282000,2000,282000,285500,279500,20942
2019-06-05,282000,0,282500,284000,280000,17866
2019-06-07,280000,-2000,281500,282500,278500,21458
2019-06-10,285000,5000,281500,285500,280000,22772
2019-06-11,284000,-1000,284000,285500,282500,22826
2019-06-12,285000,1000,286000,286000,283500,22023
2019-06-13,288000,3000,286000,288000,281000,39712
2019-06-14,294000,6000,286000,294000,283000,50829
2019-06-17,289000,-5000,294000,294000,288500,29117
2019-06-18,295500,6500,289500,295500,289500,32169
2019-06-19,297500,2000,295000,299500,292500,36179
2019-06-20,298000,500,296000,298500,296000,26386
2019-06-21,301500,3500,296500,301500,296000,37798
2019-06-24,300500,-1000,302000,302000,297500,73162
2019-06-25,301500,1000,301000,302500,298000,30310
2019-06-26,297000,-4500,299500,300000,297000,22918
2019-06-27,298000,1000,296000,300000,295500,25794
2019-06-28,297000,-1000,298500,298500,293500,32758
2019-07-01,298000,1000,298500,299500,294500,18540
