date,close,diff,start,high,low,volume
2005-01-03,27500,-1000,28100,28450,27300,198889
2005-01-04,27250,-250,27400,28050,27050,158144
2005-01-05,27800,550,26850,28050,26550,195590
2005-01-06,27900,100,28400,29350,27900,261114
2005-01-07,27900,0,27950,28600,27900,201838
2005-01-10,27650,-250,27600,28100,27100,215941
2005-01-11,27400,-250,27400,27650,27150,219310
2005-01-12,26750,-650,27700,27700,26500,260168
2005-01-13,27050,300,26550,27250,26550,295795
2005-01-14,26800,-250,26950,27350,26300,284050
2005-01-17,26600,-200,26700,26800,26150,325240
2005-01-18,26700,100,26700,27200,26400,279967
2005-01-19,27000,300,26800,27150,26600,304725
2005-01-20,27300,300,27100,27550,26900,464057
2005-01-21,26700,-600,27500,27550,26650,255696
2005-01-24,26650,-50,26500,26750,26350,162431
2005-01-25,26600,-50,26750,26900,26350,260260
2005-01-26,27800,1200,26850,27850,26600,189794
2005-01-27,28350,550,28150,28700,28100,333581
2005-01-28,28600,250,28050,28700,27500,158110
2005-01-31,28600,0,28600,28800,28400,199756
2005-02-01,27600,-1000,28600,28600,27600,95936
2005-02-02,27400,-200,27600,27950,27000,105036
2005-02-03,27000,-400,27800,27800,26950,124679
2005-02-04,26750,-250,27000,27000,26550,262324
2005-02-07,27150,400,27100,27200,26800,253331
2005-02-11,27900,750,27050,27900,26800,241285
2005-02-14,28000,100,28000,28200,27600,158451
2005-02-15,27500,-500,27500,28200,27450,211690
2005-02-16,27600,100,27600,28050,27150,282925
2005-02-17,29200,1600,28000,29200,28000,440360
2005-02-18,29400,200,29250,29400,28800,146237
2005-02-21,28600,-800,29400,29400,28500,182996
2005-02-22,27700,-900,28600,28600,27700,234880
2005-02-23,28300,600,27700,28300,27300,143473
2005-02-24,28600,300,28700,28750,28200,148358
2005-02-25,28300,-300,28950,28950,27850,263250
2005-02-28,28050,-250,28050,28400,27950,244557
2005-03-02,28200,150,27800,28700,27700,296536
2005-03-03,28600,400,28500,28700,28400,201993
2005-03-04,28500,-100,28950,28950,28150,139342
2005-03-07,28900,400,29050,29200,28700,395940
2005-03-08,28750,-150,29000,29100,28750,89332
2005-03-09,28800,50,28850,28950,28500,202132
2005-03-10,28800,0,29150,29350,28700,280470
2005-03-11,29000,200,29150,29150,28600,136822
2005-03-14,29300,300,29250,29500,29100,163260
2005-03-15,29350,50,29550,29550,29050,205400
2005-03-16,29350,0,29300,29500,29000,151902
2005-03-17,29500,150,29300,29550,29200,186469
2005-03-18,29300,-200,29650,30650,29300,247277
