date,close,diff,start,high,low,volume
2020-10-26,27950,-350,28300,28500,27700,522618
2020-10-27,28000,50,27650,28000,27300,578641
2020-10-28,28550,550,27750,28700,27500,596559
2020-10-29,27300,-1250,27900,28050,27050,626704
2020-10-30,26700,-600,27350,27550,26450,573396
2020-11-02,27800,1100,26700,28100,26700,472993
2020-11-03,28550,750,27850,28700,27800,655619
2020-11-04,28100,-450,28750,28850,27700,431851
2020-11-05,28600,500,28100,28700,27950,480420
2020-11-06,28150,-450,28650,28700,28150,277082
2020-11-09,29550,1400,28400,29550,28250,916458
2020-11-10,29900,350,29900,30050,29150,742232
2020-11-11,31100,1200,30000,31350,29800,968952
2020-11-12,30200,-900,30900,30950,30100,646151
2020-11-13,30400,200,30000,30750,29900,472556
2020-11-16,31500,1100,30900,31800,30400,700264
2020-11-17,31350,-150,31550,32050,31050,440973
2020-11-18,31300,-50,31200,31500,30750,351384
2020-11-19,31250,-50,31200,31250,30500,474810
2020-11-20,31750,500,31900,32000,31300,461483
2020-11-23,31900,150,31750,31900,31300,404416
2020-11-24,31750,-150,32000,32100,31500,489368
2020-11-25,32250,500,32000,32950,31700,1126298
2020-11-26,32600,350,32800,32800,31650,405391
2020-11-27,32900,300,32600,33300,32250,359274
2020-11-30,31700,-1200,32900,33100,31550,834386
2020-12-01,31800,100,31750,32050,31200,399045
2020-12-02,31800,0,32000,32050,31200,466071
2020-12-03,32200,400,31600,32350,31200,854837
2020-12-04,34350,2150,32650,34850,32200,1718281
2020-12-07,34550,200,35000,35050,33600,1399592
2020-12-08,34100,-450,34550,34550,33700,531837
2020-12-09,35150,1050,34550,35450,33950,921779
2020-12-10,38150,3000,35100,38150,34700,2081867
2020-12-11,38650,500,38900,39550,37600,1309439
2020-12-14,37650,-1000,38300,38400,37500,866075
2020-12-15,37000,-650,37600,37850,36250,816168
2020-12-16,37000,0,37150,37400,36650,474760
2020-12-17,36100,-900,37000,37000,35800,849181
2020-12-18,37200,1100,36300,37200,36050,835045
2020-12-21,37050,-150,37300,37300,36250,434168
2020-12-22,35500,-1550,36850,36850,35300,917280
2020-12-23,35050,-450,35500,35850,34700,841510
2020-12-24,35850,800,35550,36700,35350,1034876
2020-12-28,35050,-800,36200,36500,34850,1250449
2020-12-29,35750,700,35050,36000,34850,673912
2020-12-30,37800,2050,35850,38300,35750,1378490
2021-01-04,38050,250,38300,38300,37250,976774
2021-01-05,40000,1950,38050,40550,37500,1920208
2021-01-06,39650,-350,40950,41300,39400,1289464
2021-01-07,40800,1150,40500,41500,40100,1107735
2021-01-08,41750,950,41500,42600,41100,1736980
2021-01-11,42950,1200,42100,44350,40950,1922705
2021-01-12,42750,-200,42850,43350,40700,1445362
2021-01-13,42800,50,42950,43550,42000,894283
2021-01-14,42900,100,42800,43000,42100,767442
2021-01-15,41900,-1000,43300,43500,41600,767287
2021-01-18,43100,1200,41100,44200,40850,1502862
2021-01-19,44500,1400,44200,44500,43300,1297356
2021-01-20,44000,-500,45100,45200,43150,1009149
2021-01-21,43500,-500,43800,44150,43350,664694
2021-01-22,42550,-950,44000,44100,42450,975631
2021-01-25,42300,-250,42650,43200,41650,1160428
2021-01-26,41500,-800,42800,42800,41300,1056251
2021-01-27,41150,-350,41600,42300,40850,913589
2021-01-28,40100,-1050,39950,41300,39650,1022991
2021-01-29,38150,-1950,40200,40450,37850,1303011
2021-02-01,41750,3600,38200,42000,37550,1327909
2021-02-02,42050,300,42450,42750,40750,1073207
2021-02-03,43000,950,42800,43200,41900,1216208
2021-02-04,40950,-2050,43800,43800,40500,1980674
2021-02-05,40300,-650,41100,41100,39350,1209654
2021-02-08,40150,-150,40300,40900,39850,690908
2021-02-09,39800,-350,40300,40500,39700,645147
2021-02-10,40700,900,39800,40700,38850,776556
2021-02-15,40000,-700,40800,40800,39900,606408
2021-02-16,40000,0,40050,40250,39550,545738
2021-02-17,39400,-600,39850,39850,39000,792894
2021-02-18,38400,-1000,39200,39600,38400,695396
2021-02-19,38450,50,38400,38750,37250,727610
2021-02-22,37700,-750,38450,38600,37650,789715
2021-02-23,37850,150,37700,38300,37250,694437
2021-02-24,36350,-1500,37850,38000,36300,878863
2021-02-25,37750,1400,37050,37750,36750,916648
2021-02-26,36350,-1400,36400,36900,35900,911006
2021-03-02,37000,650,37000,37200,36350,718560
2021-03-03,37500,500,36700,37550,36600,446769
2021-03-04,36450,-1050,37150,37150,35950,810717
2021-03-05,36000,-450,35950,36150,35400,549052
2021-03-08,36350,350,36500,37400,36200,576770
2021-03-09,38000,1650,36600,38000,36300,1279560
2021-03-10,37050,-950,38500,38500,36700,1051091
2021-03-11,38050,1000,37300,38550,37200,1371296
2021-03-12,39050,1000,38700,39150,38300,1081889
2021-03-15,40350,1300,39300,41150,38900,1999652
2021-03-16,40850,500,40900,41250,40400,884835
2021-03-17,40750,-100,41000,41050,39850,795811
2021-03-18,40650,-100,41100,41750,40600,803809
2021-03-19,40500,-150,40150,41000,39700,823966
2021-03-22,40800,300,40800,41000,40400,799870
2021-03-23,42200,1400,41050,43500,41050,3365817
2021-03-24,42250,50,42250,42350,41000,1196899
2021-03-25,42250,0,41900,42550,41550,1040241
2021-03-26,43450,1200,42650,43650,42650,1424298
2021-03-29,44250,800,44000,44950,43600,1837509
2021-03-30,42900,-1350,44850,45000,42550,1949741
2021-03-31,43000,100,42900,43700,42200,1020695
2021-04-01,41700,-1300,43400,43400,41500,1600795
2021-04-02,41850,150,41950,42150,40850,1422215
2021-04-05,42300,450,41800,42800,41550,1303449
2021-04-06,42300,0,42750,43100,42100,1159491
2021-04-07,42650,350,42650,42700,41850,782594
2021-04-08,45400,2750,43100,45900,42400,4408925
2021-04-09,45450,50,45650,46350,44700,1911508
2021-04-12,44750,-700,45600,45650,44150,1092795
2021-04-13,43700,-1050,45000,45000,43400,1577508
2021-04-14,44000,300,43700,44250,43300,801091
2021-04-15,44150,150,44050,44650,43750,658721
2021-04-16,44850,700,44650,45400,44300,1021858
2021-04-19,45500,650,45250,45650,44900,774708
2021-04-20,46000,500,45500,46300,45450,936558
2021-04-21,46000,0,45750,46550,45400,1146355
2021-04-22,46100,100,46400,46450,45900,570776
2021-04-23,46250,150,45900,46400,45450,675512
2021-04-26,47450,1200,46500,47450,46200,882220
2021-04-27,48300,850,47600,48400,46750,949898
2021-04-28,47050,-1250,48500,48850,46550,1165353
2021-04-29,46800,-250,46150,47800,45750,1510795
2021-04-30,44150,-2650,46850,46900,44150,1429768
2021-05-03,43500,-650,43600,44700,43100,1067147
2021-05-04,43250,-250,43400,43650,42300,848264
2021-05-06,44950,1700,43250,45200,42850,941209
2021-05-07,45650,700,45300,46150,45100,665741
2021-05-10,46100,450,46300,46300,45550,579507
2021-05-11,46250,150,45750,46450,45300,572929
2021-05-12,43850,-2400,45800,46000,43450,1404383
2021-05-13,43450,-400,42750,44300,42450,906254
2021-05-14,43450,0,43850,44000,43200,455864
2021-05-17,42800,-650,43450,43750,42400,703595
2021-05-18,44200,1400,43150,44350,42900,679771
2021-05-20,44400,200,43500,44500,43500,416595
2021-05-21,43700,-700,44400,44850,43200,557360
2021-05-24,43600,-100,43450,44200,43050,425391
2021-05-25,43150,-450,44050,44100,42500,845142
2021-05-26,43350,200,43200,43500,42850,544752
2021-05-27,44350,1000,43550,44800,43200,1581588
2021-05-28,44400,50,44550,44550,43700,670615
2021-05-31,44750,350,44100,45100,43250,930694
2021-06-01,44850,100,44900,45100,44350,615245
2021-06-02,45400,550,44850,46050,44500,1089530
2021-06-03,44800,-600,45600,45650,44050,821360
2021-06-04,44800,0,44500,45700,44250,578364
2021-06-07,44950,150,45000,45050,44350,735431
2021-06-08,44450,-500,44950,45550,44250,1063261
2021-06-09,42800,-1650,44500,44550,42600,1508686
2021-06-10,42650,-150,42900,43150,41900,1086132
2021-06-11,43100,450,42800,43200,42550,407179
2021-06-14,42850,-250,43100,43100,42600,262843
2021-06-15,42500,-350,42850,43150,42400,389501
2021-06-16,42500,0,42500,42950,42400,591699
2021-06-17,42150,-350,42300,42500,41950,607615
2021-06-18,42000,-150,42200,42300,41800,501165
2021-06-21,41300,-700,41800,41900,40650,987458
2021-06-22,41900,600,41400,42000,41300,449967
2021-06-23,41350,-550,42100,42400,41250,525234
2021-06-24,41500,150,41400,41700,41000,791586
