date,close,diff,start,high,low,volume
2016-05-09,56100,-3400,59000,59100,56000,1740941
2016-05-10,57000,900,55800,57600,55500,1156886
2016-05-11,55200,-1800,57500,57600,54500,2075526
2016-05-12,54300,-900,55000,55300,54100,1520491
2016-05-13,53700,-600,54600,54900,53600,1019051
2016-05-16,54600,900,53800,55000,53800,590167
2016-05-17,54400,-200,55000,55300,54300,465300
2016-05-18,53900,-500,54400,55200,53700,799045
2016-05-19,54000,100,54100,54500,53600,531879
2016-05-20,51900,-2100,54000,54200,51500,1775509
2016-05-23,52800,900,52200,53300,52200,739639
2016-05-24,53000,200,52900,53700,52800,519211
2016-05-25,53000,0,53600,53700,52600,637123
2016-05-26,53400,400,53200,54600,53000,638944
2016-05-27,55600,2200,54000,55800,53900,1153816
2016-05-30,55700,100,56100,56400,55000,767791
2016-05-31,56100,400,56300,56500,55300,933757
2016-06-01,56100,0,56100,57000,56000,544499
2016-06-02,54500,-1600,55900,56000,54400,647427
2016-06-03,54500,0,54300,55400,53500,562951
2016-06-07,54300,-200,54600,55200,54100,655930
2016-06-08,54400,100,54100,54400,53300,887520
2016-06-09,56400,2000,55300,57300,55100,1539831
2016-06-10,56400,0,56900,57200,56100,502108
2016-06-13,55800,-600,55800,56400,55500,392941
2016-06-14,54600,-1200,55700,55800,54300,548243
2016-06-15,54200,-400,54700,55200,53500,589932
2016-06-16,53600,-600,54600,54800,53500,430753
2016-06-17,53900,300,53800,54500,53400,500452
2016-06-20,56100,2200,54800,56200,54600,691974
2016-06-21,55700,-400,55500,55800,55000,399103
2016-06-22,54900,-800,55600,55600,54500,501106
2016-06-23,55200,300,54800,55600,54400,436187
2016-06-24,52300,-2900,55900,55900,52000,1291330
2016-06-27,52000,-300,50900,52600,50600,832384
2016-06-28,53000,1000,51900,53400,51600,557900
2016-06-29,53700,700,53500,54200,52800,377468
2016-06-30,53900,200,54100,54200,53300,441219
2016-07-01,55100,1200,54500,55200,54100,609842
2016-07-04,56300,1200,54700,56300,54300,606923
2016-07-05,55900,-400,56000,56500,55500,457414
2016-07-06,55100,-800,55800,56600,54700,557909
2016-07-07,56400,1300,55500,56900,55000,725132
2016-07-08,56200,-200,56900,57400,56100,642248
2016-07-11,55100,-1100,56100,56600,54900,1028224
2016-07-12,56400,1300,55300,56700,54800,842443
2016-07-13,55600,-800,56600,56900,55200,855891
2016-07-14,55900,300,55800,56500,55200,625935
2016-07-15,55600,-300,56000,56300,55500,509023
2016-07-18,55400,-200,56100,56300,55100,364989
2016-07-19,55100,-300,55500,55600,54500,455834
2016-07-20,54300,-800,54900,55400,54200,397794
2016-07-21,52800,-1500,54400,54600,52000,1796452
2016-07-22,53200,400,53100,53400,52700,712108
2016-07-25,53400,200,53300,54100,53200,489554
2016-07-26,54400,1000,53200,54500,53100,520865
2016-07-27,56200,1800,54700,56300,54500,969776
2016-07-28,55000,-1200,56000,56600,54800,796703
2016-07-29,53500,-1500,55100,55500,53400,979250
2016-08-01,53600,100,53900,54200,53200,511517
2016-08-02,52900,-700,53600,53700,52900,389732
2016-08-03,52700,-200,52700,53400,52700,414150
2016-08-04,52500,-200,53100,53200,52300,660223
2016-08-05,53500,1000,52600,53600,52600,726247
2016-08-08,52700,-800,53700,53900,52500,525468
2016-08-09,53700,1000,53000,53900,52900,666942
2016-08-10,53300,-400,53800,53800,52700,821138
2016-08-11,52500,-800,53100,53100,52500,501118
2016-08-12,52400,-100,52700,53100,52200,631535
2016-08-16,52800,400,53000,53400,52800,500438
2016-08-17,53400,600,53200,53500,52800,614904
2016-08-18,53100,-300,53500,53700,52800,427221
2016-08-19,52200,-900,53100,53200,52100,931376
2016-08-22,52400,200,52300,53300,52300,540501
2016-08-23,51500,-900,52700,52800,51400,737608
2016-08-24,51100,-400,51600,51700,51000,653161
2016-08-25,52100,1000,51400,52300,51400,579633
2016-08-26,52100,0,52100,52200,51500,354347
2016-08-29,51500,-600,52100,52200,51400,353607
2016-08-30,52200,700,51600,52400,51600,405074
2016-08-31,51500,-700,52000,53000,51500,682642
2016-09-01,51100,-400,52300,52400,51000,732564
2016-09-02,51500,400,51500,51800,51300,495103
2016-09-05,53100,1600,51900,53300,51900,925082
2016-09-06,53900,800,53000,54000,52700,855259
2016-09-07,52900,-1000,54200,54500,52800,955324
2016-09-08,51800,-1100,53400,53800,51800,1192036
2016-09-09,51500,-300,51900,52000,51200,684075
2016-09-12,51200,-300,51800,52100,51200,875347
2016-09-13,50000,-1200,51400,51600,50000,1060793
2016-09-19,50000,0,49950,50500,49800,638793
2016-09-20,49200,-800,50100,50300,49150,1057822
2016-09-21,50300,1100,49250,50300,49250,831122
2016-09-22,49750,-550,50700,50900,49750,699899
2016-09-23,50100,350,50200,50400,49900,444660
2016-09-26,49900,-200,50500,50600,49900,388880
2016-09-27,50200,300,49850,50300,49600,412254
2016-09-28,49000,-1200,50100,50200,49000,1095284
2016-09-29,48800,-200,49250,49550,48700,782458
2016-09-30,47900,-900,48800,49100,47850,1014013
2016-10-04,47350,-550,48200,48350,47200,1161282
2016-10-05,48150,800,46850,48700,46850,1122116
2016-10-06,48600,450,48000,49050,47900,774820
2016-10-07,48400,-200,49400,49450,47900,810009
2016-10-10,50900,2500,48700,51200,48600,1730902
2016-10-11,53500,2600,51600,53500,51300,2898941
2016-10-12,51600,-1900,53700,54200,51500,2135115
2016-10-13,50200,-1400,51900,52000,49900,1263334
2016-10-14,50300,100,50400,51300,50200,681536
2016-10-17,50000,-300,50500,50800,50000,435232
2016-10-18,49900,-100,50100,50400,49400,570624
2016-10-19,49900,0,50200,50700,49850,455099
2016-10-20,50700,800,50400,50700,49950,371101
2016-10-21,50300,-400,51000,51000,50300,396235
2016-10-24,51300,1000,50800,51500,50700,469435
2016-10-25,50100,-1200,50900,51200,50100,610553
2016-10-26,50300,200,50000,50300,49650,467423
2016-10-27,49150,-1150,50300,50400,49050,945087
2016-10-28,47600,-1550,48850,48900,47550,1476994
2016-10-31,47800,200,47350,48150,47000,746977
2016-11-01,47350,-450,47600,47650,46950,606342
2016-11-02,47400,50,47150,47900,47100,548417
2016-11-03,47500,100,47550,48400,47250,716257
2016-11-04,47100,-400,47600,47650,47000,418742
2016-11-07,47350,250,47600,47750,47150,444815
2016-11-08,47750,400,47550,47850,47350,455848
2016-11-09,45700,-2050,48000,48050,45200,1461344
2016-11-10,46700,1000,46400,47050,46200,896687
2016-11-11,45750,-950,46500,46650,45600,719669
2016-11-14,46400,650,47000,47350,46200,752247
2016-11-15,47050,650,46100,47850,46100,725313
2016-11-16,47000,-50,47200,47750,47000,476989
2016-11-17,46850,-150,46650,47300,46650,312645
2016-11-18,46850,0,46900,47100,46000,514155
2016-11-21,46050,-800,46700,46850,46050,397425
2016-11-22,45900,-150,46250,46500,45750,411221
2016-11-23,46600,700,45900,46800,45900,611177
