date,close,diff,start,high,low,volume
2020-06-24,86000,1900,84200,87400,84000,4079834
2020-06-25,84300,-1700,84300,85600,84000,3397112
2020-06-26,84600,300,86000,86100,84500,2889494
2020-06-29,83600,-1000,84000,85300,83500,2932433
2020-06-30,85100,1500,86200,87300,85000,4983607
2020-07-01,85300,200,86800,87300,84900,2382552
2020-07-02,84400,-900,84800,85200,84000,3295340
2020-07-03,85400,1000,85000,85600,84500,2195897
2020-07-06,86000,600,86000,87000,85800,2561766
2020-07-07,84800,-1200,87300,87300,84600,3196352
2020-07-08,83700,-1100,83800,84900,83600,3523620
2020-07-09,83000,-700,84200,84600,83000,4002365
2020-07-10,82800,-200,83300,83500,82400,2201557
2020-07-13,83000,200,83100,83500,82500,2080934
2020-07-14,82900,-100,82600,82900,82000,2048671
2020-07-15,83000,100,83100,83900,82900,3024429
2020-07-16,82700,-300,83000,83100,82300,2312310
2020-07-17,82900,200,82700,83500,82600,1579078
2020-07-20,82200,-700,82800,83000,82100,2008624
2020-07-21,84100,1900,83400,84700,83000,4181015
2020-07-22,83200,-900,84100,84200,82900,2876295
2020-07-23,82400,-800,84000,84000,82300,3591647
2020-07-24,83700,1300,82300,83700,82200,3667416
2020-07-27,82800,-900,83100,84000,82800,2784652
2020-07-28,83100,300,83900,83900,82700,4538720
2020-07-29,83200,100,82900,83800,82600,3719681
2020-07-30,85300,2100,83300,86400,83000,6870841
2020-07-31,82800,-2500,85700,86000,82800,4848989
2020-08-03,81800,-1000,82400,82600,81500,3483106
2020-08-04,81600,-200,81800,82500,81400,3005937
2020-08-05,80700,-900,81200,81300,80500,4537005
2020-08-06,81100,400,80700,81900,80700,3391939
2020-08-07,80600,-500,81200,81300,80000,4946631
2020-08-10,81400,800,80100,81900,79800,3277238
2020-08-11,81300,-100,81700,82000,81000,3234013
2020-08-12,81000,-300,81100,81300,80200,3595828
2020-08-13,80700,-300,81900,82000,80300,4049387
2020-08-14,80200,-500,80200,81100,80100,2589552
2020-08-18,78100,-2100,80000,80200,78000,4946279
2020-08-19,75000,-3100,77300,78000,75000,8028305
2020-08-20,71800,-3200,74400,74400,71300,7260223
2020-08-21,74500,2700,72800,77000,72500,7700029
2020-08-24,75500,1000,74600,77200,73700,4298619
2020-08-25,77000,1500,76300,77700,75400,3473488
2020-08-26,78800,1800,78000,79100,77100,4741965
2020-08-27,79100,300,80200,80200,78800,4223450
2020-08-28,77800,-1300,79500,79600,77700,2511956
2020-08-31,75100,-2700,78200,78800,75100,5113128
2020-09-01,75200,100,75200,76500,75200,2538676
2020-09-02,75500,300,75900,76400,74900,2369360
2020-09-03,78700,3200,77700,79700,77200,7002529
2020-09-04,78700,0,76400,79400,76100,4582566
2020-09-07,78400,-300,78600,79500,77600,2786930
2020-09-08,79400,1000,78700,80000,78200,3380355
2020-09-09,77300,-2100,77900,78400,77200,3918435
2020-09-10,76600,-700,78000,78200,76600,3541520
2020-09-11,78400,1800,76700,78500,76300,2831262
2020-09-14,80000,1600,79100,80100,78900,4099644
2020-09-15,81900,1900,81300,82100,80200,5899410
2020-09-16,81500,-400,81700,82400,80500,3119110
2020-09-17,82200,700,81900,82900,81200,4055050
2020-09-18,83700,1500,82900,83900,82200,5199334
2020-09-21,84500,800,83700,85000,83600,4102947
2020-09-22,81300,-3200,84400,84800,80200,4139983
2020-09-23,83600,2300,82300,84800,80500,4439085
2020-09-24,84300,700,82800,85400,82300,6401560
2020-09-25,82900,-1400,85800,85900,82200,3205596
2020-09-28,82500,-400,83400,83700,81300,3154068
2020-09-29,84000,1500,83100,84900,82200,4707898
2020-10-05,83200,-800,83000,84100,82300,3396894
2020-10-06,83000,-200,84000,84200,82600,2750145
2020-10-07,83400,400,82900,83700,82500,2254356
2020-10-08,82900,-500,84300,84500,82900,3330824
2020-10-12,85500,2600,83900,85500,83500,4464264
2020-10-13,88200,2700,85500,89000,84600,6375448
2020-10-14,86500,-1700,88000,88900,86100,3223767
2020-10-15,87100,600,86100,87300,85900,2802900
2020-10-16,85300,-1800,87000,87900,84900,2435541
2020-10-19,86700,1400,86100,87900,85800,3150011
2020-10-20,85200,-1500,85300,90900,83700,6622637
2020-10-21,83800,-1400,85300,86200,82800,4925877
2020-10-22,83300,-500,84200,84300,82500,2593975
2020-10-23,83900,600,82800,84700,82300,2609595
2020-10-26,83200,-700,84300,84700,83000,1662847
2020-10-27,82600,-600,82300,83400,81800,2265817
2020-10-28,82900,300,82100,83600,82000,1773556
2020-10-29,81700,-1200,81900,82400,81000,2637314
2020-10-30,79900,-1800,81600,82100,79900,2710477
2020-11-02,79600,-300,80200,80600,79200,2000394
2020-11-03,81400,1800,79600,81400,79600,2057723
2020-11-04,83200,1800,82100,84400,81200,3782296
2020-11-05,86100,2900,84100,86200,83300,4082325
2020-11-06,86300,200,86500,87700,86000,2863808
2020-11-09,86000,-300,86500,87300,85600,2444330
2020-11-10,86500,500,86900,87200,85900,2849783
2020-11-11,87000,500,86100,87200,85900,2638617
2020-11-12,88100,1100,87600,88400,87000,4006433
2020-11-13,89700,1600,88100,90000,87500,3774278
2020-11-16,98000,8300,92100,98100,91100,9274278
2020-11-17,98100,100,97400,99600,96500,5218295
2020-11-18,98000,-100,99800,100500,96600,3734037
2020-11-19,98200,200,96200,98300,96000,2766688
2020-11-20,96800,-1400,99000,99000,96800,2424003
2020-11-23,100000,3200,97300,101000,96600,4149013
2020-11-24,98600,-1400,101000,102000,98300,3766043
2020-11-25,97200,-1400,100500,100500,96300,4081524
2020-11-26,99400,2200,96800,99500,96300,2933290
2020-11-27,98800,-600,99600,99900,98200,1976047
2020-11-30,97500,-1300,99700,99800,97300,3877841
