date,close,diff,start,high,low,volume
2020-11-06,14700,150,14700,14900,14150,4993545
2020-11-09,15650,950,15000,16450,15000,16870984
2020-11-10,15950,300,15750,15950,15200,6414858
2020-11-11,16350,400,16250,16700,15750,11496128
2020-11-12,16400,50,16300,16550,15850,5682191
2020-11-13,16450,50,16300,16600,16100,5190976
2020-11-16,15750,-700,16400,16500,15700,5797926
2020-11-17,15850,100,15800,16150,15150,4073172
2020-11-18,14900,-950,15650,15700,14800,7600712
2020-11-19,14650,-250,14600,15000,14300,5002875
2020-11-20,14800,150,14650,15000,14450,2685588
2020-11-23,15300,500,14800,15400,14650,4409425
2020-11-24,15300,0,15400,15600,15100,3872144
2020-11-25,15400,100,15300,15550,14850,4523336
2020-11-26,16050,650,15250,16150,15100,7391253
2020-11-27,17100,1050,16100,17400,15800,16536985
2020-11-30,16750,-350,17450,17700,16150,28023172
2020-12-01,15500,-1250,16350,16600,15500,9105455
2020-12-02,15050,-450,15250,15950,14950,7731027
2020-12-03,15000,-50,15100,15450,14700,4046522
2020-12-04,14900,-100,14950,15000,14600,3422729
2020-12-07,14400,-500,14700,14750,14200,3682592
2020-12-08,14400,0,14400,15150,14250,3639869
2020-12-09,14550,150,14600,14750,14400,2180486
2020-12-10,14600,50,14350,14700,14200,3025117
2020-12-11,14750,150,14800,14950,14400,3540864
2020-12-14,14400,-350,14600,14650,14350,1705707
2020-12-15,14300,-100,14500,14650,14250,1419318
2020-12-16,13850,-450,14450,14500,13650,4129545
2020-12-17,14350,500,13850,14800,13400,5667891
2020-12-18,13900,-450,14300,14300,13850,2692526
2020-12-21,13900,0,13750,14100,13700,2137240
2020-12-22,13400,-500,13700,14000,13350,2891737
2020-12-23,13100,-300,13500,13800,13050,2882549
2020-12-24,13350,250,12950,13700,12600,6990921
2020-12-28,12850,-500,13450,13500,12700,4876853
2020-12-29,13050,200,12850,13300,12750,2971656
2020-12-30,13500,450,13100,13550,12900,3220580
2021-01-04,13900,400,13600,13950,13450,3627782
2021-01-05,14700,800,14050,15000,13900,7228208
2021-01-06,14150,-550,14800,14900,14100,4183844
2021-01-07,14150,0,14550,14600,14050,3295124
2021-01-08,14200,50,14400,14450,14000,4418318
2021-01-11,13450,-750,14150,14150,13200,6981930
2021-01-12,13250,-200,13250,13450,12900,3281855
2021-01-13,13300,50,13400,13650,13100,2665001
2021-01-14,13900,600,13300,14400,13100,7981165
2021-01-15,13550,-350,14000,14200,13400,3230145
2021-01-18,13100,-450,13400,13450,13000,2739294
2021-01-19,13300,200,13000,13400,12900,2894723
2021-01-20,13250,-50,13350,13450,12950,2542378
2021-01-21,13350,100,13400,13850,13300,3470923
2021-01-22,13400,50,13600,13700,13300,2646725
2021-01-25,13250,-150,13350,13450,13150,2208941
2021-01-26,13300,50,13900,13900,13250,3704644
2021-01-27,13150,-150,13300,13350,13050,2012265
2021-01-28,12650,-500,12800,13000,12600,3045073
2021-01-29,11750,-900,12700,12850,11400,6873260
2021-02-01,11950,200,11500,12000,11100,4094484
2021-02-02,11850,-100,12000,12150,11650,2414158
2021-02-03,11900,50,11900,12000,11700,2222041
2021-02-04,11550,-350,11950,12000,11450,2197430
2021-02-05,11800,250,11650,12550,11500,4819620
2021-02-08,12250,450,12100,12550,12050,4010916
2021-02-09,12250,0,12350,12600,12250,1847594
2021-02-10,12200,-50,12200,12250,11900,1987671
2021-02-15,12150,-50,12200,12250,11900,1855160
2021-02-16,11850,-300,12150,12150,11700,2302703
2021-02-17,11500,-350,11750,11800,11400,2387142
2021-02-18,11500,0,11350,12050,11350,2297980
2021-02-19,11400,-100,11500,11650,11100,2094577
2021-02-22,11200,-200,11450,11600,11100,1903429
2021-02-23,11000,-200,10950,11150,10700,2576210
2021-02-24,10250,-750,11000,11100,10200,4156906
2021-02-25,11100,850,10450,11200,10250,3366323
2021-02-26,10600,-500,10700,10750,10250,3778708
2021-03-02,10700,100,10900,10900,10500,1873327
2021-03-03,11300,600,10650,11300,10600,3121554
2021-03-04,11150,-150,11050,11350,10850,2115583
2021-03-05,10800,-350,10950,11000,10600,1684871
2021-03-08,10700,-100,10850,11100,10650,1403614
2021-03-09,10800,100,10850,10900,10450,1757065
2021-03-10,10650,-150,11000,11050,10550,1459284
2021-03-11,10600,-50,10650,10700,10400,2359118
2021-03-12,11350,750,10700,11700,10650,4854988
2021-03-15,11350,0,11450,11650,11100,1739737
2021-03-16,11650,300,11500,11700,11300,2118056
2021-03-17,11850,200,11700,11850,11400,1640342
2021-03-18,11650,-200,11900,11950,11500,2046605
2021-03-19,11600,-50,11300,11800,11300,2525989
2021-03-22,11900,300,12100,12500,11750,6481505
2021-03-23,11800,-100,12000,12050,11800,1789260
2021-03-24,12050,250,11750,12100,11550,1831987
2021-03-25,12250,200,12000,12350,11900,2074964
2021-03-26,12700,450,12350,12900,12300,4376275
2021-03-29,13250,550,12950,13800,12800,7978246
2021-03-30,13200,-50,13500,13700,12900,3530338
2021-03-31,13000,-200,13250,13350,12800,2549685
2021-04-01,12650,-350,13100,13150,12550,2340118
2021-04-02,13000,350,12600,13100,12500,2117567
2021-04-05,13100,100,13100,13400,13000,1616961
2021-04-06,13000,-100,13150,13200,12850,1499887
2021-04-07,12950,-50,12950,13000,12800,1308998
2021-04-08,13400,450,13150,13450,13100,3370213
2021-04-09,13300,-100,13400,13500,13250,1655136
2021-04-12,13200,-100,13300,13350,13000,1662109
2021-04-13,13450,250,13250,13450,13150,2663212
2021-04-14,14350,900,13500,14550,13450,9803404
2021-04-15,13950,-400,14300,14300,13800,5067538
2021-04-16,14000,50,13950,14200,13600,3380999
2021-04-19,13950,-50,14050,14250,13900,2159065
2021-04-20,13900,-50,13600,14100,13500,2845248
2021-04-21,13600,-300,13900,13900,13500,2399938
2021-04-22,14000,400,13700,14200,13650,3455319
2021-04-23,13800,-200,13950,14150,13700,2153624
2021-04-26,14000,200,13950,14000,13800,1933409
2021-04-27,13950,-50,14150,14350,13900,3519111
2021-04-28,14250,300,14500,14650,14050,6444551
2021-04-29,14150,-100,14350,14400,13900,3502112
2021-04-30,13950,-200,14200,14300,13700,3415800
