dates,등락률,result
2018-07-24,0.9,0.0
2018-07-25,0.0,0.0
2018-07-26,-0.3,0.0
2018-07-27,0.15,0.0
2018-07-30,0.0,0.0
2018-07-31,1.05,0.0
2018-08-01,1.33,0.0
2018-08-02,-0.88,0.0
2018-08-03,1.33,0.0
2018-08-06,0.87,0.0
2018-08-07,-1.01,0.0
2018-08-08,-1.16,0.0
2018-08-09,0.59,0.0
2018-08-10,3.66,1.0
2018-08-13,-1.41,0.0
2018-08-14,-1.29,0.0
2018-08-16,-1.45,0.0
2018-08-17,0.29,0.0
2018-08-20,-1.03,0.0
2018-08-21,0.0,0.0
2018-08-22,0.15,0.0
2018-08-23,0.0,0.0
2018-08-24,0.3,0.0
2018-08-27,0.74,0.0
2018-08-28,2.35,1.0
2018-08-29,-1.72,-1.0
2018-08-30,-1.02,0.0
2018-08-31,0.88,0.0
2018-09-03,0.73,0.0
2018-09-04,-2.32,-1.0
2018-09-05,-0.89,0.0
2018-09-06,-0.45,0.0
2018-09-07,0.0,0.0
2018-09-10,0.3,0.0
2018-09-11,-1.65,-1.0
2018-09-12,-0.46,0.0
2018-09-13,1.68,1.0
2018-09-14,-1.36,0.0
2018-09-17,0.0,0.0
2018-09-18,-0.61,0.0
2018-09-19,0.0,0.0
2018-09-20,0.77,0.0
2018-09-21,0.91,0.0
2018-09-27,-0.15,0.0
2018-09-28,0.91,0.0
2018-10-01,-0.6,0.0
2018-10-02,-0.75,0.0
2018-10-04,-0.61,0.0
2018-10-05,0.0,0.0
2018-10-08,0.92,0.0
2018-10-10,-1.52,-1.0
2018-10-11,-4.0,-1.0
2018-10-12,1.76,1.0
2018-10-15,1.42,0.0
2018-10-16,2.95,1.0
2018-10-17,0.45,0.0
2018-10-18,0.0,0.0
2018-10-19,0.75,0.0
2018-10-22,1.79,1.0
2018-10-23,-1.76,-1.0
2018-10-24,2.24,1.0
2018-10-25,-1.31,0.0
2018-10-26,-1.62,-1.0
2018-10-29,0.75,0.0
2018-10-30,-2.38,-1.0
2018-10-31,-1.07,0.0
2018-11-01,-1.85,-1.0
2018-11-02,2.67,1.0
2018-11-05,-0.15,0.0
2018-11-06,1.23,0.0
2018-11-07,1.52,0.0
2018-11-08,-0.6,0.0
2018-11-09,3.0,1.0
2018-11-12,1.17,0.0
2018-11-13,0.0,0.0
2018-11-14,-1.59,-1.0
2018-11-15,5.86,1.0
2018-11-16,-2.9,-1.0
2018-11-19,0.43,0.0
2018-11-20,-1.42,0.0
2018-11-21,1.29,0.0
2018-11-22,-1.42,0.0
2018-11-23,0.0,0.0
2018-11-26,-0.72,0.0
2018-11-27,-1.02,0.0
2018-11-28,0.15,0.0
2018-11-29,0.15,0.0
2018-11-30,-1.75,-1.0
2018-12-03,0.0,0.0
2018-12-04,1.19,0.0
2018-12-05,1.47,0.0
2018-12-06,-0.58,0.0
2018-12-07,-0.73,0.0
2018-12-10,2.5,1.0
2018-12-11,-0.29,0.0
2018-12-12,0.72,0.0
2018-12-13,0.14,0.0
2018-12-14,-1.14,0.0
2018-12-17,-0.58,0.0
2018-12-18,-0.72,0.0
2018-12-19,-0.29,0.0
2018-12-20,-1.76,-1.0
2018-12-21,-0.89,0.0
2018-12-24,0.15,0.0
2018-12-26,-2.1,-1.0
2018-12-27,-0.15,0.0
2018-12-28,1.54,0.0
2019-01-02,0.15,0.0
2019-01-03,-0.91,0.0
2019-01-04,4.27,1.0
2019-01-07,-0.44,0.0
2019-01-08,-1.47,0.0
2019-01-09,0.6,0.0
2019-01-10,-0.15,0.0
2019-01-11,-0.74,0.0
2019-01-14,2.54,1.0
2019-01-15,-1.31,0.0
2019-01-16,-0.15,0.0
2019-01-17,0.74,0.0
2019-01-18,0.29,0.0
2019-01-21,0.0,0.0
2019-01-22,-0.44,0.0
2019-01-23,-0.15,0.0
2019-01-24,-0.29,0.0
2019-01-25,-0.89,0.0
2019-01-28,-0.75,0.0
2019-01-29,0.15,0.0
2019-01-30,0.0,0.0
2019-01-31,2.7,1.0
2019-02-01,-2.19,-1.0
2019-02-07,1.49,0.0
2019-02-08,0.0,0.0
2019-02-11,-0.59,0.0
2019-02-12,-1.78,-1.0
2019-02-13,0.45,0.0
2019-02-14,1.8,1.0
2019-02-15,-0.88,0.0
2019-02-18,-0.3,0.0
2019-02-19,-0.45,0.0
2019-02-20,0.3,0.0
2019-02-21,-0.75,0.0
2019-02-22,-0.3,0.0
2019-02-25,-0.3,0.0
2019-02-26,-0.76,0.0
2019-02-27,-1.37,0.0
2019-02-28,-0.46,0.0
2019-03-04,-0.16,0.0
2019-03-05,-0.16,0.0
2019-03-06,1.25,0.0
2019-03-07,-1.23,0.0
2019-03-08,0.47,0.0
2019-03-11,1.86,1.0
2019-03-12,-0.61,0.0
2019-03-13,0.15,0.0
2019-03-14,0.0,0.0
2019-03-15,0.61,0.0
2019-03-18,0.61,0.0
2019-03-19,0.6,0.0
2019-03-20,-0.9,0.0
2019-03-21,-0.61,0.0
2019-03-22,-0.61,0.0
2019-03-25,-1.53,-1.0
2019-03-26,1.09,0.0
2019-03-27,0.92,0.0
2019-03-28,-1.68,-1.0
2019-03-29,0.31,0.0
2019-04-01,0.46,0.0
2019-04-02,0.46,0.0
2019-04-03,0.0,0.0
2019-04-04,-0.31,0.0
2019-04-05,-0.77,0.0
2019-04-08,1.86,1.0
2019-04-09,0.15,0.0
2019-04-10,0.15,0.0
2019-04-11,-1.52,-1.0
2019-04-12,0.62,0.0
2019-04-15,-0.31,0.0
2019-04-16,-0.31,0.0
2019-04-17,-1.23,0.0
2019-04-18,-0.78,0.0
2019-04-19,-0.79,0.0
2019-04-22,0.16,0.0
2019-04-23,0.47,0.0
2019-04-24,-0.16,0.0
2019-04-25,-0.95,0.0
2019-04-26,0.48,0.0
2019-04-29,0.63,0.0
2019-04-30,-0.79,0.0
2019-05-02,-0.32,0.0
2019-05-03,-1.43,0.0
2019-05-07,0.81,0.0
2019-05-08,-0.48,0.0
2019-05-09,-1.45,0.0
2019-05-10,-1.96,-1.0
2019-05-13,-0.5,0.0
2019-05-14,-3.35,-1.0
2019-05-15,-1.04,0.0
2019-05-16,0.35,0.0
2019-05-17,-2.27,-1.0
2019-05-20,1.07,0.0
2019-05-21,0.18,0.0
2019-05-22,-1.94,-1.0
2019-05-23,2.52,1.0
2019-05-24,-1.93,-1.0
2019-05-27,-1.07,0.0
2019-05-28,2.89,1.0
2019-05-29,-0.7,0.0
2019-05-30,-1.24,0.0
2019-05-31,0.54,0.0
2019-06-03,-0.18,0.0
2019-06-04,0.71,0.0
2019-06-05,0.0,0.0
2019-06-07,-0.71,0.0
2019-06-10,1.79,1.0
2019-06-11,-0.35,0.0
2019-06-12,0.35,0.0
2019-06-13,1.05,0.0
2019-06-14,2.08,1.0
2019-06-17,-1.7,-1.0
2019-06-18,2.25,1.0
2019-06-19,0.68,0.0
2019-06-20,0.17,0.0
2019-06-21,1.17,0.0
2019-06-24,-0.33,0.0
2019-06-25,0.33,0.0
2019-06-26,-1.49,0.0
2019-06-27,0.34,0.0
2019-06-28,-0.34,0.0
2019-07-01,0.34,0.0
2019-07-02,-1.85,-1.0
2019-07-03,0.68,0.0
2019-07-04,-0.17,0.0
2019-07-05,0.0,0.0
2019-07-08,-1.7,-1.0
2019-07-09,-1.73,-1.0
2019-07-10,-0.35,0.0
2019-07-11,0.71,0.0
2019-07-12,2.11,1.0
2019-07-15,-1.72,-1.0
2019-07-16,-0.87,0.0
2019-07-17,-0.53,0.0
2019-07-18,0.71,0.0
2019-07-19,0.18,0.0
2019-07-22,-0.7,0.0
2019-07-23,1.77,1.0
2019-07-24,-0.87,0.0
2019-07-25,1.75,1.0
2019-07-26,-2.41,-1.0
2019-07-29,-1.24,0.0
2019-07-30,0.89,0.0
2019-07-31,1.06,0.0
2019-08-01,0.53,0.0
2019-08-02,-1.75,-1.0
2019-08-05,-3.55,-1.0
2019-08-06,-0.74,0.0
2019-08-07,-1.3,0.0
2019-08-08,2.26,1.0
2019-08-09,-8.82,-1.0
2019-08-12,-2.22,-1.0
2019-08-13,-2.89,-1.0
2019-08-14,-0.42,0.0
2019-08-16,-2.13,-1.0
2019-08-19,0.44,0.0
2019-08-20,1.52,0.0
2019-08-21,-1.71,-1.0
2019-08-22,0.65,0.0
2019-08-23,-0.86,0.0
