dates,등락률,result
2005-01-03,-3.51,-1.0
2005-01-04,-0.91,0.0
2005-01-05,2.02,0.0
2005-01-06,0.36,0.0
2005-01-07,0.0,0.0
2005-01-10,-0.9,0.0
2005-01-11,-0.9,0.0
2005-01-12,-2.37,-1.0
2005-01-13,1.12,0.0
2005-01-14,-0.92,0.0
2005-01-17,-0.75,0.0
2005-01-18,0.38,0.0
2005-01-19,1.12,0.0
2005-01-20,1.11,0.0
2005-01-21,-2.2,-1.0
2005-01-24,-0.19,0.0
2005-01-25,-0.19,0.0
2005-01-26,4.51,1.0
2005-01-27,1.98,0.0
2005-01-28,0.88,0.0
2005-01-31,0.0,0.0
2005-02-01,-3.5,-1.0
2005-02-02,-0.72,0.0
2005-02-03,-1.46,0.0
2005-02-04,-0.93,0.0
2005-02-07,1.5,0.0
2005-02-11,2.76,1.0
2005-02-14,0.36,0.0
2005-02-15,-1.79,0.0
2005-02-16,0.36,0.0
2005-02-17,5.8,1.0
2005-02-18,0.68,0.0
2005-02-21,-2.72,-1.0
2005-02-22,-3.15,-1.0
2005-02-23,2.17,1.0
2005-02-24,1.06,0.0
2005-02-25,-1.05,0.0
2005-02-28,-0.88,0.0
2005-03-02,0.53,0.0
2005-03-03,1.42,0.0
2005-03-04,-0.35,0.0
2005-03-07,1.4,0.0
2005-03-08,-0.52,0.0
2005-03-09,0.17,0.0
2005-03-10,0.0,0.0
2005-03-11,0.69,0.0
2005-03-14,1.03,0.0
2005-03-15,0.17,0.0
2005-03-16,0.0,0.0
2005-03-17,0.51,0.0
2005-03-18,-0.68,0.0
2005-03-21,0.34,0.0
2005-03-22,-2.89,-1.0
2005-03-23,-1.93,0.0
2005-03-24,-2.86,-1.0
2005-03-25,2.57,1.0
2005-03-28,0.72,0.0
2005-03-29,-0.36,0.0
2005-03-30,0.0,0.0
2005-03-31,0.0,0.0
2005-04-01,1.79,0.0
2005-04-04,1.75,0.0
2005-04-06,2.41,1.0
2005-04-07,-2.36,-1.0
2005-04-08,0.0,0.0
2005-04-11,-2.93,-1.0
2005-04-12,-0.53,0.0
2005-04-13,0.0,0.0
2005-04-14,-1.96,0.0
2005-04-15,0.0,0.0
2005-04-18,-1.09,0.0
2005-04-19,0.55,0.0
2005-04-20,6.23,1.0
2005-04-21,0.86,0.0
2005-04-22,-0.85,0.0
2005-04-25,1.38,0.0
2005-04-26,2.21,1.0
2005-04-27,-2.0,-1.0
2005-04-28,-0.17,0.0
2005-04-29,1.87,0.0
2005-05-02,-2.67,-1.0
2005-05-03,0.51,0.0
2005-05-04,-0.34,0.0
2005-05-06,-0.68,0.0
2005-05-09,-1.03,0.0
2005-05-10,2.79,1.0
2005-05-11,-1.69,0.0
2005-05-12,-0.86,0.0
2005-05-13,-0.52,0.0
2005-05-16,4.55,1.0
2005-05-17,0.0,0.0
2005-05-18,2.01,0.0
2005-05-19,0.98,0.0
2005-05-20,0.0,0.0
2005-05-23,-1.62,0.0
2005-05-24,0.66,0.0
2005-05-25,-2.62,-1.0
2005-05-26,-0.17,0.0
2005-05-27,4.38,1.0
2005-05-30,0.16,0.0
2005-05-31,1.29,0.0
2005-06-01,2.87,1.0
2005-06-02,0.77,0.0
2005-06-03,-2.61,-1.0
2005-06-07,-1.58,0.0
2005-06-08,4.17,1.0
2005-06-09,0.0,0.0
2005-06-10,-0.31,0.0
2005-06-13,0.15,0.0
2005-06-14,0.15,0.0
