dates,등락률,result
2020-10-26,-1.24,0.0
2020-10-27,0.18,0.0
2020-10-28,1.96,1.0
2020-10-29,-4.38,-1.0
2020-10-30,-2.2,-1.0
2020-11-02,4.12,1.0
2020-11-03,2.7,1.0
2020-11-04,-1.58,-1.0
2020-11-05,1.78,1.0
2020-11-06,-1.57,-1.0
2020-11-09,4.97,1.0
2020-11-10,1.18,0.0
2020-11-11,4.01,1.0
2020-11-12,-2.89,-1.0
2020-11-13,0.66,0.0
2020-11-16,3.62,1.0
2020-11-17,-0.48,0.0
2020-11-18,-0.16,0.0
2020-11-19,-0.16,0.0
2020-11-20,1.6,0.0
2020-11-23,0.47,0.0
2020-11-24,-0.47,0.0
2020-11-25,1.57,0.0
2020-11-26,1.09,0.0
2020-11-27,0.92,0.0
2020-11-30,-3.65,-1.0
2020-12-01,0.32,0.0
2020-12-02,0.0,0.0
2020-12-03,1.26,0.0
2020-12-04,6.68,1.0
2020-12-07,0.58,0.0
2020-12-08,-1.3,0.0
2020-12-09,3.08,1.0
2020-12-10,8.53,1.0
2020-12-11,1.31,0.0
2020-12-14,-2.59,-1.0
2020-12-15,-1.73,-1.0
2020-12-16,0.0,0.0
2020-12-17,-2.43,-1.0
2020-12-18,3.05,1.0
2020-12-21,-0.4,0.0
2020-12-22,-4.18,-1.0
2020-12-23,-1.27,0.0
2020-12-24,2.28,1.0
2020-12-28,-2.23,-1.0
2020-12-29,2.0,1.0
2020-12-30,5.73,1.0
2021-01-04,0.66,0.0
2021-01-05,5.12,1.0
2021-01-06,-0.88,0.0
2021-01-07,2.9,1.0
2021-01-08,2.33,1.0
2021-01-11,2.87,1.0
2021-01-12,-0.47,0.0
2021-01-13,0.12,0.0
2021-01-14,0.23,0.0
2021-01-15,-2.33,-1.0
2021-01-18,2.86,1.0
2021-01-19,3.25,1.0
2021-01-20,-1.12,0.0
2021-01-21,-1.14,0.0
2021-01-22,-2.18,-1.0
2021-01-25,-0.59,0.0
2021-01-26,-1.89,-1.0
2021-01-27,-0.84,0.0
2021-01-28,-2.55,-1.0
2021-01-29,-4.86,-1.0
2021-02-01,9.44,1.0
2021-02-02,0.72,0.0
2021-02-03,2.26,1.0
2021-02-04,-4.77,-1.0
2021-02-05,-1.59,-1.0
2021-02-08,-0.37,0.0
2021-02-09,-0.87,0.0
2021-02-10,2.26,1.0
2021-02-15,-1.72,-1.0
2021-02-16,0.0,0.0
2021-02-17,-1.5,-1.0
2021-02-18,-2.54,-1.0
2021-02-19,0.13,0.0
2021-02-22,-1.95,-1.0
2021-02-23,0.4,0.0
2021-02-24,-3.96,-1.0
2021-02-25,3.85,1.0
2021-02-26,-3.71,-1.0
2021-03-02,1.79,1.0
2021-03-03,1.35,0.0
2021-03-04,-2.8,-1.0
2021-03-05,-1.23,0.0
2021-03-08,0.97,0.0
2021-03-09,4.54,1.0
2021-03-10,-2.5,-1.0
2021-03-11,2.7,1.0
2021-03-12,2.63,1.0
2021-03-15,3.33,1.0
2021-03-16,1.24,0.0
2021-03-17,-0.24,0.0
2021-03-18,-0.25,0.0
2021-03-19,-0.37,0.0
2021-03-22,0.74,0.0
2021-03-23,3.43,1.0
2021-03-24,0.12,0.0
2021-03-25,0.0,0.0
2021-03-26,2.84,1.0
2021-03-29,1.84,1.0
2021-03-30,-3.05,-1.0
2021-03-31,0.23,0.0
2021-04-01,-3.02,-1.0
2021-04-02,0.36,0.0
2021-04-05,1.08,0.0
2021-04-06,0.0,0.0
2021-04-07,0.83,0.0
2021-04-08,6.45,1.0
2021-04-09,0.11,0.0
2021-04-12,-1.54,-1.0
2021-04-13,-2.35,-1.0
2021-04-14,0.69,0.0
2021-04-15,0.34,0.0
2021-04-16,1.59,0.0
2021-04-19,1.45,0.0
2021-04-20,1.1,0.0
2021-04-21,0.0,0.0
2021-04-22,0.22,0.0
2021-04-23,0.33,0.0
2021-04-26,2.59,1.0
2021-04-27,1.79,1.0
2021-04-28,-2.59,-1.0
2021-04-29,-0.53,0.0
2021-04-30,-5.66,-1.0
2021-05-03,-1.47,-1.0
2021-05-04,-0.57,0.0
2021-05-06,3.93,1.0
2021-05-07,1.56,0.0
2021-05-10,0.99,0.0
2021-05-11,0.33,0.0
2021-05-12,-5.19,-1.0
2021-05-13,-0.91,0.0
2021-05-14,0.0,0.0
2021-05-17,-1.5,-1.0
2021-05-18,3.27,1.0
2021-05-20,0.45,0.0
2021-05-21,-1.58,-1.0
2021-05-24,-0.23,0.0
2021-05-25,-1.03,0.0
2021-05-26,0.46,0.0
2021-05-27,2.31,1.0
2021-05-28,0.11,0.0
2021-05-31,0.79,0.0
2021-06-01,0.22,0.0
2021-06-02,1.23,0.0
2021-06-03,-1.32,0.0
2021-06-04,0.0,0.0
2021-06-07,0.33,0.0
2021-06-08,-1.11,0.0
2021-06-09,-3.71,-1.0
2021-06-10,-0.35,0.0
2021-06-11,1.06,0.0
2021-06-14,-0.58,0.0
2021-06-15,-0.82,0.0
2021-06-16,0.0,0.0
2021-06-17,-0.82,0.0
2021-06-18,-0.36,0.0
2021-06-21,-1.67,-1.0
2021-06-22,1.45,0.0
2021-06-23,-1.31,0.0
2021-06-24,0.36,0.0
2021-06-25,2.65,1.0
2021-06-28,2.82,1.0
2021-06-29,-1.6,-1.0
2021-06-30,-0.46,0.0
2021-07-01,-1.4,-1.0
2021-07-02,3.07,1.0
2021-07-05,0.57,0.0
2021-07-06,-0.34,0.0
2021-07-07,-1.72,-1.0
2021-07-08,-1.86,-1.0
2021-07-09,-0.24,0.0
2021-07-12,3.69,1.0
2021-07-13,1.61,0.0
2021-07-14,-0.23,0.0
