dates,등락률,result
2019-11-11,-0.69,0.0
2019-11-12,1.28,0.0
2019-11-13,-0.34,0.0
2019-11-14,0.69,0.0
2019-11-15,0.0,0.0
2019-11-18,0.69,0.0
2019-11-19,2.05,1.0
2019-11-20,2.34,1.0
2019-11-21,-0.65,0.0
2019-11-22,1.2,0.0
2019-11-25,-0.32,0.0
2019-11-26,-0.43,0.0
2019-11-27,0.55,0.0
2019-11-28,0.98,0.0
2019-11-29,-1.07,0.0
2019-12-02,-0.22,0.0
2019-12-03,-0.22,0.0
2019-12-04,0.44,0.0
2019-12-05,1.3,0.0
2019-12-06,0.75,0.0
2019-12-09,2.23,1.0
2019-12-10,0.52,0.0
2019-12-11,-0.62,0.0
2019-12-12,0.73,0.0
2019-12-13,3.41,1.0
2019-12-16,-1.9,-1.0
2019-12-17,-2.24,-1.0
2019-12-18,3.02,1.0
2019-12-19,0.0,0.0
2019-12-20,-0.71,0.0
2019-12-23,1.73,0.0
2019-12-24,-0.9,0.0
2019-12-26,-0.1,0.0
2019-12-27,-2.73,-1.0
2019-12-30,-0.83,0.0
2020-01-02,-2.31,-1.0
2020-01-03,1.29,0.0
2020-01-06,-1.17,0.0
2020-01-07,0.86,0.0
2020-01-08,-1.81,-1.0
2020-01-09,0.76,0.0
2020-01-10,0.65,0.0
2020-01-13,-0.21,0.0
2020-01-14,2.46,1.0
2020-01-15,0.1,0.0
2020-01-16,0.21,0.0
2020-01-17,-0.21,0.0
2020-01-20,0.84,0.0
2020-01-21,-1.97,-1.0
2020-01-22,0.42,0.0
2020-01-23,-1.79,-1.0
2020-01-28,-4.71,-1.0
2020-01-29,-0.56,0.0
2020-01-30,-1.02,0.0
2020-01-31,0.34,0.0
2020-02-03,-0.23,0.0
2020-02-04,-0.8,0.0
2020-02-05,1.61,0.0
2020-02-06,2.38,1.0
2020-02-07,-1.88,-1.0
2020-02-10,-2.59,-1.0
2020-02-11,-0.35,0.0
2020-02-12,0.93,0.0
2020-02-13,-1.72,-1.0
2020-02-14,0.0,0.0
2020-02-17,-0.82,0.0
2020-02-18,-1.53,0.0
2020-02-19,0.12,0.0
2020-02-20,0.96,0.0
2020-02-21,-2.49,-1.0
2020-02-24,-5.1,-1.0
2020-02-25,0.51,0.0
2020-02-26,-0.51,0.0
2020-02-27,0.9,0.0
2020-02-28,-1.27,0.0
2020-03-02,-1.29,0.0
2020-03-03,-0.78,0.0
2020-03-04,2.23,1.0
2020-03-05,-0.64,0.0
2020-03-06,-3.23,-1.0
2020-03-09,-6.14,-1.0
2020-03-10,0.0,0.0
2020-03-11,0.43,0.0
2020-03-12,-5.24,-1.0
2020-03-13,-1.64,-1.0
2020-03-16,-2.43,-1.0
2020-03-17,-7.01,-1.0
2020-03-18,-2.68,-1.0
2020-03-19,-10.33,-1.0
2020-03-20,18.43,1.0
2020-03-23,-10.37,-1.0
2020-03-24,5.42,1.0
2020-03-25,9.78,1.0
2020-03-26,2.81,1.0
2020-03-27,8.66,1.0
2020-03-30,-2.8,-1.0
2020-03-31,-0.58,0.0
2020-04-01,-8.54,-1.0
2020-04-02,0.32,0.0
2020-04-03,-1.74,-1.0
2020-04-06,5.46,1.0
2020-04-07,0.76,0.0
2020-04-08,-3.02,-1.0
2020-04-09,1.25,0.0
2020-04-10,3.54,1.0
2020-04-13,-3.27,-1.0
2020-04-14,2.0,1.0
2020-04-16,-3.92,-1.0
2020-04-17,1.41,0.0
2020-04-20,-1.39,0.0
2020-04-21,-0.63,0.0
2020-04-22,-0.63,0.0
2020-04-23,-0.63,0.0
2020-04-24,-0.64,0.0
2020-04-27,9.97,1.0
2020-04-28,-0.15,0.0
2020-04-29,1.76,1.0
2020-05-04,-5.04,-1.0
2020-05-06,-0.91,0.0
2020-05-07,-0.76,0.0
2020-05-08,1.08,0.0
2020-05-11,-1.98,-1.0
2020-05-12,-1.87,-1.0
2020-05-13,-0.32,0.0
2020-05-14,-1.59,-1.0
2020-05-15,1.62,0.0
2020-05-18,-1.43,0.0
2020-05-19,3.06,1.0
2020-05-20,0.31,0.0
2020-05-21,-0.16,0.0
2020-05-22,-2.81,-1.0
2020-05-25,0.8,0.0
2020-05-26,3.99,1.0
2020-05-27,1.53,0.0
2020-05-28,3.32,1.0
2020-05-29,-0.58,0.0
2020-06-01,1.76,1.0
2020-06-02,4.77,1.0
2020-06-03,6.48,1.0
2020-06-04,-4.15,-1.0
2020-06-05,2.84,1.0
2020-06-08,0.39,0.0
2020-06-09,0.79,0.0
2020-06-10,-2.47,-1.0
2020-06-11,-3.2,-1.0
2020-06-12,-4.68,-1.0
2020-06-15,-4.04,-1.0
2020-06-16,7.37,1.0
2020-06-17,-1.96,-1.0
2020-06-18,0.71,0.0
2020-06-19,2.13,1.0
2020-06-22,-3.19,-1.0
2020-06-23,-0.43,0.0
2020-06-24,0.58,0.0
2020-06-25,-3.3,-1.0
2020-06-26,3.11,1.0
2020-06-29,-2.59,-1.0
2020-06-30,0.15,0.0
2020-07-01,1.33,0.0
2020-07-02,0.15,0.0
2020-07-03,1.02,0.0
2020-07-06,2.73,1.0
2020-07-07,0.14,0.0
2020-07-08,-2.09,-1.0
2020-07-09,-1.0,0.0
2020-07-10,-2.16,-1.0
2020-07-13,4.12,1.0
2020-07-14,-0.71,0.0
2020-07-15,1.57,0.0
2020-07-16,0.84,0.0
2020-07-17,-0.83,0.0
2020-07-20,3.51,1.0
2020-07-21,-0.54,0.0
2020-07-22,-1.36,0.0
2020-07-23,-0.97,0.0
2020-07-24,-1.26,0.0
2020-07-27,0.14,0.0
2020-07-28,0.71,0.0
2020-07-29,1.4,0.0
2020-07-30,-0.69,0.0
2020-07-31,-1.95,-1.0
2020-08-03,0.0,0.0
2020-08-04,0.71,0.0
2020-08-05,0.0,0.0
2020-08-06,2.96,1.0
2020-08-07,-1.09,0.0
2020-08-10,2.77,1.0
2020-08-11,4.44,1.0
2020-08-12,3.99,1.0
2020-08-13,2.85,1.0
2020-08-14,-4.1,-1.0
2020-08-18,-4.15,-1.0
2020-08-19,-0.39,0.0
2020-08-20,-4.08,-1.0
2020-08-21,0.82,0.0
