dates,등락률,result
2019-04-02,0.18,0.0
2019-04-03,-0.73,0.0
2019-04-04,1.11,1.0
2019-04-05,0.73,0.0
2019-04-08,-0.54,0.0
2019-04-09,-0.91,-1.0
2019-04-10,1.84,1.0
2019-04-11,-1.08,-1.0
2019-04-12,0.18,0.0
2019-04-15,0.18,0.0
2019-04-16,-0.73,0.0
2019-04-17,0.0,0.0
2019-04-18,0.18,0.0
2019-04-19,0.91,0.0
2019-04-22,-0.36,0.0
2019-04-23,0.18,0.0
2019-04-24,0.0,0.0
2019-04-25,-0.18,0.0
2019-04-26,-0.18,0.0
2019-04-29,0.18,0.0
2019-04-30,-0.55,0.0
2019-05-02,0.55,0.0
2019-05-03,0.55,0.0
2019-05-07,0.9,0.0
2019-05-08,1.97,1.0
2019-05-09,-1.58,-1.0
2019-05-10,0.54,0.0
2019-05-13,0.0,0.0
2019-05-14,-0.53,0.0
2019-05-15,-0.71,0.0
2019-05-16,0.54,0.0
2019-05-17,-0.36,0.0
2019-05-20,-1.44,-1.0
2019-05-21,-0.36,0.0
2019-05-22,-0.37,0.0
2019-05-23,-0.55,0.0
2019-05-24,1.11,1.0
2019-05-27,-0.18,0.0
2019-05-28,2.56,1.0
2019-05-29,-0.53,0.0
2019-05-30,1.61,1.0
2019-05-31,-1.41,-1.0
2019-06-03,-1.25,-1.0
2019-06-04,2.17,1.0
2019-06-05,0.53,0.0
2019-06-07,-0.53,0.0
2019-06-10,-0.53,0.0
2019-06-11,-0.18,0.0
2019-06-12,0.36,0.0
2019-06-13,0.18,0.0
2019-06-14,0.36,0.0
2019-06-17,1.24,1.0
2019-06-18,-0.17,0.0
2019-06-19,-0.18,0.0
2019-06-20,-0.35,0.0
2019-06-21,-0.7,0.0
2019-06-24,0.53,0.0
2019-06-25,-0.18,0.0
2019-06-26,-0.35,0.0
2019-06-27,-0.35,0.0
2019-06-28,0.89,0.0
2019-07-01,-0.53,0.0
2019-07-02,0.18,0.0
2019-07-03,-0.35,0.0
2019-07-04,1.07,1.0
2019-07-05,-0.18,0.0
2019-07-08,-1.23,-1.0
2019-07-09,-1.07,-1.0
2019-07-10,-0.36,0.0
2019-07-11,0.54,0.0
2019-07-12,1.26,1.0
2019-07-15,-0.53,0.0
2019-07-16,-0.18,0.0
2019-07-17,-0.36,0.0
2019-07-18,0.18,0.0
2019-07-19,0.18,0.0
2019-07-22,-0.18,0.0
2019-07-23,-0.54,0.0
2019-07-24,-0.36,0.0
2019-07-25,0.0,0.0
2019-07-26,-0.36,0.0
2019-07-29,0.0,0.0
2019-07-30,0.0,0.0
2019-07-31,0.54,0.0
2019-08-01,-0.36,0.0
2019-08-02,0.91,0.0
2019-08-05,0.36,0.0
2019-08-06,-0.18,0.0
2019-08-07,-2.33,-1.0
2019-08-08,-1.28,-1.0
2019-08-09,0.37,0.0
2019-08-12,-0.56,0.0
2019-08-13,0.0,0.0
2019-08-14,-0.19,0.0
2019-08-16,-1.12,-1.0
2019-08-19,1.32,1.0
2019-08-20,0.19,0.0
2019-08-21,1.3,1.0
2019-08-22,-0.73,0.0
2019-08-23,-0.18,0.0
2019-08-26,0.0,0.0
2019-08-27,0.0,0.0
2019-08-28,-0.19,0.0
2019-08-29,0.56,0.0
2019-08-30,-0.37,0.0
2019-09-02,0.56,0.0
2019-09-03,0.18,0.0
2019-09-04,0.37,0.0
2019-09-05,-0.73,0.0
2019-09-06,0.0,0.0
2019-09-09,-0.18,0.0
2019-09-10,0.74,0.0
2019-09-11,0.18,0.0
2019-09-16,0.0,0.0
2019-09-17,0.55,0.0
2019-09-18,0.36,0.0
2019-09-19,0.0,0.0
2019-09-20,0.0,0.0
2019-09-23,0.18,0.0
2019-09-24,0.54,0.0
2019-09-25,-0.9,0.0
2019-09-26,0.0,0.0
2019-09-27,-0.18,0.0
2019-09-30,0.0,0.0
2019-10-01,0.0,0.0
2019-10-02,-1.28,-1.0
