dates,등락률,result
2016-05-09,-5.71,-1.0
2016-05-10,1.6,0.0
2016-05-11,-3.16,-1.0
2016-05-12,-1.63,-1.0
2016-05-13,-1.1,0.0
2016-05-16,1.68,0.0
2016-05-17,-0.37,0.0
2016-05-18,-0.92,0.0
2016-05-19,0.19,0.0
2016-05-20,-3.89,-1.0
2016-05-23,1.73,0.0
2016-05-24,0.38,0.0
2016-05-25,0.0,0.0
2016-05-26,0.75,0.0
2016-05-27,4.12,1.0
2016-05-30,0.18,0.0
2016-05-31,0.72,0.0
2016-06-01,0.0,0.0
2016-06-02,-2.85,-1.0
2016-06-03,0.0,0.0
2016-06-07,-0.37,0.0
2016-06-08,0.18,0.0
2016-06-09,3.68,1.0
2016-06-10,0.0,0.0
2016-06-13,-1.06,0.0
2016-06-14,-2.15,-1.0
2016-06-15,-0.73,0.0
2016-06-16,-1.11,0.0
2016-06-17,0.56,0.0
2016-06-20,4.08,1.0
2016-06-21,-0.71,0.0
2016-06-22,-1.44,0.0
2016-06-23,0.55,0.0
2016-06-24,-5.25,-1.0
2016-06-27,-0.57,0.0
2016-06-28,1.92,1.0
2016-06-29,1.32,0.0
2016-06-30,0.37,0.0
2016-07-01,2.23,1.0
2016-07-04,2.18,1.0
2016-07-05,-0.71,0.0
2016-07-06,-1.43,0.0
2016-07-07,2.36,1.0
2016-07-08,-0.35,0.0
2016-07-11,-1.96,-1.0
2016-07-12,2.36,1.0
2016-07-13,-1.42,0.0
2016-07-14,0.54,0.0
2016-07-15,-0.54,0.0
2016-07-18,-0.36,0.0
2016-07-19,-0.54,0.0
2016-07-20,-1.45,0.0
2016-07-21,-2.76,-1.0
2016-07-22,0.76,0.0
2016-07-25,0.38,0.0
2016-07-26,1.87,1.0
2016-07-27,3.31,1.0
2016-07-28,-2.14,-1.0
2016-07-29,-2.73,-1.0
2016-08-01,0.19,0.0
2016-08-02,-1.31,0.0
2016-08-03,-0.38,0.0
2016-08-04,-0.38,0.0
2016-08-05,1.9,1.0
2016-08-08,-1.5,0.0
2016-08-09,1.9,1.0
2016-08-10,-0.74,0.0
2016-08-11,-1.5,0.0
2016-08-12,-0.19,0.0
2016-08-16,0.76,0.0
2016-08-17,1.14,0.0
2016-08-18,-0.56,0.0
2016-08-19,-1.69,-1.0
2016-08-22,0.38,0.0
2016-08-23,-1.72,-1.0
2016-08-24,-0.78,0.0
2016-08-25,1.96,1.0
2016-08-26,0.0,0.0
2016-08-29,-1.15,0.0
2016-08-30,1.36,0.0
2016-08-31,-1.34,0.0
2016-09-01,-0.78,0.0
2016-09-02,0.78,0.0
2016-09-05,3.11,1.0
2016-09-06,1.51,0.0
2016-09-07,-1.86,-1.0
2016-09-08,-2.08,-1.0
2016-09-09,-0.58,0.0
2016-09-12,-0.58,0.0
2016-09-13,-2.34,-1.0
2016-09-19,0.0,0.0
2016-09-20,-1.6,-1.0
2016-09-21,2.24,1.0
2016-09-22,-1.09,0.0
2016-09-23,0.7,0.0
2016-09-26,-0.4,0.0
2016-09-27,0.6,0.0
2016-09-28,-2.39,-1.0
2016-09-29,-0.41,0.0
2016-09-30,-1.84,-1.0
2016-10-04,-1.15,0.0
2016-10-05,1.69,0.0
2016-10-06,0.93,0.0
2016-10-07,-0.41,0.0
2016-10-10,5.17,1.0
2016-10-11,5.11,1.0
2016-10-12,-3.55,-1.0
2016-10-13,-2.71,-1.0
2016-10-14,0.2,0.0
2016-10-17,-0.6,0.0
2016-10-18,-0.2,0.0
2016-10-19,0.0,0.0
2016-10-20,1.6,0.0
2016-10-21,-0.79,0.0
2016-10-24,1.99,1.0
2016-10-25,-2.34,-1.0
2016-10-26,0.4,0.0
2016-10-27,-2.29,-1.0
2016-10-28,-3.15,-1.0
2016-10-31,0.42,0.0
2016-11-01,-0.94,0.0
2016-11-02,0.11,0.0
2016-11-03,0.21,0.0
2016-11-04,-0.84,0.0
2016-11-07,0.53,0.0
2016-11-08,0.84,0.0
2016-11-09,-4.29,-1.0
2016-11-10,2.19,1.0
2016-11-11,-2.03,-1.0
2016-11-14,1.42,0.0
2016-11-15,1.4,0.0
2016-11-16,-0.11,0.0
2016-11-17,-0.32,0.0
2016-11-18,0.0,0.0
2016-11-21,-1.71,-1.0
2016-11-22,-0.33,0.0
2016-11-23,1.53,0.0
2016-11-24,-1.29,0.0
2016-11-25,-0.43,0.0
2016-11-28,-1.09,0.0
2016-11-29,0.11,0.0
2016-11-30,-0.99,0.0
2016-12-01,3.01,1.0
2016-12-02,0.22,0.0
2016-12-05,-0.76,0.0
2016-12-06,2.39,1.0
2016-12-07,-0.32,0.0
2016-12-08,1.17,0.0
2016-12-09,0.95,0.0
2016-12-12,0.42,0.0
2016-12-13,1.45,0.0
2016-12-14,-1.13,0.0
2016-12-15,-0.31,0.0
2016-12-16,-0.62,0.0
2016-12-19,-0.31,0.0
2016-12-20,0.21,0.0
2016-12-21,0.84,0.0
2016-12-22,2.49,1.0
2016-12-23,0.51,0.0
2016-12-26,2.52,1.0
2016-12-27,0.0,0.0
2016-12-28,1.18,0.0
2016-12-29,0.19,0.0
2017-01-02,0.0,0.0
2017-01-03,5.23,1.0
2017-01-04,-0.92,0.0
2017-01-05,-0.37,0.0
2017-01-06,-1.87,-1.0
2017-01-09,1.9,1.0
2017-01-10,-3.36,-1.0
2017-01-11,0.39,0.0
2017-01-12,2.5,1.0
2017-01-13,-0.75,0.0
2017-01-16,-0.19,0.0
2017-01-17,-0.76,0.0
2017-01-18,2.48,1.0
2017-01-19,1.49,0.0
2017-01-20,-0.73,0.0
2017-01-23,-1.29,0.0
2017-01-24,1.31,0.0
2017-01-25,0.18,0.0
2017-01-26,-1.85,-1.0
2017-01-31,4.14,1.0
2017-02-01,4.51,1.0
2017-02-02,0.69,0.0
2017-02-03,-0.17,0.0
2017-02-06,0.69,0.0
2017-02-07,0.34,0.0
2017-02-08,2.72,1.0
2017-02-09,1.82,1.0
2017-02-10,-0.33,0.0
2017-02-13,-0.98,0.0
2017-02-14,1.48,0.0
2017-02-15,0.97,0.0
2017-02-16,0.8,0.0
2017-02-17,-2.07,-1.0
2017-02-20,0.98,0.0
2017-02-21,0.16,0.0
2017-02-22,1.29,0.0
2017-02-23,0.32,0.0
2017-02-24,-0.63,0.0
2017-02-27,-5.9,-1.0
2017-02-28,1.36,0.0
2017-03-02,3.01,1.0
2017-03-03,0.97,0.0
2017-03-06,-3.05,-1.0
2017-03-07,4.98,1.0
2017-03-08,2.53,1.0
2017-03-09,-0.15,0.0
2017-03-10,-1.08,0.0
2017-03-13,1.87,1.0
2017-03-14,2.76,1.0
2017-03-15,1.04,0.0
2017-03-16,0.44,0.0
2017-03-17,1.17,0.0
2017-03-20,-2.47,-1.0
2017-03-21,-0.45,0.0
2017-03-22,3.44,1.0
2017-03-23,4.05,1.0
2017-03-24,0.28,0.0
2017-03-27,-1.25,0.0
2017-03-28,-0.84,0.0
2017-03-29,-0.85,0.0
2017-03-30,-2.85,-1.0
2017-03-31,-0.29,0.0
2017-04-03,1.18,0.0
2017-04-04,-0.58,0.0
2017-04-05,-1.61,-1.0
2017-04-06,5.06,1.0
2017-04-07,0.42,0.0
2017-04-10,-4.23,-1.0
2017-04-11,2.36,1.0
2017-04-12,-0.58,0.0
2017-04-13,0.58,0.0
2017-04-14,-1.73,-1.0
2017-04-17,1.9,1.0
2017-04-18,0.57,0.0
2017-04-19,1.0,0.0
2017-04-20,0.57,0.0
2017-04-21,-0.14,0.0
2017-04-24,0.99,0.0
2017-04-25,0.7,0.0
2017-04-26,0.69,0.0
2017-04-27,-0.55,0.0
2017-04-28,-4.43,-1.0
2017-05-02,1.88,1.0
2017-05-04,1.85,1.0
2017-05-08,7.39,1.0
2017-05-10,-0.91,0.0
2017-05-11,4.59,1.0
2017-05-12,1.75,1.0
2017-05-15,-0.25,0.0
2017-05-16,-2.47,-1.0
2017-05-17,1.27,0.0
2017-05-18,-1.13,0.0
2017-05-19,2.91,1.0
2017-05-22,0.25,0.0
2017-05-23,-0.61,0.0
2017-05-24,1.48,0.0
2017-05-25,0.0,0.0
2017-05-26,-0.49,0.0
2017-05-29,1.95,1.0
2017-05-30,0.0,0.0
2017-05-31,-1.2,0.0
2017-06-01,-1.45,0.0
2017-06-02,6.52,1.0
2017-06-05,0.81,0.0
2017-06-07,-2.29,-1.0
2017-06-08,1.76,1.0
2017-06-09,1.73,0.0
2017-06-12,-3.06,-1.0
2017-06-13,0.23,0.0
2017-06-14,0.12,0.0
2017-06-15,1.63,0.0
2017-06-16,-1.37,0.0
2017-06-19,0.12,0.0
2017-06-20,-0.23,0.0
2017-06-21,-0.12,0.0
2017-06-22,-4.66,-1.0
2017-06-23,2.69,1.0
2017-06-26,1.19,0.0
2017-06-27,-3.29,-1.0
2017-06-28,-3.65,-1.0
2017-06-29,0.5,0.0
2017-06-30,0.63,0.0
2017-07-03,0.87,0.0
2017-07-04,-1.24,0.0
2017-07-05,0.0,0.0
2017-07-06,-3.5,-1.0
2017-07-07,-4.15,-1.0
2017-07-10,-4.19,-1.0
2017-07-11,0.99,0.0
2017-07-12,-0.98,0.0
2017-07-13,0.56,0.0
2017-07-14,-2.39,-1.0
2017-07-17,0.86,0.0
2017-07-18,-0.14,0.0
2017-07-19,0.71,0.0
