dates,등락률,result
2020-11-02,-0.38,0.0
2020-11-03,2.26,1.0
2020-11-04,2.21,1.0
2020-11-05,3.49,1.0
2020-11-06,0.23,0.0
2020-11-09,-0.35,0.0
2020-11-10,0.58,0.0
2020-11-11,0.58,0.0
2020-11-12,1.26,0.0
2020-11-13,1.82,1.0
2020-11-16,9.25,1.0
2020-11-17,0.1,0.0
2020-11-18,-0.1,0.0
2020-11-19,0.2,0.0
2020-11-20,-1.43,0.0
2020-11-23,3.31,1.0
2020-11-24,-1.4,0.0
2020-11-25,-1.42,0.0
2020-11-26,2.26,1.0
2020-11-27,-0.6,0.0
2020-11-30,-1.32,0.0
2020-12-01,3.08,1.0
2020-12-02,8.46,1.0
2020-12-03,2.29,1.0
2020-12-04,3.14,1.0
2020-12-07,2.61,1.0
2020-12-08,-2.54,-1.0
2020-12-09,4.78,1.0
2020-12-10,-3.32,-1.0
2020-12-11,-0.86,0.0
2020-12-14,1.3,0.0
2020-12-15,0.43,0.0
2020-12-16,0.0,0.0
2020-12-17,1.7,0.0
2020-12-18,-0.84,0.0
2020-12-21,-2.11,-1.0
2020-12-22,-3.02,-1.0
2020-12-23,3.11,1.0
2020-12-24,1.72,0.0
2020-12-28,-2.12,-1.0
2020-12-29,0.43,0.0
2020-12-30,2.16,1.0
2021-01-04,6.33,1.0
2021-01-05,3.57,1.0
2021-01-06,0.38,0.0
2021-01-07,2.67,1.0
2021-01-08,2.6,1.0
2021-01-11,-3.62,-1.0
2021-01-12,-3.01,-1.0
2021-01-13,3.1,1.0
2021-01-14,-1.88,-1.0
2021-01-15,-2.3,-1.0
2021-01-18,1.96,1.0
2021-01-19,0.38,0.0
2021-01-20,0.0,0.0
2021-01-21,0.77,0.0
2021-01-22,-2.28,-1.0
2021-01-25,5.06,1.0
2021-01-26,-4.44,-1.0
2021-01-27,-0.39,0.0
2021-01-28,-4.28,-1.0
2021-01-29,-0.41,0.0
2021-02-01,2.04,1.0
2021-02-02,4.0,1.0
2021-02-03,0.0,0.0
2021-02-04,-3.85,-1.0
2021-02-05,2.0,1.0
2021-02-08,-1.96,-1.0
2021-02-09,0.4,0.0
2021-02-10,0.4,0.0
2021-02-15,4.76,1.0
2021-02-16,0.38,0.0
2021-02-17,-1.89,-1.0
2021-02-18,-3.08,-1.0
2021-02-19,5.56,1.0
2021-02-22,2.63,1.0
2021-02-23,1.47,0.0
2021-02-24,-1.81,-1.0
2021-02-25,9.19,1.0
2021-02-26,-4.71,-1.0
2021-03-02,2.12,1.0
2021-03-03,1.73,0.0
2021-03-04,-3.4,-1.0
2021-03-05,-1.41,0.0
2021-03-08,-3.21,-1.0
2021-03-09,0.74,0.0
2021-03-10,-2.56,-1.0
2021-03-11,3.01,1.0
2021-03-12,2.19,1.0
2021-03-15,-2.5,-1.0
2021-03-16,2.93,1.0
2021-03-17,-0.36,0.0
2021-03-18,1.43,0.0
2021-03-19,-2.82,-1.0
2021-03-22,0.0,0.0
2021-03-23,-2.17,-1.0
2021-03-24,-1.11,0.0
2021-03-25,-0.37,0.0
2021-03-26,1.5,0.0
2021-03-29,-2.22,-1.0
2021-03-30,1.89,1.0
2021-03-31,-1.49,-1.0
2021-04-01,6.04,1.0
2021-04-02,0.36,0.0
2021-04-05,1.42,0.0
2021-04-06,0.0,0.0
2021-04-07,0.35,0.0
2021-04-08,0.35,0.0
2021-04-09,-2.78,-1.0
2021-04-12,-1.79,-1.0
2021-04-13,1.45,0.0
2021-04-14,-1.79,-1.0
2021-04-15,0.36,0.0
2021-04-16,0.0,0.0
2021-04-19,0.36,0.0
2021-04-20,0.36,0.0
2021-04-21,-4.33,-1.0
2021-04-22,0.38,0.0
2021-04-23,-0.38,0.0
2021-04-26,-0.75,0.0
2021-04-27,2.66,1.0
2021-04-28,-3.7,-1.0
2021-04-29,0.0,0.0
2021-04-30,-1.54,-1.0
2021-05-03,2.73,1.0
2021-05-04,0.38,0.0
2021-05-06,-2.27,-1.0
2021-05-07,0.39,0.0
2021-05-10,0.39,0.0
2021-05-11,-5.38,-1.0
2021-05-12,-2.85,-1.0
2021-05-13,-1.67,-1.0
2021-05-14,0.85,0.0
2021-05-17,-0.84,0.0
2021-05-18,2.98,1.0
2021-05-20,1.24,0.0
2021-05-21,0.0,0.0
2021-05-24,-2.45,-1.0
2021-05-25,2.93,1.0
2021-05-26,0.0,0.0
2021-05-27,2.03,1.0
2021-05-28,-0.4,0.0
2021-05-31,1.6,0.0
2021-06-01,1.18,0.0
2021-06-02,-1.95,-1.0
2021-06-03,2.38,1.0
2021-06-04,-0.39,0.0
2021-06-07,0.0,0.0
2021-06-08,-0.78,0.0
2021-06-09,-3.92,-1.0
2021-06-10,0.41,0.0
2021-06-11,4.07,1.0
2021-06-14,-0.78,0.0
2021-06-15,1.18,0.0
2021-06-16,0.78,0.0
2021-06-17,-2.32,-1.0
2021-06-18,-1.58,-1.0
2021-06-21,-2.01,-1.0
2021-06-22,0.0,0.0
2021-06-23,1.64,0.0
2021-06-24,1.61,0.0
2021-06-25,1.98,1.0
2021-06-28,-1.95,-1.0
