dates,등락률,result
2020-06-24,1.09,0.0
2020-06-25,-3.41,-1.0
2020-06-26,-0.19,0.0
2020-06-29,-1.86,-1.0
2020-06-30,1.14,0.0
2020-07-01,0.75,0.0
2020-07-02,2.97,1.0
2020-07-03,0.18,0.0
2020-07-06,1.44,0.0
2020-07-07,-0.71,0.0
2020-07-08,1.07,0.0
2020-07-09,1.77,1.0
2020-07-10,4.0,1.0
2020-07-13,-0.67,0.0
2020-07-14,-3.37,-1.0
2020-07-15,-0.17,0.0
2020-07-16,-4.71,-1.0
2020-07-17,1.1,0.0
2020-07-20,-4.71,-1.0
2020-07-21,2.66,1.0
2020-07-22,0.0,0.0
2020-07-23,5.19,1.0
2020-07-24,-1.06,0.0
2020-07-27,1.25,0.0
2020-07-28,1.23,0.0
2020-07-29,1.39,0.0
2020-07-30,0.68,0.0
2020-07-31,2.38,1.0
2020-08-03,4.49,1.0
2020-08-04,-1.11,0.0
2020-08-05,0.8,0.0
2020-08-06,2.71,1.0
2020-08-07,-2.48,-1.0
2020-08-10,-0.16,0.0
2020-08-11,-0.64,0.0
2020-08-12,-2.09,-1.0
2020-08-13,0.66,0.0
2020-08-14,-0.65,0.0
2020-08-18,0.82,0.0
2020-08-19,2.44,1.0
2020-08-20,-3.02,-1.0
2020-08-21,2.29,1.0
2020-08-24,2.4,1.0
2020-08-25,1.56,1.0
2020-08-26,2.77,1.0
2020-08-27,0.9,0.0
2020-08-28,-1.19,0.0
2020-08-31,-3.15,-1.0
2020-09-01,0.62,0.0
2020-09-02,2.47,1.0
2020-09-03,1.95,1.0
2020-09-04,-3.1,-1.0
2020-09-07,-4.26,-1.0
2020-09-08,-1.11,0.0
2020-09-09,-2.09,-1.0
2020-09-10,0.99,0.0
2020-09-11,-0.49,0.0
2020-09-14,-0.98,0.0
2020-09-15,2.97,1.0
2020-09-16,-1.6,-1.0
2020-09-17,-2.12,-1.0
2020-09-18,-0.83,0.0
2020-09-21,-2.01,-1.0
2020-09-22,-2.57,-1.0
2020-09-23,4.22,1.0
2020-09-24,-0.84,0.0
2020-09-25,0.34,0.0
2020-09-28,1.19,0.0
2020-09-29,-0.67,0.0
2020-10-05,0.67,0.0
2020-10-06,2.18,1.0
2020-10-07,0.0,0.0
2020-10-08,-1.31,-1.0
2020-10-12,-2.99,-1.0
2020-10-13,1.03,0.0
2020-10-14,1.19,0.0
2020-10-15,-2.01,-1.0
2020-10-16,0.34,0.0
2020-10-19,-2.56,-1.0
2020-10-20,1.4,0.0
2020-10-21,2.59,1.0
2020-10-22,-1.51,-1.0
2020-10-23,-2.22,-1.0
2020-10-26,-1.75,-1.0
2020-10-27,0.71,0.0
2020-10-28,5.29,1.0
2020-10-29,0.0,0.0
2020-10-30,-2.85,-1.0
2020-11-02,-1.55,-1.0
2020-11-03,-0.88,0.0
2020-11-04,5.48,1.0
2020-11-05,0.17,0.0
2020-11-06,0.67,0.0
2020-11-09,-1.0,0.0
2020-11-10,-5.03,-1.0
2020-11-11,-1.06,0.0
2020-11-12,-0.36,0.0
2020-11-13,0.72,0.0
2020-11-16,-1.07,0.0
2020-11-17,-1.08,0.0
2020-11-18,2.18,1.0
2020-11-19,-0.18,0.0
2020-11-20,0.18,0.0
2020-11-23,0.18,0.0
2020-11-24,0.36,0.0
2020-11-25,-1.42,-1.0
2020-11-26,2.51,1.0
2020-11-27,-0.35,0.0
2020-11-30,-2.46,-1.0
