dates,등락률,result
2020-11-06,1.03,0.0
2020-11-09,6.46,1.0
2020-11-10,1.92,0.0
2020-11-11,2.51,0.0
2020-11-12,0.31,0.0
2020-11-13,0.3,0.0
2020-11-16,-4.26,-1.0
2020-11-17,0.63,0.0
2020-11-18,-5.99,-1.0
2020-11-19,-1.68,0.0
2020-11-20,1.02,0.0
2020-11-23,3.38,1.0
2020-11-24,0.0,0.0
2020-11-25,0.65,0.0
2020-11-26,4.22,1.0
2020-11-27,6.54,1.0
2020-11-30,-2.05,0.0
2020-12-01,-7.46,-1.0
2020-12-02,-2.9,-1.0
2020-12-03,-0.33,0.0
2020-12-04,-0.67,0.0
2020-12-07,-3.36,-1.0
2020-12-08,0.0,0.0
2020-12-09,1.04,0.0
2020-12-10,0.34,0.0
2020-12-11,1.03,0.0
2020-12-14,-2.37,0.0
2020-12-15,-0.69,0.0
2020-12-16,-3.15,-1.0
2020-12-17,3.61,1.0
2020-12-18,-3.14,-1.0
2020-12-21,0.0,0.0
2020-12-22,-3.6,-1.0
2020-12-23,-2.24,0.0
2020-12-24,1.91,0.0
2020-12-28,-3.75,-1.0
2020-12-29,1.56,0.0
2020-12-30,3.45,1.0
2021-01-04,2.96,0.0
2021-01-05,5.76,1.0
2021-01-06,-3.74,-1.0
2021-01-07,0.0,0.0
2021-01-08,0.35,0.0
2021-01-11,-5.28,-1.0
2021-01-12,-1.49,0.0
2021-01-13,0.38,0.0
2021-01-14,4.51,1.0
2021-01-15,-2.52,-1.0
2021-01-18,-3.32,-1.0
2021-01-19,1.53,0.0
2021-01-20,-0.38,0.0
2021-01-21,0.75,0.0
2021-01-22,0.37,0.0
2021-01-25,-1.12,0.0
2021-01-26,0.38,0.0
2021-01-27,-1.13,0.0
2021-01-28,-3.8,-1.0
2021-01-29,-7.11,-1.0
2021-02-01,1.7,0.0
2021-02-02,-0.84,0.0
2021-02-03,0.42,0.0
2021-02-04,-2.94,-1.0
2021-02-05,2.16,0.0
2021-02-08,3.81,1.0
2021-02-09,0.0,0.0
2021-02-10,-0.41,0.0
2021-02-15,-0.41,0.0
2021-02-16,-2.47,0.0
2021-02-17,-2.95,-1.0
2021-02-18,0.0,0.0
2021-02-19,-0.87,0.0
2021-02-22,-1.75,0.0
2021-02-23,-1.79,0.0
2021-02-24,-6.82,-1.0
2021-02-25,8.29,1.0
2021-02-26,-4.5,-1.0
2021-03-02,0.94,0.0
2021-03-03,5.61,1.0
2021-03-04,-1.33,0.0
2021-03-05,-3.14,-1.0
2021-03-08,-0.93,0.0
2021-03-09,0.93,0.0
2021-03-10,-1.39,0.0
2021-03-11,-0.47,0.0
2021-03-12,7.08,1.0
2021-03-15,0.0,0.0
2021-03-16,2.64,0.0
2021-03-17,1.72,0.0
2021-03-18,-1.69,0.0
2021-03-19,-0.43,0.0
2021-03-22,2.59,0.0
2021-03-23,-0.84,0.0
2021-03-24,2.12,0.0
2021-03-25,1.66,0.0
2021-03-26,3.67,1.0
2021-03-29,4.33,1.0
2021-03-30,-0.38,0.0
2021-03-31,-1.52,0.0
2021-04-01,-2.69,-1.0
2021-04-02,2.77,0.0
2021-04-05,0.77,0.0
2021-04-06,-0.76,0.0
2021-04-07,-0.38,0.0
2021-04-08,3.47,1.0
2021-04-09,-0.75,0.0
2021-04-12,-0.75,0.0
2021-04-13,1.89,0.0
2021-04-14,6.69,1.0
2021-04-15,-2.79,-1.0
2021-04-16,0.36,0.0
2021-04-19,-0.36,0.0
2021-04-20,-0.36,0.0
2021-04-21,-2.16,0.0
2021-04-22,2.94,0.0
2021-04-23,-1.43,0.0
2021-04-26,1.45,0.0
2021-04-27,-0.36,0.0
2021-04-28,2.15,0.0
2021-04-29,-0.7,0.0
2021-04-30,-1.41,0.0
2021-05-03,-8.24,-1.0
2021-05-04,-1.17,0.0
2021-05-06,-1.19,0.0
2021-05-07,1.2,0.0
2021-05-10,3.56,1.0
2021-05-11,-0.76,0.0
2021-05-12,-3.08,-1.0
2021-05-13,-1.19,0.0
2021-05-14,-1.2,0.0
2021-05-17,1.63,0.0
2021-05-18,0.8,0.0
2021-05-20,9.52,1.0
2021-05-21,0.72,0.0
2021-05-24,4.68,1.0
2021-05-25,1.03,0.0
2021-05-26,9.52,1.0
2021-05-27,4.35,1.0
2021-05-28,6.25,1.0
2021-05-31,11.48,1.0
2021-06-01,-0.75,0.0
2021-06-02,11.65,1.0
2021-06-03,3.17,1.0
2021-06-04,10.33,1.0
2021-06-07,27.49,1.0
2021-06-08,-20.78,-1.0
2021-06-09,2.96,0.0
2021-06-10,-10.34,-1.0
2021-06-11,1.5,0.0
2021-06-14,-0.84,0.0
2021-06-15,0.21,0.0
2021-06-16,3.6,1.0
2021-06-17,-1.43,0.0
2021-06-18,4.77,1.0
2021-06-21,2.18,0.0
2021-06-22,3.68,1.0
2021-06-23,-2.8,-1.0
2021-06-24,-5.19,-1.0
2021-06-25,0.41,0.0
2021-06-28,-4.04,-1.0
2021-06-29,1.89,0.0
2021-06-30,-1.45,0.0
2021-07-01,4.19,1.0
2021-07-02,-0.4,0.0
2021-07-05,0.81,0.0
2021-07-06,4.41,1.0
2021-07-07,-2.69,-1.0
2021-07-08,-0.39,0.0
2021-07-09,3.37,1.0
2021-07-12,-2.3,0.0
2021-07-13,0.0,0.0
2021-07-14,1.57,0.0
2021-07-15,0.58,0.0
2021-07-16,-3.65,-1.0
2021-07-19,-1.2,0.0
2021-07-20,1.21,0.0
2021-07-21,-2.79,-1.0
2021-07-22,-3.69,-1.0
2021-07-23,-0.43,0.0
2021-07-26,-2.56,-1.0
2021-07-27,0.66,0.0
2021-07-28,-1.74,0.0
2021-07-29,0.0,0.0
2021-07-30,-3.55,-1.0
2021-08-02,0.23,0.0
2021-08-03,-5.05,-1.0
2021-08-04,4.59,1.0
2021-08-05,0.0,0.0
2021-08-06,3.46,1.0
2021-08-09,-4.24,-1.0
2021-08-10,0.23,0.0
2021-08-11,-0.7,0.0
2021-08-12,1.64,0.0
2021-08-13,-4.15,-1.0
2021-08-17,-0.72,0.0
2021-08-18,1.21,0.0
2021-08-19,-6.7,-1.0
2021-08-20,0.0,0.0
2021-08-23,1.54,0.0
2021-08-24,4.8,1.0
2021-08-25,0.48,0.0
2021-08-26,-3.6,-1.0
2021-08-27,1.74,0.0
2021-08-30,-0.24,0.0
2021-08-31,2.45,0.0
2021-09-01,4.78,1.0
2021-09-02,-2.74,-1.0
2021-09-03,2.11,0.0
2021-09-06,0.46,0.0
2021-09-07,0.23,0.0
2021-09-08,-3.42,-1.0
2021-09-09,-1.18,0.0
2021-09-10,-2.39,0.0
2021-09-13,-0.49,0.0
2021-09-14,3.45,1.0
2021-09-15,0.24,0.0
2021-09-16,3.8,1.0
2021-09-17,-0.92,0.0
2021-09-23,-2.54,-1.0
2021-09-24,-2.61,-1.0
2021-09-27,0.49,0.0
2021-09-28,1.69,0.0
2021-09-29,-2.62,-1.0
2021-09-30,0.49,0.0
2021-10-01,-4.14,-1.0
2021-10-05,-1.02,0.0
2021-10-06,-6.92,-1.0
2021-10-07,4.68,1.0
2021-10-08,0.53,0.0
2021-10-12,-0.79,0.0
2021-10-13,14.78,1.0
2021-10-14,3.22,1.0
2021-10-15,4.45,1.0
2021-10-18,-1.49,0.0
2021-10-19,-0.43,0.0
2021-10-20,-5.22,-1.0
2021-10-21,5.96,1.0
2021-10-22,-2.16,0.0
2021-10-25,13.94,1.0
2021-10-26,1.36,0.0
2021-10-27,-1.53,0.0
2021-10-28,-5.84,-1.0
2021-10-29,0.83,0.0
2021-11-01,-1.43,0.0
2021-11-02,4.37,1.0
2021-11-03,-1.99,0.0
2021-11-04,6.71,1.0
