dates,등락률,result
2020-10-08,-0.33,0.0
2020-10-12,1.17,1.0
2020-10-13,0.83,0.0
2020-10-14,0.0,0.0
2020-10-15,-1.48,-1.0
2020-10-16,-0.83,0.0
2020-10-19,0.84,0.0
2020-10-20,1.5,1.0
2020-10-21,0.0,0.0
2020-10-22,-1.31,-1.0
2020-10-23,0.17,0.0
2020-10-26,0.33,0.0
2020-10-27,-0.99,-1.0
2020-10-28,-1.34,-1.0
2020-10-29,-1.53,-1.0
2020-10-30,-2.58,-1.0
2020-11-02,1.41,1.0
2020-11-03,2.44,1.0
2020-11-04,-0.51,0.0
2020-11-05,3.08,1.0
2020-11-06,-0.33,0.0
2020-11-09,0.17,0.0
2020-11-10,0.0,0.0
2020-11-11,1.83,1.0
2020-11-12,-0.49,0.0
2020-11-13,3.61,1.0
2020-11-16,4.91,1.0
2020-11-17,-0.9,0.0
2020-11-18,-1.37,-1.0
2020-11-19,-0.31,0.0
2020-11-20,0.15,0.0
2020-11-23,4.33,1.0
2020-11-24,0.3,0.0
2020-11-25,-1.62,-1.0
2020-11-26,2.1,1.0
2020-11-27,0.29,0.0
2020-11-30,-2.2,-1.0
2020-12-01,1.65,1.0
2020-12-02,2.51,1.0
2020-12-03,0.29,0.0
2020-12-04,2.58,1.0
2020-12-07,1.96,1.0
2020-12-08,-1.65,-1.0
2020-12-09,3.07,1.0
2020-12-10,-1.35,-1.0
2020-12-11,0.69,0.0
2020-12-14,0.54,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,-0.68,0.0
2020-12-18,-0.41,0.0
2020-12-21,0.0,0.0
2020-12-22,-0.96,-1.0
2020-12-23,2.21,1.0
2020-12-24,5.28,1.0
2020-12-28,1.16,1.0
2020-12-29,-0.51,0.0
2020-12-30,3.45,1.0
2021-01-04,2.47,1.0
2021-01-05,1.08,1.0
2021-01-06,-2.03,-1.0
2021-01-07,0.85,0.0
2021-01-08,7.12,1.0
2021-01-11,2.48,1.0
2021-01-12,-0.44,0.0
2021-01-13,-0.99,-1.0
2021-01-14,0.0,0.0
2021-01-15,-1.9,-1.0
2021-01-18,-3.41,-1.0
2021-01-19,2.35,1.0
2021-01-20,0.23,0.0
2021-01-21,1.03,0.0
2021-01-22,-1.48,-1.0
2021-01-25,3.0,1.0
2021-01-26,-3.02,-1.0
2021-01-27,-1.27,-1.0
2021-01-28,-2.22,-1.0
2021-01-29,-2.03,-1.0
2021-02-01,1.22,1.0
2021-02-02,1.69,1.0
2021-02-03,0.24,0.0
2021-02-04,-2.48,-1.0
2021-02-05,1.21,1.0
2021-02-08,-0.6,0.0
2021-02-09,-0.36,0.0
2021-02-10,-1.33,-1.0
2021-02-15,3.19,1.0
2021-02-16,0.83,0.0
2021-02-17,-2.0,-1.0
2021-02-18,-1.32,-1.0
2021-02-19,0.61,0.0
2021-02-22,-0.48,0.0
2021-02-23,-0.24,0.0
2021-02-24,0.0,0.0
2021-02-25,4.02,1.0
2021-02-26,-3.28,-1.0
2021-03-02,1.33,1.0
2021-03-03,0.48,0.0
2021-03-04,-1.9,-1.0
2021-03-05,-0.36,0.0
2021-03-08,-0.12,0.0
2021-03-09,-0.73,0.0
2021-03-10,-0.61,0.0
2021-03-11,1.36,1.0
2021-03-12,0.98,0.0
2021-03-15,-1.21,-1.0
2021-03-16,1.22,1.0
2021-03-17,-0.6,0.0
2021-03-18,0.73,0.0
2021-03-19,-1.21,-1.0
2021-03-22,0.12,0.0
2021-03-23,-0.24,0.0
2021-03-24,-0.98,-1.0
2021-03-25,0.25,0.0
2021-03-26,0.37,0.0
2021-03-29,0.12,0.0
2021-03-30,0.74,0.0
2021-03-31,-0.97,-1.0
2021-04-01,1.84,1.0
2021-04-02,2.29,1.0
2021-04-05,0.71,0.0
2021-04-06,0.7,0.0
2021-04-07,-0.47,0.0
2021-04-08,-1.05,-1.0
2021-04-09,-1.3,-1.0
2021-04-12,-0.48,0.0
2021-04-13,0.96,0.0
2021-04-14,0.0,0.0
2021-04-15,0.12,0.0
2021-04-16,-0.24,0.0
2021-04-19,-0.72,0.0
2021-04-20,0.72,0.0
2021-04-21,-1.55,-1.0
2021-04-22,-0.24,0.0
2021-04-23,0.49,0.0
2021-04-26,0.85,0.0
2021-04-27,-0.72,0.0
2021-04-28,-0.97,-1.0
2021-04-29,-0.49,0.0
2021-04-30,-0.24,0.0
2021-05-03,0.25,0.0
2021-05-04,1.1,1.0
2021-05-06,-0.36,0.0
2021-05-07,-0.49,0.0
2021-05-10,1.59,1.0
2021-05-11,-2.4,-1.0
2021-05-12,-1.48,-1.0
2021-05-13,-1.88,-1.0
2021-05-14,2.04,1.0
2021-05-17,-0.62,0.0
2021-05-18,0.0,0.0
2021-05-20,-0.13,0.0
2021-05-21,0.75,0.0
2021-05-24,-0.5,0.0
2021-05-25,0.25,0.0
2021-05-26,-0.13,0.0
2021-05-27,-0.25,0.0
2021-05-28,0.63,0.0
2021-05-31,0.5,0.0
2021-06-01,0.12,0.0
2021-06-02,0.25,0.0
2021-06-03,2.48,1.0
2021-06-04,-0.72,0.0
2021-06-07,-0.36,0.0
2021-06-08,0.0,0.0
2021-06-09,-0.98,-1.0
2021-06-10,-0.12,0.0
2021-06-11,0.0,0.0
2021-06-14,-0.62,0.0
2021-06-15,0.5,0.0
2021-06-16,1.11,1.0
2021-06-17,-1.1,-1.0
2021-06-18,-0.49,0.0
2021-06-21,-0.75,0.0
2021-06-22,0.13,0.0
2021-06-23,0.13,0.0
2021-06-24,1.37,1.0
2021-06-25,0.49,0.0
2021-06-28,0.37,0.0
2021-06-29,-1.1,-1.0
2021-06-30,-0.37,0.0
2021-07-01,-0.74,0.0
2021-07-02,-0.12,0.0
2021-07-05,0.5,0.0
2021-07-06,1.0,0.0
2021-07-07,-0.49,0.0
2021-07-08,-1.11,-1.0
2021-07-09,-0.63,0.0
2021-07-12,0.38,0.0
2021-07-13,0.13,0.0
2021-07-14,-0.38,0.0
2021-07-15,1.38,1.0
2021-07-16,-0.99,-1.0
2021-07-19,-1.0,-1.0
2021-07-20,0.0,0.0
2021-07-21,-0.63,0.0
2021-07-22,1.53,1.0
2021-07-23,-0.5,0.0
2021-07-26,-0.63,0.0
2021-07-27,-0.38,0.0
2021-07-28,0.89,0.0
2021-07-29,-0.25,0.0
2021-07-30,-0.63,0.0
2021-08-02,1.02,0.0
2021-08-03,2.65,1.0
2021-08-04,1.84,1.0
2021-08-05,-0.97,-1.0
2021-08-06,-0.73,0.0
2021-08-09,0.0,0.0
2021-08-10,-1.6,-1.0
2021-08-11,-2.12,-1.0
2021-08-12,-1.91,-1.0
2021-08-13,-3.38,-1.0
2021-08-17,-0.27,0.0
2021-08-18,-0.4,0.0
2021-08-19,-1.08,-1.0
2021-08-20,-0.55,0.0
2021-08-23,0.83,0.0
2021-08-24,3.14,1.0
2021-08-25,0.13,0.0
2021-08-26,-1.45,-1.0
2021-08-27,-0.4,0.0
2021-08-30,0.4,0.0
2021-08-31,2.82,1.0
2021-09-01,0.13,0.0
2021-09-02,-1.04,-1.0
2021-09-03,0.79,0.0
2021-09-06,0.91,0.0
2021-09-07,-1.55,-1.0
2021-09-08,0.26,0.0
2021-09-09,-1.31,-1.0
2021-09-10,0.0,0.0
2021-09-13,1.33,1.0
2021-09-14,0.39,0.0
2021-09-15,0.52,0.0
2021-09-16,-1.17,-1.0
2021-09-17,1.45,1.0
2021-09-23,0.26,0.0
2021-09-24,-0.13,0.0
2021-09-27,0.52,0.0
2021-09-28,-1.8,-1.0
2021-09-29,-2.88,-1.0
2021-09-30,0.0,0.0
2021-10-01,-1.21,-1.0
2021-10-05,-1.37,-1.0
2021-10-06,-1.25,-1.0
2021-10-07,0.42,0.0
2021-10-08,-0.14,0.0
2021-10-12,-3.5,-1.0
2021-10-13,-0.29,0.0
2021-10-14,0.87,0.0
2021-10-15,1.01,0.0
2021-10-18,0.14,0.0
2021-10-19,0.57,0.0
2021-10-20,-0.42,0.0
2021-10-21,-0.14,0.0
2021-10-22,0.28,0.0
2021-10-25,-0.28,0.0
2021-10-26,1.28,1.0
2021-10-27,-1.41,-1.0
2021-10-28,0.86,0.0
2021-10-29,-1.27,-1.0
2021-11-01,0.14,0.0
2021-11-02,2.29,1.0
2021-11-03,-1.54,-1.0
2021-11-04,0.28,0.0
2021-11-05,-0.57,0.0
2021-11-08,0.57,0.0
2021-11-09,-0.14,0.0
2021-11-10,-0.43,0.0
2021-11-11,-0.43,0.0
2021-11-12,1.0,0.0
2021-11-15,1.13,1.0
2021-11-16,-0.14,0.0
2021-11-17,-0.84,0.0
2021-11-18,-0.71,0.0
2021-11-19,1.42,1.0
