dates,등락률,result
2020-11-02,1.45,0.0
2020-11-03,5.93,1.0
2020-11-04,4.44,1.0
2020-11-05,0.55,0.0
2020-11-06,2.02,0.0
2020-11-09,2.7,1.0
2020-11-10,-2.98,-1.0
2020-11-11,7.23,1.0
2020-11-12,-1.52,0.0
2020-11-13,-0.68,0.0
2020-11-16,-0.52,0.0
2020-11-17,-0.87,0.0
2020-11-18,1.75,0.0
2020-11-19,1.03,0.0
2020-11-20,0.85,0.0
2020-11-23,1.52,0.0
2020-11-24,0.17,0.0
2020-11-25,9.45,1.0
2020-11-26,-0.15,0.0
2020-11-27,1.37,0.0
2020-11-30,1.8,0.0
2020-12-01,1.18,0.0
2020-12-02,0.87,0.0
2020-12-03,1.15,0.0
2020-12-04,8.26,1.0
2020-12-07,6.18,1.0
2020-12-08,-13.26,-1.0
2020-12-09,1.0,0.0
2020-12-10,1.84,0.0
2020-12-11,0.28,0.0
2020-12-14,-0.97,0.0
2020-12-15,0.7,0.0
2020-12-16,-1.81,0.0
2020-12-17,-0.57,0.0
2020-12-18,1.28,0.0
2020-12-21,3.09,1.0
2020-12-22,-2.18,-1.0
2020-12-23,-1.11,0.0
2020-12-24,-2.11,-1.0
2020-12-28,-4.03,-1.0
2020-12-29,10.08,1.0
2020-12-30,-0.42,0.0
2021-01-04,-3.2,-1.0
2021-01-05,2.01,0.0
2021-01-06,-0.28,0.0
2021-01-07,1.13,0.0
2021-01-08,2.66,1.0
2021-01-11,1.91,0.0
2021-01-12,2.67,1.0
2021-01-13,-0.65,0.0
2021-01-14,-7.6,-1.0
2021-01-15,-6.67,-1.0
2021-01-18,-4.56,-1.0
2021-01-19,-0.48,0.0
2021-01-20,-0.48,0.0
2021-01-21,0.32,0.0
2021-01-22,-0.64,0.0
2021-01-25,3.55,1.0
2021-01-26,0.47,0.0
2021-01-27,2.02,0.0
2021-01-28,1.67,0.0
2021-01-29,-3.14,-1.0
2021-02-01,14.51,1.0
2021-02-02,-4.18,-1.0
2021-02-03,-2.25,-1.0
2021-02-04,-1.73,0.0
2021-02-05,0.0,0.0
2021-02-08,-1.61,0.0
2021-02-09,-2.38,-1.0
2021-02-10,1.22,0.0
2021-02-15,0.3,0.0
2021-02-16,-2.4,-1.0
2021-02-17,-1.08,0.0
2021-02-18,-2.18,-1.0
2021-02-19,1.27,0.0
2021-02-22,-2.83,-1.0
2021-02-23,-4.36,-1.0
2021-02-24,-4.73,-1.0
2021-02-25,9.22,1.0
2021-02-26,-3.41,-1.0
2021-03-02,-2.02,0.0
2021-03-03,3.95,1.0
2021-03-04,1.16,0.0
2021-03-05,-1.63,0.0
2021-03-08,-3.48,-1.0
2021-03-09,-1.2,0.0
2021-03-10,-0.7,0.0
2021-03-11,2.63,1.0
2021-03-12,1.37,0.0
2021-03-15,-2.69,-1.0
2021-03-16,2.6,1.0
2021-03-17,-1.01,0.0
2021-03-18,-0.51,0.0
2021-03-19,-1.71,0.0
2021-03-22,0.7,0.0
2021-03-23,1.21,0.0
2021-03-24,2.56,1.0
2021-03-25,2.5,1.0
2021-03-26,2.11,1.0
2021-03-29,5.25,1.0
2021-03-30,-2.12,-1.0
2021-03-31,0.31,0.0
2021-04-01,0.0,0.0
2021-04-02,-1.23,0.0
2021-04-05,-3.9,-1.0
2021-04-06,-1.46,0.0
2021-04-07,0.82,0.0
2021-04-08,1.8,0.0
2021-04-09,-0.64,0.0
2021-04-12,0.32,0.0
2021-04-13,1.77,0.0
2021-04-14,-0.32,0.0
2021-04-15,-1.75,0.0
2021-04-16,-0.48,0.0
2021-04-19,0.49,0.0
2021-04-20,-3.07,-1.0
2021-04-21,-3.17,-1.0
2021-04-22,-0.86,0.0
2021-04-23,0.0,0.0
2021-04-26,-1.04,0.0
2021-04-27,-3.86,-1.0
2021-04-28,-1.46,0.0
2021-04-29,-0.56,0.0
2021-04-30,-0.93,0.0
2021-05-03,-6.2,-1.0
2021-05-04,4.21,1.0
2021-05-06,-2.88,-1.0
2021-05-07,5.54,1.0
2021-05-10,3.19,1.0
2021-05-11,-1.64,0.0
