dates,등락률,result
2020-01-16,0.94,0.0
2020-01-17,-3.87,-1.0
2020-01-20,1.13,0.0
2020-01-21,0.16,0.0
2020-01-22,5.56,1.0
2020-01-23,-1.36,0.0
2020-01-28,2.9,0.0
2020-01-29,-3.41,0.0
2020-01-30,-0.31,0.0
2020-01-31,-7.24,-1.0
2020-02-03,0.0,0.0
2020-02-04,5.15,1.0
2020-02-05,-0.32,0.0
2020-02-06,1.74,0.0
2020-02-07,0.62,0.0
2020-02-10,-0.15,0.0
2020-02-11,-0.16,0.0
2020-02-12,2.64,0.0
2020-02-13,-4.84,-1.0
2020-02-14,-0.95,0.0
2020-02-17,-1.61,0.0
2020-02-18,15.99,1.0
2020-02-19,-1.83,0.0
2020-02-20,-3.3,0.0
2020-02-21,-4.0,-1.0
2020-02-24,2.62,0.0
2020-02-25,0.0,0.0
2020-02-26,1.2,0.0
2020-02-27,1.63,0.0
2020-02-28,6.73,1.0
2020-03-02,10.68,1.0
2020-03-03,0.99,0.0
2020-03-04,-8.21,-1.0
2020-03-05,-0.67,0.0
2020-03-06,29.97,1.0
2020-03-09,29.89,1.0
2020-03-10,-12.9,-1.0
2020-03-11,7.86,1.0
2020-03-12,-4.24,-1.0
2020-03-13,-12.65,-1.0
2020-03-16,17.53,1.0
2020-03-17,10.52,1.0
2020-03-18,-7.64,-1.0
2020-03-19,13.51,1.0
2020-03-20,1.19,0.0
2020-03-23,1.18,0.0
2020-03-24,-1.45,0.0
2020-03-25,29.94,1.0
2020-03-26,29.97,1.0
2020-03-27,1.22,0.0
2020-03-30,4.4,1.0
2020-03-31,-8.18,-1.0
2020-04-01,-14.76,-1.0
2020-04-02,-4.44,-1.0
2020-04-03,3.31,0.0
2020-04-06,1.93,0.0
2020-04-07,-6.93,-1.0
2020-04-08,7.89,1.0
2020-04-09,0.31,0.0
2020-04-10,-3.44,0.0
2020-04-13,-4.53,-1.0
2020-04-14,-4.97,-1.0
2020-04-16,0.95,0.0
2020-04-17,-2.59,0.0
2020-04-20,10.88,1.0
2020-04-21,-2.84,0.0
2020-04-22,4.71,1.0
2020-04-23,-3.43,0.0
2020-04-24,-0.67,0.0
2020-04-27,7.26,1.0
2020-04-28,-3.33,0.0
2020-04-29,0.11,0.0
2020-05-04,-4.31,-1.0
2020-05-06,-4.84,-1.0
2020-05-07,1.18,0.0
2020-05-08,7.13,1.0
2020-05-11,1.31,0.0
2020-05-12,6.78,1.0
2020-05-13,-0.1,0.0
2020-05-14,29.97,1.0
2020-05-15,-8.07,-1.0
2020-05-18,-1.86,0.0
2020-05-19,-7.92,-1.0
2020-05-20,-0.65,0.0
2020-05-21,0.75,0.0
2020-05-22,2.43,0.0
2020-05-25,4.28,1.0
2020-05-26,-1.49,0.0
2020-05-27,1.6,0.0
2020-05-28,5.41,1.0
2020-05-29,-3.15,0.0
2020-06-01,-0.17,0.0
2020-06-02,-4.71,-1.0
2020-06-03,-2.61,0.0
2020-06-04,-1.66,0.0
2020-06-05,-0.19,0.0
2020-06-08,4.89,1.0
2020-06-09,-2.78,0.0
2020-06-10,0.55,0.0
2020-06-11,2.75,0.0
2020-06-12,-0.45,0.0
2020-06-15,1.43,0.0
2020-06-16,-0.27,0.0
2020-06-17,-5.14,-1.0
2020-06-18,-0.09,0.0
2020-06-19,-4.3,-1.0
2020-06-22,5.18,1.0
